Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_NREL
OG0001197	RMZ56891.1 hypothetical protein APUTEX25_002980_ partial [Auxenochlorella protothecoides]	KAF6263283.1 hypothetical protein COO60DRAFT_488276 [Scenedesmus sp. NREL 46B-D3]
OG0001197	RMZ55366.1 hypothetical protein APUTEX25_002224_ partial [Auxenochlorella protothecoides]	KAF6251248.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0001198	RMZ55484.1 hypothetical protein APUTEX25_000067_ partial [Auxenochlorella protothecoides]	KAF6266545.1 glycolate oxidase [Scenedesmus sp. NREL 46B-D3]
OG0001199	RMZ55487.1 hypothetical protein APUTEX25_000070_ partial [Auxenochlorella protothecoides]	KAF6259421.1 hypothetical protein COO60DRAFT_1626079 [Scenedesmus sp. NREL 46B-D3]
OG0001200	RMZ55511.1 hypothetical protein APUTEX25_000094 [Auxenochlorella protothecoides]	KAF6266730.1 hypothetical protein COO60DRAFT_1654596 [Scenedesmus sp. NREL 46B-D3]
OG0001201	RMZ55516.1 hypothetical protein APUTEX25_000099 [Auxenochlorella protothecoides]	KAF6255869.1 thiamine diphosphate-binding protein [Scenedesmus sp. NREL 46B-D3]
OG0001202	RMZ55619.1 hypothetical protein APUTEX25_000202 [Auxenochlorella protothecoides]	KAF6259652.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001203	RMZ55638.1 hypothetical protein APUTEX25_000221_ partial [Auxenochlorella protothecoides]	KAF6262543.1 hypothetical protein COO60DRAFT_1495557 [Scenedesmus sp. NREL 46B-D3]
OG0001204	RMZ55750.1 hypothetical protein APUTEX25_005791 [Auxenochlorella protothecoides]	KAF6261303.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6263728.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6266281.1 hypothetical protein COO60DRAFT_1474230 [Scenedesmus sp. NREL 46B-D3], KAF6266282.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001205	RMZ55763.1 hypothetical protein APUTEX25_005804 [Auxenochlorella protothecoides]	KAF6257975.1 hypothetical protein COO60DRAFT_1701539 [Scenedesmus sp. NREL 46B-D3], KAF6257976.1 late exocytosis_ associated with Golgi transport-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001206	RMZ55803.1 hypothetical protein APUTEX25_005844 [Auxenochlorella protothecoides]	KAF6260234.1 coiled-coil domain-containing protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001207	RMZ55873.1 hypothetical protein APUTEX25_003839_ partial [Auxenochlorella protothecoides]	KAF6250707.1 hypothetical protein COO60DRAFT_758966 [Scenedesmus sp. NREL 46B-D3], KAF6261598.1 hypothetical protein COO60DRAFT_741589_ partial [Scenedesmus sp. NREL 46B-D3]
OG0001208	RMZ55954.1 hypothetical protein APUTEX25_004378 [Auxenochlorella protothecoides]	KAF6261670.1 hypothetical protein COO60DRAFT_1500678 [Scenedesmus sp. NREL 46B-D3]
OG0001209	RMZ55966.1 hypothetical protein APUTEX25_004390 [Auxenochlorella protothecoides]	KAF6258557.1 PapD-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001210	RMZ55971.1 hypothetical protein APUTEX25_004395_ partial [Auxenochlorella protothecoides]	KAF6261711.1 JmjC domain_ hydroxylase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001211	RMZ56016.1 hypothetical protein APUTEX25_004440 [Auxenochlorella protothecoides]	KAF6263762.1 hypothetical protein COO60DRAFT_1488339 [Scenedesmus sp. NREL 46B-D3], KAF6263763.1 Alpha/beta knot methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0001212	RMZ56061.1 hypothetical protein APUTEX25_004485 [Auxenochlorella protothecoides]	KAF6251429.1 hypothetical protein COO60DRAFT_1287543 [Scenedesmus sp. NREL 46B-D3], KAF6250874.1 hypothetical protein COO60DRAFT_1705296 [Scenedesmus sp. NREL 46B-D3], KAF6250872.1 hypothetical protein COO60DRAFT_1565983 [Scenedesmus sp. NREL 46B-D3], KAF6251430.1 hypothetical protein COO60DRAFT_1560018 [Scenedesmus sp. NREL 46B-D3]
OG0001213	RMZ56127.1 hypothetical protein APUTEX25_004551 [Auxenochlorella protothecoides]	KAF6264629.1 B type mitotic cyclin [Scenedesmus sp. NREL 46B-D3]
OG0001214	RMZ56159.1 hypothetical protein APUTEX25_004583_ partial [Auxenochlorella protothecoides]	KAF6260089.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001215	RMZ56255.1 hypothetical protein APUTEX25_002445_ partial [Auxenochlorella protothecoides]	KAF6255465.1 hypothetical protein COO60DRAFT_1641474 [Scenedesmus sp. NREL 46B-D3]
OG0001216	RMZ56352.1 hypothetical protein APUTEX25_004709 [Auxenochlorella protothecoides]	KAF6256483.1 CRAL-TRIO domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256482.1 hypothetical protein COO60DRAFT_1528798 [Scenedesmus sp. NREL 46B-D3]
OG0001217	RMZ56412.1 hypothetical protein APUTEX25_004635_ partial [Auxenochlorella protothecoides]	KAF6251022.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6258069.1 hypothetical protein COO60DRAFT_1701524 [Scenedesmus sp. NREL 46B-D3]
OG0001218	RMZ56443.1 hypothetical protein APUTEX25_004666 [Auxenochlorella protothecoides]	KAF6254638.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001219	RMZ56523.1 hypothetical protein APUTEX25_001370_ partial [Auxenochlorella protothecoides]	KAF6259011.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001220	RMZ56572.1 hypothetical protein APUTEX25_001419_ partial [Auxenochlorella protothecoides]	KAF6252421.1 inner membrane ALBINO3-like protein 2_ chloroplast precursor [Scenedesmus sp. NREL 46B-D3]
OG0001221	RMZ56628.1 hypothetical protein APUTEX25_002717 [Auxenochlorella protothecoides]	KAF6251783.1 t-SNARE [Scenedesmus sp. NREL 46B-D3]
OG0001222	RMZ56640.1 hypothetical protein APUTEX25_002729 [Auxenochlorella protothecoides]	KAF6261880.1 hypothetical protein COO60DRAFT_1636420 [Scenedesmus sp. NREL 46B-D3], KAF6252253.1 hypothetical protein COO60DRAFT_1644219 [Scenedesmus sp. NREL 46B-D3], KAF6245273.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6251098.1 hypothetical protein COO60DRAFT_1705069 [Scenedesmus sp. NREL 46B-D3]
OG0001223	RMZ56644.1 hypothetical protein APUTEX25_002733 [Auxenochlorella protothecoides]	KAF6265057.1 hypothetical protein COO60DRAFT_1697935 [Scenedesmus sp. NREL 46B-D3]
OG0001224	RMZ56650.1 hypothetical protein APUTEX25_002739_ partial [Auxenochlorella protothecoides]	KAF6256382.1 hypothetical protein COO60DRAFT_115705 [Scenedesmus sp. NREL 46B-D3]
OG0001225	RMZ56710.1 hypothetical protein APUTEX25_002799 [Auxenochlorella protothecoides], RMZ56664.1 hypothetical protein APUTEX25_002753_ partial [Auxenochlorella protothecoides]	KAF6265158.1 component of cytosolic 80S ribosome and 60S large subunit [Scenedesmus sp. NREL 46B-D3]
OG0001226	RMZ56704.1 hypothetical protein APUTEX25_002793 [Auxenochlorella protothecoides]	KAF6254965.1 hypothetical protein COO60DRAFT_1537787 [Scenedesmus sp. NREL 46B-D3], KAF6254905.1 hypothetical protein COO60DRAFT_1537947 [Scenedesmus sp. NREL 46B-D3]
OG0001227	RMZ56722.1 hypothetical protein APUTEX25_002811 [Auxenochlorella protothecoides]	KAF6251701.1 hypothetical protein COO60DRAFT_1298160 [Scenedesmus sp. NREL 46B-D3], KAF6250922.1 hypothetical protein COO60DRAFT_1645778 [Scenedesmus sp. NREL 46B-D3], KAF6251700.1 hypothetical protein COO60DRAFT_592744 [Scenedesmus sp. NREL 46B-D3]
OG0001228	RMZ56727.1 hypothetical protein APUTEX25_002816 [Auxenochlorella protothecoides]	KAF6261168.1 vacuolar import and degradation protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001229	RMZ56784.1 hypothetical protein APUTEX25_002873 [Auxenochlorella protothecoides]	KAF6262332.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0001230	RMZ56824.1 hypothetical protein APUTEX25_002913 [Auxenochlorella protothecoides]	KAF6264054.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265574.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265573.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259151.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001231	RMZ56919.1 hypothetical protein APUTEX25_004981 [Auxenochlorella protothecoides]	KAF6255898.1 GTP-binding protein YPTC5_ partial [Scenedesmus sp. NREL 46B-D3], KAF6259889.1 hypothetical protein COO60DRAFT_1700630 [Scenedesmus sp. NREL 46B-D3]
OG0001232	RMZ56921.1 hypothetical protein APUTEX25_004983 [Auxenochlorella protothecoides]	KAF6255241.1 citrate synthase [Scenedesmus sp. NREL 46B-D3]
OG0001233	RMZ56973.1 hypothetical protein APUTEX25_005035_ partial [Auxenochlorella protothecoides]	KAF6252990.1 Endomembrane protein 70-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001234	RMZ57004.1 hypothetical protein APUTEX25_002236 [Auxenochlorella protothecoides]	KAF6262435.1 hypothetical protein COO60DRAFT_627224 [Scenedesmus sp. NREL 46B-D3]
OG0001235	RMZ57058.1 hypothetical protein APUTEX25_002290_ partial [Auxenochlorella protothecoides]	KAF6255974.1 hypothetical protein COO60DRAFT_1702544 [Scenedesmus sp. NREL 46B-D3]
OG0001236	RMZ57185.1 hypothetical protein APUTEX25_004019 [Auxenochlorella protothecoides]	KAF6254877.1 dihydrolipoyl dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0001237	RMZ57187.1 hypothetical protein APUTEX25_004021_ partial [Auxenochlorella protothecoides]	KAF6254633.1 hypothetical protein COO60DRAFT_1703210 [Scenedesmus sp. NREL 46B-D3], KAF6258462.1 TsaA-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258455.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258460.1 hypothetical protein COO60DRAFT_1518687 [Scenedesmus sp. NREL 46B-D3], KAF6258458.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0001238	RMZ57304.1 hypothetical protein APUTEX25_004138 [Auxenochlorella protothecoides], RMZ57290.1 hypothetical protein APUTEX25_004124 [Auxenochlorella protothecoides]	KAF6258878.1 molecular chaperone [Scenedesmus sp. NREL 46B-D3]
OG0001239	RMZ57313.1 hypothetical protein APUTEX25_004147 [Auxenochlorella protothecoides]	KAF6261216.1 hypothetical protein COO60DRAFT_1636960 [Scenedesmus sp. NREL 46B-D3], KAF6263726.1 NUDIX hydrolase domain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6264106.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001240	RMZ57333.1 hypothetical protein APUTEX25_004167 [Auxenochlorella protothecoides]	KAF6255962.1 hypothetical protein COO60DRAFT_1702585 [Scenedesmus sp. NREL 46B-D3]
OG0001241	RMZ57343.1 hypothetical protein APUTEX25_004177 [Auxenochlorella protothecoides]	KAF6252380.1 hypothetical protein COO60DRAFT_1644104 [Scenedesmus sp. NREL 46B-D3]
OG0001242	RMZ57497.1 hypothetical protein APUTEX25_003740_ partial [Auxenochlorella protothecoides]	KAF6259290.1 hypothetical protein COO60DRAFT_1294910 [Scenedesmus sp. NREL 46B-D3]
OG0001243	RMZ57500.1 hypothetical protein APUTEX25_003743 [Auxenochlorella protothecoides]	KAF6256344.1 isocitrate dehydrogenase_ NADP-dependent_ mitochondrial [Scenedesmus sp. NREL 46B-D3]
OG0001244	RMZ57558.1 hypothetical protein APUTEX25_001758 [Auxenochlorella protothecoides]	KAF6255387.1 Aldo/keto reductase [Scenedesmus sp. NREL 46B-D3]
OG0001245	RMZ57560.1 hypothetical protein APUTEX25_001760_ partial [Auxenochlorella protothecoides]	KAF6260526.1 hypothetical protein COO60DRAFT_1637480 [Scenedesmus sp. NREL 46B-D3]
OG0001246	RMZ57589.1 hypothetical protein APUTEX25_001789 [Auxenochlorella protothecoides]	KAF6254122.1 tRNA synthetases class I_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001247	RMZ57649.1 hypothetical protein APUTEX25_001849 [Auxenochlorella protothecoides]	KAF6250805.1 hypothetical protein COO60DRAFT_1679559 [Scenedesmus sp. NREL 46B-D3], KAF6251261.1 hypothetical protein COO60DRAFT_1562023 [Scenedesmus sp. NREL 46B-D3], KAF6256947.1 hypothetical protein COO60DRAFT_1640304 [Scenedesmus sp. NREL 46B-D3], KAF6256952.1 hypothetical protein COO60DRAFT_1702079 [Scenedesmus sp. NREL 46B-D3]
OG0001248	RMZ57830.1 hypothetical protein APUTEX25_002159_ partial [Auxenochlorella protothecoides]	KAF6266557.1 hypothetical protein COO60DRAFT_1697133 [Scenedesmus sp. NREL 46B-D3]
OG0001305	RMZ52006.1 hypothetical protein APUTEX25_002699_ partial [Auxenochlorella protothecoides]	KAF6265905.1 hypothetical protein COO60DRAFT_1697577 [Scenedesmus sp. NREL 46B-D3]
OG0001306	RMZ52026.1 hypothetical protein APUTEX25_001220 [Auxenochlorella protothecoides]	KAF6261912.1 hypothetical protein COO60DRAFT_714648 [Scenedesmus sp. NREL 46B-D3], KAF6261913.1 hypothetical protein COO60DRAFT_714719 [Scenedesmus sp. NREL 46B-D3]
OG0001307	RMZ52027.1 hypothetical protein APUTEX25_001221 [Auxenochlorella protothecoides]	KAF6251849.1 magnesium protoporphyrin chelatase [Scenedesmus sp. NREL 46B-D3]
OG0001308	RMZ52039.1 hypothetical protein APUTEX25_001233 [Auxenochlorella protothecoides]	KAF6254924.1 hypothetical protein COO60DRAFT_1296819 [Scenedesmus sp. NREL 46B-D3], KAF6254937.1 NADH_ubiquinone oxidoreductase 49 kd subunit [Scenedesmus sp. NREL 46B-D3]
OG0001309	RMZ52043.1 hypothetical protein APUTEX25_001237 [Auxenochlorella protothecoides]	KAF6251060.1 putative splicing factor 3A subunit 1 [Scenedesmus sp. NREL 46B-D3]
OG0001310	RMZ52046.1 hypothetical protein APUTEX25_001240_ partial [Auxenochlorella protothecoides]	KAF6254147.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3], KAF6248611.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0001311	RMZ52066.1 hypothetical protein APUTEX25_001260_ partial [Auxenochlorella protothecoides]	KAF6264582.1 ARM repeat-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001312	RMZ52072.1 hypothetical protein APUTEX25_001266 [Auxenochlorella protothecoides]	KAF6264070.1 insert subdomain of RNA polymerase alpha subunit [Scenedesmus sp. NREL 46B-D3]
OG0001313	RMZ52088.1 hypothetical protein APUTEX25_001282 [Auxenochlorella protothecoides]	KAF6256137.1 phosphoacetylglucosamine mutase [Scenedesmus sp. NREL 46B-D3]
OG0001314	RMZ52094.1 hypothetical protein APUTEX25_001288 [Auxenochlorella protothecoides]	KAF6259157.1 hypothetical protein COO60DRAFT_1046462 [Scenedesmus sp. NREL 46B-D3], KAF6252721.1 hypothetical protein COO60DRAFT_1463572 [Scenedesmus sp. NREL 46B-D3], KAF6259158.1 hypothetical protein COO60DRAFT_1622080 [Scenedesmus sp. NREL 46B-D3]
OG0001315	RMZ52142.1 hypothetical protein APUTEX25_001532_ partial [Auxenochlorella protothecoides]	KAF6263194.1 hypothetical protein COO60DRAFT_512600 [Scenedesmus sp. NREL 46B-D3]
OG0001316	RMZ52146.1 hypothetical protein APUTEX25_001536 [Auxenochlorella protothecoides]	KAF6251111.1 molecular chaperone [Scenedesmus sp. NREL 46B-D3]
OG0001317	RMZ52148.1 hypothetical protein APUTEX25_001538_ partial [Auxenochlorella protothecoides]	KAF6260545.1 peptidase M24_ structural domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001318	RMZ52177.1 hypothetical protein APUTEX25_001567 [Auxenochlorella protothecoides]	KAF6255921.1 hypothetical protein COO60DRAFT_1532445 [Scenedesmus sp. NREL 46B-D3], KAF6257050.1 hypothetical protein COO60DRAFT_1285162 [Scenedesmus sp. NREL 46B-D3]
OG0001319	RMZ52218.1 hypothetical protein APUTEX25_001608 [Auxenochlorella protothecoides]	KAF6257192.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001320	RMZ52221.1 hypothetical protein APUTEX25_001611 [Auxenochlorella protothecoides]	KAF6264179.1 eukaryotic and archaeal DNA primase_ large subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001321	RMZ52238.1 hypothetical protein APUTEX25_001628 [Auxenochlorella protothecoides]	KAF6262632.1 hypothetical protein COO60DRAFT_1699194 [Scenedesmus sp. NREL 46B-D3], KAF6262630.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001322	RMZ52267.1 hypothetical protein APUTEX25_001657_ partial [Auxenochlorella protothecoides]	KAF6253116.1 hypothetical protein COO60DRAFT_1703957 [Scenedesmus sp. NREL 46B-D3], KAF6264190.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253115.1 CAP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001323	RMZ57725.1 hypothetical protein APUTEX25_001202_ partial [Auxenochlorella protothecoides], RMZ52292.1 hypothetical protein APUTEX25_001682 [Auxenochlorella protothecoides]	KAF6252277.1 clasp N terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001324	RMZ52336.1 hypothetical protein APUTEX25_005089 [Auxenochlorella protothecoides], RMZ57618.1 hypothetical protein APUTEX25_001818 [Auxenochlorella protothecoides]	KAF6260599.1 hypothetical protein COO60DRAFT_1505448 [Scenedesmus sp. NREL 46B-D3]
OG0001325	RMZ52339.1 hypothetical protein APUTEX25_005092 [Auxenochlorella protothecoides]	KAF6237642.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251528.1 ser/thr kinase [Scenedesmus sp. NREL 46B-D3], KAF6256198.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001326	RMZ52365.1 hypothetical protein APUTEX25_000640_ partial [Auxenochlorella protothecoides]	KAF6251989.1 hypothetical protein COO60DRAFT_1644443 [Scenedesmus sp. NREL 46B-D3], KAF6263679.1 wings apart-like protein regulation of heterochromatin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001327	RMZ52387.1 hypothetical protein APUTEX25_000662 [Auxenochlorella protothecoides], RMZ56811.1 hypothetical protein APUTEX25_002900 [Auxenochlorella protothecoides]	KAF6252087.1 hypothetical protein COO60DRAFT_559993 [Scenedesmus sp. NREL 46B-D3]
OG0001328	RMZ52396.1 hypothetical protein APUTEX25_000671 [Auxenochlorella protothecoides]	KAF6266528.1 tryptophan synthase beta [Scenedesmus sp. NREL 46B-D3]
OG0001329	RMZ52415.1 hypothetical protein APUTEX25_000690 [Auxenochlorella protothecoides]	KAF6244014.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001329	RMZ53102.1 hypothetical protein APUTEX25_002511_ partial [Auxenochlorella protothecoides]	KAF6260249.1 protein disulfide isomerase precursor [Scenedesmus sp. NREL 46B-D3]
OG0001330	RMZ52438.1 hypothetical protein APUTEX25_000017_ partial [Auxenochlorella protothecoides]	KAF6253654.1 hypersensitive-induced response protein [Scenedesmus sp. NREL 46B-D3], KAF6263260.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]
OG0001331	RMZ52480.1 hypothetical protein APUTEX25_003623 [Auxenochlorella protothecoides], RMZ53781.1 hypothetical protein APUTEX25_003920 [Auxenochlorella protothecoides]	KAF6259451.1 hypothetical protein COO60DRAFT_1700847 [Scenedesmus sp. NREL 46B-D3]
OG0001332	RMZ52498.1 hypothetical protein APUTEX25_003641 [Auxenochlorella protothecoides]	KAF6257747.1 RNA polymerase I-associated factor PAF67-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001333	RMZ52501.1 hypothetical protein APUTEX25_003644_ partial [Auxenochlorella protothecoides]	KAF6258887.1 ClpP/crotonase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261538.1 cyclohex-1-ene-1-carboxyl-CoA hydratase [Scenedesmus sp. NREL 46B-D3]
OG0001334	RMZ52507.1 hypothetical protein APUTEX25_003650 [Auxenochlorella protothecoides]	KAF6262592.1 hypothetical protein COO60DRAFT_1699171 [Scenedesmus sp. NREL 46B-D3]
OG0001335	RMZ52518.1 hypothetical protein APUTEX25_003661_ partial [Auxenochlorella protothecoides]	KAF6265208.1 hypothetical protein COO60DRAFT_1035030 [Scenedesmus sp. NREL 46B-D3]
OG0001335	RMZ53835.1 hypothetical protein APUTEX25_003974 [Auxenochlorella protothecoides]	KAF6255235.1 hypothetical protein COO60DRAFT_1702932 [Scenedesmus sp. NREL 46B-D3]
OG0001336	RMZ52525.1 hypothetical protein APUTEX25_003668 [Auxenochlorella protothecoides]	KAF6251305.1 hypothetical protein COO60DRAFT_1561489 [Scenedesmus sp. NREL 46B-D3], KAF6253226.1 hypothetical protein COO60DRAFT_1703906 [Scenedesmus sp. NREL 46B-D3]
OG0001337	RMZ52528.1 hypothetical protein APUTEX25_003671 [Auxenochlorella protothecoides]	KAF6257301.1 Utp14 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001338	RMZ52539.1 hypothetical protein APUTEX25_003682_ partial [Auxenochlorella protothecoides]	KAF6257457.1 phosphatase family [Scenedesmus sp. NREL 46B-D3]
OG0001339	RMZ52598.1 hypothetical protein APUTEX25_000717 [Auxenochlorella protothecoides]	KAF6264307.1 chaperonin 10-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255095.1 chaperonin 10-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001340	RMZ52615.1 hypothetical protein APUTEX25_000734 [Auxenochlorella protothecoides]	KAF6256011.1 hypothetical protein COO60DRAFT_151543 [Scenedesmus sp. NREL 46B-D3], KAF6263281.1 diaminopimelate epimerase [Scenedesmus sp. NREL 46B-D3], KAF6263286.1 hypothetical protein COO60DRAFT_488362 [Scenedesmus sp. NREL 46B-D3]
OG0001341	RMZ52618.1 hypothetical protein APUTEX25_000737 [Auxenochlorella protothecoides]	KAF6259844.1 hypothetical protein COO60DRAFT_964922 [Scenedesmus sp. NREL 46B-D3]
OG0001342	RMZ52621.1 hypothetical protein APUTEX25_000740_ partial [Auxenochlorella protothecoides]	KAF6262215.1 NPL4 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262213.1 NPL4 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001343	RMZ52722.1 hypothetical protein APUTEX25_000841 [Auxenochlorella protothecoides]	KAF6237058.1 hypothetical protein COO60DRAFT_464443 [Scenedesmus sp. NREL 46B-D3], KAF6252370.1 Spc98 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001344	RMZ52740.1 hypothetical protein APUTEX25_000859 [Auxenochlorella protothecoides]	KAF6257322.1 ribose-phosphate pyrophosphokinase [Scenedesmus sp. NREL 46B-D3]
OG0001345	RMZ52746.1 hypothetical protein APUTEX25_000865 [Auxenochlorella protothecoides]	KAF6261003.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001346	RMZ52768.1 hypothetical protein APUTEX25_000887_ partial [Auxenochlorella protothecoides], RMZ52753.1 hypothetical protein APUTEX25_000872 [Auxenochlorella protothecoides]	KAF6255988.1 hypothetical protein COO60DRAFT_1702554 [Scenedesmus sp. NREL 46B-D3]
OG0001347	RMZ52788.1 hypothetical protein APUTEX25_000907 [Auxenochlorella protothecoides]	KAF6250665.1 mitochondrial substrate carrier [Scenedesmus sp. NREL 46B-D3]
OG0001348	RMZ52789.1 hypothetical protein APUTEX25_000908 [Auxenochlorella protothecoides]	KAF6266534.1 hypothetical protein COO60DRAFT_1697122 [Scenedesmus sp. NREL 46B-D3], KAF6264038.1 hypothetical protein COO60DRAFT_1624407 [Scenedesmus sp. NREL 46B-D3]
OG0001349	RMZ52790.1 hypothetical protein APUTEX25_000909 [Auxenochlorella protothecoides], RMZ55855.1 hypothetical protein APUTEX25_003821 [Auxenochlorella protothecoides]	KAF6255805.1 amino acid transmembrane transporter [Scenedesmus sp. NREL 46B-D3], KAF6255460.1 transmembrane amino acid transporter protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001350	RMZ52797.1 hypothetical protein APUTEX25_000916 [Auxenochlorella protothecoides]	KAF6252108.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252110.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001351	RMZ52810.1 hypothetical protein APUTEX25_000929_ partial [Auxenochlorella protothecoides]	KAF6262046.1 hypothetical protein COO60DRAFT_1699481 [Scenedesmus sp. NREL 46B-D3], KAF6250459.1 SMAD/FHA domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001352	RMZ53814.1 hypothetical protein APUTEX25_003953_ partial [Auxenochlorella protothecoides], RMZ52812.1 hypothetical protein APUTEX25_000931_ partial [Auxenochlorella protothecoides], RMZ54557.1 hypothetical protein APUTEX25_002132 [Auxenochlorella protothecoides], RMZ57250.1 hypothetical protein APUTEX25_004084 [Auxenochlorella protothecoides]	KAF6251769.1 glycosyltransferase family 92-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001353	RMZ52820.1 hypothetical protein APUTEX25_000939 [Auxenochlorella protothecoides]	KAF6252089.1 aminotransferase [Scenedesmus sp. NREL 46B-D3]
OG0001354	RMZ52830.1 hypothetical protein APUTEX25_000949_ partial [Auxenochlorella protothecoides]	KAF6254916.1 natural resistance-associated macrophage protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001355	RMZ52909.1 hypothetical protein APUTEX25_001028 [Auxenochlorella protothecoides]	KAF6265897.1 hypothetical protein COO60DRAFT_1633308 [Scenedesmus sp. NREL 46B-D3], KAF6255954.1 hypothetical protein COO60DRAFT_1702581 [Scenedesmus sp. NREL 46B-D3]
OG0001356	RMZ52941.1 hypothetical protein APUTEX25_001060_ partial [Auxenochlorella protothecoides]	KAF6257093.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6257094.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001357	RMZ52944.1 hypothetical protein APUTEX25_001063_ partial [Auxenochlorella protothecoides]	KAF6263076.1 phosphatase 2C-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001358	RMZ52946.1 hypothetical protein APUTEX25_001065_ partial [Auxenochlorella protothecoides]	KAF6259435.1 hypothetical protein COO60DRAFT_1626084 [Scenedesmus sp. NREL 46B-D3], KAF6259436.1 ribosomal protein S5 domain 2-type protein [Scenedesmus sp. NREL 46B-D3]
