Orthogroup	Auxenochlorella_protothecoides	Chlorella_KRBP
OG0000898	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]	QAXK01003876.1_5991-120
OG0000899	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides], RMZ52637.1 hypothetical protein APUTEX25_000756 [Auxenochlorella protothecoides]	QAXK01013989.1_346-4178
OG0000908	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]	QAXK01003972.1_3812-4471
OG0000925	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]	QAXK01005294.1_1798-325
OG0000926	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]	QAXK01006171.1_11343-179
OG0000932	RMZ54083.1 hypothetical protein APUTEX25_002660_ partial [Auxenochlorella protothecoides]	QAXK01003666.1_997-2479
OG0000934	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]	QAXK01002301.1_12772-10269
OG0000936	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]	QAXK01016824.1_8642-5783
OG0000942	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]	QAXK01000587.1_67122-65127
OG0000950	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]	QAXK01002497.1_4221-184
OG0000953	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]	QAXK01003575.1_2283-197
OG0000971	RMZ56356.1 hypothetical protein APUTEX25_004713 [Auxenochlorella protothecoides], RMZ55781.1 hypothetical protein APUTEX25_005822_ partial [Auxenochlorella protothecoides]	QAXK01002117.1_8261-6549
OG0000972	RMZ55817.1 hypothetical protein APUTEX25_003783 [Auxenochlorella protothecoides]	QAXK01000705.1_20067-23668
OG0000974	RMZ55871.1 hypothetical protein APUTEX25_003837_ partial [Auxenochlorella protothecoides]	QAXK01004234.1_3012-6646
OG0000975	RMZ55899.1 hypothetical protein APUTEX25_003865 [Auxenochlorella protothecoides]	QAXK01000204.1_17480-21863
OG0000993	RMZ56620.1 hypothetical protein APUTEX25_002709 [Auxenochlorella protothecoides]	QAXK01000283.1_5726-3204
OG0001052	RMZ52051.1 hypothetical protein APUTEX25_001245 [Auxenochlorella protothecoides]	QAXK01004375.1_5952-7899
OG0001054	RMZ52061.1 hypothetical protein APUTEX25_001255 [Auxenochlorella protothecoides]	QAXK01011306.1_4473-2613
OG0001058	RMZ52161.1 hypothetical protein APUTEX25_001551_ partial [Auxenochlorella protothecoides]	QAXK01006232.1_3779-3289
OG0001060	RMZ52203.1 hypothetical protein APUTEX25_001593 [Auxenochlorella protothecoides]	QAXK01001037.1_5070-1976
OG0001061	RMZ52209.1 hypothetical protein APUTEX25_001599 [Auxenochlorella protothecoides]	QAXK01005753.1_2076-3799
OG0001062	RMZ52255.1 hypothetical protein APUTEX25_001645 [Auxenochlorella protothecoides]	QAXK01000341.1_1318-5933
OG0001063	RMZ52260.1 hypothetical protein APUTEX25_001650 [Auxenochlorella protothecoides]	QAXK01005942.1_10013-5629
OG0001064	RMZ52271.1 hypothetical protein APUTEX25_001661_ partial [Auxenochlorella protothecoides]	QAXK01004812.1_12403-13506
OG0001072	RMZ52401.1 hypothetical protein APUTEX25_000676 [Auxenochlorella protothecoides]	QAXK01000429.1_50912-41458
OG0001074	RMZ52465.1 hypothetical protein APUTEX25_000044 [Auxenochlorella protothecoides]	QAXK01000217.1_8076-10531
OG0001079	RMZ52550.1 hypothetical protein APUTEX25_003693_ partial [Auxenochlorella protothecoides]	QAXK01000446.1_57156-52957
OG0001082	RMZ57010.1 hypothetical protein APUTEX25_002242 [Auxenochlorella protothecoides], RMZ52603.1 hypothetical protein APUTEX25_000722 [Auxenochlorella protothecoides]	QAXK01005854.1_4720-5401
OG0001088	RMZ52818.1 hypothetical protein APUTEX25_000937 [Auxenochlorella protothecoides]	QAXK01002175.1_7346-5749
OG0001094	RMZ52925.1 hypothetical protein APUTEX25_001044 [Auxenochlorella protothecoides]	QAXK01001089.1_6956-8023
OG0001095	RMZ52936.1 hypothetical protein APUTEX25_001055 [Auxenochlorella protothecoides]	QAXK01000217.1_13973-11099
OG0001096	RMZ52948.1 hypothetical protein APUTEX25_001067 [Auxenochlorella protothecoides]	QAXK01005613.1_12658-11106
OG0001099	RMZ52989.1 hypothetical protein APUTEX25_001108_ partial [Auxenochlorella protothecoides]	QAXK01001823.1_3618-2631
OG0001101	RMZ53044.1 hypothetical protein APUTEX25_001163_ partial [Auxenochlorella protothecoides]	QAXK01003836.1_8909-3187
OG0001103	RMZ53125.1 hypothetical protein APUTEX25_005114 [Auxenochlorella protothecoides]	QAXK01003163.1_8178-11099
OG0001105	RMZ53136.1 hypothetical protein APUTEX25_005125 [Auxenochlorella protothecoides]	QAXK01006902.1_4861-6562
OG0001120	RMZ53389.1 hypothetical protein APUTEX25_004877 [Auxenochlorella protothecoides]	QAXK01002607.1_494-808
OG0001122	RMZ53429.1 hypothetical protein APUTEX25_004917_ partial [Auxenochlorella protothecoides], RMZ57149.1 hypothetical protein APUTEX25_003606_ partial [Auxenochlorella protothecoides]	QAXK01010311.1_2932-555
OG0001123	RMZ53506.1 hypothetical protein APUTEX25_003328 [Auxenochlorella protothecoides]	QAXK01007750.1_2281-4745
OG0001133	RMZ53758.1 hypothetical protein APUTEX25_003897 [Auxenochlorella protothecoides]	QAXK01006196.1_4390-1589
OG0001143	RMZ53994.1 hypothetical protein APUTEX25_002571_ partial [Auxenochlorella protothecoides]	QAXK01003700.1_2979-9653
OG0001144	RMZ54013.1 hypothetical protein APUTEX25_002590 [Auxenochlorella protothecoides]	QAXK01003900.1_2413-4929
OG0001154	RMZ54352.1 hypothetical protein APUTEX25_001928 [Auxenochlorella protothecoides]	QAXK01011150.1_3959-2216
OG0001156	RMZ54381.1 hypothetical protein APUTEX25_001957_ partial [Auxenochlorella protothecoides]	QAXK01018601.1_3296-410
OG0001158	RMZ54442.1 hypothetical protein APUTEX25_002018 [Auxenochlorella protothecoides]	QAXK01006945.1_6596-10279
OG0001161	RMZ54485.1 hypothetical protein APUTEX25_002061_ partial [Auxenochlorella protothecoides]	QAXK01004407.1_7887-8977
OG0001166	RMZ54569.1 hypothetical protein APUTEX25_002144_ partial [Auxenochlorella protothecoides]	QAXK01009825.1_846-2644
OG0001171	RMZ54700.1 hypothetical protein APUTEX25_003078 [Auxenochlorella protothecoides]	QAXK01006983.1_10356-12388
OG0001176	RMZ54898.1 hypothetical protein APUTEX25_000415 [Auxenochlorella protothecoides]	QAXK01004323.1_8147-5874
OG0001180	RMZ55021.1 hypothetical protein APUTEX25_005647_ partial [Auxenochlorella protothecoides]	QAXK01019295.1_3574-2070
OG0001194	RMZ55324.1 hypothetical protein APUTEX25_003462 [Auxenochlorella protothecoides]	QAXK01001649.1_8862-4505
OG0001201	RMZ55516.1 hypothetical protein APUTEX25_000099 [Auxenochlorella protothecoides]	QAXK01000596.1_10252-6748
OG0001208	RMZ55954.1 hypothetical protein APUTEX25_004378 [Auxenochlorella protothecoides]	QAXK01012769.1_10100-9091
OG0001212	RMZ56061.1 hypothetical protein APUTEX25_004485 [Auxenochlorella protothecoides]	QAXK01005236.1_15612-13478
OG0001214	RMZ56159.1 hypothetical protein APUTEX25_004583_ partial [Auxenochlorella protothecoides]	QAXK01012739.1_10679-8642
OG0001216	RMZ56352.1 hypothetical protein APUTEX25_004709 [Auxenochlorella protothecoides]	QAXK01001490.1_17280-15927
OG0001219	RMZ56523.1 hypothetical protein APUTEX25_001370_ partial [Auxenochlorella protothecoides]	QAXK01008035.1_3747-6912
OG0001221	RMZ56628.1 hypothetical protein APUTEX25_002717 [Auxenochlorella protothecoides]	QAXK01001061.1_17190-18239
OG0001223	RMZ56644.1 hypothetical protein APUTEX25_002733 [Auxenochlorella protothecoides]	QAXK01005846.1_3896-588
OG0001225	RMZ56710.1 hypothetical protein APUTEX25_002799 [Auxenochlorella protothecoides], RMZ56664.1 hypothetical protein APUTEX25_002753_ partial [Auxenochlorella protothecoides]	QAXK01000732.1_2978-2655
OG0001229	RMZ56784.1 hypothetical protein APUTEX25_002873 [Auxenochlorella protothecoides]	QAXK01016063.1_5569-3270
OG0001231	RMZ56919.1 hypothetical protein APUTEX25_004981 [Auxenochlorella protothecoides]	QAXK01000362.1_21408-20438
OG0001236	RMZ57185.1 hypothetical protein APUTEX25_004019 [Auxenochlorella protothecoides]	QAXK01000513.1_15183-11736
OG0001242	RMZ57497.1 hypothetical protein APUTEX25_003740_ partial [Auxenochlorella protothecoides]	QAXK01004645.1_1487-5075
OG0001246	RMZ57589.1 hypothetical protein APUTEX25_001789 [Auxenochlorella protothecoides]	QAXK01010639.1_8900-15142
OG0001248	RMZ57830.1 hypothetical protein APUTEX25_002159_ partial [Auxenochlorella protothecoides]	QAXK01010718.1_75-1989
OG0001307	RMZ52027.1 hypothetical protein APUTEX25_001221 [Auxenochlorella protothecoides]	QAXK01005917.1_319-7230
OG0001308	RMZ52039.1 hypothetical protein APUTEX25_001233 [Auxenochlorella protothecoides]	QAXK01006084.1_8922-13556
OG0001309	RMZ52043.1 hypothetical protein APUTEX25_001237 [Auxenochlorella protothecoides]	QAXK01004533.1_5070-10667
OG0001310	RMZ52046.1 hypothetical protein APUTEX25_001240_ partial [Auxenochlorella protothecoides]	QAXK01002895.1_5020-6663
OG0001311	RMZ52066.1 hypothetical protein APUTEX25_001260_ partial [Auxenochlorella protothecoides]	QAXK01001613.1_2521-6885
OG0001312	RMZ52072.1 hypothetical protein APUTEX25_001266 [Auxenochlorella protothecoides]	QAXK01003510.1_1900-3653
OG0001313	RMZ52088.1 hypothetical protein APUTEX25_001282 [Auxenochlorella protothecoides]	QAXK01001184.1_9548-5781
OG0001314	RMZ52094.1 hypothetical protein APUTEX25_001288 [Auxenochlorella protothecoides]	QAXK01001944.1_3765-1753
OG0001316	RMZ52146.1 hypothetical protein APUTEX25_001536 [Auxenochlorella protothecoides]	QAXK01006921.1_16832-14836
OG0001317	RMZ52148.1 hypothetical protein APUTEX25_001538_ partial [Auxenochlorella protothecoides]	QAXK01010058.1_4279-1636
OG0001318	RMZ52177.1 hypothetical protein APUTEX25_001567 [Auxenochlorella protothecoides]	QAXK01001801.1_7866-9916
OG0001320	RMZ52221.1 hypothetical protein APUTEX25_001611 [Auxenochlorella protothecoides]	QAXK01000167.1_14384-11911
OG0001328	RMZ52396.1 hypothetical protein APUTEX25_000671 [Auxenochlorella protothecoides]	QAXK01006882.1_17133-19836
OG0001331	RMZ52480.1 hypothetical protein APUTEX25_003623 [Auxenochlorella protothecoides], RMZ53781.1 hypothetical protein APUTEX25_003920 [Auxenochlorella protothecoides]	QAXK01009171.1_15170-12352
OG0001332	RMZ52498.1 hypothetical protein APUTEX25_003641 [Auxenochlorella protothecoides]	QAXK01004338.1_10706-15436
OG0001334	RMZ52507.1 hypothetical protein APUTEX25_003650 [Auxenochlorella protothecoides]	QAXK01003133.1_258-4577
OG0001338	RMZ52539.1 hypothetical protein APUTEX25_003682_ partial [Auxenochlorella protothecoides]	QAXK01002293.1_4021-8056
OG0001340	RMZ52615.1 hypothetical protein APUTEX25_000734 [Auxenochlorella protothecoides]	QAXK01004523.1_6228-4685
OG0001342	RMZ52621.1 hypothetical protein APUTEX25_000740_ partial [Auxenochlorella protothecoides]	QAXK01003268.1_11937-16935
OG0001343	RMZ52722.1 hypothetical protein APUTEX25_000841 [Auxenochlorella protothecoides]	QAXK01000799.1_6873-2057
OG0001353	RMZ52820.1 hypothetical protein APUTEX25_000939 [Auxenochlorella protothecoides]	QAXK01011632.1_4873-7912
OG0001356	RMZ52941.1 hypothetical protein APUTEX25_001060_ partial [Auxenochlorella protothecoides]	QAXK01003307.1_27135-26267
OG0001360	RMZ52976.1 hypothetical protein APUTEX25_001095 [Auxenochlorella protothecoides]	QAXK01001741.1_6153-8648
OG0001363	RMZ53122.1 hypothetical protein APUTEX25_005111_ partial [Auxenochlorella protothecoides]	QAXK01003747.1_13973-10331
OG0001365	RMZ53135.1 hypothetical protein APUTEX25_005124 [Auxenochlorella protothecoides]	QAXK01000515.1_20837-25236
OG0001366	RMZ53142.1 hypothetical protein APUTEX25_005131 [Auxenochlorella protothecoides]	QAXK01004846.1_20461-19235
OG0001370	RMZ53171.1 hypothetical protein APUTEX25_005160 [Auxenochlorella protothecoides]	QAXK01000381.1_4423-6771
OG0001374	RMZ53194.1 hypothetical protein APUTEX25_005183_ partial [Auxenochlorella protothecoides]	QAXK01013224.1_5335-6988
OG0001375	RMZ53223.1 hypothetical protein APUTEX25_005212 [Auxenochlorella protothecoides]	QAXK01005120.1_8361-10056
OG0001376	RMZ53247.1 hypothetical protein APUTEX25_005236 [Auxenochlorella protothecoides], RMZ53235.1 hypothetical protein APUTEX25_005224 [Auxenochlorella protothecoides]	QAXK01019935.1_413-1820
OG0001381	RMZ53325.1 hypothetical protein APUTEX25_004813 [Auxenochlorella protothecoides]	QAXK01000172.1_6135-2748
OG0001382	RMZ53337.1 hypothetical protein APUTEX25_004825_ partial [Auxenochlorella protothecoides]	QAXK01001066.1_8917-1138
OG0001383	RMZ53373.1 hypothetical protein APUTEX25_004861_ partial [Auxenochlorella protothecoides]	QAXK01003326.1_3639-1243
OG0001385	RMZ53421.1 hypothetical protein APUTEX25_004909_ partial [Auxenochlorella protothecoides]	QAXK01005279.1_10173-5871
OG0001388	RMZ53491.1 hypothetical protein APUTEX25_003313_ partial [Auxenochlorella protothecoides]	QAXK01001208.1_10635-13964
OG0001393	RMZ53620.1 hypothetical protein APUTEX25_003154_ partial [Auxenochlorella protothecoides]	QAXK01005917.1_17047-13738
OG0001397	RMZ53645.1 hypothetical protein APUTEX25_003179 [Auxenochlorella protothecoides]	QAXK01000502.1_39339-43298
OG0001398	RMZ53652.1 hypothetical protein APUTEX25_003186 [Auxenochlorella protothecoides]	QAXK01003277.1_3770-8
OG0001400	RMZ53663.1 hypothetical protein APUTEX25_003197 [Auxenochlorella protothecoides]	QAXK01001993.1_28544-29840
OG0001401	RMZ53689.1 hypothetical protein APUTEX25_003223 [Auxenochlorella protothecoides]	QAXK01010276.1_2943-1867
OG0001406	RMZ53802.1 hypothetical protein APUTEX25_003941 [Auxenochlorella protothecoides]	QAXK01000595.1_2983-1676
OG0001408	RMZ53813.1 hypothetical protein APUTEX25_003952 [Auxenochlorella protothecoides]	QAXK01000367.1_8675-18356
OG0001409	RMZ53876.1 hypothetical protein APUTEX25_005622 [Auxenochlorella protothecoides]	QAXK01004930.1_4250-5628
OG0001417	RMZ53961.1 hypothetical protein APUTEX25_002538 [Auxenochlorella protothecoides]	QAXK01005381.1_315-2273
OG0001420	RMZ53982.1 hypothetical protein APUTEX25_002559 [Auxenochlorella protothecoides]	QAXK01000297.1_21777-22493
OG0001424	RMZ54027.1 hypothetical protein APUTEX25_002604 [Auxenochlorella protothecoides]	QAXK01001628.1_9434-11057
OG0001425	RMZ54031.1 hypothetical protein APUTEX25_002608 [Auxenochlorella protothecoides]	QAXK01003581.1_2363-4183
OG0001426	RMZ54040.1 hypothetical protein APUTEX25_002617 [Auxenochlorella protothecoides]	QAXK01005880.1_1-9276
OG0001428	RMZ54058.1 hypothetical protein APUTEX25_002635 [Auxenochlorella protothecoides]	QAXK01000837.1_14096-17956
OG0001431	RMZ57736.1 hypothetical protein APUTEX25_003265_ partial [Auxenochlorella protothecoides], RMZ54177.1 hypothetical protein APUTEX25_005333 [Auxenochlorella protothecoides]	QAXK01013424.1_6153-1945
OG0001432	RMZ54237.1 hypothetical protein APUTEX25_000588 [Auxenochlorella protothecoides]	QAXK01000224.1_16848-15439
OG0001445	RMZ54593.1 hypothetical protein APUTEX25_002179_ partial [Auxenochlorella protothecoides]	QAXK01000732.1_11950-7418
OG0001455	RMZ54805.1 hypothetical protein APUTEX25_000322 [Auxenochlorella protothecoides]	QAXK01001576.1_5934-8651
OG0001456	RMZ54813.1 hypothetical protein APUTEX25_000330_ partial [Auxenochlorella protothecoides]	QAXK01006785.1_1906-1226
OG0001460	RMZ54895.1 hypothetical protein APUTEX25_000412 [Auxenochlorella protothecoides]	QAXK01015424.1_3358-1233
OG0001462	RMZ54918.1 hypothetical protein APUTEX25_000435 [Auxenochlorella protothecoides]	QAXK01002112.1_6014-14709
OG0001465	RMZ54952.1 hypothetical protein APUTEX25_000469_ partial [Auxenochlorella protothecoides]	QAXK01006322.1_7890-11183
OG0001469	RMZ55033.1 hypothetical protein APUTEX25_005659 [Auxenochlorella protothecoides]	QAXK01007783.1_10721-12010
OG0001473	RMZ55150.1 hypothetical protein APUTEX25_005428 [Auxenochlorella protothecoides]	QAXK01003650.1_4575-2929
OG0001476	RMZ55169.1 hypothetical protein APUTEX25_005447 [Auxenochlorella protothecoides]	QAXK01001134.1_7136-9582
OG0001477	RMZ55185.1 hypothetical protein APUTEX25_005463 [Auxenochlorella protothecoides]	QAXK01003160.1_17527-15091
OG0001480	RMZ55222.1 hypothetical protein APUTEX25_005500 [Auxenochlorella protothecoides]	QAXK01000632.1_24086-22557
OG0001482	RMZ55295.1 hypothetical protein APUTEX25_003433_ partial [Auxenochlorella protothecoides]	QAXK01000159.1_14204-11398
OG0001488	RMZ55396.1 hypothetical protein APUTEX25_003520 [Auxenochlorella protothecoides]	QAXK01004286.1_7784-2904
OG0001492	RMZ55430.1 hypothetical protein APUTEX25_003554 [Auxenochlorella protothecoides]	QAXK01003809.1_2040-4733
OG0001493	RMZ55431.1 hypothetical protein APUTEX25_003555 [Auxenochlorella protothecoides]	QAXK01001201.1_5367-10319
OG0001503	RMZ55634.1 hypothetical protein APUTEX25_000217 [Auxenochlorella protothecoides], RMZ55664.1 hypothetical protein APUTEX25_000247_ partial [Auxenochlorella protothecoides]	QAXK01001163.1_27767-28960
OG0001506	RMZ55719.1 hypothetical protein APUTEX25_005760 [Auxenochlorella protothecoides]	QAXK01000137.1_3425-4331
OG0001508	RMZ55747.1 hypothetical protein APUTEX25_005788 [Auxenochlorella protothecoides]	QAXK01001982.1_904-3015
OG0001514	RMZ55852.1 hypothetical protein APUTEX25_003818 [Auxenochlorella protothecoides]	QAXK01003231.1_16625-14068
OG0001526	RMZ56107.1 hypothetical protein APUTEX25_004531_ partial [Auxenochlorella protothecoides]	QAXK01019948.1_5388-2969
OG0001527	RMZ56109.1 hypothetical protein APUTEX25_004533 [Auxenochlorella protothecoides]	QAXK01013863.1_4654-1867
OG0001528	RMZ56117.1 hypothetical protein APUTEX25_004541 [Auxenochlorella protothecoides]	QAXK01000325.1_37384-41123
OG0001529	RMZ56120.1 hypothetical protein APUTEX25_004544 [Auxenochlorella protothecoides]	QAXK01004092.1_4427-5291
OG0001532	RMZ56156.1 hypothetical protein APUTEX25_004580_ partial [Auxenochlorella protothecoides]	QAXK01000782.1_11007-12134
OG0001533	RMZ56197.1 hypothetical protein APUTEX25_002387 [Auxenochlorella protothecoides]	QAXK01000265.1_17007-12444
OG0001534	RMZ56208.1 hypothetical protein APUTEX25_002398 [Auxenochlorella protothecoides]	QAXK01000695.1_5671-2183
OG0001538	RMZ56267.1 hypothetical protein APUTEX25_002457 [Auxenochlorella protothecoides]	QAXK01009353.1_4260-348
OG0001542	RMZ56331.1 hypothetical protein APUTEX25_003491 [Auxenochlorella protothecoides]	QAXK01011884.1_2510-4036
OG0001544	RMZ56405.1 hypothetical protein APUTEX25_004628_ partial [Auxenochlorella protothecoides]	QAXK01002332.1_5291-4007
OG0001545	RMZ56406.1 hypothetical protein APUTEX25_004629 [Auxenochlorella protothecoides]	QAXK01000350.1_22889-27018
OG0001546	RMZ56438.1 hypothetical protein APUTEX25_004661_ partial [Auxenochlorella protothecoides]	QAXK01011857.1_1226-3209
OG0001548	RMZ56535.1 hypothetical protein APUTEX25_001382_ partial [Auxenochlorella protothecoides]	QAXK01001795.1_1688-3314
OG0001549	RMZ56549.1 hypothetical protein APUTEX25_001396 [Auxenochlorella protothecoides]	QAXK01005406.1_4717-2509
OG0001550	RMZ56551.1 hypothetical protein APUTEX25_001398 [Auxenochlorella protothecoides]	QAXK01004537.1_7009-1449
OG0001551	RMZ56589.1 hypothetical protein APUTEX25_003499 [Auxenochlorella protothecoides]	QAXK01006072.1_19473-19787
OG0001554	RMZ56613.1 hypothetical protein APUTEX25_002702 [Auxenochlorella protothecoides]	QAXK01001638.1_7681-11612
OG0001561	RMZ56762.1 hypothetical protein APUTEX25_002851 [Auxenochlorella protothecoides]	QAXK01003228.1_3995-6597
OG0001562	RMZ56778.1 hypothetical protein APUTEX25_002867 [Auxenochlorella protothecoides]	QAXK01000869.1_5647-9196
OG0001571	RMZ57034.1 hypothetical protein APUTEX25_002266 [Auxenochlorella protothecoides]	QAXK01005898.1_15715-20620
OG0001573	RMZ57080.1 hypothetical protein APUTEX25_002312_ partial [Auxenochlorella protothecoides]	QAXK01001714.1_23807-22483
OG0001575	RMZ57107.1 hypothetical protein APUTEX25_002339 [Auxenochlorella protothecoides]	QAXK01006456.1_5116-6698
OG0001576	RMZ57169.1 hypothetical protein APUTEX25_004003 [Auxenochlorella protothecoides]	QAXK01003511.1_8584-2188
OG0001579	RMZ57183.1 hypothetical protein APUTEX25_004017 [Auxenochlorella protothecoides]	QAXK01000149.1_3007-205
OG0001581	RMZ57262.1 hypothetical protein APUTEX25_004096 [Auxenochlorella protothecoides]	QAXK01003468.1_8146-4525
OG0001582	RMZ57265.1 hypothetical protein APUTEX25_004099_ partial [Auxenochlorella protothecoides]	QAXK01003110.1_3669-4960
OG0001592	RMZ57504.1 hypothetical protein APUTEX25_003747_ partial [Auxenochlorella protothecoides]	QAXK01004995.1_4321-153
OG0001595	RMZ57584.1 hypothetical protein APUTEX25_001784 [Auxenochlorella protothecoides]	QAXK01003821.1_4511-8191
OG0001599	RMZ57679.1 hypothetical protein APUTEX25_001879_ partial [Auxenochlorella protothecoides]	QAXK01001163.1_31234-32344
OG0001666	RMZ52022.1 hypothetical protein APUTEX25_001216 [Auxenochlorella protothecoides]	QAXK01000648.1_7716-3949
OG0001670	RMZ52079.1 hypothetical protein APUTEX25_001273 [Auxenochlorella protothecoides]	QAXK01001801.1_20671-18627
OG0001676	RMZ52138.1 hypothetical protein APUTEX25_001528_ partial [Auxenochlorella protothecoides]	QAXK01000084.1_15952-9180
OG0001677	RMZ52141.1 hypothetical protein APUTEX25_001531 [Auxenochlorella protothecoides]	QAXK01006154.1_7199-4782
OG0001679	RMZ52157.1 hypothetical protein APUTEX25_001547 [Auxenochlorella protothecoides]	QAXK01005586.1_4660-3715
OG0001681	RMZ52170.1 hypothetical protein APUTEX25_001560_ partial [Auxenochlorella protothecoides]	QAXK01003694.1_10054-1111
OG0001683	RMZ52174.1 hypothetical protein APUTEX25_001564 [Auxenochlorella protothecoides]	QAXK01005873.1_4902-1877
OG0001684	RMZ52191.1 hypothetical protein APUTEX25_001581_ partial [Auxenochlorella protothecoides]	QAXK01001160.1_46203-44172
OG0001686	RMZ52199.1 hypothetical protein APUTEX25_001589_ partial [Auxenochlorella protothecoides]	QAXK01001518.1_29154-38461
OG0001687	RMZ52202.1 hypothetical protein APUTEX25_001592 [Auxenochlorella protothecoides]	QAXK01011350.1_4968-4302
OG0001689	RMZ52216.1 hypothetical protein APUTEX25_001606 [Auxenochlorella protothecoides]	QAXK01000325.1_49285-50693
OG0001691	RMZ52236.1 hypothetical protein APUTEX25_001626 [Auxenochlorella protothecoides]	QAXK01009543.1_7053-9512
OG0001694	RMZ52283.1 hypothetical protein APUTEX25_001673 [Auxenochlorella protothecoides]	QAXK01004860.1_550-2257
OG0001698	RMZ52342.1 hypothetical protein APUTEX25_005095 [Auxenochlorella protothecoides]	QAXK01011739.1_15998-17366
OG0001700	RMZ52350.1 hypothetical protein APUTEX25_001712 [Auxenochlorella protothecoides]	QAXK01001944.1_5351-7976
OG0001702	RMZ52366.1 hypothetical protein APUTEX25_000641 [Auxenochlorella protothecoides]	QAXK01000864.1_61145-62900
OG0001703	RMZ52368.1 hypothetical protein APUTEX25_000643 [Auxenochlorella protothecoides]	QAXK01003602.1_34329-32576
OG0001704	RMZ52369.1 hypothetical protein APUTEX25_000644 [Auxenochlorella protothecoides]	QAXK01008991.1_236-2513
OG0001705	RMZ52373.1 hypothetical protein APUTEX25_000648_ partial [Auxenochlorella protothecoides]	QAXK01002478.1_7313-12188
OG0001708	RMZ52384.1 hypothetical protein APUTEX25_000659 [Auxenochlorella protothecoides]	QAXK01014303.1_4896-6584
OG0001709	RMZ52386.1 hypothetical protein APUTEX25_000661 [Auxenochlorella protothecoides]	QAXK01018148.1_4196-2780
OG0001712	RMZ52449.1 hypothetical protein APUTEX25_000028 [Auxenochlorella protothecoides]	QAXK01008136.1_3960-6111
OG0001713	RMZ52452.1 hypothetical protein APUTEX25_000031 [Auxenochlorella protothecoides]	QAXK01001137.1_1588-5821
OG0001714	RMZ52473.1 hypothetical protein APUTEX25_003616 [Auxenochlorella protothecoides]	QAXK01014632.1_3916-2466
OG0001715	RMZ52489.1 hypothetical protein APUTEX25_003632 [Auxenochlorella protothecoides]	QAXK01004338.1_24179-21163
OG0001716	RMZ52495.1 hypothetical protein APUTEX25_003638 [Auxenochlorella protothecoides]	QAXK01000646.1_3437-2178
OG0001718	RMZ52506.1 hypothetical protein APUTEX25_003649_ partial [Auxenochlorella protothecoides], RMZ54616.1 hypothetical protein APUTEX25_002202 [Auxenochlorella protothecoides]	QAXK01002273.1_1901-3023
OG0001719	RMZ52535.1 hypothetical protein APUTEX25_003678 [Auxenochlorella protothecoides]	QAXK01013811.1_5298-9155
OG0001724	RMZ52625.1 hypothetical protein APUTEX25_000744 [Auxenochlorella protothecoides]	QAXK01006565.1_2429-269
OG0001728	RMZ52641.1 hypothetical protein APUTEX25_000760 [Auxenochlorella protothecoides]	QAXK01001807.1_1026-15
OG0001729	RMZ52642.1 hypothetical protein APUTEX25_000761 [Auxenochlorella protothecoides]	QAXK01006338.1_1051-28
OG0001737	RMZ52680.1 hypothetical protein APUTEX25_000799 [Auxenochlorella protothecoides]	QAXK01014793.1_2710-905
OG0001738	RMZ52683.1 hypothetical protein APUTEX25_000802 [Auxenochlorella protothecoides]	QAXK01000446.1_74898-73132
OG0001743	RMZ52726.1 hypothetical protein APUTEX25_000845_ partial [Auxenochlorella protothecoides]	QAXK01001289.1_5327-2954
OG0001744	RMZ52744.1 hypothetical protein APUTEX25_000863_ partial [Auxenochlorella protothecoides]	QAXK01016939.1_17085-19159
OG0001748	RMZ52814.1 hypothetical protein APUTEX25_000933_ partial [Auxenochlorella protothecoides]	QAXK01007592.1_13848-10196
OG0001750	RMZ52825.1 hypothetical protein APUTEX25_000944 [Auxenochlorella protothecoides]	QAXK01018869.1_1324-446
OG0001751	RMZ52833.1 hypothetical protein APUTEX25_000952_ partial [Auxenochlorella protothecoides]	QAXK01000276.1_2022-2543
OG0001756	RMZ52862.1 hypothetical protein APUTEX25_000981_ partial [Auxenochlorella protothecoides]	QAXK01004906.1_9592-13569
OG0001760	RMZ52914.1 hypothetical protein APUTEX25_001033 [Auxenochlorella protothecoides]	QAXK01008046.1_15224-18152
OG0001763	RMZ52932.1 hypothetical protein APUTEX25_001051 [Auxenochlorella protothecoides]	QAXK01006402.1_6220-3948
OG0001770	RMZ53006.1 hypothetical protein APUTEX25_001125 [Auxenochlorella protothecoides]	QAXK01001922.1_7027-5313
OG0001772	RMZ53026.1 hypothetical protein APUTEX25_001145 [Auxenochlorella protothecoides]	QAXK01010435.1_780-2170
OG0001778	RMZ53101.1 hypothetical protein APUTEX25_002510_ partial [Auxenochlorella protothecoides]	QAXK01006312.1_5841-2543
