Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99
OG0000679	RMZ55895.1 hypothetical protein APUTEX25_003861 [Auxenochlorella protothecoides]	PCFQ01000010.1 g303 [Chlorella sp. A99]
OG0000680	RMZ56111.1 hypothetical protein APUTEX25_004535 [Auxenochlorella protothecoides]	PCFQ01000058.1 g98 [Chlorella sp. A99]
OG0000681	RMZ56005.1 hypothetical protein APUTEX25_004429_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g128 [Chlorella sp. A99]
OG0000682	RMZ56024.1 hypothetical protein APUTEX25_004448 [Auxenochlorella protothecoides]	PCFQ01000082.1 g542 [Chlorella sp. A99]
OG0000684	RMZ56759.1 hypothetical protein APUTEX25_002848 [Auxenochlorella protothecoides]	PCFQ01000002.1 g686 [Chlorella sp. A99]
OG0000684	RMZ56185.1 hypothetical protein APUTEX25_002375_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g625 [Chlorella sp. A99]
OG0000685	RMZ56195.1 hypothetical protein APUTEX25_002385 [Auxenochlorella protothecoides]	PCFQ01000002.1 g717 [Chlorella sp. A99]
OG0000685	RMZ56230.1 hypothetical protein APUTEX25_002420 [Auxenochlorella protothecoides]	PCFQ01000002.1 g716 [Chlorella sp. A99]
OG0000686	RMZ56372.1 hypothetical protein APUTEX25_004729 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1094 [Chlorella sp. A99]
OG0000687	RMZ56863.1 hypothetical protein APUTEX25_002952 [Auxenochlorella protothecoides], RMZ56380.1 hypothetical protein APUTEX25_004737 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3102 [Chlorella sp. A99]
OG0000688	RMZ56435.1 hypothetical protein APUTEX25_004658 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1160 [Chlorella sp. A99]
OG0000689	RMZ56566.1 hypothetical protein APUTEX25_001413 [Auxenochlorella protothecoides]	PCFQ01000018.1 g400 [Chlorella sp. A99]
OG0000690	RMZ56612.1 hypothetical protein APUTEX25_002701 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3135 [Chlorella sp. A99]
OG0000692	RMZ56647.1 hypothetical protein APUTEX25_002736 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2074 [Chlorella sp. A99]
OG0000692	RMZ56634.1 hypothetical protein APUTEX25_002723_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2078 [Chlorella sp. A99]
OG0000694	RMZ56696.1 hypothetical protein APUTEX25_002785 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3141 [Chlorella sp. A99]
OG0000695	RMZ56703.1 hypothetical protein APUTEX25_002792_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]
OG0000696	RMZ56712.1 hypothetical protein APUTEX25_002801 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1083 [Chlorella sp. A99]
OG0000697	RMZ57035.1 hypothetical protein APUTEX25_002267 [Auxenochlorella protothecoides], RMZ56775.1 hypothetical protein APUTEX25_002864 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2398 [Chlorella sp. A99]
OG0000700	RMZ57155.1 hypothetical protein APUTEX25_003989 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3221 [Chlorella sp. A99]
OG0000701	RMZ57220.1 hypothetical protein APUTEX25_004054 [Auxenochlorella protothecoides]	PCFQ01000002.1 g648 [Chlorella sp. A99]
OG0000702	RMZ57280.1 hypothetical protein APUTEX25_004114 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2583 [Chlorella sp. A99]
OG0000703	RMZ57397.1 hypothetical protein APUTEX25_004231_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3358 [Chlorella sp. A99]
OG0000706	RMZ57456.1 hypothetical protein APUTEX25_004290 [Auxenochlorella protothecoides]	PCFQ01000058.1 g75 [Chlorella sp. A99]
OG0000709	RMZ57550.1 hypothetical protein APUTEX25_001750 [Auxenochlorella protothecoides], RMZ57593.1 hypothetical protein APUTEX25_001793 [Auxenochlorella protothecoides]	PCFQ01000009.1 g1708 [Chlorella sp. A99]
OG0000710	RMZ57675.1 hypothetical protein APUTEX25_001875 [Auxenochlorella protothecoides]	PCFQ01000023.1 g2237 [Chlorella sp. A99]
OG0000730	RMZ52364.1 hypothetical protein APUTEX25_000639_ partial [Auxenochlorella protothecoides]	PCFQ01000037.1 g2422 [Chlorella sp. A99], PCFQ01000037.1 g2421 [Chlorella sp. A99]
OG0000731	RMZ52952.1 hypothetical protein APUTEX25_001071 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1657 [Chlorella sp. A99]
OG0000733	RMZ52557.1 hypothetical protein APUTEX25_003700 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2372 [Chlorella sp. A99]
OG0000734	RMZ52645.1 hypothetical protein APUTEX25_000764 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1081 [Chlorella sp. A99]
OG0000736	RMZ52679.1 hypothetical protein APUTEX25_000798 [Auxenochlorella protothecoides]	PCFQ01000013.1 g3344 [Chlorella sp. A99]
OG0000738	RMZ52767.1 hypothetical protein APUTEX25_000886 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1406 [Chlorella sp. A99]
OG0000740	RMZ52805.1 hypothetical protein APUTEX25_000924_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3265 [Chlorella sp. A99]
OG0000741	RMZ52828.1 hypothetical protein APUTEX25_000947 [Auxenochlorella protothecoides], RMZ54481.1 hypothetical protein APUTEX25_002057_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2019 [Chlorella sp. A99]
OG0000745	RMZ53084.1 hypothetical protein APUTEX25_002493_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2062 [Chlorella sp. A99]
OG0000747	RMZ57809.1 hypothetical protein APUTEX25_000571_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3352 [Chlorella sp. A99]
OG0000749	RMZ53211.1 hypothetical protein APUTEX25_005200 [Auxenochlorella protothecoides]	PCFQ01000046.1 g1851 [Chlorella sp. A99], PCFQ01000011.1 g2816 [Chlorella sp. A99]
OG0000750	RMZ53214.1 hypothetical protein APUTEX25_005203_ partial [Auxenochlorella protothecoides]	PCFQ01000081.1 g1579 [Chlorella sp. A99]
OG0000751	RMZ53327.1 hypothetical protein APUTEX25_004815 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2595 [Chlorella sp. A99]
OG0000753	RMZ53347.1 hypothetical protein APUTEX25_004835_ partial [Auxenochlorella protothecoides]	PCFQ01000023.1 g2230 [Chlorella sp. A99]
OG0000755	RMZ53493.1 hypothetical protein APUTEX25_003315 [Auxenochlorella protothecoides], RMZ53553.1 hypothetical protein APUTEX25_003375 [Auxenochlorella protothecoides], RMZ53482.1 hypothetical protein APUTEX25_003304 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2783 [Chlorella sp. A99]
OG0000757	RMZ53539.1 hypothetical protein APUTEX25_003361_ partial [Auxenochlorella protothecoides]	PCFQ01000008.1 g1097 [Chlorella sp. A99]
OG0000760	RMZ53702.1 hypothetical protein APUTEX25_003236 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2073 [Chlorella sp. A99], PCFQ01000037.1 g2430 [Chlorella sp. A99]
OG0000761	RMZ57501.1 hypothetical protein APUTEX25_003744 [Auxenochlorella protothecoides]	PCFQ01000058.1 g58 [Chlorella sp. A99]
OG0000763	RMZ53737.1 hypothetical protein APUTEX25_003876 [Auxenochlorella protothecoides]	PCFQ01000019.1 g1786 [Chlorella sp. A99]
OG0000765	RMZ53772.1 hypothetical protein APUTEX25_003911_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g633 [Chlorella sp. A99]
OG0000767	RMZ53871.1 hypothetical protein APUTEX25_005617_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g1997 [Chlorella sp. A99], PCFQ01000078.1 g1996 [Chlorella sp. A99]
OG0000768	RMZ57184.1 hypothetical protein APUTEX25_004018 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2771 [Chlorella sp. A99]
OG0000769	RMZ53977.1 hypothetical protein APUTEX25_002554_ partial [Auxenochlorella protothecoides]	PCFQ01000014.1 g1900 [Chlorella sp. A99]
OG0000770	RMZ54042.1 hypothetical protein APUTEX25_002619_ partial [Auxenochlorella protothecoides]	PCFQ01000009.1 g1725 [Chlorella sp. A99]
OG0000771	RMZ54153.1 hypothetical protein APUTEX25_005309 [Auxenochlorella protothecoides]	PCFQ01000005.1 g748 [Chlorella sp. A99]
OG0000772	RMZ54172.1 hypothetical protein APUTEX25_005328 [Auxenochlorella protothecoides]	PCFQ01000082.1 g498 [Chlorella sp. A99], PCFQ01000020.1 g872 [Chlorella sp. A99]
OG0000773	RMZ54183.1 hypothetical protein APUTEX25_005339 [Auxenochlorella protothecoides]	PCFQ01000005.1 g758 [Chlorella sp. A99]
OG0000774	RMZ54190.1 hypothetical protein APUTEX25_005346_ partial [Auxenochlorella protothecoides]	PCFQ01000005.1 g761 [Chlorella sp. A99]
OG0000776	RMZ54227.1 hypothetical protein APUTEX25_000578 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1414 [Chlorella sp. A99]
OG0000777	RMZ54250.1 hypothetical protein APUTEX25_000601 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1465 [Chlorella sp. A99]
OG0000778	RMZ54282.1 hypothetical protein APUTEX25_001440 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2222 [Chlorella sp. A99]
OG0000780	RMZ57165.1 hypothetical protein APUTEX25_003999 [Auxenochlorella protothecoides]	PCFQ01000012.1 g1824 [Chlorella sp. A99]
OG0000781	RMZ54690.1 hypothetical protein APUTEX25_003068 [Auxenochlorella protothecoides], RMZ54601.1 hypothetical protein APUTEX25_002187_ partial [Auxenochlorella protothecoides]	PCFQ01000004.1 g2672 [Chlorella sp. A99]
OG0000783	RMZ54667.1 hypothetical protein APUTEX25_003045 [Auxenochlorella protothecoides]	PCFQ01000058.1 g158 [Chlorella sp. A99]
OG0000784	RMZ57581.1 hypothetical protein APUTEX25_001781 [Auxenochlorella protothecoides]	PCFQ01000015.1 g3064 [Chlorella sp. A99]
OG0000785	RMZ54834.1 hypothetical protein APUTEX25_000351 [Auxenochlorella protothecoides]	PCFQ01000077.1 g1756 [Chlorella sp. A99]
OG0000786	RMZ54925.1 hypothetical protein APUTEX25_000442_ partial [Auxenochlorella protothecoides]	PCFQ01000038.1 g487 [Chlorella sp. A99]
OG0000787	RMZ54937.1 hypothetical protein APUTEX25_000454_ partial [Auxenochlorella protothecoides]	PCFQ01000009.1 g1720 [Chlorella sp. A99]
OG0000788	RMZ54950.1 hypothetical protein APUTEX25_000467_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g627 [Chlorella sp. A99]
OG0000791	RMZ55075.1 hypothetical protein APUTEX25_005701 [Auxenochlorella protothecoides]	PCFQ01000023.1 g2224 [Chlorella sp. A99]
OG0000793	RMZ55086.1 hypothetical protein APUTEX25_005712_ partial [Auxenochlorella protothecoides]	PCFQ01000011.1 g2797 [Chlorella sp. A99]
OG0000794	RMZ55126.1 hypothetical protein APUTEX25_005404 [Auxenochlorella protothecoides]	PCFQ01000058.1 g221 [Chlorella sp. A99]
OG0000796	RMZ55236.1 hypothetical protein APUTEX25_005514_ partial [Auxenochlorella protothecoides]	PCFQ01000006.1 g3157 [Chlorella sp. A99]
OG0000798	RMZ55381.1 hypothetical protein APUTEX25_003505 [Auxenochlorella protothecoides]	PCFQ01000046.1 g1853 [Chlorella sp. A99]
OG0000800	RMZ55433.1 hypothetical protein APUTEX25_003557 [Auxenochlorella protothecoides]	PCFQ01000077.1 g1773 [Chlorella sp. A99]
OG0000801	RMZ55448.1 hypothetical protein APUTEX25_003572 [Auxenochlorella protothecoides], RMZ55466.1 hypothetical protein APUTEX25_003590 [Auxenochlorella protothecoides]	PCFQ01000077.1 g1782 [Chlorella sp. A99]
OG0000801	RMZ55436.1 hypothetical protein APUTEX25_003560 [Auxenochlorella protothecoides]	PCFQ01000077.1 g1780 [Chlorella sp. A99]
OG0000802	RMZ55494.1 hypothetical protein APUTEX25_000077 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1447 [Chlorella sp. A99]
OG0000803	RMZ55587.1 hypothetical protein APUTEX25_000170 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2151 [Chlorella sp. A99]
OG0000807	RMZ55778.1 hypothetical protein APUTEX25_005819 [Auxenochlorella protothecoides]	PCFQ01000014.1 g1877 [Chlorella sp. A99]
OG0000808	RMZ55789.1 hypothetical protein APUTEX25_005830 [Auxenochlorella protothecoides]	PCFQ01000075.1 g1942 [Chlorella sp. A99]
OG0000808	RMZ57160.1 hypothetical protein APUTEX25_003994 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2101 [Chlorella sp. A99]
OG0000811	RMZ56090.1 hypothetical protein APUTEX25_004514_ partial [Auxenochlorella protothecoides]	PCFQ01000006.1 g3117 [Chlorella sp. A99]
OG0000812	RMZ56147.1 hypothetical protein APUTEX25_004571 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2606 [Chlorella sp. A99]
OG0000814	RMZ56183.1 hypothetical protein APUTEX25_002373 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2532 [Chlorella sp. A99]
OG0000815	RMZ56394.1 hypothetical protein APUTEX25_004617 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1073 [Chlorella sp. A99], PCFQ01000078.1 g2118 [Chlorella sp. A99]
OG0000818	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]	PCFQ01000015.1 g2933 [Chlorella sp. A99]
OG0000820	RMZ56800.1 hypothetical protein APUTEX25_002889_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g517 [Chlorella sp. A99]
OG0000822	RMZ56911.1 hypothetical protein APUTEX25_004973 [Auxenochlorella protothecoides]	PCFQ01000017.1 g2276 [Chlorella sp. A99]
OG0000825	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3205 [Chlorella sp. A99]
OG0000827	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2479 [Chlorella sp. A99]
OG0000830	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]	PCFQ01000001.1 g989 [Chlorella sp. A99]
OG0000832	RMZ57353.1 hypothetical protein APUTEX25_004187 [Auxenochlorella protothecoides]	PCFQ01000082.1 g534 [Chlorella sp. A99]
OG0000833	RMZ57362.1 hypothetical protein APUTEX25_004196_ partial [Auxenochlorella protothecoides]	PCFQ01000004.1 g2580 [Chlorella sp. A99]
OG0000834	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2090 [Chlorella sp. A99]
OG0000835	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g151 [Chlorella sp. A99]
OG0000837	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]	PCFQ01000073.1 g1958 [Chlorella sp. A99]
OG0000838	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2094 [Chlorella sp. A99]
OG0000839	RMZ57506.1 hypothetical protein APUTEX25_003749 [Auxenochlorella protothecoides], RMZ57486.1 hypothetical protein APUTEX25_003729_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g42 [Chlorella sp. A99]
OG0000840	RMZ57487.1 hypothetical protein APUTEX25_003730 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2412 [Chlorella sp. A99]
OG0000842	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]	PCFQ01000058.1 g4 [Chlorella sp. A99]
OG0000844	RMZ57716.1 hypothetical protein APUTEX25_001916 [Auxenochlorella protothecoides]	PCFQ01000082.1 g578 [Chlorella sp. A99]
OG0000878	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]	PCFQ01000046.1 g1872 [Chlorella sp. A99]
OG0000882	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1306 [Chlorella sp. A99]
OG0000886	RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]	PCFQ01000009.1 g1713 [Chlorella sp. A99]
OG0000889	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1331 [Chlorella sp. A99]
OG0000890	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1208 [Chlorella sp. A99]
OG0000891	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]	PCFQ01000018.1 g440 [Chlorella sp. A99]
OG0000892	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]	PCFQ01000081.1 g1638 [Chlorella sp. A99]
OG0000893	RMZ52460.1 hypothetical protein APUTEX25_000039 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1634 [Chlorella sp. A99]
OG0000897	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3266 [Chlorella sp. A99]
OG0000898	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]	PCFQ01000015.1 g2951 [Chlorella sp. A99]
OG0000899	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides]	PCFQ01000006.1 g3223 [Chlorella sp. A99]
OG0000900	RMZ55069.1 hypothetical protein APUTEX25_005695_ partial [Auxenochlorella protothecoides]	PCFQ01000004.1 g2619 [Chlorella sp. A99]
OG0000902	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]	PCFQ01000007.1 g1179 [Chlorella sp. A99]
OG0000903	RMZ55505.1 hypothetical protein APUTEX25_000088 [Auxenochlorella protothecoides], RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2677 [Chlorella sp. A99]
OG0000907	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2658 [Chlorella sp. A99], PCFQ01000004.1 g2653 [Chlorella sp. A99]
OG0000908	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]	PCFQ01000026.1 g2296 [Chlorella sp. A99]
OG0000909	RMZ53303.1 hypothetical protein APUTEX25_004791 [Auxenochlorella protothecoides]	PCFQ01000082.1 g593 [Chlorella sp. A99]
OG0000915	RMZ53498.1 hypothetical protein APUTEX25_003320 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2511 [Chlorella sp. A99]
OG0000917	RMZ53534.1 hypothetical protein APUTEX25_003356 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1053 [Chlorella sp. A99]
OG0000919	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1206 [Chlorella sp. A99]
OG0000920	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]	PCFQ01000077.1 g1752 [Chlorella sp. A99]
OG0000922	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2846 [Chlorella sp. A99]
OG0000924	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]	PCFQ01000080.1 g1951 [Chlorella sp. A99]
OG0000925	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1200 [Chlorella sp. A99]
OG0000926	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]	PCFQ01000002.1 g725 [Chlorella sp. A99]
OG0000928	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3140 [Chlorella sp. A99]
OG0000929	RMZ55059.1 hypothetical protein APUTEX25_005685 [Auxenochlorella protothecoides], RMZ53964.1 hypothetical protein APUTEX25_002541 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2127 [Chlorella sp. A99]
OG0000933	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]	PCFQ01000018.1 g458 [Chlorella sp. A99]
OG0000934	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1410 [Chlorella sp. A99]
OG0000936	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1222 [Chlorella sp. A99]
OG0000937	RMZ54494.1 hypothetical protein APUTEX25_002070 [Auxenochlorella protothecoides]	PCFQ01000080.1 g1946 [Chlorella sp. A99]
OG0000939	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1021 [Chlorella sp. A99]
OG0000940	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1050 [Chlorella sp. A99]
OG0000941	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]	PCFQ01000002.1 g737 [Chlorella sp. A99]
OG0000942	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]	PCFQ01000058.1 g16 [Chlorella sp. A99]
OG0000943	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1139 [Chlorella sp. A99]
OG0000944	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]	PCFQ01000015.1 g3061 [Chlorella sp. A99]
OG0000948	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2160 [Chlorella sp. A99]
OG0000950	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]	PCFQ01000011.1 g2921 [Chlorella sp. A99]
OG0000952	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]	PCFQ01000004.1 g2576 [Chlorella sp. A99]
OG0000953	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3154 [Chlorella sp. A99]
OG0000954	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]	PCFQ01000011.1 g2815 [Chlorella sp. A99]
OG0000955	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2414 [Chlorella sp. A99], PCFQ01000003.1 g1076 [Chlorella sp. A99]
OG0000956	RMZ55226.1 hypothetical protein APUTEX25_005504_ partial [Auxenochlorella protothecoides]	PCFQ01000002.1 g650 [Chlorella sp. A99]
OG0000958	RMZ57470.1 hypothetical protein APUTEX25_004304_ partial [Auxenochlorella protothecoides], RMZ55298.1 hypothetical protein APUTEX25_003436 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1593 [Chlorella sp. A99]
OG0000960	RMZ55317.1 hypothetical protein APUTEX25_003455 [Auxenochlorella protothecoides]	PCFQ01000009.1 g1706 [Chlorella sp. A99]
OG0000961	RMZ55454.1 hypothetical protein APUTEX25_003578_ partial [Auxenochlorella protothecoides], RMZ55458.1 hypothetical protein APUTEX25_003582 [Auxenochlorella protothecoides], RMZ57765.1 hypothetical protein APUTEX25_004325_ partial [Auxenochlorella protothecoides]	PCFQ01000077.1 g1781 [Chlorella sp. A99]
OG0000962	RMZ55456.1 hypothetical protein APUTEX25_003580 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1112 [Chlorella sp. A99]
OG0000965	RMZ55785.1 hypothetical protein APUTEX25_005826 [Auxenochlorella protothecoides]	PCFQ01000082.1 g562 [Chlorella sp. A99]
OG0000968	RMZ55708.1 hypothetical protein APUTEX25_005749 [Auxenochlorella protothecoides]	PCFQ01000082.1 g497 [Chlorella sp. A99]
OG0000969	RMZ55774.1 hypothetical protein APUTEX25_005815_ partial [Auxenochlorella protothecoides]	PCFQ01000014.1 g1878 [Chlorella sp. A99]
OG0000972	RMZ55817.1 hypothetical protein APUTEX25_003783 [Auxenochlorella protothecoides]	PCFQ01000010.1 g345 [Chlorella sp. A99], PCFQ01000006.1 g3121 [Chlorella sp. A99], PCFQ01000025.1 g2562 [Chlorella sp. A99]
OG0000973	RMZ55824.1 hypothetical protein APUTEX25_003790 [Auxenochlorella protothecoides]	PCFQ01000010.1 g322 [Chlorella sp. A99]
OG0000974	RMZ55871.1 hypothetical protein APUTEX25_003837_ partial [Auxenochlorella protothecoides]	PCFQ01000010.1 g320 [Chlorella sp. A99]
OG0000975	RMZ55899.1 hypothetical protein APUTEX25_003865 [Auxenochlorella protothecoides]	PCFQ01000020.1 g928 [Chlorella sp. A99]
OG0000976	RMZ55923.1 hypothetical protein APUTEX25_004347 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1030 [Chlorella sp. A99]
OG0000977	RMZ55932.1 hypothetical protein APUTEX25_004356 [Auxenochlorella protothecoides]	PCFQ01000058.1 g188 [Chlorella sp. A99]
OG0000978	RMZ55939.1 hypothetical protein APUTEX25_004363 [Auxenochlorella protothecoides]	PCFQ01000058.1 g121 [Chlorella sp. A99]
OG0000980	RMZ56658.1 hypothetical protein APUTEX25_002747 [Auxenochlorella protothecoides]	PCFQ01000058.1 g133 [Chlorella sp. A99]
OG0000981	RMZ56015.1 hypothetical protein APUTEX25_004439_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g131 [Chlorella sp. A99]
OG0000982	RMZ56280.1 hypothetical protein APUTEX25_002470 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2539 [Chlorella sp. A99]
OG0000984	RMZ56348.1 hypothetical protein APUTEX25_004705_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1241 [Chlorella sp. A99], PCFQ01000008.1 g1093 [Chlorella sp. A99]
OG0000985	RMZ56378.1 hypothetical protein APUTEX25_004735 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1091 [Chlorella sp. A99]
OG0000986	RMZ56426.1 hypothetical protein APUTEX25_004649 [Auxenochlorella protothecoides]	PCFQ01000082.1 g541 [Chlorella sp. A99], PCFQ01000078.1 g2113 [Chlorella sp. A99]
OG0000987	RMZ56441.1 hypothetical protein APUTEX25_004664 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2152 [Chlorella sp. A99]
OG0000989	RMZ56449.1 hypothetical protein APUTEX25_004672_ partial [Auxenochlorella protothecoides]	PCFQ01000011.1 g2915 [Chlorella sp. A99]
OG0000992	RMZ56514.1 hypothetical protein APUTEX25_001361 [Auxenochlorella protothecoides]	PCFQ01000018.1 g402 [Chlorella sp. A99]
OG0000993	RMZ56620.1 hypothetical protein APUTEX25_002709 [Auxenochlorella protothecoides]	PCFQ01000082.1 g514 [Chlorella sp. A99]
OG0000994	RMZ56678.1 hypothetical protein APUTEX25_002767 [Auxenochlorella protothecoides]	PCFQ01000015.1 g2937 [Chlorella sp. A99]
OG0000997	RMZ56758.1 hypothetical protein APUTEX25_002847 [Auxenochlorella protothecoides]	PCFQ01000082.1 g506 [Chlorella sp. A99]
