Orthogroup	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169
OG0000596	KAI3438611.1 hypothetical protein D9Q98_001034 [Chlorella vulgaris], KAI3438612.1 hypothetical protein D9Q98_001034 [Chlorella vulgaris]	EIE22325.1 DNA damage checkpoint protein [Coccomyxa subellipsoidea C-169]
OG0000596	KAI3438633.1 hypothetical protein D9Q98_001055 [Chlorella vulgaris]	EIE21113.1 3'-5' exonuclease_ partial [Coccomyxa subellipsoidea C-169]
OG0000598	KAI3434643.1 hypothetical protein D9Q98_002708 [Chlorella vulgaris]	EIE25806.1 hypothetical protein COCSUDRAFT_1459_ partial [Coccomyxa subellipsoidea C-169]
OG0000600	KAI3434956.1 hypothetical protein D9Q98_003010 [Chlorella vulgaris], KAI3430746.1 hypothetical protein D9Q98_009158 [Chlorella vulgaris]	EIE18858.1 Metallo-dependent phosphatase_ partial [Coccomyxa subellipsoidea C-169]
OG0000604	KAI3432360.1 hypothetical protein D9Q98_003917 [Chlorella vulgaris], KAI3428184.1 hypothetical protein D9Q98_006564 [Chlorella vulgaris], KAI3426209.1 hypothetical protein D9Q98_008586 [Chlorella vulgaris], KAI3428186.1 hypothetical protein D9Q98_006566 [Chlorella vulgaris], KAI3432877.1 hypothetical protein D9Q98_010460 [Chlorella vulgaris]	EIE26533.1 light chain 3 [Coccomyxa subellipsoidea C-169]
OG0000605	KAI3433287.1 hypothetical protein D9Q98_003106 [Chlorella vulgaris], KAI3433288.1 hypothetical protein D9Q98_003107 [Chlorella vulgaris], KAI3433286.1 hypothetical protein D9Q98_003105 [Chlorella vulgaris]	EIE19963.1 hypothetical protein COCSUDRAFT_58199 [Coccomyxa subellipsoidea C-169]
OG0000606	KAI3438628.1 hypothetical protein D9Q98_001050 [Chlorella vulgaris]	EIE27825.1 hypothetical protein COCSUDRAFT_83445 [Coccomyxa subellipsoidea C-169]
OG0000606	KAI3438621.1 hypothetical protein D9Q98_001044 [Chlorella vulgaris]	EIE23883.1 hypothetical protein COCSUDRAFT_28507 [Coccomyxa subellipsoidea C-169]
OG0000609	KAI3434633.1 hypothetical protein D9Q98_002700 [Chlorella vulgaris]	EIE25821.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE25720.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000610	KAI3436841.1 hypothetical protein D9Q98_006251 [Chlorella vulgaris]	EIE18437.1 aldehyde dehydrogenase [Coccomyxa subellipsoidea C-169], EIE18440.1 aldehyde dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000611	KAI3434679.1 hypothetical protein D9Q98_002743 [Chlorella vulgaris]	EIE19907.1 hypothetical protein COCSUDRAFT_19107 [Coccomyxa subellipsoidea C-169]
OG0000611	KAI3434670.1 hypothetical protein D9Q98_002734 [Chlorella vulgaris]	EIE23586.1 hypothetical protein COCSUDRAFT_53398 [Coccomyxa subellipsoidea C-169]
OG0000612	KAI3434628.1 hypothetical protein D9Q98_002695 [Chlorella vulgaris], KAI3434635.1 hypothetical protein D9Q98_002702 [Chlorella vulgaris]	EIE25773.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000613	KAI3425991.1 hypothetical protein D9Q98_007959 [Chlorella vulgaris]	EIE23467.1 kinesin family member 3b in complex with Adp [Coccomyxa subellipsoidea C-169]
OG0000614	KAI3432309.1 hypothetical protein D9Q98_003869 [Chlorella vulgaris]	EIE26589.1 GDP-mannose transporter_ golgi apparatus [Coccomyxa subellipsoidea C-169]
OG0000615	KAI3430839.1 hypothetical protein D9Q98_009250 [Chlorella vulgaris], KAI3431806.1 hypothetical protein D9Q98_010559 [Chlorella vulgaris]	EIE21857.1 hypothetical protein COCSUDRAFT_47964 [Coccomyxa subellipsoidea C-169]
OG0000616	KAI3432436.1 hypothetical protein D9Q98_003989 [Chlorella vulgaris]	EIE23984.1 hypothetical protein COCSUDRAFT_62512 [Coccomyxa subellipsoidea C-169]
OG0000617	KAI3435692.1 hypothetical protein D9Q98_001750 [Chlorella vulgaris]	EIE26819.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]
OG0000617	KAI3435693.1 hypothetical protein D9Q98_001751 [Chlorella vulgaris]	EIE26818.1 cystathionine gamma-synthase [Coccomyxa subellipsoidea C-169]
OG0000618	KAI3438568.1 hypothetical protein D9Q98_000995 [Chlorella vulgaris]	EIE20469.1 ribosomal protein S15a component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0000619	KAI3425995.1 hypothetical protein D9Q98_007963 [Chlorella vulgaris]	EIE25847.1 hypothetical protein COCSUDRAFT_40099 [Coccomyxa subellipsoidea C-169], EIE21126.1 hypothetical protein COCSUDRAFT_67093 [Coccomyxa subellipsoidea C-169], EIE26375.1 hypothetical protein COCSUDRAFT_35050 [Coccomyxa subellipsoidea C-169], EIE21127.1 hypothetical protein COCSUDRAFT_57047 [Coccomyxa subellipsoidea C-169]
OG0000620	KAI3437936.1 hypothetical protein D9Q98_000380 [Chlorella vulgaris]	EIE19955.1 hypothetical protein COCSUDRAFT_19015 [Coccomyxa subellipsoidea C-169]
OG0000621	KAI3428533.1 hypothetical protein D9Q98_007356 [Chlorella vulgaris]	EIE23149.1 hypothetical protein COCSUDRAFT_63514 [Coccomyxa subellipsoidea C-169]
OG0000622	KAI3428582.1 hypothetical protein D9Q98_007404 [Chlorella vulgaris]	EIE23238.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000623	KAI3433493.1 hypothetical protein D9Q98_003305 [Chlorella vulgaris], KAI3430726.1 hypothetical protein D9Q98_005312 [Chlorella vulgaris]	EIE24533.1 U1 small nuclear ribonucleo protein A [Coccomyxa subellipsoidea C-169]
OG0000625	KAI3429300.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3429299.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3430460.1 hypothetical protein D9Q98_005055 [Chlorella vulgaris]	EIE18928.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000626	KAI3430569.1 hypothetical protein D9Q98_005162 [Chlorella vulgaris]	EIE25800.1 SDA1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000628	KAI3428720.1 hypothetical protein D9Q98_007544 [Chlorella vulgaris]	EIE18466.1 hypothetical protein COCSUDRAFT_60132 [Coccomyxa subellipsoidea C-169]
OG0000628	KAI3426436.1 hypothetical protein D9Q98_008804 [Chlorella vulgaris]	EIE26948.1 hypothetical protein COCSUDRAFT_39894 [Coccomyxa subellipsoidea C-169]
OG0000629	KAI3432589.1 hypothetical protein D9Q98_004137 [Chlorella vulgaris]	EIE23891.1 glutaredoxin-1 [Coccomyxa subellipsoidea C-169]
OG0000629	KAI3438846.1 hypothetical protein D9Q98_001263 [Chlorella vulgaris]	EIE23892.1 glutaredoxin [Coccomyxa subellipsoidea C-169]
OG0000630	KAI3425043.1 hypothetical protein D9Q98_008421 [Chlorella vulgaris], KAI3435779.1 hypothetical protein D9Q98_001837 [Chlorella vulgaris]	EIE20168.1 hypothetical protein COCSUDRAFT_48633 [Coccomyxa subellipsoidea C-169]
OG0000631	KAI3431266.1 hypothetical protein D9Q98_004328 [Chlorella vulgaris]	EIE22874.1 hypothetical protein COCSUDRAFT_66434 [Coccomyxa subellipsoidea C-169]
OG0000631	KAI3423606.1 hypothetical protein D9Q98_010790_ partial _chloroplast_ [Chlorella vulgaris], KAI3431263.1 hypothetical protein D9Q98_004325 [Chlorella vulgaris]	EIE26192.1 vacuolar protein sorting-associated protein 16 [Coccomyxa subellipsoidea C-169]
OG0000632	KAI3432836.1 hypothetical protein D9Q98_010420 [Chlorella vulgaris]	EIE24885.1 peptidase M3 family protein [Coccomyxa subellipsoidea C-169]
OG0000633	KAI3438228.1 hypothetical protein D9Q98_000665 [Chlorella vulgaris]	EIE24739.1 hypothetical protein COCSUDRAFT_28332 [Coccomyxa subellipsoidea C-169]
OG0000633	KAI3429769.1 hypothetical protein D9Q98_010082 [Chlorella vulgaris]	EIE27379.1 amine oxidase [Coccomyxa subellipsoidea C-169], EIE23155.1 hypothetical protein COCSUDRAFT_29142 [Coccomyxa subellipsoidea C-169]
OG0000634	KAI3433932.1 hypothetical protein D9Q98_003734 [Chlorella vulgaris], KAI3432866.1 hypothetical protein D9Q98_010449 [Chlorella vulgaris]	EIE24254.1 hypothetical protein COCSUDRAFT_41519 [Coccomyxa subellipsoidea C-169], EIE20430.1 hypothetical protein COCSUDRAFT_43874 [Coccomyxa subellipsoidea C-169], EIE18985.1 hypothetical protein COCSUDRAFT_59910 [Coccomyxa subellipsoidea C-169]
OG0000635	KAI3428114.1 hypothetical protein D9Q98_006497 [Chlorella vulgaris]	EIE20104.1 D-Ribulose-5-phosphate 3-epimerase [Coccomyxa subellipsoidea C-169]
OG0000636	KAI3431645.1 hypothetical protein D9Q98_004692 [Chlorella vulgaris]	EIE22143.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169], EIE24023.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169]
OG0000636	KAI3438485.1 hypothetical protein D9Q98_000913 [Chlorella vulgaris]	EIE20486.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169]
OG0000637	KAI3432760.1 hypothetical protein D9Q98_004300 [Chlorella vulgaris]	EIE26327.1 hypothetical protein COCSUDRAFT_64439 [Coccomyxa subellipsoidea C-169]
OG0000638	KAI3432606.1 hypothetical protein D9Q98_004153 [Chlorella vulgaris]	EIE25629.1 hypothetical protein COCSUDRAFT_83636 [Coccomyxa subellipsoidea C-169]
OG0000639	KAI3424406.1 hypothetical protein D9Q98_009958 [Chlorella vulgaris]	EIE19121.1 hypothetical protein COCSUDRAFT_54749 [Coccomyxa subellipsoidea C-169], EIE19159.1 hypothetical protein COCSUDRAFT_49026 [Coccomyxa subellipsoidea C-169]
OG0000640	KAI3431789.1 hypothetical protein D9Q98_010542 [Chlorella vulgaris]	EIE25969.1 hypothetical protein COCSUDRAFT_27547 [Coccomyxa subellipsoidea C-169]
OG0000640	KAI3434499.1 hypothetical protein D9Q98_002574 [Chlorella vulgaris]	EIE27259.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000641	KAI3429327.1 hypothetical protein D9Q98_005422 [Chlorella vulgaris]	EIE24067.1 hypothetical protein COCSUDRAFT_65723 [Coccomyxa subellipsoidea C-169]
OG0000642	KAI3429493.1 hypothetical protein D9Q98_005582 [Chlorella vulgaris], KAI3429701.1 hypothetical protein D9Q98_005786 [Chlorella vulgaris]	EIE23124.1 alanine-glyoxylate transaminase [Coccomyxa subellipsoidea C-169], EIE24180.1 alanine-glyoxylate transaminase [Coccomyxa subellipsoidea C-169]
OG0000643	KAI3438389.1 hypothetical protein D9Q98_000821 [Chlorella vulgaris], KAI3438387.1 hypothetical protein D9Q98_000819 [Chlorella vulgaris]	EIE22906.1 hypothetical protein COCSUDRAFT_66447 [Coccomyxa subellipsoidea C-169]
OG0000644	KAI3429634.1 hypothetical protein D9Q98_005720 [Chlorella vulgaris], KAI3429630.1 hypothetical protein D9Q98_005716 [Chlorella vulgaris]	EIE24134.1 hypothetical protein COCSUDRAFT_41430 [Coccomyxa subellipsoidea C-169]
OG0000645	KAI3426131.1 hypothetical protein D9Q98_008510 [Chlorella vulgaris]	EIE26149.1 magnesium-protoporphyrin IX monomethyl [Coccomyxa subellipsoidea C-169]
OG0000646	KAI3425286.1 hypothetical protein D9Q98_009053 [Chlorella vulgaris]	EIE26691.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000646	KAI3425283.1 hypothetical protein D9Q98_009050 [Chlorella vulgaris]	EIE20059.1 DUF654-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000648	KAI3424237.1 hypothetical protein D9Q98_009593 [Chlorella vulgaris]	EIE19049.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169]
OG0000648	KAI3436804.1 hypothetical protein D9Q98_006214 [Chlorella vulgaris]	EIE26392.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169]
OG0000649	KAI3436301.1 hypothetical protein D9Q98_002354 [Chlorella vulgaris]	EIE21399.1 diaminopimelate decarboxylase [Coccomyxa subellipsoidea C-169]
OG0000650	KAI3426365.1 hypothetical protein D9Q98_008737 [Chlorella vulgaris]	EIE26890.1 mitogen-activated protein kinase 6 [Coccomyxa subellipsoidea C-169]
OG0000651	KAI3436648.1 hypothetical protein D9Q98_006064 [Chlorella vulgaris]	EIE26532.1 hypothetical protein COCSUDRAFT_27077 [Coccomyxa subellipsoidea C-169]
OG0000652	KAI3431691.1 hypothetical protein D9Q98_004737 [Chlorella vulgaris], KAI3423558.1 hypothetical protein D9Q98_010740_ partial _chloroplast_ [Chlorella vulgaris], KAI3427154.1 hypothetical protein D9Q98_007091 [Chlorella vulgaris]	EIE26096.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000653	KAI3428423.1 hypothetical protein D9Q98_007250 [Chlorella vulgaris]	EIE22955.1 hypothetical protein COCSUDRAFT_47454 [Coccomyxa subellipsoidea C-169]
OG0000654	KAI3433576.1 hypothetical protein D9Q98_003387 [Chlorella vulgaris]	EIE22826.1 Mur ligase [Coccomyxa subellipsoidea C-169]
OG0000654	KAI3433577.1 hypothetical protein D9Q98_003388 [Chlorella vulgaris]	EIE27174.1 hypothetical protein COCSUDRAFT_55196 [Coccomyxa subellipsoidea C-169]
OG0000655	KAI3433780.1 hypothetical protein D9Q98_003585 [Chlorella vulgaris], KAI3425025.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425027.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425026.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425024.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris]	EIE26374.1 hypothetical protein COCSUDRAFT_58910 [Coccomyxa subellipsoidea C-169]
OG0000656	KAI3425752.1 hypothetical protein D9Q98_007727 [Chlorella vulgaris]	EIE19478.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000656	KAI3425753.1 hypothetical protein D9Q98_007728 [Chlorella vulgaris]	EIE27311.1 guanine-7-methyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0000657	KAI3427990.1 hypothetical protein D9Q98_006378 [Chlorella vulgaris]	EIE25156.1 hypothetical protein COCSUDRAFT_22502 [Coccomyxa subellipsoidea C-169]
OG0000657	KAI3425796.1 hypothetical protein D9Q98_007771 [Chlorella vulgaris]	EIE21092.1 ubiquitin-conjugating enzyme [Coccomyxa subellipsoidea C-169]
OG0000658	KAI3436005.1 hypothetical protein D9Q98_002062 [Chlorella vulgaris]	EIE21065.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000659	KAI3432466.1 hypothetical protein D9Q98_004015 [Chlorella vulgaris]	EIE19319.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000660	KAI3428772.1 hypothetical protein D9Q98_007593 [Chlorella vulgaris]	EIE27006.1 ribosomal protein S27 isoform B component of 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169], EIE27005.1 hypothetical protein COCSUDRAFT_27353 [Coccomyxa subellipsoidea C-169]
OG0000660	KAI3428771.1 hypothetical protein D9Q98_007592 [Chlorella vulgaris]	EIE25175.1 leucine-rich repeat family protein [Coccomyxa subellipsoidea C-169]
OG0000661	KAI3430851.1 hypothetical protein D9Q98_009261 [Chlorella vulgaris], KAI3430852.1 hypothetical protein D9Q98_009262 [Chlorella vulgaris]	EIE23823.1 hypothetical protein COCSUDRAFT_83698 [Coccomyxa subellipsoidea C-169]
OG0000662	KAI3429858.1 hypothetical protein D9Q98_010169 [Chlorella vulgaris]	EIE24358.1 DUF1350-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000664	KAI3436681.1 hypothetical protein D9Q98_006097 [Chlorella vulgaris], KAI3436682.1 hypothetical protein D9Q98_006098 [Chlorella vulgaris]	EIE24950.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000665	KAI3436529.1 hypothetical protein D9Q98_005946 [Chlorella vulgaris]	EIE24908.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24907.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24827.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24825.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE21954.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE19909.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE26353.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]
OG0000666	KAI3436674.1 hypothetical protein D9Q98_006090 [Chlorella vulgaris]	EIE21004.1 hypothetical protein COCSUDRAFT_56926 [Coccomyxa subellipsoidea C-169]
OG0000666	KAI3436672.1 hypothetical protein D9Q98_006088 [Chlorella vulgaris]	EIE26882.1 hypothetical protein COCSUDRAFT_9768_ partial [Coccomyxa subellipsoidea C-169]
OG0000667	KAI3428173.1 hypothetical protein D9Q98_006553 [Chlorella vulgaris]	EIE25363.1 LSU ribosomal protein L27P_ partial [Coccomyxa subellipsoidea C-169]
OG0000667	KAI3423891.1 hypothetical protein D9Q98_009725 [Chlorella vulgaris]	EIE27562.1 hypothetical protein COCSUDRAFT_21462 [Coccomyxa subellipsoidea C-169]
OG0000669	KAI3425332.1 hypothetical protein D9Q98_009096 [Chlorella vulgaris]	EIE27707.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000670	KAI3430871.1 hypothetical protein D9Q98_009280 [Chlorella vulgaris], KAI3424132.1 hypothetical protein D9Q98_009492 [Chlorella vulgaris], KAI3429600.1 hypothetical protein D9Q98_005686 [Chlorella vulgaris]	EIE24276.1 hypothetical protein COCSUDRAFT_41532 [Coccomyxa subellipsoidea C-169]
OG0000671	KAI3438602.1 hypothetical protein D9Q98_001025 [Chlorella vulgaris]	EIE24611.1 RNA polymerase Rpc34 [Coccomyxa subellipsoidea C-169]
OG0000672	KAI3436589.1 hypothetical protein D9Q98_006006 [Chlorella vulgaris], KAI3436221.1 hypothetical protein D9Q98_002275 [Chlorella vulgaris]	EIE21490.1 hypothetical protein COCSUDRAFT_66913 [Coccomyxa subellipsoidea C-169]
OG0000673	KAI3430559.1 hypothetical protein D9Q98_005152 [Chlorella vulgaris]	EIE23786.1 Solanesyl diphosphate synthase [Coccomyxa subellipsoidea C-169]
OG0000673	KAI3430560.1 hypothetical protein D9Q98_005153 [Chlorella vulgaris]	EIE20312.1 hypothetical protein COCSUDRAFT_44224 [Coccomyxa subellipsoidea C-169]
OG0000674	KAI3425184.1 hypothetical protein D9Q98_008953 [Chlorella vulgaris]	EIE20349.1 hypothetical protein COCSUDRAFT_83549 [Coccomyxa subellipsoidea C-169]
OG0000675	KAI3430276.1 hypothetical protein D9Q98_004872 [Chlorella vulgaris], KAI3424759.1 hypothetical protein D9Q98_008148 [Chlorella vulgaris], KAI3424721.1 hypothetical protein D9Q98_008110 [Chlorella vulgaris], KAI3424712.1 hypothetical protein D9Q98_008101 [Chlorella vulgaris], KAI3430324.1 hypothetical protein D9Q98_004919 [Chlorella vulgaris]	EIE24823.1 hypothetical protein COCSUDRAFT_46959 [Coccomyxa subellipsoidea C-169]
OG0000676	KAI3438591.1 hypothetical protein D9Q98_001015 [Chlorella vulgaris], KAI3435824.1 hypothetical protein D9Q98_001882 [Chlorella vulgaris]	EIE22514.1 hypothetical protein COCSUDRAFT_83471 [Coccomyxa subellipsoidea C-169]
OG0000677	KAI3437785.1 hypothetical protein D9Q98_000232 [Chlorella vulgaris]	EIE19051.1 glutamate decarboxylase [Coccomyxa subellipsoidea C-169]
OG0000677	KAI3429627.1 hypothetical protein D9Q98_005713 [Chlorella vulgaris]	EIE19737.1 glutamate decarboxylase [Coccomyxa subellipsoidea C-169]
OG0000678	KAI3431398.1 hypothetical protein D9Q98_004451 [Chlorella vulgaris]	EIE25932.1 NAF1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000679	KAI3431463.1 hypothetical protein D9Q98_004515 [Chlorella vulgaris]	EIE25624.1 hypothetical protein COCSUDRAFT_83631 [Coccomyxa subellipsoidea C-169]
OG0000680	KAI3433622.1 hypothetical protein D9Q98_003431 [Chlorella vulgaris]	EIE21965.1 beta-ketoacyl reductase [Coccomyxa subellipsoidea C-169]
OG0000680	KAI3433623.1 hypothetical protein D9Q98_003432 [Chlorella vulgaris]	EIE24347.1 hypothetical protein COCSUDRAFT_23409 [Coccomyxa subellipsoidea C-169]
OG0000681	KAI3433538.1 hypothetical protein D9Q98_003348 [Chlorella vulgaris]	EIE27008.1 CDC73-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000681	KAI3433542.1 hypothetical protein D9Q98_003352 [Chlorella vulgaris]	EIE26711.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000682	KAI3425774.1 hypothetical protein D9Q98_007749 [Chlorella vulgaris], KAI3425776.1 hypothetical protein D9Q98_007751 [Chlorella vulgaris]	EIE25471.1 hypothetical protein COCSUDRAFT_40707 [Coccomyxa subellipsoidea C-169]
OG0000683	KAI3427094.1 hypothetical protein D9Q98_007033 [Chlorella vulgaris]	EIE18560.1 hypothetical protein COCSUDRAFT_60226 [Coccomyxa subellipsoidea C-169]
OG0000684	KAI3428334.1 hypothetical protein D9Q98_006714 [Chlorella vulgaris]	EIE25566.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0000684	KAI3431411.1 hypothetical protein D9Q98_004464 [Chlorella vulgaris]	EIE24547.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0000685	KAI3430307.1 hypothetical protein D9Q98_004903 [Chlorella vulgaris], KAI3430306.1 hypothetical protein D9Q98_004902 [Chlorella vulgaris]	EIE23784.1 galactose oxidase [Coccomyxa subellipsoidea C-169]
OG0000686	KAI3423016.1 hypothetical protein D9Q98_010859_ partial _mitochondrion_ [Chlorella vulgaris], KAI3423597.1 hypothetical protein D9Q98_010781 _chloroplast_ [Chlorella vulgaris]	EIE20729.1 hypothetical protein COCSUDRAFT_57293 [Coccomyxa subellipsoidea C-169], EIE25497.1 hypothetical protein COCSUDRAFT_61710 [Coccomyxa subellipsoidea C-169]
OG0000687	KAI3436794.1 hypothetical protein D9Q98_006205 [Chlorella vulgaris]	EIE25746.1 CDC45-like protein [Coccomyxa subellipsoidea C-169]
OG0000688	KAI3428208.1 hypothetical protein D9Q98_006588 [Chlorella vulgaris]	EIE22014.1 NMD3-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000688	KAI3428209.1 hypothetical protein D9Q98_006589 [Chlorella vulgaris]	EIE25427.1 hypothetical protein COCSUDRAFT_65241 [Coccomyxa subellipsoidea C-169]
OG0000689	KAI3429866.1 hypothetical protein D9Q98_010177 [Chlorella vulgaris]	EIE24334.1 2-isopropylmalate synthase [Coccomyxa subellipsoidea C-169]
OG0000690	KAI3436875.1 hypothetical protein D9Q98_006284 [Chlorella vulgaris]	EIE26790.1 putative malonyl-CoA_Acyl carrier protein transacylase [Coccomyxa subellipsoidea C-169]
OG0000691	KAI3428322.1 hypothetical protein D9Q98_006702 [Chlorella vulgaris], KAI3428321.1 hypothetical protein D9Q98_006701 [Chlorella vulgaris]	EIE25437.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000692	KAI3435905.1 hypothetical protein D9Q98_001963 [Chlorella vulgaris]	EIE21685.1 hypothetical protein COCSUDRAFT_56879 [Coccomyxa subellipsoidea C-169]
OG0000693	KAI3428380.1 hypothetical protein D9Q98_006760 [Chlorella vulgaris]	EIE25227.1 MRG-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000694	KAI3436883.1 hypothetical protein D9Q98_006291 [Chlorella vulgaris], KAI3436885.1 hypothetical protein D9Q98_006293 [Chlorella vulgaris]	EIE26727.1 hypothetical protein COCSUDRAFT_52437 [Coccomyxa subellipsoidea C-169]
OG0000695	KAI3428353.1 hypothetical protein D9Q98_006733 [Chlorella vulgaris]	EIE27372.1 PDR-like ABC transporter_ partial [Coccomyxa subellipsoidea C-169]
OG0000696	KAI3428329.1 hypothetical protein D9Q98_006709 [Chlorella vulgaris]	EIE25636.1 hypothetical protein COCSUDRAFT_83643 [Coccomyxa subellipsoidea C-169]
OG0000696	KAI3428330.1 hypothetical protein D9Q98_006710 [Chlorella vulgaris]	EIE22072.1 hypothetical protein COCSUDRAFT_16876 [Coccomyxa subellipsoidea C-169]
OG0000697	KAI3438534.1 hypothetical protein D9Q98_000962 [Chlorella vulgaris]	EIE20358.1 hypothetical protein COCSUDRAFT_18562 [Coccomyxa subellipsoidea C-169]
OG0000698	KAI3438720.1 hypothetical protein D9Q98_001140 [Chlorella vulgaris]	EIE23951.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]
OG0000698	KAI3438506.1 hypothetical protein D9Q98_000934 [Chlorella vulgaris]	EIE18125.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169], EIE24705.1 hypothetical protein COCSUDRAFT_62126 [Coccomyxa subellipsoidea C-169]
OG0000699	KAI3435921.1 hypothetical protein D9Q98_001979 [Chlorella vulgaris], KAI3435913.1 hypothetical protein D9Q98_001971 [Chlorella vulgaris]	EIE18170.1 starch-binding domain-like protein [Coccomyxa subellipsoidea C-169]
OG0000700	KAI3430816.1 hypothetical protein D9Q98_009227 [Chlorella vulgaris]	EIE19477.1 hypothetical protein COCSUDRAFT_67908 [Coccomyxa subellipsoidea C-169]
OG0000701	KAI3430417.1 hypothetical protein D9Q98_005012 [Chlorella vulgaris], KAI3431494.1 hypothetical protein D9Q98_004545 [Chlorella vulgaris]	EIE27087.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000702	KAI3439118.1 hypothetical protein D9Q98_001527 [Chlorella vulgaris], KAI3439119.1 hypothetical protein D9Q98_001527 [Chlorella vulgaris]	EIE21384.1 DUF791-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22553.1 DUF791-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000703	KAI3429387.1 hypothetical protein D9Q98_005482 [Chlorella vulgaris]	EIE19286.1 putative carbon-nitrogen family hydrolase putative [Coccomyxa subellipsoidea C-169], EIE19282.1 hydrolase_ carbon-nitrogen family [Coccomyxa subellipsoidea C-169]
OG0000703	KAI3429386.1 hypothetical protein D9Q98_005481 [Chlorella vulgaris]	EIE23305.1 peptide chain release factor 2 [Coccomyxa subellipsoidea C-169]
OG0000704	KAI3429349.1 hypothetical protein D9Q98_005444 [Chlorella vulgaris]	EIE24965.1 hypothetical protein COCSUDRAFT_83657 [Coccomyxa subellipsoidea C-169]
OG0000705	KAI3433754.1 hypothetical protein D9Q98_003561 [Chlorella vulgaris], KAI3425275.1 hypothetical protein D9Q98_009042 [Chlorella vulgaris]	EIE18590.1 hypothetical protein COCSUDRAFT_60252 [Coccomyxa subellipsoidea C-169], EIE20088.1 hypothetical protein COCSUDRAFT_54389 [Coccomyxa subellipsoidea C-169], EIE20355.1 hypothetical protein COCSUDRAFT_48484 [Coccomyxa subellipsoidea C-169]
OG0000706	KAI3433695.1 hypothetical protein D9Q98_003504 [Chlorella vulgaris], KAI3433694.1 hypothetical protein D9Q98_003503 [Chlorella vulgaris]	EIE19251.1 putative uracil phosphoribosyl transferase [Coccomyxa subellipsoidea C-169]
