Orthogroup	Chlorella_Vulgaris2111P	Micractinium_SAG24180
OG0001101	KAI3430397.1 hypothetical protein D9Q98_004992 [Chlorella vulgaris]	PSC67004.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC69167.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67136.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67171.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix]
OG0001102	KAI3432471.1 hypothetical protein D9Q98_004020 [Chlorella vulgaris], KAI3436428.1 hypothetical protein D9Q98_005845 [Chlorella vulgaris], KAI3436430.1 hypothetical protein D9Q98_005847 [Chlorella vulgaris]	PSC74273.1 Superoxide-generating NADPH oxidase heavy chain subunit B [Micractinium conductrix]
OG0001103	KAI3435778.1 hypothetical protein D9Q98_001836 [Chlorella vulgaris]	PSC68332.1 Transmembrane 9 superfamily member 4 [Micractinium conductrix]
OG0001104	KAI3435752.1 hypothetical protein D9Q98_001810 [Chlorella vulgaris]	PSC69634.1 arginine biosynthesis bifunctional chloroplastic-like [Micractinium conductrix], PSC71501.1 arginine biosynthesis bifunctional chloroplastic isoform X1 [Micractinium conductrix]
OG0001105	KAI3428790.1 hypothetical protein D9Q98_007609 [Chlorella vulgaris]	PSC73962.1 OPI10-like protein isoform A [Micractinium conductrix], PSC73963.1 OPI10-like protein isoform B [Micractinium conductrix], PSC74321.1 hypothetical protein C2E20_2762 [Micractinium conductrix], PSC73995.1 hypothetical protein C2E20_2765 [Micractinium conductrix]
OG0001106	KAI3436665.1 hypothetical protein D9Q98_006081 [Chlorella vulgaris]	PSC71505.1 kinesin K39 [Micractinium conductrix]
OG0001107	KAI3430221.1 hypothetical protein D9Q98_004819 [Chlorella vulgaris], KAI3430222.1 hypothetical protein D9Q98_004819 [Chlorella vulgaris]	PSC70139.1 small RNA degrading nuclease 5 [Micractinium conductrix]
OG0001108	KAI3438015.1 hypothetical protein D9Q98_000458 [Chlorella vulgaris]	PSC71048.1 chitin deacetylase-like isoform e [Micractinium conductrix]
OG0001109	KAI3432621.1 hypothetical protein D9Q98_004167 [Chlorella vulgaris]	PSC70622.1 transcription initiation factor TFIID subunit 1 isoform X1 [Micractinium conductrix]
OG0001110	KAI3435781.1 hypothetical protein D9Q98_001839 [Chlorella vulgaris]	PSC68379.1 DNA-binding protein isoform X1 isoform B [Micractinium conductrix], PSC68380.1 DNA-binding protein isoform X1 isoform D [Micractinium conductrix], PSC68381.1 DNA-binding protein isoform X1 isoform C [Micractinium conductrix]
OG0001111	KAI3437998.1 hypothetical protein D9Q98_000441 [Chlorella vulgaris]	PSC71179.1 MFS general substrate transporter isoform A [Micractinium conductrix], PSC71180.1 MFS general substrate transporter isoform B [Micractinium conductrix]
OG0001112	KAI3437967.1 hypothetical protein D9Q98_000411 [Chlorella vulgaris]	PSC71020.1 dynein intermediate chain axonemal isoform A [Micractinium conductrix], PSC71021.1 dynein intermediate chain axonemal isoform B [Micractinium conductrix]
OG0001113	KAI3431273.1 hypothetical protein D9Q98_004334 [Chlorella vulgaris]	PSC67612.1 hypothetical protein C2E20_8715 [Micractinium conductrix]
OG0001114	KAI3429535.1 hypothetical protein D9Q98_005623 [Chlorella vulgaris]	PSC74982.1 DNase [Micractinium conductrix]
OG0001115	KAI3435007.1 hypothetical protein D9Q98_003059 [Chlorella vulgaris]	PSC67422.1 membrane isoform A [Micractinium conductrix], PSC67423.1 membrane isoform B [Micractinium conductrix]
OG0001116	KAI3426330.1 hypothetical protein D9Q98_008703 [Chlorella vulgaris]	PSC70433.1 Lysosomal Pro-X carboxypeptidase [Micractinium conductrix]
OG0001117	KAI3429609.1 hypothetical protein D9Q98_005695 [Chlorella vulgaris]	PSC70628.1 anaphase-promoting complex subunit 8-like [Micractinium conductrix], PSC73293.1 SET domain-containing [Micractinium conductrix]
OG0001118	KAI3438036.1 hypothetical protein D9Q98_000479 [Chlorella vulgaris]	PSC71216.1 putative prolyl 4-hydroxylase 6 isoform A [Micractinium conductrix], PSC71217.1 putative prolyl 4-hydroxylase 6 isoform B [Micractinium conductrix]
OG0001119	KAI3438235.1 hypothetical protein D9Q98_000672 [Chlorella vulgaris]	PSC72299.1 Nucleolar GTP-binding 2 [Micractinium conductrix]
OG0001120	KAI3432892.1 hypothetical protein D9Q98_010474 [Chlorella vulgaris]	PSC74288.1 DNA-directed RNA polymerases IV and V subunit 11 [Micractinium conductrix]
OG0001121	KAI3439023.1 hypothetical protein D9Q98_001435 [Chlorella vulgaris]	PSC67904.1 furry homolog-like [Micractinium conductrix]
OG0001122	KAI3438041.1 hypothetical protein D9Q98_000484 [Chlorella vulgaris]	PSC71053.1 regulator of nonsense transcripts UPF2 [Micractinium conductrix]
OG0001123	KAI3429454.1 hypothetical protein D9Q98_005547 [Chlorella vulgaris]	PSC75131.1 cell division cycle 5 isoform B [Micractinium conductrix], PSC75132.1 cell division cycle 5 isoform A [Micractinium conductrix]
OG0001125	KAI3434815.1 hypothetical protein D9Q98_002872 [Chlorella vulgaris]	PSC73015.1 Isocitrate dehydrogenase [NAD] catalytic subunit mitochondrial [Micractinium conductrix]
OG0001126	KAI3428019.1 hypothetical protein D9Q98_006405 [Chlorella vulgaris]	PSC76118.1 5-methyltetrahydropteroyltriglutamate-homoc ysteine s-methyltransferase isoform B [Micractinium conductrix], PSC76117.1 5-methyltetrahydropteroyltriglutamate-homoc ysteine s-methyltransferase isoform A [Micractinium conductrix]
OG0001127	KAI3425155.1 hypothetical protein D9Q98_008926 [Chlorella vulgaris]	PSC70064.1 glyceraldehyde-3-phosphate type I [Micractinium conductrix]
OG0001128	KAI3425031.1 hypothetical protein D9Q98_008409 [Chlorella vulgaris]	PSC72482.1 Bax inhibitor 1 [Micractinium conductrix]
OG0001128	KAI3425037.1 hypothetical protein D9Q98_008415 [Chlorella vulgaris]	PSC72587.1 hypothetical protein C2E20_4122 [Micractinium conductrix]
OG0001129	KAI3431783.1 hypothetical protein D9Q98_010537 [Chlorella vulgaris], KAI3431782.1 hypothetical protein D9Q98_010537 [Chlorella vulgaris]	PSC69278.1 O-glucosyltransferase rumi [Micractinium conductrix]
OG0001129	KAI3431762.1 hypothetical protein D9Q98_004804 [Chlorella vulgaris]	PSC69235.1 hypothetical protein C2E20_7255 [Micractinium conductrix]
OG0001130	KAI3431737.1 hypothetical protein D9Q98_004779 [Chlorella vulgaris]	PSC69207.1 Cox19-like CHCH family [Micractinium conductrix]
OG0001131	KAI3436731.1 hypothetical protein D9Q98_006146 [Chlorella vulgaris]	PSC68303.1 signal recognition particle subunit SRP68 [Micractinium conductrix], PSC69093.1 hypothetical protein C2E20_7297 [Micractinium conductrix], PSC71516.1 signal recognition particle subunit SRP68 [Micractinium conductrix]
OG0001132	KAI3435656.1 hypothetical protein D9Q98_001714 [Chlorella vulgaris]	PSC69636.1 serine arginine-rich splicing factor RSZ21A-like isoform A [Micractinium conductrix], PSC69637.1 serine arginine-rich splicing factor RSZ21A-like isoform B [Micractinium conductrix]
OG0001133	KAI3436543.1 hypothetical protein D9Q98_005959 [Chlorella vulgaris]	PSC72779.1 Elongation factor Tu [Micractinium conductrix]
OG0001134	KAI3438734.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris], KAI3438733.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris]	PSC76088.1 cullin-associated NEDD8-dissociated 1 isoform B [Micractinium conductrix], PSC76087.1 cullin-associated NEDD8-dissociated 1 isoform A [Micractinium conductrix]
OG0001135	KAI3430763.1 hypothetical protein D9Q98_009175 [Chlorella vulgaris]	PSC71669.1 DNA repair RAD51-like protein 2 [Micractinium conductrix]
OG0001136	KAI3424785.1 hypothetical protein D9Q98_008172 [Chlorella vulgaris], KAI3424784.1 hypothetical protein D9Q98_008172 [Chlorella vulgaris]	PSC73895.1 Serine threonine-kinase CTR1 isoform B [Micractinium conductrix], PSC73896.1 Serine threonine-kinase CTR1 isoform A [Micractinium conductrix]
OG0001138	KAI3426974.1 hypothetical protein D9Q98_006918 [Chlorella vulgaris]	PSC75739.1 TVP38 TMEM64 family membrane [Micractinium conductrix]
OG0001139	KAI3429419.1 hypothetical protein D9Q98_005514 [Chlorella vulgaris]	PSC74994.1 mannose-1-phosphate guanylyltransferase 1 [Micractinium conductrix]
OG0001140	KAI3436201.1 hypothetical protein D9Q98_002255 [Chlorella vulgaris]	PSC76867.1 CCA tRNA nucleotidyltransferase 2 [Micractinium conductrix]
OG0001141	KAI3435786.1 hypothetical protein D9Q98_001844 [Chlorella vulgaris]	PSC68729.1 IMPACT family member in pol 5 region [Micractinium conductrix]
OG0001142	KAI3437662.1 hypothetical protein D9Q98_000112 [Chlorella vulgaris]	PSC75174.1 bifunctional aspartate aminotransferase and glutamate aspartate-prephenate aminotransferase [Micractinium conductrix]
OG0001143	KAI3429586.1 hypothetical protein D9Q98_005672 [Chlorella vulgaris]	PSC69429.1 DEFECTIVE IN EXINE FORMATION 1 [Micractinium conductrix]
OG0001144	KAI3431543.1 hypothetical protein D9Q98_004592 [Chlorella vulgaris], KAI3431542.1 hypothetical protein D9Q98_004591 [Chlorella vulgaris]	PSC67657.1 Autophagy-related 3 [Micractinium conductrix]
OG0001145	KAI3426443.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris], KAI3426442.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris]	PSC70925.1 HBS1 isoform X1 isoform A [Micractinium conductrix], PSC70924.1 HBS1 isoform X1 isoform B [Micractinium conductrix]
OG0001146	KAI3429611.1 hypothetical protein D9Q98_005697 [Chlorella vulgaris]	PSC67118.1 coenzyme Q-binding COQ10 mitochondrial [Micractinium conductrix], PSC67060.1 testis-expressed sequence 2 -like_ partial [Micractinium conductrix], PSC67093.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC67065.1 putative PH domain-containing [Micractinium conductrix], PSC67117.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC69319.1 peptidase zinc-dependent_ partial [Micractinium conductrix]
OG0001147	KAI3426224.1 hypothetical protein D9Q98_008600 [Chlorella vulgaris]	PSC70404.1 two-component sensor histidine kinase [Micractinium conductrix]
OG0001147	KAI3426225.1 hypothetical protein D9Q98_008601 [Chlorella vulgaris]	PSC70351.1 signal peptide peptidase-like 3 [Micractinium conductrix]
OG0001148	KAI3426869.1 hypothetical protein D9Q98_006815 [Chlorella vulgaris]	PSC68134.1 ferredoxin-NADP+ reductase [Micractinium conductrix]
OG0001149	KAI3425161.1 hypothetical protein D9Q98_008932 [Chlorella vulgaris]	PSC70000.1 serine protease [Micractinium conductrix]
OG0001150	KAI3430400.1 hypothetical protein D9Q98_004995 [Chlorella vulgaris]	PSC67172.1 cell division cycle 20 [Micractinium conductrix]
OG0001151	KAI3430694.1 hypothetical protein D9Q98_005283 [Chlorella vulgaris]	PSC70793.1 chlorophyllide a oxygenase [Micractinium conductrix]
OG0001151	KAI3425305.1 hypothetical protein D9Q98_009070 [Chlorella vulgaris]	PSC74971.1 chlorophyllide a oxygenase [Micractinium conductrix]
OG0001152	KAI3430477.1 hypothetical protein D9Q98_005072 [Chlorella vulgaris]	PSC76102.1 short-chain dehydrogenase [Micractinium conductrix]
OG0001153	KAI3436303.1 hypothetical protein D9Q98_002356 [Chlorella vulgaris]	PSC73004.1 histidyl-tRNA synthetase [Micractinium conductrix], PSC73197.1 histidyl-tRNA synthetase [Micractinium conductrix]
OG0001154	KAI3433424.1 hypothetical protein D9Q98_003239 [Chlorella vulgaris]	PSC76928.1 transferase mitochondrial [Micractinium conductrix]
OG0001155	KAI3427308.1 hypothetical protein D9Q98_010225 [Chlorella vulgaris], KAI3427306.1 hypothetical protein D9Q98_010223 [Chlorella vulgaris], KAI3427312.1 hypothetical protein D9Q98_010229 [Chlorella vulgaris]	PSC67807.1 hypothetical protein C2E20_8580 [Micractinium conductrix]
OG0001156	KAI3431689.1 hypothetical protein D9Q98_004735 [Chlorella vulgaris]	PSC68744.1 D-2-hydroxyglutarate mitochondrial isoform A [Micractinium conductrix], PSC68743.1 D-2-hydroxyglutarate mitochondrial isoform B [Micractinium conductrix]
OG0001157	KAI3428496.1 hypothetical protein D9Q98_007320 [Chlorella vulgaris]	PSC69961.1 leucine rich repeat [Micractinium conductrix]
OG0001157	KAI3428494.1 hypothetical protein D9Q98_007319 [Chlorella vulgaris], KAI3428495.1 hypothetical protein D9Q98_007319 [Chlorella vulgaris]	PSC69889.1 hypothetical protein C2E20_6622 [Micractinium conductrix]
OG0001158	KAI3423845.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris], KAI3423846.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris]	PSC68656.1 sulfite reductase isoform B [Micractinium conductrix], PSC68657.1 sulfite reductase isoform A [Micractinium conductrix]
OG0001159	KAI3433435.1 hypothetical protein D9Q98_003250 [Chlorella vulgaris]	PSC76746.1 aminopeptidase family isoform B [Micractinium conductrix], PSC76745.1 aminopeptidase family isoform A [Micractinium conductrix]
OG0001160	KAI3431684.1 hypothetical protein D9Q98_004730 [Chlorella vulgaris]	PSC68791.1 receptor expression-enhancing 5-like isoform X1 isoform A [Micractinium conductrix], PSC68780.1 receptor expression-enhancing 5-like isoform X1 [Micractinium conductrix], PSC68790.1 receptor expression-enhancing 5-like isoform X1 isoform B [Micractinium conductrix]
OG0001161	KAI3437659.1 hypothetical protein D9Q98_000109 [Chlorella vulgaris]	PSC76021.1 thylakoid lumenal kDa chloroplastic [Micractinium conductrix]
OG0001162	KAI3435923.1 hypothetical protein D9Q98_001981 [Chlorella vulgaris]	PSC71331.1 UV damage endonuclease [Micractinium conductrix]
OG0001162	KAI3431620.1 hypothetical protein D9Q98_004669 [Chlorella vulgaris]	PSC67605.1 UV damage endonuclease [Micractinium conductrix]
OG0001163	KAI3433317.1 hypothetical protein D9Q98_003135 [Chlorella vulgaris], KAI3433316.1 hypothetical protein D9Q98_003134 [Chlorella vulgaris]	PSC76726.1 NAD-dependent deacetylase SRT2 isoform X1 [Micractinium conductrix]
OG0001164	KAI3435836.1 hypothetical protein D9Q98_001894 [Chlorella vulgaris]	PSC68400.1 Adenosylmethionine-8-amino-7-oxononanoate aminotransferase [Micractinium conductrix]
OG0001165	KAI3433570.1 hypothetical protein D9Q98_003381 [Chlorella vulgaris]	PSC71446.1 alcohol dehydrogenase [Micractinium conductrix]
OG0001166	KAI3433574.1 hypothetical protein D9Q98_003385 [Chlorella vulgaris]	PSC68244.1 NAD_P_-binding domain [Micractinium conductrix]
OG0001167	KAI3427945.1 hypothetical protein D9Q98_006335 [Chlorella vulgaris]	PSC72597.1 phosphate acetyltransferase [Micractinium conductrix]
OG0001168	KAI3430254.1 hypothetical protein D9Q98_004850 [Chlorella vulgaris], KAI3430256.1 hypothetical protein D9Q98_004852 [Chlorella vulgaris], KAI3430258.1 hypothetical protein D9Q98_004854 [Chlorella vulgaris]	PSC70177.1 hypothetical protein C2E20_6289 [Micractinium conductrix]
OG0001169	KAI3430272.1 hypothetical protein D9Q98_004868 [Chlorella vulgaris]	PSC70106.1 hypothetical protein C2E20_6446 [Micractinium conductrix]
OG0001169	KAI3426039.1 hypothetical protein D9Q98_008007 [Chlorella vulgaris]	PSC70282.1 hypothetical protein C2E20_6369 [Micractinium conductrix]
OG0001170	KAI3430290.1 hypothetical protein D9Q98_004886 [Chlorella vulgaris]	PSC69220.1 thiol reductase thioredoxin [Micractinium conductrix], PSC69231.1 thioredoxin [Micractinium conductrix]
OG0001170	KAI3430625.1 hypothetical protein D9Q98_005218 [Chlorella vulgaris]	PSC68245.1 thiol reductase thioredoxin [Micractinium conductrix]
OG0001171	KAI3430232.1 hypothetical protein D9Q98_004829 [Chlorella vulgaris], KAI3430233.1 hypothetical protein D9Q98_004830 [Chlorella vulgaris]	PSC70293.1 translation initiation factor eIF-2B subunit delta [Micractinium conductrix]
OG0001172	KAI3433721.1 hypothetical protein D9Q98_003529 [Chlorella vulgaris]	PSC75837.1 microcephalin isoform X3 [Micractinium conductrix]
OG0001173	KAI3424954.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris], KAI3424955.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris]	PSC68971.1 DEAD-box ATP-dependent RNA helicase 28 [Micractinium conductrix]
OG0001174	KAI3425754.1 hypothetical protein D9Q98_007729 [Chlorella vulgaris]	PSC73747.1 catalase isozyme 1 [Micractinium conductrix]
OG0001175	KAI3436803.1 hypothetical protein D9Q98_006213 [Chlorella vulgaris]	PSC71519.1 fumarate isoform B [Micractinium conductrix], PSC71520.1 fumarate isoform A [Micractinium conductrix]
OG0001176	KAI3434880.1 hypothetical protein D9Q98_002934 [Chlorella vulgaris]	PSC76849.1 glycine cleavage T [Micractinium conductrix]
OG0001177	KAI3424956.1 hypothetical protein D9Q98_008337 [Chlorella vulgaris]	PSC68981.1 hypothetical protein C2E20_7512 [Micractinium conductrix]
OG0001178	KAI3429353.1 hypothetical protein D9Q98_005448 [Chlorella vulgaris]	PSC76347.1 calcium-binding mitochondrial carrier S -1 [Micractinium conductrix]
OG0001178	KAI3436445.1 hypothetical protein D9Q98_005862 [Chlorella vulgaris]	PSC69039.1 mitochondrial carrier [Micractinium conductrix]
OG0001179	KAI3424211.1 hypothetical protein D9Q98_009567 [Chlorella vulgaris]	PSC76089.1 Werner Syndrome-like exonuclease [Micractinium conductrix]
OG0001179	KAI3430822.1 hypothetical protein D9Q98_009233 [Chlorella vulgaris]	PSC71691.1 Werner Syndrome-like exonuclease [Micractinium conductrix]
OG0001180	KAI3430836.1 hypothetical protein D9Q98_009247 [Chlorella vulgaris]	PSC71673.1 V-type proton ATPase subunit D-like [Micractinium conductrix]
OG0001181	KAI3439052.1 hypothetical protein D9Q98_001462 [Chlorella vulgaris]	PSC75815.1 TATA box-binding -associated factor RNA polymerase I subunit B [Micractinium conductrix]
OG0001181	KAI3439047.1 hypothetical protein D9Q98_001457 [Chlorella vulgaris]	PSC75645.1 fanconi-associated nuclease 1-like protein isoform X1 [Micractinium conductrix]
OG0001182	KAI3436119.1 hypothetical protein D9Q98_002177 [Chlorella vulgaris], KAI3436120.1 hypothetical protein D9Q98_002178 [Chlorella vulgaris]	PSC76285.1 UPF0396 -like [Micractinium conductrix]
OG0001183	KAI3428303.1 hypothetical protein D9Q98_006682 [Chlorella vulgaris]	PSC68118.1 cytochrome c biogenesis [Micractinium conductrix]
OG0001184	KAI3428670.1 hypothetical protein D9Q98_007493 [Chlorella vulgaris]	PSC70922.1 neo-calmodulin-like isoform X1 [Micractinium conductrix]
OG0001184	KAI3439055.1 hypothetical protein D9Q98_001465 [Chlorella vulgaris]	PSC75550.1 calcium sensor EFh [Micractinium conductrix]
OG0001185	KAI3433307.1 hypothetical protein D9Q98_003125 [Chlorella vulgaris], KAI3433308.1 hypothetical protein D9Q98_003126 [Chlorella vulgaris]	PSC76259.1 GPN-loop GTPase 3 [Micractinium conductrix]
OG0001186	KAI3433313.1 hypothetical protein D9Q98_003131 [Chlorella vulgaris]	PSC76026.1 hypothetical protein C2E20_0200 [Micractinium conductrix]
OG0001187	KAI3435891.1 hypothetical protein D9Q98_001949 [Chlorella vulgaris]	PSC71422.1 Lysosomal acid lipase cholesteryl ester hydrolase [Micractinium conductrix]
OG0001188	KAI3438500.1 hypothetical protein D9Q98_000928 [Chlorella vulgaris]	PSC75234.1 strictosidine synthase [Micractinium conductrix]
OG0001189	KAI3437959.1 hypothetical protein D9Q98_000403 [Chlorella vulgaris]	PSC71046.1 Zn-dependent exopeptidase [Micractinium conductrix]
OG0001190	KAI3438492.1 hypothetical protein D9Q98_000920 [Chlorella vulgaris]	PSC72042.1 lipid phosphate phosphatase chloroplastic [Micractinium conductrix]
OG0001191	KAI3435495.1 hypothetical protein D9Q98_001561 [Chlorella vulgaris]	PSC72880.1 TBCC domain-containing 1 [Micractinium conductrix]
OG0001193	KAI3426116.1 hypothetical protein D9Q98_008495 [Chlorella vulgaris]	PSC67533.1 Fatty Acid 2-hydroxylase [Micractinium conductrix]
OG0001193	KAI3432321.1 hypothetical protein D9Q98_003880 [Chlorella vulgaris]	PSC73265.1 fatty acid 2-hydroxylase 2-like [Micractinium conductrix]
OG0001194	KAI3438056.1 hypothetical protein D9Q98_000499 [Chlorella vulgaris]	PSC71080.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform A [Micractinium conductrix], PSC71081.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform B [Micractinium conductrix]
OG0001195	KAI3434732.1 hypothetical protein D9Q98_002793 [Chlorella vulgaris], KAI3434730.1 hypothetical protein D9Q98_002791 [Chlorella vulgaris]	PSC72945.1 importin-9 isoform X1 [Micractinium conductrix]
OG0001196	KAI3438396.1 hypothetical protein D9Q98_000828 [Chlorella vulgaris]	PSC73636.1 ATP-dependent protease ATPase subunit [Micractinium conductrix]
OG0001197	KAI3438411.1 hypothetical protein D9Q98_000842 [Chlorella vulgaris]	PSC76966.1 PLP-dependent transferase [Micractinium conductrix]
OG0001198	KAI3430575.1 hypothetical protein D9Q98_005168 [Chlorella vulgaris]	PSC71251.1 glycolate oxidase [Micractinium conductrix]
OG0001199	KAI3427174.1 hypothetical protein D9Q98_007111 [Chlorella vulgaris]	PSC75918.1 vacuolar-sorting receptor 1-like [Micractinium conductrix]
OG0001200	KAI3436022.1 hypothetical protein D9Q98_002079 [Chlorella vulgaris]	PSC71151.1 SET domain [Micractinium conductrix]
OG0001200	KAI3438609.1 hypothetical protein D9Q98_001032 [Chlorella vulgaris]	PSC67964.1 histone-lysine N-methyltransferase ATXR3 [Micractinium conductrix]
OG0001201	KAI3427431.1 hypothetical protein D9Q98_010346 [Chlorella vulgaris]	PSC68410.1 acetolactate synthase isoform A [Micractinium conductrix], PSC68409.1 acetolactate synthase isoform B [Micractinium conductrix]
OG0001202	KAI3436587.1 hypothetical protein D9Q98_006004 [Chlorella vulgaris]	PSC72808.1 iron export ABC transporter permease subunit [Micractinium conductrix]
OG0001203	KAI3424193.1 hypothetical protein D9Q98_009549 [Chlorella vulgaris], KAI3424186.1 hypothetical protein D9Q98_009544 [Chlorella vulgaris]	PSC74125.1 tryptophan-tRNA cytoplasmic [Micractinium conductrix]
OG0001204	KAI3430988.1 hypothetical protein D9Q98_009391 [Chlorella vulgaris]	PSC70821.1 alpha beta-Hydrolases superfamily [Micractinium conductrix]
OG0001205	KAI3425049.1 hypothetical protein D9Q98_008427 [Chlorella vulgaris]	PSC69350.1 ERD4-related membrane [Micractinium conductrix]
OG0001206	KAI3430590.1 hypothetical protein D9Q98_005183 [Chlorella vulgaris]	PSC75047.1 coiled-coil domain-containing 97 isoform B [Micractinium conductrix], PSC75048.1 coiled-coil domain-containing 97 isoform A [Micractinium conductrix]
OG0001207	KAI3436693.1 hypothetical protein D9Q98_006108 [Chlorella vulgaris], KAI3436691.1 hypothetical protein D9Q98_006106 [Chlorella vulgaris]	PSC71600.1 Nucleosome-remodeling factor subunit BPTF [Micractinium conductrix]
OG0001208	KAI3428069.1 hypothetical protein D9Q98_006453 [Chlorella vulgaris]	PSC72447.1 hypothetical protein C2E20_4214 isoform B [Micractinium conductrix], PSC72446.1 hypothetical protein C2E20_4214 isoform A [Micractinium conductrix]
OG0001209	KAI3426904.1 hypothetical protein D9Q98_006848 [Chlorella vulgaris]	PSC75266.1 vesicle-associated 1-2-like [Micractinium conductrix]
OG0001209	KAI3427105.1 hypothetical protein D9Q98_007044 [Chlorella vulgaris]	PSC75632.1 Mannan endo-1_4-beta-mannosidase 1 [Micractinium conductrix]
OG0001211	KAI3433553.1 hypothetical protein D9Q98_003364 [Chlorella vulgaris], KAI3438388.1 hypothetical protein D9Q98_000820 [Chlorella vulgaris]	PSC68274.1 COP9 signalosome complex subunit 7 isoform X1 [Micractinium conductrix]
OG0001214	KAI3427166.1 hypothetical protein D9Q98_007103 [Chlorella vulgaris]	PSC75534.1 125 kDa kinesin-related-like protein [Micractinium conductrix]
OG0001215	KAI3432848.1 hypothetical protein D9Q98_010432 [Chlorella vulgaris], KAI3432849.1 hypothetical protein D9Q98_010432 [Chlorella vulgaris]	PSC73213.1 ubiquitin carboxyl-terminal hydrolase 12 [Micractinium conductrix]
OG0001216	KAI3432274.1 hypothetical protein D9Q98_003834 [Chlorella vulgaris]	PSC73320.1 motile sperm domain-containing 2 [Micractinium conductrix]
OG0001217	KAI3436143.1 hypothetical protein D9Q98_002200 [Chlorella vulgaris]	PSC76379.1 cell division cycle 48-like protein [Micractinium conductrix]
OG0001218	KAI3436145.1 hypothetical protein D9Q98_002202 [Chlorella vulgaris]	PSC76238.1 ABC transporter [Micractinium conductrix]
OG0001219	KAI3434568.1 hypothetical protein D9Q98_002640 [Chlorella vulgaris], KAI3434487.1 hypothetical protein D9Q98_002563 [Chlorella vulgaris], KAI3434569.1 hypothetical protein D9Q98_002641 [Chlorella vulgaris]	PSC68800.1 kinesin-13A-like isoform X1 [Micractinium conductrix]
OG0001220	KAI3431498.1 hypothetical protein D9Q98_004549 [Chlorella vulgaris]	PSC67863.1 inner membrane PPF-chloroplastic isoform A [Micractinium conductrix], PSC67864.1 inner membrane PPF-chloroplastic isoform B [Micractinium conductrix]
OG0001221	KAI3436879.1 hypothetical protein D9Q98_006287 [Chlorella vulgaris]	PSC67454.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform A [Micractinium conductrix], PSC67455.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform B [Micractinium conductrix]
OG0001222	KAI3430615.1 hypothetical protein D9Q98_005207 [Chlorella vulgaris]	PSC68300.1 UDP-glucose_glyco glucosyltransferase isoform X2 [Micractinium conductrix]
OG0001223	KAI3425740.1 hypothetical protein D9Q98_007716 [Chlorella vulgaris]	PSC73785.1 pre-mRNA-splicing factor CWC22-like protein [Micractinium conductrix]
OG0001224	KAI3427233.1 hypothetical protein D9Q98_007168 [Chlorella vulgaris]	PSC69799.1 Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asp aragine amidase [Micractinium conductrix]
OG0001225	KAI3434773.1 hypothetical protein D9Q98_002833 [Chlorella vulgaris]	PSC73192.1 Ribosomal L35Ae family isoform 1 [Micractinium conductrix]
OG0001226	KAI3438842.1 hypothetical protein D9Q98_001259 [Chlorella vulgaris]	PSC75278.1 dehydrogenase [Micractinium conductrix]
OG0001227	KAI3429719.1 hypothetical protein D9Q98_010035 [Chlorella vulgaris]	PSC74246.1 ARM repeat superfamily [Micractinium conductrix]
OG0001228	KAI3426465.1 hypothetical protein D9Q98_008832 [Chlorella vulgaris]	PSC70944.1 glucose-induced degradation 4-like protein isoform X2 [Micractinium conductrix]
OG0001229	KAI3425781.1 hypothetical protein D9Q98_007756 [Chlorella vulgaris], KAI3425779.1 hypothetical protein D9Q98_007754 [Chlorella vulgaris]	PSC74360.1 WD repeat-containing LWD1 isoform B [Micractinium conductrix], PSC74361.1 WD repeat-containing LWD1 isoform A [Micractinium conductrix]
OG0001230	KAI3438543.1 hypothetical protein D9Q98_000971 [Chlorella vulgaris]	PSC73678.1 organic cation carnitine transporter 7-like [Micractinium conductrix]
OG0001231	KAI3428669.1 hypothetical protein D9Q98_007492 [Chlorella vulgaris]	PSC70899.1 Ras-related Rab7 [Micractinium conductrix]
OG0001232	KAI3438889.1 hypothetical protein D9Q98_001304 [Chlorella vulgaris]	PSC75806.1 citrate _Si_-synthase [Micractinium conductrix]
OG0001232	KAI3438439.1 hypothetical protein D9Q98_000870 [Chlorella vulgaris]	PSC76850.1 citrate synthase [Micractinium conductrix]
OG0001233	KAI3428673.1 hypothetical protein D9Q98_007496 [Chlorella vulgaris]	PSC75978.1 Transmembrane 9 superfamily member 4 [Micractinium conductrix]
