Orthogroup	Chlorella_Vulgaris2111P	Chlorella_Sorokiniana1602
OG0000226	KAI3433319.1 hypothetical protein D9Q98_003137 [Chlorella vulgaris]	PRW58514.1 phosphatase 2C 6 [Chlorella sorokiniana]
OG0000226	KAI3433318.1 hypothetical protein D9Q98_003136 [Chlorella vulgaris]	PRW58215.1 RNA polymerase II C-terminal domain phosphatase-like 3 [Chlorella sorokiniana]
OG0000227	KAI3433858.1 hypothetical protein D9Q98_003661 [Chlorella vulgaris]	PRW58139.1 phosphoglycerate kinase isoform A [Chlorella sorokiniana], PRW58140.1 phosphoglycerate kinase isoform B [Chlorella sorokiniana]
OG0000227	KAI3433409.1 hypothetical protein D9Q98_003225 [Chlorella vulgaris]	PRW58440.1 phosphoglycerate kinase [Chlorella sorokiniana]
OG0000228	KAI3433443.1 hypothetical protein D9Q98_003257 [Chlorella vulgaris]	PRW58079.1 Scavenger receptor class B member 1 [Chlorella sorokiniana]
OG0000229	KAI3426902.1 hypothetical protein D9Q98_006846 [Chlorella vulgaris]	PRW51159.1 hypothetical protein C2E21_5658 isoform B [Chlorella sorokiniana], PRW51160.1 hypothetical protein C2E21_5658 isoform A [Chlorella sorokiniana]
OG0000229	KAI3425097.1 hypothetical protein D9Q98_008475 [Chlorella vulgaris]	PRW45455.1 acyl- binding [Chlorella sorokiniana]
OG0000229	KAI3435557.1 hypothetical protein D9Q98_001622 [Chlorella vulgaris]	PRW18334.1 acyl- -binding domain-containing 1-like [Chlorella sorokiniana]
OG0000230	KAI3424191.1 hypothetical protein D9Q98_009547 [Chlorella vulgaris], KAI3424190.1 hypothetical protein D9Q98_009547 [Chlorella vulgaris]	PRW61186.1 glycerol-3-phosphate acyltransferase [Chlorella sorokiniana], PRW61208.1 hypothetical protein C2E21_0080 [Chlorella sorokiniana]
OG0000231	KAI3430704.1 hypothetical protein D9Q98_005293 [Chlorella vulgaris]	PRW20241.1 coiled-coil Y [Chlorella sorokiniana]
OG0000231	KAI3427008.1 hypothetical protein D9Q98_006951 [Chlorella vulgaris]	PRW58098.1 Ankyrin repeat-containing YAR1 [Chlorella sorokiniana]
OG0000231	KAI3426057.1 hypothetical protein D9Q98_008025 [Chlorella vulgaris]	PRW45049.1 jmjC domain-containing 4 [Chlorella sorokiniana]
OG0000232	KAI3425760.1 hypothetical protein D9Q98_007735 [Chlorella vulgaris]	PRW57652.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform B [Chlorella sorokiniana], PRW57651.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform A [Chlorella sorokiniana]
OG0000232	KAI3434493.1 hypothetical protein D9Q98_002568 [Chlorella vulgaris]	PRW20627.1 3-oxoacyl-synthase I [Chlorella sorokiniana]
OG0000233	KAI3435910.1 hypothetical protein D9Q98_001968 [Chlorella vulgaris]	PRW59852.1 NADPH-cytochrome P450 reductase [Chlorella sorokiniana]
OG0000233	KAI3432336.1 hypothetical protein D9Q98_003894 [Chlorella vulgaris]	PRW61133.1 polyadenylate-binding 4 [Chlorella sorokiniana]
OG0000234	KAI3429374.1 hypothetical protein D9Q98_005469 [Chlorella vulgaris]	PRW60850.1 eukaryotic initiation factor 4A-3 [Chlorella sorokiniana]
OG0000235	KAI3433964.1 hypothetical protein D9Q98_003766 [Chlorella vulgaris]	PRW58160.1 coatomer subunit alpha-1 [Chlorella sorokiniana]
OG0000236	KAI3429700.1 hypothetical protein D9Q98_005785 [Chlorella vulgaris]	PRW60642.1 alanine aminotransferase 2 [Chlorella sorokiniana]
OG0000236	KAI3428713.1 hypothetical protein D9Q98_007537 [Chlorella vulgaris]	PRW44404.1 alanine aminotransferase isoform A [Chlorella sorokiniana], PRW44403.1 alanine aminotransferase isoform B [Chlorella sorokiniana]
OG0000237	KAI3430586.1 hypothetical protein D9Q98_005179 [Chlorella vulgaris]	PRW39120.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW39118.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW33060.1 hypothetical protein C2E21_7981 [Chlorella sorokiniana], PRW59309.1 serine threonine [Chlorella sorokiniana]
OG0000238	KAI3432794.1 hypothetical protein D9Q98_010378 [Chlorella vulgaris]	PRW57932.1 galactose oxidase [Chlorella sorokiniana], PRW34090.1 kelch domain-containing [Chlorella sorokiniana]
OG0000240	KAI3428274.1 hypothetical protein D9Q98_006653 [Chlorella vulgaris]	PRW56610.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]
OG0000240	KAI3428804.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris], KAI3428803.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris], KAI3428802.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris]	PRW05836.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]
OG0000241	KAI3423928.1 hypothetical protein D9Q98_009762 [Chlorella vulgaris]	PRW32542.1 B-cell receptor-associated 31 [Chlorella sorokiniana]
OG0000241	KAI3425191.1 hypothetical protein D9Q98_008960 [Chlorella vulgaris], KAI3425190.1 hypothetical protein D9Q98_008959 [Chlorella vulgaris], KAI3425189.1 hypothetical protein D9Q98_008958 [Chlorella vulgaris]	PRW33732.1 Arsenite methyltransferase [Chlorella sorokiniana]
OG0000242	KAI3424095.1 hypothetical protein D9Q98_009457 [Chlorella vulgaris]	PRW21103.1 Phospholipase B-like 1 isoform B [Chlorella sorokiniana], PRW21102.1 Phospholipase B-like 1 isoform A [Chlorella sorokiniana]
OG0000243	KAI3432427.1 hypothetical protein D9Q98_003981 [Chlorella vulgaris]	PRW61565.1 cobalamin-dependent methionine synthase [Chlorella sorokiniana]
OG0000243	KAI3428727.1 hypothetical protein D9Q98_007551 [Chlorella vulgaris]	PRW44368.1 KRI1-like protein [Chlorella sorokiniana]
OG0000244	KAI3428248.1 hypothetical protein D9Q98_006627 [Chlorella vulgaris], KAI3428247.1 hypothetical protein D9Q98_006627 [Chlorella vulgaris]	PRW56731.1 zinc finger CONSTANS-LIKE 5 [Chlorella sorokiniana]
OG0000244	KAI3424125.1 hypothetical protein D9Q98_009486 [Chlorella vulgaris]	PRW45554.1 Collagen adhesion [Chlorella sorokiniana]
OG0000245	KAI3432283.1 hypothetical protein D9Q98_003843 [Chlorella vulgaris]	PRW61406.1 FAD-dependent oxidoreductase [Chlorella sorokiniana]
OG0000245	KAI3426308.1 hypothetical protein D9Q98_008681 [Chlorella vulgaris]	PRW45123.1 fad dependent oxidoreductase [Chlorella sorokiniana]
OG0000245	KAI3437700.1 hypothetical protein D9Q98_000149 [Chlorella vulgaris]	PRW20829.1 NAD-dependent deacetylase sirtuin-2 [Chlorella sorokiniana]
OG0000246	KAI3438476.1 hypothetical protein D9Q98_000905 [Chlorella vulgaris]	PRW58726.1 cold-regulated 1 [Chlorella sorokiniana], PRW59088.1 cold-regulated 1 [Chlorella sorokiniana]
OG0000246	KAI3438477.1 hypothetical protein D9Q98_000906 [Chlorella vulgaris], KAI3438481.1 hypothetical protein D9Q98_000909 [Chlorella vulgaris], KAI3438482.1 hypothetical protein D9Q98_000910 [Chlorella vulgaris], KAI3438478.1 hypothetical protein D9Q98_000907 [Chlorella vulgaris], KAI3438479.1 hypothetical protein D9Q98_000907 [Chlorella vulgaris], KAI3438484.1 hypothetical protein D9Q98_000912 [Chlorella vulgaris], KAI3438480.1 hypothetical protein D9Q98_000908 [Chlorella vulgaris]	PRW33569.1 cold-regulated 1 [Chlorella sorokiniana]
OG0000247	KAI3428504.1 hypothetical protein D9Q98_007328 [Chlorella vulgaris]	PRW44307.1 2-cys peroxiredoxin [Chlorella sorokiniana]
OG0000247	KAI3429626.1 hypothetical protein D9Q98_005712 [Chlorella vulgaris]	PRW58730.1 2-cys peroxiredoxin BAS1 [Chlorella sorokiniana]
OG0000248	KAI3436646.1 hypothetical protein D9Q98_006062 [Chlorella vulgaris]	PRW55937.1 DAZ-associated 1 [Chlorella sorokiniana]
OG0000248	KAI3436645.1 hypothetical protein D9Q98_006061 [Chlorella vulgaris]	PRW56224.1 Dual specificity kinase shkE [Chlorella sorokiniana]
OG0000249	KAI3434873.1 hypothetical protein D9Q98_002927 [Chlorella vulgaris]	PRW33845.1 hypothetical protein C2E21_7319 [Chlorella sorokiniana]
OG0000249	KAI3432733.1 hypothetical protein D9Q98_004274 [Chlorella vulgaris]	PRW61058.1 RWP-RK domain-containing _ISS_ [Chlorella sorokiniana]
OG0000249	KAI3436189.1 hypothetical protein D9Q98_002244 [Chlorella vulgaris]	PRW59842.1 RWP-RK domain-containing [Chlorella sorokiniana]
OG0000249	KAI3432273.1 hypothetical protein D9Q98_003833 [Chlorella vulgaris]	PRW20437.1 hypothetical protein C2E21_9077 [Chlorella sorokiniana], PRW61050.1 RWP-RK domain-containing _ISS_ [Chlorella sorokiniana]
OG0000250	KAI3425056.1 hypothetical protein D9Q98_008434 [Chlorella vulgaris]	PRW45536.1 light-harvesting of photosystem I [Chlorella sorokiniana]
OG0000250	KAI3425057.1 hypothetical protein D9Q98_008435 [Chlorella vulgaris]	PRW45490.1 electron transfer flavo -ubiquinone oxidoreductase [Chlorella sorokiniana]
OG0000250	KAI3425054.1 hypothetical protein D9Q98_008432 [Chlorella vulgaris]	PRW45697.1 light-harvesting of photosystem I [Chlorella sorokiniana]
OG0000251	KAI3436042.1 hypothetical protein D9Q98_002099 [Chlorella vulgaris], KAI3436041.1 hypothetical protein D9Q98_002098 [Chlorella vulgaris]	PRW59954.1 Aldo keto reductase [Chlorella sorokiniana], PRW60123.1 aldo keto reductase [Chlorella sorokiniana], PRW59829.1 aldo keto reductase [Chlorella sorokiniana], PRW59739.1 aldo keto reductase [Chlorella sorokiniana], PRW59960.1 putative aldo-keto reductase 2 [Chlorella sorokiniana]
OG0000252	KAI3426912.1 hypothetical protein D9Q98_006856 [Chlorella vulgaris], KAI3426909.1 hypothetical protein D9Q98_006853 [Chlorella vulgaris]	PRW50937.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]
OG0000252	KAI3426910.1 hypothetical protein D9Q98_006854 [Chlorella vulgaris]	PRW51008.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]
OG0000253	KAI3434983.1 hypothetical protein D9Q98_003035 [Chlorella vulgaris]	PRW33890.1 mechanosensitive ion channel [Chlorella sorokiniana]
OG0000253	KAI3427237.1 hypothetical protein D9Q98_007172 [Chlorella vulgaris], KAI3438969.1 hypothetical protein D9Q98_001383 [Chlorella vulgaris]	PRW56732.1 mechanosensitive ion channel [Chlorella sorokiniana]
OG0000254	KAI3428757.1 hypothetical protein D9Q98_007579 [Chlorella vulgaris]	PRW44505.1 mitochondrial ribosomal L11 [Chlorella sorokiniana]
OG0000254	KAI3431751.1 hypothetical protein D9Q98_004793 [Chlorella vulgaris]	PRW33322.1 50S ribosomal L11 [Chlorella sorokiniana]
OG0000255	KAI3428378.1 hypothetical protein D9Q98_006758 [Chlorella vulgaris]	PRW56852.1 Mitochondrial inner membrane protease subunit 2 [Chlorella sorokiniana]
OG0000255	KAI3424770.1 hypothetical protein D9Q98_008158 [Chlorella vulgaris]	PRW45470.1 mitochondrial inner membrane protease subunit 1-like [Chlorella sorokiniana]
OG0000256	KAI3423807.1 hypothetical protein D9Q98_009644 [Chlorella vulgaris]	PRW57760.1 DEAD DEAH box [Chlorella sorokiniana]
OG0000256	KAI3429612.1 hypothetical protein D9Q98_005698 [Chlorella vulgaris]	PRW60806.1 putative phosphoinositide phosphatase SAC9 isoform X1 [Chlorella sorokiniana]
OG0000257	KAI3434427.1 hypothetical protein D9Q98_002504 [Chlorella vulgaris]	PRW39062.1 hypothetical protein C2E21_7102 [Chlorella sorokiniana], PRW39236.1 hypothetical protein C2E21_7108 [Chlorella sorokiniana], PRW45335.1 hypothetical protein C2E21_5855 [Chlorella sorokiniana]
OG0000258	KAI3427238.1 hypothetical protein D9Q98_007173 [Chlorella vulgaris], KAI3427236.1 hypothetical protein D9Q98_007171 [Chlorella vulgaris], KAI3424071.1 hypothetical protein D9Q98_009434 [Chlorella vulgaris], KAI3427374.1 hypothetical protein D9Q98_010290 [Chlorella vulgaris], KAI3427367.1 hypothetical protein D9Q98_010283 [Chlorella vulgaris], KAI3427372.1 hypothetical protein D9Q98_010288 [Chlorella vulgaris], KAI3427370.1 hypothetical protein D9Q98_010286 [Chlorella vulgaris], KAI3427366.1 hypothetical protein D9Q98_010282 [Chlorella vulgaris], KAI3427364.1 hypothetical protein D9Q98_010280 [Chlorella vulgaris], KAI3427365.1 hypothetical protein D9Q98_010281 [Chlorella vulgaris], KAI3427428.1 hypothetical protein D9Q98_010343 [Chlorella vulgaris], KAI3432770.1 hypothetical protein D9Q98_004310 [Chlorella vulgaris], KAI3427307.1 hypothetical protein D9Q98_010224 [Chlorella vulgaris], KAI3427369.1 hypothetical protein D9Q98_010285 [Chlorella vulgaris]	PRW05904.1 Cell division control 6 [Chlorella sorokiniana]
OG0000259	KAI3427937.1 hypothetical protein D9Q98_006327 [Chlorella vulgaris]	PRW56745.1 putative WD repeat-containing [Chlorella sorokiniana]
OG0000259	KAI3427925.1 hypothetical protein D9Q98_006317 [Chlorella vulgaris], KAI3427924.1 hypothetical protein D9Q98_006316 [Chlorella vulgaris]	PRW56762.1 WD repeat-containing 89-like protein [Chlorella sorokiniana]
OG0000260	KAI3425958.1 hypothetical protein D9Q98_007928 [Chlorella vulgaris]	PRW34029.1 homogentisate phytyltransferase chloroplastic isoform B [Chlorella sorokiniana], PRW34028.1 homogentisate phytyltransferase chloroplastic isoform A [Chlorella sorokiniana]
OG0000260	KAI3437802.1 hypothetical protein D9Q98_000249 [Chlorella vulgaris]	PRW57528.1 homogentisate chloroplastic [Chlorella sorokiniana]
OG0000262	KAI3438087.1 hypothetical protein D9Q98_000529 [Chlorella vulgaris], KAI3438086.1 hypothetical protein D9Q98_000528 [Chlorella vulgaris]	PRW57187.1 formate--tetrahydrofolate ligase [Chlorella sorokiniana]
OG0000263	KAI3428023.1 hypothetical protein D9Q98_006409 [Chlorella vulgaris]	PRW57978.1 flagellar associated [Chlorella sorokiniana]
OG0000263	KAI3428025.1 hypothetical protein D9Q98_006411 [Chlorella vulgaris], KAI3428024.1 hypothetical protein D9Q98_006410 [Chlorella vulgaris], KAI3428027.1 hypothetical protein D9Q98_006413 [Chlorella vulgaris], KAI3428026.1 hypothetical protein D9Q98_006412 [Chlorella vulgaris]	PRW56460.1 flagellar associated [Chlorella sorokiniana]
OG0000264	KAI3430496.1 hypothetical protein D9Q98_005091 [Chlorella vulgaris]	PRW33030.1 LOV domain-containing [Chlorella sorokiniana]
OG0000265	KAI3438861.1 hypothetical protein D9Q98_001278 [Chlorella vulgaris]	PRW58877.1 P-ATPase family transporter_ copper ion heavy metal transporting P-type ATPase [Chlorella sorokiniana]
OG0000265	KAI3428823.1 hypothetical protein D9Q98_007640 [Chlorella vulgaris]	PRW05833.1 copper-transporting ATPase chloroplastic [Chlorella sorokiniana]
OG0000266	KAI3427160.1 hypothetical protein D9Q98_007097 [Chlorella vulgaris]	PRW51108.1 ERAD-associated E3 ubiquitin- ligase HRD1B-like [Chlorella sorokiniana]
OG0000266	KAI3427162.1 hypothetical protein D9Q98_007099 [Chlorella vulgaris]	PRW50794.1 Dual-specificity RNA methyltransferase [Chlorella sorokiniana]
OG0000267	KAI3433391.1 hypothetical protein D9Q98_003207 [Chlorella vulgaris]	PRW58300.1 raffinose synthase [Chlorella sorokiniana]
OG0000268	KAI3431366.1 hypothetical protein D9Q98_004423 [Chlorella vulgaris]	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana]
OG0000268	KAI3439126.1 hypothetical protein D9Q98_001534 [Chlorella vulgaris]	PRW58969.1 kinase and PP2C-like domain-containing [Chlorella sorokiniana]
OG0000269	KAI3428111.1 hypothetical protein D9Q98_006494 [Chlorella vulgaris]	PRW56439.1 floral homeotic [Chlorella sorokiniana]
OG0000270	KAI3433483.1 hypothetical protein D9Q98_003295 [Chlorella vulgaris]	PRW58100.1 DNA-directed RNA polymerase III largest subunit [Chlorella sorokiniana]
OG0000270	KAI3438100.1 hypothetical protein D9Q98_000542 [Chlorella vulgaris]	PRW57000.1 DNA-directed RNA polymerase II subunit 1 [Chlorella sorokiniana]
OG0000271	KAI3437910.1 hypothetical protein D9Q98_000355 [Chlorella vulgaris]	PRW57209.1 strawberry notch [Chlorella sorokiniana]
OG0000272	KAI3425739.1 hypothetical protein D9Q98_007715 [Chlorella vulgaris]	PRW57658.1 pyridoxal chloroplastic [Chlorella sorokiniana]
OG0000272	KAI3435830.1 hypothetical protein D9Q98_001888 [Chlorella vulgaris]	PRW59845.1 2_5-didehydrogluconate reductase [Chlorella sorokiniana]
OG0000273	KAI3438565.1 hypothetical protein D9Q98_000992 [Chlorella vulgaris]	PRW58905.1 Heterogeneous nuclear ribonucleo A1-like 2 [Chlorella sorokiniana]
OG0000274	KAI3429388.1 hypothetical protein D9Q98_005483 [Chlorella vulgaris]	PRW60837.1 agmatine deiminase [Chlorella sorokiniana]
OG0000274	KAI3439074.1 hypothetical protein D9Q98_001484 [Chlorella vulgaris]	PRW20767.1 agmatine deiminase [Chlorella sorokiniana]
OG0000275	KAI3429344.1 hypothetical protein D9Q98_005439 [Chlorella vulgaris]	PRW60594.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]
OG0000275	KAI3429346.1 hypothetical protein D9Q98_005441 [Chlorella vulgaris]	PRW60657.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]
OG0000275	KAI3429340.1 hypothetical protein D9Q98_005435 [Chlorella vulgaris]	PRW60395.1 General transcription factor IIH subunit 2 [Chlorella sorokiniana]
OG0000276	KAI3434519.1 hypothetical protein D9Q98_002592 [Chlorella vulgaris]	PRW20734.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Chlorella sorokiniana]
OG0000276	KAI3434403.1 hypothetical protein D9Q98_002481 [Chlorella vulgaris]	PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]
OG0000277	KAI3427132.1 hypothetical protein D9Q98_007069 [Chlorella vulgaris]	PRW60063.1 hypothetical protein C2E21_1860 [Chlorella sorokiniana]
OG0000278	KAI3434999.1 hypothetical protein D9Q98_003051 [Chlorella vulgaris]	PRW20325.1 cobalamin synthesis [Chlorella sorokiniana]
OG0000278	KAI3426100.1 hypothetical protein D9Q98_008068 [Chlorella vulgaris]	PRW34073.1 cobalamin synthesis P47K [Chlorella sorokiniana]
OG0000279	KAI3424708.1 hypothetical protein D9Q98_008097 [Chlorella vulgaris]	PRW45475.1 DNA-binding bromodomain-containing [Chlorella sorokiniana]
OG0000280	KAI3432282.1 hypothetical protein D9Q98_003842 [Chlorella vulgaris]	PRW61615.1 FAD synthetase chloroplastic-like [Chlorella sorokiniana]
OG0000284	KAI3438305.1 hypothetical protein D9Q98_000739 [Chlorella vulgaris]	PRW57163.1 transmembrane E3 ubiquitin- ligase 1-like [Chlorella sorokiniana]
OG0000284	KAI3426064.1 hypothetical protein D9Q98_008032 [Chlorella vulgaris]	PRW20517.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform A [Chlorella sorokiniana], PRW20516.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform C [Chlorella sorokiniana]
OG0000284	KAI3423948.1 hypothetical protein D9Q98_009782 [Chlorella vulgaris]	PRW61338.1 ZIP Zinc transporter [Chlorella sorokiniana]
OG0000285	KAI3438784.1 hypothetical protein D9Q98_001201 [Chlorella vulgaris]	PRW59338.1 ATP-binding cassette transporter [Chlorella sorokiniana]
OG0000285	KAI3436555.1 hypothetical protein D9Q98_005971 [Chlorella vulgaris]	PRW55972.1 ABC transporter B family member 11-like [Chlorella sorokiniana], PRW56013.1 ABC transporter B family member 4-like [Chlorella sorokiniana]
OG0000286	KAI3427022.1 hypothetical protein D9Q98_006964 [Chlorella vulgaris]	PRW51150.1 Drug Metabolite transporter superfamily [Chlorella sorokiniana]
OG0000287	KAI3425198.1 hypothetical protein D9Q98_008967 [Chlorella vulgaris]	PRW33685.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform C [Chlorella sorokiniana], PRW33686.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform B [Chlorella sorokiniana], PRW33683.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform A [Chlorella sorokiniana]
OG0000287	KAI3425206.1 hypothetical protein D9Q98_008974 [Chlorella vulgaris]	PRW33751.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Chlorella sorokiniana]
OG0000288	KAI3426387.1 hypothetical protein D9Q98_008758 [Chlorella vulgaris]	PRW45181.1 hypothetical protein C2E21_6228 [Chlorella sorokiniana]
OG0000288	KAI3431611.1 hypothetical protein D9Q98_004660 [Chlorella vulgaris]	PRW39302.1 Palmitoyl-monogalactosyldiacylglycerol delta-7 chloroplastic [Chlorella sorokiniana]
OG0000289	KAI3437821.1 hypothetical protein D9Q98_000268 [Chlorella vulgaris]	PRW56940.1 meiotic recombination DMC1-like protein [Chlorella sorokiniana]
OG0000289	KAI3428313.1 hypothetical protein D9Q98_006693 [Chlorella vulgaris]	PRW56723.1 DNA repair RAD51-like protein [Chlorella sorokiniana]
OG0000290	KAI3429433.1 hypothetical protein D9Q98_005527 [Chlorella vulgaris]	PRW60861.1 Leucyl-cystinyl aminopeptidase [Chlorella sorokiniana]
OG0000290	KAI3429432.1 hypothetical protein D9Q98_005526 [Chlorella vulgaris]	PRW60384.1 WD repeat-containing 55-like protein [Chlorella sorokiniana]
OG0000291	KAI3425078.1 hypothetical protein D9Q98_008456 [Chlorella vulgaris], KAI3425077.1 hypothetical protein D9Q98_008455 [Chlorella vulgaris]	PRW45597.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana]
OG0000291	KAI3435553.1 hypothetical protein D9Q98_001618 [Chlorella vulgaris]	PRW18387.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana], PRW57336.1 MFT2 - Corn MFT [Chlorella sorokiniana]
OG0000292	KAI3427213.1 hypothetical protein D9Q98_007148 [Chlorella vulgaris]	PRW51030.1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [Chlorella sorokiniana]
OG0000293	KAI3437728.1 hypothetical protein D9Q98_000176 [Chlorella vulgaris]	PRW20925.1 calcium-dependent kinase 26-like [Chlorella sorokiniana]
OG0000293	KAI3434966.1 hypothetical protein D9Q98_003018 [Chlorella vulgaris]	PRW57858.1 calcium-dependent kinase 29-like [Chlorella sorokiniana]
OG0000293	KAI3434802.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris], KAI3434801.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris]	PRW57740.1 keratin-associated 5-1-like [Chlorella sorokiniana], PRW57981.1 Calcium-dependent kinase [Chlorella sorokiniana]
OG0000294	KAI3434804.1 hypothetical protein D9Q98_002861 [Chlorella vulgaris]	PRW57672.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]
OG0000294	KAI3429383.1 hypothetical protein D9Q98_005478 [Chlorella vulgaris]	PRW60323.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]
OG0000295	KAI3426298.1 hypothetical protein D9Q98_008671 [Chlorella vulgaris], KAI3426299.1 hypothetical protein D9Q98_008672 [Chlorella vulgaris]	PRW45233.1 NLP1-like isoform X1 [Chlorella sorokiniana]
OG0000295	KAI3430743.1 hypothetical protein D9Q98_009155 [Chlorella vulgaris]	PRW21123.1 RWP-RK domain-containing transcription factor [Chlorella sorokiniana]
OG0000296	KAI3433502.1 hypothetical protein D9Q98_003314 [Chlorella vulgaris]	PRW58468.1 glucose-6-phosphate cytosolic [Chlorella sorokiniana]
OG0000296	KAI3431268.1 hypothetical protein D9Q98_004329 [Chlorella vulgaris], KAI3431267.1 hypothetical protein D9Q98_004329 [Chlorella vulgaris]	PRW05793.1 cytosolic phosphoglucose isomerase isoform C [Chlorella sorokiniana], PRW05792.1 cytosolic phosphoglucose isomerase isoform A [Chlorella sorokiniana], PRW05794.1 cytosolic phosphoglucose isomerase isoform B [Chlorella sorokiniana]
OG0000297	KAI3438932.1 hypothetical protein D9Q98_001346 [Chlorella vulgaris]	PRW58838.1 putative anion transporter chloroplastic [Chlorella sorokiniana]
OG0000298	KAI3438965.1 hypothetical protein D9Q98_001379 [Chlorella vulgaris], KAI3438967.1 hypothetical protein D9Q98_001381 [Chlorella vulgaris], KAI3438966.1 hypothetical protein D9Q98_001380 [Chlorella vulgaris]	PRW59169.1 cytosolic Fe-S cluster assembly factor narfl [Chlorella sorokiniana]
OG0000299	KAI3433342.1 hypothetical protein D9Q98_003160 [Chlorella vulgaris], KAI3433343.1 hypothetical protein D9Q98_003161 [Chlorella vulgaris]	PRW58194.1 COP9 signalosome complex subunit 5b-like [Chlorella sorokiniana]
OG0000300	KAI3434910.1 hypothetical protein D9Q98_002964 [Chlorella vulgaris]	PRW33953.1 inorganic pyrophosphatase isoform A [Chlorella sorokiniana], PRW33952.1 inorganic pyrophosphatase isoform B [Chlorella sorokiniana]
OG0000300	KAI3430247.1 hypothetical protein D9Q98_004843 [Chlorella vulgaris]	PRW20574.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]
OG0000301	KAI3436698.1 hypothetical protein D9Q98_006113 [Chlorella vulgaris]	PRW56106.1 peptidylglycine alpha-amidating monooxygenase [Chlorella sorokiniana]
OG0000301	KAI3435664.1 hypothetical protein D9Q98_001722 [Chlorella vulgaris]	PRW59617.1 peptidase M3 [Chlorella sorokiniana]
OG0000302	KAI3430970.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3430971.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris]	PRW20261.1 Spermatogenesis-associated [Chlorella sorokiniana]
OG0000302	KAI3436727.1 hypothetical protein D9Q98_006142 [Chlorella vulgaris]	PRW56325.1 cell division cycle 48-like protein [Chlorella sorokiniana]
OG0000303	KAI3425139.1 hypothetical protein D9Q98_008910 [Chlorella vulgaris], KAI3437557.1 hypothetical protein D9Q98_000010 [Chlorella vulgaris]	PRW33517.1 glucose-6-phosphate 1- cytoplasmic isoform [Chlorella sorokiniana]
OG0000303	KAI3438309.1 hypothetical protein D9Q98_000743 [Chlorella vulgaris]	PRW57282.1 glucose-6-phosphate 1- chloroplastic-like [Chlorella sorokiniana]
OG0000304	KAI3436285.1 hypothetical protein D9Q98_002338 [Chlorella vulgaris]	PRW60098.1 dynamin-related 3B-like isoform B [Chlorella sorokiniana], PRW60097.1 dynamin-related 3B-like isoform A [Chlorella sorokiniana]
OG0000305	KAI3431619.1 hypothetical protein D9Q98_004668 [Chlorella vulgaris]	PRW39307.1 ribonucleoside-diphosphate reductase small chain [Chlorella sorokiniana]
OG0000305	KAI3436759.1 hypothetical protein D9Q98_006171 [Chlorella vulgaris]	PRW58060.1 ribonucleoside-diphosphate reductase small chain isoform A [Chlorella sorokiniana]
OG0000306	KAI3426162.1 hypothetical protein D9Q98_008539 [Chlorella vulgaris]	PRW45108.1 serine carboxypeptidase-like 25 [Chlorella sorokiniana]
OG0000306	KAI3426161.1 hypothetical protein D9Q98_008538 [Chlorella vulgaris]	PRW58099.1 kinase-like superfamily [Chlorella sorokiniana]
OG0000306	KAI3426159.1 hypothetical protein D9Q98_008536 [Chlorella vulgaris]	PRW44896.1 kinase-like superfamily [Chlorella sorokiniana]
OG0000307	KAI3426303.1 hypothetical protein D9Q98_008676 [Chlorella vulgaris]	PRW44988.1 Vacuolar sorting-associated [Chlorella sorokiniana]
