Orthogroup	Micractinium_SAG24180	Auxenochlorella_protothecoides
OG0000414	PSC68170.1 glycosyltransferase family 77 [Micractinium conductrix]	RMZ57376.1 hypothetical protein APUTEX25_004210_ partial [Auxenochlorella protothecoides]
OG0000414	PSC74619.1 glycosyltransferase family 77 [Micractinium conductrix]	RMZ54733.1 hypothetical protein APUTEX25_003111 [Auxenochlorella protothecoides], RMZ52720.1 hypothetical protein APUTEX25_000839 [Auxenochlorella protothecoides], RMZ56304.1 hypothetical protein APUTEX25_000543 [Auxenochlorella protothecoides], RMZ53005.1 hypothetical protein APUTEX25_001124_ partial [Auxenochlorella protothecoides]
OG0000415	PSC67525.1 thymocyte nuclear 1 [Micractinium conductrix]	RMZ54000.1 hypothetical protein APUTEX25_002577_ partial [Auxenochlorella protothecoides]
OG0000416	PSC67336.1 Malate synthase [Micractinium conductrix]	RMZ52842.1 hypothetical protein APUTEX25_000961 [Auxenochlorella protothecoides]
OG0000416	PSC74854.1 malate synthase A [Micractinium conductrix]	RMZ53914.1 hypothetical protein APUTEX25_004939 [Auxenochlorella protothecoides]
OG0000417	PSC74414.1 Multiple myeloma tumor-associated 2 [Micractinium conductrix]	RMZ52852.1 hypothetical protein APUTEX25_000971 [Auxenochlorella protothecoides]
OG0000419	PSC76693.1 Phosphatidylinositol 4-phosphate 5-kinase 2 [Micractinium conductrix]	RMZ52957.1 hypothetical protein APUTEX25_001076 [Auxenochlorella protothecoides]
OG0000420	PSC70378.1 ammonium transporter isoform B [Micractinium conductrix], PSC70377.1 ammonium transporter isoform A [Micractinium conductrix], PSC68349.1 ammonium transporter [Micractinium conductrix]	RMZ53119.1 hypothetical protein APUTEX25_005108 [Auxenochlorella protothecoides], RMZ53957.1 hypothetical protein APUTEX25_002534 [Auxenochlorella protothecoides]
OG0000421	PSC71153.1 light-harvesting of photosystem I [Micractinium conductrix]	RMZ53124.1 hypothetical protein APUTEX25_005113 [Auxenochlorella protothecoides]
OG0000421	PSC76753.1 light-harvesting of photosystem I [Micractinium conductrix]	RMZ54110.1 hypothetical protein APUTEX25_002687 [Auxenochlorella protothecoides]
OG0000422	PSC72642.1 sar-type small GTPase [Micractinium conductrix]	RMZ53131.1 hypothetical protein APUTEX25_005120_ partial [Auxenochlorella protothecoides]
OG0000423	PSC74284.1 cyclin-dependent kinase G-2-like isoform X1 [Micractinium conductrix]	RMZ53199.1 hypothetical protein APUTEX25_005188 [Auxenochlorella protothecoides]
OG0000423	PSC68206.1 cyclin-dependent kinase G-2-like isoform X1 [Micractinium conductrix]	RMZ53747.1 hypothetical protein APUTEX25_003886 [Auxenochlorella protothecoides]
OG0000424	PSC73684.1 membrane transporter [Micractinium conductrix]	RMZ53314.1 hypothetical protein APUTEX25_004802 [Auxenochlorella protothecoides]
OG0000424	PSC73097.1 Membrane transporter [Micractinium conductrix]	RMZ57388.1 hypothetical protein APUTEX25_004222 [Auxenochlorella protothecoides]
OG0000426	PSC73132.1 heavy metal P-type ATPase [Micractinium conductrix], PSC70545.1 copper-transporting ATPase 1 isoform X2 [Micractinium conductrix]	RMZ53377.1 hypothetical protein APUTEX25_004865_ partial [Auxenochlorella protothecoides]
OG0000427	PSC76354.1 N-methyltryptophan oxidase [Micractinium conductrix]	RMZ56004.1 hypothetical protein APUTEX25_004428 [Auxenochlorella protothecoides]
OG0000427	PSC68010.1 Very-long-chain _3R_-3-hydroxyacyl-[acyl-carrier] dehydratase PASTICCINO 2 [Micractinium conductrix]	RMZ53399.1 hypothetical protein APUTEX25_004887_ partial [Auxenochlorella protothecoides]
OG0000428	PSC69263.1 P-loop nucleoside triphosphate hydrolase superfamily [Micractinium conductrix], PSC69206.1 alpha beta-hydrolase [Micractinium conductrix]	RMZ53525.1 hypothetical protein APUTEX25_003347_ partial [Auxenochlorella protothecoides]
OG0000429	PSC69589.1 Dihydrolipoyl dehydrogenase [Micractinium conductrix]	RMZ53694.1 hypothetical protein APUTEX25_003228 [Auxenochlorella protothecoides]
OG0000429	PSC73334.1 putative bifunctional methylthioribulose-1-phosphate dehydratase enolase-phosphatase E1 [Micractinium conductrix]	RMZ55152.1 hypothetical protein APUTEX25_005430_ partial [Auxenochlorella protothecoides]
OG0000430	PSC71817.1 phosphopantothenate-cysteine ligase 2-like [Micractinium conductrix]	RMZ53703.1 hypothetical protein APUTEX25_003237_ partial [Auxenochlorella protothecoides]
OG0000431	PSC68182.1 Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Micractinium conductrix]	RMZ53709.1 hypothetical protein APUTEX25_003243_ partial [Auxenochlorella protothecoides]
OG0000432	PSC76430.1 RETICULATA-RELATED chloroplastic [Micractinium conductrix]	RMZ54554.1 hypothetical protein APUTEX25_002129 [Auxenochlorella protothecoides], RMZ53743.1 hypothetical protein APUTEX25_003882_ partial [Auxenochlorella protothecoides]
OG0000433	PSC70013.1 chloroplast processing peptidase-like isoform X1 [Micractinium conductrix]	RMZ57326.1 hypothetical protein APUTEX25_004160 [Auxenochlorella protothecoides]
OG0000434	PSC68018.1 2-deoxy-D-gluconate 3-dehydrogenase [Micractinium conductrix], PSC68695.1 2-deoxy-D-gluconate 3-dehydrogenase [Micractinium conductrix], PSC68692.1 glutamine amidotransferase [Micractinium conductrix]	RMZ53846.1 hypothetical protein APUTEX25_005592 [Auxenochlorella protothecoides]
OG0000435	PSC72398.1 Calcium sensing chloroplastic [Micractinium conductrix]	RMZ57724.1 hypothetical protein APUTEX25_000567_ partial [Auxenochlorella protothecoides]
OG0000436	PSC68930.1 regulator of ribonuclease activity A [Micractinium conductrix], PSC68962.1 ribonuclease activity regulator [Micractinium conductrix]	RMZ53992.1 hypothetical protein APUTEX25_002569 [Auxenochlorella protothecoides]
OG0000437	PSC74617.1 MLO 12 [Micractinium conductrix], PSC74750.1 haloacid dehalogenase-like hydrolase domain-containing [Micractinium conductrix]	RMZ54041.1 hypothetical protein APUTEX25_002618 [Auxenochlorella protothecoides]
OG0000438	PSC69923.1 hypothetical protein C2E20_6683 [Micractinium conductrix]	RMZ55136.1 hypothetical protein APUTEX25_005414 [Auxenochlorella protothecoides]
OG0000438	PSC67677.1 hypothetical protein C2E20_8699 [Micractinium conductrix]	RMZ54128.1 hypothetical protein APUTEX25_005284 [Auxenochlorella protothecoides]
OG0000439	PSC67406.1 wd repeat-containing 78 [Micractinium conductrix]	RMZ54152.1 hypothetical protein APUTEX25_005308 [Auxenochlorella protothecoides]
OG0000440	PSC70697.1 serine threonine-kinase 4-like isoform X1 [Micractinium conductrix]	RMZ54228.1 hypothetical protein APUTEX25_000579 [Auxenochlorella protothecoides]
OG0000441	PSC71496.1 glutamate dehydrogenase isoform B [Micractinium conductrix], PSC71495.1 glutamate dehydrogenase isoform A [Micractinium conductrix], PSC69576.1 glutamate isoform B [Micractinium conductrix], PSC69575.1 glutamate isoform A [Micractinium conductrix]	RMZ54366.1 hypothetical protein APUTEX25_001942_ partial [Auxenochlorella protothecoides]
OG0000442	PSC74906.1 granule-bound starch synthase chloroplastic amyloplastic isoform X1 [Micractinium conductrix]	RMZ54398.1 hypothetical protein APUTEX25_001974 [Auxenochlorella protothecoides]
OG0000443	PSC75180.1 chorismate mutase [Micractinium conductrix]	RMZ54734.1 hypothetical protein APUTEX25_003112 [Auxenochlorella protothecoides]
OG0000444	PSC76585.1 plasma membrane intrinsic [Micractinium conductrix]	RMZ54780.1 hypothetical protein APUTEX25_000297 [Auxenochlorella protothecoides]
OG0000445	PSC76242.1 multidrug resistance-associated 1 isoform X1 [Micractinium conductrix]	RMZ54928.1 hypothetical protein APUTEX25_000445_ partial [Auxenochlorella protothecoides]
OG0000446	PSC74157.1 LON peptidase N-terminal domain and RING finger 1 isoform B [Micractinium conductrix], PSC74156.1 LON peptidase N-terminal domain and RING finger 1 isoform A [Micractinium conductrix]	RMZ55066.1 hypothetical protein APUTEX25_005692 [Auxenochlorella protothecoides]
OG0000447	PSC76490.1 putative assembly chaperone of rpl4 [Micractinium conductrix]	RMZ55248.1 hypothetical protein APUTEX25_005526_ partial [Auxenochlorella protothecoides]
OG0000447	PSC72196.1 plant MNA5-17 [Micractinium conductrix]	RMZ55349.1 hypothetical protein APUTEX25_003487 [Auxenochlorella protothecoides]
OG0000448	PSC76577.1 SHOOT GRAVITROPISM 2 family [Micractinium conductrix], PSC68299.1 family transcriptional regulator_ partial [Micractinium conductrix], PSC69077.1 4-hydroxybenzoyl-thioesterase [Micractinium conductrix], PSC68840.1 4-hydroxybenzoyl-thioesterase [Micractinium conductrix], PSC73145.1 family transcriptional regulator [Micractinium conductrix], PSC70675.1 hypothetical protein C2E20_5838 isoform A [Micractinium conductrix], PSC70676.1 hypothetical protein C2E20_5838 isoform B [Micractinium conductrix], PSC67894.1 hypothetical protein C2E20_8462 [Micractinium conductrix], PSC67112.1 hypothetical protein C2E20_9199 [Micractinium conductrix], PSC67311.1 hypothetical protein C2E20_9004 [Micractinium conductrix], PSC75139.1 hypothetical protein C2E20_1862 [Micractinium conductrix], PSC72108.1 hypothetical protein C2E20_4357 [Micractinium conductrix]	RMZ55249.1 hypothetical protein APUTEX25_005527_ partial [Auxenochlorella protothecoides]
OG0000449	PSC68672.1 DNA excision repair ERCC-1 [Micractinium conductrix], PSC76910.1 anaphase-promoting complex subunit 2 [Micractinium conductrix]	RMZ55262.1 hypothetical protein APUTEX25_005540_ partial [Auxenochlorella protothecoides]
OG0000450	PSC72121.1 BRO1 domain-containing BROX [Micractinium conductrix]	RMZ55301.1 hypothetical protein APUTEX25_003439 [Auxenochlorella protothecoides]
OG0000451	PSC71136.1 tetratricopeptide repeat circadian expression [Micractinium conductrix]	RMZ55320.1 hypothetical protein APUTEX25_003458 [Auxenochlorella protothecoides]
OG0000452	PSC71605.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Micractinium conductrix]	RMZ57028.1 hypothetical protein APUTEX25_002260_ partial [Auxenochlorella protothecoides]
OG0000453	PSC76453.1 carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like [Micractinium conductrix]	RMZ55360.1 hypothetical protein APUTEX25_002218 [Auxenochlorella protothecoides], RMZ55364.1 hypothetical protein APUTEX25_002222 [Auxenochlorella protothecoides]
OG0000454	PSC72565.1 ribose-5-phosphate isomerase isoform B [Micractinium conductrix]	RMZ55404.1 hypothetical protein APUTEX25_003528 [Auxenochlorella protothecoides]
OG0000455	PSC67827.1 magnesium protoporphyrin IX chloroplastic-like [Micractinium conductrix]	RMZ55403.1 hypothetical protein APUTEX25_003527_ partial [Auxenochlorella protothecoides]
OG0000456	PSC76470.1 presenilin isoform B [Micractinium conductrix], PSC76471.1 presenilin isoform A [Micractinium conductrix]	RMZ55507.1 hypothetical protein APUTEX25_000090 [Auxenochlorella protothecoides]
OG0000457	PSC72903.1 Pyruvate kinase isozyme chloroplastic [Micractinium conductrix]	RMZ55515.1 hypothetical protein APUTEX25_000098 [Auxenochlorella protothecoides]
OG0000458	PSC76518.1 Nucleoside diphosphate kinase 1 [Micractinium conductrix]	RMZ55617.1 hypothetical protein APUTEX25_000200_ partial [Auxenochlorella protothecoides]
OG0000459	PSC70151.1 MFS transporter isoform B [Micractinium conductrix], PSC70150.1 MFS transporter isoform A [Micractinium conductrix], PSC70904.1 MFS transporter [Micractinium conductrix], PSC70910.1 MFS transporter [Micractinium conductrix]	RMZ55697.1 hypothetical protein APUTEX25_005738 [Auxenochlorella protothecoides]
OG0000460	PSC71363.1 Proliferating cell nuclear antigen [Micractinium conductrix]	RMZ55725.1 hypothetical protein APUTEX25_005766 [Auxenochlorella protothecoides]
OG0000460	PSC68612.1 proliferating cell nuclear antigen [Micractinium conductrix]	RMZ57578.1 hypothetical protein APUTEX25_001778 [Auxenochlorella protothecoides]
OG0000461	PSC70200.1 pyruvate kinase [Micractinium conductrix]	RMZ55756.1 hypothetical protein APUTEX25_005797 [Auxenochlorella protothecoides]
OG0000462	PSC74289.1 hypothetical protein C2E20_2736 [Micractinium conductrix], PSC76617.1 leucine-rich repeat and IQ domain-containing 4 [Micractinium conductrix], PSC68686.1 hydrogenase maturation [Micractinium conductrix], PSC70677.1 hydrogenase [Micractinium conductrix], PSC73653.1 iron ABC transporter permease [Micractinium conductrix], PSC70620.1 N-acetylneuraminate epimerase [Micractinium conductrix]	RMZ56021.1 hypothetical protein APUTEX25_004445 [Auxenochlorella protothecoides]
OG0000463	PSC73894.1 Serine threonine-kinase 2 19 [Micractinium conductrix]	RMZ57349.1 hypothetical protein APUTEX25_004183 [Auxenochlorella protothecoides], RMZ56075.1 hypothetical protein APUTEX25_004499_ partial [Auxenochlorella protothecoides]
OG0000464	PSC70051.1 DNA-_apurinic or apyrimidinic site_ lyase 2 [Micractinium conductrix]	RMZ56205.1 hypothetical protein APUTEX25_002395_ partial [Auxenochlorella protothecoides]
OG0000465	PSC73404.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Micractinium conductrix], PSC67080.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Micractinium conductrix], PSC69734.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Micractinium conductrix], PSC67103.1 amino-acid N-acetyltransferase_ partial [Micractinium conductrix]	RMZ56211.1 hypothetical protein APUTEX25_002401 [Auxenochlorella protothecoides]
OG0000466	PSC77036.1 S-RNase [Micractinium conductrix], PSC74802.1 ribonuclease T2 [Micractinium conductrix], PSC67843.1 ribonuclease T2 [Micractinium conductrix]	RMZ56251.1 hypothetical protein APUTEX25_002441 [Auxenochlorella protothecoides]
OG0000467	PSC75146.1 thioredoxin m [Micractinium conductrix]	RMZ56340.1 hypothetical protein APUTEX25_004697 [Auxenochlorella protothecoides]
OG0000468	PSC68383.1 Rab family GTPase [Micractinium conductrix]	RMZ57221.1 hypothetical protein APUTEX25_004055 [Auxenochlorella protothecoides]
OG0000468	PSC76058.1 Rab8 -family small GTPase [Micractinium conductrix]	RMZ56355.1 hypothetical protein APUTEX25_004712_ partial [Auxenochlorella protothecoides]
OG0000469	PSC68231.1 PLP-dependent threonine dehydratase [Micractinium conductrix]	RMZ56818.1 hypothetical protein APUTEX25_002907 [Auxenochlorella protothecoides]
OG0000469	PSC71990.1 threonine deaminase [Micractinium conductrix]	RMZ56542.1 hypothetical protein APUTEX25_001389 [Auxenochlorella protothecoides]
OG0000470	PSC67745.1 multisubstrate pseudouridine synthase 7 [Micractinium conductrix]	RMZ57656.1 hypothetical protein APUTEX25_001856 [Auxenochlorella protothecoides]
OG0000470	PSC74395.1 leucine-tRNA cytoplasmic [Micractinium conductrix]	RMZ56552.1 hypothetical protein APUTEX25_001399 [Auxenochlorella protothecoides]
OG0000471	PSC73183.1 histone chaperone asf1 [Micractinium conductrix]	RMZ56752.1 hypothetical protein APUTEX25_002841_ partial [Auxenochlorella protothecoides]
OG0000472	PSC73655.1 Mitochondrial transcription termination factor [Micractinium conductrix]	RMZ56852.1 hypothetical protein APUTEX25_002941_ partial [Auxenochlorella protothecoides]
OG0000473	PSC75478.1 WD repeat-containing 26-like [Micractinium conductrix], PSC72285.1 WD repeat-containing 26 [Micractinium conductrix]	RMZ56931.1 hypothetical protein APUTEX25_004993 [Auxenochlorella protothecoides]
OG0000474	PSC73848.1 Chaperone dnaJ 10 isoform A [Micractinium conductrix], PSC73847.1 Chaperone dnaJ 10 isoform B [Micractinium conductrix]	RMZ57017.1 hypothetical protein APUTEX25_002249 [Auxenochlorella protothecoides]
OG0000475	PSC68223.1 Peptidyl-prolyl cis-trans isomerase D [Micractinium conductrix]	RMZ57105.1 hypothetical protein APUTEX25_002337 [Auxenochlorella protothecoides]
OG0000476	PSC73883.1 ABC transporter A family member 2 isoform B [Micractinium conductrix], PSC73884.1 ABC transporter A family member 2 isoform A [Micractinium conductrix], PSC73882.1 ABC transporter A family member 2 isoform C [Micractinium conductrix]	RMZ57342.1 hypothetical protein APUTEX25_004176 [Auxenochlorella protothecoides], RMZ57334.1 hypothetical protein APUTEX25_004168_ partial [Auxenochlorella protothecoides], RMZ57241.1 hypothetical protein APUTEX25_004075 [Auxenochlorella protothecoides]
OG0000477	PSC75317.1 saccharopine dehydrogenase [Micractinium conductrix]	RMZ57496.1 hypothetical protein APUTEX25_003739 [Auxenochlorella protothecoides]
OG0000477	PSC70039.1 GTP-binding hflX [Micractinium conductrix]	RMZ57242.1 hypothetical protein APUTEX25_004076 [Auxenochlorella protothecoides]
OG0000478	PSC67291.1 5 -adenylylsulfate reductase [Micractinium conductrix]	RMZ57244.1 hypothetical protein APUTEX25_004078_ partial [Auxenochlorella protothecoides]
OG0000479	PSC68596.1 sister chromatid cohesion DCC1 [Micractinium conductrix]	RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]
OG0000480	PSC70498.1 Peptide chain release factor 1 [Micractinium conductrix]	RMZ57389.1 hypothetical protein APUTEX25_004223_ partial [Auxenochlorella protothecoides]
OG0000482	PSC72516.1 Acyl-coenzyme A oxidase peroxisomal [Micractinium conductrix]	RMZ57407.1 hypothetical protein APUTEX25_004241 [Auxenochlorella protothecoides]
OG0000498	PSC70230.1 UPF0016-domain-containing [Micractinium conductrix]	RMZ52697.1 hypothetical protein APUTEX25_000816_ partial [Auxenochlorella protothecoides]
OG0000499	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides], RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]
OG0000500	PSC70010.1 cystathionine beta-lyase family involved in aluminum resistance [Micractinium conductrix], PSC68761.1 Calcium-binding mitochondrial carrier S [Micractinium conductrix]	RMZ52040.1 hypothetical protein APUTEX25_001234 [Auxenochlorella protothecoides]
OG0000502	PSC67692.1 Beta-galactosidase 17 [Micractinium conductrix]	RMZ52104.1 hypothetical protein APUTEX25_001298_ partial [Auxenochlorella protothecoides]
OG0000503	PSC68119.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]	RMZ52185.1 hypothetical protein APUTEX25_001575 [Auxenochlorella protothecoides]
OG0000504	PSC72628.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]	RMZ52340.1 hypothetical protein APUTEX25_005093 [Auxenochlorella protothecoides]
OG0000504	PSC71861.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]	RMZ55872.1 hypothetical protein APUTEX25_003838_ partial [Auxenochlorella protothecoides]
OG0000505	PSC75328.1 putative phytol kinase chloroplastic [Micractinium conductrix]	RMZ52537.1 hypothetical protein APUTEX25_003680 [Auxenochlorella protothecoides]
OG0000506	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]	RMZ52573.1 hypothetical protein APUTEX25_003716_ partial [Auxenochlorella protothecoides], RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]
OG0000507	PSC76915.1 LAG1 longevity assurance-like protein 3 isoform B [Micractinium conductrix], PSC76914.1 LAG1 longevity assurance-like protein 3 isoform A [Micractinium conductrix]	RMZ52568.1 hypothetical protein APUTEX25_003711 [Auxenochlorella protothecoides]
OG0000508	PSC76292.1 translocator -like [Micractinium conductrix]	RMZ52605.1 hypothetical protein APUTEX25_000724 [Auxenochlorella protothecoides]
OG0000509	PSC71382.1 ATPase [Micractinium conductrix], PSC74740.1 DUF563 domain [Micractinium conductrix]	RMZ54230.1 hypothetical protein APUTEX25_000581_ partial [Auxenochlorella protothecoides], RMZ53222.1 hypothetical protein APUTEX25_005211 [Auxenochlorella protothecoides], RMZ52701.1 hypothetical protein APUTEX25_000820 [Auxenochlorella protothecoides]
OG0000510	PSC69867.1 3-phosphoshikimate 1-carboxyvinyltransferase [Micractinium conductrix]	RMZ52784.1 hypothetical protein APUTEX25_000903_ partial [Auxenochlorella protothecoides], RMZ56194.1 hypothetical protein APUTEX25_002384 [Auxenochlorella protothecoides]
OG0000511	PSC73939.1 thiol-disulfide oxidoreductase [Micractinium conductrix]	RMZ52879.1 hypothetical protein APUTEX25_000998_ partial [Auxenochlorella protothecoides]
OG0000512	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]
OG0000513	PSC69359.1 Serine threonine family 2C [Micractinium conductrix], PSC69346.1 Plastid lipid-associated fibrillin conserved domain [Micractinium conductrix]	RMZ52917.1 hypothetical protein APUTEX25_001036 [Auxenochlorella protothecoides]
OG0000514	PSC75069.1 magnesium transporter MRS2-7 [Micractinium conductrix], PSC75097.1 magnesium transporter MRS2-7 isoform B [Micractinium conductrix], PSC75098.1 magnesium transporter MRS2-7 isoform A [Micractinium conductrix]	RMZ54487.1 hypothetical protein APUTEX25_002063_ partial [Auxenochlorella protothecoides]
OG0000515	PSC74983.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]	RMZ53047.1 hypothetical protein APUTEX25_001166 [Auxenochlorella protothecoides]
OG0000515	PSC69520.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]	RMZ53025.1 hypothetical protein APUTEX25_001144_ partial [Auxenochlorella protothecoides]
OG0000516	PSC70791.1 Methionine-tRNA [Micractinium conductrix]	RMZ56390.1 hypothetical protein APUTEX25_004773_ partial [Auxenochlorella protothecoides]
OG0000517	PSC71174.1 hypothetical protein C2E20_5468 [Micractinium conductrix]	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]
OG0000518	PSC69847.1 membrane transporter [Micractinium conductrix]	RMZ57228.1 hypothetical protein APUTEX25_004062_ partial [Auxenochlorella protothecoides]
OG0000518	PSC72949.1 membrane transporter [Micractinium conductrix]	RMZ53202.1 hypothetical protein APUTEX25_005191 [Auxenochlorella protothecoides]
OG0000518	PSC69956.1 serine-repeat antigen 4 _SERA_ [Micractinium conductrix]	RMZ57424.1 hypothetical protein APUTEX25_004258_ partial [Auxenochlorella protothecoides]
OG0000519	PSC71029.1 putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase SEC [Micractinium conductrix]	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides]
OG0000519	PSC70746.1 Glycylpeptide N-tetradecanoyltransferase 1 [Micractinium conductrix]	RMZ54388.1 hypothetical protein APUTEX25_001964_ partial [Auxenochlorella protothecoides]
OG0000520	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]
OG0000521	PSC74106.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform A [Micractinium conductrix], PSC74105.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform B [Micractinium conductrix]	RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]
OG0000522	PSC73440.1 molecular chaperone [Micractinium conductrix]	RMZ53397.1 hypothetical protein APUTEX25_004885 [Auxenochlorella protothecoides], RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]
OG0000523	PSC67119.1 Transmembrane 50A [Micractinium conductrix], PSC67007.1 Transmembrane 50A [Micractinium conductrix], PSC67298.1 Transmembrane 50A [Micractinium conductrix], PSC67051.1 transmembrane 50-like protein [Micractinium conductrix]	RMZ55940.1 hypothetical protein APUTEX25_004364_ partial [Auxenochlorella protothecoides]
OG0000523	PSC73905.1 transmembrane 50-like protein [Micractinium conductrix]	RMZ53470.1 hypothetical protein APUTEX25_003292 [Auxenochlorella protothecoides]
OG0000524	PSC73361.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67237.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67076.1 glycosyltransferase family 8 [Micractinium conductrix]	RMZ53567.1 hypothetical protein APUTEX25_003389 [Auxenochlorella protothecoides]
OG0000525	PSC73806.1 monooxygenase [Micractinium conductrix]	RMZ55257.1 hypothetical protein APUTEX25_005535_ partial [Auxenochlorella protothecoides]
OG0000526	PSC74272.1 BSD domain-containing 1 [Micractinium conductrix]	RMZ53665.1 hypothetical protein APUTEX25_003199 [Auxenochlorella protothecoides]
OG0000526	PSC74677.1 ACT domain-containing ACR2 [Micractinium conductrix]	RMZ54343.1 hypothetical protein APUTEX25_001501_ partial [Auxenochlorella protothecoides]
OG0000527	PSC72323.1 cell division cycle 27-like protein B isoform X2 [Micractinium conductrix]	RMZ53712.1 hypothetical protein APUTEX25_003246_ partial [Auxenochlorella protothecoides]
OG0000528	PSC75046.1 random slug 5-like [Micractinium conductrix]	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]
OG0000529	PSC71738.1 Glyoxylate hydroxypyruvate reductase A [Micractinium conductrix], PSC74920.1 Chromatin structure-remodeling complex BSH [Micractinium conductrix]	RMZ53816.1 hypothetical protein APUTEX25_003955_ partial [Auxenochlorella protothecoides], RMZ54662.1 hypothetical protein APUTEX25_003040 [Auxenochlorella protothecoides]
OG0000530	PSC76041.1 SNF1-related kinase catalytic subunit alpha KIN10-like [Micractinium conductrix]	RMZ54612.1 hypothetical protein APUTEX25_002198 [Auxenochlorella protothecoides]
OG0000530	PSC70383.1 SNF1-related kinase catalytic subunit alpha KIN10 [Micractinium conductrix]	RMZ53873.1 hypothetical protein APUTEX25_005619 [Auxenochlorella protothecoides]
OG0000531	PSC73373.1 inactive purple acid phosphatase 2 [Micractinium conductrix]	RMZ53913.1 hypothetical protein APUTEX25_004938 [Auxenochlorella protothecoides]
OG0000531	PSC73232.1 KH domain-containing protein [Micractinium conductrix]	RMZ53925.1 hypothetical protein APUTEX25_004950_ partial [Auxenochlorella protothecoides]
OG0000532	PSC67783.1 Expansin 1 [Micractinium conductrix], PSC67798.1 Expansin 1 [Micractinium conductrix]	RMZ53958.1 hypothetical protein APUTEX25_002535 [Auxenochlorella protothecoides]
OG0000533	PSC67550.1 hypothetical protein C2E20_8787 isoform B [Micractinium conductrix], PSC67551.1 hypothetical protein C2E20_8787 isoform A [Micractinium conductrix]	RMZ53998.1 hypothetical protein APUTEX25_002575 [Auxenochlorella protothecoides]
OG0000534	PSC73161.1 hypothetical protein C2E20_3691 [Micractinium conductrix]	RMZ54059.1 hypothetical protein APUTEX25_002636 [Auxenochlorella protothecoides]
OG0000535	PSC71223.1 Kinesin KIF6 [Micractinium conductrix], PSC76319.1 putative 6-phosphogluconolactonase chloroplastic [Micractinium conductrix]	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]
OG0000536	PSC71710.1 thiol disulfide reductase thioredoxin [Micractinium conductrix], PSC71716.1 cytochrome c oxidase subunit [Micractinium conductrix]	RMZ54157.1 hypothetical protein APUTEX25_005313 [Auxenochlorella protothecoides]
OG0000537	PSC70125.1 monovalent Cation_Proton antiporter-1 family [Micractinium conductrix], PSC75329.1 low-CO2-inducible chloroplast envelope [Micractinium conductrix]	RMZ54182.1 hypothetical protein APUTEX25_005338 [Auxenochlorella protothecoides]
OG0000538	PSC70691.1 DNA mismatch repair MSH6 [Micractinium conductrix]	RMZ54236.1 hypothetical protein APUTEX25_000587_ partial [Auxenochlorella protothecoides]
OG0000539	PSC67761.1 MFS general substrate transporter [Micractinium conductrix]	RMZ54296.1 hypothetical protein APUTEX25_001454_ partial [Auxenochlorella protothecoides]
OG0000540	PSC69890.1 DNA polymerase lambda [Micractinium conductrix]	RMZ54371.1 hypothetical protein APUTEX25_001947 [Auxenochlorella protothecoides]
OG0000540	PSC69899.1 DNA-directed DNA RNA polymerase mu isoform X1 [Micractinium conductrix]	RMZ54362.1 hypothetical protein APUTEX25_001938_ partial [Auxenochlorella protothecoides]
