Orthogroup	Micractinium_SAG24180	Chlorella_VariabilisNC64A
OG0000945	PSC74611.1 Telomerase-binding EST1A [Micractinium conductrix]	XP_005843665.1 hypothetical protein CHLNCDRAFT_140042 [Chlorella variabilis]
OG0000946	PSC74613.1 arylesterase isoform A [Micractinium conductrix], PSC74612.1 arylesterase isoform C [Micractinium conductrix]	XP_005843680.1 hypothetical protein CHLNCDRAFT_140071 [Chlorella variabilis]
OG0000946	PSC74614.1 arylesterase isoform B [Micractinium conductrix]	XP_005843679.1 hypothetical protein CHLNCDRAFT_140070 [Chlorella variabilis]
OG0000947	PSC76913.1 kinase family [Micractinium conductrix]	XP_005851315.1 hypothetical protein CHLNCDRAFT_12394_ partial [Chlorella variabilis]
OG0000948	PSC71199.1 omega-3 fatty acid desaturase [Micractinium conductrix]	XP_005842826.1 hypothetical protein CHLNCDRAFT_33387_ partial [Chlorella variabilis]
OG0000949	PSC74940.1 Metallo-dependent [Micractinium conductrix]	XP_005848002.1 hypothetical protein CHLNCDRAFT_145539 [Chlorella variabilis]
OG0000949	PSC76652.1 Metallo-dependent [Micractinium conductrix]	XP_005849082.1 hypothetical protein CHLNCDRAFT_21755 [Chlorella variabilis]
OG0000950	PSC69053.1 beta-galactosidase [Micractinium conductrix]	XP_005851036.1 hypothetical protein CHLNCDRAFT_140909 [Chlorella variabilis]
OG0000951	PSC67896.1 hypothetical protein C2E20_8437 [Micractinium conductrix]	XP_005852160.1 hypothetical protein CHLNCDRAFT_133319 [Chlorella variabilis]
OG0000951	PSC70225.1 heat shock factor HSF8 [Micractinium conductrix]	XP_005844236.1 hypothetical protein CHLNCDRAFT_15492_ partial [Chlorella variabilis]
OG0000952	PSC75378.1 R-SNARE VAMP72-family [Micractinium conductrix]	XP_005843431.1 hypothetical protein CHLNCDRAFT_28123 [Chlorella variabilis]
OG0000954	PSC71557.1 nadh_ubiquinone oxidoreductase complex i intermediate-associated 30 [Micractinium conductrix]	XP_005850645.1 hypothetical protein CHLNCDRAFT_140648 [Chlorella variabilis]
OG0000955	PSC67153.1 coproporphyrinogen III oxidase [Micractinium conductrix]	XP_005843203.1 hypothetical protein CHLNCDRAFT_33234_ partial [Chlorella variabilis]
OG0000955	PSC73612.1 coproporphyrinogen III oxidase chloroplast precursor [Micractinium conductrix]	XP_005849776.1 hypothetical protein CHLNCDRAFT_142838 [Chlorella variabilis]
OG0000956	PSC73317.1 ubiquitin-like modifier-activating enzyme 5 [Micractinium conductrix]	XP_005844176.1 hypothetical protein CHLNCDRAFT_9288_ partial [Chlorella variabilis], XP_005844177.1 hypothetical protein CHLNCDRAFT_139323 [Chlorella variabilis]
OG0000957	PSC73906.1 Alkaline phosphatase [Micractinium conductrix], PSC71808.1 peptidase S8 [Micractinium conductrix], PSC76857.1 subtilisin-like serine protease [Micractinium conductrix]	XP_005852319.1 hypothetical protein CHLNCDRAFT_142503 [Chlorella variabilis]
OG0000958	PSC72292.1 Yippee zincbinding [Micractinium conductrix]	XP_005847110.1 hypothetical protein CHLNCDRAFT_134827 [Chlorella variabilis]
OG0000959	PSC72095.1 outer dynein arm-docking complex subunit 3 isoform A [Micractinium conductrix]	XP_005847125.1 hypothetical protein CHLNCDRAFT_134857 [Chlorella variabilis]
OG0000959	PSC72096.1 outer dynein arm-docking complex subunit 3 isoform B [Micractinium conductrix]	XP_005847124.1 hypothetical protein CHLNCDRAFT_134855 [Chlorella variabilis]
OG0000960	PSC72211.1 serine threonine-kinase CTR1-like [Micractinium conductrix]	XP_005846934.1 hypothetical protein CHLNCDRAFT_23988_ partial [Chlorella variabilis]
OG0000961	PSC72473.1 hypothetical protein C2E20_4277 [Micractinium conductrix]	XP_005850256.1 hypothetical protein CHLNCDRAFT_141953 [Chlorella variabilis]
OG0000962	PSC70538.1 GDP-fucose synthetase [Micractinium conductrix], PSC70540.1 GDP-L-fucose synthase 2 [Micractinium conductrix], PSC72484.1 ABC transporter F family member 4 isoform A [Micractinium conductrix], PSC72485.1 ABC transporter F family member 4 isoform B [Micractinium conductrix]	XP_005850084.1 hypothetical protein CHLNCDRAFT_57068 [Chlorella variabilis]
OG0000963	PSC74227.1 hypothetical protein C2E20_2581 [Micractinium conductrix]	XP_005851915.1 hypothetical protein CHLNCDRAFT_133552 [Chlorella variabilis], XP_005845656.1 expressed protein [Chlorella variabilis]
OG0000964	PSC74664.1 PHD and RING finger domain [Micractinium conductrix]	XP_005847744.1 hypothetical protein CHLNCDRAFT_133835 [Chlorella variabilis]
OG0000965	PSC68406.1 RNA polymerase sigma factor [Micractinium conductrix]	XP_005843165.1 hypothetical protein CHLNCDRAFT_33233 [Chlorella variabilis]
OG0000965	PSC70250.1 RNA polymerase sigma factor [Micractinium conductrix]	XP_005847833.1 hypothetical protein CHLNCDRAFT_35462 [Chlorella variabilis]
OG0000966	PSC68745.1 methyltransferase TARBP1 [Micractinium conductrix], PSC68746.1 hypothetical protein C2E20_7628 [Micractinium conductrix]	XP_005844965.1 hypothetical protein CHLNCDRAFT_138347 [Chlorella variabilis], XP_005844966.1 hypothetical protein CHLNCDRAFT_138348 [Chlorella variabilis]
OG0000967	PSC67968.1 flavin-containing monooxygenase FMO GS-OX-like 4 isoform A [Micractinium conductrix], PSC67969.1 flavin-containing monooxygenase FMO GS-OX-like 4 isoform B [Micractinium conductrix], PSC67970.1 flavin-containing monooxygenase FMO GS-OX-like 4 isoform C [Micractinium conductrix]	XP_005849556.1 hypothetical protein CHLNCDRAFT_30388 [Chlorella variabilis]
OG0000968	PSC74486.1 ATP-dependent DNA helicase Q-like 1 [Micractinium conductrix]	XP_005844942.1 hypothetical protein CHLNCDRAFT_26386_ partial [Chlorella variabilis]
OG0000969	PSC72630.1 phagocytic receptor 1b [Micractinium conductrix]	XP_005850808.1 hypothetical protein CHLNCDRAFT_29709 [Chlorella variabilis]
OG0000970	PSC70269.1 kinetochore spc25 [Micractinium conductrix]	XP_005847667.1 hypothetical protein CHLNCDRAFT_52384 [Chlorella variabilis], XP_005847668.1 hypothetical protein CHLNCDRAFT_134048 [Chlorella variabilis]
OG0000971	PSC74845.1 MAP3K epsilon kinase 1-like [Micractinium conductrix]	XP_005847640.1 hypothetical protein CHLNCDRAFT_133979 [Chlorella variabilis]
OG0000972	PSC71939.1 NADH dehydrogenase [ubiquinone] flavo mitochondrial [Micractinium conductrix]	XP_005846008.1 NADH_ubiquinone oxidoreductase 51 kD subunit_ partial [Chlorella variabilis]
OG0000973	PSC67539.1 manganese resistance 1 [Micractinium conductrix]	XP_005843219.1 hypothetical protein CHLNCDRAFT_37529 [Chlorella variabilis]
OG0000973	PSC71917.1 calcium proton exchanger [Micractinium conductrix]	XP_005846163.1 hypothetical protein CHLNCDRAFT_36262 [Chlorella variabilis]
OG0000974	PSC71864.1 DEAD-box ATP-dependent RNA helicase 37-like [Micractinium conductrix]	XP_005846110.1 hypothetical protein CHLNCDRAFT_31911 [Chlorella variabilis]
OG0000975	PSC67138.1 long-chain acyl-synthetase 7_ partial [Micractinium conductrix], PSC69107.1 Long chain acyl-synthetase peroxisomal [Micractinium conductrix]	XP_005844479.1 hypothetical protein CHLNCDRAFT_32504 [Chlorella variabilis]
OG0000976	PSC67312.1 TPR domain [Micractinium conductrix]	XP_005846341.1 hypothetical protein CHLNCDRAFT_135761 [Chlorella variabilis], XP_005845840.1 hypothetical protein CHLNCDRAFT_53517 [Chlorella variabilis]
OG0000976	PSC69236.1 sulfotransferase [Micractinium conductrix]	XP_005843301.1 hypothetical protein CHLNCDRAFT_141390 [Chlorella variabilis]
OG0000977	PSC73593.1 disulfide-isomerase 5-4 [Micractinium conductrix]	XP_005851260.1 hypothetical protein CHLNCDRAFT_138016 [Chlorella variabilis]
OG0000978	PSC73683.1 zinc finger CCCH domain-containing 40 [Micractinium conductrix]	XP_005851537.1 hypothetical protein CHLNCDRAFT_137985 [Chlorella variabilis], XP_005851538.1 hypothetical protein CHLNCDRAFT_33881 [Chlorella variabilis]
OG0000979	PSC68901.1 Amino acid kinase family isoform 1 [Micractinium conductrix]	XP_005851476.1 hypothetical protein CHLNCDRAFT_137846 [Chlorella variabilis], XP_005851477.1 hypothetical protein CHLNCDRAFT_12639_ partial [Chlorella variabilis]
OG0000980	PSC68279.1 RNA polymerase-associated LEO1-like [Micractinium conductrix]	XP_005851523.1 expressed protein [Chlorella variabilis]
OG0000981	PSC73940.1 putative magnesium transporter NIPA8 [Micractinium conductrix]	XP_005851242.1 hypothetical protein CHLNCDRAFT_137965 [Chlorella variabilis], XP_005851241.1 hypothetical protein CHLNCDRAFT_137963 [Chlorella variabilis]
OG0000982	PSC69918.1 CWF19 2 [Micractinium conductrix]	XP_005847356.1 hypothetical protein CHLNCDRAFT_134588 [Chlorella variabilis]
OG0000983	PSC67726.1 hypothetical protein C2E20_8624 [Micractinium conductrix]	XP_005844165.1 expressed protein [Chlorella variabilis]
OG0000984	PSC75718.1 myosin heavy class XI [Micractinium conductrix]	XP_005850466.1 hypothetical protein CHLNCDRAFT_34523 [Chlorella variabilis]
OG0000985	PSC72636.1 serine threonine-phosphatase 7 [Micractinium conductrix]	XP_005850656.1 hypothetical protein CHLNCDRAFT_140677 [Chlorella variabilis]
OG0000985	PSC75899.1 Serine threonine-phosphatase 7 [Micractinium conductrix]	XP_005850475.1 hypothetical protein CHLNCDRAFT_20762 [Chlorella variabilis]
OG0000986	PSC74575.1 5 -C-terminal domain-containing [Micractinium conductrix]	XP_005847741.1 hypothetical protein CHLNCDRAFT_57826 [Chlorella variabilis]
OG0000986	PSC76623.1 Trifunctional nucleotide phosphoesterase [Micractinium conductrix]	XP_005845455.1 hypothetical protein CHLNCDRAFT_58625 [Chlorella variabilis]
OG0000987	PSC71166.1 Hsp100 family [Micractinium conductrix]	XP_005845499.1 hypothetical protein CHLNCDRAFT_137194 [Chlorella variabilis]
OG0000988	PSC76861.1 60S ribosomal L15 [Micractinium conductrix]	XP_005845358.1 hypothetical protein CHLNCDRAFT_137175 [Chlorella variabilis], XP_005845356.1 hypothetical protein CHLNCDRAFT_32281 [Chlorella variabilis], XP_005845357.1 hypothetical protein CHLNCDRAFT_137174 [Chlorella variabilis]
OG0000989	PSC72641.1 ubiquinone biosynthesis [Micractinium conductrix]	XP_005850109.1 hypothetical protein CHLNCDRAFT_50671 [Chlorella variabilis]
OG0000990	PSC74080.1 40S ribosomal S21 [Micractinium conductrix]	XP_005851919.1 hypothetical protein CHLNCDRAFT_29353 [Chlorella variabilis]
OG0000990	PSC73997.1 heme oxygenase [Micractinium conductrix]	XP_005851913.1 hypothetical protein CHLNCDRAFT_49660 [Chlorella variabilis]
OG0000991	PSC74181.1 stAR-related lipid transfer mitochondrial-like [Micractinium conductrix]	XP_005851908.1 hypothetical protein CHLNCDRAFT_56595 [Chlorella variabilis]
OG0000992	PSC68498.1 CBS domain-containing mitochondrial-like [Micractinium conductrix]	XP_005852280.1 hypothetical protein CHLNCDRAFT_56629 [Chlorella variabilis]
OG0000993	PSC73912.1 Argininosuccinate synthase [Micractinium conductrix]	XP_005847703.1 hypothetical protein CHLNCDRAFT_52216 [Chlorella variabilis]
OG0000994	PSC76770.1 putative lactoylglutathione chloroplast isoform A [Micractinium conductrix], PSC76769.1 putative lactoylglutathione chloroplast isoform B [Micractinium conductrix], PSC75265.1 triple functional domain [Micractinium conductrix], PSC75425.1 Single-minded 1 [Micractinium conductrix]	XP_005849034.1 hypothetical protein CHLNCDRAFT_48679 [Chlorella variabilis]
OG0000995	PSC69827.1 pentatricopeptide repeat-containing mitochondrial [Micractinium conductrix]	XP_005850188.1 expressed protein [Chlorella variabilis]
OG0000996	PSC76194.1 hypothetical protein C2E20_0127 [Micractinium conductrix]	XP_005850914.1 hypothetical protein CHLNCDRAFT_56906 [Chlorella variabilis], XP_005850915.1 hypothetical protein CHLNCDRAFT_50310 [Chlorella variabilis]
OG0000997	PSC74518.1 Pirin [Micractinium conductrix]	XP_005847586.1 hypothetical protein CHLNCDRAFT_35417 [Chlorella variabilis]
OG0000997	PSC74457.1 endoplasmic reticulum mannosyl-oligosaccharide 1_2-alpha-mannosidase [Micractinium conductrix]	XP_005847756.1 hypothetical protein CHLNCDRAFT_133855 [Chlorella variabilis]
OG0000998	PSC72772.1 threonylcarbamoyladenosine tRNA methylthiotransferase [Micractinium conductrix]	XP_005850579.1 hypothetical protein CHLNCDRAFT_19538_ partial [Chlorella variabilis]
OG0000999	PSC74268.1 DNA replication complex GINS PSF1 [Micractinium conductrix]	XP_005843245.1 hypothetical protein CHLNCDRAFT_141353 [Chlorella variabilis]
OG0000999	PSC72601.1 MFS transporter [Micractinium conductrix]	XP_005850530.1 hypothetical protein CHLNCDRAFT_56847 [Chlorella variabilis]
OG0001000	PSC74695.1 DEK-like isoform X1 [Micractinium conductrix]	XP_005843113.1 hypothetical protein CHLNCDRAFT_141548 [Chlorella variabilis]
OG0001000	PSC74517.1 hypothetical protein C2E20_2384 [Micractinium conductrix]	XP_005843108.1 hypothetical protein CHLNCDRAFT_141536 [Chlorella variabilis]
OG0001001	PSC74630.1 adenine guanine permease AZG1 [Micractinium conductrix]	XP_005847763.1 hypothetical protein CHLNCDRAFT_57841 [Chlorella variabilis]
OG0001002	PSC73787.1 Translation initiation factor IF-3 [Micractinium conductrix]	XP_005851256.1 hypothetical protein CHLNCDRAFT_138004 [Chlorella variabilis]
OG0001003	PSC74959.1 putative trehalase [Micractinium conductrix]	XP_005851678.1 hypothetical protein CHLNCDRAFT_7735_ partial [Chlorella variabilis]
OG0001003	PSC73401.1 putative trehalase [Micractinium conductrix]	XP_005846758.1 hypothetical protein CHLNCDRAFT_24474_ partial [Chlorella variabilis]
OG0001004	PSC76494.1 dual specificity phosphatase 1-like isoform B [Micractinium conductrix], PSC76495.1 dual specificity phosphatase 1-like isoform A [Micractinium conductrix]	XP_005849274.1 hypothetical protein CHLNCDRAFT_30542 [Chlorella variabilis]
OG0001005	PSC72989.1 putative prolyl 4-hydroxylase 9 [Micractinium conductrix]	XP_005849158.1 hypothetical protein CHLNCDRAFT_143796 [Chlorella variabilis]
OG0001006	PSC72554.1 glyoxysomal fatty acid beta-oxidation multifunctional MFP-a [Micractinium conductrix]	XP_005850057.1 hypothetical protein CHLNCDRAFT_142074 [Chlorella variabilis]
OG0001007	PSC70617.1 casein kinase II subunit alpha [Micractinium conductrix]	XP_005843603.1 casein protein kinase 2 alpha subunit [Chlorella variabilis]
OG0001008	PSC67648.1 triosephosphate isomerase [Micractinium conductrix]	XP_005846199.1 triosephosphate isomerase chloroplast type [Chlorella variabilis]
OG0001009	PSC67081.1 Alpha-L-arabinofuranosidase 1_ partial [Micractinium conductrix], PSC67074.1 alpha-L-arabinofuranosidase 1-like [Micractinium conductrix], PSC67243.1 Alpha-L-arabinofuranosidase 1_ partial [Micractinium conductrix]	XP_005851411.1 hypothetical protein CHLNCDRAFT_137674 [Chlorella variabilis]
OG0001010	PSC73988.1 UDP-glucose dehydrogenase [Micractinium conductrix], PSC76863.1 UDP-glucose dehydrogenase [Micractinium conductrix]	XP_005849807.1 hypothetical protein CHLNCDRAFT_59627 [Chlorella variabilis]
OG0001011	PSC67739.1 IAA-amino acid hydrolase ILR1-like 3 [Micractinium conductrix]	XP_005851917.1 hypothetical protein CHLNCDRAFT_18222 [Chlorella variabilis]
OG0001011	PSC69535.1 IAA-amino acid hydrolase ILR1-like 4 [Micractinium conductrix], PSC75002.1 peptidase M20 [Micractinium conductrix]	XP_005848125.1 hypothetical protein CHLNCDRAFT_22838 [Chlorella variabilis]
OG0001012	PSC70317.1 Protease 2 [Micractinium conductrix]	XP_005848500.1 hypothetical protein CHLNCDRAFT_144964 [Chlorella variabilis]
OG0001014	PSC75577.1 hypothetical protein C2E20_1509 [Micractinium conductrix]	XP_005847249.1 hypothetical protein CHLNCDRAFT_134237 [Chlorella variabilis]
OG0001015	PSC67834.1 hypothetical protein C2E20_8516 [Micractinium conductrix]	XP_005849567.1 hypothetical protein CHLNCDRAFT_13094_ partial [Chlorella variabilis]
OG0001018	PSC70449.1 transcription initiation factor TFIID subunit 13-like [Micractinium conductrix]	XP_005848330.1 hypothetical protein CHLNCDRAFT_145018 [Chlorella variabilis]
OG0001018	PSC67095.1 spermatogenesis-associated 20_ partial [Micractinium conductrix], PSC70426.1 spermatogenesis-associated 20 isoform B [Micractinium conductrix], PSC70425.1 spermatogenesis-associated 20 isoform A [Micractinium conductrix]	XP_005848331.1 hypothetical protein CHLNCDRAFT_145019 [Chlorella variabilis]
OG0001019	PSC72999.1 p-type h+-atpase isoform D [Micractinium conductrix], PSC73001.1 p-type h+-atpase isoform B [Micractinium conductrix], PSC73002.1 p-type h+-atpase isoform C [Micractinium conductrix], PSC73000.1 p-type h+-atpase isoform A [Micractinium conductrix]	XP_005843347.1 hypothetical protein CHLNCDRAFT_37518 [Chlorella variabilis]
OG0001020	PSC70167.1 beta-aspartyl asparaginyl family [Micractinium conductrix]	XP_005844146.1 hypothetical protein CHLNCDRAFT_139245 [Chlorella variabilis], XP_005842743.1 hypothetical protein CHLNCDRAFT_48377 [Chlorella variabilis], XP_005844145.1 hypothetical protein CHLNCDRAFT_59767 [Chlorella variabilis], XP_005844147.1 hypothetical protein CHLNCDRAFT_26998_ partial [Chlorella variabilis], XP_005844144.1 hypothetical protein CHLNCDRAFT_58968 [Chlorella variabilis]
OG0001021	PSC69480.1 major facilitator transporter [Micractinium conductrix]	XP_005848100.1 hypothetical protein CHLNCDRAFT_8794_ partial [Chlorella variabilis], XP_005847941.1 hypothetical protein CHLNCDRAFT_145384 [Chlorella variabilis]
OG0001021	PSC69550.1 glyceraldehyde-3-phosphate dehydrogenase [Micractinium conductrix]	XP_005848099.1 hypothetical protein CHLNCDRAFT_145382 [Chlorella variabilis]
OG0001022	PSC71919.1 Carotenoid cleavage dioxygenase 8 isoform A [Micractinium conductrix], PSC71918.1 Carotenoid cleavage dioxygenase 8 isoform B [Micractinium conductrix], PSC71885.1 carotenoid oxygenase [Micractinium conductrix], PSC71910.1 Carotenoid cleavage dioxygenase 8 [Micractinium conductrix]	XP_005849491.1 hypothetical protein CHLNCDRAFT_142802 [Chlorella variabilis]
OG0001023	PSC69817.1 phosphoglycerate mutase [Micractinium conductrix]	XP_005849319.1 hypothetical protein CHLNCDRAFT_12448_ partial [Chlorella variabilis]
OG0001023	PSC69919.1 phosphoglycerate mutase [Micractinium conductrix]	XP_005847519.1 hypothetical protein CHLNCDRAFT_134554 [Chlorella variabilis]
OG0001025	PSC71641.1 putative calcium-binding CML21 [Micractinium conductrix]	XP_005850665.1 hypothetical protein CHLNCDRAFT_140699 [Chlorella variabilis]
OG0001026	PSC74866.1 cyclopropane-fatty-acyl-phospholipid synthase [Micractinium conductrix]	XP_005851729.1 hypothetical protein CHLNCDRAFT_29187_ partial [Chlorella variabilis]
OG0001027	PSC72572.1 carotenoid cleavage dioxygenase 1 [Micractinium conductrix]	XP_005848719.1 hypothetical protein CHLNCDRAFT_21895_ partial [Chlorella variabilis], XP_005844864.1 hypothetical protein CHLNCDRAFT_138368 [Chlorella variabilis]
OG0001027	PSC73169.1 hypothetical protein C2E20_3679 [Micractinium conductrix]	XP_005849364.1 expressed protein [Chlorella variabilis]
OG0001029	PSC76009.1 cytidyltransferase-related domain [Micractinium conductrix]	XP_005848242.1 hypothetical protein CHLNCDRAFT_14441_ partial [Chlorella variabilis]
OG0001030	PSC74978.1 kelch 8 [Micractinium conductrix]	XP_005852101.1 hypothetical protein CHLNCDRAFT_133157 [Chlorella variabilis]
OG0001031	PSC70008.1 Equilibrative nucleoside transporter 4 [Micractinium conductrix], PSC75325.1 Equilibrative nucleoside transporter 4 [Micractinium conductrix], PSC75565.1 Equilibrative nucleoside transporter 4 [Micractinium conductrix], PSC75682.1 Equilibrative nucleoside transporter 4 [Micractinium conductrix]	XP_005844901.1 hypothetical protein CHLNCDRAFT_138452 [Chlorella variabilis], XP_005843836.1 hypothetical protein CHLNCDRAFT_37317 [Chlorella variabilis]
OG0001032	PSC70175.1 zinc finger with UFM1-specific peptidase domain [Micractinium conductrix]	XP_005844158.1 hypothetical protein CHLNCDRAFT_139275 [Chlorella variabilis]
OG0001033	PSC67862.1 ATP-dependent Clp protease adaptor containing [Micractinium conductrix], PSC67178.1 ATP-dependent Clp protease adaptor containing [Micractinium conductrix], PSC67666.1 ATP-dependent Clp protease adaptor containing [Micractinium conductrix], PSC67048.1 ATP-dependent Clp protease adaptor containing [Micractinium conductrix]	XP_005846196.1 hypothetical protein CHLNCDRAFT_31972 [Chlorella variabilis], XP_005846197.1 hypothetical protein CHLNCDRAFT_136220 [Chlorella variabilis]
OG0001034	PSC70411.1 Kelch motif containing isoform C [Micractinium conductrix], PSC70413.1 Kelch motif containing isoform A [Micractinium conductrix], PSC70412.1 Kelch motif containing isoform B [Micractinium conductrix]	XP_005848273.1 hypothetical protein CHLNCDRAFT_144883 [Chlorella variabilis], XP_005848274.1 hypothetical protein CHLNCDRAFT_144884 [Chlorella variabilis], XP_005848276.1 hypothetical protein CHLNCDRAFT_144888 [Chlorella variabilis]
OG0001035	PSC67721.1 glucuronyl hydrolase [Micractinium conductrix]	XP_005849665.1 hypothetical protein CHLNCDRAFT_57319 [Chlorella variabilis]
OG0001036	PSC76008.1 alpha beta-hydrolase [Micractinium conductrix]	XP_005848835.1 hypothetical protein CHLNCDRAFT_144155 [Chlorella variabilis]
OG0001036	PSC75736.1 SPX domain-containing 1-like [Micractinium conductrix]	XP_005848834.1 hypothetical protein CHLNCDRAFT_144154 [Chlorella variabilis]
OG0001037	PSC73789.1 uroporphyrinogen-III chloroplastic isoform X1 [Micractinium conductrix]	XP_005848607.1 hypothetical protein CHLNCDRAFT_144106 [Chlorella variabilis], XP_005848606.1 hypothetical protein CHLNCDRAFT_144105 [Chlorella variabilis], XP_005848605.1 hypothetical protein CHLNCDRAFT_34953 [Chlorella variabilis]
OG0001038	PSC68373.1 DSBA family thioredoxin domain containing [Micractinium conductrix]	XP_005846298.1 hypothetical protein CHLNCDRAFT_135661 [Chlorella variabilis]
OG0001038	PSC71556.1 DSBA oxidoreductase [Micractinium conductrix]	XP_005850898.1 hypothetical protein CHLNCDRAFT_140580 [Chlorella variabilis]
OG0001039	PSC73046.1 CHRD domain-containing [Micractinium conductrix]	XP_005846136.1 hypothetical protein CHLNCDRAFT_136094 [Chlorella variabilis]
OG0001040	PSC72442.1 hypothetical protein C2E20_4216 [Micractinium conductrix]	XP_005850304.1 hypothetical protein CHLNCDRAFT_142061 [Chlorella variabilis]
OG0001040	PSC72584.1 hypothetical protein C2E20_4222 [Micractinium conductrix]	XP_005850305.1 hypothetical protein CHLNCDRAFT_142063 [Chlorella variabilis], XP_005850306.1 expressed protein [Chlorella variabilis]
OG0001041	PSC67919.1 transmembrane 115 [Micractinium conductrix]	XP_005843774.1 hypothetical protein CHLNCDRAFT_139902 [Chlorella variabilis]
OG0001041	PSC67887.1 Insulin-like growth factor binding N-terminal [Micractinium conductrix]	XP_005850374.1 hypothetical protein CHLNCDRAFT_142234 [Chlorella variabilis], XP_005843784.1 hypothetical protein CHLNCDRAFT_139914_ partial [Chlorella variabilis]
OG0001042	PSC75627.1 Histone H2A [Micractinium conductrix]	XP_005848622.1 hypothetical protein CHLNCDRAFT_144132 [Chlorella variabilis]
OG0001042	PSC76256.1 glycosyltransferase family 77 isoform A [Micractinium conductrix], PSC76255.1 glycosyltransferase family 77 isoform B [Micractinium conductrix]	XP_005844193.1 hypothetical protein CHLNCDRAFT_59017 [Chlorella variabilis], XP_005852029.1 hypothetical protein CHLNCDRAFT_49368 [Chlorella variabilis]
OG0001043	PSC74377.1 ammonium transporter [Micractinium conductrix]	XP_005845306.1 hypothetical protein CHLNCDRAFT_58614 [Chlorella variabilis]
OG0001043	PSC69250.1 ammonium transporter [Micractinium conductrix]	XP_005843293.1 hypothetical protein CHLNCDRAFT_141357 [Chlorella variabilis]
OG0001043	PSC73998.1 ammonium transporter [Micractinium conductrix]	XP_005845571.1 hypothetical protein CHLNCDRAFT_136742 [Chlorella variabilis]
OG0001044	PSC69653.1 E3 ubiquitin-ligase SDIR1-like [Micractinium conductrix]	XP_005846366.1 hypothetical protein CHLNCDRAFT_135820 [Chlorella variabilis]
OG0001045	PSC70140.1 Glutamyl endopeptidase [Micractinium conductrix]	XP_005847418.1 hypothetical protein CHLNCDRAFT_134293 [Chlorella variabilis]
OG0001052	PSC72803.1 hypothetical protein C2E20_4083 [Micractinium conductrix]	XP_005850574.1 hypothetical protein CHLNCDRAFT_140491 [Chlorella variabilis]
OG0001053	PSC75387.1 putative DNA replication complex GINS PSF3 [Micractinium conductrix]	XP_005846586.1 hypothetical protein CHLNCDRAFT_59701 [Chlorella variabilis]
OG0001054	PSC68802.1 mitochondrial dicarboxylate tricarboxylate transporter DTC [Micractinium conductrix]	XP_005843928.1 hypothetical protein CHLNCDRAFT_56352 [Chlorella variabilis]
OG0001055	PSC72078.1 glycosyltransferase family 32 [Micractinium conductrix]	XP_005847080.1 hypothetical protein CHLNCDRAFT_10358_ partial [Chlorella variabilis]
OG0001056	PSC75611.1 5_10-methylenetetrahydrofolate dehydrogenase [Micractinium conductrix]	XP_005847387.1 hypothetical protein CHLNCDRAFT_52464 [Chlorella variabilis]
OG0001057	PSC67506.1 MPN domain-containing -like [Micractinium conductrix]	XP_005843964.1 hypothetical protein CHLNCDRAFT_139765 [Chlorella variabilis]
OG0001058	PSC73538.1 plant UBX domain-containing 2 [Micractinium conductrix]	XP_005844270.1 expressed protein [Chlorella variabilis]
OG0001059	PSC72735.1 E3 ubiquitin-ligase SHPRH [Micractinium conductrix]	XP_005850712.1 hypothetical protein CHLNCDRAFT_140806 [Chlorella variabilis]
OG0001059	PSC72887.1 E3 ubiquitin-ligase SHPRH [Micractinium conductrix]	XP_005850711.1 hypothetical protein CHLNCDRAFT_50422 [Chlorella variabilis]
OG0001060	PSC74143.1 DEAD-box ATP-dependent RNA helicase 15-like isoform X1 [Micractinium conductrix]	XP_005845689.1 hypothetical protein CHLNCDRAFT_136793 [Chlorella variabilis]
OG0001061	PSC67655.1 40S ribosomal S3a-2 [Micractinium conductrix]	XP_005844925.1 hypothetical protein CHLNCDRAFT_15784_ partial [Chlorella variabilis]
OG0001062	PSC74221.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform B [Micractinium conductrix], PSC74222.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform A [Micractinium conductrix]	XP_005845518.1 hypothetical protein CHLNCDRAFT_58505 [Chlorella variabilis]
OG0001063	PSC68783.1 water dikinase [Micractinium conductrix]	XP_005843936.1 hypothetical protein CHLNCDRAFT_37165 [Chlorella variabilis]
OG0001064	PSC74236.1 Signal peptide peptidase 2 isoform B [Micractinium conductrix], PSC74237.1 Signal peptide peptidase 2 isoform A [Micractinium conductrix]	XP_005845681.1 hypothetical protein CHLNCDRAFT_36436 [Chlorella variabilis]
OG0001065	PSC73518.1 MEI2-like 5 isoform X1 [Micractinium conductrix]	XP_005844190.1 hypothetical protein CHLNCDRAFT_139357 [Chlorella variabilis]
OG0001066	PSC73955.1 26S proteasome complex subunit DSS1 [Micractinium conductrix]	XP_005845623.1 hypothetical protein CHLNCDRAFT_136604 [Chlorella variabilis]
OG0001067	PSC73431.1 ABC transporter F family member 1 [Micractinium conductrix]	XP_005844192.1 hypothetical protein CHLNCDRAFT_32698 [Chlorella variabilis]
OG0001068	PSC72758.1 non-structural maintenance of chromosomes element 4-like protein A [Micractinium conductrix]	XP_005850978.1 hypothetical protein CHLNCDRAFT_140770 [Chlorella variabilis]
OG0001069	PSC70507.1 Dual specificity kinase splA [Micractinium conductrix]	XP_005844195.1 hypothetical protein CHLNCDRAFT_59772 [Chlorella variabilis]
