Orthogroup	Micractinium_SAG24180	Coccomyxa_SubellipsoideaC169
OG0000471	PSC73183.1 histone chaperone asf1 [Micractinium conductrix]	EIE18841.1 anti-silence-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000471	PSC72969.1 transcription initiation factor tfiid subunit 11 [Micractinium conductrix]	EIE19612.1 TAFII28-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000472	PSC73814.1 ATP-dependent helicase [Micractinium conductrix]	EIE21408.1 hypothetical protein COCSUDRAFT_56628 [Coccomyxa subellipsoidea C-169]
OG0000473	PSC75478.1 WD repeat-containing 26-like [Micractinium conductrix], PSC72285.1 WD repeat-containing 26 [Micractinium conductrix]	EIE21969.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000474	PSC73665.1 Structure-specific endonuclease subunit SLX1 [Micractinium conductrix], PSC73848.1 Chaperone dnaJ 10 isoform A [Micractinium conductrix], PSC73847.1 Chaperone dnaJ 10 isoform B [Micractinium conductrix]	EIE22588.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000475	PSC68223.1 Peptidyl-prolyl cis-trans isomerase D [Micractinium conductrix]	EIE20340.1 actin depolymerizing protein [Coccomyxa subellipsoidea C-169], EIE20266.1 hypothetical protein COCSUDRAFT_57984 [Coccomyxa subellipsoidea C-169]
OG0000476	PSC73883.1 ABC transporter A family member 2 isoform B [Micractinium conductrix], PSC73884.1 ABC transporter A family member 2 isoform A [Micractinium conductrix], PSC73882.1 ABC transporter A family member 2 isoform C [Micractinium conductrix]	EIE18870.1 glutathione synthetase ATP-binding domain-like protein [Coccomyxa subellipsoidea C-169]
OG0000477	PSC75317.1 saccharopine dehydrogenase [Micractinium conductrix]	EIE27591.1 saccharopine dehydrogenase-like protein [Coccomyxa subellipsoidea C-169]
OG0000477	PSC70039.1 GTP-binding hflX [Micractinium conductrix]	EIE21272.1 hypothetical protein COCSUDRAFT_17737_ partial [Coccomyxa subellipsoidea C-169]
OG0000478	PSC70581.1 transducin beta 3 isoform A [Micractinium conductrix], PSC70582.1 transducin beta 3 isoform B [Micractinium conductrix]	EIE25517.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000478	PSC67291.1 5 -adenylylsulfate reductase [Micractinium conductrix]	EIE25317.1 5'-adenylylsulfate reductase [Coccomyxa subellipsoidea C-169]
OG0000479	PSC68596.1 sister chromatid cohesion DCC1 [Micractinium conductrix]	EIE26940.1 hypothetical protein COCSUDRAFT_32309 [Coccomyxa subellipsoidea C-169]
OG0000480	PSC70498.1 Peptide chain release factor 1 [Micractinium conductrix]	EIE25309.1 peptide chain release factor 1 [Coccomyxa subellipsoidea C-169], EIE25369.1 ribosomal protein L3 [Coccomyxa subellipsoidea C-169]
OG0000482	PSC72516.1 Acyl-coenzyme A oxidase peroxisomal [Micractinium conductrix]	EIE22640.1 acyl-CoA oxidase [Coccomyxa subellipsoidea C-169], EIE20295.1 Prp18-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000483	PSC74715.1 elongation factor EF-3 [Micractinium conductrix]	EIE22864.1 elongation factor EF-3 [Coccomyxa subellipsoidea C-169]
OG0000485	PSC69306.1 cephalosporin hydroxylase [Micractinium conductrix], PSC75746.1 hard-surface induced 5 [Micractinium conductrix], PSC70508.1 hard-surface induced [Micractinium conductrix]	EIE27695.1 hypothetical protein COCSUDRAFT_64337 [Coccomyxa subellipsoidea C-169]
OG0000486	PSC70268.1 glycoside hydrolase family 20 [Micractinium conductrix], PSC73696.1 beta-hexosaminidase subunit alpha [Micractinium conductrix]	EIE23444.1 putative beta-N-acetylhexosaminidase [Coccomyxa subellipsoidea C-169]
OG0000488	PSC73800.1 cytochrome P450 [Micractinium conductrix], PSC76937.1 cytochrome P450 [Micractinium conductrix], PSC76582.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76581.1 cytochrome P450 isoform B [Micractinium conductrix]	EIE24555.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE24557.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20794.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE26674.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE26676.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21104.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000493	PSC68098.1 organic cation carnitine transporter 4-like [Micractinium conductrix]	EIE25628.1 hypothetical protein COCSUDRAFT_83635 [Coccomyxa subellipsoidea C-169]
OG0000498	PSC70230.1 UPF0016-domain-containing [Micractinium conductrix]	EIE19495.1 UPF0016-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000499	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]	EIE25296.1 DNA primase core_ partial [Coccomyxa subellipsoidea C-169]
OG0000500	PSC68761.1 Calcium-binding mitochondrial carrier S [Micractinium conductrix]	EIE25738.1 mitochondrial substrate carrier [Coccomyxa subellipsoidea C-169]
OG0000501	PSC73003.1 putative S-acyltransferase 7 [Micractinium conductrix]	EIE23578.1 hypothetical protein COCSUDRAFT_47352 [Coccomyxa subellipsoidea C-169]
OG0000502	PSC67692.1 Beta-galactosidase 17 [Micractinium conductrix]	EIE22122.1 hypothetical protein COCSUDRAFT_1093_ partial [Coccomyxa subellipsoidea C-169], EIE24551.1 hypothetical protein COCSUDRAFT_46851 [Coccomyxa subellipsoidea C-169], EIE25702.1 hypothetical protein COCSUDRAFT_46340 [Coccomyxa subellipsoidea C-169]
OG0000503	PSC68119.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]	EIE25295.1 hypothetical protein COCSUDRAFT_13766_ partial [Coccomyxa subellipsoidea C-169]
OG0000503	PSC75743.1 nucleic acid-binding [Micractinium conductrix]	EIE21813.1 hypothetical protein COCSUDRAFT_53863 [Coccomyxa subellipsoidea C-169]
OG0000504	PSC72628.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]	EIE26110.1 hypothetical protein COCSUDRAFT_61106 [Coccomyxa subellipsoidea C-169], EIE26109.1 hypothetical protein COCSUDRAFT_40265 [Coccomyxa subellipsoidea C-169]
OG0000504	PSC71861.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix], PSC67402.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]	EIE27210.1 hypothetical protein COCSUDRAFT_52098 [Coccomyxa subellipsoidea C-169]
OG0000505	PSC75328.1 putative phytol kinase chloroplastic [Micractinium conductrix]	EIE18537.1 hypothetical protein COCSUDRAFT_49246 [Coccomyxa subellipsoidea C-169]
OG0000506	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]	EIE20439.1 hypothetical protein COCSUDRAFT_57588 [Coccomyxa subellipsoidea C-169], EIE20449.1 hypothetical protein COCSUDRAFT_43891 [Coccomyxa subellipsoidea C-169]
OG0000507	PSC76915.1 LAG1 longevity assurance-like protein 3 isoform B [Micractinium conductrix], PSC76914.1 LAG1 longevity assurance-like protein 3 isoform A [Micractinium conductrix]	EIE20434.1 LAG1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000508	PSC76292.1 translocator -like [Micractinium conductrix]	EIE21341.1 hypothetical protein COCSUDRAFT_48071 [Coccomyxa subellipsoidea C-169]
OG0000510	PSC69867.1 3-phosphoshikimate 1-carboxyvinyltransferase [Micractinium conductrix]	EIE21051.1 3-phosphoshikimate 1-carboxyvinyltransferase [Coccomyxa subellipsoidea C-169], EIE23113.1 3-phosphoshikimate 1-carboxyvinyltransferase [Coccomyxa subellipsoidea C-169]
OG0000512	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]	EIE22104.1 plant glutamate cysteine ligase in complex with Mg2+ and L-glutamate [Coccomyxa subellipsoidea C-169], EIE18444.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000513	PSC69359.1 Serine threonine family 2C [Micractinium conductrix], PSC69346.1 Plastid lipid-associated fibrillin conserved domain [Micractinium conductrix]	EIE23896.1 hypothetical protein COCSUDRAFT_62426 [Coccomyxa subellipsoidea C-169]
OG0000514	PSC75069.1 magnesium transporter MRS2-7 [Micractinium conductrix], PSC75097.1 magnesium transporter MRS2-7 isoform B [Micractinium conductrix], PSC75098.1 magnesium transporter MRS2-7 isoform A [Micractinium conductrix]	EIE22139.1 Mg2+ transporter protein [Coccomyxa subellipsoidea C-169]
OG0000515	PSC74983.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix], PSC69520.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]	EIE27444.1 GILT-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23002.1 GILT-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000516	PSC70791.1 Methionine-tRNA [Micractinium conductrix]	EIE18121.1 hypothetical protein COCSUDRAFT_49363 [Coccomyxa subellipsoidea C-169]
OG0000517	PSC71174.1 hypothetical protein C2E20_5468 [Micractinium conductrix]	EIE27224.1 hypothetical protein COCSUDRAFT_26596 [Coccomyxa subellipsoidea C-169]
OG0000518	PSC72949.1 membrane transporter [Micractinium conductrix]	EIE24554.1 hypothetical protein COCSUDRAFT_40919 [Coccomyxa subellipsoidea C-169]
OG0000518	PSC69956.1 serine-repeat antigen 4 _SERA_ [Micractinium conductrix]	EIE23116.1 hypothetical protein COCSUDRAFT_63486 [Coccomyxa subellipsoidea C-169]
OG0000519	PSC71029.1 putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase SEC [Micractinium conductrix]	EIE27625.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000519	PSC70746.1 Glycylpeptide N-tetradecanoyltransferase 1 [Micractinium conductrix]	EIE27786.1 N-myristoyl transferase [Coccomyxa subellipsoidea C-169]
OG0000520	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]	EIE24953.1 hypothetical protein COCSUDRAFT_83645_ partial [Coccomyxa subellipsoidea C-169], EIE24146.1 hypothetical protein COCSUDRAFT_32988 [Coccomyxa subellipsoidea C-169]
OG0000521	PSC74106.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform A [Micractinium conductrix], PSC74105.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform B [Micractinium conductrix]	EIE20629.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0000522	PSC73440.1 molecular chaperone [Micractinium conductrix]	EIE26461.1 succinate dehydrogenase subunit b560 [Coccomyxa subellipsoidea C-169], EIE26272.1 DnaJ-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000523	PSC67119.1 Transmembrane 50A [Micractinium conductrix], PSC67007.1 Transmembrane 50A [Micractinium conductrix], PSC67298.1 Transmembrane 50A [Micractinium conductrix], PSC67051.1 transmembrane 50-like protein [Micractinium conductrix], PSC73905.1 transmembrane 50-like protein [Micractinium conductrix]	EIE25819.1 hypothetical protein COCSUDRAFT_32389 [Coccomyxa subellipsoidea C-169]
OG0000525	PSC76371.1 alanine-tRNA ligase [Micractinium conductrix], PSC73806.1 monooxygenase [Micractinium conductrix]	EIE19424.1 hypothetical protein COCSUDRAFT_58709 [Coccomyxa subellipsoidea C-169]
OG0000526	PSC74272.1 BSD domain-containing 1 [Micractinium conductrix]	EIE22200.1 hypothetical protein COCSUDRAFT_42569 [Coccomyxa subellipsoidea C-169]
OG0000526	PSC74677.1 ACT domain-containing ACR2 [Micractinium conductrix]	EIE18295.1 hypothetical protein COCSUDRAFT_10349_ partial [Coccomyxa subellipsoidea C-169]
OG0000527	PSC72323.1 cell division cycle 27-like protein B isoform X2 [Micractinium conductrix]	EIE23158.1 hypothetical protein COCSUDRAFT_42089 [Coccomyxa subellipsoidea C-169], EIE23188.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000528	PSC75046.1 random slug 5-like [Micractinium conductrix]	EIE24100.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23731.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000529	PSC71738.1 Glyoxylate hydroxypyruvate reductase A [Micractinium conductrix], PSC74920.1 Chromatin structure-remodeling complex BSH [Micractinium conductrix]	EIE27714.1 hypothetical protein COCSUDRAFT_21535 [Coccomyxa subellipsoidea C-169]
OG0000530	PSC70383.1 SNF1-related kinase catalytic subunit alpha KIN10 [Micractinium conductrix]	EIE22285.1 snf1b Snf1-related protein kinase SNF1b [Coccomyxa subellipsoidea C-169]
OG0000531	PSC73373.1 inactive purple acid phosphatase 2 [Micractinium conductrix]	EIE22250.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000531	PSC73232.1 KH domain-containing protein [Micractinium conductrix]	EIE26963.1 hypothetical protein COCSUDRAFT_59455 [Coccomyxa subellipsoidea C-169]
OG0000532	PSC67783.1 Expansin 1 [Micractinium conductrix], PSC67798.1 Expansin 1 [Micractinium conductrix]	EIE22228.1 hypothetical protein COCSUDRAFT_55925 [Coccomyxa subellipsoidea C-169]
OG0000533	PSC67550.1 hypothetical protein C2E20_8787 isoform B [Micractinium conductrix], PSC67551.1 hypothetical protein C2E20_8787 isoform A [Micractinium conductrix]	EIE24248.1 SWIB-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000534	PSC73161.1 hypothetical protein C2E20_3691 [Micractinium conductrix]	EIE22904.1 hypothetical protein COCSUDRAFT_64024 [Coccomyxa subellipsoidea C-169]
OG0000535	PSC71223.1 Kinesin KIF6 [Micractinium conductrix]	EIE20980.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000536	PSC71710.1 thiol disulfide reductase thioredoxin [Micractinium conductrix], PSC71716.1 cytochrome c oxidase subunit [Micractinium conductrix]	EIE19535.1 cytochrome c oxidase subunit H [Coccomyxa subellipsoidea C-169]
OG0000537	PSC70125.1 monovalent Cation_Proton antiporter-1 family [Micractinium conductrix], PSC75329.1 low-CO2-inducible chloroplast envelope [Micractinium conductrix]	EIE22773.1 hypothetical protein COCSUDRAFT_42394 [Coccomyxa subellipsoidea C-169]
OG0000538	PSC70691.1 DNA mismatch repair MSH6 [Micractinium conductrix]	EIE20176.1 hypothetical protein COCSUDRAFT_18682_ partial [Coccomyxa subellipsoidea C-169]
OG0000539	PSC67761.1 MFS general substrate transporter [Micractinium conductrix]	EIE19804.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000540	PSC69899.1 DNA-directed DNA RNA polymerase mu isoform X1 [Micractinium conductrix]	EIE22969.1 Nucleotidyltransferase [Coccomyxa subellipsoidea C-169]
OG0000541	PSC72747.1 superoxide dismutase [Fe] [Micractinium conductrix], PSC77044.1 superoxide dismutase [Fe] [Micractinium conductrix]	EIE22694.1 superoxide dismutase [Fe]_ chloroplastic [Coccomyxa subellipsoidea C-169]
OG0000542	PSC69510.1 mitochondrial substrate carrier family B [Micractinium conductrix]	EIE18155.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000544	PSC69040.1 sedoheptulose-1_7-bisphosphatase [Micractinium conductrix]	EIE18198.1 sedoheptulose-1_7-bisphosphatase [Coccomyxa subellipsoidea C-169]
OG0000545	PSC75103.1 aspartate aminotransferase [Micractinium conductrix]	EIE18335.1 aspartate aminotransferase [Coccomyxa subellipsoidea C-169], EIE20022.1 putative seryl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0000546	PSC69174.1 putative phosphatase 2C 5 isoform X1 [Micractinium conductrix], PSC69106.1 Qa-SYP4 Tlg2p Syntaxin 16-type [Micractinium conductrix]	EIE24732.1 Qa-SNARE_ SYP4/Tlg2p/Syntaxin 16-type [Coccomyxa subellipsoidea C-169]
OG0000547	PSC68301.1 polyketide cyclase hydroxylase [Micractinium conductrix]	EIE21761.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000548	PSC76480.1 plastid division [Micractinium conductrix]	EIE23403.1 cell division protein FtsZ [Coccomyxa subellipsoidea C-169]
OG0000549	PSC72960.1 Sulfate adenylyltransferase isoform A [Micractinium conductrix], PSC72959.1 Sulfate adenylyltransferase isoform B [Micractinium conductrix]	EIE21437.1 ATP sulfurylase [Coccomyxa subellipsoidea C-169]
OG0000551	PSC71514.1 MUT9-related serine threonine kinase [Micractinium conductrix], PSC75885.1 MUT9-related serine threonine kinase isoform A [Micractinium conductrix], PSC75884.1 MUT9-related serine threonine kinase isoform B [Micractinium conductrix]	EIE25099.1 MUT9-related serine/threonine protein kinase [Coccomyxa subellipsoidea C-169]
OG0000552	PSC70972.1 serine carboxypeptidase 24-like [Micractinium conductrix]	EIE23392.1 peptidase S10_ serine carboxypeptidase [Coccomyxa subellipsoidea C-169]
OG0000553	PSC73318.1 T-complex 1 subunit gamma [Micractinium conductrix]	EIE19458.1 T-complex protein 1 gamma subunit [Coccomyxa subellipsoidea C-169]
OG0000554	PSC76413.1 hypothetical protein C2E20_0666 isoform B [Micractinium conductrix], PSC76414.1 hypothetical protein C2E20_0666 isoform A [Micractinium conductrix]	EIE21555.1 hypothetical protein COCSUDRAFT_54020 [Coccomyxa subellipsoidea C-169]
OG0000555	PSC67355.1 prohibitin-mitochondrial-like [Micractinium conductrix]	EIE19178.1 prohibitin [Coccomyxa subellipsoidea C-169]
OG0000556	PSC68880.1 expressed protein isoform E [Micractinium conductrix], PSC68883.1 expressed protein isoform D [Micractinium conductrix], PSC68882.1 expressed protein isoform A [Micractinium conductrix], PSC73483.1 splicing arginine serine-rich 19 [Micractinium conductrix], PSC69212.1 FAD-linked oxidase [Micractinium conductrix], PSC72441.1 Transcriptional Crp Fnr family [Micractinium conductrix]	EIE18309.1 hypothetical protein COCSUDRAFT_60279 [Coccomyxa subellipsoidea C-169]
OG0000557	PSC72540.1 tRNA uridine_34_ 5-carboxymethylaminomethyl synthesis enzyme [Micractinium conductrix]	EIE25128.1 hypothetical protein COCSUDRAFT_61368 [Coccomyxa subellipsoidea C-169]
OG0000559	PSC76261.1 tRNA _cytosine_34_-C_5__-methyltransferase [Micractinium conductrix]	EIE23789.1 tRNA-methyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0000559	PSC67965.1 DNA replication licensing factor MCM4 [Micractinium conductrix]	EIE24613.1 MCM-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000560	PSC73974.1 ERD4-related membrane isoform A [Micractinium conductrix], PSC73975.1 ERD4-related membrane isoform B [Micractinium conductrix]	EIE18583.1 DUF221-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21907.1 DUF221-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000561	PSC74078.1 UPF0047 isoform B [Micractinium conductrix], PSC74079.1 UPF0047 isoform A [Micractinium conductrix]	EIE27804.1 hypothetical protein COCSUDRAFT_55786 [Coccomyxa subellipsoidea C-169]
OG0000562	PSC75160.1 Solute carrier family 35 member E3 isoform B [Micractinium conductrix], PSC75159.1 Solute carrier family 35 member E3 isoform A [Micractinium conductrix]	EIE22332.1 hypothetical protein COCSUDRAFT_6302_ partial [Coccomyxa subellipsoidea C-169]
OG0000564	PSC74467.1 phosphatase 1 [Micractinium conductrix]	EIE20017.1 protein phosphatase 1 [Coccomyxa subellipsoidea C-169]
OG0000564	PSC70233.1 acylamino-acid-releasing enzyme isoform X1 [Micractinium conductrix]	EIE20682.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000565	PSC70159.1 3-dehydroquinate synthase [Micractinium conductrix]	EIE20726.1 DHQS-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE20786.1 hypothetical protein COCSUDRAFT_33893 [Coccomyxa subellipsoidea C-169]
OG0000566	PSC67130.1 structural maintenance of chromosomes 6B_ partial [Micractinium conductrix], PSC68121.1 structural maintenance of chromosomes 6B [Micractinium conductrix], PSC71901.1 structural maintenance of chromosomes 6B [Micractinium conductrix]	EIE27067.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000567	PSC70525.1 fructose bisphosphate aldolase [Micractinium conductrix]	EIE25074.1 cytosolic aldolase [Coccomyxa subellipsoidea C-169]
OG0000568	PSC67980.1 dnaJ ERDJ3B [Micractinium conductrix]	EIE24928.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE18145.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000569	PSC73100.1 na+ solute symporter isoform A [Micractinium conductrix], PSC73101.1 na+ solute symporter isoform B [Micractinium conductrix]	EIE24107.1 UPF0061-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23143.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE22963.1 short-chain dehydrogenase/reductase SDR [Coccomyxa subellipsoidea C-169], EIE27724.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000570	PSC73030.1 asparagine-tRNA cytoplasmic 1-like [Micractinium conductrix]	EIE23345.1 asparaginyl-tRNA synthetase_ partial [Coccomyxa subellipsoidea C-169]
OG0000570	PSC74776.1 SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A 1 isoform X1 [Micractinium conductrix]	EIE23396.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000571	PSC75843.1 Alpha-galactosidase [Micractinium conductrix]	EIE26102.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE22540.1 Melibiase family protein [Coccomyxa subellipsoidea C-169], EIE22544.1 alpha-galactosidase [Coccomyxa subellipsoidea C-169]
OG0000572	PSC76246.1 histone acetyltransferase HAC1-like [Micractinium conductrix]	EIE23727.1 DUF906-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23372.1 H+-translocating pyrophosphatase [Coccomyxa subellipsoidea C-169], EIE23056.1 hypothetical protein COCSUDRAFT_63438 [Coccomyxa subellipsoidea C-169]
OG0000573	PSC71739.1 Serine threonine-kinase TOUSLED [Micractinium conductrix]	EIE19774.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000574	PSC73562.1 molybdopterin adenylyltransferase [Micractinium conductrix]	EIE20605.1 molybdopterin biosynthesis protein [Coccomyxa subellipsoidea C-169]
OG0000574	PSC73786.1 Proteasome subunit beta type-6 [Micractinium conductrix]	EIE20616.1 proteasome-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000575	PSC71588.1 tRNA-dihydrouridine synthase 3 [Micractinium conductrix]	EIE26783.1 hypothetical protein COCSUDRAFT_64655 [Coccomyxa subellipsoidea C-169]
OG0000576	PSC74615.1 serine threonine phosphatase 2A regulatory subunit B beta-like [Micractinium conductrix]	EIE19185.1 Zinc/iron permease [Coccomyxa subellipsoidea C-169]
OG0000577	PSC75825.1 Eukaryotic translation initiation factor 3 subunit F [Micractinium conductrix]	EIE25195.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27375.1 plastidic ADP/ATP translocase_ partial [Coccomyxa subellipsoidea C-169]
OG0000578	PSC70900.1 PXMP2 4 family 4 [Micractinium conductrix]	EIE26248.1 hypothetical protein COCSUDRAFT_21583 [Coccomyxa subellipsoidea C-169]
OG0000579	PSC75909.1 Vacuolar amino acid transporter 1 [Micractinium conductrix], PSC72470.1 Vacuolar amino acid transporter 1 [Micractinium conductrix]	EIE27286.1 hypothetical protein COCSUDRAFT_45803 [Coccomyxa subellipsoidea C-169]
OG0000579	PSC76961.1 Phytanoyl-dioxygenase [Micractinium conductrix]	EIE22996.1 hypothetical protein COCSUDRAFT_15642_ partial [Coccomyxa subellipsoidea C-169], EIE26039.1 putative amino acid transport protein [Coccomyxa subellipsoidea C-169]
OG0000580	PSC73827.1 COP9 signalosome complex subunit 6a [Micractinium conductrix]	EIE22810.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000581	PSC71485.1 TBC1 domain family member 2A [Micractinium conductrix]	EIE18957.1 TBC-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000582	PSC74415.1 33kDa oxygen evolving of photosystem II [Micractinium conductrix], PSC69559.1 photosystem II manganese-stabilizing polypeptide [Micractinium conductrix]	EIE27669.1 33kDa oxygen evolving protein of photosystem II_ partial [Coccomyxa subellipsoidea C-169]
OG0000584	PSC75017.1 ADP-ribosylation factor 9 [Micractinium conductrix], PSC74963.1 heme oxygenase [Micractinium conductrix]	EIE20258.1 heme oxygenase-like protein [Coccomyxa subellipsoidea C-169]
OG0000585	PSC67369.1 DNA RNA polymerase [Micractinium conductrix]	EIE20137.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]
OG0000585	PSC74997.1 NLI interacting factor-like phosphatase [Micractinium conductrix]	EIE20107.1 hypothetical protein COCSUDRAFT_54397 [Coccomyxa subellipsoidea C-169]
OG0000586	PSC72392.1 putative WD repeat-containing [Micractinium conductrix]	EIE25504.1 NMT1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000586	PSC71302.1 mitochondrial-processing peptidase subunit alpha-like [Micractinium conductrix]	EIE21086.1 LuxS/MPP-like metallohydrolase [Coccomyxa subellipsoidea C-169]
OG0000587	PSC69903.1 BTB POZ and MATH domain-containing 2-like isoform B [Micractinium conductrix]	EIE23068.1 POZ domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000587	PSC69902.1 BTB POZ and MATH domain-containing 2-like isoform A [Micractinium conductrix]	EIE18436.1 S-adenosyl-L-methionine-dependent methyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0000589	PSC74763.1 epoxide hydrolase [Micractinium conductrix]	EIE21764.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE18391.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE18291.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000590	PSC75613.1 FAD-dependent oxidoreductase family [Micractinium conductrix]	EIE18262.1 FAD dependent oxidoreductase [Coccomyxa subellipsoidea C-169]
OG0000591	PSC73881.1 glycerol transport activity [Micractinium conductrix]	EIE26990.1 aquaporin-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000592	PSC69798.1 ligand-gated ion channel [Micractinium conductrix], PSC76851.1 hypothetical protein C2E20_0627 [Micractinium conductrix]	EIE19349.1 alpha/beta-hydrolase_ partial [Coccomyxa subellipsoidea C-169]
OG0000593	PSC76163.1 ABC transporter C family member 13 isoform X1 isoform B [Micractinium conductrix], PSC76164.1 ABC transporter C family member 13 isoform X1 isoform A [Micractinium conductrix]	EIE27447.1 hypothetical protein COCSUDRAFT_64235 [Coccomyxa subellipsoidea C-169]
OG0000594	PSC71121.1 Transaldolase [Micractinium conductrix]	EIE27334.1 putative transaldolase [Coccomyxa subellipsoidea C-169], EIE25254.1 hypothetical protein COCSUDRAFT_27890 [Coccomyxa subellipsoidea C-169]
OG0000595	PSC70713.1 ras-related RIC2 [Micractinium conductrix]	EIE22109.1 ras-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000595	PSC68035.1 Rab11 -family small GTPase [Micractinium conductrix]	EIE21319.1 ras-related protein Rab2BV [Coccomyxa subellipsoidea C-169]
OG0000596	PSC68007.1 DNA damage checkpoint [Micractinium conductrix]	EIE22325.1 DNA damage checkpoint protein [Coccomyxa subellipsoidea C-169], EIE21113.1 3'-5' exonuclease_ partial [Coccomyxa subellipsoidea C-169]
OG0000598	PSC69139.1 spindle assembly abnormal 6-like protein [Micractinium conductrix]	EIE25721.1 hypothetical protein COCSUDRAFT_64802 [Coccomyxa subellipsoidea C-169], EIE25806.1 hypothetical protein COCSUDRAFT_1459_ partial [Coccomyxa subellipsoidea C-169]
