Orthogroup	Micractinium_SAG24180	Scenedesmus_PABB004
OG0001128	PSC72482.1 Bax inhibitor 1 [Micractinium conductrix], PSC72587.1 hypothetical protein C2E20_4122 [Micractinium conductrix]	KAF8062010.1 TMBIM6 [Scenedesmus sp. PABB004]
OG0001129	PSC69278.1 O-glucosyltransferase rumi [Micractinium conductrix], PSC69235.1 hypothetical protein C2E20_7255 [Micractinium conductrix]	KAF8056130.1 hypothetical protein HT031_006481 [Scenedesmus sp. PABB004]
OG0001131	PSC68303.1 signal recognition particle subunit SRP68 [Micractinium conductrix], PSC69093.1 hypothetical protein C2E20_7297 [Micractinium conductrix], PSC71516.1 signal recognition particle subunit SRP68 [Micractinium conductrix]	KAF8071382.1 SRP68 [Scenedesmus sp. PABB004]
OG0001133	PSC72779.1 Elongation factor Tu [Micractinium conductrix]	KAF8058941.1 tuf [Scenedesmus sp. PABB004]
OG0001134	PSC76088.1 cullin-associated NEDD8-dissociated 1 isoform B [Micractinium conductrix], PSC76087.1 cullin-associated NEDD8-dissociated 1 isoform A [Micractinium conductrix]	KAF8067210.1 CAND1 [Scenedesmus sp. PABB004]
OG0001135	PSC71669.1 DNA repair RAD51-like protein 2 [Micractinium conductrix]	KAF8066425.1 XBOS36 [Scenedesmus sp. PABB004], KAF8061113.1 hypothetical protein HT031_004574 [Scenedesmus sp. PABB004], KAF8060095.1 RAD51B [Scenedesmus sp. PABB004], KAF8068152.1 hypothetical protein HT031_001838 [Scenedesmus sp. PABB004]
OG0001137	PSC69583.1 UDP-N-acetylglucosamine diphosphorylase 1-like isoform A [Micractinium conductrix], PSC69582.1 UDP-N-acetylglucosamine diphosphorylase 1-like isoform B [Micractinium conductrix]	KAF8060101.1 GLCNAC1PUT2 [Scenedesmus sp. PABB004]
OG0001138	PSC75739.1 TVP38 TMEM64 family membrane [Micractinium conductrix]	KAF8069670.1 histone H3 [Scenedesmus sp. PABB004]
OG0001139	PSC74994.1 mannose-1-phosphate guanylyltransferase 1 [Micractinium conductrix]	KAF8072722.1 mannose-1-phosphate guanylyltransferase [Scenedesmus sp. PABB004]
OG0001140	PSC76867.1 CCA tRNA nucleotidyltransferase 2 [Micractinium conductrix]	KAF8058876.1 shkD [Scenedesmus sp. PABB004]
OG0001142	PSC75174.1 bifunctional aspartate aminotransferase and glutamate aspartate-prephenate aminotransferase [Micractinium conductrix]	KAF8066353.1 ISS1 [Scenedesmus sp. PABB004]
OG0001143	PSC69429.1 DEFECTIVE IN EXINE FORMATION 1 [Micractinium conductrix]	KAF8073111.1 DEX1 [Scenedesmus sp. PABB004]
OG0001144	PSC67657.1 Autophagy-related 3 [Micractinium conductrix]	KAF8073057.1 PXM16 [Scenedesmus sp. PABB004]
OG0001145	PSC70925.1 HBS1 isoform X1 isoform A [Micractinium conductrix], PSC70924.1 HBS1 isoform X1 isoform B [Micractinium conductrix]	KAF8073115.1 RFC3 [Scenedesmus sp. PABB004]
OG0001146	PSC67118.1 coenzyme Q-binding COQ10 mitochondrial [Micractinium conductrix], PSC67060.1 testis-expressed sequence 2 -like_ partial [Micractinium conductrix], PSC67093.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC67065.1 putative PH domain-containing [Micractinium conductrix], PSC67117.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC69319.1 peptidase zinc-dependent_ partial [Micractinium conductrix]	KAF8060509.1 hypothetical protein HT031_004685 [Scenedesmus sp. PABB004]
OG0001147	PSC70404.1 two-component sensor histidine kinase [Micractinium conductrix]	KAF8055914.1 hypothetical protein HT031_006553 [Scenedesmus sp. PABB004]
OG0001147	PSC70351.1 signal peptide peptidase-like 3 [Micractinium conductrix]	KAF8059420.1 SPPL2 [Scenedesmus sp. PABB004]
OG0001148	PSC68134.1 ferredoxin-NADP+ reductase [Micractinium conductrix]	KAF8068423.1 DRC4 [Scenedesmus sp. PABB004]
OG0001149	PSC70000.1 serine protease [Micractinium conductrix]	KAF8063672.1 Extracellular serine proteinase [Scenedesmus sp. PABB004], KAF8070919.1 Extracellular serine proteinase [Scenedesmus sp. PABB004], KAF8060579.1 Extracellular serine proteinase [Scenedesmus sp. PABB004]
OG0001150	PSC67172.1 cell division cycle 20 [Micractinium conductrix]	KAF8069619.1 CDC20-2 [Scenedesmus sp. PABB004]
OG0001151	PSC70793.1 chlorophyllide a oxygenase [Micractinium conductrix], PSC74971.1 chlorophyllide a oxygenase [Micractinium conductrix]	KAF8065639.1 hypothetical protein HT031_003240 [Scenedesmus sp. PABB004]
OG0001153	PSC73004.1 histidyl-tRNA synthetase [Micractinium conductrix], PSC73197.1 histidyl-tRNA synthetase [Micractinium conductrix]	KAF8060498.1 histidine--tRNA ligase [Scenedesmus sp. PABB004]
OG0001156	PSC68744.1 D-2-hydroxyglutarate mitochondrial isoform A [Micractinium conductrix], PSC68743.1 D-2-hydroxyglutarate mitochondrial isoform B [Micractinium conductrix]	KAF8073160.1 D2HGDH [Scenedesmus sp. PABB004]
OG0001158	PSC68656.1 sulfite reductase isoform B [Micractinium conductrix], PSC68657.1 sulfite reductase isoform A [Micractinium conductrix]	KAF8068201.1 SIR1 [Scenedesmus sp. PABB004]
OG0001159	PSC76746.1 aminopeptidase family isoform B [Micractinium conductrix], PSC76745.1 aminopeptidase family isoform A [Micractinium conductrix]	KAF8057771.1 LAP1 [Scenedesmus sp. PABB004]
OG0001161	PSC76021.1 thylakoid lumenal kDa chloroplastic [Micractinium conductrix]	KAF8071349.1 thylakoid lumenal protein [Scenedesmus sp. PABB004]
OG0001162	PSC71331.1 UV damage endonuclease [Micractinium conductrix], PSC67605.1 UV damage endonuclease [Micractinium conductrix]	KAF8070876.1 mus-18 [Scenedesmus sp. PABB004]
OG0001165	PSC68261.1 Sorbitol dehydrogenase [Micractinium conductrix], PSC71446.1 alcohol dehydrogenase [Micractinium conductrix]	KAF8068252.1 fdh [Scenedesmus sp. PABB004]
OG0001166	PSC68244.1 NAD_P_-binding domain [Micractinium conductrix]	KAF8059377.1 hypothetical protein HT031_005182 [Scenedesmus sp. PABB004]
OG0001167	PSC72597.1 phosphate acetyltransferase [Micractinium conductrix]	KAF8061400.1 pta [Scenedesmus sp. PABB004]
OG0001168	PSC70177.1 hypothetical protein C2E20_6289 [Micractinium conductrix]	KAF8062763.1 hypothetical protein HT031_004093 [Scenedesmus sp. PABB004]
OG0001169	PSC70106.1 hypothetical protein C2E20_6446 [Micractinium conductrix], PSC70282.1 hypothetical protein C2E20_6369 [Micractinium conductrix]	KAF8062989.1 crop [Scenedesmus sp. PABB004]
OG0001171	PSC70293.1 translation initiation factor eIF-2B subunit delta [Micractinium conductrix]	KAF8058834.1 Eif2b4 [Scenedesmus sp. PABB004]
OG0001172	PSC75857.1 Transducin beta 2 [Micractinium conductrix]	KAF8059379.1 TBL2 [Scenedesmus sp. PABB004]
OG0001173	PSC68971.1 DEAD-box ATP-dependent RNA helicase 28 [Micractinium conductrix]	KAF8063691.1 RH28 [Scenedesmus sp. PABB004]
OG0001174	PSC73747.1 catalase isozyme 1 [Micractinium conductrix]	KAF8066435.1 CAT2 [Scenedesmus sp. PABB004]
OG0001175	PSC71519.1 fumarate isoform B [Micractinium conductrix], PSC71520.1 fumarate isoform A [Micractinium conductrix]	KAF8057645.1 FUM1 [Scenedesmus sp. PABB004]
OG0001176	PSC76849.1 glycine cleavage T [Micractinium conductrix]	KAF8064541.1 hypothetical protein HT031_003341 [Scenedesmus sp. PABB004]
OG0001177	PSC68981.1 hypothetical protein C2E20_7512 [Micractinium conductrix]	KAF8068202.1 Ugt3a1 [Scenedesmus sp. PABB004]
OG0001180	PSC71673.1 V-type proton ATPase subunit D-like [Micractinium conductrix]	KAF8071164.1 SOL1 [Scenedesmus sp. PABB004]
OG0001182	PSC76285.1 UPF0396 -like [Micractinium conductrix]	KAF8065835.1 Nkapl [Scenedesmus sp. PABB004]
OG0001183	PSC68118.1 cytochrome c biogenesis [Micractinium conductrix]	KAF8066257.1 CCS1 [Scenedesmus sp. PABB004]
OG0001185	PSC76259.1 GPN-loop GTPase 3 [Micractinium conductrix]	KAF8063789.1 gpn3 [Scenedesmus sp. PABB004]
OG0001186	PSC76026.1 hypothetical protein C2E20_0200 [Micractinium conductrix]	KAF8056463.1 RKD3 [Scenedesmus sp. PABB004]
OG0001187	PSC71422.1 Lysosomal acid lipase cholesteryl ester hydrolase [Micractinium conductrix]	KAF8062757.1 Lip3 [Scenedesmus sp. PABB004]
OG0001188	PSC75234.1 strictosidine synthase [Micractinium conductrix]	KAF8061129.1 Apmap [Scenedesmus sp. PABB004]
OG0001189	PSC71046.1 Zn-dependent exopeptidase [Micractinium conductrix]	KAF8073182.1 Cndp1 [Scenedesmus sp. PABB004]
OG0001190	PSC72042.1 lipid phosphate phosphatase chloroplastic [Micractinium conductrix]	KAF8065455.1 LPP3 [Scenedesmus sp. PABB004]
OG0001191	PSC72880.1 TBCC domain-containing 1 [Micractinium conductrix]	KAF8056726.1 tbccd1 [Scenedesmus sp. PABB004]
OG0001193	PSC67533.1 Fatty Acid 2-hydroxylase [Micractinium conductrix], PSC73265.1 fatty acid 2-hydroxylase 2-like [Micractinium conductrix]	KAF8073176.1 FAH1 [Scenedesmus sp. PABB004]
OG0001194	PSC71080.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform A [Micractinium conductrix], PSC71081.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform B [Micractinium conductrix]	KAF8055583.1 SDH1 [Scenedesmus sp. PABB004]
OG0001195	PSC72945.1 importin-9 isoform X1 [Micractinium conductrix]	KAF8072465.1 Ipo9 [Scenedesmus sp. PABB004]
OG0001196	PSC73636.1 ATP-dependent protease ATPase subunit [Micractinium conductrix]	KAF8065548.1 hslU [Scenedesmus sp. PABB004], KAF8072735.1 hslU [Scenedesmus sp. PABB004]
OG0001197	PSC76966.1 PLP-dependent transferase [Micractinium conductrix]	KAF8056842.1 speA [Scenedesmus sp. PABB004]
OG0001198	PSC71251.1 glycolate oxidase [Micractinium conductrix]	KAF8072575.1 poc1a [Scenedesmus sp. PABB004]
OG0001199	PSC75918.1 vacuolar-sorting receptor 1-like [Micractinium conductrix]	KAF8068384.1 VSR2 [Scenedesmus sp. PABB004]
OG0001200	PSC71151.1 SET domain [Micractinium conductrix], PSC67964.1 histone-lysine N-methyltransferase ATXR3 [Micractinium conductrix]	KAF8072906.1 ATXR3 [Scenedesmus sp. PABB004]
OG0001201	PSC68410.1 acetolactate synthase isoform A [Micractinium conductrix], PSC68409.1 acetolactate synthase isoform B [Micractinium conductrix]	KAF8073231.1 ALS SURB [Scenedesmus sp. PABB004]
OG0001203	PSC74125.1 tryptophan-tRNA cytoplasmic [Micractinium conductrix]	KAF8073033.1 Tryptophan--tRNA ligase [Scenedesmus sp. PABB004]
OG0001204	PSC70821.1 alpha beta-Hydrolases superfamily [Micractinium conductrix]	KAF8057878.1 hypothetical protein HT031_005824 [Scenedesmus sp. PABB004]
OG0001205	PSC69350.1 ERD4-related membrane [Micractinium conductrix]	KAF8056000.1 ERD4 [Scenedesmus sp. PABB004]
OG0001206	PSC72385.1 hypothetical protein C2E20_4308 [Micractinium conductrix], PSC69724.1 CAZy families GT61 [Micractinium conductrix], PSC75047.1 coiled-coil domain-containing 97 isoform B [Micractinium conductrix], PSC75048.1 coiled-coil domain-containing 97 isoform A [Micractinium conductrix]	KAF8063854.1 hypothetical protein HT031_003711 [Scenedesmus sp. PABB004]
OG0001207	PSC71600.1 Nucleosome-remodeling factor subunit BPTF [Micractinium conductrix]	KAF8070858.1 hypothetical protein HT031_000939 [Scenedesmus sp. PABB004]
OG0001208	PSC72447.1 hypothetical protein C2E20_4214 isoform B [Micractinium conductrix], PSC72446.1 hypothetical protein C2E20_4214 isoform A [Micractinium conductrix]	KAF8065656.1 KIN4A [Scenedesmus sp. PABB004]
OG0001210	PSC73626.1 Jumonji domain-containing [Micractinium conductrix]	KAF8063009.1 Kdm4B [Scenedesmus sp. PABB004]
OG0001211	PSC68274.1 COP9 signalosome complex subunit 7 isoform X1 [Micractinium conductrix]	KAF8059698.1 csn7 [Scenedesmus sp. PABB004]
OG0001214	PSC75534.1 125 kDa kinesin-related-like protein [Micractinium conductrix]	KAF8063761.1 KIN5A [Scenedesmus sp. PABB004]
OG0001215	PSC73213.1 ubiquitin carboxyl-terminal hydrolase 12 [Micractinium conductrix]	KAF8060009.1 UBP12 [Scenedesmus sp. PABB004]
OG0001216	PSC73320.1 motile sperm domain-containing 2 [Micractinium conductrix]	KAF8062701.1 SPAC3H8.02 [Scenedesmus sp. PABB004]
OG0001217	PSC76379.1 cell division cycle 48-like protein [Micractinium conductrix]	KAF8062897.1 SKD1 [Scenedesmus sp. PABB004]
OG0001219	PSC68800.1 kinesin-13A-like isoform X1 [Micractinium conductrix]	KAF8073106.1 KIN13B [Scenedesmus sp. PABB004]
OG0001221	PSC67454.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform A [Micractinium conductrix], PSC67455.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform B [Micractinium conductrix]	KAF8067134.1 SYP32 [Scenedesmus sp. PABB004]
OG0001223	PSC73785.1 pre-mRNA-splicing factor CWC22-like protein [Micractinium conductrix]	KAF8062096.1 Cwc22 [Scenedesmus sp. PABB004]
OG0001224	PSC69799.1 Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asp aragine amidase [Micractinium conductrix]	KAF8068147.1 PNG1 [Scenedesmus sp. PABB004], KAF8055814.1 PNG1 [Scenedesmus sp. PABB004], KAF8054830.1 PNG1 [Scenedesmus sp. PABB004], KAF8057782.1 PNG1 [Scenedesmus sp. PABB004]
OG0001226	PSC75278.1 dehydrogenase [Micractinium conductrix]	KAF8058832.1 fabG2 [Scenedesmus sp. PABB004]
OG0001227	PSC74246.1 ARM repeat superfamily [Micractinium conductrix]	KAF8071289.1 uhpC [Scenedesmus sp. PABB004]
OG0001229	PSC74360.1 WD repeat-containing LWD1 isoform B [Micractinium conductrix], PSC74361.1 WD repeat-containing LWD1 isoform A [Micractinium conductrix]	KAF8059136.1 LWD1 [Scenedesmus sp. PABB004]
OG0001231	PSC70899.1 Ras-related Rab7 [Micractinium conductrix], PSC70894.1 ras-related Rab7 [Micractinium conductrix]	KAF8060276.1 YPTC5 [Scenedesmus sp. PABB004]
OG0001232	PSC75806.1 citrate _Si_-synthase [Micractinium conductrix], PSC76850.1 citrate synthase [Micractinium conductrix]	KAF8068197.1 CSY3 [Scenedesmus sp. PABB004]
OG0001233	PSC75978.1 Transmembrane 9 superfamily member 4 [Micractinium conductrix]	KAF8069410.1 TMN11 [Scenedesmus sp. PABB004]
OG0001234	PSC74723.1 Tctex1 domain-containing 2 [Micractinium conductrix]	KAF8057651.1 hypothetical protein HT031_006000 [Scenedesmus sp. PABB004]
OG0001235	PSC68896.1 DNAJ family chaperone [Micractinium conductrix]	KAF8057725.1 hypothetical protein HT031_005909 [Scenedesmus sp. PABB004]
OG0001236	PSC68811.1 dihydrolipoyl mitochondrial-like [Micractinium conductrix], PSC74380.1 Dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix], PSC68781.1 dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix]	KAF8065590.1 hypothetical protein HT031_003191 [Scenedesmus sp. PABB004]
OG0001237	PSC72478.1 Nef-associated 1 [Micractinium conductrix]	KAF8058847.1 CPK10 [Scenedesmus sp. PABB004]
OG0001238	PSC67052.1 dnaJ ERDJ2A [Micractinium conductrix], PSC67006.1 dnaJ ERDJ2A_ partial [Micractinium conductrix], PSC67296.1 dnaJ ERDJ2A [Micractinium conductrix]	KAF8055125.1 ERDJ2A [Scenedesmus sp. PABB004]
OG0001240	PSC71226.1 AGC PKA kinase [Micractinium conductrix]	KAF8064529.1 egl-4 [Scenedesmus sp. PABB004]
OG0001241	PSC69950.1 hypothetical protein C2E20_6616 [Micractinium conductrix]	KAF8073125.1 hypothetical protein HT031_000786 [Scenedesmus sp. PABB004]
OG0001242	PSC67247.1 Site-1 isoform 2 [Micractinium conductrix]	KAF8072790.1 SBT6.1 [Scenedesmus sp. PABB004]
OG0001243	PSC67826.1 isocitrate NADP-dependent [Micractinium conductrix], PSC67816.1 isocitrate NADP-dependent [Micractinium conductrix], PSC67246.1 isocitrate NADP-dependent [Micractinium conductrix]	KAF8061307.1 hypothetical protein HT031_004398 [Scenedesmus sp. PABB004]
OG0001244	PSC74818.1 glyoxal reductase-like [Micractinium conductrix], PSC75258.1 Aldo keto reductase [Micractinium conductrix]	KAF8067170.1 hypothetical protein HT031_002217 [Scenedesmus sp. PABB004]
OG0001245	PSC70954.1 transcription factor MYB44-like isoform C [Micractinium conductrix], PSC70953.1 transcription factor MYB44-like isoform B [Micractinium conductrix], PSC70955.1 transcription factor MYB44-like isoform A [Micractinium conductrix]	KAF8071241.1 Kcnt2 [Scenedesmus sp. PABB004]
OG0001246	PSC73885.1 glutamyl-tRNA synthetase [Micractinium conductrix]	KAF8056743.1 glutamate--tRNA ligase [Scenedesmus sp. PABB004]
OG0001247	PSC70451.1 Serine palmitoyltransferase 2 [Micractinium conductrix]	KAF8071240.1 sulfite exporter TauE/SafE family protein 5 [Scenedesmus sp. PABB004], KAF8068213.1 sulfite exporter TauE/SafE family protein 2 [Scenedesmus sp. PABB004]
OG0001248	PSC70281.1 E3 ubiquitin-ligase UPL3-like isoform B [Micractinium conductrix], PSC70280.1 E3 ubiquitin-ligase UPL3-like isoform A [Micractinium conductrix]	KAF8072982.1 UPL3 [Scenedesmus sp. PABB004]
OG0001249	PSC70026.1 putative 2-oxoglutarate-dependent dioxygenase [Micractinium conductrix], PSC75554.1 Adenine guanine permease AZG1 [Micractinium conductrix]	KAF8055390.1 hypothetical protein HT031_006757 [Scenedesmus sp. PABB004]
OG0001251	PSC75346.1 heme peroxidase-related [Micractinium conductrix]	KAF8069457.1 CCR1 [Scenedesmus sp. PABB004]
OG0001252	PSC71423.1 26S proteasome non-ATPase regulatory subunit 10 [Micractinium conductrix]	KAF8057281.1 SP1 [Scenedesmus sp. PABB004]
OG0001253	PSC74672.1 nucleosome assembly [Micractinium conductrix]	KAF8061895.1 NAP1 [Scenedesmus sp. PABB004], KAF8057726.1 NAP1 [Scenedesmus sp. PABB004]
OG0001255	PSC74804.1 hypothetical protein C2E20_2398 [Micractinium conductrix]	KAF8055114.1 APUM1 [Scenedesmus sp. PABB004]
OG0001257	PSC71632.1 sulfotransferase [Micractinium conductrix], PSC71617.1 dihydroneopterin aldolase [Micractinium conductrix]	KAF8066201.1 FOLB1 [Scenedesmus sp. PABB004]
OG0001260	PSC74198.1 universal stress -like isoform X1 [Micractinium conductrix], PSC72425.1 universal stress [Micractinium conductrix]	KAF8068226.1 hypothetical protein HT031_001912 [Scenedesmus sp. PABB004]
OG0001262	PSC69114.1 putative methyltransferase chloroplastic [Micractinium conductrix], PSC67139.1 putative methyltransferase chloroplastic_ partial [Micractinium conductrix]	KAF8072844.1 methyltransferase [Scenedesmus sp. PABB004]
OG0001263	PSC71100.1 putative DNA-3-methyladenine glycosylase 2 [Micractinium conductrix]	KAF8061401.1 hypothetical protein HT031_004492 [Scenedesmus sp. PABB004], KAF8072463.1 olpB [Scenedesmus sp. PABB004]
OG0001264	PSC72101.1 tropinone reductase-like protein [Micractinium conductrix]	KAF8057775.1 tropinone reductase [Scenedesmus sp. PABB004], KAF8057855.1 tropinone reductase-like protein [Scenedesmus sp. PABB004]
OG0001266	PSC73878.1 ATP-binding cassette sub-family A member 3 [Micractinium conductrix]	KAF8072728.1 Abca17 [Scenedesmus sp. PABB004]
OG0001267	PSC76634.1 retinitis pigmentosa 1-like 1 [Micractinium conductrix]	KAF8062806.1 hypothetical protein HT031_004136 [Scenedesmus sp. PABB004]
OG0001268	PSC68232.1 Interferon-related developmental regulator 1 [Micractinium conductrix]	KAF8062638.1 ssr1 [Scenedesmus sp. PABB004]
OG0001269	PSC68120.1 Methyltransferase type 11 [Micractinium conductrix], PSC68913.1 CMV 1a interacting 1 [Micractinium conductrix]	KAF8064673.1 hypothetical protein HT031_003475 [Scenedesmus sp. PABB004]
OG0001270	PSC75395.1 hypothetical protein C2E20_0976 [Micractinium conductrix]	KAF8065840.1 IPCS1 [Scenedesmus sp. PABB004]
OG0001271	PSC72100.1 MFS general substrate transporter [Micractinium conductrix]	KAF8063664.1 hypothetical protein HT031_003519 [Scenedesmus sp. PABB004], KAF8068333.1 hypothetical protein HT031_002021 [Scenedesmus sp. PABB004]
OG0001274	PSC67456.1 sucrose phosphatase [Micractinium conductrix]	KAF8063646.1 SPP2 [Scenedesmus sp. PABB004], KAF8054588.1 SPP2 [Scenedesmus sp. PABB004], KAF8063648.1 SPP1 [Scenedesmus sp. PABB004]
OG0001275	PSC72876.1 trafficking particle complex subunit 8 [Micractinium conductrix]	KAF8060052.1 TRAPPC8 [Scenedesmus sp. PABB004]
OG0001276	PSC67198.1 mitochondrial-targeted muts 1_ partial [Micractinium conductrix], PSC67590.1 mitochondrial-targeted muts 1_ partial [Micractinium conductrix], PSC67200.1 mitochondrial-targeted muts 1 [Micractinium conductrix], PSC73121.1 DNA mismatch repair mitochondrial isoform X1_ partial [Micractinium conductrix], PSC73187.1 DNA mismatch repair mitochondrial isoform X2 [Micractinium conductrix]	KAF8065884.1 MSH1 [Scenedesmus sp. PABB004]
OG0001277	PSC68605.1 polyketide cyclase [Micractinium conductrix], PSC68426.1 S-adenosyl-L-methionine-dependent methyltransferase [Micractinium conductrix]	KAF8063702.1 hypothetical protein HT031_003557 [Scenedesmus sp. PABB004]
OG0001278	PSC76023.1 sodium hydrogen exchanger 2-like [Micractinium conductrix], PSC68149.1 sodium hydrogen exchanger 4 [Micractinium conductrix]	KAF8069528.1 NHX2 [Scenedesmus sp. PABB004]
OG0001281	PSC71857.1 short-chain dehydrogenase TIC chloroplastic-like [Micractinium conductrix], PSC68474.1 WW domain-containing oxidoreductase [Micractinium conductrix], PSC68042.1 short-chain dehydrogenase reductase SDR [Micractinium conductrix]	KAF8058415.1 TIC32 [Scenedesmus sp. PABB004]
OG0001285	PSC68522.1 Alpha-ketoglutarate permease isoform A [Micractinium conductrix]	KAF8067131.1 proP [Scenedesmus sp. PABB004], KAF8062751.1 kgtP [Scenedesmus sp. PABB004], KAF8068166.1 shiA [Scenedesmus sp. PABB004]
OG0001287	PSC71016.1 cysteine desulfurase [Micractinium conductrix]	KAF8054899.1 APY5 [Scenedesmus sp. PABB004], KAF8061939.1 SWEET6B [Scenedesmus sp. PABB004]
OG0001292	PSC76967.1 CTR type copper ion transporter [Micractinium conductrix]	KAF8065742.1 p80 [Scenedesmus sp. PABB004]
OG0001293	PSC74075.1 aluminum-activated malate transporter 10 [Micractinium conductrix], PSC74230.1 acetolactate synthase [Micractinium conductrix]	KAF8062102.1 hypothetical protein HT031_004362 [Scenedesmus sp. PABB004]
OG0001294	PSC68181.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC75155.1 MMPL family isoform A [Micractinium conductrix], PSC75156.1 MMPL family isoform B [Micractinium conductrix], PSC73377.1 mfs dha1 multidrug resistance [Micractinium conductrix], PSC71956.1 4 -phosphopantetheinyl transferase [Micractinium conductrix]	KAF8061146.1 sulfite exporter TauE/SafE family protein 2 [Scenedesmus sp. PABB004]
OG0001295	PSC74216.1 ubiquitin specific peptidase 24 isoform B [Micractinium conductrix], PSC74217.1 ubiquitin specific peptidase 24 isoform A [Micractinium conductrix]	KAF8063828.1 USP24 [Scenedesmus sp. PABB004]
OG0001297	PSC71740.1 hypothetical protein C2E20_4900 [Micractinium conductrix]	KAF8056101.1 hypothetical protein HT031_006452 [Scenedesmus sp. PABB004], KAF8057772.1 hypothetical protein HT031_005956 [Scenedesmus sp. PABB004]
OG0001299	PSC67424.1 chromosome segregation SMC [Micractinium conductrix]	KAF8068204.1 smc [Scenedesmus sp. PABB004]
OG0001305	PSC72844.1 septin-10-isoform B [Micractinium conductrix], PSC72843.1 septin-10-isoform A [Micractinium conductrix]	KAF8071060.1 hypothetical protein HT031_001142 [Scenedesmus sp. PABB004]
OG0001306	PSC72093.1 hypothetical protein C2E20_4506 [Micractinium conductrix]	KAF8061091.1 RAF1 [Scenedesmus sp. PABB004]
OG0001307	PSC69084.1 magnesium chelatase subunit H isoform A [Micractinium conductrix]	KAF8057100.1 hypothetical protein HT031_006109 [Scenedesmus sp. PABB004]
OG0001308	PSC72151.1 prolyl-tRNA synthetase [Micractinium conductrix]	KAF8062768.1 OVA6 [Scenedesmus sp. PABB004]
OG0001309	PSC72123.1 putative splicing factor 3A subunit 1 [Micractinium conductrix]	KAF8057121.1 splicing factor 3A subunit 1 [Scenedesmus sp. PABB004]
OG0001310	PSC69138.1 Serine-threonine kinase receptor-associated [Micractinium conductrix]	KAF8066254.1 strap [Scenedesmus sp. PABB004]
OG0001311	PSC72180.1 AP-4 complex subunit epsilon [Micractinium conductrix]	KAF8060347.1 AP-4 complex subunit epsilon [Scenedesmus sp. PABB004]
OG0001312	PSC68794.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Micractinium conductrix]	KAF8057238.1 LAF3 [Scenedesmus sp. PABB004]
OG0001313	PSC72140.1 phosphoacetylglucosamine mutase [Micractinium conductrix]	KAF8061373.1 PGM3 [Scenedesmus sp. PABB004]
OG0001314	PSC72268.1 tetratricopeptide repeat 4-like protein [Micractinium conductrix]	KAF8072387.1 ttc4 [Scenedesmus sp. PABB004]
OG0001315	PSC74084.1 DNA damage-inducible 1-like [Micractinium conductrix]	KAF8072529.1 hypothetical protein HT031_000189 [Scenedesmus sp. PABB004]
OG0001316	PSC74340.1 Chaperone dnaJ 13 isoform A [Micractinium conductrix], PSC74339.1 Chaperone dnaJ 13 isoform B [Micractinium conductrix]	KAF8064508.1 ATJ13 [Scenedesmus sp. PABB004]
OG0001318	PSC70338.1 tyrosine-tRNA cytoplasmic-like [Micractinium conductrix]	KAF8060281.1 tyrosine--tRNA ligase 1 [Scenedesmus sp. PABB004]
OG0001319	PSC72660.1 exportin-7 isoform X2 isoform A [Micractinium conductrix], PSC72659.1 exportin-7 isoform X2 isoform B [Micractinium conductrix]	KAF8061166.1 XPO7 [Scenedesmus sp. PABB004]
OG0001320	PSC74309.1 DNA primase large subunit [Micractinium conductrix], PSC74333.1 putative DNA primase large subunit [Micractinium conductrix]	KAF8060629.1 DNA primase large subunit [Scenedesmus sp. PABB004]
OG0001321	PSC74205.1 lipase class 3 family isoform B [Micractinium conductrix], PSC74204.1 lipase class 3 family isoform A [Micractinium conductrix]	KAF8056232.1 IPL1 [Scenedesmus sp. PABB004]
OG0001322	PSC74103.1 mitogen-activated kinase kinase kinase NPK1-like [Micractinium conductrix]	KAF8069697.1 NPK1 [Scenedesmus sp. PABB004]
OG0001323	PSC71696.1 CLIP-associated -like isoform A [Micractinium conductrix], PSC71695.1 CLIP-associated -like isoform B [Micractinium conductrix]	KAF8062702.1 clasp1b [Scenedesmus sp. PABB004]
OG0001324	PSC72646.1 expressed protein isoform B [Micractinium conductrix], PSC72645.1 expressed protein isoform A [Micractinium conductrix]	KAF8058098.1 hypothetical protein HT031_005758 [Scenedesmus sp. PABB004]
OG0001325	PSC73307.1 casein kinase I isoform delta-like [Micractinium conductrix]	KAF8067397.1 CKL12 [Scenedesmus sp. PABB004]
OG0001326	PSC68524.1 hypothetical protein C2E20_7913 [Micractinium conductrix]	KAF8072646.1 hypothetical protein HT031_000306 [Scenedesmus sp. PABB004]
OG0001327	PSC68057.1 cation symporter [Micractinium conductrix], PSC68012.1 hypothetical protein C2E20_8356 [Micractinium conductrix]	KAF8055839.1 hypothetical protein HT031_006614 [Scenedesmus sp. PABB004]
