Orthogroup	Micractinium_SAG24180	Chlorella_KRBP
OG0000898	PSC72964.1 N-acetyltransferase 10 isoform A [Micractinium conductrix], PSC72965.1 N-acetyltransferase 10 isoform B [Micractinium conductrix]	QAXK01003876.1_5991-120
OG0000899	PSC74602.1 Eukaryotic translation initiation factor 3 subunit C [Micractinium conductrix]	QAXK01013989.1_346-4178
OG0000908	PSC71768.1 Iron-sulfur assembly -like mitochondrial [Micractinium conductrix], PSC69380.1 3-hydroxyacyl-dehydrogenase [Micractinium conductrix], PSC71748.1 inactive serine protease 54 isoform X2 [Micractinium conductrix]	QAXK01003972.1_3812-4471
OG0000925	PSC73212.1 iron manganese superoxide alpha-hairpin domain [Micractinium conductrix], PSC71348.1 hypothetical protein C2E20_5234 [Micractinium conductrix], PSC73153.1 N-acetylgalactosamine kinase [Micractinium conductrix], PSC73526.1 hypothetical protein C2E20_3519 [Micractinium conductrix]	QAXK01005294.1_1798-325
OG0000926	PSC74335.1 microtubule organizing mora [Micractinium conductrix], PSC67998.1 microtubule associated [Micractinium conductrix]	QAXK01006171.1_11343-179
OG0000932	PSC77066.1 zinc finger CCHC domain-containing 7-like [Micractinium conductrix], PSC76889.1 histidine biosynthesis bifunctional chloroplastic-like [Micractinium conductrix]	QAXK01003666.1_997-2479
OG0000934	PSC71384.1 glycosyltransferase family 2 [Micractinium conductrix]	QAXK01002301.1_12772-10269
OG0000936	PSC69552.1 Nitric oxide synthase-interacting [Micractinium conductrix], PSC75411.1 hypothetical protein C2E20_1400 isoform X1 [Micractinium conductrix]	QAXK01016824.1_8642-5783
OG0000942	PSC75316.1 S-acyltransferase 24 isoform X1 [Micractinium conductrix]	QAXK01000587.1_67122-65127
OG0000950	PSC69053.1 beta-galactosidase [Micractinium conductrix]	QAXK01002497.1_4221-184
OG0000953	PSC72680.1 COP9 signalosome complex subunit 2 [Micractinium conductrix]	QAXK01003575.1_2283-197
OG0000971	PSC74845.1 MAP3K epsilon kinase 1-like [Micractinium conductrix]	QAXK01002117.1_8261-6549
OG0000972	PSC71939.1 NADH dehydrogenase [ubiquinone] flavo mitochondrial [Micractinium conductrix]	QAXK01000705.1_20067-23668
OG0000974	PSC71864.1 DEAD-box ATP-dependent RNA helicase 37-like [Micractinium conductrix]	QAXK01004234.1_3012-6646
OG0000975	PSC67138.1 long-chain acyl-synthetase 7_ partial [Micractinium conductrix], PSC69107.1 Long chain acyl-synthetase peroxisomal [Micractinium conductrix]	QAXK01000204.1_17480-21863
OG0000993	PSC73912.1 Argininosuccinate synthase [Micractinium conductrix]	QAXK01000283.1_5726-3204
OG0001052	PSC72803.1 hypothetical protein C2E20_4083 [Micractinium conductrix]	QAXK01004375.1_5952-7899
OG0001054	PSC68802.1 mitochondrial dicarboxylate tricarboxylate transporter DTC [Micractinium conductrix]	QAXK01011306.1_4473-2613
OG0001058	PSC73538.1 plant UBX domain-containing 2 [Micractinium conductrix]	QAXK01006232.1_3779-3289
OG0001060	PSC74143.1 DEAD-box ATP-dependent RNA helicase 15-like isoform X1 [Micractinium conductrix]	QAXK01001037.1_5070-1976
OG0001061	PSC67655.1 40S ribosomal S3a-2 [Micractinium conductrix]	QAXK01005753.1_2076-3799
OG0001062	PSC74221.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform B [Micractinium conductrix], PSC74222.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform A [Micractinium conductrix]	QAXK01000341.1_1318-5933
OG0001063	PSC68783.1 water dikinase [Micractinium conductrix]	QAXK01005942.1_10013-5629
OG0001064	PSC74236.1 Signal peptide peptidase 2 isoform B [Micractinium conductrix], PSC74237.1 Signal peptide peptidase 2 isoform A [Micractinium conductrix]	QAXK01004812.1_12403-13506
OG0001072	PSC76713.1 ribosome biogenesis BMS1-like protein [Micractinium conductrix]	QAXK01000429.1_50912-41458
OG0001074	PSC70807.1 S-adenosylmethionine synthetase [Micractinium conductrix]	QAXK01000217.1_8076-10531
OG0001079	PSC76368.1 Pantothenate kinase 2 isoform B [Micractinium conductrix], PSC76369.1 Pantothenate kinase 2 isoform A [Micractinium conductrix]	QAXK01000446.1_57156-52957
OG0001088	PSC69449.1 60S ribosomal L18a-2 [Micractinium conductrix]	QAXK01002175.1_7346-5749
OG0001094	PSC75650.1 Galactokinase [Micractinium conductrix]	QAXK01001089.1_6956-8023
OG0001095	PSC74835.1 eukaryotic translation initiation factor 5-like [Micractinium conductrix]	QAXK01000217.1_13973-11099
OG0001096	PSC75165.1 meiotic nuclear division 1-like protein [Micractinium conductrix]	QAXK01005613.1_12658-11106
OG0001099	PSC75301.1 DNA-directed RNA polymerases IV and V subunit 3 [Micractinium conductrix]	QAXK01001823.1_3618-2631
OG0001101	PSC67004.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC69167.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67136.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67171.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix]	QAXK01003836.1_8909-3187
OG0001103	PSC68332.1 Transmembrane 9 superfamily member 4 [Micractinium conductrix]	QAXK01003163.1_8178-11099
OG0001105	PSC73962.1 OPI10-like protein isoform A [Micractinium conductrix], PSC73963.1 OPI10-like protein isoform B [Micractinium conductrix], PSC74321.1 hypothetical protein C2E20_2762 [Micractinium conductrix], PSC73995.1 hypothetical protein C2E20_2765 [Micractinium conductrix]	QAXK01006902.1_4861-6562
OG0001120	PSC74288.1 DNA-directed RNA polymerases IV and V subunit 11 [Micractinium conductrix]	QAXK01002607.1_494-808
OG0001122	PSC71053.1 regulator of nonsense transcripts UPF2 [Micractinium conductrix]	QAXK01010311.1_2932-555
OG0001123	PSC75131.1 cell division cycle 5 isoform B [Micractinium conductrix], PSC75132.1 cell division cycle 5 isoform A [Micractinium conductrix]	QAXK01007750.1_2281-4745
OG0001133	PSC72779.1 Elongation factor Tu [Micractinium conductrix]	QAXK01006196.1_4390-1589
OG0001143	PSC69429.1 DEFECTIVE IN EXINE FORMATION 1 [Micractinium conductrix]	QAXK01003700.1_2979-9653
OG0001144	PSC67657.1 Autophagy-related 3 [Micractinium conductrix]	QAXK01003900.1_2413-4929
OG0001154	PSC76409.1 transferase mitochondrial [Micractinium conductrix], PSC76928.1 transferase mitochondrial [Micractinium conductrix]	QAXK01011150.1_3959-2216
OG0001156	PSC68744.1 D-2-hydroxyglutarate mitochondrial isoform A [Micractinium conductrix], PSC68743.1 D-2-hydroxyglutarate mitochondrial isoform B [Micractinium conductrix]	QAXK01018601.1_3296-410
OG0001158	PSC68656.1 sulfite reductase isoform B [Micractinium conductrix], PSC68657.1 sulfite reductase isoform A [Micractinium conductrix]	QAXK01006945.1_6596-10279
OG0001161	PSC76021.1 thylakoid lumenal kDa chloroplastic [Micractinium conductrix]	QAXK01004407.1_7887-8977
OG0001166	PSC68244.1 NAD_P_-binding domain [Micractinium conductrix]	QAXK01009825.1_846-2644
OG0001171	PSC70293.1 translation initiation factor eIF-2B subunit delta [Micractinium conductrix]	QAXK01006983.1_10356-12388
OG0001176	PSC76849.1 glycine cleavage T [Micractinium conductrix]	QAXK01004323.1_8147-5874
OG0001180	PSC71673.1 V-type proton ATPase subunit D-like [Micractinium conductrix]	QAXK01019295.1_3574-2070
OG0001194	PSC71080.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform A [Micractinium conductrix], PSC71081.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform B [Micractinium conductrix]	QAXK01001649.1_8862-4505
OG0001201	PSC68410.1 acetolactate synthase isoform A [Micractinium conductrix], PSC68409.1 acetolactate synthase isoform B [Micractinium conductrix]	QAXK01000596.1_10252-6748
OG0001208	PSC72447.1 hypothetical protein C2E20_4214 isoform B [Micractinium conductrix], PSC72446.1 hypothetical protein C2E20_4214 isoform A [Micractinium conductrix]	QAXK01012769.1_10100-9091
OG0001214	PSC75534.1 125 kDa kinesin-related-like protein [Micractinium conductrix]	QAXK01012739.1_10679-8642
OG0001216	PSC73320.1 motile sperm domain-containing 2 [Micractinium conductrix]	QAXK01001490.1_17280-15927
OG0001219	PSC68800.1 kinesin-13A-like isoform X1 [Micractinium conductrix]	QAXK01008035.1_3747-6912
OG0001221	PSC67454.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform A [Micractinium conductrix], PSC67455.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform B [Micractinium conductrix]	QAXK01001061.1_17190-18239
OG0001223	PSC73785.1 pre-mRNA-splicing factor CWC22-like protein [Micractinium conductrix]	QAXK01005846.1_3896-588
OG0001225	PSC73192.1 Ribosomal L35Ae family isoform 1 [Micractinium conductrix], PSC72947.1 Major facilitator superfamily domain-containing 6 [Micractinium conductrix]	QAXK01000732.1_2978-2655
OG0001229	PSC74360.1 WD repeat-containing LWD1 isoform B [Micractinium conductrix], PSC74361.1 WD repeat-containing LWD1 isoform A [Micractinium conductrix]	QAXK01016063.1_5569-3270
OG0001231	PSC70899.1 Ras-related Rab7 [Micractinium conductrix], PSC70894.1 ras-related Rab7 [Micractinium conductrix]	QAXK01000362.1_21408-20438
OG0001236	PSC68811.1 dihydrolipoyl mitochondrial-like [Micractinium conductrix], PSC74380.1 Dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix], PSC68781.1 dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix]	QAXK01000513.1_15183-11736
OG0001242	PSC67247.1 Site-1 isoform 2 [Micractinium conductrix]	QAXK01004645.1_1487-5075
OG0001246	PSC73885.1 glutamyl-tRNA synthetase [Micractinium conductrix]	QAXK01010639.1_8900-15142
OG0001248	PSC70281.1 E3 ubiquitin-ligase UPL3-like isoform B [Micractinium conductrix], PSC70280.1 E3 ubiquitin-ligase UPL3-like isoform A [Micractinium conductrix]	QAXK01010718.1_75-1989
OG0001264	PSC72101.1 tropinone reductase-like protein [Micractinium conductrix]	QAXK01001653.1_329-2259
OG0001279	PSC76678.1 Cyclic nucleotide-gated ion channel 1 [Micractinium conductrix]	QAXK01000624.1_32528-30577
OG0001307	PSC69084.1 magnesium chelatase subunit H isoform A [Micractinium conductrix]	QAXK01005917.1_319-7230
OG0001308	PSC72151.1 prolyl-tRNA synthetase [Micractinium conductrix]	QAXK01006084.1_8922-13556
OG0001309	PSC72123.1 putative splicing factor 3A subunit 1 [Micractinium conductrix]	QAXK01004533.1_5070-10667
OG0001310	PSC69138.1 Serine-threonine kinase receptor-associated [Micractinium conductrix]	QAXK01002895.1_5020-6663
OG0001311	PSC72180.1 AP-4 complex subunit epsilon [Micractinium conductrix]	QAXK01001613.1_2521-6885
OG0001312	PSC68794.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Micractinium conductrix]	QAXK01003510.1_1900-3653
OG0001313	PSC72140.1 phosphoacetylglucosamine mutase [Micractinium conductrix]	QAXK01001184.1_9548-5781
OG0001314	PSC72268.1 tetratricopeptide repeat 4-like protein [Micractinium conductrix]	QAXK01001944.1_3765-1753
OG0001316	PSC74340.1 Chaperone dnaJ 13 isoform A [Micractinium conductrix], PSC74339.1 Chaperone dnaJ 13 isoform B [Micractinium conductrix]	QAXK01006921.1_16832-14836
OG0001317	PSC67181.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67177.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67049.1 proliferation-associated 2G4-like [Micractinium conductrix], PSC67649.1 proliferation-associated 2G4 [Micractinium conductrix]	QAXK01010058.1_4279-1636
OG0001318	PSC70338.1 tyrosine-tRNA cytoplasmic-like [Micractinium conductrix]	QAXK01001801.1_7866-9916
OG0001320	PSC74309.1 DNA primase large subunit [Micractinium conductrix], PSC74333.1 putative DNA primase large subunit [Micractinium conductrix]	QAXK01000167.1_14384-11911
OG0001328	PSC76271.1 tryptophan synthase beta chain 1 [Micractinium conductrix]	QAXK01006882.1_17133-19836
OG0001331	PSC76567.1 glycosyltransferase family 32 [Micractinium conductrix], PSC76571.1 glycosyltransferase family 32 [Micractinium conductrix]	QAXK01009171.1_15170-12352
OG0001332	PSC76421.1 eukaryotic translation initiation factor 3 subunit L-like [Micractinium conductrix]	QAXK01004338.1_10706-15436
OG0001334	PSC76969.1 DEAD-box ATP-dependent RNA helicase 13 [Micractinium conductrix]	QAXK01003133.1_258-4577
OG0001338	PSC75305.1 carbon catabolite repressor 4-like protein 1 [Micractinium conductrix]	QAXK01002293.1_4021-8056
OG0001340	PSC71802.1 Diaminopimelate chloroplastic [Micractinium conductrix]	QAXK01004523.1_6228-4685
OG0001342	PSC72970.1 NPL4 1 [Micractinium conductrix]	QAXK01003268.1_11937-16935
OG0001343	PSC76155.1 Gamma-tubulin complex component 2 [Micractinium conductrix]	QAXK01000799.1_6873-2057
OG0001353	PSC69405.1 D-amino-acid chloroplastic-like [Micractinium conductrix]	QAXK01011632.1_4873-7912
OG0001356	PSC74315.1 Fanconi anemia group M isoform X1 [Micractinium conductrix]	QAXK01003307.1_27135-26267
OG0001360	PSC75633.1 bifunctional 3-dehydroquinate dehydratase shikimate dehydrogenase_ chloroplastic-like [Micractinium conductrix]	QAXK01001741.1_6153-8648
OG0001363	PSC73094.1 prolyl-tRNA synthetase [Micractinium conductrix]	QAXK01003747.1_13973-10331
OG0001365	PSC71050.1 ARM REPEAT PROTEIN INTERACTING WITH ABF2-like isoform A [Micractinium conductrix], PSC71051.1 ARM REPEAT PROTEIN INTERACTING WITH ABF2-like isoform B [Micractinium conductrix]	QAXK01000515.1_20837-25236
OG0001366	PSC72714.1 IMPACT isoform X1 [Micractinium conductrix]	QAXK01004846.1_20461-19235
OG0001370	PSC70608.1 3-dehydroquinate synthase [Micractinium conductrix]	QAXK01000381.1_4423-6771
OG0001374	PSC74239.1 ADP-ribosylation factor 8 [Micractinium conductrix]	QAXK01013224.1_5335-6988
OG0001375	PSC71119.1 Rae1 [Micractinium conductrix]	QAXK01005120.1_8361-10056
OG0001376	PSC75073.1 ubiquitin-conjugating enzyme E2 32 [Micractinium conductrix]	QAXK01019935.1_413-1820
OG0001381	PSC72879.1 aggrecan core [Micractinium conductrix], PSC70599.1 argininosuccinate lyase [Micractinium conductrix]	QAXK01000172.1_6135-2748
OG0001382	PSC74142.1 structural maintenance of chromosomes 2-1-like [Micractinium conductrix]	QAXK01001066.1_8917-1138
OG0001383	PSC74003.1 DNA gyrase subunit A [Micractinium conductrix]	QAXK01003326.1_3639-1243
OG0001385	PSC70487.1 DNA topoisomerase 6 subunit B isoform A [Micractinium conductrix], PSC70486.1 DNA topoisomerase 6 subunit B isoform B [Micractinium conductrix]	QAXK01005279.1_10173-5871
OG0001388	PSC71287.1 DEAD-box ATP-dependent RNA helicase 29 [Micractinium conductrix]	QAXK01001208.1_10635-13964
OG0001393	PSC69314.1 cyclin-dependent kinase C-2-like isoform B [Micractinium conductrix], PSC69315.1 cyclin-dependent kinase C-2-like isoform A [Micractinium conductrix]	QAXK01005917.1_17047-13738
OG0001397	PSC69662.1 suppressor of mec-8 and unc-52-like protein 1 isoform A [Micractinium conductrix], PSC69661.1 suppressor of mec-8 and unc-52-like protein 1 isoform B [Micractinium conductrix]	QAXK01000502.1_39339-43298
OG0001398	PSC68209.1 cysteine desulfurase chloroplastic-like [Micractinium conductrix]	QAXK01003277.1_3770-8
OG0001400	PSC73498.1 Coiled-coil domain-containing 25 [Micractinium conductrix]	QAXK01001993.1_28544-29840
OG0001401	PSC75971.1 PITH domain-containing protein [Micractinium conductrix]	QAXK01010276.1_2943-1867
OG0001406	PSC69052.1 Proteasome subunit beta type-5-B [Micractinium conductrix]	QAXK01000595.1_2983-1676
OG0001408	PSC71723.1 exportin-1-like isoform X2 [Micractinium conductrix]	QAXK01000367.1_8675-18356
OG0001409	PSC69600.1 S-adenosyl-L-methionine-dependent [Micractinium conductrix]	QAXK01004930.1_4250-5628
OG0001417	PSC70973.1 threonine synthase [Micractinium conductrix]	QAXK01005381.1_315-2273
OG0001420	PSC67932.1 14 kDa zinc-binding isoform A [Micractinium conductrix], PSC67931.1 14 kDa zinc-binding isoform B [Micractinium conductrix]	QAXK01000297.1_21777-22493
OG0001424	PSC70990.1 homoserine kinase [Micractinium conductrix], PSC67769.1 homoserine kinase [Micractinium conductrix]	QAXK01001628.1_9434-11057
OG0001425	PSC67532.1 anthranilate synthase component II [Micractinium conductrix]	QAXK01003581.1_2363-4183
OG0001426	PSC73537.1 pre-mRNA-processing-splicing factor 8 [Micractinium conductrix]	QAXK01005880.1_1-9276
OG0001428	PSC76771.1 putative transmembrane GTPase FZO-chloroplastic [Micractinium conductrix]	QAXK01000837.1_14096-17956
OG0001431	PSC67405.1 Quino amine beta chain-like RIC1-like guanyl-nucleotide exchange factor [Micractinium conductrix]	QAXK01013424.1_6153-1945
OG0001432	PSC71314.1 adrenodoxin mitochondrial isoform A [Micractinium conductrix], PSC71313.1 adrenodoxin mitochondrial isoform B [Micractinium conductrix]	QAXK01000224.1_16848-15439
OG0001445	PSC69229.1 Nucleolar GTP-binding 1 [Micractinium conductrix]	QAXK01000732.1_11950-7418
OG0001455	PSC76848.1 carotene epsilon-chloroplastic [Micractinium conductrix]	QAXK01001576.1_5934-8651
OG0001456	PSC74832.1 pre-mRNA-processing 40A [Micractinium conductrix]	QAXK01006785.1_1906-1226
OG0001460	PSC76987.1 50S ribosomal chloroplastic [Micractinium conductrix]	QAXK01015424.1_3358-1233
OG0001462	PSC76172.1 transport SEC31-like protein B isoform A [Micractinium conductrix], PSC76171.1 transport SEC31-like protein B isoform B [Micractinium conductrix]	QAXK01002112.1_6014-14709
OG0001465	PSC75675.1 Dihydroorotate dehydrogenase _quinone__ mitochondrial isoform B [Micractinium conductrix], PSC75676.1 Dihydroorotate dehydrogenase _quinone__ mitochondrial isoform A [Micractinium conductrix]	QAXK01006322.1_7890-11183
OG0001469	PSC75943.1 peroxisome biogenesis factor 10 [Micractinium conductrix]	QAXK01007783.1_10721-12010
OG0001473	PSC73333.1 dna-binding horma domain-containing [Micractinium conductrix]	QAXK01003650.1_4575-2929
OG0001476	PSC76084.1 Conserved oligomeric Golgi complex subunit 6 [Micractinium conductrix]	QAXK01001134.1_7136-9582
OG0001477	PSC73250.1 A G-specific adenine DNA glycosylase [Micractinium conductrix]	QAXK01003160.1_17527-15091
OG0001480	PSC76147.1 putative mitochondrial intermediate mitochondrial [Micractinium conductrix]	QAXK01000632.1_24086-22557
OG0001482	PSC72085.1 non-discriminatory gln-glu-trna synthetase [Micractinium conductrix]	QAXK01000159.1_14204-11398
OG0001488	PSC74028.1 ubiquitin carboxyl-terminal hydrolase 5 isoform X1 [Micractinium conductrix]	QAXK01004286.1_7784-2904
OG0001492	PSC72172.1 NAD_P_-binding Rossmann-fold superfamily [Micractinium conductrix]	QAXK01003809.1_2040-4733
OG0001493	PSC67480.1 Ribonucleoside-diphosphate reductase large subunit [Micractinium conductrix]	QAXK01001201.1_5367-10319
OG0001503	PSC76738.1 CF0 ATP synthase subunit II precursor [Micractinium conductrix]	QAXK01001163.1_27767-28960
OG0001506	PSC75204.1 50S ribosomal chloroplastic [Micractinium conductrix]	QAXK01000137.1_3425-4331
OG0001508	PSC69458.1 Nucleolar 14 isoform A [Micractinium conductrix], PSC69457.1 Nucleolar 14 isoform B [Micractinium conductrix]	QAXK01001982.1_904-3015
OG0001514	PSC72024.1 Cytochrome c1-heme mitochondrial [Micractinium conductrix]	QAXK01003231.1_16625-14068
OG0001526	PSC74796.1 aspartate-tRNA ligase [Micractinium conductrix]	QAXK01019948.1_5388-2969
OG0001527	PSC67294.1 Pre-mRNA-splicing factor 38B [Micractinium conductrix]	QAXK01013863.1_4654-1867
OG0001528	PSC72487.1 Nucleolar 10 [Micractinium conductrix]	QAXK01000325.1_37384-41123
OG0001529	PSC70583.1 60S ribosome subunit biogenesis NIP7 [Micractinium conductrix]	QAXK01004092.1_4427-5291
OG0001532	PSC68817.1 hypothetical protein C2E20_7624 [Micractinium conductrix], PSC67055.1 hypothetical protein C2E20_9274 [Micractinium conductrix]	QAXK01000782.1_11007-12134
OG0001533	PSC73273.1 splicing factor 3A subunit 3 [Micractinium conductrix]	QAXK01000265.1_17007-12444
OG0001534	PSC69389.1 ATP-dependent RNA helicase dhx8 [Micractinium conductrix]	QAXK01000695.1_5671-2183
OG0001538	PSC70890.1 COP9 signalosome complex subunit 1 [Micractinium conductrix]	QAXK01009353.1_4260-348
OG0001542	PSC75562.1 ALA-interacting subunit 3 [Micractinium conductrix]	QAXK01011884.1_2510-4036
OG0001544	PSC76276.1 thiamine pyrophosphokinase1 [Micractinium conductrix]	QAXK01002332.1_5291-4007
OG0001545	PSC71522.1 arginine N-methyltransferase [Micractinium conductrix], PSC71639.1 arginine N-methyltransferase [Micractinium conductrix]	QAXK01000350.1_22889-27018
OG0001546	PSC71008.1 Glycoprotease 1 isoform 1 [Micractinium conductrix]	QAXK01011857.1_1226-3209
OG0001548	PSC68537.1 DUF3531 domain-containing [Micractinium conductrix]	QAXK01001795.1_1688-3314
OG0001549	PSC68752.1 H ACA ribonucleo complex subunit 4 [Micractinium conductrix], PSC74781.1 H ACA ribonucleo complex subunit 4 [Micractinium conductrix]	QAXK01005406.1_4717-2509
OG0001550	PSC68525.1 ABC transporter E family member 2 [Micractinium conductrix]	QAXK01004537.1_7009-1449
OG0001551	PSC76515.1 regulation of nuclear pre-mRNA domain-containing 1B-like isoform B [Micractinium conductrix], PSC76516.1 regulation of nuclear pre-mRNA domain-containing 1B-like isoform A [Micractinium conductrix]	QAXK01006072.1_19473-19787
OG0001554	PSC71409.1 hypothetical protein C2E20_5335 [Micractinium conductrix]	QAXK01001638.1_7681-11612
OG0001561	PSC74685.1 U4 U6 small nuclear ribonucleo Prp3-like [Micractinium conductrix]	QAXK01003228.1_3995-6597
OG0001562	PSC71260.1 glutamate-rich WD repeat-containing 1-like [Micractinium conductrix]	QAXK01000869.1_5647-9196
OG0001571	PSC74516.1 Kinesin-II 95 kDa subunit [Micractinium conductrix]	QAXK01005898.1_15715-20620
OG0001573	PSC76020.1 alpha beta-hydrolase [Micractinium conductrix]	QAXK01001714.1_23807-22483
OG0001575	PSC75967.1 Methionine aminopeptidase 1D_ chloroplastic mitochondrial [Micractinium conductrix]	QAXK01006456.1_5116-6698
OG0001576	PSC73392.1 Glyoxysomal fatty acid beta-oxidation multifunctional MFP-a [Micractinium conductrix], PSC67634.1 T9SS C-terminal target domain-containing [Micractinium conductrix]	QAXK01003511.1_8584-2188
OG0001579	PSC68452.1 tubulin gamma-2 chain [Micractinium conductrix], PSC68445.1 tubulin gamma-2 chain [Micractinium conductrix]	QAXK01000149.1_3007-205
OG0001581	PSC70570.1 cysteine desulfurase [Micractinium conductrix]	QAXK01003468.1_8146-4525
OG0001582	PSC67363.1 SNF1-related kinase regulatory subunit beta-2 isoform B [Micractinium conductrix], PSC67364.1 SNF1-related kinase regulatory subunit beta-2 isoform A [Micractinium conductrix]	QAXK01003110.1_3669-4960
OG0001592	PSC67240.1 AMP deaminase isoform B [Micractinium conductrix], PSC67241.1 AMP deaminase isoform A [Micractinium conductrix]	QAXK01004995.1_4321-153
OG0001595	PSC67942.1 DEAD-box ATP-dependent RNA helicase 38 isoform A [Micractinium conductrix], PSC67943.1 DEAD-box ATP-dependent RNA helicase 38 isoform B [Micractinium conductrix]	QAXK01003821.1_4511-8191
OG0001599	PSC68198.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67328.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67100.1 hypothetical protein C2E20_9217 [Micractinium conductrix]	QAXK01001163.1_31234-32344
OG0001602	PSC72926.1 translation factor-like [Micractinium conductrix]	QAXK01009112.1_2932-1649
OG0001606	PSC74911.1 Cysteinyl-tRNA synthetase [Micractinium conductrix]	QAXK01001551.1_37852-43451
OG0001618	PSC73775.1 beta-hydroxyacyl-ACP dehydratase [Micractinium conductrix]	QAXK01003579.1_4454-5700
OG0001620	PSC71659.1 kinase [Micractinium conductrix]	QAXK01004906.1_4885-7564
OG0001624	PSC76300.1 peroxisomal membrane 13 isoform B [Micractinium conductrix], PSC76299.1 peroxisomal membrane 13 isoform C [Micractinium conductrix], PSC76301.1 peroxisomal membrane 13 isoform A [Micractinium conductrix]	QAXK01001935.1_7191-6190
OG0001625	PSC70073.1 pyridoxamine 5 -phosphate oxidase isoform B [Micractinium conductrix], PSC70074.1 pyridoxamine 5 -phosphate oxidase isoform A [Micractinium conductrix]	QAXK01008598.1_11627-10467
OG0001666	PSC72061.1 transketolase [Micractinium conductrix]	QAXK01000648.1_7716-3949
OG0001670	PSC67716.1 glutamate-1-semialdehyde aminotransferase [Micractinium conductrix]	QAXK01001801.1_20671-18627
OG0001676	PSC74648.1 transportin-1 isoform X1 [Micractinium conductrix]	QAXK01000084.1_15952-9180
OG0001677	PSC77045.1 Cyclic pyranopterin monophosphate mitochondrial [Micractinium conductrix]	QAXK01006154.1_7199-4782
OG0001679	PSC74310.1 mitochondrial glyco [Micractinium conductrix]	QAXK01005586.1_4660-3715
OG0001681	PSC73466.1 putative phosphoribosylformylglycinamidine chloroplastic mitochondrial [Micractinium conductrix]	QAXK01003694.1_10054-1111
OG0001683	PSC74301.1 nifU chloroplastic [Micractinium conductrix]	QAXK01005873.1_4902-1877
OG0001684	PSC74431.1 Eukaryotic translation initiation factor 4G [Micractinium conductrix]	QAXK01001160.1_46203-44172
OG0001686	PSC73488.1 clathrin heavy chain [Micractinium conductrix]	QAXK01001518.1_29154-38461
OG0001687	PSC67263.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 [Micractinium conductrix]	QAXK01011350.1_4968-4302
OG0001689	PSC76278.1 Proteasome subunit beta type-7-A [Micractinium conductrix]	QAXK01000325.1_49285-50693
OG0001691	PSC71755.1 D-lactate dehydrogenase [Micractinium conductrix]	QAXK01009543.1_7053-9512
OG0001694	PSC67646.1 MAK16-like protein A [Micractinium conductrix]	QAXK01004860.1_550-2257
OG0001698	PSC70606.1 putative transaldolase [Micractinium conductrix]	QAXK01011739.1_15998-17366
OG0001700	PSC72131.1 heat shock 70 kDa 4 [Micractinium conductrix]	QAXK01001944.1_5351-7976
OG0001702	PSC69538.1 biotin synthase [Micractinium conductrix]	QAXK01000864.1_61145-62900
OG0001703	PSC71269.1 DNA polymerase alpha subunit B [Micractinium conductrix]	QAXK01003602.1_34329-32576
OG0001704	PSC76664.1 transmembrane CLPTM1 family [Micractinium conductrix]	QAXK01008991.1_236-2513
OG0001705	PSC74260.1 aspartate-tRNA cytoplasmic [Micractinium conductrix]	QAXK01002478.1_7313-12188
OG0001709	PSC69533.1 Ankyrin repeat [Micractinium conductrix]	QAXK01018148.1_4196-2780
OG0001712	PSC73669.1 60S ribosomal L13a-2-like [Micractinium conductrix]	QAXK01008136.1_3960-6111
OG0001713	PSC70717.1 putative lysine-tRNA cytoplasmic [Micractinium conductrix]	QAXK01001137.1_1588-5821
OG0001714	PSC75777.1 hypothetical protein C2E20_1315 isoform X1 [Micractinium conductrix]	QAXK01014632.1_3916-2466
OG0001715	PSC67794.1 bifunctional dihydrofolate reductase-thymidylate synthase_ partial [Micractinium conductrix]	QAXK01004338.1_24179-21163
OG0001716	PSC75624.1 hypothetical protein C2E20_1034 [Micractinium conductrix]	QAXK01000646.1_3437-2178
OG0001719	PSC76724.1 T-complex 1 subunit zeta [Micractinium conductrix]	QAXK01013811.1_5298-9155
OG0001724	PSC71671.1 methyltransferase 5 [Micractinium conductrix]	QAXK01006565.1_2429-269
OG0001728	PSC75668.1 40S ribosomal S19-1 [Micractinium conductrix]	QAXK01001807.1_1026-15
OG0001729	PSC75055.1 heat shock 40 kDa [Micractinium conductrix]	QAXK01006338.1_1051-28
