Orthogroup	Species	Chlorella_A99	Orthologs
OG0000366	Chlorella_Vulgaris2111P	PCFQ01000058.1 g120 [Chlorella sp. A99]	KAI3433559.1 hypothetical protein D9Q98_003370 [Chlorella vulgaris], KAI3433565.1 hypothetical protein D9Q98_003376 [Chlorella vulgaris], KAI3433564.1 hypothetical protein D9Q98_003375 [Chlorella vulgaris]
OG0000366	Chlorella_VariabilisNC64A	PCFQ01000058.1 g120 [Chlorella sp. A99]	XP_005851231.1 hypothetical protein CHLNCDRAFT_33865 [Chlorella variabilis], XP_005851227.1 hypothetical protein CHLNCDRAFT_137936 [Chlorella variabilis]
OG0000366	Auxenochlorella_protothecoides	PCFQ01000058.1 g120 [Chlorella sp. A99]	RMZ54558.1 hypothetical protein APUTEX25_002133 [Auxenochlorella protothecoides]
OG0000366	Coccomyxa_SubellipsoideaC169	PCFQ01000058.1 g120 [Chlorella sp. A99]	EIE22088.1 peptidase S10_ serine carboxypeptidase [Coccomyxa subellipsoidea C-169], EIE23503.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]
OG0000366	Scenedesmus_PABB004	PCFQ01000058.1 g120 [Chlorella sp. A99]	KAF8067133.1 CBP1 [Scenedesmus sp. PABB004], KAF8057860.1 protein phosphatase 2C 26 [Scenedesmus sp. PABB004]
OG0000366	Scenedesmus_NREL	PCFQ01000058.1 g120 [Chlorella sp. A99]	KAF6258886.1 peptidase S10_ serine carboxypeptidase [Scenedesmus sp. NREL 46B-D3], KAF6257658.1 peptidase S10_ serine carboxypeptidase [Scenedesmus sp. NREL 46B-D3], KAF6266339.1 hypothetical protein COO60DRAFT_447718 [Scenedesmus sp. NREL 46B-D3], KAF6266203.1 phosphatase 2C-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000367	Scenedesmus_PABB004	PCFQ01000014.1 g1885 [Chlorella sp. A99]	KAF8071102.1 hypothetical protein HT031_001184 [Scenedesmus sp. PABB004]
OG0000367	Auxenochlorella_protothecoides	PCFQ01000014.1 g1885 [Chlorella sp. A99]	RMZ54655.1 hypothetical protein APUTEX25_003033_ partial [Auxenochlorella protothecoides]
OG0000367	Chlorella_VariabilisNC64A	PCFQ01000014.1 g1885 [Chlorella sp. A99]	XP_005844530.1 hypothetical protein CHLNCDRAFT_138936 [Chlorella variabilis]
OG0000367	Scenedesmus_NREL	PCFQ01000014.1 g1885 [Chlorella sp. A99]	KAF6252427.1 hypothetical protein COO60DRAFT_1628547 [Scenedesmus sp. NREL 46B-D3]
OG0000367	Coccomyxa_SubellipsoideaC169	PCFQ01000014.1 g1885 [Chlorella sp. A99]	EIE18162.1 pyruvate carboxylase [Coccomyxa subellipsoidea C-169]
OG0000367	Chlorella_Sorokiniana1602	PCFQ01000014.1 g1885 [Chlorella sp. A99]	PRW20525.1 pyruvate carboxylase isoform A [Chlorella sorokiniana], PRW20526.1 pyruvate carboxylase isoform B [Chlorella sorokiniana]
OG0000367	Micractinium_SAG24180	PCFQ01000014.1 g1885 [Chlorella sp. A99]	PSC70059.1 pyruvate carboxylase [Micractinium conductrix]
OG0000369	Scenedesmus_NREL	PCFQ01000079.1 g1377 [Chlorella sp. A99]	KAF6255694.1 dehydroascorbate reductase [Scenedesmus sp. NREL 46B-D3]
OG0000369	Scenedesmus_PABB004	PCFQ01000079.1 g1377 [Chlorella sp. A99]	KAF8057748.1 DHAR1 [Scenedesmus sp. PABB004]
OG0000369	Auxenochlorella_protothecoides	PCFQ01000079.1 g1377 [Chlorella sp. A99]	RMZ54839.1 hypothetical protein APUTEX25_000356 [Auxenochlorella protothecoides]
OG0000369	Coccomyxa_SubellipsoideaC169	PCFQ01000079.1 g1377 [Chlorella sp. A99]	EIE22660.1 hypothetical protein COCSUDRAFT_63802 [Coccomyxa subellipsoidea C-169], EIE20690.1 glutathione S-transferase-like protein [Coccomyxa subellipsoidea C-169], EIE22659.1 hypothetical protein COCSUDRAFT_63801 [Coccomyxa subellipsoidea C-169]
OG0000369	Chlorella_Sorokiniana1602	PCFQ01000079.1 g1377 [Chlorella sp. A99]	PRW05946.1 dehydroascorbate reductase [Chlorella sorokiniana]
OG0000369	Chlorella_VariabilisNC64A	PCFQ01000079.1 g1377 [Chlorella sp. A99]	XP_005843180.1 hypothetical protein CHLNCDRAFT_141455 [Chlorella variabilis], XP_005843181.1 hypothetical protein CHLNCDRAFT_141456 [Chlorella variabilis]
OG0000369	Chlorella_Vulgaris2111P	PCFQ01000079.1 g1377 [Chlorella sp. A99]	KAI3427360.1 hypothetical protein D9Q98_010276 [Chlorella vulgaris]
OG0000369	Micractinium_SAG24180	PCFQ01000079.1 g1377 [Chlorella sp. A99]	PSC68074.1 dehydroascorbate reductase [Micractinium conductrix]
OG0000370	Scenedesmus_PABB004	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99], PCFQ01000018.1 g469 [Chlorella sp. A99]	KAF8065897.1 TRA1 [Scenedesmus sp. PABB004]
OG0000370	Scenedesmus_NREL	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99], PCFQ01000018.1 g469 [Chlorella sp. A99]	KAF6252759.1 hypothetical protein COO60DRAFT_1643765 [Scenedesmus sp. NREL 46B-D3]
OG0000370	Coccomyxa_SubellipsoideaC169	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99], PCFQ01000018.1 g469 [Chlorella sp. A99]	EIE23491.1 hypothetical protein COCSUDRAFT_65942 [Coccomyxa subellipsoidea C-169]
OG0000370	Auxenochlorella_protothecoides	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99]	RMZ54983.1 hypothetical protein APUTEX25_000500_ partial [Auxenochlorella protothecoides]
OG0000370	Chlorella_Sorokiniana1602	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99]	PRW20721.1 phosphotransferase inositol or phosphatidylinositol kinase [Chlorella sorokiniana]
OG0000370	Micractinium_SAG24180	PCFQ01000018.1 g467 [Chlorella sp. A99]	PSC74456.1 transformation transcription domain-associated -like [Micractinium conductrix]
OG0000370	Chlorella_Vulgaris2111P	PCFQ01000018.1 g467 [Chlorella sp. A99]	KAI3434549.1 hypothetical protein D9Q98_002622 [Chlorella vulgaris]
OG0000370	Chlorella_Vulgaris2111P	PCFQ01000018.1 g469 [Chlorella sp. A99]	KAI3434550.1 hypothetical protein D9Q98_002623 [Chlorella vulgaris]
OG0000370	Micractinium_SAG24180	PCFQ01000018.1 g469 [Chlorella sp. A99]	PSC74747.1 transformation transcription domain-associated [Micractinium conductrix]
OG0000370	Chlorella_VariabilisNC64A	PCFQ01000018.1 g469 [Chlorella sp. A99]	XP_005843889.1 hypothetical protein CHLNCDRAFT_59118_ partial [Chlorella variabilis]
OG0000370	Chlorella_Sorokiniana1602	PCFQ01000018.1 g469 [Chlorella sp. A99]	PRW20624.1 Transcription-associated 1 [Chlorella sorokiniana]
OG0000370	Auxenochlorella_protothecoides	PCFQ01000018.1 g469 [Chlorella sp. A99]	RMZ54901.1 hypothetical protein APUTEX25_000418 [Auxenochlorella protothecoides]
OG0000371	Scenedesmus_PABB004	PCFQ01000006.1 g3103 [Chlorella sp. A99]	KAF8059406.1 SPA2 [Scenedesmus sp. PABB004]
OG0000371	Scenedesmus_NREL	PCFQ01000006.1 g3103 [Chlorella sp. A99]	KAF6252003.1 hypothetical protein COO60DRAFT_1274591_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252004.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000371	Auxenochlorella_protothecoides	PCFQ01000006.1 g3103 [Chlorella sp. A99]	RMZ56858.1 hypothetical protein APUTEX25_002947 [Auxenochlorella protothecoides]
OG0000371	Coccomyxa_SubellipsoideaC169	PCFQ01000006.1 g3103 [Chlorella sp. A99]	EIE26522.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000371	Chlorella_VariabilisNC64A	PCFQ01000006.1 g3103 [Chlorella sp. A99]	XP_005850581.1 hypothetical protein CHLNCDRAFT_6949_ partial [Chlorella variabilis]
OG0000371	Chlorella_Vulgaris2111P	PCFQ01000006.1 g3103 [Chlorella sp. A99]	KAI3436816.1 hypothetical protein D9Q98_006226 [Chlorella vulgaris]
OG0000371	Micractinium_SAG24180	PCFQ01000006.1 g3103 [Chlorella sp. A99]	PSC71525.1 E3 ubiquitin-ligase COP1-like isoform X3 [Micractinium conductrix]
OG0000371	Chlorella_Sorokiniana1602	PCFQ01000006.1 g3103 [Chlorella sp. A99]	PRW56161.1 E3 ubiquitin- ligase COP1-like isoform X1 [Chlorella sorokiniana]
OG0000372	Chlorella_KRBP	PCFQ01000006.1 g3160 [Chlorella sp. A99]	QAXK01000007.1_3483-1851
OG0000372	Micractinium_SAG24180	PCFQ01000006.1 g3160 [Chlorella sp. A99]	PSC72835.1 GDP-mannose 3_5-epimerase 2 [Micractinium conductrix]
OG0000372	Chlorella_VariabilisNC64A	PCFQ01000006.1 g3160 [Chlorella sp. A99]	XP_005850810.1 hypothetical protein CHLNCDRAFT_140350 [Chlorella variabilis]
OG0000372	Chlorella_Vulgaris2111P	PCFQ01000006.1 g3160 [Chlorella sp. A99]	KAI3435517.1 hypothetical protein D9Q98_001583 [Chlorella vulgaris]
OG0000372	Chlorella_Sorokiniana1602	PCFQ01000006.1 g3160 [Chlorella sp. A99]	PRW18290.1 GDP-mannose 3_5-epimerase 2 [Chlorella sorokiniana]
OG0000372	Auxenochlorella_protothecoides	PCFQ01000006.1 g3160 [Chlorella sp. A99]	RMZ55120.1 hypothetical protein APUTEX25_005398 [Auxenochlorella protothecoides]
OG0000372	Coccomyxa_SubellipsoideaC169	PCFQ01000006.1 g3160 [Chlorella sp. A99]	EIE26738.1 sugar nucleotide epimerase [Coccomyxa subellipsoidea C-169]
OG0000372	Scenedesmus_PABB004	PCFQ01000006.1 g3160 [Chlorella sp. A99]	KAF8058047.1 GME-2 [Scenedesmus sp. PABB004]
OG0000372	Scenedesmus_NREL	PCFQ01000006.1 g3160 [Chlorella sp. A99]	KAF6261229.1 hypothetical protein COO60DRAFT_1621869 [Scenedesmus sp. NREL 46B-D3]
OG0000373	Scenedesmus_NREL	PCFQ01000006.1 g3097 [Chlorella sp. A99]	KAF6254728.1 hypothetical protein COO60DRAFT_1703166 [Scenedesmus sp. NREL 46B-D3], KAF6254731.1 hypothetical protein COO60DRAFT_1664066 [Scenedesmus sp. NREL 46B-D3], KAF6254744.1 succinyl-CoA synthetase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000373	Coccomyxa_SubellipsoideaC169	PCFQ01000006.1 g3097 [Chlorella sp. A99]	EIE19629.1 hypothetical protein COCSUDRAFT_19247_ partial [Coccomyxa subellipsoidea C-169]
OG0000373	Chlorella_Vulgaris2111P	PCFQ01000006.1 g3097 [Chlorella sp. A99]	KAI3436800.1 hypothetical protein D9Q98_006210 [Chlorella vulgaris]
OG0000373	Chlorella_VariabilisNC64A	PCFQ01000006.1 g3097 [Chlorella sp. A99]	XP_005850589.1 hypothetical protein CHLNCDRAFT_140514 [Chlorella variabilis]
OG0000374	Chlorella_KRBP	PCFQ01000037.1 g2375 [Chlorella sp. A99]	QAXK01001576.1_25385-29462
OG0000374	Chlorella_VariabilisNC64A	PCFQ01000037.1 g2375 [Chlorella sp. A99]	XP_005849750.1 hypothetical protein CHLNCDRAFT_21051_ partial [Chlorella variabilis]
OG0000374	Auxenochlorella_protothecoides	PCFQ01000037.1 g2375 [Chlorella sp. A99]	RMZ55200.1 hypothetical protein APUTEX25_005478_ partial [Auxenochlorella protothecoides]
OG0000374	Scenedesmus_NREL	PCFQ01000037.1 g2375 [Chlorella sp. A99]	KAF6255076.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Scenedesmus sp. NREL 46B-D3]
OG0000374	Scenedesmus_PABB004	PCFQ01000037.1 g2375 [Chlorella sp. A99]	KAF8071212.1 NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 [Scenedesmus sp. PABB004]
OG0000374	Coccomyxa_SubellipsoideaC169	PCFQ01000037.1 g2375 [Chlorella sp. A99]	EIE20556.1 NADH_ubiquinone oxidoreductase 76 kDa subunit_ partial [Coccomyxa subellipsoidea C-169]
OG0000374	Chlorella_Vulgaris2111P	PCFQ01000037.1 g2375 [Chlorella sp. A99]	KAI3438458.1 hypothetical protein D9Q98_000887 [Chlorella vulgaris]
OG0000374	Chlorella_Sorokiniana1602	PCFQ01000037.1 g2375 [Chlorella sp. A99]	PRW59214.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Chlorella sorokiniana]
OG0000374	Micractinium_SAG24180	PCFQ01000037.1 g2375 [Chlorella sp. A99]	PSC71880.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Micractinium conductrix]
OG0000375	Chlorella_KRBP	PCFQ01000058.1 g203 [Chlorella sp. A99], PCFQ01000046.1 g1848 [Chlorella sp. A99]	QAXK01008707.1_239-2925
OG0000375	Micractinium_SAG24180	PCFQ01000058.1 g203 [Chlorella sp. A99]	PSC75244.1 CCAAT enhancer-binding zeta [Micractinium conductrix]
OG0000375	Chlorella_Vulgaris2111P	PCFQ01000058.1 g203 [Chlorella sp. A99]	KAI3423896.1 hypothetical protein D9Q98_009730 [Chlorella vulgaris]
OG0000375	Chlorella_Sorokiniana1602	PCFQ01000058.1 g203 [Chlorella sp. A99]	PRW32534.1 4-aminobutyrate aminotransferase [Chlorella sorokiniana]
OG0000375	Chlorella_VariabilisNC64A	PCFQ01000058.1 g203 [Chlorella sp. A99]	XP_005846709.1 hypothetical protein CHLNCDRAFT_8428_ partial [Chlorella variabilis]
OG0000375	Scenedesmus_PABB004	PCFQ01000058.1 g203 [Chlorella sp. A99]	KAF8061932.1 davT [Scenedesmus sp. PABB004]
OG0000375	Scenedesmus_NREL	PCFQ01000058.1 g203 [Chlorella sp. A99]	KAF6262971.1 4-aminobutyrate aminotransferase [Scenedesmus sp. NREL 46B-D3]
OG0000375	Coccomyxa_SubellipsoideaC169	PCFQ01000058.1 g203 [Chlorella sp. A99]	EIE24853.1 4-aminobutyrate aminotransferase [Coccomyxa subellipsoidea C-169]
OG0000375	Chlorella_Sorokiniana1602	PCFQ01000046.1 g1848 [Chlorella sp. A99]	PRW32482.1 CCAAT enhancer-binding zeta [Chlorella sorokiniana]
OG0000375	Chlorella_Vulgaris2111P	PCFQ01000046.1 g1848 [Chlorella sp. A99]	KAI3423892.1 hypothetical protein D9Q98_009726 [Chlorella vulgaris]
OG0000375	Chlorella_VariabilisNC64A	PCFQ01000046.1 g1848 [Chlorella sp. A99]	XP_005846575.1 hypothetical protein CHLNCDRAFT_52919 [Chlorella variabilis]
OG0000375	Auxenochlorella_protothecoides	PCFQ01000046.1 g1848 [Chlorella sp. A99]	RMZ55260.1 hypothetical protein APUTEX25_005538 [Auxenochlorella protothecoides]
OG0000375	Coccomyxa_SubellipsoideaC169	PCFQ01000046.1 g1848 [Chlorella sp. A99]	EIE24712.1 hypothetical protein COCSUDRAFT_14147 [Coccomyxa subellipsoidea C-169]
OG0000376	Scenedesmus_PABB004	PCFQ01000019.1 g1819 [Chlorella sp. A99]	KAF8070943.1 RDN1 [Scenedesmus sp. PABB004]
OG0000376	Scenedesmus_NREL	PCFQ01000019.1 g1819 [Chlorella sp. A99]	KAF6257570.1 hypothetical protein COO60DRAFT_1218578 [Scenedesmus sp. NREL 46B-D3]
OG0000376	Chlorella_Sorokiniana1602	PCFQ01000019.1 g1819 [Chlorella sp. A99]	PRW44917.1 hypothetical protein C2E21_6489 [Chlorella sorokiniana]
OG0000376	Chlorella_Vulgaris2111P	PCFQ01000019.1 g1819 [Chlorella sp. A99]	KAI3426134.1 hypothetical protein D9Q98_008513 [Chlorella vulgaris]
OG0000376	Chlorella_VariabilisNC64A	PCFQ01000019.1 g1819 [Chlorella sp. A99]	XP_005848407.1 hypothetical protein CHLNCDRAFT_22296_ partial [Chlorella variabilis]
OG0000376	Coccomyxa_SubellipsoideaC169	PCFQ01000019.1 g1819 [Chlorella sp. A99]	EIE20908.1 hypothetical protein COCSUDRAFT_18099_ partial [Coccomyxa subellipsoidea C-169]
OG0000377	Chlorella_Sorokiniana1602	PCFQ01000058.1 g62 [Chlorella sp. A99]	PRW58587.1 Beta-mannosidase isoform A [Chlorella sorokiniana], PRW58588.1 Beta-mannosidase isoform B [Chlorella sorokiniana]
OG0000377	Micractinium_SAG24180	PCFQ01000058.1 g62 [Chlorella sp. A99]	PSC75824.1 molecular chaperone [Micractinium conductrix]
OG0000377	Scenedesmus_PABB004	PCFQ01000058.1 g62 [Chlorella sp. A99]	KAF8060285.1 CCR4 [Scenedesmus sp. PABB004]
OG0000377	Scenedesmus_NREL	PCFQ01000058.1 g62 [Chlorella sp. A99]	KAF6255655.1 Endonuclease/exonuclease/phosphatase [Scenedesmus sp. NREL 46B-D3]
OG0000377	Chlorella_VariabilisNC64A	PCFQ01000058.1 g62 [Chlorella sp. A99]	XP_005851389.1 hypothetical protein CHLNCDRAFT_137627 [Chlorella variabilis]
OG0000377	Chlorella_Vulgaris2111P	PCFQ01000058.1 g62 [Chlorella sp. A99]	KAI3433865.1 hypothetical protein D9Q98_003668 [Chlorella vulgaris]
OG0000379	Chlorella_Sorokiniana1602	PCFQ01000058.1 g97 [Chlorella sp. A99]	PRW58639.1 hypothetical protein C2E21_2984 [Chlorella sorokiniana]
OG0000379	Micractinium_SAG24180	PCFQ01000058.1 g97 [Chlorella sp. A99]	PSC68875.1 hypothetical protein C2E20_7623 [Micractinium conductrix]
OG0000379	Coccomyxa_SubellipsoideaC169	PCFQ01000058.1 g97 [Chlorella sp. A99]	EIE21984.1 hypothetical protein COCSUDRAFT_56427 [Coccomyxa subellipsoidea C-169]
OG0000379	Chlorella_VariabilisNC64A	PCFQ01000058.1 g97 [Chlorella sp. A99]	XP_005851201.1 hypothetical protein CHLNCDRAFT_137883 [Chlorella variabilis]
OG0000379	Chlorella_Vulgaris2111P	PCFQ01000058.1 g97 [Chlorella sp. A99]	KAI3433616.1 hypothetical protein D9Q98_003425 [Chlorella vulgaris]
OG0000379	Auxenochlorella_protothecoides	PCFQ01000058.1 g97 [Chlorella sp. A99]	RMZ56003.1 hypothetical protein APUTEX25_004427_ partial [Auxenochlorella protothecoides]
OG0000380	Auxenochlorella_protothecoides	PCFQ01000082.1 g626 [Chlorella sp. A99]	RMZ56151.1 hypothetical protein APUTEX25_004575 [Auxenochlorella protothecoides]
OG0000380	Chlorella_Sorokiniana1602	PCFQ01000082.1 g626 [Chlorella sp. A99]	PRW32494.1 leucine-rich repeat-containing [Chlorella sorokiniana], PRW32856.1 Amino acid permease 2 isoform B [Chlorella sorokiniana], PRW32855.1 Amino acid permease 2 isoform A [Chlorella sorokiniana], PRW60633.1 Amino acid permease 2 [Chlorella sorokiniana], PRW60763.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58370.1 Amino acid permease 2 [Chlorella sorokiniana]
OG0000380	Chlorella_Vulgaris2111P	PCFQ01000082.1 g626 [Chlorella sp. A99]	KAI3423989.1 hypothetical protein D9Q98_009822 [Chlorella vulgaris], KAI3430592.1 hypothetical protein D9Q98_005185 [Chlorella vulgaris]
OG0000380	Chlorella_VariabilisNC64A	PCFQ01000082.1 g626 [Chlorella sp. A99]	XP_005843088.1 hypothetical protein CHLNCDRAFT_55443 [Chlorella variabilis], XP_005846442.1 hypothetical protein CHLNCDRAFT_24724_ partial [Chlorella variabilis], XP_005844092.1 hypothetical protein CHLNCDRAFT_32765 [Chlorella variabilis], XP_005844000.1 hypothetical protein CHLNCDRAFT_59057 [Chlorella variabilis], XP_005851603.1 hypothetical protein CHLNCDRAFT_138133 [Chlorella variabilis]
OG0000380	Micractinium_SAG24180	PCFQ01000082.1 g626 [Chlorella sp. A99]	PSC71028.1 Amino acid permease 2 [Micractinium conductrix], PSC67392.1 Amino acid permease 2 [Micractinium conductrix], PSC67024.1 Amino acid permease 2 [Micractinium conductrix]
OG0000382	Scenedesmus_NREL	PCFQ01000018.1 g416 [Chlorella sp. A99], PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	KAF6263729.1 glycoside hydrolase [Scenedesmus sp. NREL 46B-D3]
OG0000382	Coccomyxa_SubellipsoideaC169	PCFQ01000018.1 g416 [Chlorella sp. A99]	EIE18933.1 hypothetical protein COCSUDRAFT_20175_ partial [Coccomyxa subellipsoidea C-169], EIE24199.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000382	Auxenochlorella_protothecoides	PCFQ01000018.1 g416 [Chlorella sp. A99]	RMZ56488.1 hypothetical protein APUTEX25_001335 [Auxenochlorella protothecoides]
OG0000382	Micractinium_SAG24180	PCFQ01000018.1 g416 [Chlorella sp. A99]	PSC73991.1 Mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1 [Micractinium conductrix]
OG0000382	Chlorella_Sorokiniana1602	PCFQ01000018.1 g416 [Chlorella sp. A99]	PRW60814.1 Mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1 [Chlorella sorokiniana]
OG0000382	Chlorella_VariabilisNC64A	PCFQ01000018.1 g416 [Chlorella sp. A99]	XP_005852238.1 hypothetical protein CHLNCDRAFT_33654 [Chlorella variabilis]
OG0000382	Chlorella_Vulgaris2111P	PCFQ01000018.1 g416 [Chlorella sp. A99]	KAI3429765.1 hypothetical protein D9Q98_010078 [Chlorella vulgaris]
OG0000382	Auxenochlorella_protothecoides	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	RMZ57352.1 hypothetical protein APUTEX25_004186 [Auxenochlorella protothecoides]
OG0000382	Coccomyxa_SubellipsoideaC169	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	EIE20872.1 putative mannosyl-oligosaccharide 1_2-alpha-mannosidase [Coccomyxa subellipsoidea C-169]
OG0000382	Chlorella_Vulgaris2111P	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	KAI3437956.1 hypothetical protein D9Q98_000400 [Chlorella vulgaris]
OG0000382	Chlorella_Sorokiniana1602	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	PRW56395.1 mannosyl-oligosaccharide 1_2-alpha-mannosidase [Chlorella sorokiniana], PRW57135.1 mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1 [Chlorella sorokiniana]
OG0000382	Micractinium_SAG24180	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	PSC71105.1 mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1-like [Micractinium conductrix]
OG0000382	Chlorella_VariabilisNC64A	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	XP_005847206.1 hypothetical protein CHLNCDRAFT_24374 [Chlorella variabilis]
OG0000383	Chlorella_KRBP	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99], PCFQ01000013.1 g3369 [Chlorella sp. A99]	QAXK01011194.1_5918-9002
OG0000383	Coccomyxa_SubellipsoideaC169	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99], PCFQ01000013.1 g3369 [Chlorella sp. A99]	EIE24663.1 uncoupling protein [Coccomyxa subellipsoidea C-169]
OG0000383	Scenedesmus_NREL	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99], PCFQ01000013.1 g3369 [Chlorella sp. A99]	KAF6256586.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264115.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6232856.1 chloride channel [Scenedesmus sp. NREL 46B-D3]
OG0000383	Scenedesmus_PABB004	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99], PCFQ01000013.1 g3369 [Chlorella sp. A99]	KAF8065953.1 PUMP1 [Scenedesmus sp. PABB004]
OG0000383	Auxenochlorella_protothecoides	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99], PCFQ01000013.1 g3369 [Chlorella sp. A99]	RMZ56512.1 hypothetical protein APUTEX25_001359 [Auxenochlorella protothecoides]
OG0000383	Chlorella_VariabilisNC64A	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99]	XP_005851508.1 hypothetical protein CHLNCDRAFT_48478 [Chlorella variabilis]
OG0000383	Chlorella_Vulgaris2111P	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99]	KAI3433585.1 hypothetical protein D9Q98_003396 [Chlorella vulgaris]
OG0000383	Chlorella_Sorokiniana1602	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99]	PRW58416.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana]
OG0000383	Micractinium_SAG24180	PCFQ01000013.1 g3369 [Chlorella sp. A99]	PSC74244.1 mitochondrial uncoupling 1 isoform C [Micractinium conductrix], PSC74243.1 mitochondrial uncoupling 1 isoform A [Micractinium conductrix], PSC74242.1 mitochondrial uncoupling 1 isoform B [Micractinium conductrix]
OG0000383	Chlorella_Vulgaris2111P	PCFQ01000013.1 g3369 [Chlorella sp. A99]	KAI3429755.1 hypothetical protein D9Q98_010068 [Chlorella vulgaris]
OG0000383	Chlorella_Sorokiniana1602	PCFQ01000013.1 g3369 [Chlorella sp. A99]	PRW60786.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana]
OG0000384	Scenedesmus_PABB004	PCFQ01000006.1 g3105 [Chlorella sp. A99]	KAF8067314.1 Polq [Scenedesmus sp. PABB004]
OG0000384	Scenedesmus_NREL	PCFQ01000006.1 g3105 [Chlorella sp. A99]	KAF6260747.1 hypothetical protein COO60DRAFT_857116 [Scenedesmus sp. NREL 46B-D3], KAF6252881.1 hypothetical protein COO60DRAFT_1704095 [Scenedesmus sp. NREL 46B-D3], KAF6260746.1 hypothetical protein COO60DRAFT_857223 [Scenedesmus sp. NREL 46B-D3]
OG0000384	Micractinium_SAG24180	PCFQ01000006.1 g3105 [Chlorella sp. A99]	PSC75541.1 DNA polymerase I [Micractinium conductrix], PSC72337.1 helicase and polymerase-containing TEBICHI_ partial [Micractinium conductrix]
OG0000384	Chlorella_VariabilisNC64A	PCFQ01000006.1 g3105 [Chlorella sp. A99]	XP_005847145.1 hypothetical protein CHLNCDRAFT_134898 [Chlorella variabilis]
OG0000384	Coccomyxa_SubellipsoideaC169	PCFQ01000037.1 g2504 [Chlorella sp. A99]	EIE23289.1 hypothetical protein COCSUDRAFT_42188 [Coccomyxa subellipsoidea C-169]
OG0000384	Auxenochlorella_protothecoides	PCFQ01000037.1 g2504 [Chlorella sp. A99]	RMZ56564.1 hypothetical protein APUTEX25_001411 [Auxenochlorella protothecoides], RMZ56569.1 hypothetical protein APUTEX25_001416_ partial [Auxenochlorella protothecoides]
OG0000384	Scenedesmus_NREL	PCFQ01000037.1 g2504 [Chlorella sp. A99]	KAF6263045.1 hypothetical protein COO60DRAFT_1698988 [Scenedesmus sp. NREL 46B-D3], KAF6260745.1 hypothetical protein COO60DRAFT_857019 [Scenedesmus sp. NREL 46B-D3]
