Orthogroup	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180
OG0000828	EIE25496.1 hypothetical protein COCSUDRAFT_61709 [Coccomyxa subellipsoidea C-169], EIE25523.1 hypothetical protein COCSUDRAFT_40742 [Coccomyxa subellipsoidea C-169]	PSC70636.1 50S ribosomal mitochondrial-like [Micractinium conductrix]
OG0000829	EIE18979.1 hypothetical protein COCSUDRAFT_68115 [Coccomyxa subellipsoidea C-169]	PSC71241.1 hypothetical protein C2E20_5260 [Micractinium conductrix]
OG0000830	EIE22727.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC73574.1 SRSF kinase isoform B [Micractinium conductrix], PSC73573.1 SRSF kinase isoform A [Micractinium conductrix], PSC68985.1 SRSF kinase 1 [Micractinium conductrix]
OG0000832	EIE27596.1 cytosolic NADP malic enzyme [Coccomyxa subellipsoidea C-169]	PSC71198.1 NADP malic enzyme [Micractinium conductrix]
OG0000833	EIE26338.1 hypothetical protein COCSUDRAFT_39457 [Coccomyxa subellipsoidea C-169], EIE26337.1 hypothetical protein COCSUDRAFT_58874 [Coccomyxa subellipsoidea C-169], EIE26336.1 hypothetical protein COCSUDRAFT_58873 [Coccomyxa subellipsoidea C-169], EIE26335.1 hypothetical protein COCSUDRAFT_52307 [Coccomyxa subellipsoidea C-169]	PSC67893.1 mavicyanin-like [Micractinium conductrix]
OG0000834	EIE21176.1 mannose-P-dolichol utilization defect 1 protein [Coccomyxa subellipsoidea C-169], EIE19087.1 hypothetical protein COCSUDRAFT_34352 [Coccomyxa subellipsoidea C-169]	PSC68347.1 mannose-P-dolichol utilization defect 1-like protein 2 [Micractinium conductrix]
OG0000835	EIE22079.1 trypsin-like serine protease_ partial [Coccomyxa subellipsoidea C-169]	PSC75530.1 Protease Do-like chloroplastic [Micractinium conductrix]
OG0000836	EIE25528.1 hypothetical protein COCSUDRAFT_40745 [Coccomyxa subellipsoidea C-169]	PSC73342.1 prolyl-4 hydroxylase alpha subunit [Micractinium conductrix]
OG0000837	EIE20068.1 hypothetical protein COCSUDRAFT_48589 [Coccomyxa subellipsoidea C-169]	PSC69419.1 anaphase-promoting complex subunit 1 isoform X2 isoform C [Micractinium conductrix], PSC69420.1 anaphase-promoting complex subunit 1 isoform X2 isoform B [Micractinium conductrix], PSC69418.1 anaphase-promoting complex subunit 1 isoform X2 isoform D [Micractinium conductrix], PSC69417.1 anaphase-promoting complex subunit 1 isoform X2 isoform A [Micractinium conductrix]
OG0000838	EIE25269.1 hypothetical protein COCSUDRAFT_61497 [Coccomyxa subellipsoidea C-169]	PSC70531.1 nudC domain-containing 2 [Micractinium conductrix]
OG0000839	EIE27172.1 hypothetical protein COCSUDRAFT_64104 [Coccomyxa subellipsoidea C-169]	PSC67244.1 translocation -related [Micractinium conductrix]
OG0000840	EIE18722.1 hypothetical protein COCSUDRAFT_60030 [Coccomyxa subellipsoidea C-169]	PSC75816.1 RRP15 [Micractinium conductrix]
OG0000840	EIE22902.1 hypothetical protein COCSUDRAFT_16364_ partial [Coccomyxa subellipsoidea C-169]	PSC68220.1 hypothetical protein C2E20_8166 [Micractinium conductrix]
OG0000841	EIE24210.1 histone deacetylase_ partial [Coccomyxa subellipsoidea C-169]	PSC68929.1 histone deacetylase 15 isoform X1 [Micractinium conductrix]
OG0000842	EIE18662.1 hypothetical protein COCSUDRAFT_68144 [Coccomyxa subellipsoidea C-169]	PSC68643.1 thioredoxin peroxidase [Micractinium conductrix]
OG0000843	EIE24208.1 NAD-dependent epimerase/dehydratase [Coccomyxa subellipsoidea C-169]	PSC70591.1 GDP-L-fucose synthase 2 [Micractinium conductrix]
OG0000844	EIE24678.1 ENTH-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC74585.1 hypothetical protein C2E20_2371 [Micractinium conductrix], PSC70402.1 Clathrin interactor EPSIN 3 isoform B [Micractinium conductrix], PSC70401.1 Clathrin interactor EPSIN 3 isoform C [Micractinium conductrix], PSC70403.1 Clathrin interactor EPSIN 3 isoform A [Micractinium conductrix]
OG0000845	EIE18734.1 hypothetical protein COCSUDRAFT_68177 [Coccomyxa subellipsoidea C-169]	PSC75702.1 regulator of CO2-responsive genes isoform B [Micractinium conductrix], PSC75703.1 regulator of CO2-responsive genes isoform A [Micractinium conductrix]
OG0000846	EIE22274.1 P25-alpha [Coccomyxa subellipsoidea C-169]	PSC71858.1 flagellar associated [Micractinium conductrix]
OG0000847	EIE21846.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21853.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21852.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE18472.1 oxidoreductase [Coccomyxa subellipsoidea C-169]	PSC76482.1 reverse transcriptase [Micractinium conductrix]
OG0000849	EIE18574.1 SFT2-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75903.1 Vesicle transport SFT2B [Micractinium conductrix]
OG0000849	EIE19861.1 peptidyl-tRNA hydrolase [Coccomyxa subellipsoidea C-169]	PSC76907.1 Peptidyl-tRNA hydrolase family [Micractinium conductrix]
OG0000850	EIE20940.1 hypothetical protein COCSUDRAFT_54287 [Coccomyxa subellipsoidea C-169]	PSC71061.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform A [Micractinium conductrix], PSC71060.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform B [Micractinium conductrix]
OG0000851	EIE24364.1 hypothetical protein COCSUDRAFT_14826 [Coccomyxa subellipsoidea C-169]	PSC74838.1 glycosyl hydrolase [Micractinium conductrix]
OG0000852	EIE26821.1 fibronectin type III [Coccomyxa subellipsoidea C-169]	PSC72863.1 Fibronectin type-III domain-containing 3a [Micractinium conductrix]
OG0000852	EIE26802.1 hypothetical protein COCSUDRAFT_46235 [Coccomyxa subellipsoidea C-169]	PSC72860.1 inactive purple acid phosphatase 27 [Micractinium conductrix]
OG0000853	EIE21540.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC68399.1 phragmoplast orienting kinesin 2 isoform A [Micractinium conductrix], PSC68398.1 phragmoplast orienting kinesin 2 isoform B [Micractinium conductrix]
OG0000853	EIE26130.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PSC76795.1 phragmoplast orienting kinesin 2 [Micractinium conductrix]
OG0000854	EIE21491.1 hypothetical protein COCSUDRAFT_43208 [Coccomyxa subellipsoidea C-169]	PSC76497.1 disulfide-isomerase like 2-2 [Micractinium conductrix], PSC76752.1 general transcription factor 3C polypeptide 2 [Micractinium conductrix]
OG0000855	EIE24420.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75297.1 UPF0187_ chloroplastic [Micractinium conductrix], PSC73554.1 UPF0187 chloroplastic [Micractinium conductrix]
OG0000856	EIE26409.1 putative O-sialoglyco protein endopeptidase [Coccomyxa subellipsoidea C-169]	PSC73388.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform A [Micractinium conductrix]
OG0000856	EIE26271.1 DUF1014-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73389.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform B [Micractinium conductrix]
OG0000857	EIE20406.1 hypothetical protein COCSUDRAFT_37744 [Coccomyxa subellipsoidea C-169]	PSC72356.1 putative boron transporter 2 [Micractinium conductrix]
OG0000860	EIE24787.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PSC67991.1 S-adenosyl-L-methionine-dependent methyltransferase [Micractinium conductrix]
OG0000864	EIE23506.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PSC69007.1 SAM-dependent methyltransferase [Micractinium conductrix]
OG0000867	EIE23088.1 RNI-like protein [Coccomyxa subellipsoidea C-169]	PSC69855.1 L domain [Micractinium conductrix]
OG0000868	EIE25231.1 hypothetical protein COCSUDRAFT_46645 [Coccomyxa subellipsoidea C-169]	PSC72508.1 exostosin-like glycosyltransferase isoform A [Micractinium conductrix], PSC72509.1 exostosin-like glycosyltransferase isoform B [Micractinium conductrix]
OG0000870	EIE18616.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75805.1 DEAD-box ATP-dependent RNA helicase 25-like [Micractinium conductrix]
OG0000871	EIE25781.1 tyrosyl-DNA phosphodiesterase [Coccomyxa subellipsoidea C-169]	PSC72067.1 tyrosyl-DNA phosphodiesterase 1 [Micractinium conductrix], PSC74986.1 tyrosyl-DNA phosphodiesterase 1 [Micractinium conductrix], PSC71152.1 tyrosyl-DNA phosphodiesterase 1 [Micractinium conductrix]
OG0000878	EIE22480.1 hypothetical protein COCSUDRAFT_47904 [Coccomyxa subellipsoidea C-169]	PSC67394.1 hypothetical protein C2E20_8907 [Micractinium conductrix]
OG0000880	EIE20297.1 hypothetical protein COCSUDRAFT_58006 [Coccomyxa subellipsoidea C-169]	PSC68591.1 subtilisin-like serine protease [Micractinium conductrix], PSC74254.1 subtilisin-like serine protease [Micractinium conductrix]
OG0000881	EIE27033.1 putative nuclease domain protein_ partial [Coccomyxa subellipsoidea C-169]	PSC67667.1 nuclease [Micractinium conductrix]
OG0000882	EIE19234.1 PIN domain-like protein [Coccomyxa subellipsoidea C-169]	PSC74364.1 flap endonuclease 1 [Micractinium conductrix]
OG0000883	EIE26421.1 hypothetical protein COCSUDRAFT_64484 [Coccomyxa subellipsoidea C-169]	PSC73310.1 cysteine ase isoform B [Micractinium conductrix], PSC73309.1 cysteine ase isoform A [Micractinium conductrix]
OG0000884	EIE22125.1 hypothetical protein COCSUDRAFT_24131 [Coccomyxa subellipsoidea C-169], EIE19311.1 hypothetical protein COCSUDRAFT_58604 [Coccomyxa subellipsoidea C-169], EIE25667.1 hypothetical protein COCSUDRAFT_46326 [Coccomyxa subellipsoidea C-169]	PSC74772.1 mitochondrial sodium hydrogen exchanger 9B2-like [Micractinium conductrix], PSC74458.1 chitin deacetylase-like isoform e [Micractinium conductrix]
OG0000885	EIE25438.1 hypothetical protein COCSUDRAFT_13233_ partial [Coccomyxa subellipsoidea C-169]	PSC69812.1 AAA+-type ATPase _ISS_ [Micractinium conductrix]
OG0000885	EIE18445.1 hypothetical protein COCSUDRAFT_45253 [Coccomyxa subellipsoidea C-169]	PSC71769.1 AAA+-type ATPase _ISS_ [Micractinium conductrix]
OG0000886	EIE21428.1 hypothetical protein COCSUDRAFT_53985 [Coccomyxa subellipsoidea C-169]	PSC67788.1 putative lumenal polypeptide [Micractinium conductrix]
OG0000886	EIE22573.1 hypothetical protein COCSUDRAFT_53587 [Coccomyxa subellipsoidea C-169]	PSC68611.1 hypothetical protein C2E20_7784 [Micractinium conductrix]
OG0000888	EIE27529.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PSC76793.1 alpha beta hydrolase domain-containing 11 [Micractinium conductrix]
OG0000888	EIE24024.1 SET domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PSC73654.1 histone-lysine N-methyltransferase SUVR3 [Micractinium conductrix], PSC68281.1 hypothetical protein C2E20_8150_ partial [Micractinium conductrix]
OG0000890	EIE27439.1 hypothetical protein COCSUDRAFT_11457 [Coccomyxa subellipsoidea C-169]	PSC69547.1 5-oxoprolinase isoform B [Micractinium conductrix], PSC69546.1 5-oxoprolinase isoform A [Micractinium conductrix], PSC69545.1 5-oxoprolinase isoform C [Micractinium conductrix], PSC69544.1 5-oxoprolinase isoform D [Micractinium conductrix]
OG0000891	EIE26583.1 Rubisco activase [Coccomyxa subellipsoidea C-169]	PSC74065.1 Rubisco activase [Micractinium conductrix]
OG0000892	EIE19776.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE24550.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE27654.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	PSC70754.1 glycoside hydrolase [Micractinium conductrix]
OG0000893	EIE27475.1 prenylated rab acceptor family protein [Coccomyxa subellipsoidea C-169]	PSC70728.1 prenylated rab acceptor family [Micractinium conductrix]
OG0000894	EIE19613.1 hypothetical protein COCSUDRAFT_58358 [Coccomyxa subellipsoidea C-169]	PSC77055.1 domain-containing histone demethylation 1 [Micractinium conductrix]
OG0000895	EIE19635.1 hypothetical protein COCSUDRAFT_54568 [Coccomyxa subellipsoidea C-169]	PSC77049.1 phosphatidylglycerol phosphatidylinositol transfer [Micractinium conductrix]
OG0000896	EIE26717.1 hypothetical protein COCSUDRAFT_59234 [Coccomyxa subellipsoidea C-169]	PSC70727.1 nitrate ABC transporter substrate-binding [Micractinium conductrix]
OG0000897	EIE24512.1 phosphoglycerate dehydrogenase [Coccomyxa subellipsoidea C-169]	PSC74816.1 D-3-phosphoglycerate dehydrogenase family [Micractinium conductrix]
OG0000898	EIE18893.1 hypothetical protein COCSUDRAFT_45039 [Coccomyxa subellipsoidea C-169], EIE18896.1 DUF699-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72964.1 N-acetyltransferase 10 isoform A [Micractinium conductrix], PSC72965.1 N-acetyltransferase 10 isoform B [Micractinium conductrix]
OG0000899	EIE19918.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PSC74602.1 Eukaryotic translation initiation factor 3 subunit C [Micractinium conductrix]
OG0000900	EIE22968.1 hypothetical protein COCSUDRAFT_63361 [Coccomyxa subellipsoidea C-169], EIE23237.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE20827.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PSC75585.1 eukaryotic translation initiation factor 5A-2 [Micractinium conductrix]
OG0000901	EIE24564.1 E2 ubiquitin-conjugating-like enzyme [Coccomyxa subellipsoidea C-169]	PSC68416.1 SUMO-conjugating enzyme SCE1 [Micractinium conductrix]
OG0000902	EIE18139.1 hypothetical protein COCSUDRAFT_49367 [Coccomyxa subellipsoidea C-169]	PSC76615.1 Serine protease ABC transporter B family tagA isoform A [Micractinium conductrix], PSC76614.1 Serine protease ABC transporter B family tagA isoform B [Micractinium conductrix]
OG0000903	EIE18209.1 hypothetical protein COCSUDRAFT_49330 [Coccomyxa subellipsoidea C-169], EIE24349.1 hypothetical protein COCSUDRAFT_65858 [Coccomyxa subellipsoidea C-169]	PSC75462.1 adenylate kinase [Micractinium conductrix]
OG0000904	EIE18591.1 histone acetyltransferase [Coccomyxa subellipsoidea C-169]	PSC72981.1 acetyltransferase NSI [Micractinium conductrix]
OG0000905	EIE21283.1 hypothetical protein COCSUDRAFT_57186 [Coccomyxa subellipsoidea C-169]	PSC73556.1 ERD4-related membrane [Micractinium conductrix]
OG0000906	EIE21494.1 hypothetical protein COCSUDRAFT_56707 [Coccomyxa subellipsoidea C-169]	PSC76503.1 leucine rich repeat isoform A [Micractinium conductrix], PSC76502.1 leucine rich repeat isoform B [Micractinium conductrix]
OG0000907	EIE20503.1 magnesium chelatase subunit D [Coccomyxa subellipsoidea C-169]	PSC76570.1 magnesium-chelatase subunit chloroplastic [Micractinium conductrix]
OG0000908	EIE18454.1 iron-sulfur cluster assembly protein IscA [Coccomyxa subellipsoidea C-169]	PSC71768.1 Iron-sulfur assembly -like mitochondrial [Micractinium conductrix], PSC69380.1 3-hydroxyacyl-dehydrogenase [Micractinium conductrix], PSC71748.1 inactive serine protease 54 isoform X2 [Micractinium conductrix]
OG0000909	EIE18284.1 hypothetical protein COCSUDRAFT_20812 [Coccomyxa subellipsoidea C-169]	PSC75464.1 MFS transporter [Micractinium conductrix]
OG0000910	EIE18818.1 hypothetical protein COCSUDRAFT_59748 [Coccomyxa subellipsoidea C-169]	PSC72174.1 hypothetical protein C2E20_4367 [Micractinium conductrix]
OG0000911	EIE22549.1 hypothetical protein COCSUDRAFT_42230 [Coccomyxa subellipsoidea C-169]	PSC73934.1 Solute carrier family 35 member G1 isoform B [Micractinium conductrix], PSC73933.1 Solute carrier family 35 member G1 isoform A [Micractinium conductrix], PSC76483.1 Solute carrier family 35 member G1 [Micractinium conductrix]
OG0000912	EIE26035.1 hypothetical protein COCSUDRAFT_61027 [Coccomyxa subellipsoidea C-169]	PSC67604.1 DNA ligase 4 isoform B [Micractinium conductrix], PSC67603.1 DNA ligase 4 isoform A [Micractinium conductrix]
OG0000913	EIE23697.1 hypothetical protein COCSUDRAFT_8654_ partial [Coccomyxa subellipsoidea C-169]	PSC71627.1 heterogeneous nuclear ribonucleo 1-like [Micractinium conductrix]
OG0000914	EIE25823.1 hypothetical protein COCSUDRAFT_60832 [Coccomyxa subellipsoidea C-169]	PSC69187.1 Cytochrome c554 [Micractinium conductrix]
OG0000915	EIE25929.1 long-chain-fatty-acid CoA ligase [Coccomyxa subellipsoidea C-169]	PSC68813.1 putative acyl-activating enzyme chloroplastic [Micractinium conductrix], PSC74557.1 long-chain-fatty-acid-ligase [Micractinium conductrix]
OG0000916	EIE21421.1 hypothetical protein COCSUDRAFT_48103 [Coccomyxa subellipsoidea C-169]	PSC71366.1 EFR3-like protein B-like isoform X2 [Micractinium conductrix]
OG0000917	EIE25938.1 hypothetical protein COCSUDRAFT_27529 [Coccomyxa subellipsoidea C-169]	PSC73917.1 RNA-binding NOB1 [Micractinium conductrix]
OG0000918	EIE23163.1 Ribokinase-like protein [Coccomyxa subellipsoidea C-169]	PSC72324.1 sugar kinase [Micractinium conductrix]
OG0000918	EIE23606.1 hypothetical protein COCSUDRAFT_63133 [Coccomyxa subellipsoidea C-169]	PSC72110.1 vacuolar fusion CCZ1-like protein isoform X2 [Micractinium conductrix]
OG0000919	EIE21838.1 hypothetical protein COCSUDRAFT_56289 [Coccomyxa subellipsoidea C-169]	PSC69491.1 Magnesium transporter MRS2-4 [Micractinium conductrix], PSC69475.1 Magnesium transporter MRS2-4 [Micractinium conductrix], PSC69394.1 Magnesium transporter MRS2-4 [Micractinium conductrix]
OG0000921	EIE20286.1 hypothetical protein COCSUDRAFT_67565 [Coccomyxa subellipsoidea C-169], EIE27205.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PSC68240.1 epimerase [Micractinium conductrix]
OG0000922	EIE18263.1 Mnt1 protein_ partial [Coccomyxa subellipsoidea C-169]	PSC68952.1 alpha 1_2-mannosyltransferase [Micractinium conductrix]
OG0000923	EIE19826.1 hypothetical protein COCSUDRAFT_44252 [Coccomyxa subellipsoidea C-169]	PSC74471.1 transmembrane 64-like [Micractinium conductrix]
OG0000923	EIE25687.1 hypothetical protein COCSUDRAFT_64779 [Coccomyxa subellipsoidea C-169]	PSC68097.1 CRT _chloroquine-resistance transporter_-like transporter [Micractinium conductrix]
OG0000924	EIE25414.1 hypothetical protein COCSUDRAFT_61633 [Coccomyxa subellipsoidea C-169], EIE22294.1 hypothetical protein COCSUDRAFT_55988 [Coccomyxa subellipsoidea C-169]	PSC70457.1 50S ribosomal L23 [Micractinium conductrix]
OG0000925	EIE21091.1 hypothetical protein COCSUDRAFT_33788 [Coccomyxa subellipsoidea C-169]	PSC73212.1 iron manganese superoxide alpha-hairpin domain [Micractinium conductrix], PSC71348.1 hypothetical protein C2E20_5234 [Micractinium conductrix], PSC73153.1 N-acetylgalactosamine kinase [Micractinium conductrix], PSC73526.1 hypothetical protein C2E20_3519 [Micractinium conductrix]
OG0000926	EIE19009.1 hypothetical protein COCSUDRAFT_83599 [Coccomyxa subellipsoidea C-169]	PSC74335.1 microtubule organizing mora [Micractinium conductrix], PSC67998.1 microtubule associated [Micractinium conductrix]
OG0000927	EIE19767.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	PSC74701.1 Adenosine deaminase [Micractinium conductrix], PSC75895.1 B Chain Kynurenine Aminotransferase Ii Inhibitor [Micractinium conductrix]
OG0000928	EIE26399.1 acyl-CoA dependent delta5-desaturase [Coccomyxa subellipsoidea C-169], EIE26730.1 Translin [Coccomyxa subellipsoidea C-169]	PSC67453.1 hypothetical protein C2E20_8861 [Micractinium conductrix]
OG0000929	EIE21682.1 G-strand telomere binding protein 1 [Coccomyxa subellipsoidea C-169]	PSC76996.1 G-strand telomere binding 1 [Micractinium conductrix]
OG0000930	EIE26546.1 TPR-like protein [Coccomyxa subellipsoidea C-169]	PSC73221.1 RNA polymerase-associated CTR9-like protein [Micractinium conductrix]
OG0000931	EIE26548.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PSC74907.1 VAC14-like protein [Micractinium conductrix]
OG0000932	EIE20530.1 hypothetical protein COCSUDRAFT_10924_ partial [Coccomyxa subellipsoidea C-169]	PSC77066.1 zinc finger CCHC domain-containing 7-like [Micractinium conductrix]
OG0000932	EIE22786.1 PRA-CH-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC76889.1 histidine biosynthesis bifunctional chloroplastic-like [Micractinium conductrix]
OG0000933	EIE23100.1 hypothetical protein COCSUDRAFT_42055 [Coccomyxa subellipsoidea C-169], EIE18767.1 hypothetical protein COCSUDRAFT_49195 [Coccomyxa subellipsoidea C-169], EIE24130.1 hypothetical protein COCSUDRAFT_47154 [Coccomyxa subellipsoidea C-169]	PSC74935.1 RAP domain [Micractinium conductrix]
OG0000934	EIE23704.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169], EIE23705.1 nucleotide-diphospho-sugar transferase_ partial [Coccomyxa subellipsoidea C-169]	PSC71384.1 glycosyltransferase family 2 [Micractinium conductrix]
OG0000936	EIE27426.1 hypothetical protein COCSUDRAFT_52164 [Coccomyxa subellipsoidea C-169]	PSC69552.1 Nitric oxide synthase-interacting [Micractinium conductrix], PSC75411.1 hypothetical protein C2E20_1400 isoform X1 [Micractinium conductrix]
OG0000938	EIE24462.1 hypothetical protein COCSUDRAFT_65368 [Coccomyxa subellipsoidea C-169]	PSC68701.1 Synaptosomal-associated 25 isoform B [Micractinium conductrix], PSC68702.1 Synaptosomal-associated 25 isoform A [Micractinium conductrix]
OG0000939	EIE25345.1 gamma-glutamyltranspeptidase [Coccomyxa subellipsoidea C-169]	PSC67120.1 gamma-glutamyltranspeptidase 1-like [Micractinium conductrix]
OG0000940	EIE20875.1 initiation factor 3_ partial [Coccomyxa subellipsoidea C-169]	PSC69241.1 translation initiation factor IF-3 [Micractinium conductrix]
OG0000941	EIE22954.1 DAGAT-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73158.1 Diacylglycerol O-acyltransferase 2 isoform B [Micractinium conductrix], PSC73157.1 Diacylglycerol O-acyltransferase 2 isoform A [Micractinium conductrix], PSC70219.1 Diacylglycerol O-acyltransferase 2 [Micractinium conductrix]
OG0000942	EIE26649.1 ankyrin [Coccomyxa subellipsoidea C-169]	PSC75316.1 S-acyltransferase 24 isoform X1 [Micractinium conductrix]
OG0000943	EIE22040.1 ARM repeat-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE22055.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC71593.1 tubulin-folding cofactor D [Micractinium conductrix]
OG0000945	EIE19092.1 hypothetical protein COCSUDRAFT_44871 [Coccomyxa subellipsoidea C-169]	PSC74354.1 short-chain dehydrogenase reductase [Micractinium conductrix], PSC74611.1 Telomerase-binding EST1A [Micractinium conductrix]
OG0000946	EIE19014.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PSC74613.1 arylesterase isoform A [Micractinium conductrix], PSC74612.1 arylesterase isoform C [Micractinium conductrix], PSC74614.1 arylesterase isoform B [Micractinium conductrix]
OG0000947	EIE23147.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC76913.1 kinase family [Micractinium conductrix]
OG0000948	EIE21058.1 omega-3 fatty acid desaturase [Coccomyxa subellipsoidea C-169]	PSC71199.1 omega-3 fatty acid desaturase [Micractinium conductrix]
OG0000949	EIE23640.1 Metallo-dependent phosphatase_ partial [Coccomyxa subellipsoidea C-169]	PSC74940.1 Metallo-dependent [Micractinium conductrix], PSC76652.1 Metallo-dependent [Micractinium conductrix]
OG0000950	EIE18998.1 hypothetical protein COCSUDRAFT_20201 [Coccomyxa subellipsoidea C-169]	PSC69053.1 beta-galactosidase [Micractinium conductrix]
OG0000951	EIE20738.1 hypothetical protein COCSUDRAFT_57302 [Coccomyxa subellipsoidea C-169]	PSC67896.1 hypothetical protein C2E20_8437 [Micractinium conductrix], PSC70225.1 heat shock factor HSF8 [Micractinium conductrix]
OG0000952	EIE23900.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169], EIE19250.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169]	PSC75378.1 R-SNARE VAMP72-family [Micractinium conductrix]
OG0000953	EIE26723.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72680.1 COP9 signalosome complex subunit 2 [Micractinium conductrix]
OG0000954	EIE18918.1 TPR-like protein [Coccomyxa subellipsoidea C-169]	PSC71557.1 nadh_ubiquinone oxidoreductase complex i intermediate-associated 30 [Micractinium conductrix]
OG0000955	EIE19682.1 coproporphyrinogen oxidase [Coccomyxa subellipsoidea C-169]	PSC67153.1 coproporphyrinogen III oxidase [Micractinium conductrix], PSC73612.1 coproporphyrinogen III oxidase chloroplast precursor [Micractinium conductrix]
OG0000956	EIE26468.1 hypothetical protein COCSUDRAFT_12196_ partial [Coccomyxa subellipsoidea C-169]	PSC73317.1 ubiquitin-like modifier-activating enzyme 5 [Micractinium conductrix]
OG0000957	EIE23266.1 hypothetical protein COCSUDRAFT_42173 [Coccomyxa subellipsoidea C-169]	PSC73906.1 Alkaline phosphatase [Micractinium conductrix], PSC71808.1 peptidase S8 [Micractinium conductrix], PSC76857.1 subtilisin-like serine protease [Micractinium conductrix]
OG0000958	EIE27121.1 yippee-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27240.1 yippee-like protein [Coccomyxa subellipsoidea C-169]	PSC72292.1 Yippee zincbinding [Micractinium conductrix]
OG0000959	EIE27301.1 hypothetical protein COCSUDRAFT_55320 [Coccomyxa subellipsoidea C-169]	PSC72095.1 outer dynein arm-docking complex subunit 3 isoform A [Micractinium conductrix]
OG0000959	EIE27318.1 outer dynein arm-docking complex subunit 3 [Coccomyxa subellipsoidea C-169]	PSC72096.1 outer dynein arm-docking complex subunit 3 isoform B [Micractinium conductrix]
OG0000960	EIE27354.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC72211.1 serine threonine-kinase CTR1-like [Micractinium conductrix]
OG0000962	EIE25084.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PSC70538.1 GDP-fucose synthetase [Micractinium conductrix], PSC70540.1 GDP-L-fucose synthase 2 [Micractinium conductrix], PSC72484.1 ABC transporter F family member 4 isoform A [Micractinium conductrix], PSC72485.1 ABC transporter F family member 4 isoform B [Micractinium conductrix]
OG0000964	EIE26400.1 hypothetical protein COCSUDRAFT_39509 [Coccomyxa subellipsoidea C-169]	PSC74664.1 PHD and RING finger domain [Micractinium conductrix]
OG0000965	EIE21192.1 Sigma2 domain of RNA polymerase sigma factor_ partial [Coccomyxa subellipsoidea C-169]	PSC68406.1 RNA polymerase sigma factor [Micractinium conductrix]
OG0000965	EIE20761.1 RNA polymerase sigma factor_ cyanobacterial RpoD-like family [Coccomyxa subellipsoidea C-169]	PSC70250.1 RNA polymerase sigma factor [Micractinium conductrix]
OG0000966	EIE26050.1 Hiv-1 Rna binding protein 1_ partial [Coccomyxa subellipsoidea C-169]	PSC68745.1 methyltransferase TARBP1 [Micractinium conductrix], PSC68746.1 hypothetical protein C2E20_7628 [Micractinium conductrix]
