Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_VariabilisNC64A
OG0000092	EIE25766.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	XP_005848091.1 hypothetical protein CHLNCDRAFT_145360 [Chlorella variabilis], XP_005851774.1 expressed protein [Chlorella variabilis]
OG0000093	EIE26079.1 hypothetical protein COCSUDRAFT_61074 [Coccomyxa subellipsoidea C-169], EIE26077.1 hypothetical protein COCSUDRAFT_64969 [Coccomyxa subellipsoidea C-169]	XP_005849431.1 hypothetical protein CHLNCDRAFT_143978 [Chlorella variabilis], XP_005849851.1 hypothetical protein CHLNCDRAFT_143024 [Chlorella variabilis], XP_005849226.1 hypothetical protein CHLNCDRAFT_21653_ partial [Chlorella variabilis], XP_005849436.1 hypothetical protein CHLNCDRAFT_21625 [Chlorella variabilis], XP_005851100.1 hypothetical protein CHLNCDRAFT_137643 [Chlorella variabilis]
OG0000095	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis]
OG0000095	EIE19833.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis]
OG0000095	EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]	XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]
OG0000096	EIE24526.1 half-size ABC transporter [Coccomyxa subellipsoidea C-169]	XP_005846494.1 hypothetical protein CHLNCDRAFT_25066 [Chlorella variabilis]
OG0000096	EIE21885.1 hypothetical protein COCSUDRAFT_56332 [Coccomyxa subellipsoidea C-169]	XP_005844767.1 hypothetical protein CHLNCDRAFT_138610 [Chlorella variabilis]
OG0000097	EIE23021.1 hypothetical protein COCSUDRAFT_6458_ partial [Coccomyxa subellipsoidea C-169]	XP_005845438.1 hypothetical protein CHLNCDRAFT_137062 [Chlorella variabilis], XP_005845437.1 hypothetical protein CHLNCDRAFT_137061 [Chlorella variabilis]
OG0000097	EIE23134.1 hypothetical protein COCSUDRAFT_42072 [Coccomyxa subellipsoidea C-169]	XP_005847273.1 hypothetical protein CHLNCDRAFT_59680 [Chlorella variabilis]
OG0000097	EIE21411.1 hypothetical protein COCSUDRAFT_66872 [Coccomyxa subellipsoidea C-169]	XP_005845312.1 hypothetical protein CHLNCDRAFT_137065 [Chlorella variabilis]
OG0000098	EIE25121.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]	XP_005843566.1 hypothetical protein CHLNCDRAFT_59812 [Chlorella variabilis]
OG0000098	EIE24005.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]	XP_005852212.1 hypothetical protein CHLNCDRAFT_18230 [Chlorella variabilis]
OG0000098	EIE20588.1 mitochondrial malate dehydrogenase [Coccomyxa subellipsoidea C-169]	XP_005850482.1 hypothetical protein CHLNCDRAFT_59566 [Chlorella variabilis]
OG0000099	EIE24867.1 glycoside hydrolase_ partial [Coccomyxa subellipsoidea C-169]	XP_005842557.1 hypothetical protein CHLNCDRAFT_144614_ partial [Chlorella variabilis], XP_005847543.1 hypothetical protein CHLNCDRAFT_133737 [Chlorella variabilis], XP_005850238.1 hypothetical protein CHLNCDRAFT_141891 [Chlorella variabilis], XP_005849981.1 hypothetical protein CHLNCDRAFT_8109_ partial [Chlorella variabilis], XP_005846452.1 hypothetical protein CHLNCDRAFT_135608 [Chlorella variabilis]
OG0000100	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169]	XP_005843553.1 hypothetical protein CHLNCDRAFT_140184 [Chlorella variabilis]
OG0000100	EIE19865.1 chaperonin 60A [Coccomyxa subellipsoidea C-169]	XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis]
OG0000100	EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]	XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]
OG0000101	EIE24424.1 hypothetical protein COCSUDRAFT_28166 [Coccomyxa subellipsoidea C-169]	XP_005844402.1 hypothetical protein CHLNCDRAFT_32555 [Chlorella variabilis]
OG0000101	EIE27350.1 ATP-dependent Clp protease ATPase subunit [Coccomyxa subellipsoidea C-169]	XP_005846914.1 hypothetical protein CHLNCDRAFT_58067 [Chlorella variabilis]
OG0000102	EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169]	XP_005850093.1 hypothetical protein CHLNCDRAFT_142154 [Chlorella variabilis]
OG0000102	EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]	XP_005851884.1 hypothetical protein CHLNCDRAFT_33619 [Chlorella variabilis]
OG0000104	EIE25010.1 hypothetical protein COCSUDRAFT_65061 [Coccomyxa subellipsoidea C-169]	XP_005851204.1 hypothetical protein CHLNCDRAFT_137888 [Chlorella variabilis]
OG0000104	EIE25771.1 hypothetical protein COCSUDRAFT_40047 [Coccomyxa subellipsoidea C-169]	XP_005851210.1 hypothetical protein CHLNCDRAFT_137899 [Chlorella variabilis]
OG0000104	EIE21323.1 hypothetical protein COCSUDRAFT_56546 [Coccomyxa subellipsoidea C-169]	XP_005851495.1 hypothetical protein CHLNCDRAFT_137881 [Chlorella variabilis]
OG0000104	EIE19790.1 CP12-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005851203.1 hypothetical protein CHLNCDRAFT_137886 [Chlorella variabilis]
OG0000105	EIE26288.1 gamma heavy chain subunit of outer-arm dynein_ partial [Coccomyxa subellipsoidea C-169]	XP_005843523.1 hypothetical protein CHLNCDRAFT_59252 [Chlorella variabilis], XP_005842773.1 hypothetical protein CHLNCDRAFT_144018_ partial [Chlorella variabilis]
OG0000105	EIE25538.1 hypothetical protein COCSUDRAFT_40751 [Coccomyxa subellipsoidea C-169]	XP_005850389.1 hypothetical protein CHLNCDRAFT_20468 [Chlorella variabilis]
OG0000106	EIE18881.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169]	XP_005846592.1 hypothetical protein CHLNCDRAFT_9386_ partial [Chlorella variabilis], XP_005845071.1 hypothetical protein CHLNCDRAFT_58686 [Chlorella variabilis]
OG0000106	EIE26900.1 farnesyl-diphosphate farnesyltransferase [Coccomyxa subellipsoidea C-169]	XP_005851990.1 hypothetical protein CHLNCDRAFT_18492 [Chlorella variabilis]
OG0000107	EIE25866.1 hypothetical protein COCSUDRAFT_60876 [Coccomyxa subellipsoidea C-169]	XP_005849180.1 hypothetical protein CHLNCDRAFT_143843 [Chlorella variabilis]
OG0000107	EIE21886.1 hypothetical protein COCSUDRAFT_42915 [Coccomyxa subellipsoidea C-169]	XP_005849181.1 hypothetical protein CHLNCDRAFT_143844 [Chlorella variabilis], XP_005849412.1 hypothetical protein CHLNCDRAFT_143926 [Chlorella variabilis]
OG0000111	EIE20987.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	XP_005849036.1 hypothetical protein CHLNCDRAFT_143466 [Chlorella variabilis], XP_005848325.1 hypothetical protein CHLNCDRAFT_35166 [Chlorella variabilis], XP_005842817.1 hypothetical protein CHLNCDRAFT_28788_ partial [Chlorella variabilis], XP_005842829.1 hypothetical protein CHLNCDRAFT_142575 [Chlorella variabilis], XP_005848326.1 hypothetical protein CHLNCDRAFT_35167 [Chlorella variabilis], XP_005842830.1 hypothetical protein CHLNCDRAFT_142576 [Chlorella variabilis]
OG0000113	EIE23956.1 amino acid transporter [Coccomyxa subellipsoidea C-169]	XP_005846098.1 hypothetical protein CHLNCDRAFT_53357 [Chlorella variabilis], XP_005846706.1 hypothetical protein CHLNCDRAFT_58128 [Chlorella variabilis]
OG0000114	EIE21088.1 Metallo-hydrolase/oxidoreductase_ partial [Coccomyxa subellipsoidea C-169]	XP_005846553.1 hypothetical protein CHLNCDRAFT_31874 [Chlorella variabilis]
OG0000114	EIE26661.1 hypothetical protein COCSUDRAFT_46179 [Coccomyxa subellipsoidea C-169]	XP_005848569.1 expressed protein [Chlorella variabilis], XP_005848568.1 hypothetical protein CHLNCDRAFT_145133 [Chlorella variabilis], XP_005846552.1 hypothetical protein CHLNCDRAFT_135876 [Chlorella variabilis]
OG0000115	EIE23251.1 hypothetical protein COCSUDRAFT_66237 [Coccomyxa subellipsoidea C-169]	XP_005847525.1 hypothetical protein CHLNCDRAFT_23482 [Chlorella variabilis]
OG0000115	EIE27745.1 class I RPD3 type histone deacetylase protein [Coccomyxa subellipsoidea C-169]	XP_005848164.1 hypothetical protein CHLNCDRAFT_145535 [Chlorella variabilis]
OG0000115	EIE22949.1 histone deacetylase 3 [Coccomyxa subellipsoidea C-169]	XP_005847495.1 hypothetical protein CHLNCDRAFT_8472_ partial [Chlorella variabilis]
OG0000116	EIE27567.1 ferredoxin_ partial [Coccomyxa subellipsoidea C-169]	XP_005847886.1 hypothetical protein CHLNCDRAFT_145238 [Chlorella variabilis]
OG0000116	EIE20433.1 chloroplast ferredoxin [Coccomyxa subellipsoidea C-169]	XP_005844499.1 hypothetical protein CHLNCDRAFT_138861 [Chlorella variabilis]
OG0000116	EIE19276.1 ferredoxin [Coccomyxa subellipsoidea C-169]	XP_005849021.1 hypothetical protein CHLNCDRAFT_21597_ partial [Chlorella variabilis]
OG0000117	EIE20377.1 concanavalin A-like lectin/glucanase [Coccomyxa subellipsoidea C-169]	XP_005848054.1 hypothetical protein CHLNCDRAFT_145257 [Chlorella variabilis], XP_005849516.1 hypothetical protein CHLNCDRAFT_142854 [Chlorella variabilis], XP_005844076.1 hypothetical protein CHLNCDRAFT_139471 [Chlorella variabilis], XP_005842741.1 hypothetical protein CHLNCDRAFT_145185_ partial [Chlorella variabilis], XP_005851807.1 hypothetical protein CHLNCDRAFT_133261 [Chlorella variabilis]
OG0000118	EIE20256.1 histone H3 K4-specific methyltransferase SET7/9 N-terminal domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005845718.1 hypothetical protein CHLNCDRAFT_8997_ partial [Chlorella variabilis]
OG0000118	EIE18741.1 hypothetical protein COCSUDRAFT_45205 [Coccomyxa subellipsoidea C-169]	XP_005845723.1 hypothetical protein CHLNCDRAFT_58420 [Chlorella variabilis], XP_005845829.1 hypothetical protein CHLNCDRAFT_136293 [Chlorella variabilis]
OG0000119	EIE24006.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	XP_005852221.1 hypothetical protein CHLNCDRAFT_33628 [Chlorella variabilis]
OG0000119	EIE19374.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	XP_005851088.1 hypothetical protein CHLNCDRAFT_137613 [Chlorella variabilis]
OG0000120	EIE26483.1 protein translocase subunit secA_ chloroplastic [Coccomyxa subellipsoidea C-169]	XP_005844383.1 hypothetical protein CHLNCDRAFT_26946_ partial [Chlorella variabilis]
OG0000121	EIE19012.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	XP_005846831.1 hypothetical protein CHLNCDRAFT_13204_ partial [Chlorella variabilis]
OG0000124	EIE22272.1 DnaJ-like protein [Coccomyxa subellipsoidea C-169]	XP_005848444.1 hypothetical protein CHLNCDRAFT_51784 [Chlorella variabilis]
OG0000124	EIE23114.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005851664.1 hypothetical protein CHLNCDRAFT_18104 [Chlorella variabilis]
OG0000125	EIE22020.1 hypothetical protein COCSUDRAFT_17170_ partial [Coccomyxa subellipsoidea C-169]	XP_005845721.1 expressed protein [Chlorella variabilis]
OG0000126	EIE26385.1 hypothetical protein COCSUDRAFT_46068 [Coccomyxa subellipsoidea C-169]	XP_005850870.1 hypothetical protein CHLNCDRAFT_140512 [Chlorella variabilis]
OG0000126	EIE27012.1 hypothetical protein COCSUDRAFT_83571 [Coccomyxa subellipsoidea C-169], EIE27011.1 hypothetical protein COCSUDRAFT_83570 [Coccomyxa subellipsoidea C-169]	XP_005850873.1 hypothetical protein CHLNCDRAFT_140516 [Chlorella variabilis]
OG0000126	EIE20061.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]	XP_005843576.1 hypothetical protein CHLNCDRAFT_33086 [Chlorella variabilis]
OG0000127	EIE27676.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	XP_005849121.1 hypothetical protein CHLNCDRAFT_21429_ partial [Chlorella variabilis]
OG0000127	EIE24439.1 hypothetical protein COCSUDRAFT_35925 [Coccomyxa subellipsoidea C-169]	XP_005852045.1 hypothetical protein CHLNCDRAFT_133017 [Chlorella variabilis]
OG0000128	EIE26319.1 flagellar associated protein [Coccomyxa subellipsoidea C-169]	XP_005847323.1 hypothetical protein CHLNCDRAFT_56178 [Chlorella variabilis]
OG0000128	EIE27123.1 peptidase C54 [Coccomyxa subellipsoidea C-169]	XP_005849098.1 hypothetical protein CHLNCDRAFT_143632 [Chlorella variabilis]
OG0000128	EIE22388.1 RNB-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005849583.1 hypothetical protein CHLNCDRAFT_143004 [Chlorella variabilis]
OG0000129	EIE19174.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169], EIE19224.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169], EIE26352.1 hypothetical protein COCSUDRAFT_39467 [Coccomyxa subellipsoidea C-169], EIE18756.1 ABC family transporter_ multidrug_ partial [Coccomyxa subellipsoidea C-169]	XP_005843674.1 hypothetical protein CHLNCDRAFT_140061 [Chlorella variabilis], XP_005842827.1 hypothetical protein CHLNCDRAFT_142571 [Chlorella variabilis]
OG0000129	EIE23970.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	XP_005848660.1 hypothetical protein CHLNCDRAFT_10394_ partial [Chlorella variabilis]
OG0000130	EIE25335.1 trypsin-like serine protease [Coccomyxa subellipsoidea C-169]	XP_005850048.1 hypothetical protein CHLNCDRAFT_34342 [Chlorella variabilis]
OG0000131	EIE27501.1 hypothetical protein COCSUDRAFT_45889 [Coccomyxa subellipsoidea C-169]	XP_005847891.1 hypothetical protein CHLNCDRAFT_52004 [Chlorella variabilis]
OG0000131	EIE27645.1 hypothetical protein COCSUDRAFT_64322 [Coccomyxa subellipsoidea C-169]	XP_005847892.1 hypothetical protein CHLNCDRAFT_57709 [Chlorella variabilis]
OG0000132	EIE23788.1 hypothetical protein COCSUDRAFT_66097 [Coccomyxa subellipsoidea C-169], EIE20551.1 hypothetical protein COCSUDRAFT_48555 [Coccomyxa subellipsoidea C-169], EIE20548.1 hypothetical protein COCSUDRAFT_57694 [Coccomyxa subellipsoidea C-169]	XP_005843362.1 expressed protein [Chlorella variabilis]
OG0000132	EIE22653.1 hypothetical protein COCSUDRAFT_66327 [Coccomyxa subellipsoidea C-169]	XP_005845594.1 hypothetical protein CHLNCDRAFT_58548 [Chlorella variabilis], XP_005847908.1 hypothetical protein CHLNCDRAFT_145296 [Chlorella variabilis]
OG0000133	EIE27253.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844022.1 hypothetical protein CHLNCDRAFT_139566 [Chlorella variabilis]
OG0000133	EIE18886.1 hypothetical protein COCSUDRAFT_45033 [Coccomyxa subellipsoidea C-169]	XP_005842662.1 expressed protein_ partial [Chlorella variabilis]
OG0000133	EIE21811.1 ABC-1-like kinase [Coccomyxa subellipsoidea C-169]	XP_005843049.1 hypothetical protein CHLNCDRAFT_33282_ partial [Chlorella variabilis]
OG0000134	EIE27098.1 hypothetical protein COCSUDRAFT_45729 [Coccomyxa subellipsoidea C-169]	XP_005845639.1 hypothetical protein CHLNCDRAFT_136649 [Chlorella variabilis]
OG0000135	EIE22784.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005845860.1 hypothetical protein CHLNCDRAFT_36318 [Chlorella variabilis]
OG0000135	EIE23938.1 ribosomal protein S9 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	XP_005849917.1 hypothetical protein CHLNCDRAFT_56085 [Chlorella variabilis]
OG0000136	EIE25066.1 putative GABA-specific permease [Coccomyxa subellipsoidea C-169], EIE25065.1 amino acid transporter [Coccomyxa subellipsoidea C-169], EIE25067.1 amino acid transporter [Coccomyxa subellipsoidea C-169], EIE25031.1 hypothetical protein COCSUDRAFT_61280 [Coccomyxa subellipsoidea C-169], EIE25063.1 amino acid transporter [Coccomyxa subellipsoidea C-169], EIE25068.1 amino acid transporter [Coccomyxa subellipsoidea C-169], EIE19927.1 hypothetical protein COCSUDRAFT_48735 [Coccomyxa subellipsoidea C-169], EIE19926.1 hypothetical protein COCSUDRAFT_44328 [Coccomyxa subellipsoidea C-169], EIE25072.1 putative GABA-specific permease [Coccomyxa subellipsoidea C-169], EIE25071.1 amino acid transporter [Coccomyxa subellipsoidea C-169], EIE26938.1 hypothetical protein COCSUDRAFT_46288 [Coccomyxa subellipsoidea C-169]	XP_005850418.1 hypothetical protein CHLNCDRAFT_142334_ partial [Chlorella variabilis]
OG0000137	EIE18944.1 hypothetical protein COCSUDRAFT_59869 [Coccomyxa subellipsoidea C-169]	XP_005844633.1 hypothetical protein CHLNCDRAFT_138947 [Chlorella variabilis], XP_005844638.1 hypothetical protein CHLNCDRAFT_138957 [Chlorella variabilis]
OG0000137	EIE25580.1 hypothetical protein COCSUDRAFT_65314 [Coccomyxa subellipsoidea C-169]	XP_005851936.1 hypothetical protein CHLNCDRAFT_12919_ partial [Chlorella variabilis], XP_005851937.1 hypothetical protein CHLNCDRAFT_133596 [Chlorella variabilis]
OG0000139	EIE27056.1 hypothetical protein COCSUDRAFT_55083 [Coccomyxa subellipsoidea C-169], EIE18251.1 hypothetical protein COCSUDRAFT_45511 [Coccomyxa subellipsoidea C-169], EIE25000.1 hypothetical protein COCSUDRAFT_40367 [Coccomyxa subellipsoidea C-169], EIE27079.1 hypothetical protein COCSUDRAFT_38842 [Coccomyxa subellipsoidea C-169], EIE27105.1 hypothetical protein COCSUDRAFT_38860 [Coccomyxa subellipsoidea C-169], EIE18286.1 hypothetical protein COCSUDRAFT_45536 [Coccomyxa subellipsoidea C-169], EIE27099.1 hypothetical protein COCSUDRAFT_38856 [Coccomyxa subellipsoidea C-169], EIE27104.1 hypothetical protein COCSUDRAFT_55127 [Coccomyxa subellipsoidea C-169], EIE27103.1 hypothetical protein COCSUDRAFT_38859 [Coccomyxa subellipsoidea C-169], EIE27100.1 hypothetical protein COCSUDRAFT_38857 [Coccomyxa subellipsoidea C-169], EIE27110.1 hypothetical protein COCSUDRAFT_38864 [Coccomyxa subellipsoidea C-169], EIE27101.1 hypothetical protein COCSUDRAFT_55124 [Coccomyxa subellipsoidea C-169], EIE22026.1 hypothetical protein COCSUDRAFT_56459 [Coccomyxa subellipsoidea C-169], EIE21129.1 hypothetical protein COCSUDRAFT_43474 [Coccomyxa subellipsoidea C-169], EIE21128.1 hypothetical protein COCSUDRAFT_43473 [Coccomyxa subellipsoidea C-169]	XP_005846009.1 hypothetical protein CHLNCDRAFT_136093 [Chlorella variabilis]
OG0000141	EIE23732.1 hypothetical protein COCSUDRAFT_41892 [Coccomyxa subellipsoidea C-169]	XP_005849161.1 hypothetical protein CHLNCDRAFT_143802 [Chlorella variabilis], XP_005849162.1 hypothetical protein CHLNCDRAFT_143803 [Chlorella variabilis]
OG0000141	EIE27800.1 hypothetical protein COCSUDRAFT_46000 [Coccomyxa subellipsoidea C-169], EIE24495.1 hypothetical protein COCSUDRAFT_46828 [Coccomyxa subellipsoidea C-169], EIE26333.1 hypothetical protein COCSUDRAFT_58870 [Coccomyxa subellipsoidea C-169], EIE18780.1 barwin-like endoglucanase [Coccomyxa subellipsoidea C-169], EIE23848.1 hypothetical protein COCSUDRAFT_62378 [Coccomyxa subellipsoidea C-169], EIE23850.1 barwin-like endoglucanase [Coccomyxa subellipsoidea C-169], EIE23849.1 hypothetical protein COCSUDRAFT_62379 [Coccomyxa subellipsoidea C-169]	XP_005846210.1 hypothetical protein CHLNCDRAFT_136257 [Chlorella variabilis]
OG0000142	EIE25596.1 AP2-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005847221.1 hypothetical protein CHLNCDRAFT_23683_ partial [Chlorella variabilis]
OG0000142	EIE26470.1 AP2-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005850705.1 hypothetical protein CHLNCDRAFT_13529_ partial [Chlorella variabilis]
OG0000143	EIE27096.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	XP_005852297.1 hypothetical protein CHLNCDRAFT_15847_ partial [Chlorella variabilis]
OG0000143	EIE24240.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169], EIE19892.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169], EIE18216.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169], EIE25875.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169], EIE20466.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	XP_005845616.1 hypothetical protein CHLNCDRAFT_58566 [Chlorella variabilis], XP_005851825.1 hypothetical protein CHLNCDRAFT_133298 [Chlorella variabilis], XP_005848257.1 hypothetical protein CHLNCDRAFT_144837 [Chlorella variabilis], XP_005851826.1 hypothetical protein CHLNCDRAFT_17423_ partial [Chlorella variabilis]
OG0000144	EIE19983.1 AP2-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005843729.1 hypothetical protein CHLNCDRAFT_59189 [Chlorella variabilis]
OG0000144	EIE22185.1 AP2-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005848803.1 hypothetical protein CHLNCDRAFT_17998_ partial [Chlorella variabilis]
OG0000146	EIE19630.1 acetyl-CoA synthetase-like protein [Coccomyxa subellipsoidea C-169]	XP_005848690.1 hypothetical protein CHLNCDRAFT_22093 [Chlorella variabilis]
OG0000146	EIE24423.1 acetyl-CoA synthetase-like protein [Coccomyxa subellipsoidea C-169], EIE18699.1 long chain acyl-CoA synthetase 4 [Coccomyxa subellipsoidea C-169]	XP_005852102.1 hypothetical protein CHLNCDRAFT_29209 [Chlorella variabilis], XP_005850942.1 hypothetical protein CHLNCDRAFT_29855 [Chlorella variabilis]
OG0000147	EIE18504.1 patatin-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005848649.1 hypothetical protein CHLNCDRAFT_144196 [Chlorella variabilis], XP_005850101.1 hypothetical protein CHLNCDRAFT_142167 [Chlorella variabilis], XP_005848934.1 hypothetical protein CHLNCDRAFT_144397 [Chlorella variabilis]
OG0000148	EIE26006.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	XP_005845008.1 hypothetical protein CHLNCDRAFT_138471 [Chlorella variabilis]
OG0000148	EIE23475.1 hypothetical protein COCSUDRAFT_41714 [Coccomyxa subellipsoidea C-169]	XP_005845009.1 hypothetical protein CHLNCDRAFT_138472 [Chlorella variabilis]
OG0000149	EIE20889.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844105.1 hypothetical protein CHLNCDRAFT_27262 [Chlorella variabilis]
OG0000149	EIE21900.1 Arginase/deacetylase [Coccomyxa subellipsoidea C-169]	XP_005845035.1 hypothetical protein CHLNCDRAFT_137274 [Chlorella variabilis]
OG0000149	EIE18460.1 Arginase/deacetylase [Coccomyxa subellipsoidea C-169]	XP_005851005.1 hypothetical protein CHLNCDRAFT_140841 [Chlorella variabilis]
OG0000150	EIE19681.1 alpha-amylase [Coccomyxa subellipsoidea C-169], EIE21645.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	XP_005846402.1 hypothetical protein CHLNCDRAFT_35990 [Chlorella variabilis]
OG0000150	EIE22452.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	XP_005847652.1 hypothetical protein CHLNCDRAFT_31136 [Chlorella variabilis]
OG0000150	EIE19497.1 hypothetical protein COCSUDRAFT_58773 [Coccomyxa subellipsoidea C-169]	XP_005847817.1 hypothetical protein CHLNCDRAFT_134018 [Chlorella variabilis]
OG0000151	EIE24449.1 acetyl CoA synthetase [Coccomyxa subellipsoidea C-169]	XP_005845354.1 hypothetical protein CHLNCDRAFT_26010 [Chlorella variabilis], XP_005843341.1 hypothetical protein CHLNCDRAFT_56405 [Chlorella variabilis]
OG0000151	EIE21675.1 acetate--CoA ligase [Coccomyxa subellipsoidea C-169]	XP_005845337.1 hypothetical protein CHLNCDRAFT_32259 [Chlorella variabilis]
OG0000152	EIE24779.1 mitogen activated protein kinase [Coccomyxa subellipsoidea C-169]	XP_005844457.1 hypothetical protein CHLNCDRAFT_36812 [Chlorella variabilis]
OG0000153	EIE21497.1 hypothetical protein COCSUDRAFT_43213 [Coccomyxa subellipsoidea C-169]	XP_005851613.1 hypothetical protein CHLNCDRAFT_50074 [Chlorella variabilis], XP_005851614.1 hypothetical protein CHLNCDRAFT_138155 [Chlorella variabilis], XP_005851483.1 hypothetical protein CHLNCDRAFT_137858 [Chlorella variabilis], XP_005849502.1 hypothetical protein CHLNCDRAFT_50917 [Chlorella variabilis]
OG0000154	EIE26904.1 hypothetical protein COCSUDRAFT_39864 [Coccomyxa subellipsoidea C-169], EIE19957.1 hypothetical protein COCSUDRAFT_44353 [Coccomyxa subellipsoidea C-169]	XP_005851259.1 hypothetical protein CHLNCDRAFT_50004 [Chlorella variabilis]
OG0000155	EIE23447.1 DUF21-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22558.1 DUF21-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005851471.1 hypothetical protein CHLNCDRAFT_137839 [Chlorella variabilis]
OG0000156	EIE20204.1 hypothetical protein COCSUDRAFT_57927 [Coccomyxa subellipsoidea C-169]	XP_005842889.1 expressed protein [Chlorella variabilis], XP_005842890.1 hypothetical protein CHLNCDRAFT_142498 [Chlorella variabilis]
OG0000156	EIE21074.1 hypothetical protein COCSUDRAFT_67065 [Coccomyxa subellipsoidea C-169], EIE26755.1 SET domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23279.1 hypothetical protein COCSUDRAFT_53559 [Coccomyxa subellipsoidea C-169], EIE22327.1 SET domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23840.1 SET domain-containing protein [Coccomyxa subellipsoidea C-169], EIE18027.1 SET domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005848905.1 hypothetical protein CHLNCDRAFT_51577 [Chlorella variabilis], XP_005842887.1 hypothetical protein CHLNCDRAFT_142491 [Chlorella variabilis]
OG0000156	EIE22349.1 hypothetical protein COCSUDRAFT_42681 [Coccomyxa subellipsoidea C-169]	XP_005842872.1 hypothetical protein CHLNCDRAFT_142486 [Chlorella variabilis]
OG0000158	EIE19302.1 nucleotide-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005843789.1 hypothetical protein CHLNCDRAFT_59165 [Chlorella variabilis]
OG0000158	EIE24243.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005846653.1 hypothetical protein CHLNCDRAFT_58189 [Chlorella variabilis]
OG0000159	EIE24386.1 hypothetical protein COCSUDRAFT_40799 [Coccomyxa subellipsoidea C-169]	XP_005843994.1 hypothetical protein CHLNCDRAFT_139484 [Chlorella variabilis], XP_005851344.1 hypothetical protein CHLNCDRAFT_138234 [Chlorella variabilis]
OG0000159	EIE18946.1 hypothetical protein COCSUDRAFT_68096 [Coccomyxa subellipsoidea C-169], EIE23449.1 hypothetical protein COCSUDRAFT_47298 [Coccomyxa subellipsoidea C-169]	XP_005848920.1 hypothetical protein CHLNCDRAFT_144362 [Chlorella variabilis]
