Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_Sorokiniana1602
OG0000792	EIE27655.1 hypothetical protein COCSUDRAFT_39259 [Coccomyxa subellipsoidea C-169]	PRW59515.1 inositol oxygenase 1-like isoform X1 [Chlorella sorokiniana]
OG0000793	EIE25466.1 root hair defective 3 GTP-binding protein [Coccomyxa subellipsoidea C-169]	PRW56567.1 ROOT HAIR DEFECTIVE 3 [Chlorella sorokiniana]
OG0000794	EIE22193.1 cinnamyl-alcohol dehydrogenase-like protein [Coccomyxa subellipsoidea C-169], EIE24719.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE25033.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE25032.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PRW58359.1 diaminohydroxyphosphoribosylaminopyrimidine deaminase [Chlorella sorokiniana]
OG0000795	EIE25487.1 hypothetical protein COCSUDRAFT_46736 [Coccomyxa subellipsoidea C-169]	PRW32688.1 cyclase-associated 1 [Chlorella sorokiniana]
OG0000797	EIE19460.1 C-terminal autoproteolytic domain of nucleoporin nup98_ partial [Coccomyxa subellipsoidea C-169]	PRW58789.1 nuclear pore complex NUP98A isoform X1 isoform B [Chlorella sorokiniana], PRW58788.1 nuclear pore complex NUP98A isoform X1 isoform A [Chlorella sorokiniana], PRW58790.1 nuclear pore complex NUP98A isoform X1 isoform C [Chlorella sorokiniana]
OG0000798	EIE25649.1 hypothetical protein COCSUDRAFT_60661 [Coccomyxa subellipsoidea C-169], EIE25739.1 hypothetical protein COCSUDRAFT_46359 [Coccomyxa subellipsoidea C-169]	PRW45094.1 dCMP deaminase [Chlorella sorokiniana]
OG0000799	EIE23808.1 DNA/RNA non-specific endonuclease_ partial [Coccomyxa subellipsoidea C-169]	PRW44603.1 mitochondrial nuclease [Chlorella sorokiniana]
OG0000800	EIE25147.1 NADPH-dependent thioredoxin reductase 1 [Coccomyxa subellipsoidea C-169]	PRW56725.1 NADPH dependent thioredoxin reductase [Chlorella sorokiniana]
OG0000801	EIE20524.1 hypothetical protein COCSUDRAFT_57673 [Coccomyxa subellipsoidea C-169]	PRW56846.1 30S ribosomal S5 [Chlorella sorokiniana]
OG0000802	EIE20820.1 hypothetical protein COCSUDRAFT_30453 [Coccomyxa subellipsoidea C-169], EIE23755.1 hypothetical protein COCSUDRAFT_41909 [Coccomyxa subellipsoidea C-169]	PRW32847.1 60S ribosomal L19-2 isoform B [Chlorella sorokiniana], PRW32846.1 60S ribosomal L19-2 isoform A [Chlorella sorokiniana]
OG0000803	EIE19883.1 DUF914-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW60646.1 solute carrier family 35 member F1-like [Chlorella sorokiniana]
OG0000804	EIE21212.1 cytochrome-b5 reductase like protein [Coccomyxa subellipsoidea C-169]	PRW57497.1 NADH-cytochrome b5 reductase [Chlorella sorokiniana]
OG0000804	EIE23569.1 ferredoxin reductase-like protein [Coccomyxa subellipsoidea C-169], EIE23241.1 ferredoxin reductase-like protein [Coccomyxa subellipsoidea C-169]	PRW05938.1 NADH--cytochrome b5 reductase 1 [Chlorella sorokiniana]
OG0000805	EIE23772.1 hypothetical protein COCSUDRAFT_29004 [Coccomyxa subellipsoidea C-169]	PRW32935.1 SIN3 component of histone deacetylase complex isoform A [Chlorella sorokiniana], PRW32937.1 SIN3 component of histone deacetylase complex isoform B [Chlorella sorokiniana], PRW32936.1 SIN3 component of histone deacetylase complex isoform C [Chlorella sorokiniana]
OG0000806	EIE23203.1 putative light-induced protein [Coccomyxa subellipsoidea C-169]	PRW44269.1 Mitochondrial pyruvate carrier 2 [Chlorella sorokiniana]
OG0000806	EIE22965.1 hypothetical protein COCSUDRAFT_53472 [Coccomyxa subellipsoidea C-169]	PRW44421.1 glycerophosphodiester phosphodiesterase [Chlorella sorokiniana]
OG0000807	EIE26636.1 hypothetical protein COCSUDRAFT_59156 [Coccomyxa subellipsoidea C-169], EIE26106.1 iron permease FTR1 [Coccomyxa subellipsoidea C-169]	PRW61083.1 calcium-dependent kinase 1-like [Chlorella sorokiniana]
OG0000808	EIE21573.1 hypothetical protein COCSUDRAFT_17393 [Coccomyxa subellipsoidea C-169]	PRW61288.1 RNA-binding Nova-2-like isoform X1 isoform B [Chlorella sorokiniana], PRW61287.1 RNA-binding Nova-2-like isoform X1 isoform A [Chlorella sorokiniana], PRW59991.1 RNA-binding Nova-2-like isoform X1 [Chlorella sorokiniana]
OG0000809	EIE25001.1 RNI-like protein [Coccomyxa subellipsoidea C-169], EIE19962.1 hypothetical protein COCSUDRAFT_58198 [Coccomyxa subellipsoidea C-169], EIE27295.1 RNI-like protein [Coccomyxa subellipsoidea C-169]	PRW21005.1 receptor kinase HSL1 [Chlorella sorokiniana], PRW58131.1 putative inactive leucine-rich repeat receptor kinase IMK2 [Chlorella sorokiniana]
OG0000809	EIE21136.1 hypothetical protein COCSUDRAFT_57054 [Coccomyxa subellipsoidea C-169]	PRW59811.1 R3H domain-containing 4 isoform X2 [Chlorella sorokiniana]
OG0000810	EIE27747.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE18602.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	PRW50827.1 glycoside hydrolase [Chlorella sorokiniana]
OG0000810	EIE25579.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	PRW56573.1 mannan endo-1_4-beta-mannosidase 2-like [Chlorella sorokiniana]
OG0000811	EIE25035.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PRW56065.1 ABC transporter G family member 22 [Chlorella sorokiniana]
OG0000811	EIE22543.1 hypothetical protein COCSUDRAFT_16269_ partial [Coccomyxa subellipsoidea C-169]	PRW45485.1 ABC transporter G family member 22 [Chlorella sorokiniana]
OG0000812	EIE19492.1 calcium-translocating P-type ATPase [Coccomyxa subellipsoidea C-169]	PRW58960.1 calcium-translocating P-type PMCA-type [Chlorella sorokiniana]
OG0000813	EIE21892.1 hypothetical protein COCSUDRAFT_56339 [Coccomyxa subellipsoidea C-169], EIE18845.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PRW20266.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW20267.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana], PRW57015.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW57016.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]
OG0000814	EIE24400.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169], EIE23148.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169]	PRW44354.1 glutamate dehydrogenase 1 isoform X1 isoform B [Chlorella sorokiniana], PRW44353.1 glutamate dehydrogenase 1 isoform X1 isoform A [Chlorella sorokiniana]
OG0000815	EIE21619.1 thiolase [Coccomyxa subellipsoidea C-169]	PRW57002.1 3-ketoacyl- thiolase peroxisomal [Chlorella sorokiniana], PRW59580.1 3-ketoacyl- thiolase peroxisomal [Chlorella sorokiniana]
OG0000816	EIE25520.1 hypothetical protein COCSUDRAFT_32673 [Coccomyxa subellipsoidea C-169]	PRW56772.1 hypothetical protein C2E21_4640 [Chlorella sorokiniana], PRW56831.1 cell division [Chlorella sorokiniana]
OG0000817	EIE22417.1 hypothetical protein COCSUDRAFT_16693 [Coccomyxa subellipsoidea C-169], EIE22416.1 Clc chloride channel [Coccomyxa subellipsoidea C-169]	PRW45494.1 family transporter_ chloride ion channel [Chlorella sorokiniana], PRW57241.1 acetyl- hydrolase [Chlorella sorokiniana]
OG0000818	EIE18899.1 mitochondrial carrier protein [Coccomyxa subellipsoidea C-169]	PRW33924.1 mitochondrial carrier isoform B [Chlorella sorokiniana], PRW33923.1 mitochondrial carrier isoform A [Chlorella sorokiniana]
OG0000819	EIE25225.1 hypothetical protein COCSUDRAFT_61463 [Coccomyxa subellipsoidea C-169]	PRW56691.1 Tbc2 translation chloroplastic [Chlorella sorokiniana]
OG0000820	EIE20136.1 gamma-carbonic anhydrase [Coccomyxa subellipsoidea C-169]	PRW57618.1 gamma carbonic anhydrase mitochondrial [Chlorella sorokiniana]
OG0000820	EIE25376.1 trimeric LpxA-like protein [Coccomyxa subellipsoidea C-169]	PRW56554.1 gamma carbonic anhydrase mitochondrial-like [Chlorella sorokiniana]
OG0000821	EIE26739.1 hypothetical protein COCSUDRAFT_52442 [Coccomyxa subellipsoidea C-169]	PRW18338.1 30S ribosomal chloroplastic-like [Chlorella sorokiniana]
OG0000821	EIE26606.1 30S ribosomal protein S17_ chloroplastic_ partial [Coccomyxa subellipsoidea C-169]	PRW61068.1 hypothetical protein C2E21_0255 [Chlorella sorokiniana]
OG0000822	EIE22276.1 lipoyltransferase_ partial [Coccomyxa subellipsoidea C-169]	PRW51025.1 Plastidial lipoyltransferase 2 [Chlorella sorokiniana]
OG0000822	EIE27233.1 LIPOYLtransferase 2 [Coccomyxa subellipsoidea C-169]	PRW44247.1 Octanoyltransferase [Chlorella sorokiniana]
OG0000823	EIE19532.1 hypothetical protein COCSUDRAFT_44410 [Coccomyxa subellipsoidea C-169], EIE27265.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]	PRW44293.1 N-alpha-acetyltransferase daf-31 [Chlorella sorokiniana]
OG0000824	EIE20860.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Coccomyxa subellipsoidea C-169]	PRW58031.1 DNA-directed RNA polymerase I complex large subunit Nuc1 isoform B [Chlorella sorokiniana], PRW58030.1 DNA-directed RNA polymerase I complex large subunit Nuc1 isoform A [Chlorella sorokiniana]
OG0000825	EIE26810.1 hypothetical protein COCSUDRAFT_46239 [Coccomyxa subellipsoidea C-169]	PRW18353.1 G-rich sequence factor 1 [Chlorella sorokiniana]
OG0000826	EIE22743.1 60S ribosomal protein L37a [Coccomyxa subellipsoidea C-169]	PRW56338.1 60S ribosomal L37a [Chlorella sorokiniana]
OG0000827	EIE23070.1 acetohydroxy acid isomeroreductase [Coccomyxa subellipsoidea C-169]	PRW44622.1 acetohydroxy acid isomeroreductase isoform A [Chlorella sorokiniana], PRW44623.1 acetohydroxy acid isomeroreductase isoform B [Chlorella sorokiniana]
OG0000828	EIE25523.1 hypothetical protein COCSUDRAFT_40742 [Coccomyxa subellipsoidea C-169]	PRW61400.1 Ribosomal L21 [Chlorella sorokiniana]
OG0000829	EIE18979.1 hypothetical protein COCSUDRAFT_68115 [Coccomyxa subellipsoidea C-169]	PRW20215.1 hypothetical protein C2E21_9220 [Chlorella sorokiniana]
OG0000829	EIE24770.1 hypothetical protein COCSUDRAFT_46936 [Coccomyxa subellipsoidea C-169]	PRW20170.1 proton pump [Chlorella sorokiniana]
OG0000830	EIE22727.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PRW45730.1 SRSF kinase 1 [Chlorella sorokiniana]
OG0000832	EIE27596.1 cytosolic NADP malic enzyme [Coccomyxa subellipsoidea C-169]	PRW57539.1 NADP malic enzyme [Chlorella sorokiniana]
OG0000833	EIE26338.1 hypothetical protein COCSUDRAFT_39457 [Coccomyxa subellipsoidea C-169], EIE26337.1 hypothetical protein COCSUDRAFT_58874 [Coccomyxa subellipsoidea C-169], EIE26336.1 hypothetical protein COCSUDRAFT_58873 [Coccomyxa subellipsoidea C-169], EIE26335.1 hypothetical protein COCSUDRAFT_52307 [Coccomyxa subellipsoidea C-169]	PRW56201.1 uclacyanin 3 [Chlorella sorokiniana], PRW57933.1 uclacyanin 3 [Chlorella sorokiniana]
OG0000834	EIE19087.1 hypothetical protein COCSUDRAFT_34352 [Coccomyxa subellipsoidea C-169]	PRW59976.1 transmembrane of CMA family [Chlorella sorokiniana]
OG0000835	EIE22079.1 trypsin-like serine protease_ partial [Coccomyxa subellipsoidea C-169]	PRW44556.1 Protease Do-like chloroplastic [Chlorella sorokiniana]
OG0000836	EIE18989.1 hypothetical protein COCSUDRAFT_68118 [Coccomyxa subellipsoidea C-169], EIE18990.1 hypothetical protein COCSUDRAFT_54832 [Coccomyxa subellipsoidea C-169]	PRW61504.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000837	EIE20068.1 hypothetical protein COCSUDRAFT_48589 [Coccomyxa subellipsoidea C-169]	PRW45371.1 anaphase-promoting complex subunit 1 isoform X1 [Chlorella sorokiniana]
OG0000838	EIE25269.1 hypothetical protein COCSUDRAFT_61497 [Coccomyxa subellipsoidea C-169]	PRW61363.1 domain-containing 2 [Chlorella sorokiniana]
OG0000839	EIE27172.1 hypothetical protein COCSUDRAFT_64104 [Coccomyxa subellipsoidea C-169]	PRW58596.1 Translocation sec62 [Chlorella sorokiniana]
OG0000840	EIE18722.1 hypothetical protein COCSUDRAFT_60030 [Coccomyxa subellipsoidea C-169]	PRW58409.1 RRP15 isoform X2 [Chlorella sorokiniana]
OG0000840	EIE22902.1 hypothetical protein COCSUDRAFT_16364_ partial [Coccomyxa subellipsoidea C-169]	PRW57081.1 resistance to phytophthora [Chlorella sorokiniana]
OG0000841	EIE24210.1 histone deacetylase_ partial [Coccomyxa subellipsoidea C-169]	PRW45724.1 histone deacetylase 15 isoform X2 [Chlorella sorokiniana]
OG0000842	EIE18663.1 hypothetical protein COCSUDRAFT_45149 [Coccomyxa subellipsoidea C-169]	PRW58213.1 thioredoxin peroxidase [Chlorella sorokiniana]
OG0000842	EIE18662.1 hypothetical protein COCSUDRAFT_68144 [Coccomyxa subellipsoidea C-169]	PRW58174.1 THO complex subunit 5 [Chlorella sorokiniana]
OG0000843	EIE20300.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PRW45538.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana]
OG0000843	EIE24208.1 NAD-dependent epimerase/dehydratase [Coccomyxa subellipsoidea C-169]	PRW61216.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana], PRW56582.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana]
OG0000844	EIE24678.1 ENTH-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW59868.1 ENTH-domain-containing [Chlorella sorokiniana], PRW45169.1 ENTH domain-containing [Chlorella sorokiniana]
OG0000845	EIE18734.1 hypothetical protein COCSUDRAFT_68177 [Coccomyxa subellipsoidea C-169]	PRW58697.1 regulator of CO2-responsive genes [Chlorella sorokiniana]
OG0000846	EIE22274.1 P25-alpha [Coccomyxa subellipsoidea C-169]	PRW39367.1 senescence-associated nodulin [Chlorella sorokiniana]
OG0000847	EIE21846.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21853.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21852.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE18472.1 oxidoreductase [Coccomyxa subellipsoidea C-169]	PRW59908.1 acetoin dehydrogenase [Chlorella sorokiniana]
OG0000849	EIE18574.1 SFT2-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW51083.1 Vesicle transport SFT2B [Chlorella sorokiniana]
OG0000849	EIE19861.1 peptidyl-tRNA hydrolase [Coccomyxa subellipsoidea C-169]	PRW32633.1 Peptidyl-tRNA hydrolase family [Chlorella sorokiniana]
OG0000850	EIE20940.1 hypothetical protein COCSUDRAFT_54287 [Coccomyxa subellipsoidea C-169]	PRW57326.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 [Chlorella sorokiniana]
OG0000851	EIE24364.1 hypothetical protein COCSUDRAFT_14826 [Coccomyxa subellipsoidea C-169]	PRW61232.1 glycosyl hydrolase [Chlorella sorokiniana]
OG0000852	EIE26821.1 fibronectin type III [Coccomyxa subellipsoidea C-169]	PRW59684.1 Fibronectin type-III domain-containing 3a [Chlorella sorokiniana]
OG0000852	EIE26802.1 hypothetical protein COCSUDRAFT_46235 [Coccomyxa subellipsoidea C-169]	PRW59679.1 cleavage stimulating factor 64-like [Chlorella sorokiniana]
OG0000853	EIE21540.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW60142.1 phragmoplast orienting kinesin 2 [Chlorella sorokiniana]
OG0000853	EIE26130.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PRW34071.1 phragmoplast orienting kinesin 2 [Chlorella sorokiniana]
OG0000854	EIE21491.1 hypothetical protein COCSUDRAFT_43208 [Coccomyxa subellipsoidea C-169]	PRW59789.1 disulfide-isomerase like 2-2 [Chlorella sorokiniana]
OG0000855	EIE24420.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW56029.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20866.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW45440.1 UPF0187 chloroplastic [Chlorella sorokiniana]
OG0000856	EIE26409.1 putative O-sialoglyco protein endopeptidase [Coccomyxa subellipsoidea C-169]	PRW61536.1 putative tRNA N6-adenosine threonylcarbamoyltransferase [Chlorella sorokiniana]
OG0000856	EIE26271.1 DUF1014-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW61227.1 coiled-coil domain-containing 124 [Chlorella sorokiniana]
OG0000857	EIE20406.1 hypothetical protein COCSUDRAFT_37744 [Coccomyxa subellipsoidea C-169]	PRW20397.1 boron transporter 1-like isoform X1 [Chlorella sorokiniana]
OG0000857	EIE22754.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW45525.1 dnaJ-like protein subfamily C member 17 [Chlorella sorokiniana]
OG0000858	EIE25902.1 hypothetical protein COCSUDRAFT_27505 [Coccomyxa subellipsoidea C-169]	PRW50896.1 mitochondrial inner membrane protease ATP23-like [Chlorella sorokiniana]
OG0000860	EIE24787.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PRW20591.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana], PRW20580.1 hypothetical protein C2E21_8960 [Chlorella sorokiniana]
OG0000864	EIE23506.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PRW60023.1 SAM-dependent methyltransferase [Chlorella sorokiniana]
OG0000867	EIE23088.1 RNI-like protein [Coccomyxa subellipsoidea C-169]	PRW44563.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW44420.1 Metallo-hydrolase oxidoreductase [Chlorella sorokiniana]
OG0000867	EIE22029.1 Metallo-hydrolase/oxidoreductase [Coccomyxa subellipsoidea C-169]	PRW58947.1 MBL fold hydrolase [Chlorella sorokiniana]
OG0000868	EIE25231.1 hypothetical protein COCSUDRAFT_46645 [Coccomyxa subellipsoidea C-169]	PRW60686.1 nuclear factor related to kappa-B-binding isoform X1 [Chlorella sorokiniana], PRW45204.1 adenylate cyclase regulatory [Chlorella sorokiniana], PRW56552.1 ras suppressor 1-like [Chlorella sorokiniana], PRW56669.1 F-box FBW2-like [Chlorella sorokiniana], PRW56773.1 F-box FBW2 [Chlorella sorokiniana], PRW56457.1 hypothetical protein C2E21_4624 [Chlorella sorokiniana], PRW56625.1 Nucleoporin NUP188 like isoform A [Chlorella sorokiniana], PRW56624.1 Nucleoporin NUP188 like isoform B [Chlorella sorokiniana]
OG0000870	EIE18616.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW59356.1 DEAD box RNA helicase isoform B [Chlorella sorokiniana], PRW57138.1 hypothetical protein C2E21_4214 [Chlorella sorokiniana], PRW59355.1 DEAD box RNA helicase isoform A [Chlorella sorokiniana]
OG0000871	EIE25781.1 tyrosyl-DNA phosphodiesterase [Coccomyxa subellipsoidea C-169]	PRW59620.1 tyrosyl-DNA phosphodiesterase 1 [Chlorella sorokiniana]
OG0000878	EIE22480.1 hypothetical protein COCSUDRAFT_47904 [Coccomyxa subellipsoidea C-169]	PRW45222.1 hypothetical protein C2E21_6410 [Chlorella sorokiniana]
OG0000880	EIE20297.1 hypothetical protein COCSUDRAFT_58006 [Coccomyxa subellipsoidea C-169]	PRW45589.1 histone-lysine N-methyltransferase SMYD3 [Chlorella sorokiniana]
OG0000881	EIE27033.1 putative nuclease domain protein_ partial [Coccomyxa subellipsoidea C-169]	PRW39217.1 nuclease [Chlorella sorokiniana]
OG0000882	EIE19234.1 PIN domain-like protein [Coccomyxa subellipsoidea C-169]	PRW61218.1 Flap endonuclease 1 [Chlorella sorokiniana]
OG0000883	EIE26419.1 cysteine proteinase [Coccomyxa subellipsoidea C-169], EIE26421.1 hypothetical protein COCSUDRAFT_64484 [Coccomyxa subellipsoidea C-169]	PRW61360.1 ubiquitin carboxyl-terminal hydrolase 23-like isoform X2 [Chlorella sorokiniana]
OG0000884	EIE22125.1 hypothetical protein COCSUDRAFT_24131 [Coccomyxa subellipsoidea C-169], EIE19311.1 hypothetical protein COCSUDRAFT_58604 [Coccomyxa subellipsoidea C-169], EIE25667.1 hypothetical protein COCSUDRAFT_46326 [Coccomyxa subellipsoidea C-169]	PRW61179.1 Mitochondrial sodium hydrogen exchanger 9B2 [Chlorella sorokiniana]
OG0000885	EIE25438.1 hypothetical protein COCSUDRAFT_13233_ partial [Coccomyxa subellipsoidea C-169]	PRW56761.1 AAA+-type ATPase _ISS_ [Chlorella sorokiniana]
OG0000885	EIE18445.1 hypothetical protein COCSUDRAFT_45253 [Coccomyxa subellipsoidea C-169]	PRW21057.1 AAA+-type ATPase _ISS_ isoform A [Chlorella sorokiniana], PRW21058.1 AAA+-type ATPase _ISS_ isoform B [Chlorella sorokiniana]
OG0000886	EIE22573.1 hypothetical protein COCSUDRAFT_53587 [Coccomyxa subellipsoidea C-169]	PRW45560.1 histone deacetylase complex subunit SAP30L [Chlorella sorokiniana]
OG0000887	EIE19134.1 hypothetical protein COCSUDRAFT_59618 [Coccomyxa subellipsoidea C-169]	PRW58086.1 transmembrane 106A [Chlorella sorokiniana]
OG0000888	EIE27529.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PRW60024.1 alpha beta hydrolase domain-containing 11 [Chlorella sorokiniana]
OG0000889	EIE18270.1 hypothetical protein COCSUDRAFT_49349 [Coccomyxa subellipsoidea C-169]	PRW57332.1 Digalactosyldiacylglycerol synthase chloroplastic [Chlorella sorokiniana]
OG0000890	EIE27439.1 hypothetical protein COCSUDRAFT_11457 [Coccomyxa subellipsoidea C-169]	PRW57398.1 5-oxoprolinase [Chlorella sorokiniana]
OG0000891	EIE26583.1 Rubisco activase [Coccomyxa subellipsoidea C-169]	PRW60797.1 Rubisco activase [Chlorella sorokiniana]
OG0000892	EIE19776.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE24550.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE27654.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	PRW57011.1 glycoside hydrolase [Chlorella sorokiniana]
OG0000893	EIE27475.1 prenylated rab acceptor family protein [Coccomyxa subellipsoidea C-169]	PRW57517.1 PRA1 family B2 [Chlorella sorokiniana]
OG0000894	EIE19613.1 hypothetical protein COCSUDRAFT_58358 [Coccomyxa subellipsoidea C-169]	PRW50841.1 hypothetical protein C2E21_5521 [Chlorella sorokiniana], PRW50905.1 hypothetical protein C2E21_5520 [Chlorella sorokiniana], PRW50904.1 hypothetical protein C2E21_5520 [Chlorella sorokiniana]
OG0000895	EIE19635.1 hypothetical protein COCSUDRAFT_54568 [Coccomyxa subellipsoidea C-169]	PRW51093.1 phosphatidylglycerol phosphatidylinositol transfer [Chlorella sorokiniana], PRW44480.1 Meiotic nuclear division 1 [Chlorella sorokiniana]
OG0000896	EIE26717.1 hypothetical protein COCSUDRAFT_59234 [Coccomyxa subellipsoidea C-169]	PRW57114.1 Mannose-P-dolichol utilization defect 1 [Chlorella sorokiniana]
OG0000897	EIE24512.1 phosphoglycerate dehydrogenase [Coccomyxa subellipsoidea C-169]	PRW60314.1 D-3-phosphoglycerate dehydrogenase family [Chlorella sorokiniana]
OG0000898	EIE18893.1 hypothetical protein COCSUDRAFT_45039 [Coccomyxa subellipsoidea C-169], EIE18896.1 DUF699-domain-containing protein [Coccomyxa subellipsoidea C-169]	PRW57974.1 N-acetyltransferase 10 [Chlorella sorokiniana]
OG0000899	EIE19918.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PRW20730.1 Eukaryotic translation initiation factor 3 subunit C [Chlorella sorokiniana]
OG0000899	EIE19917.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	PRW44244.1 F-box WD-40 repeat-containing protein [Chlorella sorokiniana]
OG0000900	EIE22968.1 hypothetical protein COCSUDRAFT_63361 [Coccomyxa subellipsoidea C-169], EIE23237.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE20827.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PRW59119.1 eukaryotic translation initiation factor 5A [Chlorella sorokiniana]
OG0000901	EIE18475.1 ubiquitin-conjugating enzyme [Coccomyxa subellipsoidea C-169]	PRW50956.1 SUMO-conjugating enzyme SCE1-like [Chlorella sorokiniana]
OG0000901	EIE24564.1 E2 ubiquitin-conjugating-like enzyme [Coccomyxa subellipsoidea C-169]	PRW60558.1 SUMO-conjugating enzyme SCE1 [Chlorella sorokiniana]
OG0000902	EIE18139.1 hypothetical protein COCSUDRAFT_49367 [Coccomyxa subellipsoidea C-169]	PRW20816.1 Serine protease ABC transporter B family tagA [Chlorella sorokiniana]
OG0000902	EIE27675.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169]	PRW39091.1 Serine protease ABC transporter B family tagA [Chlorella sorokiniana]
OG0000903	EIE24349.1 hypothetical protein COCSUDRAFT_65858 [Coccomyxa subellipsoidea C-169]	PRW58770.1 putative adenylate kinase chloroplastic isoform X1 [Chlorella sorokiniana]
OG0000904	EIE18591.1 histone acetyltransferase [Coccomyxa subellipsoidea C-169]	PRW57946.1 acetyltransferase NSI [Chlorella sorokiniana]
OG0000905	EIE21283.1 hypothetical protein COCSUDRAFT_57186 [Coccomyxa subellipsoidea C-169]	PRW50757.1 phagocyte signaling-impaired [Chlorella sorokiniana]
OG0000906	EIE21494.1 hypothetical protein COCSUDRAFT_56707 [Coccomyxa subellipsoidea C-169]	PRW32676.1 leucine-rich repeat-containing 40 [Chlorella sorokiniana], PRW32686.1 LRR receptor-like kinase family [Chlorella sorokiniana], PRW33270.1 small GTP-binding [Chlorella sorokiniana], PRW58888.1 adenylate cyclase regulatory [Chlorella sorokiniana]
OG0000907	EIE20503.1 magnesium chelatase subunit D [Coccomyxa subellipsoidea C-169]	PRW44497.1 magnesium-chelatase subunit chloroplastic [Chlorella sorokiniana], PRW59066.1 magnesium-chelatase subunit chloroplastic isoform B [Chlorella sorokiniana], PRW59067.1 magnesium-chelatase subunit chloroplastic isoform A [Chlorella sorokiniana]
OG0000908	EIE18454.1 iron-sulfur cluster assembly protein IscA [Coccomyxa subellipsoidea C-169]	PRW21128.1 Iron-sulfur assembly -like mitochondrial [Chlorella sorokiniana]
OG0000910	EIE18818.1 hypothetical protein COCSUDRAFT_59748 [Coccomyxa subellipsoidea C-169]	PRW57249.1 hypothetical protein C2E21_3811 [Chlorella sorokiniana]
OG0000911	EIE22549.1 hypothetical protein COCSUDRAFT_42230 [Coccomyxa subellipsoidea C-169]	PRW58707.1 multidrug transporter isoform B [Chlorella sorokiniana], PRW58708.1 multidrug transporter isoform A [Chlorella sorokiniana], PRW33720.1 Solute carrier family 35 member G1 [Chlorella sorokiniana], PRW32584.1 Solute carrier family 35 member G1 [Chlorella sorokiniana]
OG0000912	EIE26015.1 hypothetical protein COCSUDRAFT_40196 [Coccomyxa subellipsoidea C-169], EIE26035.1 hypothetical protein COCSUDRAFT_61027 [Coccomyxa subellipsoidea C-169]	PRW33324.1 DNA ligase 4 [Chlorella sorokiniana]
