Orthogroup	Coccomyxa_SubellipsoideaC169	Auxenochlorella_protothecoides
OG0000919	EIE21838.1 hypothetical protein COCSUDRAFT_56289 [Coccomyxa subellipsoidea C-169]	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]
OG0000920	EIE27757.1 hypothetical protein COCSUDRAFT_55740 [Coccomyxa subellipsoidea C-169], EIE24852.1 hypothetical protein COCSUDRAFT_41130 [Coccomyxa subellipsoidea C-169]	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]
OG0000921	EIE20286.1 hypothetical protein COCSUDRAFT_67565 [Coccomyxa subellipsoidea C-169]	RMZ53733.1 hypothetical protein APUTEX25_003872 [Auxenochlorella protothecoides]
OG0000921	EIE27205.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	RMZ53794.1 hypothetical protein APUTEX25_003933 [Auxenochlorella protothecoides]
OG0000922	EIE18263.1 Mnt1 protein_ partial [Coccomyxa subellipsoidea C-169]	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]
OG0000923	EIE19826.1 hypothetical protein COCSUDRAFT_44252 [Coccomyxa subellipsoidea C-169]	RMZ53791.1 hypothetical protein APUTEX25_003930 [Auxenochlorella protothecoides]
OG0000923	EIE25687.1 hypothetical protein COCSUDRAFT_64779 [Coccomyxa subellipsoidea C-169]	RMZ55446.1 hypothetical protein APUTEX25_003570_ partial [Auxenochlorella protothecoides]
OG0000924	EIE25414.1 hypothetical protein COCSUDRAFT_61633 [Coccomyxa subellipsoidea C-169], EIE22294.1 hypothetical protein COCSUDRAFT_55988 [Coccomyxa subellipsoidea C-169]	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]
OG0000925	EIE21091.1 hypothetical protein COCSUDRAFT_33788 [Coccomyxa subellipsoidea C-169]	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]
OG0000926	EIE19009.1 hypothetical protein COCSUDRAFT_83599 [Coccomyxa subellipsoidea C-169]	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]
OG0000927	EIE19767.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	RMZ56113.1 hypothetical protein APUTEX25_004537_ partial [Auxenochlorella protothecoides], RMZ53891.1 hypothetical protein APUTEX25_005573 [Auxenochlorella protothecoides]
OG0000928	EIE26730.1 Translin [Coccomyxa subellipsoidea C-169]	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]
OG0000929	EIE21682.1 G-strand telomere binding protein 1 [Coccomyxa subellipsoidea C-169]	RMZ55059.1 hypothetical protein APUTEX25_005685 [Auxenochlorella protothecoides], RMZ53964.1 hypothetical protein APUTEX25_002541 [Auxenochlorella protothecoides]
OG0000930	EIE26546.1 TPR-like protein [Coccomyxa subellipsoidea C-169]	RMZ53978.1 hypothetical protein APUTEX25_002555 [Auxenochlorella protothecoides]
OG0000931	EIE24051.1 hypothetical protein COCSUDRAFT_62574 [Coccomyxa subellipsoidea C-169]	RMZ53993.1 hypothetical protein APUTEX25_002570 [Auxenochlorella protothecoides]
OG0000932	EIE22786.1 PRA-CH-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ54083.1 hypothetical protein APUTEX25_002660_ partial [Auxenochlorella protothecoides]
OG0000933	EIE23100.1 hypothetical protein COCSUDRAFT_42055 [Coccomyxa subellipsoidea C-169], EIE18767.1 hypothetical protein COCSUDRAFT_49195 [Coccomyxa subellipsoidea C-169], EIE24130.1 hypothetical protein COCSUDRAFT_47154 [Coccomyxa subellipsoidea C-169]	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]
OG0000934	EIE23704.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169], EIE23705.1 nucleotide-diphospho-sugar transferase_ partial [Coccomyxa subellipsoidea C-169]	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]
OG0000936	EIE27426.1 hypothetical protein COCSUDRAFT_52164 [Coccomyxa subellipsoidea C-169]	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]
OG0000938	EIE24462.1 hypothetical protein COCSUDRAFT_65368 [Coccomyxa subellipsoidea C-169]	RMZ54533.1 hypothetical protein APUTEX25_001705 [Auxenochlorella protothecoides], RMZ56598.1 hypothetical protein APUTEX25_004762 [Auxenochlorella protothecoides]
OG0000939	EIE25345.1 gamma-glutamyltranspeptidase [Coccomyxa subellipsoidea C-169]	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]
OG0000940	EIE20875.1 initiation factor 3_ partial [Coccomyxa subellipsoidea C-169]	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]
OG0000941	EIE22954.1 DAGAT-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]
OG0000942	EIE26649.1 ankyrin [Coccomyxa subellipsoidea C-169]	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]
OG0000943	EIE22055.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]
OG0000944	EIE19007.1 hypothetical protein COCSUDRAFT_83597 [Coccomyxa subellipsoidea C-169]	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]
OG0000945	EIE19092.1 hypothetical protein COCSUDRAFT_44871 [Coccomyxa subellipsoidea C-169]	RMZ54804.1 hypothetical protein APUTEX25_000321 [Auxenochlorella protothecoides]
OG0000946	EIE19014.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	RMZ54838.1 hypothetical protein APUTEX25_000355_ partial [Auxenochlorella protothecoides]
OG0000947	EIE23147.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	RMZ57754.1 hypothetical protein APUTEX25_001709_ partial [Auxenochlorella protothecoides], RMZ54850.1 hypothetical protein APUTEX25_000367 [Auxenochlorella protothecoides]
OG0000948	EIE21058.1 omega-3 fatty acid desaturase [Coccomyxa subellipsoidea C-169]	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]
OG0000949	EIE23640.1 Metallo-dependent phosphatase_ partial [Coccomyxa subellipsoidea C-169]	RMZ55773.1 hypothetical protein APUTEX25_005814 [Auxenochlorella protothecoides], RMZ54917.1 hypothetical protein APUTEX25_000434 [Auxenochlorella protothecoides]
OG0000950	EIE18998.1 hypothetical protein COCSUDRAFT_20201 [Coccomyxa subellipsoidea C-169]	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]
OG0000951	EIE20738.1 hypothetical protein COCSUDRAFT_57302 [Coccomyxa subellipsoidea C-169]	RMZ54973.1 hypothetical protein APUTEX25_000490 [Auxenochlorella protothecoides]
OG0000952	EIE23900.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169], EIE19250.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169]	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]
OG0000953	EIE26723.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]
OG0000954	EIE18918.1 TPR-like protein [Coccomyxa subellipsoidea C-169]	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]
OG0000955	EIE19682.1 coproporphyrinogen oxidase [Coccomyxa subellipsoidea C-169]	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]
OG0000956	EIE26468.1 hypothetical protein COCSUDRAFT_12196_ partial [Coccomyxa subellipsoidea C-169]	RMZ55226.1 hypothetical protein APUTEX25_005504_ partial [Auxenochlorella protothecoides]
OG0000957	EIE23266.1 hypothetical protein COCSUDRAFT_42173 [Coccomyxa subellipsoidea C-169]	RMZ55271.1 hypothetical protein APUTEX25_005549 [Auxenochlorella protothecoides]
OG0000958	EIE27121.1 yippee-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27240.1 yippee-like protein [Coccomyxa subellipsoidea C-169]	RMZ57470.1 hypothetical protein APUTEX25_004304_ partial [Auxenochlorella protothecoides]
OG0000959	EIE27301.1 hypothetical protein COCSUDRAFT_55320 [Coccomyxa subellipsoidea C-169]	RMZ55299.1 hypothetical protein APUTEX25_003437 [Auxenochlorella protothecoides]
OG0000960	EIE23689.1 hypothetical protein COCSUDRAFT_63214 [Coccomyxa subellipsoidea C-169], EIE27354.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	RMZ55317.1 hypothetical protein APUTEX25_003455 [Auxenochlorella protothecoides]
OG0000962	EIE25084.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	RMZ55456.1 hypothetical protein APUTEX25_003580 [Auxenochlorella protothecoides]
OG0000963	EIE26134.1 hypothetical protein COCSUDRAFT_61126 [Coccomyxa subellipsoidea C-169], EIE27184.1 hypothetical protein COCSUDRAFT_45766 [Coccomyxa subellipsoidea C-169]	RMZ55488.1 hypothetical protein APUTEX25_000071 [Auxenochlorella protothecoides]
OG0000964	EIE24153.1 hypothetical protein COCSUDRAFT_62668 [Coccomyxa subellipsoidea C-169]	RMZ55570.1 hypothetical protein APUTEX25_000153 [Auxenochlorella protothecoides]
OG0000965	EIE21192.1 Sigma2 domain of RNA polymerase sigma factor_ partial [Coccomyxa subellipsoidea C-169]	RMZ55582.1 hypothetical protein APUTEX25_000165 [Auxenochlorella protothecoides]
OG0000965	EIE20761.1 RNA polymerase sigma factor_ cyanobacterial RpoD-like family [Coccomyxa subellipsoidea C-169]	RMZ55785.1 hypothetical protein APUTEX25_005826 [Auxenochlorella protothecoides]
OG0000966	EIE26050.1 Hiv-1 Rna binding protein 1_ partial [Coccomyxa subellipsoidea C-169]	RMZ55594.1 hypothetical protein APUTEX25_000177_ partial [Auxenochlorella protothecoides], RMZ57715.1 hypothetical protein APUTEX25_001915 [Auxenochlorella protothecoides]
OG0000967	EIE25007.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23106.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ55606.1 hypothetical protein APUTEX25_000189 [Auxenochlorella protothecoides]
OG0000968	EIE20775.1 ATP-dependent DNA helicase [Coccomyxa subellipsoidea C-169]	RMZ55708.1 hypothetical protein APUTEX25_005749 [Auxenochlorella protothecoides]
OG0000969	EIE26257.1 putative endosomal protein [Coccomyxa subellipsoidea C-169]	RMZ55774.1 hypothetical protein APUTEX25_005815_ partial [Auxenochlorella protothecoides]
OG0000970	EIE26841.1 hypothetical protein COCSUDRAFT_64680 [Coccomyxa subellipsoidea C-169], EIE26973.1 putative cyclase [Coccomyxa subellipsoidea C-169]	RMZ56563.1 hypothetical protein APUTEX25_001410_ partial [Auxenochlorella protothecoides], RMZ56169.1 hypothetical protein APUTEX25_004593 [Auxenochlorella protothecoides], RMZ55776.1 hypothetical protein APUTEX25_005817 [Auxenochlorella protothecoides]
OG0000971	EIE26601.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	RMZ56356.1 hypothetical protein APUTEX25_004713 [Auxenochlorella protothecoides], RMZ55781.1 hypothetical protein APUTEX25_005822_ partial [Auxenochlorella protothecoides]
OG0000972	EIE26041.1 NADH-ubiquinone oxidoreductase [Coccomyxa subellipsoidea C-169]	RMZ55817.1 hypothetical protein APUTEX25_003783 [Auxenochlorella protothecoides]
OG0000973	EIE25899.1 calcium/proton exchanger [Coccomyxa subellipsoidea C-169]	RMZ55824.1 hypothetical protein APUTEX25_003790 [Auxenochlorella protothecoides]
OG0000974	EIE23469.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27725.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ55871.1 hypothetical protein APUTEX25_003837_ partial [Auxenochlorella protothecoides]
OG0000975	EIE20929.1 long-chain acyl-CoA synthetase 7 [Coccomyxa subellipsoidea C-169]	RMZ55899.1 hypothetical protein APUTEX25_003865 [Auxenochlorella protothecoides]
OG0000977	EIE18093.1 protein disulfide isomerase [Coccomyxa subellipsoidea C-169]	RMZ55932.1 hypothetical protein APUTEX25_004356 [Auxenochlorella protothecoides]
OG0000978	EIE27276.1 amidase signature enzyme [Coccomyxa subellipsoidea C-169]	RMZ55939.1 hypothetical protein APUTEX25_004363 [Auxenochlorella protothecoides]
OG0000979	EIE22971.1 hypothetical protein COCSUDRAFT_63364 [Coccomyxa subellipsoidea C-169]	RMZ55968.1 hypothetical protein APUTEX25_004392 [Auxenochlorella protothecoides]
OG0000980	EIE23076.1 Leo1-like protein [Coccomyxa subellipsoidea C-169]	RMZ56009.1 hypothetical protein APUTEX25_004433 [Auxenochlorella protothecoides]
OG0000981	EIE18967.1 hypothetical protein COCSUDRAFT_45095 [Coccomyxa subellipsoidea C-169]	RMZ56176.1 hypothetical protein APUTEX25_004600 [Auxenochlorella protothecoides], RMZ56015.1 hypothetical protein APUTEX25_004439_ partial [Auxenochlorella protothecoides]
OG0000982	EIE23276.1 hypothetical protein COCSUDRAFT_36720 [Coccomyxa subellipsoidea C-169]	RMZ56280.1 hypothetical protein APUTEX25_002470 [Auxenochlorella protothecoides]
OG0000983	EIE22517.1 hypothetical protein COCSUDRAFT_83474 [Coccomyxa subellipsoidea C-169]	RMZ56324.1 hypothetical protein APUTEX25_000563 [Auxenochlorella protothecoides]
OG0000984	EIE25498.1 hypothetical protein COCSUDRAFT_61711 [Coccomyxa subellipsoidea C-169]	RMZ56348.1 hypothetical protein APUTEX25_004705_ partial [Auxenochlorella protothecoides]
OG0000985	EIE25508.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	RMZ56378.1 hypothetical protein APUTEX25_004735 [Auxenochlorella protothecoides]
OG0000987	EIE22574.1 ClpB chaperone_ Hsp100 family [Coccomyxa subellipsoidea C-169]	RMZ56441.1 hypothetical protein APUTEX25_004664 [Auxenochlorella protothecoides]
OG0000988	EIE21574.1 ribosomal protein L15e [Coccomyxa subellipsoidea C-169], EIE21695.1 hypothetical protein COCSUDRAFT_67012 [Coccomyxa subellipsoidea C-169]	RMZ56444.1 hypothetical protein APUTEX25_004667_ partial [Auxenochlorella protothecoides]
OG0000989	EIE18999.1 thioredoxin-like protein [Coccomyxa subellipsoidea C-169], EIE25574.1 ubiquinone biosynthesis protein COQ9 [Coccomyxa subellipsoidea C-169]	RMZ56449.1 hypothetical protein APUTEX25_004672_ partial [Auxenochlorella protothecoides]
OG0000990	EIE21333.1 ribosomal protein S21e [Coccomyxa subellipsoidea C-169]	RMZ56544.1 hypothetical protein APUTEX25_001391 [Auxenochlorella protothecoides], RMZ56499.1 hypothetical protein APUTEX25_001346 [Auxenochlorella protothecoides]
OG0000991	EIE24674.1 Bet v1-like protein [Coccomyxa subellipsoidea C-169]	RMZ56524.1 hypothetical protein APUTEX25_001371_ partial [Auxenochlorella protothecoides]
OG0000992	EIE24360.1 CBS-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56514.1 hypothetical protein APUTEX25_001361 [Auxenochlorella protothecoides]
OG0000993	EIE18346.1 argininosuccinate synthase [Coccomyxa subellipsoidea C-169]	RMZ56620.1 hypothetical protein APUTEX25_002709 [Auxenochlorella protothecoides]
OG0000994	EIE23646.1 glyoxalase I [Coccomyxa subellipsoidea C-169]	RMZ56678.1 hypothetical protein APUTEX25_002767 [Auxenochlorella protothecoides]
OG0000995	EIE25435.1 hypothetical protein COCSUDRAFT_61652 [Coccomyxa subellipsoidea C-169]	RMZ57792.1 hypothetical protein APUTEX25_001504_ partial [Auxenochlorella protothecoides]
OG0000996	EIE25313.1 hypothetical protein COCSUDRAFT_65188 [Coccomyxa subellipsoidea C-169]	RMZ56741.1 hypothetical protein APUTEX25_002830 [Auxenochlorella protothecoides]
OG0000997	EIE23055.1 hypothetical protein COCSUDRAFT_36634 [Coccomyxa subellipsoidea C-169], EIE20577.1 hypothetical protein COCSUDRAFT_48568 [Coccomyxa subellipsoidea C-169]	RMZ56758.1 hypothetical protein APUTEX25_002847 [Auxenochlorella protothecoides]
OG0000999	EIE26748.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]	RMZ56819.1 hypothetical protein APUTEX25_002908_ partial [Auxenochlorella protothecoides]
OG0001000	EIE26206.1 hypothetical protein COCSUDRAFT_46535 [Coccomyxa subellipsoidea C-169]	RMZ56901.1 hypothetical protein APUTEX25_002990 [Auxenochlorella protothecoides]
OG0001001	EIE20818.1 peptidase M20 [Coccomyxa subellipsoidea C-169]	RMZ56978.1 hypothetical protein APUTEX25_005040 [Auxenochlorella protothecoides]
OG0001002	EIE20844.1 DUF506-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56979.1 hypothetical protein APUTEX25_005041 [Auxenochlorella protothecoides]
OG0001003	EIE21836.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	RMZ57019.1 hypothetical protein APUTEX25_002251 [Auxenochlorella protothecoides]
OG0001004	EIE18839.1 phosphatases II_ partial [Coccomyxa subellipsoidea C-169], EIE20537.1 phosphatases II_ partial [Coccomyxa subellipsoidea C-169], EIE23642.1 phosphatases II [Coccomyxa subellipsoidea C-169]	RMZ57025.1 hypothetical protein APUTEX25_002257 [Auxenochlorella protothecoides]
OG0001005	EIE24078.1 hypothetical protein COCSUDRAFT_47131 [Coccomyxa subellipsoidea C-169]	RMZ57108.1 hypothetical protein APUTEX25_002340 [Auxenochlorella protothecoides]
OG0001006	EIE25385.1 glycosyl transferase family 1 protein [Coccomyxa subellipsoidea C-169]	RMZ57179.1 hypothetical protein APUTEX25_004013 [Auxenochlorella protothecoides], RMZ57372.1 hypothetical protein APUTEX25_004206_ partial [Auxenochlorella protothecoides]
OG0001007	EIE25431.1 casein kinase II alpha subunit [Coccomyxa subellipsoidea C-169]	RMZ57199.1 hypothetical protein APUTEX25_004033 [Auxenochlorella protothecoides]
OG0001008	EIE20135.1 Triosephosphate isomerase [Coccomyxa subellipsoidea C-169]	RMZ57329.1 hypothetical protein APUTEX25_004163_ partial [Auxenochlorella protothecoides]
OG0001009	EIE21944.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	RMZ57499.1 hypothetical protein APUTEX25_003742 [Auxenochlorella protothecoides]
OG0001010	EIE24160.1 UDP-glucose 6-dehydrogenase [Coccomyxa subellipsoidea C-169], EIE22366.1 UDP-glucose dehydrogenase [Coccomyxa subellipsoidea C-169]	RMZ57552.1 hypothetical protein APUTEX25_001752_ partial [Auxenochlorella protothecoides]
OG0001011	EIE22283.1 amidohydrolase_ partial [Coccomyxa subellipsoidea C-169]	RMZ57575.1 hypothetical protein APUTEX25_001775 [Auxenochlorella protothecoides]
OG0001012	EIE22420.1 hypothetical protein COCSUDRAFT_42729 [Coccomyxa subellipsoidea C-169], EIE25518.1 hypothetical protein COCSUDRAFT_13807_ partial [Coccomyxa subellipsoidea C-169]	RMZ57634.1 hypothetical protein APUTEX25_001834_ partial [Auxenochlorella protothecoides]
OG0001013	EIE18621.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	RMZ57658.1 hypothetical protein APUTEX25_001858 [Auxenochlorella protothecoides]
OG0001014	EIE27390.1 Abi-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57713.1 hypothetical protein APUTEX25_001913 [Auxenochlorella protothecoides]
OG0001015	EIE27010.1 hypothetical protein COCSUDRAFT_83569 [Coccomyxa subellipsoidea C-169]	RMZ57717.1 hypothetical protein APUTEX25_001917 [Auxenochlorella protothecoides]
OG0001052	EIE25724.1 hypothetical protein COCSUDRAFT_46353 [Coccomyxa subellipsoidea C-169]	RMZ52051.1 hypothetical protein APUTEX25_001245 [Auxenochlorella protothecoides]
OG0001053	EIE20749.1 GINS complex_ Psf3 component [Coccomyxa subellipsoidea C-169]	RMZ53641.1 hypothetical protein APUTEX25_003175_ partial [Auxenochlorella protothecoides]
OG0001053	EIE19738.1 hypothetical protein COCSUDRAFT_54599_ partial [Coccomyxa subellipsoidea C-169]	RMZ52060.1 hypothetical protein APUTEX25_001254 [Auxenochlorella protothecoides]
OG0001054	EIE25726.1 mitochondrial substrate carrier protein [Coccomyxa subellipsoidea C-169]	RMZ52061.1 hypothetical protein APUTEX25_001255 [Auxenochlorella protothecoides]
OG0001055	EIE27155.1 hypothetical protein COCSUDRAFT_38902 [Coccomyxa subellipsoidea C-169]	RMZ56007.1 hypothetical protein APUTEX25_004431 [Auxenochlorella protothecoides]
OG0001055	EIE24171.1 hypothetical protein COCSUDRAFT_65781 [Coccomyxa subellipsoidea C-169], EIE23157.1 hypothetical protein COCSUDRAFT_66191 [Coccomyxa subellipsoidea C-169], EIE24220.1 hypothetical protein COCSUDRAFT_62728 [Coccomyxa subellipsoidea C-169]	RMZ52065.1 hypothetical protein APUTEX25_001259 [Auxenochlorella protothecoides]
OG0001056	EIE27395.1 hypothetical protein COCSUDRAFT_26703 [Coccomyxa subellipsoidea C-169]	RMZ52082.1 hypothetical protein APUTEX25_001276 [Auxenochlorella protothecoides]
OG0001057	EIE19870.1 hypothetical protein COCSUDRAFT_48713 [Coccomyxa subellipsoidea C-169]	RMZ53283.1 hypothetical protein APUTEX25_005272 [Auxenochlorella protothecoides]
OG0001058	EIE26580.1 hypothetical protein COCSUDRAFT_52390 [Coccomyxa subellipsoidea C-169]	RMZ52161.1 hypothetical protein APUTEX25_001551_ partial [Auxenochlorella protothecoides]
OG0001059	EIE26714.1 hypothetical protein COCSUDRAFT_59231 [Coccomyxa subellipsoidea C-169]	RMZ52198.1 hypothetical protein APUTEX25_001588 [Auxenochlorella protothecoides]
OG0001060	EIE19232.1 nuclear RNA helicase-like protein Bat1 [Coccomyxa subellipsoidea C-169]	RMZ52203.1 hypothetical protein APUTEX25_001593 [Auxenochlorella protothecoides]
OG0001061	EIE26074.1 ribosomal protein S3Ae [Coccomyxa subellipsoidea C-169]	RMZ52209.1 hypothetical protein APUTEX25_001599 [Auxenochlorella protothecoides]
OG0001062	EIE26200.1 DUF625-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52255.1 hypothetical protein APUTEX25_001645 [Auxenochlorella protothecoides]
OG0001063	EIE18889.1 hypothetical protein COCSUDRAFT_45036 [Coccomyxa subellipsoidea C-169]	RMZ52260.1 hypothetical protein APUTEX25_001650 [Auxenochlorella protothecoides]
OG0001064	EIE19231.1 eukaryotic-type signal peptide peptidase [Coccomyxa subellipsoidea C-169]	RMZ52271.1 hypothetical protein APUTEX25_001661_ partial [Auxenochlorella protothecoides]
OG0001065	EIE26479.1 hypothetical protein COCSUDRAFT_64509 [Coccomyxa subellipsoidea C-169]	RMZ52295.1 hypothetical protein APUTEX25_001685 [Auxenochlorella protothecoides], RMZ52359.1 hypothetical protein APUTEX25_000634 [Auxenochlorella protothecoides]
OG0001066	EIE26199.1 hypothetical protein COCSUDRAFT_35581 [Coccomyxa subellipsoidea C-169]	RMZ52301.1 hypothetical protein APUTEX25_001691 [Auxenochlorella protothecoides]
OG0001067	EIE26592.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	RMZ52311.1 hypothetical protein APUTEX25_005064 [Auxenochlorella protothecoides]
OG0001068	EIE27735.1 hypothetical protein COCSUDRAFT_64358 [Coccomyxa subellipsoidea C-169], EIE22451.1 hypothetical protein COCSUDRAFT_42752 [Coccomyxa subellipsoidea C-169]	RMZ52322.1 hypothetical protein APUTEX25_005075_ partial [Auxenochlorella protothecoides]
OG0001069	EIE26582.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	RMZ52337.1 hypothetical protein APUTEX25_005090 [Auxenochlorella protothecoides]
OG0001070	EIE23232.1 hypothetical protein COCSUDRAFT_63588 [Coccomyxa subellipsoidea C-169]	RMZ52392.1 hypothetical protein APUTEX25_000667 [Auxenochlorella protothecoides]
OG0001071	EIE24336.1 hypothetical protein COCSUDRAFT_62836 [Coccomyxa subellipsoidea C-169], EIE24418.1 TPT-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52398.1 hypothetical protein APUTEX25_000673 [Auxenochlorella protothecoides]
OG0001072	EIE20399.1 DUF663-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52401.1 hypothetical protein APUTEX25_000676 [Auxenochlorella protothecoides]
OG0001074	EIE27619.1 methionine adenosyltransferase [Coccomyxa subellipsoidea C-169]	RMZ52465.1 hypothetical protein APUTEX25_000044 [Auxenochlorella protothecoides]
OG0001075	EIE18544.1 peroxisomal biogenesis factor 11 [Coccomyxa subellipsoidea C-169]	RMZ52493.1 hypothetical protein APUTEX25_003636 [Auxenochlorella protothecoides]
OG0001076	EIE20543.1 hypothetical protein COCSUDRAFT_43963 [Coccomyxa subellipsoidea C-169]	RMZ52511.1 hypothetical protein APUTEX25_003654 [Auxenochlorella protothecoides], RMZ54710.1 hypothetical protein APUTEX25_003088 [Auxenochlorella protothecoides]
OG0001077	EIE19659.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE22632.1 the Kifc3 motor domain in complex with Adp_ partial [Coccomyxa subellipsoidea C-169]	RMZ52520.1 hypothetical protein APUTEX25_003663 [Auxenochlorella protothecoides], RMZ56142.1 hypothetical protein APUTEX25_004566_ partial [Auxenochlorella protothecoides]
OG0001078	EIE20296.1 hypothetical protein COCSUDRAFT_58005 [Coccomyxa subellipsoidea C-169]	RMZ52548.1 hypothetical protein APUTEX25_003691 [Auxenochlorella protothecoides]
OG0001079	EIE24982.1 fumble-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52550.1 hypothetical protein APUTEX25_003693_ partial [Auxenochlorella protothecoides]
OG0001080	EIE20441.1 hypothetical protein COCSUDRAFT_43885 [Coccomyxa subellipsoidea C-169]	RMZ52572.1 hypothetical protein APUTEX25_003715_ partial [Auxenochlorella protothecoides]
OG0001081	EIE23953.1 acid phosphatase/Vanadium-dependent haloperoxidase [Coccomyxa subellipsoidea C-169]	RMZ52592.1 hypothetical protein APUTEX25_000711 [Auxenochlorella protothecoides]
OG0001082	EIE18850.1 hypothetical protein COCSUDRAFT_68051 [Coccomyxa subellipsoidea C-169]	RMZ57010.1 hypothetical protein APUTEX25_002242 [Auxenochlorella protothecoides]
OG0001082	EIE19366.1 hypothetical protein COCSUDRAFT_48924 [Coccomyxa subellipsoidea C-169]	RMZ52603.1 hypothetical protein APUTEX25_000722 [Auxenochlorella protothecoides]
OG0001083	EIE21683.1 DUF773-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52636.1 hypothetical protein APUTEX25_000755 [Auxenochlorella protothecoides]
OG0001085	EIE19762.1 Caleosin-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19761.1 Caleosin-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52703.1 hypothetical protein APUTEX25_000822 [Auxenochlorella protothecoides]
OG0001086	EIE21728.1 hypothetical protein COCSUDRAFT_47922 [Coccomyxa subellipsoidea C-169]	RMZ52729.1 hypothetical protein APUTEX25_000848 [Auxenochlorella protothecoides]
OG0001088	EIE27736.1 60S ribosomal protein L18a-2 [Coccomyxa subellipsoidea C-169]	RMZ52818.1 hypothetical protein APUTEX25_000937 [Auxenochlorella protothecoides]
