Orthogroup	Chlorella_A99	Micractinium_SAG24180
OG0000471	PCFQ01000015.1 g2946 [Chlorella sp. A99]	PSC73183.1 histone chaperone asf1 [Micractinium conductrix]
OG0000472	PCFQ01000082.1 g513 [Chlorella sp. A99]	PSC73655.1 Mitochondrial transcription termination factor [Micractinium conductrix]
OG0000473	PCFQ01000003.1 g1035 [Chlorella sp. A99]	PSC75478.1 WD repeat-containing 26-like [Micractinium conductrix]
OG0000476	PCFQ01000073.1 g1964 [Chlorella sp. A99]	PSC73883.1 ABC transporter A family member 2 isoform B [Micractinium conductrix], PSC73884.1 ABC transporter A family member 2 isoform A [Micractinium conductrix], PSC73882.1 ABC transporter A family member 2 isoform C [Micractinium conductrix]
OG0000477	PCFQ01000012.1 g1831 [Chlorella sp. A99]	PSC70039.1 GTP-binding hflX [Micractinium conductrix]
OG0000478	PCFQ01000079.1 g1495 [Chlorella sp. A99]	PSC67291.1 5 -adenylylsulfate reductase [Micractinium conductrix]
OG0000480	PCFQ01000005.1 g865 [Chlorella sp. A99], PCFQ01000011.1 g2740 [Chlorella sp. A99]	PSC70498.1 Peptide chain release factor 1 [Micractinium conductrix]
OG0000482	PCFQ01000073.1 g1963 [Chlorella sp. A99], PCFQ01000073.1 g1960 [Chlorella sp. A99]	PSC72516.1 Acyl-coenzyme A oxidase peroxisomal [Micractinium conductrix]
OG0000483	PCFQ01000079.1 g1444 [Chlorella sp. A99]	PSC72325.1 elongation factor 3 [Micractinium conductrix]
OG0000483	PCFQ01000002.1 g656 [Chlorella sp. A99]	PSC74715.1 elongation factor EF-3 [Micractinium conductrix]
OG0000484	PCFQ01000001.1 g1006 [Chlorella sp. A99]	PSC74990.1 pollen-specific leucine-rich repeat extensin 1 [Micractinium conductrix]
OG0000485	PCFQ01000003.1 g1027 [Chlorella sp. A99]	PSC75746.1 hard-surface induced 5 [Micractinium conductrix], PSC70508.1 hard-surface induced [Micractinium conductrix]
OG0000486	PCFQ01000077.1 g1768 [Chlorella sp. A99]	PSC70268.1 glycoside hydrolase family 20 [Micractinium conductrix], PSC73696.1 beta-hexosaminidase subunit alpha [Micractinium conductrix]
OG0000487	PCFQ01000037.1 g2380 [Chlorella sp. A99]	PSC74779.1 hypothetical protein C2E20_2313 [Micractinium conductrix]
OG0000488	PCFQ01000037.1 g2404 [Chlorella sp. A99]	PSC73800.1 cytochrome P450 [Micractinium conductrix], PSC76937.1 cytochrome P450 [Micractinium conductrix], PSC76582.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76581.1 cytochrome P450 isoform B [Micractinium conductrix]
OG0000489	PCFQ01000015.1 g3065 [Chlorella sp. A99]	PSC68142.1 hypothetical protein C2E20_8207_ partial [Micractinium conductrix], PSC71822.1 acidstable alpha-amylase [Micractinium conductrix], PSC68970.1 acidstable alpha-amylase [Micractinium conductrix], PSC67013.1 alpha-1_3-glucan synthase Ags3_ partial [Micractinium conductrix], PSC67576.1 hypothetical protein C2E20_8791_ partial [Micractinium conductrix], PSC68623.1 acidstable alpha-amylase [Micractinium conductrix]
OG0000499	PCFQ01000008.1 g1133 [Chlorella sp. A99]	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]
OG0000500	PCFQ01000012.1 g1832 [Chlorella sp. A99]	PSC70010.1 cystathionine beta-lyase family involved in aluminum resistance [Micractinium conductrix]
OG0000501	PCFQ01000015.1 g3047 [Chlorella sp. A99]	PSC73003.1 putative S-acyltransferase 7 [Micractinium conductrix]
OG0000502	PCFQ01000004.1 g2705 [Chlorella sp. A99]	PSC67692.1 Beta-galactosidase 17 [Micractinium conductrix]
OG0000503	PCFQ01000011.1 g2799 [Chlorella sp. A99]	PSC68119.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]
OG0000505	PCFQ01000005.1 g803 [Chlorella sp. A99]	PSC75328.1 putative phytol kinase chloroplastic [Micractinium conductrix]
OG0000506	PCFQ01000037.1 g2378 [Chlorella sp. A99]	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]
OG0000507	PCFQ01000037.1 g2342 [Chlorella sp. A99]	PSC76915.1 LAG1 longevity assurance-like protein 3 isoform B [Micractinium conductrix], PSC76914.1 LAG1 longevity assurance-like protein 3 isoform A [Micractinium conductrix]
OG0000508	PCFQ01000078.1 g2182 [Chlorella sp. A99]	PSC76292.1 translocator -like [Micractinium conductrix]
OG0000509	PCFQ01000010.1 g386 [Chlorella sp. A99], PCFQ01000081.1 g1656 [Chlorella sp. A99]	PSC71382.1 ATPase [Micractinium conductrix], PSC74740.1 DUF563 domain [Micractinium conductrix]
OG0000510	PCFQ01000037.1 g2534 [Chlorella sp. A99], PCFQ01000037.1 g2517 [Chlorella sp. A99]	PSC69867.1 3-phosphoshikimate 1-carboxyvinyltransferase [Micractinium conductrix]
OG0000512	PCFQ01000079.1 g1407 [Chlorella sp. A99]	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]
OG0000513	PCFQ01000001.1 g959 [Chlorella sp. A99]	PSC69359.1 Serine threonine family 2C [Micractinium conductrix], PSC69346.1 Plastid lipid-associated fibrillin conserved domain [Micractinium conductrix]
OG0000514	PCFQ01000081.1 g1655 [Chlorella sp. A99]	PSC75069.1 magnesium transporter MRS2-7 [Micractinium conductrix], PSC75097.1 magnesium transporter MRS2-7 isoform B [Micractinium conductrix], PSC75098.1 magnesium transporter MRS2-7 isoform A [Micractinium conductrix]
OG0000515	PCFQ01000081.1 g1649 [Chlorella sp. A99]	PSC74983.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]
OG0000516	PCFQ01000081.1 g1601 [Chlorella sp. A99]	PSC70791.1 Methionine-tRNA [Micractinium conductrix]
OG0000520	PCFQ01000013.1 g3290 [Chlorella sp. A99]	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]
OG0000522	PCFQ01000079.1 g1255 [Chlorella sp. A99], PCFQ01000079.1 g1278 [Chlorella sp. A99]	PSC73440.1 molecular chaperone [Micractinium conductrix]
OG0000524	PCFQ01000015.1 g3017 [Chlorella sp. A99]	PSC73361.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67237.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67076.1 glycosyltransferase family 8 [Micractinium conductrix]
OG0000525	PCFQ01000015.1 g3009 [Chlorella sp. A99]	PSC76371.1 alanine-tRNA ligase [Micractinium conductrix], PSC73806.1 monooxygenase [Micractinium conductrix]
OG0000526	PCFQ01000080.1 g1945 [Chlorella sp. A99]	PSC74677.1 ACT domain-containing ACR2 [Micractinium conductrix]
OG0000527	PCFQ01000037.1 g2456 [Chlorella sp. A99]	PSC72323.1 cell division cycle 27-like protein B isoform X2 [Micractinium conductrix]
OG0000530	PCFQ01000058.1 g251 [Chlorella sp. A99]	PSC76041.1 SNF1-related kinase catalytic subunit alpha KIN10-like [Micractinium conductrix]
OG0000531	PCFQ01000020.1 g919 [Chlorella sp. A99]	PSC73373.1 inactive purple acid phosphatase 2 [Micractinium conductrix]
OG0000532	PCFQ01000079.1 g1310 [Chlorella sp. A99]	PSC67783.1 Expansin 1 [Micractinium conductrix], PSC67798.1 Expansin 1 [Micractinium conductrix]
OG0000535	PCFQ01000078.1 g2084 [Chlorella sp. A99]	PSC71223.1 Kinesin KIF6 [Micractinium conductrix]
OG0000536	PCFQ01000020.1 g935 [Chlorella sp. A99]	PSC71710.1 thiol disulfide reductase thioredoxin [Micractinium conductrix], PSC71716.1 cytochrome c oxidase subunit [Micractinium conductrix]
OG0000538	PCFQ01000079.1 g1462 [Chlorella sp. A99]	PSC70691.1 DNA mismatch repair MSH6 [Micractinium conductrix]
OG0000539	PCFQ01000078.1 g2176 [Chlorella sp. A99]	PSC67761.1 MFS general substrate transporter [Micractinium conductrix]
OG0000539	PCFQ01000078.1 g2179 [Chlorella sp. A99]	PSC67792.1 transport [Micractinium conductrix]
OG0000541	PCFQ01000058.1 g235 [Chlorella sp. A99]	PSC72747.1 superoxide dismutase [Fe] [Micractinium conductrix], PSC77044.1 superoxide dismutase [Fe] [Micractinium conductrix]
OG0000542	PCFQ01000007.1 g1223 [Chlorella sp. A99]	PSC69479.1 vacuolar sorting-associated 45-like protein [Micractinium conductrix], PSC69510.1 mitochondrial substrate carrier family B [Micractinium conductrix]
OG0000544	PCFQ01000011.1 g2924 [Chlorella sp. A99]	PSC69040.1 sedoheptulose-1_7-bisphosphatase [Micractinium conductrix]
OG0000544	PCFQ01000004.1 g2615 [Chlorella sp. A99]	PSC76933.1 Sedoheptulose-1_7-chloroplastic [Micractinium conductrix]
OG0000545	PCFQ01000058.1 g108 [Chlorella sp. A99], PCFQ01000058.1 g110 [Chlorella sp. A99]	PSC75103.1 aspartate aminotransferase [Micractinium conductrix]
OG0000546	PCFQ01000002.1 g702 [Chlorella sp. A99]	PSC69106.1 Qa-SYP4 Tlg2p Syntaxin 16-type [Micractinium conductrix]
OG0000547	PCFQ01000002.1 g664 [Chlorella sp. A99]	PSC68301.1 polyketide cyclase hydroxylase [Micractinium conductrix]
OG0000548	PCFQ01000015.1 g2953 [Chlorella sp. A99]	PSC76480.1 plastid division [Micractinium conductrix]
OG0000549	PCFQ01000015.1 g3034 [Chlorella sp. A99]	PSC72960.1 Sulfate adenylyltransferase isoform A [Micractinium conductrix], PSC72959.1 Sulfate adenylyltransferase isoform B [Micractinium conductrix], PSC70809.1 sulfate adenylyltransferase [Micractinium conductrix]
OG0000551	PCFQ01000011.1 g2854 [Chlorella sp. A99]	PSC71514.1 MUT9-related serine threonine kinase [Micractinium conductrix]
OG0000551	PCFQ01000008.1 g1101 [Chlorella sp. A99]	PSC75885.1 MUT9-related serine threonine kinase isoform A [Micractinium conductrix], PSC75884.1 MUT9-related serine threonine kinase isoform B [Micractinium conductrix]
OG0000552	PCFQ01000079.1 g1487 [Chlorella sp. A99], PCFQ01000020.1 g903 [Chlorella sp. A99]	PSC70972.1 serine carboxypeptidase 24-like [Micractinium conductrix]
OG0000553	PCFQ01000004.1 g2629 [Chlorella sp. A99]	PSC73318.1 T-complex 1 subunit gamma [Micractinium conductrix]
OG0000555	PCFQ01000058.1 g79 [Chlorella sp. A99]	PSC67355.1 prohibitin-mitochondrial-like [Micractinium conductrix]
OG0000556	PCFQ01000037.1 g2353 [Chlorella sp. A99]	PSC68880.1 expressed protein isoform E [Micractinium conductrix], PSC68883.1 expressed protein isoform D [Micractinium conductrix], PSC68882.1 expressed protein isoform A [Micractinium conductrix], PSC73483.1 splicing arginine serine-rich 19 [Micractinium conductrix], PSC69212.1 FAD-linked oxidase [Micractinium conductrix], PSC72441.1 Transcriptional Crp Fnr family [Micractinium conductrix]
OG0000557	PCFQ01000008.1 g1116 [Chlorella sp. A99], PCFQ01000008.1 g1115 [Chlorella sp. A99]	PSC72540.1 tRNA uridine_34_ 5-carboxymethylaminomethyl synthesis enzyme [Micractinium conductrix]
OG0000558	PCFQ01000079.1 g1433 [Chlorella sp. A99], PCFQ01000008.1 g1177 [Chlorella sp. A99], PCFQ01000002.1 g638 [Chlorella sp. A99]	PSC75580.1 putative prolyl 4-hydroxylase 4 [Micractinium conductrix]
OG0000559	PCFQ01000004.1 g2694 [Chlorella sp. A99]	PSC67965.1 DNA replication licensing factor MCM4 [Micractinium conductrix]
OG0000560	PCFQ01000079.1 g1350 [Chlorella sp. A99]	PSC73974.1 ERD4-related membrane isoform A [Micractinium conductrix], PSC73975.1 ERD4-related membrane isoform B [Micractinium conductrix]
OG0000562	PCFQ01000082.1 g535 [Chlorella sp. A99]	PSC75160.1 Solute carrier family 35 member E3 isoform B [Micractinium conductrix], PSC75159.1 Solute carrier family 35 member E3 isoform A [Micractinium conductrix]
OG0000563	PCFQ01000002.1 g704 [Chlorella sp. A99]	PSC72141.1 alpha beta-hydrolase [Micractinium conductrix]
OG0000563	PCFQ01000078.1 g2124 [Chlorella sp. A99], PCFQ01000078.1 g1998 [Chlorella sp. A99]	PSC69058.1 alpha beta-hydrolase isoform B [Micractinium conductrix], PSC69057.1 alpha beta-hydrolase isoform A [Micractinium conductrix]
OG0000564	PCFQ01000018.1 g481 [Chlorella sp. A99]	PSC74467.1 phosphatase 1 [Micractinium conductrix]
OG0000565	PCFQ01000082.1 g559 [Chlorella sp. A99]	PSC70159.1 3-dehydroquinate synthase [Micractinium conductrix]
OG0000566	PCFQ01000010.1 g352 [Chlorella sp. A99]	PSC67130.1 structural maintenance of chromosomes 6B_ partial [Micractinium conductrix], PSC68121.1 structural maintenance of chromosomes 6B [Micractinium conductrix], PSC71901.1 structural maintenance of chromosomes 6B [Micractinium conductrix]
OG0000567	PCFQ01000079.1 g1284 [Chlorella sp. A99]	PSC70525.1 fructose bisphosphate aldolase [Micractinium conductrix]
OG0000568	PCFQ01000002.1 g710 [Chlorella sp. A99]	PSC67980.1 dnaJ ERDJ3B [Micractinium conductrix]
OG0000569	PCFQ01000015.1 g3038 [Chlorella sp. A99]	PSC73100.1 na+ solute symporter isoform A [Micractinium conductrix], PSC73101.1 na+ solute symporter isoform B [Micractinium conductrix]
OG0000570	PCFQ01000006.1 g3231 [Chlorella sp. A99]	PSC74776.1 SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A 1 isoform X1 [Micractinium conductrix]
OG0000572	PCFQ01000015.1 g2973 [Chlorella sp. A99]	PSC76246.1 histone acetyltransferase HAC1-like [Micractinium conductrix]
OG0000573	PCFQ01000079.1 g1402 [Chlorella sp. A99]	PSC71818.1 hypothetical protein C2E20_4941 [Micractinium conductrix]
OG0000574	PCFQ01000037.1 g2403 [Chlorella sp. A99]	PSC73562.1 molybdopterin adenylyltransferase [Micractinium conductrix], PSC73786.1 Proteasome subunit beta type-6 [Micractinium conductrix]
OG0000577	PCFQ01000011.1 g2781 [Chlorella sp. A99]	PSC75825.1 Eukaryotic translation initiation factor 3 subunit F [Micractinium conductrix]
OG0000578	PCFQ01000046.1 g1849 [Chlorella sp. A99]	PSC70859.1 ubiquitin [Micractinium conductrix]
OG0000580	PCFQ01000077.1 g1742 [Chlorella sp. A99]	PSC73827.1 COP9 signalosome complex subunit 6a [Micractinium conductrix]
OG0000582	PCFQ01000005.1 g795 [Chlorella sp. A99]	PSC74415.1 33kDa oxygen evolving of photosystem II [Micractinium conductrix], PSC69559.1 photosystem II manganese-stabilizing polypeptide [Micractinium conductrix]
OG0000583	PCFQ01000019.1 g1815 [Chlorella sp. A99]	PSC67606.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix], PSC67085.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix], PSC76552.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix]
OG0000584	PCFQ01000012.1 g1842 [Chlorella sp. A99]	PSC75017.1 ADP-ribosylation factor 9 [Micractinium conductrix], PSC74963.1 heme oxygenase [Micractinium conductrix]
OG0000585	PCFQ01000012.1 g1828 [Chlorella sp. A99]	PSC67369.1 DNA RNA polymerase [Micractinium conductrix], PSC74997.1 NLI interacting factor-like phosphatase [Micractinium conductrix]
OG0000586	PCFQ01000078.1 g2106 [Chlorella sp. A99]	PSC71302.1 mitochondrial-processing peptidase subunit alpha-like [Micractinium conductrix]
OG0000587	PCFQ01000037.1 g2480 [Chlorella sp. A99]	PSC69903.1 BTB POZ and MATH domain-containing 2-like isoform B [Micractinium conductrix]
OG0000587	PCFQ01000037.1 g2466 [Chlorella sp. A99]	PSC69902.1 BTB POZ and MATH domain-containing 2-like isoform A [Micractinium conductrix]
OG0000588	PCFQ01000077.1 g1766 [Chlorella sp. A99]	PSC71257.1 spore coat isoform A [Micractinium conductrix], PSC71256.1 spore coat isoform B [Micractinium conductrix]
OG0000591	PCFQ01000058.1 g136 [Chlorella sp. A99]	PSC73881.1 glycerol transport activity [Micractinium conductrix]
OG0000592	PCFQ01000058.1 g270 [Chlorella sp. A99]	PSC69798.1 ligand-gated ion channel [Micractinium conductrix], PSC76851.1 hypothetical protein C2E20_0627 [Micractinium conductrix]
OG0000593	PCFQ01000007.1 g1219 [Chlorella sp. A99]	PSC76163.1 ABC transporter C family member 13 isoform X1 isoform B [Micractinium conductrix], PSC76164.1 ABC transporter C family member 13 isoform X1 isoform A [Micractinium conductrix]
OG0000594	PCFQ01000081.1 g1563 [Chlorella sp. A99]	PSC71121.1 Transaldolase [Micractinium conductrix]
OG0000595	PCFQ01000078.1 g2178 [Chlorella sp. A99]	PSC68035.1 Rab11 -family small GTPase [Micractinium conductrix]
OG0000596	PCFQ01000004.1 g2706 [Chlorella sp. A99]	PSC68007.1 DNA damage checkpoint [Micractinium conductrix]
OG0000597	PCFQ01000015.1 g3066 [Chlorella sp. A99]	PSC76939.1 regulator of chromosome condensation RCC1 [Micractinium conductrix]
OG0000598	PCFQ01000015.1 g3077 [Chlorella sp. A99]	PSC69139.1 spindle assembly abnormal 6-like protein [Micractinium conductrix]
OG0000609	PCFQ01000015.1 g3074 [Chlorella sp. A99]	PSC69176.1 serine threonine-kinase SAPK3-like [Micractinium conductrix]
OG0000610	PCFQ01000082.1 g493 [Chlorella sp. A99]	PSC69329.1 aldehyde dehydrogenase [Micractinium conductrix], PSC69086.1 aldehyde dehydrogenase [Micractinium conductrix]
OG0000611	PCFQ01000015.1 g3046 [Chlorella sp. A99]	PSC72946.1 Ubiquitin domain-containing 2 [Micractinium conductrix]
OG0000612	PCFQ01000015.1 g3081 [Chlorella sp. A99]	PSC69098.1 Vacuolar transporter chaperone 4 [Micractinium conductrix], PSC69095.1 Beta-amylase chloroplastic isoform A [Micractinium conductrix], PSC69096.1 Beta-amylase chloroplastic isoform B [Micractinium conductrix]
OG0000613	PCFQ01000079.1 g1524 [Chlorella sp. A99]	PSC70144.1 kinesin-ii motor [Micractinium conductrix]
OG0000613	PCFQ01000015.1 g3094 [Chlorella sp. A99]	PSC68795.1 kinesin KIF3B [Micractinium conductrix]
OG0000615	PCFQ01000079.1 g1396 [Chlorella sp. A99]	PSC71737.1 VTC domain-containing [Micractinium conductrix]
OG0000615	PCFQ01000079.1 g1394 [Chlorella sp. A99]	PSC73529.1 ABC transporter C family member 2 isoform B [Micractinium conductrix], PSC73528.1 ABC transporter C family member 2 isoform A [Micractinium conductrix]
OG0000618	PCFQ01000037.1 g2393 [Chlorella sp. A99]	PSC73676.1 40S ribosomal S15a isoform B [Micractinium conductrix], PSC73675.1 40S ribosomal S15a isoform A [Micractinium conductrix]
OG0000619	PCFQ01000006.1 g3250 [Chlorella sp. A99]	PSC70181.1 SNF2 family DNA-dependent ATPase [Micractinium conductrix]
OG0000620	PCFQ01000007.1 g1236 [Chlorella sp. A99]	PSC71057.1 saccharopine dehydrogenase [Micractinium conductrix]
OG0000621	PCFQ01000015.1 g3087 [Chlorella sp. A99]	PSC69871.1 pyruvate_ferredoxin _flavodoxin_ oxidoreductase [Micractinium conductrix]
OG0000623	PCFQ01000058.1 g200 [Chlorella sp. A99]	PSC73755.1 U1 small nuclear ribonucleo A [Micractinium conductrix]
OG0000627	PCFQ01000058.1 g170 [Chlorella sp. A99]	PSC76461.1 NAD_P_ mitochondrial [Micractinium conductrix], PSC75741.1 NAD_P_ transhydrogenase_ mitochondrial [Micractinium conductrix]
OG0000628	PCFQ01000011.1 g2900 [Chlorella sp. A99]	PSC75597.1 Transmembrane 45B [Micractinium conductrix]
OG0000630	PCFQ01000001.1 g963 [Chlorella sp. A99]	PSC72537.1 putative polyribonucleotide nucleotidyltransferase chloroplastic [Micractinium conductrix]
OG0000630	PCFQ01000028.1 g2727 [Chlorella sp. A99]	PSC68371.1 polyribonucleotide nucleotidyltransferase [Micractinium conductrix]
OG0000631	PCFQ01000010.1 g289 [Chlorella sp. A99]	PSC71888.1 Vacuolar sorting-associated 16_ partial [Micractinium conductrix]
OG0000633	PCFQ01000009.1 g1682 [Chlorella sp. A99]	PSC72178.1 tyramine oxidase [Micractinium conductrix]
OG0000634	PCFQ01000079.1 g1397 [Chlorella sp. A99]	PSC68566.1 Cell division cycle-associated 7 [Micractinium conductrix]
OG0000634	PCFQ01000079.1 g1262 [Chlorella sp. A99]	PSC73301.1 ubiquitin-ligase zinc ion binding [Micractinium conductrix]
OG0000635	PCFQ01000008.1 g1104 [Chlorella sp. A99]	PSC72390.1 ribulose-phosphate 3-chloroplastic-like [Micractinium conductrix]
OG0000636	PCFQ01000003.1 g1054 [Chlorella sp. A99]	PSC73715.1 carotenoid oxygenase [Micractinium conductrix]
OG0000637	PCFQ01000001.1 g952 [Chlorella sp. A99]	PSC69313.1 N-alpha-acetyltransferase 20 [Micractinium conductrix]
OG0000638	PCFQ01000011.1 g2775 [Chlorella sp. A99]	PSC70505.1 MON2-like protein isoform X1 [Micractinium conductrix]
OG0000640	PCFQ01000006.1 g3248 [Chlorella sp. A99]	PSC74444.1 oxidoreductase [Micractinium conductrix], PSC68750.1 DNA mismatch repair MLH1 [Micractinium conductrix]
OG0000642	PCFQ01000018.1 g447 [Chlorella sp. A99]	PSC68937.1 alanine-glyoxylate transaminase [Micractinium conductrix]
OG0000643	PCFQ01000037.1 g2411 [Chlorella sp. A99]	PSC68192.1 sorting nexin 2A [Micractinium conductrix], PSC68199.1 5 -3 exoribonuclease 2 [Micractinium conductrix]
OG0000644	PCFQ01000018.1 g421 [Chlorella sp. A99]	PSC68788.1 RNA polymerase II C-terminal domain phosphatase-like 1 [Micractinium conductrix]
OG0000645	PCFQ01000011.1 g2794 [Chlorella sp. A99]	PSC76381.1 copper target 1 [Micractinium conductrix], PSC76971.1 copper target 1 [Micractinium conductrix]
OG0000646	PCFQ01000001.1 g1002 [Chlorella sp. A99]	PSC67313.1 Transcription factor 25 [Micractinium conductrix]
OG0000647	PCFQ01000001.1 g982 [Chlorella sp. A99]	PSC70096.1 E3 ubiquitin-ligase [Micractinium conductrix]
OG0000648	PCFQ01000021.1 g2313 [Chlorella sp. A99]	PSC74060.1 tRNA-dihydrouridine_47_ synthase [NAD_P__+_]-like [Micractinium conductrix], PSC71507.1 dihydrouridine synthase-like family [Micractinium conductrix]
OG0000649	PCFQ01000078.1 g2215 [Chlorella sp. A99]	PSC73006.1 diaminopimelate decarboxylase chloroplastic-like [Micractinium conductrix]
OG0000650	PCFQ01000020.1 g893 [Chlorella sp. A99]	PSC70416.1 mitogen-activated kinase 3 [Micractinium conductrix]
OG0000651	PCFQ01000011.1 g2885 [Chlorella sp. A99], PCFQ01000058.1 g87 [Chlorella sp. A99]	PSC71597.1 MGDG specific palmitate delta-7 desaturase [Micractinium conductrix]
OG0000651	PCFQ01000020.1 g884 [Chlorella sp. A99]	PSC75319.1 Palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase_ chloroplastic [Micractinium conductrix]
OG0000652	PCFQ01000024.1 g2554 [Chlorella sp. A99]	PSC75833.1 glutamine amidotransferase [Micractinium conductrix]
OG0000653	PCFQ01000037.1 g2490 [Chlorella sp. A99]	PSC69951.1 aspartate-semialdehyde dehydrogenase-like [Micractinium conductrix]
OG0000654	PCFQ01000058.1 g112 [Chlorella sp. A99]	PSC68286.1 ligase [Micractinium conductrix]
OG0000656	PCFQ01000082.1 g511 [Chlorella sp. A99]	PSC73589.1 Cilia-and flagella-associated 57 [Micractinium conductrix]
OG0000657	PCFQ01000077.1 g1771 [Chlorella sp. A99]	PSC72517.1 ubiquitin-conjugating enzyme E2 2 [Micractinium conductrix]
OG0000658	PCFQ01000078.1 g2135 [Chlorella sp. A99]	PSC71110.1 THO complex subunit 3 [Micractinium conductrix]
OG0000661	PCFQ01000079.1 g1400 [Chlorella sp. A99]	PSC71826.1 Guanine nucleotide-binding -like 3 [Micractinium conductrix]
OG0000663	PCFQ01000006.1 g3184 [Chlorella sp. A99], PCFQ01000081.1 g1664 [Chlorella sp. A99]	PSC72810.1 integral membrane single C2 domain [Micractinium conductrix], PSC73181.1 synaptotagmin-2-like isoform X1 [Micractinium conductrix]
OG0000664	PCFQ01000006.1 g3234 [Chlorella sp. A99]	PSC71591.1 CBL-interacting kinase 32 [Micractinium conductrix]
OG0000666	PCFQ01000011.1 g2819 [Chlorella sp. A99]	PSC71607.1 plastid acyl carrier [Micractinium conductrix]
OG0000670	PCFQ01000004.1 g2640 [Chlorella sp. A99]	PSC71488.1 hypothetical protein C2E20_5000 [Micractinium conductrix]
OG0000671	PCFQ01000004.1 g2702 [Chlorella sp. A99]	PSC67959.1 DNA-directed RNA polymerase III subunit RPC6 [Micractinium conductrix]
OG0000672	PCFQ01000011.1 g2822 [Chlorella sp. A99]	PSC72737.1 ATP-binding cassette sub-family G member 2 [Micractinium conductrix]
OG0000672	PCFQ01000078.1 g2191 [Chlorella sp. A99]	PSC71511.1 ATP-binding Cassette _ABC_ Superfamily [Micractinium conductrix], PSC76113.1 ATP-dependent permease [Micractinium conductrix]
OG0000673	PCFQ01000079.1 g1456 [Chlorella sp. A99]	PSC76152.1 solanesyl diphosphate synthase [Micractinium conductrix]
OG0000674	PCFQ01000012.1 g1822 [Chlorella sp. A99]	PSC69984.1 ubiquitin-UPL1 [Micractinium conductrix]
OG0000677	PCFQ01000007.1 g1201 [Chlorella sp. A99]	PSC69503.1 Glutamate decarboxylase [Micractinium conductrix]
OG0000677	PCFQ01000006.1 g3238 [Chlorella sp. A99]	PSC74807.1 glutamate decarboxylase [Micractinium conductrix]
OG0000678	PCFQ01000010.1 g323 [Chlorella sp. A99]	PSC72021.1 SKP1 1B [Micractinium conductrix]
OG0000679	PCFQ01000010.1 g303 [Chlorella sp. A99]	PSC71865.1 50S ribosomal chloroplastic [Micractinium conductrix]
OG0000680	PCFQ01000058.1 g98 [Chlorella sp. A99]	PSC68897.1 Estradiol 17-beta-dehydrogenase 12 [Micractinium conductrix]
OG0000681	PCFQ01000058.1 g128 [Chlorella sp. A99]	PSC73571.1 parafibromin-like isoform X2 [Micractinium conductrix]
OG0000682	PCFQ01000082.1 g542 [Chlorella sp. A99]	PSC74581.1 cell surface receptor IPT TIG domain-containing isoform A [Micractinium conductrix], PSC74583.1 cell surface receptor IPT TIG domain-containing isoform C [Micractinium conductrix], PSC74582.1 cell surface receptor IPT TIG domain-containing isoform B [Micractinium conductrix]
OG0000683	PCFQ01000058.1 g255 [Chlorella sp. A99], PCFQ01000079.1 g1257 [Chlorella sp. A99]	PSC75528.1 glycosyl transferase family 2 [Micractinium conductrix]
OG0000683	PCFQ01000058.1 g262 [Chlorella sp. A99]	PSC67835.1 hypothetical protein C2E20_8489 [Micractinium conductrix]
OG0000684	PCFQ01000002.1 g686 [Chlorella sp. A99]	PSC69765.1 Counting factor associated D [Micractinium conductrix]
OG0000685	PCFQ01000002.1 g717 [Chlorella sp. A99]	PSC67947.1 acyl-binding domain-containing 4-like isoform X1 isoform B [Micractinium conductrix]
OG0000685	PCFQ01000002.1 g716 [Chlorella sp. A99]	PSC67948.1 acyl-binding domain-containing 4-like isoform X1 isoform A [Micractinium conductrix]
OG0000687	PCFQ01000006.1 g3102 [Chlorella sp. A99]	PSC71624.1 DEAD-box ATP-dependent RNA helicase 35 [Micractinium conductrix], PSC71473.1 cell division control 45-like protein [Micractinium conductrix]
OG0000690	PCFQ01000006.1 g3135 [Chlorella sp. A99], PCFQ01000078.1 g2079 [Chlorella sp. A99]	PSC67477.1 malonyl-acyl carrier mitochondrial [Micractinium conductrix]
OG0000692	PCFQ01000078.1 g2074 [Chlorella sp. A99]	PSC71297.1 conserved domain _ISS_ [Micractinium conductrix]
OG0000692	PCFQ01000078.1 g2078 [Chlorella sp. A99]	PSC71426.1 PKHD-type hydroxylase ofd1 [Micractinium conductrix]
OG0000694	PCFQ01000006.1 g3141 [Chlorella sp. A99]	PSC67459.1 hypothetical protein C2E20_8860 [Micractinium conductrix]
