Orthogroup	Chlorella_A99	Chlorella_VariabilisNC64A
OG0000646	PCFQ01000001.1 g1002 [Chlorella sp. A99]	XP_005845754.1 hypothetical protein CHLNCDRAFT_136380 [Chlorella variabilis]
OG0000647	PCFQ01000001.1 g982 [Chlorella sp. A99]	XP_005845914.1 hypothetical protein CHLNCDRAFT_53630 [Chlorella variabilis]
OG0000648	PCFQ01000021.1 g2313 [Chlorella sp. A99]	XP_005845714.1 hypothetical protein CHLNCDRAFT_25754 [Chlorella variabilis], XP_005850866.1 hypothetical protein CHLNCDRAFT_140504 [Chlorella variabilis]
OG0000649	PCFQ01000078.1 g2215 [Chlorella sp. A99]	XP_005845245.1 hypothetical protein CHLNCDRAFT_58576 [Chlorella variabilis]
OG0000650	PCFQ01000020.1 g893 [Chlorella sp. A99]	XP_005848327.1 hypothetical protein CHLNCDRAFT_145010 [Chlorella variabilis]
OG0000651	PCFQ01000011.1 g2885 [Chlorella sp. A99], PCFQ01000058.1 g87 [Chlorella sp. A99]	XP_005850941.1 hypothetical protein CHLNCDRAFT_34160 [Chlorella variabilis]
OG0000652	PCFQ01000003.1 g1078 [Chlorella sp. A99]	XP_005844963.1 hypothetical protein CHLNCDRAFT_58737 [Chlorella variabilis]
OG0000652	PCFQ01000024.1 g2554 [Chlorella sp. A99]	XP_005848855.1 hypothetical protein CHLNCDRAFT_51527 [Chlorella variabilis]
OG0000653	PCFQ01000037.1 g2490 [Chlorella sp. A99]	XP_005847351.1 hypothetical protein CHLNCDRAFT_134577 [Chlorella variabilis]
OG0000654	PCFQ01000058.1 g112 [Chlorella sp. A99]	XP_005851510.1 hypothetical protein CHLNCDRAFT_137921 [Chlorella variabilis]
OG0000656	PCFQ01000082.1 g511 [Chlorella sp. A99]	XP_005847725.1 hypothetical protein CHLNCDRAFT_133784 [Chlorella variabilis]
OG0000657	PCFQ01000077.1 g1771 [Chlorella sp. A99]	XP_005850258.1 hypothetical protein CHLNCDRAFT_30002 [Chlorella variabilis], XP_005847748.1 hypothetical protein CHLNCDRAFT_133844 [Chlorella variabilis]
OG0000658	PCFQ01000078.1 g2135 [Chlorella sp. A99]	XP_005842820.1 hypothetical protein CHLNCDRAFT_142586 [Chlorella variabilis]
OG0000661	PCFQ01000079.1 g1400 [Chlorella sp. A99]	XP_005844720.1 hypothetical protein CHLNCDRAFT_138688 [Chlorella variabilis]
OG0000663	PCFQ01000006.1 g3184 [Chlorella sp. A99], PCFQ01000081.1 g1664 [Chlorella sp. A99]	XP_005850486.1 hypothetical protein CHLNCDRAFT_56823 [Chlorella variabilis], XP_005848995.1 hypothetical protein CHLNCDRAFT_51691 [Chlorella variabilis], XP_005848994.1 hypothetical protein CHLNCDRAFT_51690 [Chlorella variabilis]
OG0000664	PCFQ01000006.1 g3234 [Chlorella sp. A99]	XP_005850644.1 hypothetical protein CHLNCDRAFT_10628_ partial [Chlorella variabilis], XP_005850643.1 hypothetical protein CHLNCDRAFT_140646 [Chlorella variabilis]
OG0000666	PCFQ01000011.1 g2819 [Chlorella sp. A99]	XP_005850651.1 hypothetical protein CHLNCDRAFT_29840 [Chlorella variabilis], XP_005850649.1 hypothetical protein CHLNCDRAFT_140657 [Chlorella variabilis], XP_005850650.1 hypothetical protein CHLNCDRAFT_140658 [Chlorella variabilis]
OG0000670	PCFQ01000004.1 g2640 [Chlorella sp. A99]	XP_005844808.1 hypothetical protein CHLNCDRAFT_54365 [Chlorella variabilis], XP_005845664.1 hypothetical protein CHLNCDRAFT_136712 [Chlorella variabilis], XP_005845553.1 hypothetical protein CHLNCDRAFT_136704 [Chlorella variabilis]
OG0000671	PCFQ01000004.1 g2702 [Chlorella sp. A99]	XP_005849549.1 hypothetical protein CHLNCDRAFT_59631 [Chlorella variabilis]
OG0000672	PCFQ01000078.1 g2191 [Chlorella sp. A99]	XP_005845281.1 hypothetical protein CHLNCDRAFT_136987 [Chlorella variabilis]
OG0000673	PCFQ01000079.1 g1456 [Chlorella sp. A99]	XP_005843988.1 hypothetical protein CHLNCDRAFT_49140 [Chlorella variabilis]
OG0000674	PCFQ01000012.1 g1822 [Chlorella sp. A99]	XP_005845792.1 hypothetical protein CHLNCDRAFT_136502 [Chlorella variabilis], XP_005845793.1 hypothetical protein CHLNCDRAFT_25568_ partial [Chlorella variabilis]
OG0000677	PCFQ01000007.1 g1201 [Chlorella sp. A99]	XP_005847936.1 hypothetical protein CHLNCDRAFT_35292 [Chlorella variabilis]
OG0000677	PCFQ01000006.1 g3238 [Chlorella sp. A99]	XP_005851830.1 hypothetical protein CHLNCDRAFT_133312 [Chlorella variabilis]
OG0000678	PCFQ01000010.1 g323 [Chlorella sp. A99]	XP_005846143.1 hypothetical protein CHLNCDRAFT_136109 [Chlorella variabilis], XP_005846142.1 hypothetical protein CHLNCDRAFT_59724 [Chlorella variabilis]
OG0000679	PCFQ01000010.1 g303 [Chlorella sp. A99]	XP_005846174.1 hypothetical protein CHLNCDRAFT_56243 [Chlorella variabilis], XP_005846173.1 hypothetical protein CHLNCDRAFT_13326_ partial [Chlorella variabilis]
OG0000680	PCFQ01000058.1 g98 [Chlorella sp. A99]	XP_005851199.1 hypothetical protein CHLNCDRAFT_56728 [Chlorella variabilis]
OG0000681	PCFQ01000058.1 g128 [Chlorella sp. A99]	XP_005851531.1 hypothetical protein CHLNCDRAFT_56751 [Chlorella variabilis]
OG0000682	PCFQ01000082.1 g542 [Chlorella sp. A99]	XP_005847739.1 hypothetical protein CHLNCDRAFT_133816 [Chlorella variabilis], XP_005847740.1 hypothetical protein CHLNCDRAFT_133817 [Chlorella variabilis]
OG0000683	PCFQ01000058.1 g255 [Chlorella sp. A99], PCFQ01000079.1 g1257 [Chlorella sp. A99]	XP_005848894.1 expressed protein [Chlorella variabilis]
OG0000683	PCFQ01000058.1 g262 [Chlorella sp. A99]	XP_005845300.1 hypothetical protein CHLNCDRAFT_53886 [Chlorella variabilis], XP_005843787.1 hypothetical protein CHLNCDRAFT_139921 [Chlorella variabilis]
OG0000684	PCFQ01000002.1 g686 [Chlorella sp. A99]	XP_005850173.1 hypothetical protein CHLNCDRAFT_142355 [Chlorella variabilis]
OG0000684	PCFQ01000082.1 g625 [Chlorella sp. A99]	XP_005846150.1 hypothetical protein CHLNCDRAFT_136123 [Chlorella variabilis]
OG0000685	PCFQ01000002.1 g717 [Chlorella sp. A99]	XP_005844512.1 hypothetical protein CHLNCDRAFT_138887 [Chlorella variabilis]
OG0000685	PCFQ01000002.1 g716 [Chlorella sp. A99]	XP_005844513.1 hypothetical protein CHLNCDRAFT_138888 [Chlorella variabilis]
OG0000687	PCFQ01000006.1 g3102 [Chlorella sp. A99]	XP_005850874.1 hypothetical protein CHLNCDRAFT_50260 [Chlorella variabilis]
OG0000688	PCFQ01000008.1 g1160 [Chlorella sp. A99]	XP_005850119.1 hypothetical protein CHLNCDRAFT_142211 [Chlorella variabilis]
OG0000690	PCFQ01000006.1 g3135 [Chlorella sp. A99]	XP_005850841.1 hypothetical protein CHLNCDRAFT_140434 [Chlorella variabilis]
OG0000690	PCFQ01000078.1 g2079 [Chlorella sp. A99]	XP_005850842.1 hypothetical protein CHLNCDRAFT_34059 [Chlorella variabilis]
OG0000694	PCFQ01000006.1 g3141 [Chlorella sp. A99]	XP_005850838.1 hypothetical protein CHLNCDRAFT_140428 [Chlorella variabilis], XP_005850837.1 hypothetical protein CHLNCDRAFT_140427 [Chlorella variabilis]
OG0000695	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]	XP_005846573.1 hypothetical protein CHLNCDRAFT_58132 [Chlorella variabilis], XP_005850437.1 hypothetical protein CHLNCDRAFT_20690 [Chlorella variabilis], XP_005847693.1 hypothetical protein CHLNCDRAFT_134125 [Chlorella variabilis]
OG0000696	PCFQ01000011.1 g2802 [Chlorella sp. A99]	XP_005850424.1 hypothetical protein CHLNCDRAFT_142350 [Chlorella variabilis]
OG0000696	PCFQ01000008.1 g1083 [Chlorella sp. A99]	XP_005850425.1 hypothetical protein CHLNCDRAFT_20596 [Chlorella variabilis]
OG0000697	PCFQ01000037.1 g2398 [Chlorella sp. A99]	XP_005849518.1 hypothetical protein CHLNCDRAFT_17300_ partial [Chlorella variabilis], XP_005849517.1 hypothetical protein CHLNCDRAFT_142855 [Chlorella variabilis]
OG0000700	PCFQ01000006.1 g3221 [Chlorella sp. A99]	XP_005844775.1 hypothetical protein CHLNCDRAFT_32442 [Chlorella variabilis], XP_005846319.1 hypothetical protein CHLNCDRAFT_24873 [Chlorella variabilis]
OG0000701	PCFQ01000002.1 g648 [Chlorella sp. A99]	XP_005844562.1 hypothetical protein CHLNCDRAFT_54390 [Chlorella variabilis]
OG0000702	PCFQ01000004.1 g2583 [Chlorella sp. A99]	XP_005843441.1 hypothetical protein CHLNCDRAFT_33124_ partial [Chlorella variabilis]
OG0000703	PCFQ01000013.1 g3358 [Chlorella sp. A99]	XP_005852065.1 hypothetical protein CHLNCDRAFT_18182 [Chlorella variabilis], XP_005852064.1 hypothetical protein CHLNCDRAFT_133064 [Chlorella variabilis]
OG0000706	PCFQ01000058.1 g75 [Chlorella sp. A99]	XP_005851449.1 hypothetical protein CHLNCDRAFT_33815 [Chlorella variabilis], XP_005851450.1 hypothetical protein CHLNCDRAFT_29511 [Chlorella variabilis]
OG0000707	PCFQ01000058.1 g74 [Chlorella sp. A99]	XP_005851437.1 hypothetical protein CHLNCDRAFT_48466 [Chlorella variabilis]
OG0000709	PCFQ01000009.1 g1708 [Chlorella sp. A99]	XP_005845211.1 hypothetical protein CHLNCDRAFT_9330_ partial [Chlorella variabilis]
OG0000710	PCFQ01000023.1 g2237 [Chlorella sp. A99]	XP_005843476.1 hypothetical protein CHLNCDRAFT_55206 [Chlorella variabilis], XP_005843477.1 hypothetical protein CHLNCDRAFT_141154 [Chlorella variabilis]
OG0000711	PCFQ01000058.1 g88 [Chlorella sp. A99]	XP_005843514.1 hypothetical protein CHLNCDRAFT_55126 [Chlorella variabilis], XP_005849326.1 hypothetical protein CHLNCDRAFT_57398 [Chlorella variabilis], XP_005843589.1 hypothetical protein CHLNCDRAFT_55051 [Chlorella variabilis], XP_005849106.1 hypothetical protein CHLNCDRAFT_143658 [Chlorella variabilis], XP_005849105.1 hypothetical protein CHLNCDRAFT_143657 [Chlorella variabilis], XP_005844278.1 expressed protein [Chlorella variabilis]
OG0000711	PCFQ01000037.1 g2506 [Chlorella sp. A99], PCFQ01000010.1 g315 [Chlorella sp. A99]	XP_005843534.1 hypothetical protein CHLNCDRAFT_55059 [Chlorella variabilis], XP_005847476.1 hypothetical protein CHLNCDRAFT_52582 [Chlorella variabilis]
OG0000712	PCFQ01000002.1 g740 [Chlorella sp. A99]	XP_005845512.1 hypothetical protein CHLNCDRAFT_25722 [Chlorella variabilis]
OG0000713	PCFQ01000005.1 g762 [Chlorella sp. A99]	XP_005848972.1 hypothetical protein CHLNCDRAFT_30702 [Chlorella variabilis], XP_005848970.1 hypothetical protein CHLNCDRAFT_144498 [Chlorella variabilis], XP_005848959.1 hypothetical protein CHLNCDRAFT_51650 [Chlorella variabilis]
OG0000714	PCFQ01000020.1 g904 [Chlorella sp. A99]	XP_005848349.1 hypothetical protein CHLNCDRAFT_57660 [Chlorella variabilis]
OG0000715	PCFQ01000009.1 g1729 [Chlorella sp. A99]	XP_005851957.1 hypothetical protein CHLNCDRAFT_133638 [Chlorella variabilis]
OG0000716	PCFQ01000078.1 g2081 [Chlorella sp. A99]	XP_005846261.1 hypothetical protein CHLNCDRAFT_58246 [Chlorella variabilis]
OG0000716	PCFQ01000006.1 g3215 [Chlorella sp. A99]	XP_005849543.1 hypothetical protein CHLNCDRAFT_142917 [Chlorella variabilis], XP_005849592.1 hypothetical protein CHLNCDRAFT_143026 [Chlorella variabilis]
OG0000730	PCFQ01000037.1 g2421 [Chlorella sp. A99]	XP_005849770.1 hypothetical protein CHLNCDRAFT_142824 [Chlorella variabilis]
OG0000731	PCFQ01000081.1 g1657 [Chlorella sp. A99]	XP_005848150.1 hypothetical protein CHLNCDRAFT_145497 [Chlorella variabilis]
OG0000733	PCFQ01000037.1 g2372 [Chlorella sp. A99]	XP_005849761.1 hypothetical protein CHLNCDRAFT_142805 [Chlorella variabilis]
OG0000734	PCFQ01000003.1 g1081 [Chlorella sp. A99]	XP_005852203.1 hypothetical protein CHLNCDRAFT_133427 [Chlorella variabilis]
OG0000736	PCFQ01000013.1 g3344 [Chlorella sp. A99]	XP_005851982.1 hypothetical protein CHLNCDRAFT_132885 [Chlorella variabilis]
OG0000738	PCFQ01000079.1 g1406 [Chlorella sp. A99]	XP_005844727.1 hypothetical protein CHLNCDRAFT_138712 [Chlorella variabilis]
OG0000740	PCFQ01000013.1 g3265 [Chlorella sp. A99]	XP_005852007.1 hypothetical protein CHLNCDRAFT_29140 [Chlorella variabilis]
OG0000741	PCFQ01000078.1 g2019 [Chlorella sp. A99]	XP_005846353.1 hypothetical protein CHLNCDRAFT_135795 [Chlorella variabilis], XP_005846354.1 hypothetical protein CHLNCDRAFT_135796 [Chlorella variabilis]
OG0000745	PCFQ01000078.1 g2062 [Chlorella sp. A99]	XP_005847114.1 hypothetical protein CHLNCDRAFT_23898 [Chlorella variabilis]
OG0000747	PCFQ01000013.1 g3352 [Chlorella sp. A99]	XP_005852076.1 hypothetical protein CHLNCDRAFT_18784_ partial [Chlorella variabilis]
OG0000749	PCFQ01000046.1 g1851 [Chlorella sp. A99], PCFQ01000011.1 g2816 [Chlorella sp. A99]	XP_005850653.1 hypothetical protein CHLNCDRAFT_48545 [Chlorella variabilis]
OG0000750	PCFQ01000081.1 g1579 [Chlorella sp. A99]	XP_005847187.1 hypothetical protein CHLNCDRAFT_134979 [Chlorella variabilis]
OG0000751	PCFQ01000004.1 g2595 [Chlorella sp. A99]	XP_005843817.1 hypothetical protein CHLNCDRAFT_59800 [Chlorella variabilis]
OG0000753	PCFQ01000023.1 g2230 [Chlorella sp. A99]	XP_005843828.1 hypothetical protein CHLNCDRAFT_139908 [Chlorella variabilis]
OG0000755	PCFQ01000011.1 g2783 [Chlorella sp. A99]	XP_005850401.1 hypothetical protein CHLNCDRAFT_142291 [Chlorella variabilis]
OG0000756	PCFQ01000081.1 g1636 [Chlorella sp. A99]	XP_005847893.1 hypothetical protein CHLNCDRAFT_145259 [Chlorella variabilis]
OG0000757	PCFQ01000008.1 g1097 [Chlorella sp. A99]	XP_005850208.1 hypothetical protein CHLNCDRAFT_20630_ partial [Chlorella variabilis]
OG0000760	PCFQ01000037.1 g2430 [Chlorella sp. A99]	XP_005852243.1 hypothetical protein CHLNCDRAFT_133550 [Chlorella variabilis]
OG0000761	PCFQ01000058.1 g58 [Chlorella sp. A99]	XP_005850911.1 hypothetical protein CHLNCDRAFT_20112 [Chlorella variabilis], XP_005851393.1 hypothetical protein CHLNCDRAFT_137637 [Chlorella variabilis]
OG0000763	PCFQ01000019.1 g1786 [Chlorella sp. A99]	XP_005843981.1 hypothetical protein CHLNCDRAFT_54895 [Chlorella variabilis], XP_005843980.1 hypothetical protein CHLNCDRAFT_139801 [Chlorella variabilis], XP_005842893.1 hypothetical protein CHLNCDRAFT_141821 [Chlorella variabilis], XP_005842898.1 hypothetical protein CHLNCDRAFT_141839 [Chlorella variabilis], XP_005842909.1 hypothetical protein CHLNCDRAFT_59425 [Chlorella variabilis]
OG0000765	PCFQ01000082.1 g633 [Chlorella sp. A99]	XP_005843741.1 hypothetical protein CHLNCDRAFT_59198 [Chlorella variabilis]
OG0000767	PCFQ01000078.1 g1996 [Chlorella sp. A99]	XP_005846395.1 hypothetical protein CHLNCDRAFT_135881 [Chlorella variabilis]
OG0000768	PCFQ01000011.1 g2771 [Chlorella sp. A99]	XP_005843611.1 hypothetical protein CHLNCDRAFT_140196 [Chlorella variabilis]
OG0000769	PCFQ01000014.1 g1900 [Chlorella sp. A99]	XP_005844359.1 hypothetical protein CHLNCDRAFT_139161 [Chlorella variabilis], XP_005850765.1 hypothetical protein CHLNCDRAFT_140943 [Chlorella variabilis]
OG0000770	PCFQ01000009.1 g1725 [Chlorella sp. A99]	XP_005847482.1 hypothetical protein CHLNCDRAFT_35636 [Chlorella variabilis], XP_005844360.1 hypothetical protein CHLNCDRAFT_36917 [Chlorella variabilis]
OG0000771	PCFQ01000005.1 g748 [Chlorella sp. A99]	XP_005848780.1 hypothetical protein CHLNCDRAFT_22081_ partial [Chlorella variabilis], XP_005848986.1 hypothetical protein CHLNCDRAFT_144541 [Chlorella variabilis]
OG0000772	PCFQ01000020.1 g872 [Chlorella sp. A99]	XP_005848245.1 hypothetical protein CHLNCDRAFT_30765 [Chlorella variabilis], XP_005848244.1 expressed protein [Chlorella variabilis]
OG0000773	PCFQ01000005.1 g758 [Chlorella sp. A99]	XP_005849009.1 hypothetical protein CHLNCDRAFT_144584 [Chlorella variabilis], XP_005849010.1 hypothetical protein CHLNCDRAFT_144585 [Chlorella variabilis]
OG0000774	PCFQ01000005.1 g761 [Chlorella sp. A99]	XP_005849008.1 hypothetical protein CHLNCDRAFT_30733 [Chlorella variabilis]
OG0000776	PCFQ01000079.1 g1414 [Chlorella sp. A99]	XP_005844569.1 hypothetical protein CHLNCDRAFT_138808 [Chlorella variabilis], XP_005844568.1 hypothetical protein CHLNCDRAFT_138806 [Chlorella variabilis]
OG0000777	PCFQ01000079.1 g1465 [Chlorella sp. A99]	XP_005842954.1 hypothetical protein CHLNCDRAFT_141766 [Chlorella variabilis], XP_005842955.1 hypothetical protein CHLNCDRAFT_141768 [Chlorella variabilis]
OG0000778	PCFQ01000078.1 g2222 [Chlorella sp. A99]	XP_005843007.1 hypothetical protein CHLNCDRAFT_141664 [Chlorella variabilis]
OG0000781	PCFQ01000004.1 g2672 [Chlorella sp. A99]	XP_005843281.1 hypothetical protein CHLNCDRAFT_141323 [Chlorella variabilis], XP_005843290.1 hypothetical protein CHLNCDRAFT_141350 [Chlorella variabilis]
OG0000783	PCFQ01000058.1 g158 [Chlorella sp. A99]	XP_005851277.1 hypothetical protein CHLNCDRAFT_19312 [Chlorella variabilis], XP_005851278.1 hypothetical protein CHLNCDRAFT_138066 [Chlorella variabilis]
OG0000784	PCFQ01000015.1 g3059 [Chlorella sp. A99], PCFQ01000015.1 g3064 [Chlorella sp. A99]	XP_005849247.1 hypothetical protein CHLNCDRAFT_57362 [Chlorella variabilis]
OG0000785	PCFQ01000077.1 g1756 [Chlorella sp. A99]	XP_005849994.1 hypothetical protein CHLNCDRAFT_29986 [Chlorella variabilis]
OG0000786	PCFQ01000038.1 g487 [Chlorella sp. A99]	XP_005844217.1 expressed protein [Chlorella variabilis], XP_005846364.1 hypothetical protein CHLNCDRAFT_135817 [Chlorella variabilis], XP_005846363.1 hypothetical protein CHLNCDRAFT_48255 [Chlorella variabilis]
OG0000787	PCFQ01000009.1 g1720 [Chlorella sp. A99]	XP_005846828.1 hypothetical protein CHLNCDRAFT_24676 [Chlorella variabilis], XP_005843931.1 hypothetical protein CHLNCDRAFT_56353 [Chlorella variabilis], XP_005843855.1 hypothetical protein CHLNCDRAFT_139681 [Chlorella variabilis], XP_005846829.1 hypothetical protein CHLNCDRAFT_135426 [Chlorella variabilis]
OG0000788	PCFQ01000082.1 g627 [Chlorella sp. A99]	XP_005843738.1 hypothetical protein CHLNCDRAFT_140078 [Chlorella variabilis]
OG0000791	PCFQ01000023.1 g2224 [Chlorella sp. A99]	XP_005843423.1 hypothetical protein CHLNCDRAFT_141080 [Chlorella variabilis]
OG0000793	PCFQ01000011.1 g2797 [Chlorella sp. A99]	XP_005842638.1 hypothetical protein CHLNCDRAFT_55812_ partial [Chlorella variabilis], XP_005842545.1 expressed protein [Chlorella variabilis]
OG0000794	PCFQ01000058.1 g221 [Chlorella sp. A99]	XP_005851651.1 hypothetical protein CHLNCDRAFT_138231 [Chlorella variabilis], XP_005851647.1 hypothetical protein CHLNCDRAFT_50112 [Chlorella variabilis]
OG0000796	PCFQ01000006.1 g3157 [Chlorella sp. A99]	XP_005850519.1 hypothetical protein CHLNCDRAFT_140366 [Chlorella variabilis], XP_005850520.1 hypothetical protein CHLNCDRAFT_140367 [Chlorella variabilis]
OG0000798	PCFQ01000046.1 g1853 [Chlorella sp. A99]	XP_005845673.1 hypothetical protein CHLNCDRAFT_13956_ partial [Chlorella variabilis], XP_005843079.1 hypothetical protein CHLNCDRAFT_33285 [Chlorella variabilis]
OG0000800	PCFQ01000077.1 g1773 [Chlorella sp. A99]	XP_005850010.1 hypothetical protein CHLNCDRAFT_57025 [Chlorella variabilis]
OG0000801	PCFQ01000077.1 g1780 [Chlorella sp. A99]	XP_005850255.1 hypothetical protein CHLNCDRAFT_141951 [Chlorella variabilis]
OG0000802	PCFQ01000079.1 g1447 [Chlorella sp. A99]	XP_005843317.1 ribosomal protein L19 [Chlorella variabilis], XP_005843318.1 expressed protein [Chlorella variabilis]
OG0000803	PCFQ01000078.1 g2151 [Chlorella sp. A99]	XP_005849959.1 hypothetical protein CHLNCDRAFT_143317 [Chlorella variabilis], XP_005850121.1 hypothetical protein CHLNCDRAFT_142213 [Chlorella variabilis], XP_005851844.1 hypothetical protein CHLNCDRAFT_133350 [Chlorella variabilis]
OG0000804	PCFQ01000009.1 g1699 [Chlorella sp. A99]	XP_005846927.1 hypothetical protein CHLNCDRAFT_10756_ partial [Chlorella variabilis]
OG0000807	PCFQ01000014.1 g1877 [Chlorella sp. A99]	XP_005844294.1 hypothetical protein CHLNCDRAFT_139414 [Chlorella variabilis]
OG0000808	PCFQ01000075.1 g1942 [Chlorella sp. A99]	XP_005844199.1 hypothetical protein CHLNCDRAFT_139385 [Chlorella variabilis]
OG0000808	PCFQ01000078.1 g2101 [Chlorella sp. A99]	XP_005846301.1 hypothetical protein CHLNCDRAFT_31755 [Chlorella variabilis]
OG0000811	PCFQ01000006.1 g3117 [Chlorella sp. A99]	XP_005850877.1 hypothetical protein CHLNCDRAFT_34091 [Chlorella variabilis]
OG0000812	PCFQ01000004.1 g2606 [Chlorella sp. A99]	XP_005843012.1 hypothetical protein CHLNCDRAFT_59377 [Chlorella variabilis], XP_005849646.1 hypothetical protein CHLNCDRAFT_6358_ partial [Chlorella variabilis]
OG0000814	PCFQ01000011.1 g2907 [Chlorella sp. A99]	XP_005850045.1 hypothetical protein CHLNCDRAFT_34336 [Chlorella variabilis]
OG0000814	PCFQ01000037.1 g2532 [Chlorella sp. A99]	XP_005847310.1 hypothetical protein CHLNCDRAFT_31314 [Chlorella variabilis]
OG0000815	PCFQ01000003.1 g1073 [Chlorella sp. A99]	XP_005849184.1 hypothetical protein CHLNCDRAFT_143855 [Chlorella variabilis], XP_005849380.1 hypothetical protein CHLNCDRAFT_143854 [Chlorella variabilis]
OG0000815	PCFQ01000078.1 g2118 [Chlorella sp. A99]	XP_005845320.1 hypothetical protein CHLNCDRAFT_25846 [Chlorella variabilis]
OG0000818	PCFQ01000015.1 g2933 [Chlorella sp. A99]	XP_005849239.1 hypothetical protein CHLNCDRAFT_34838 [Chlorella variabilis]
OG0000820	PCFQ01000082.1 g517 [Chlorella sp. A99]	XP_005847553.1 hypothetical protein CHLNCDRAFT_35390 [Chlorella variabilis]
OG0000820	PCFQ01000008.1 g1084 [Chlorella sp. A99]	XP_005850191.1 hypothetical protein CHLNCDRAFT_20587 [Chlorella variabilis]
OG0000822	PCFQ01000017.1 g2276 [Chlorella sp. A99]	XP_005848724.1 hypothetical protein CHLNCDRAFT_12548_ partial [Chlorella variabilis]
OG0000824	PCFQ01000082.1 g499 [Chlorella sp. A99]	XP_005847788.1 hypothetical protein CHLNCDRAFT_133943 [Chlorella variabilis]
OG0000825	PCFQ01000006.1 g3205 [Chlorella sp. A99]	XP_005850799.1 hypothetical protein CHLNCDRAFT_20050_ partial [Chlorella variabilis]
OG0000827	PCFQ01000037.1 g2479 [Chlorella sp. A99]	XP_005847337.1 hypothetical protein CHLNCDRAFT_58001 [Chlorella variabilis]
OG0000830	PCFQ01000001.1 g989 [Chlorella sp. A99]	XP_005850427.1 hypothetical protein CHLNCDRAFT_7891_ partial [Chlorella variabilis], XP_005846670.1 hypothetical protein CHLNCDRAFT_58196 [Chlorella variabilis]
OG0000832	PCFQ01000082.1 g534 [Chlorella sp. A99]	XP_005847663.1 hypothetical protein CHLNCDRAFT_35453 [Chlorella variabilis]
OG0000833	PCFQ01000004.1 g2580 [Chlorella sp. A99]	XP_005849091.1 hypothetical protein CHLNCDRAFT_143611 [Chlorella variabilis]
OG0000833	PCFQ01000020.1 g869 [Chlorella sp. A99]	XP_005848111.1 hypothetical protein CHLNCDRAFT_145405 [Chlorella variabilis]
OG0000834	PCFQ01000078.1 g2090 [Chlorella sp. A99]	XP_005846484.1 hypothetical protein CHLNCDRAFT_135683 [Chlorella variabilis]
OG0000835	PCFQ01000058.1 g151 [Chlorella sp. A99]	XP_005847403.1 hypothetical protein CHLNCDRAFT_35559 [Chlorella variabilis]
OG0000837	PCFQ01000073.1 g1958 [Chlorella sp. A99]	XP_005846762.1 hypothetical protein CHLNCDRAFT_9822_ partial [Chlorella variabilis], XP_005846763.1 hypothetical protein CHLNCDRAFT_135251 [Chlorella variabilis]
OG0000839	PCFQ01000058.1 g42 [Chlorella sp. A99]	XP_005851116.1 hypothetical protein CHLNCDRAFT_137688 [Chlorella variabilis]
OG0000840	PCFQ01000037.1 g2412 [Chlorella sp. A99]	XP_005851390.1 hypothetical protein CHLNCDRAFT_137629 [Chlorella variabilis], XP_005849445.1 hypothetical protein CHLNCDRAFT_13259_ partial [Chlorella variabilis]
OG0000842	PCFQ01000058.1 g4 [Chlorella sp. A99]	XP_005851381.1 hypothetical protein CHLNCDRAFT_137609 [Chlorella variabilis]
OG0000843	PCFQ01000008.1 g1121 [Chlorella sp. A99]	XP_005850348.1 hypothetical protein CHLNCDRAFT_142172 [Chlorella variabilis]
OG0000844	PCFQ01000082.1 g578 [Chlorella sp. A99]	XP_005848488.1 hypothetical protein CHLNCDRAFT_14865_ partial [Chlorella variabilis], XP_005843114.1 hypothetical protein CHLNCDRAFT_13992_ partial [Chlorella variabilis]
OG0000845	PCFQ01000058.1 g63 [Chlorella sp. A99]	XP_005851102.1 expressed protein [Chlorella variabilis], XP_005851101.1 expressed protein [Chlorella variabilis]
OG0000846	PCFQ01000005.1 g799 [Chlorella sp. A99]	XP_005848932.1 hypothetical protein CHLNCDRAFT_144392 [Chlorella variabilis]
OG0000847	PCFQ01000010.1 g384 [Chlorella sp. A99]	XP_005845015.1 hypothetical protein CHLNCDRAFT_138487 [Chlorella variabilis]
OG0000847	PCFQ01000080.1 g1956 [Chlorella sp. A99]	XP_005845352.1 hypothetical protein CHLNCDRAFT_137162 [Chlorella variabilis]
OG0000847	PCFQ01000078.1 g2155 [Chlorella sp. A99]	XP_005846215.1 hypothetical protein CHLNCDRAFT_135473 [Chlorella variabilis]
OG0000848	PCFQ01000018.1 g426 [Chlorella sp. A99]	XP_005847147.1 hypothetical protein CHLNCDRAFT_24040 [Chlorella variabilis]
OG0000848	PCFQ01000005.1 g853 [Chlorella sp. A99]	XP_005848612.1 hypothetical protein CHLNCDRAFT_34957 [Chlorella variabilis]
OG0000849	PCFQ01000005.1 g824 [Chlorella sp. A99]	XP_005848681.1 hypothetical protein CHLNCDRAFT_144275 [Chlorella variabilis]
OG0000850	PCFQ01000081.1 g1606 [Chlorella sp. A99]	XP_005846998.1 hypothetical protein CHLNCDRAFT_8887_ partial [Chlorella variabilis]
OG0000851	PCFQ01000081.1 g1611 [Chlorella sp. A99]	XP_005852136.1 hypothetical protein CHLNCDRAFT_49501 [Chlorella variabilis]
