Orthogroup	Scenedesmus_PABB004	Coccomyxa_SubellipsoideaC169
OG0001165	KAF8068252.1 fdh [Scenedesmus sp. PABB004]	EIE21552.1 GroES-like protein [Coccomyxa subellipsoidea C-169], EIE21553.1 GroES-like protein [Coccomyxa subellipsoidea C-169]
OG0001166	KAF8059377.1 hypothetical protein HT031_005182 [Scenedesmus sp. PABB004]	EIE19832.1 hypothetical protein COCSUDRAFT_19021 [Coccomyxa subellipsoidea C-169]
OG0001167	KAF8061400.1 pta [Scenedesmus sp. PABB004]	EIE20567.1 phosphate acetyltransferase [Coccomyxa subellipsoidea C-169]
OG0001168	KAF8062763.1 hypothetical protein HT031_004093 [Scenedesmus sp. PABB004]	EIE18949.1 hypothetical protein COCSUDRAFT_59874 [Coccomyxa subellipsoidea C-169]
OG0001169	KAF8062989.1 crop [Scenedesmus sp. PABB004]	EIE22050.1 hypothetical protein COCSUDRAFT_56482 [Coccomyxa subellipsoidea C-169]
OG0001171	KAF8058834.1 Eif2b4 [Scenedesmus sp. PABB004]	EIE24925.1 translation initiation factor [Coccomyxa subellipsoidea C-169]
OG0001173	KAF8063691.1 RH28 [Scenedesmus sp. PABB004]	EIE22682.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001174	KAF8066435.1 CAT2 [Scenedesmus sp. PABB004]	EIE20533.1 catalase [Coccomyxa subellipsoidea C-169], EIE20109.1 catalase-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE18384.1 catalase [Coccomyxa subellipsoidea C-169], EIE23450.1 catalase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001175	KAF8057645.1 FUM1 [Scenedesmus sp. PABB004]	EIE26386.1 fumarate hydratase [Coccomyxa subellipsoidea C-169]
OG0001176	KAF8064541.1 hypothetical protein HT031_003341 [Scenedesmus sp. PABB004]	EIE23520.1 glycine cleavage system_ T protein [Coccomyxa subellipsoidea C-169]
OG0001177	KAF8068202.1 Ugt3a1 [Scenedesmus sp. PABB004]	EIE23629.1 hypothetical protein COCSUDRAFT_41812 [Coccomyxa subellipsoidea C-169]
OG0001180	KAF8071164.1 SOL1 [Scenedesmus sp. PABB004]	EIE23766.1 hypothetical protein COCSUDRAFT_28997 [Coccomyxa subellipsoidea C-169]
OG0001182	KAF8065835.1 Nkapl [Scenedesmus sp. PABB004]	EIE21677.1 DUF926-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001183	KAF8066257.1 CCS1 [Scenedesmus sp. PABB004]	EIE25439.1 ResB-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001185	KAF8063789.1 gpn3 [Scenedesmus sp. PABB004]	EIE23927.1 hypothetical protein COCSUDRAFT_28525 [Coccomyxa subellipsoidea C-169]
OG0001186	KAF8056463.1 RKD3 [Scenedesmus sp. PABB004]	EIE27262.1 hypothetical protein COCSUDRAFT_52114 [Coccomyxa subellipsoidea C-169]
OG0001187	KAF8062757.1 Lip3 [Scenedesmus sp. PABB004]	EIE26467.1 hypothetical protein COCSUDRAFT_39557 [Coccomyxa subellipsoidea C-169]
OG0001188	KAF8061129.1 Apmap [Scenedesmus sp. PABB004]	EIE20489.1 strictosidine synthase [Coccomyxa subellipsoidea C-169]
OG0001190	KAF8065455.1 LPP3 [Scenedesmus sp. PABB004]	EIE21524.1 PAP2-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001191	KAF8056726.1 tbccd1 [Scenedesmus sp. PABB004]	EIE26747.1 TBCC-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001192	KAF8057635.1 hypothetical protein HT031_005984 [Scenedesmus sp. PABB004]	EIE25005.1 photosystem II oxygen evolving complex protein PsbP [Coccomyxa subellipsoidea C-169], EIE24895.1 hypothetical protein COCSUDRAFT_62304 [Coccomyxa subellipsoidea C-169], EIE25006.1 oxygen evolving enhancer 2 of photosystem II [Coccomyxa subellipsoidea C-169]
OG0001193	KAF8073176.1 FAH1 [Scenedesmus sp. PABB004]	EIE26286.1 hypothetical protein COCSUDRAFT_39420 [Coccomyxa subellipsoidea C-169]
OG0001194	KAF8055583.1 SDH1 [Scenedesmus sp. PABB004]	EIE20089.1 succinate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0001195	KAF8072465.1 Ipo9 [Scenedesmus sp. PABB004]	EIE27247.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0001196	KAF8065548.1 hslU [Scenedesmus sp. PABB004], KAF8072735.1 hslU [Scenedesmus sp. PABB004]	EIE22820.1 ATP-dependent hsl protease ATP-binding subunit hslU [Coccomyxa subellipsoidea C-169]
OG0001197	KAF8056842.1 speA [Scenedesmus sp. PABB004]	EIE20455.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0001198	KAF8072575.1 poc1a [Scenedesmus sp. PABB004]	EIE24830.1 Mog1p/PsbP-like protein [Coccomyxa subellipsoidea C-169]
OG0001199	KAF8068384.1 VSR2 [Scenedesmus sp. PABB004]	EIE18502.1 hypothetical protein COCSUDRAFT_49231 [Coccomyxa subellipsoidea C-169], EIE18594.1 hypothetical protein COCSUDRAFT_26335 [Coccomyxa subellipsoidea C-169]
OG0001200	KAF8072906.1 ATXR3 [Scenedesmus sp. PABB004]	EIE20958.1 hypothetical protein COCSUDRAFT_57497 [Coccomyxa subellipsoidea C-169]
OG0001201	KAF8073231.1 ALS SURB [Scenedesmus sp. PABB004]	EIE21254.1 acetolactate synthase [Coccomyxa subellipsoidea C-169]
OG0001202	KAF8057780.1 hypothetical protein HT031_005964 [Scenedesmus sp. PABB004]	EIE23945.1 hypothetical protein COCSUDRAFT_65658 [Coccomyxa subellipsoidea C-169]
OG0001203	KAF8073033.1 Tryptophan--tRNA ligase [Scenedesmus sp. PABB004]	EIE26216.1 hypothetical protein COCSUDRAFT_46541 [Coccomyxa subellipsoidea C-169]
OG0001204	KAF8057878.1 hypothetical protein HT031_005824 [Scenedesmus sp. PABB004]	EIE24857.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001205	KAF8056000.1 ERD4 [Scenedesmus sp. PABB004]	EIE24461.1 hypothetical protein COCSUDRAFT_65366 [Coccomyxa subellipsoidea C-169], EIE23620.1 hypothetical protein COCSUDRAFT_63147 [Coccomyxa subellipsoidea C-169]
OG0001206	KAF8063854.1 hypothetical protein HT031_003711 [Scenedesmus sp. PABB004]	EIE24727.1 hypothetical protein COCSUDRAFT_53051 [Coccomyxa subellipsoidea C-169]
OG0001207	KAF8070858.1 hypothetical protein HT031_000939 [Scenedesmus sp. PABB004]	EIE26610.1 hypothetical protein COCSUDRAFT_59132 [Coccomyxa subellipsoidea C-169]
OG0001208	KAF8065656.1 KIN4A [Scenedesmus sp. PABB004]	EIE19614.1 hypothetical protein COCSUDRAFT_67720 [Coccomyxa subellipsoidea C-169]
OG0001210	KAF8063009.1 Kdm4B [Scenedesmus sp. PABB004]	EIE19484.1 JmjC-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001211	KAF8059698.1 csn7 [Scenedesmus sp. PABB004]	EIE19059.1 hypothetical protein COCSUDRAFT_59545 [Coccomyxa subellipsoidea C-169]
OG0001212	KAF8055819.1 hypothetical protein HT031_006594 [Scenedesmus sp. PABB004]	EIE21209.1 hypothetical protein COCSUDRAFT_17991 [Coccomyxa subellipsoidea C-169]
OG0001213	KAF8067298.1 CYCB2-1 [Scenedesmus sp. PABB004]	EIE25341.1 A/B/D/E cyclin [Coccomyxa subellipsoidea C-169]
OG0001214	KAF8063761.1 KIN5A [Scenedesmus sp. PABB004]	EIE18562.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001215	KAF8060009.1 UBP12 [Scenedesmus sp. PABB004]	EIE26652.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0001216	KAF8062701.1 SPAC3H8.02 [Scenedesmus sp. PABB004]	EIE26985.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001217	KAF8062897.1 SKD1 [Scenedesmus sp. PABB004]	EIE21620.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001219	KAF8073106.1 KIN13B [Scenedesmus sp. PABB004]	EIE19076.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001221	KAF8067134.1 SYP32 [Scenedesmus sp. PABB004]	EIE26726.1 t-SNARE [Coccomyxa subellipsoidea C-169]
OG0001222	KAF8062716.1 hypothetical protein HT031_004046 [Scenedesmus sp. PABB004]	EIE24878.1 hypothetical protein COCSUDRAFT_65575 [Coccomyxa subellipsoidea C-169]
OG0001223	KAF8062096.1 Cwc22 [Scenedesmus sp. PABB004]	EIE26918.1 MIF4G-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001224	KAF8068147.1 PNG1 [Scenedesmus sp. PABB004], KAF8055814.1 PNG1 [Scenedesmus sp. PABB004], KAF8054830.1 PNG1 [Scenedesmus sp. PABB004], KAF8057782.1 PNG1 [Scenedesmus sp. PABB004]	EIE22070.1 cysteine proteinase_ partial [Coccomyxa subellipsoidea C-169]
OG0001226	KAF8058832.1 fabG2 [Scenedesmus sp. PABB004]	EIE21203.1 dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0001227	KAF8071289.1 uhpC [Scenedesmus sp. PABB004]	EIE24163.1 NUC173-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001229	KAF8059136.1 LWD1 [Scenedesmus sp. PABB004]	EIE18030.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0001231	KAF8060276.1 YPTC5 [Scenedesmus sp. PABB004]	EIE27251.1 Rab7/RabG-family small GTPase [Coccomyxa subellipsoidea C-169]
OG0001232	KAF8068197.1 CSY3 [Scenedesmus sp. PABB004]	EIE22895.1 citrate synthase [Coccomyxa subellipsoidea C-169]
OG0001233	KAF8069410.1 TMN11 [Scenedesmus sp. PABB004]	EIE27315.1 EMP/nonaspanin domain family protein [Coccomyxa subellipsoidea C-169]
OG0001234	KAF8057651.1 hypothetical protein HT031_006000 [Scenedesmus sp. PABB004]	EIE25548.1 hypothetical protein COCSUDRAFT_61750 [Coccomyxa subellipsoidea C-169], EIE21320.1 hypothetical protein COCSUDRAFT_66832 [Coccomyxa subellipsoidea C-169], EIE26212.1 hypothetical protein COCSUDRAFT_65037 [Coccomyxa subellipsoidea C-169]
OG0001235	KAF8057725.1 hypothetical protein HT031_005909 [Scenedesmus sp. PABB004]	EIE23223.1 hypothetical protein COCSUDRAFT_66228 [Coccomyxa subellipsoidea C-169], EIE18364.1 hypothetical protein COCSUDRAFT_54957 [Coccomyxa subellipsoidea C-169]
OG0001236	KAF8065590.1 hypothetical protein HT031_003191 [Scenedesmus sp. PABB004]	EIE20004.1 dihydrolipoamide dehydrogenase of glycine decarboxylase from pisum Sativum [Coccomyxa subellipsoidea C-169]
OG0001237	KAF8058847.1 CPK10 [Scenedesmus sp. PABB004]	EIE25253.1 hypothetical protein COCSUDRAFT_35707 [Coccomyxa subellipsoidea C-169]
OG0001238	KAF8055125.1 ERDJ2A [Scenedesmus sp. PABB004]	EIE19320.1 hypothetical protein COCSUDRAFT_48909 [Coccomyxa subellipsoidea C-169]
OG0001239	KAF8058051.1 NUDT14 [Scenedesmus sp. PABB004], KAF8059720.1 folE1 [Scenedesmus sp. PABB004]	EIE20175.1 hypothetical protein COCSUDRAFT_18769_ partial [Coccomyxa subellipsoidea C-169]
OG0001240	KAF8064529.1 egl-4 [Scenedesmus sp. PABB004]	EIE24738.1 putative cGMP-dependent protein kinase [Coccomyxa subellipsoidea C-169]
OG0001241	KAF8073125.1 hypothetical protein HT031_000786 [Scenedesmus sp. PABB004]	EIE23917.1 hypothetical protein COCSUDRAFT_47057 [Coccomyxa subellipsoidea C-169]
OG0001242	KAF8072790.1 SBT6.1 [Scenedesmus sp. PABB004]	EIE27171.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169]
OG0001243	KAF8061307.1 hypothetical protein HT031_004398 [Scenedesmus sp. PABB004]	EIE20155.1 isocitrate dehydrogenase 1_ soluble [Coccomyxa subellipsoidea C-169]
OG0001244	KAF8067170.1 hypothetical protein HT031_002217 [Scenedesmus sp. PABB004]	EIE24214.1 Aldo/keto reductase [Coccomyxa subellipsoidea C-169], EIE24217.1 Aldo/keto reductase [Coccomyxa subellipsoidea C-169]
OG0001245	KAF8071241.1 Kcnt2 [Scenedesmus sp. PABB004]	EIE18822.1 hypothetical protein COCSUDRAFT_59753 [Coccomyxa subellipsoidea C-169]
OG0001246	KAF8056743.1 glutamate--tRNA ligase [Scenedesmus sp. PABB004]	EIE22615.1 glutamyl-tRNA synthetase_ putative [Coccomyxa subellipsoidea C-169]
OG0001247	KAF8071240.1 sulfite exporter TauE/SafE family protein 5 [Scenedesmus sp. PABB004], KAF8068213.1 sulfite exporter TauE/SafE family protein 2 [Scenedesmus sp. PABB004]	EIE22493.1 hypothetical protein COCSUDRAFT_47913 [Coccomyxa subellipsoidea C-169]
OG0001248	KAF8072982.1 UPL3 [Scenedesmus sp. PABB004]	EIE20687.1 hypothetical protein COCSUDRAFT_67182 [Coccomyxa subellipsoidea C-169]
OG0001249	KAF8055390.1 hypothetical protein HT031_006757 [Scenedesmus sp. PABB004]	EIE22881.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169], EIE25730.1 oxygenase-like protein [Coccomyxa subellipsoidea C-169]
OG0001251	KAF8069457.1 CCR1 [Scenedesmus sp. PABB004]	EIE19089.1 heme peroxidase-related protein [Coccomyxa subellipsoidea C-169]
OG0001252	KAF8057281.1 SP1 [Scenedesmus sp. PABB004]	EIE24724.1 hypothetical protein COCSUDRAFT_62142 [Coccomyxa subellipsoidea C-169]
OG0001253	KAF8061895.1 NAP1 [Scenedesmus sp. PABB004], KAF8057726.1 NAP1 [Scenedesmus sp. PABB004]	EIE18321.1 NAP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001255	KAF8055114.1 APUM1 [Scenedesmus sp. PABB004]	EIE19195.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0001257	KAF8066201.1 FOLB1 [Scenedesmus sp. PABB004]	EIE20876.1 dihydroneopterin aldolase [Coccomyxa subellipsoidea C-169]
OG0001258	KAF8062725.1 YSL5 [Scenedesmus sp. PABB004], KAF8068239.1 YSL6 [Scenedesmus sp. PABB004]	EIE18748.1 OPT superfamily oligopeptide transporter [Coccomyxa subellipsoidea C-169], EIE24139.1 OPT superfamily oligopeptide transporter [Coccomyxa subellipsoidea C-169]
OG0001262	KAF8072844.1 methyltransferase [Scenedesmus sp. PABB004]	EIE18993.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0001264	KAF8057775.1 tropinone reductase [Scenedesmus sp. PABB004], KAF8057855.1 tropinone reductase-like protein [Scenedesmus sp. PABB004]	EIE27353.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0001266	KAF8072728.1 Abca17 [Scenedesmus sp. PABB004]	EIE22670.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0001267	KAF8062806.1 hypothetical protein HT031_004136 [Scenedesmus sp. PABB004]	EIE20457.1 RNI-like protein [Coccomyxa subellipsoidea C-169]
OG0001268	KAF8062638.1 ssr1 [Scenedesmus sp. PABB004]	EIE23258.1 hypothetical protein COCSUDRAFT_53555 [Coccomyxa subellipsoidea C-169]
OG0001269	KAF8064673.1 hypothetical protein HT031_003475 [Scenedesmus sp. PABB004]	EIE21076.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0001270	KAF8065840.1 IPCS1 [Scenedesmus sp. PABB004]	EIE19750.1 hypothetical protein COCSUDRAFT_54604 [Coccomyxa subellipsoidea C-169]
OG0001274	KAF8063646.1 SPP2 [Scenedesmus sp. PABB004], KAF8054588.1 SPP2 [Scenedesmus sp. PABB004], KAF8063648.1 SPP1 [Scenedesmus sp. PABB004]	EIE26776.1 S6PP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001275	KAF8060052.1 TRAPPC8 [Scenedesmus sp. PABB004]	EIE22160.1 hypothetical protein COCSUDRAFT_55859 [Coccomyxa subellipsoidea C-169]
OG0001276	KAF8065884.1 MSH1 [Scenedesmus sp. PABB004]	EIE20036.1 hypothetical protein COCSUDRAFT_58259 [Coccomyxa subellipsoidea C-169]
OG0001277	KAF8063702.1 hypothetical protein HT031_003557 [Scenedesmus sp. PABB004]	EIE24405.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0001278	KAF8069528.1 NHX2 [Scenedesmus sp. PABB004]	EIE20808.1 Sodium/hydrogen exchanger_ partial [Coccomyxa subellipsoidea C-169], EIE24491.1 hypothetical protein COCSUDRAFT_46826 [Coccomyxa subellipsoidea C-169]
OG0001279	KAF8055399.1 pih1d1 [Scenedesmus sp. PABB004]	EIE23612.1 hypothetical protein COCSUDRAFT_41800 [Coccomyxa subellipsoidea C-169]
OG0001281	KAF8058415.1 TIC32 [Scenedesmus sp. PABB004]	EIE20517.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0001287	KAF8054899.1 APY5 [Scenedesmus sp. PABB004], KAF8061939.1 SWEET6B [Scenedesmus sp. PABB004]	EIE20720.1 hypothetical protein COCSUDRAFT_54208 [Coccomyxa subellipsoidea C-169]
OG0001293	KAF8062102.1 hypothetical protein HT031_004362 [Scenedesmus sp. PABB004]	EIE18970.1 hypothetical protein COCSUDRAFT_45098 [Coccomyxa subellipsoidea C-169], EIE23260.1 hypothetical protein COCSUDRAFT_42167 [Coccomyxa subellipsoidea C-169], EIE24279.1 hypothetical protein COCSUDRAFT_41535 [Coccomyxa subellipsoidea C-169]
OG0001295	KAF8063828.1 USP24 [Scenedesmus sp. PABB004]	EIE24996.1 hypothetical protein COCSUDRAFT_46553 [Coccomyxa subellipsoidea C-169]
OG0001297	KAF8056101.1 hypothetical protein HT031_006452 [Scenedesmus sp. PABB004], KAF8057772.1 hypothetical protein HT031_005956 [Scenedesmus sp. PABB004]	EIE20606.1 hypothetical protein COCSUDRAFT_67445 [Coccomyxa subellipsoidea C-169]
OG0001305	KAF8071060.1 hypothetical protein HT031_001142 [Scenedesmus sp. PABB004]	EIE26670.1 hypothetical protein COCSUDRAFT_59190 [Coccomyxa subellipsoidea C-169]
OG0001306	KAF8061091.1 RAF1 [Scenedesmus sp. PABB004]	EIE18684.1 hypothetical protein COCSUDRAFT_68156 [Coccomyxa subellipsoidea C-169]
OG0001307	KAF8057100.1 hypothetical protein HT031_006109 [Scenedesmus sp. PABB004]	EIE24949.1 magnesium chelatase subunit H [Coccomyxa subellipsoidea C-169]
OG0001308	KAF8062768.1 OVA6 [Scenedesmus sp. PABB004]	EIE25357.1 prolyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0001309	KAF8057121.1 splicing factor 3A subunit 1 [Scenedesmus sp. PABB004]	EIE18691.1 SF3A1 splicing factor 3a_ subunit 1 [Coccomyxa subellipsoidea C-169]
OG0001310	KAF8066254.1 strap [Scenedesmus sp. PABB004]	EIE25782.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0001311	KAF8060347.1 AP-4 complex subunit epsilon [Scenedesmus sp. PABB004]	EIE27363.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0001312	KAF8057238.1 LAF3 [Scenedesmus sp. PABB004]	EIE21688.1 insert subdomain of RNA polymerase alpha subunit [Coccomyxa subellipsoidea C-169]
OG0001313	KAF8061373.1 PGM3 [Scenedesmus sp. PABB004]	EIE18707.1 intramolecular transferase [Coccomyxa subellipsoidea C-169]
OG0001314	KAF8072387.1 ttc4 [Scenedesmus sp. PABB004]	EIE27416.1 hypothetical protein COCSUDRAFT_55423 [Coccomyxa subellipsoidea C-169]
OG0001315	KAF8072529.1 hypothetical protein HT031_000189 [Scenedesmus sp. PABB004]	EIE26195.1 hypothetical protein COCSUDRAFT_61182 [Coccomyxa subellipsoidea C-169], EIE18679.1 hypothetical protein COCSUDRAFT_59989 [Coccomyxa subellipsoidea C-169]
OG0001316	KAF8064508.1 ATJ13 [Scenedesmus sp. PABB004]	EIE26180.1 DnaJ-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0001318	KAF8060281.1 tyrosine--tRNA ligase 1 [Scenedesmus sp. PABB004]	EIE20046.1 tyrosine tRNA ligase [Coccomyxa subellipsoidea C-169]
OG0001319	KAF8061166.1 XPO7 [Scenedesmus sp. PABB004]	EIE24073.1 putative Ran-binding protein [Coccomyxa subellipsoidea C-169]
OG0001320	KAF8060629.1 DNA primase large subunit [Scenedesmus sp. PABB004]	EIE19143.1 hypothetical protein COCSUDRAFT_59627 [Coccomyxa subellipsoidea C-169]
OG0001321	KAF8056232.1 IPL1 [Scenedesmus sp. PABB004]	EIE19233.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001322	KAF8069697.1 NPK1 [Scenedesmus sp. PABB004]	EIE26178.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001323	KAF8062702.1 clasp1b [Scenedesmus sp. PABB004]	EIE21760.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169], EIE21759.1 hypothetical protein COCSUDRAFT_56205 [Coccomyxa subellipsoidea C-169]
OG0001324	KAF8058098.1 hypothetical protein HT031_005758 [Scenedesmus sp. PABB004]	EIE26530.1 hypothetical protein COCSUDRAFT_52369 [Coccomyxa subellipsoidea C-169]
OG0001325	KAF8067397.1 CKL12 [Scenedesmus sp. PABB004]	EIE26598.1 ser/thr kinase_ partial [Coccomyxa subellipsoidea C-169]
OG0001326	KAF8072646.1 hypothetical protein HT031_000306 [Scenedesmus sp. PABB004]	EIE24661.1 hypothetical protein COCSUDRAFT_62081 [Coccomyxa subellipsoidea C-169]
OG0001327	KAF8055839.1 hypothetical protein HT031_006614 [Scenedesmus sp. PABB004]	EIE22415.1 hypothetical protein COCSUDRAFT_53805 [Coccomyxa subellipsoidea C-169]
OG0001328	KAF8072996.1 TSB2 [Scenedesmus sp. PABB004]	EIE19529.1 tryptophan synthase [Coccomyxa subellipsoidea C-169]
OG0001330	KAF8056835.1 HIR3 [Scenedesmus sp. PABB004]	EIE26283.1 hypersensitive-induced response protein [Coccomyxa subellipsoidea C-169], EIE18919.1 flagellar associated protein [Coccomyxa subellipsoidea C-169]
OG0001331	KAF8068401.1 HOC1 [Scenedesmus sp. PABB004]	EIE19642.1 hypothetical protein COCSUDRAFT_44496 [Coccomyxa subellipsoidea C-169]
OG0001332	KAF8058353.1 hypothetical protein HT031_005671 [Scenedesmus sp. PABB004], KAF8063045.1 eukaryotic translation initiation factor 3 subunit L [Scenedesmus sp. PABB004]	EIE20509.1 hypothetical protein COCSUDRAFT_54338 [Coccomyxa subellipsoidea C-169]
OG0001333	KAF8063653.1 echA8 [Scenedesmus sp. PABB004]	EIE19651.1 enoyl-CoA hydratase [Coccomyxa subellipsoidea C-169]
OG0001334	KAF8056244.1 ddx24 [Scenedesmus sp. PABB004], KAF8055993.1 HMCN1 [Scenedesmus sp. PABB004]	EIE21018.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0001335	KAF8069572.1 TCX6 [Scenedesmus sp. PABB004]	EIE19610.1 hypothetical protein COCSUDRAFT_9740_ partial [Coccomyxa subellipsoidea C-169]
OG0001337	KAF8069600.1 hypothetical protein HT031_001717 [Scenedesmus sp. PABB004]	EIE19674.1 hypothetical protein COCSUDRAFT_19326_ partial [Coccomyxa subellipsoidea C-169]
OG0001338	KAF8068424.1 CCR4-1 [Scenedesmus sp. PABB004]	EIE19641.1 hypothetical protein COCSUDRAFT_54570 [Coccomyxa subellipsoidea C-169]
OG0001339	KAF8061379.1 ADH9 [Scenedesmus sp. PABB004]	EIE27722.1 GroES-like protein [Coccomyxa subellipsoidea C-169]
OG0001340	KAF8056844.1 hypothetical protein HT031_006188 [Scenedesmus sp. PABB004]	EIE19741.1 diaminopimelate epimerase [Coccomyxa subellipsoidea C-169]
OG0001341	KAF8058921.1 FUBP3 [Scenedesmus sp. PABB004]	EIE27476.1 hypothetical protein COCSUDRAFT_64249 [Coccomyxa subellipsoidea C-169]
OG0001342	KAF8056357.1 NPL4-like protein 1 [Scenedesmus sp. PABB004]	EIE18832.1 NPL4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001343	KAF8073116.1 GCP2 [Scenedesmus sp. PABB004]	EIE26959.1 hypothetical protein COCSUDRAFT_46296 [Coccomyxa subellipsoidea C-169]
OG0001344	KAF8069591.1 PRS4 [Scenedesmus sp. PABB004]	EIE18600.1 phosphoribosyl pyrophosphate synthase isozyme 4 [Coccomyxa subellipsoidea C-169]
OG0001345	KAF8072718.1 MPS1 [Scenedesmus sp. PABB004]	EIE22690.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22689.1 hypothetical protein COCSUDRAFT_47652_ partial [Coccomyxa subellipsoidea C-169]
OG0001347	KAF8057896.1 coq6 [Scenedesmus sp. PABB004]	EIE24634.1 flavin-dependent monooxygenase [Coccomyxa subellipsoidea C-169]
OG0001347	KAF8066164.1 SFC1 [Scenedesmus sp. PABB004]	EIE27134.1 mitochondrial substrate carrier protein [Coccomyxa subellipsoidea C-169]
OG0001348	KAF8072995.1 hypothetical protein HT031_000655 [Scenedesmus sp. PABB004], KAF8057250.1 hypothetical protein HT031_006058 [Scenedesmus sp. PABB004]	EIE18890.1 hypothetical protein COCSUDRAFT_20202 [Coccomyxa subellipsoidea C-169]
OG0001350	KAF8055333.1 aceA [Scenedesmus sp. PABB004], KAF8055332.1 aceA [Scenedesmus sp. PABB004]	EIE21265.1 isocitrate lyase [Coccomyxa subellipsoidea C-169]
OG0001351	KAF8062663.1 SLC4A1AP [Scenedesmus sp. PABB004]	EIE23013.1 SMAD/FHA domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0001352	KAF8067142.1 glycosyltransferase family 92 protein [Scenedesmus sp. PABB004]	EIE21350.1 hypothetical protein COCSUDRAFT_56571 [Coccomyxa subellipsoidea C-169]
OG0001353	KAF8055828.1 hypothetical protein HT031_006603 [Scenedesmus sp. PABB004]	EIE20322.1 D-aminoacid aminotransferase-like PLP-dependent enzyme [Coccomyxa subellipsoidea C-169]
OG0001356	KAF8064608.1 hypothetical protein HT031_003409 [Scenedesmus sp. PABB004]	EIE24101.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]
OG0001358	KAF8068404.1 elongation factor G [Scenedesmus sp. PABB004]	EIE24676.1 translation elongation factor G [Coccomyxa subellipsoidea C-169]
OG0001359	KAF8064697.1 hypothetical protein HT031_003499 [Scenedesmus sp. PABB004]	EIE26220.1 hypothetical protein COCSUDRAFT_52721 [Coccomyxa subellipsoidea C-169]
OG0001360	KAF8061413.1 bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase [Scenedesmus sp. PABB004]	EIE21050.1 aldolase [Coccomyxa subellipsoidea C-169], EIE23903.1 shikimate 5-dehydrogenase_ partial [Coccomyxa subellipsoidea C-169]
OG0001362	KAF8071012.1 yhxC [Scenedesmus sp. PABB004]	EIE24937.1 oxidoreductase YhxC [Coccomyxa subellipsoidea C-169]
OG0001363	KAF8056248.1 proline--tRNA ligase [Scenedesmus sp. PABB004]	EIE23566.1 prolyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0001365	KAF8058408.1 hypothetical protein HT031_005532 [Scenedesmus sp. PABB004]	EIE27595.1 armadillo/beta-catenin repeat family protein [Coccomyxa subellipsoidea C-169]
