Orthogroup	Scenedesmus_PABB004	Auxenochlorella_protothecoides
OG0000446	KAF8058843.1 ATCSA-1 [Scenedesmus sp. PABB004]	RMZ55066.1 hypothetical protein APUTEX25_005692 [Auxenochlorella protothecoides], RMZ56155.1 hypothetical protein APUTEX25_004579 [Auxenochlorella protothecoides]
OG0000447	KAF8071059.1 SPBC16D10.01c [Scenedesmus sp. PABB004]	RMZ55349.1 hypothetical protein APUTEX25_003487 [Auxenochlorella protothecoides]
OG0000449	KAF8055396.1 APC2 [Scenedesmus sp. PABB004], KAF8064639.1 ERCC1 [Scenedesmus sp. PABB004]	RMZ55262.1 hypothetical protein APUTEX25_005540_ partial [Auxenochlorella protothecoides]
OG0000450	KAF8072449.1 RER3 [Scenedesmus sp. PABB004]	RMZ55301.1 hypothetical protein APUTEX25_003439 [Auxenochlorella protothecoides]
OG0000451	KAF8059431.1 TTC1 [Scenedesmus sp. PABB004]	RMZ55320.1 hypothetical protein APUTEX25_003458 [Auxenochlorella protothecoides]
OG0000452	KAF8058880.1 VPS32.1 [Scenedesmus sp. PABB004]	RMZ57028.1 hypothetical protein APUTEX25_002260_ partial [Auxenochlorella protothecoides]
OG0000452	KAF8066176.1 18S rRNA _guanine-N_7__-methyltransferase [Scenedesmus sp. PABB004]	RMZ55356.1 hypothetical protein APUTEX25_002214 [Auxenochlorella protothecoides]
OG0000453	KAF8057716.1 CTDSP1 [Scenedesmus sp. PABB004]	RMZ55360.1 hypothetical protein APUTEX25_002218 [Auxenochlorella protothecoides]
OG0000453	KAF8060083.1 sugar phosphate/phosphate translocator [Scenedesmus sp. PABB004]	RMZ55364.1 hypothetical protein APUTEX25_002222 [Auxenochlorella protothecoides]
OG0000454	KAF8067196.1 RPI3 [Scenedesmus sp. PABB004]	RMZ55382.1 hypothetical protein APUTEX25_003506 [Auxenochlorella protothecoides], RMZ55404.1 hypothetical protein APUTEX25_003528 [Auxenochlorella protothecoides]
OG0000455	KAF8069398.1 hypothetical protein HT031_001513 [Scenedesmus sp. PABB004]	RMZ55403.1 hypothetical protein APUTEX25_003527_ partial [Auxenochlorella protothecoides]
OG0000455	KAF8072541.1 ARMC6 [Scenedesmus sp. PABB004]	RMZ55435.1 hypothetical protein APUTEX25_003559_ partial [Auxenochlorella protothecoides]
OG0000456	KAF8056836.1 Psn [Scenedesmus sp. PABB004]	RMZ55507.1 hypothetical protein APUTEX25_000090 [Auxenochlorella protothecoides]
OG0000457	KAF8058430.1 Pyruvate kinase isozyme A [Scenedesmus sp. PABB004]	RMZ55515.1 hypothetical protein APUTEX25_000098 [Auxenochlorella protothecoides]
OG0000458	KAF8058308.1 NDPK1 [Scenedesmus sp. PABB004]	RMZ55617.1 hypothetical protein APUTEX25_000200_ partial [Auxenochlorella protothecoides]
OG0000460	KAF8062932.1 Proliferating cell nuclear antigen [Scenedesmus sp. PABB004]	RMZ55725.1 hypothetical protein APUTEX25_005766 [Auxenochlorella protothecoides], RMZ57578.1 hypothetical protein APUTEX25_001778 [Auxenochlorella protothecoides]
OG0000461	KAF8071061.1 Pyruvate kinase [Scenedesmus sp. PABB004]	RMZ55756.1 hypothetical protein APUTEX25_005797 [Auxenochlorella protothecoides]
OG0000461	KAF8072857.1 zupT [Scenedesmus sp. PABB004]	RMZ55771.1 hypothetical protein APUTEX25_005812 [Auxenochlorella protothecoides]
OG0000463	KAF8056117.1 ATPK2 [Scenedesmus sp. PABB004]	RMZ57349.1 hypothetical protein APUTEX25_004183 [Auxenochlorella protothecoides], RMZ56075.1 hypothetical protein APUTEX25_004499_ partial [Auxenochlorella protothecoides]
OG0000465	KAF8060080.1 NAGS2 [Scenedesmus sp. PABB004]	RMZ56211.1 hypothetical protein APUTEX25_002401 [Auxenochlorella protothecoides]
OG0000466	KAF8072919.1 hypothetical protein HT031_000579 [Scenedesmus sp. PABB004]	RMZ56251.1 hypothetical protein APUTEX25_002441 [Auxenochlorella protothecoides]
OG0000467	KAF8072938.1 hypothetical protein HT031_000598 [Scenedesmus sp. PABB004]	RMZ56340.1 hypothetical protein APUTEX25_004697 [Auxenochlorella protothecoides]
OG0000468	KAF8059453.1 RAB1BV [Scenedesmus sp. PABB004]	RMZ57221.1 hypothetical protein APUTEX25_004055 [Auxenochlorella protothecoides], RMZ56355.1 hypothetical protein APUTEX25_004712_ partial [Auxenochlorella protothecoides]
OG0000469	KAF8072663.1 TD1 [Scenedesmus sp. PABB004]	RMZ56818.1 hypothetical protein APUTEX25_002907 [Auxenochlorella protothecoides], RMZ56542.1 hypothetical protein APUTEX25_001389 [Auxenochlorella protothecoides]
OG0000470	KAF8060524.1 leucine--tRNA ligase [Scenedesmus sp. PABB004]	RMZ57656.1 hypothetical protein APUTEX25_001856 [Auxenochlorella protothecoides], RMZ56552.1 hypothetical protein APUTEX25_001399 [Auxenochlorella protothecoides]
OG0000471	KAF8072620.1 ASF1B [Scenedesmus sp. PABB004]	RMZ56752.1 hypothetical protein APUTEX25_002841_ partial [Auxenochlorella protothecoides]
OG0000472	KAF8072690.1 MAA3 [Scenedesmus sp. PABB004]	RMZ56803.1 hypothetical protein APUTEX25_002892_ partial [Auxenochlorella protothecoides], RMZ56852.1 hypothetical protein APUTEX25_002941_ partial [Auxenochlorella protothecoides]
OG0000473	KAF8072567.1 WDR26 [Scenedesmus sp. PABB004]	RMZ56931.1 hypothetical protein APUTEX25_004993 [Auxenochlorella protothecoides]
OG0000474	KAF8068169.1 Ethe1 [Scenedesmus sp. PABB004]	RMZ57017.1 hypothetical protein APUTEX25_002249 [Auxenochlorella protothecoides], RMZ57001.1 hypothetical protein APUTEX25_002233 [Auxenochlorella protothecoides]
OG0000475	KAF8072652.1 cyp6 [Scenedesmus sp. PABB004]	RMZ57621.1 hypothetical protein APUTEX25_001821 [Auxenochlorella protothecoides]
OG0000476	KAF8071284.1 R1 [Scenedesmus sp. PABB004], KAF8059679.1 R1 [Scenedesmus sp. PABB004]	RMZ57334.1 hypothetical protein APUTEX25_004168_ partial [Auxenochlorella protothecoides], RMZ57241.1 hypothetical protein APUTEX25_004075 [Auxenochlorella protothecoides]
OG0000477	KAF8063066.1 hflX [Scenedesmus sp. PABB004]	RMZ57496.1 hypothetical protein APUTEX25_003739 [Auxenochlorella protothecoides], RMZ57242.1 hypothetical protein APUTEX25_004076 [Auxenochlorella protothecoides]
OG0000478	KAF8068432.1 APR3 [Scenedesmus sp. PABB004]	RMZ57244.1 hypothetical protein APUTEX25_004078_ partial [Auxenochlorella protothecoides]
OG0000479	KAF8072726.1 ER membrane protein complex subunit 7 [Scenedesmus sp. PABB004]	RMZ57644.1 hypothetical protein APUTEX25_001844 [Auxenochlorella protothecoides]
OG0000479	KAF8068237.1 dscc1 [Scenedesmus sp. PABB004]	RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]
OG0000480	KAF8063808.1 prfA [Scenedesmus sp. PABB004]	RMZ57389.1 hypothetical protein APUTEX25_004223_ partial [Auxenochlorella protothecoides]
OG0000482	KAF8059658.1 ACX2 [Scenedesmus sp. PABB004]	RMZ57407.1 hypothetical protein APUTEX25_004241 [Auxenochlorella protothecoides]
OG0000498	KAF8060328.1 PAM71 [Scenedesmus sp. PABB004]	RMZ52697.1 hypothetical protein APUTEX25_000816_ partial [Auxenochlorella protothecoides]
OG0000498	KAF8055118.1 GDT1-like protein [Scenedesmus sp. PABB004]	RMZ52011.1 hypothetical protein APUTEX25_001205 [Auxenochlorella protothecoides]
OG0000499	KAF8073039.1 Twinkle-like protein [Scenedesmus sp. PABB004]	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides]
OG0000499	KAF8073040.1 Twinkle-like protein [Scenedesmus sp. PABB004]	RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]
OG0000500	KAF8065954.1 Slc25a24 [Scenedesmus sp. PABB004], KAF8066226.1 ynbB [Scenedesmus sp. PABB004]	RMZ52040.1 hypothetical protein APUTEX25_001234 [Auxenochlorella protothecoides]
OG0000503	KAF8069503.1 ycf45 [Scenedesmus sp. PABB004]	RMZ52185.1 hypothetical protein APUTEX25_001575 [Auxenochlorella protothecoides]
OG0000506	KAF8056773.1 hypothetical protein HT031_006271 [Scenedesmus sp. PABB004], KAF8056775.1 hypothetical protein HT031_006273 [Scenedesmus sp. PABB004]	RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]
OG0000510	KAF8064502.1 3-phosphoshikimate 1-carboxyvinyltransferase [Scenedesmus sp. PABB004]	RMZ52784.1 hypothetical protein APUTEX25_000903_ partial [Auxenochlorella protothecoides], RMZ56194.1 hypothetical protein APUTEX25_002384 [Auxenochlorella protothecoides]
OG0000511	KAF8072899.1 hypothetical protein HT031_000559 [Scenedesmus sp. PABB004]	RMZ52879.1 hypothetical protein APUTEX25_000998_ partial [Auxenochlorella protothecoides]
OG0000512	KAF8057135.1 RH3A [Scenedesmus sp. PABB004]	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]
OG0000513	KAF8072688.1 protein phosphatase 2C [Scenedesmus sp. PABB004]	RMZ54568.1 hypothetical protein APUTEX25_002143 [Auxenochlorella protothecoides]
OG0000514	KAF8068273.1 MRS2-7 [Scenedesmus sp. PABB004]	RMZ52970.1 hypothetical protein APUTEX25_001089 [Auxenochlorella protothecoides], RMZ54487.1 hypothetical protein APUTEX25_002063_ partial [Auxenochlorella protothecoides]
OG0000515	KAF8063862.1 hypothetical protein HT031_003719 [Scenedesmus sp. PABB004]	RMZ53047.1 hypothetical protein APUTEX25_001166 [Auxenochlorella protothecoides], RMZ53025.1 hypothetical protein APUTEX25_001144_ partial [Auxenochlorella protothecoides]
OG0000516	KAF8067162.1 hypothetical protein HT031_002209 [Scenedesmus sp. PABB004]	RMZ56390.1 hypothetical protein APUTEX25_004773_ partial [Auxenochlorella protothecoides], RMZ53056.1 hypothetical protein APUTEX25_001175_ partial [Auxenochlorella protothecoides], RMZ56604.1 hypothetical protein APUTEX25_004768_ partial [Auxenochlorella protothecoides]
OG0000517	KAF8072623.1 hypothetical protein HT031_000283 [Scenedesmus sp. PABB004]	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]
OG0000519	KAF8058410.1 hypothetical protein HT031_005534 [Scenedesmus sp. PABB004]	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides]
OG0000520	KAF8058944.1 SRD5A1 [Scenedesmus sp. PABB004]	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]
OG0000521	KAF8060317.1 protein phosphatase 2C 69 [Scenedesmus sp. PABB004]	RMZ53354.1 hypothetical protein APUTEX25_004842 [Auxenochlorella protothecoides], RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]
OG0000522	KAF8060045.1 DnAJ-like protein [Scenedesmus sp. PABB004]	RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]
OG0000524	KAF8065585.1 hypothetical protein HT031_003186 [Scenedesmus sp. PABB004]	RMZ53567.1 hypothetical protein APUTEX25_003389 [Auxenochlorella protothecoides]
OG0000525	KAF8056468.1 hypothetical protein HT031_006325 [Scenedesmus sp. PABB004]	RMZ55257.1 hypothetical protein APUTEX25_005535_ partial [Auxenochlorella protothecoides], RMZ53580.1 hypothetical protein APUTEX25_003402 [Auxenochlorella protothecoides]
OG0000526	KAF8058920.1 BSDC1 [Scenedesmus sp. PABB004]	RMZ53665.1 hypothetical protein APUTEX25_003199 [Auxenochlorella protothecoides]
OG0000527	KAF8062719.1 RRC1 [Scenedesmus sp. PABB004]	RMZ53712.1 hypothetical protein APUTEX25_003246_ partial [Auxenochlorella protothecoides]
OG0000528	KAF8064679.1 pitC [Scenedesmus sp. PABB004]	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]
OG0000529	KAF8056146.1 ghrA [Scenedesmus sp. PABB004]	RMZ53816.1 hypothetical protein APUTEX25_003955_ partial [Auxenochlorella protothecoides], RMZ54662.1 hypothetical protein APUTEX25_003040 [Auxenochlorella protothecoides]
OG0000530	KAF8069704.1 KIN10 [Scenedesmus sp. PABB004]	RMZ54612.1 hypothetical protein APUTEX25_002198 [Auxenochlorella protothecoides]
OG0000530	KAF8063775.1 KIN10 [Scenedesmus sp. PABB004]	RMZ53873.1 hypothetical protein APUTEX25_005619 [Auxenochlorella protothecoides]
OG0000531	KAF8069374.1 PAP27 [Scenedesmus sp. PABB004]	RMZ53913.1 hypothetical protein APUTEX25_004938 [Auxenochlorella protothecoides]
OG0000531	KAF8062967.1 hypothetical protein HT031_003806 [Scenedesmus sp. PABB004]	RMZ53925.1 hypothetical protein APUTEX25_004950_ partial [Auxenochlorella protothecoides]
OG0000534	KAF8056366.1 hypothetical protein HT031_006365 [Scenedesmus sp. PABB004]	RMZ54059.1 hypothetical protein APUTEX25_002636 [Auxenochlorella protothecoides]
OG0000535	KAF8072934.1 KIF6 [Scenedesmus sp. PABB004]	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]
OG0000537	KAF8072617.1 hypothetical protein HT031_000277 [Scenedesmus sp. PABB004], KAF8072984.1 SPAC4G9.20c [Scenedesmus sp. PABB004], KAF8059733.1 Slc25a29 [Scenedesmus sp. PABB004], KAF8059734.1 SPAC4G9.20c [Scenedesmus sp. PABB004]	RMZ54182.1 hypothetical protein APUTEX25_005338 [Auxenochlorella protothecoides]
OG0000538	KAF8072792.1 MSH6 [Scenedesmus sp. PABB004]	RMZ54236.1 hypothetical protein APUTEX25_000587_ partial [Auxenochlorella protothecoides]
OG0000538	KAF8064585.1 hypothetical protein HT031_003385 [Scenedesmus sp. PABB004]	RMZ54244.1 hypothetical protein APUTEX25_000595 [Auxenochlorella protothecoides]
OG0000540	KAF8060023.1 hypothetical protein HT031_004961 [Scenedesmus sp. PABB004]	RMZ54371.1 hypothetical protein APUTEX25_001947 [Auxenochlorella protothecoides], RMZ54362.1 hypothetical protein APUTEX25_001938_ partial [Auxenochlorella protothecoides]
OG0000541	KAF8072345.1 hypothetical protein HT031_000004 [Scenedesmus sp. PABB004], KAF8054759.1 hypothetical protein HT031_006941 [Scenedesmus sp. PABB004], KAF8070899.1 hypothetical protein HT031_000980 [Scenedesmus sp. PABB004]	RMZ54402.1 hypothetical protein APUTEX25_001978 [Auxenochlorella protothecoides]
OG0000542	KAF8059184.1 COAC2 [Scenedesmus sp. PABB004]	RMZ54410.1 hypothetical protein APUTEX25_001986 [Auxenochlorella protothecoides]
OG0000543	KAF8064678.1 CPK18 [Scenedesmus sp. PABB004]	RMZ54498.1 hypothetical protein APUTEX25_002074_ partial [Auxenochlorella protothecoides]
OG0000544	KAF8067269.1 hypothetical protein HT031_002316 [Scenedesmus sp. PABB004]	RMZ54806.1 hypothetical protein APUTEX25_000323_ partial [Auxenochlorella protothecoides]
OG0000545	KAF8072598.1 Aspartate aminotransferase P2 [Scenedesmus sp. PABB004]	RMZ54559.1 hypothetical protein APUTEX25_002134 [Auxenochlorella protothecoides]
OG0000546	KAF8073136.1 SYP43 [Scenedesmus sp. PABB004]	RMZ54704.1 hypothetical protein APUTEX25_003082_ partial [Auxenochlorella protothecoides]
OG0000547	KAF8062714.1 HSL1 [Scenedesmus sp. PABB004]	RMZ54726.1 hypothetical protein APUTEX25_003104 [Auxenochlorella protothecoides]
OG0000548	KAF8065506.1 FTSZ1 [Scenedesmus sp. PABB004], KAF8072810.1 FTSZ1 [Scenedesmus sp. PABB004]	RMZ57026.1 hypothetical protein APUTEX25_002258 [Auxenochlorella protothecoides], RMZ54812.1 hypothetical protein APUTEX25_000329 [Auxenochlorella protothecoides]
OG0000549	KAF8059362.1 sua1 [Scenedesmus sp. PABB004], KAF8065943.1 sua1 [Scenedesmus sp. PABB004]	RMZ54897.1 hypothetical protein APUTEX25_000414 [Auxenochlorella protothecoides]
OG0000551	KAF8063073.1 HD16 [Scenedesmus sp. PABB004]	RMZ55476.1 hypothetical protein APUTEX25_000059 [Auxenochlorella protothecoides], RMZ55028.1 hypothetical protein APUTEX25_005654 [Auxenochlorella protothecoides]
OG0000552	KAF8062676.1 SCPL46 [Scenedesmus sp. PABB004]	RMZ55131.1 hypothetical protein APUTEX25_005409 [Auxenochlorella protothecoides]
OG0000553	KAF8060369.1 CCT3 [Scenedesmus sp. PABB004]	RMZ55133.1 hypothetical protein APUTEX25_005411 [Auxenochlorella protothecoides]
OG0000554	KAF8065704.1 hypothetical protein HT031_002764 [Scenedesmus sp. PABB004]	RMZ55239.1 hypothetical protein APUTEX25_005517 [Auxenochlorella protothecoides]
OG0000555	KAF8060291.1 PHB6 [Scenedesmus sp. PABB004]	RMZ55265.1 hypothetical protein APUTEX25_005543 [Auxenochlorella protothecoides]
OG0000556	KAF8062726.1 hypothetical protein HT031_004056 [Scenedesmus sp. PABB004]	RMZ55439.1 hypothetical protein APUTEX25_003563 [Auxenochlorella protothecoides]
OG0000557	KAF8068463.1 Vps13a [Scenedesmus sp. PABB004]	RMZ55463.1 hypothetical protein APUTEX25_003587_ partial [Auxenochlorella protothecoides], RMZ56118.1 hypothetical protein APUTEX25_004542_ partial [Auxenochlorella protothecoides]
OG0000558	KAF8058887.1 P4H3 [Scenedesmus sp. PABB004]	RMZ55527.1 hypothetical protein APUTEX25_000110 [Auxenochlorella protothecoides]
OG0000559	KAF8067200.1 MCM4 [Scenedesmus sp. PABB004]	RMZ55545.1 hypothetical protein APUTEX25_000128 [Auxenochlorella protothecoides], RMZ55624.1 hypothetical protein APUTEX25_000207_ partial [Auxenochlorella protothecoides]
OG0000560	KAF8062767.1 ERD4 [Scenedesmus sp. PABB004], KAF8065514.1 CSC1-like protein [Scenedesmus sp. PABB004]	RMZ55629.1 hypothetical protein APUTEX25_000212_ partial [Auxenochlorella protothecoides]
OG0000561	KAF8072843.1 yjbQ [Scenedesmus sp. PABB004], KAF8056005.1 SPAC4A8.02c [Scenedesmus sp. PABB004]	RMZ55661.1 hypothetical protein APUTEX25_000244_ partial [Auxenochlorella protothecoides]
OG0000562	KAF8065848.1 slc35e3 [Scenedesmus sp. PABB004], KAF8056748.1 slc35e3 [Scenedesmus sp. PABB004], KAF8062003.1 slc35e3 [Scenedesmus sp. PABB004]	RMZ55695.1 hypothetical protein APUTEX25_005736 [Auxenochlorella protothecoides]
OG0000564	KAF8057927.1 Serine/threonine-protein phosphatase PP1 isozyme 1 [Scenedesmus sp. PABB004]	RMZ57295.1 hypothetical protein APUTEX25_004129 [Auxenochlorella protothecoides], RMZ55748.1 hypothetical protein APUTEX25_005789_ partial [Auxenochlorella protothecoides], RMZ55740.1 hypothetical protein APUTEX25_005781_ partial [Auxenochlorella protothecoides]
OG0000566	KAF8073157.1 SMC6 [Scenedesmus sp. PABB004]	RMZ55867.1 hypothetical protein APUTEX25_003833 [Auxenochlorella protothecoides]
OG0000568	KAF8061309.1 WDR92 [Scenedesmus sp. PABB004]	RMZ56190.1 hypothetical protein APUTEX25_002380 [Auxenochlorella protothecoides]
OG0000569	KAF8059372.1 Selenoo [Scenedesmus sp. PABB004], KAF8065845.1 OCT4 [Scenedesmus sp. PABB004]	RMZ56311.1 hypothetical protein APUTEX25_000550 [Auxenochlorella protothecoides]
OG0000570	KAF8071011.1 SYNC3 [Scenedesmus sp. PABB004]	RMZ56315.1 hypothetical protein APUTEX25_000554 [Auxenochlorella protothecoides]
OG0000570	KAF8063822.1 SYNC1 [Scenedesmus sp. PABB004]	RMZ57042.1 hypothetical protein APUTEX25_002274_ partial [Auxenochlorella protothecoides]
OG0000571	KAF8066295.1 AGAL3 [Scenedesmus sp. PABB004]	RMZ56456.1 hypothetical protein APUTEX25_004679 [Auxenochlorella protothecoides]
OG0000572	KAF8067221.1 HAC1 [Scenedesmus sp. PABB004]	RMZ56474.1 hypothetical protein APUTEX25_001321_ partial [Auxenochlorella protothecoides], RMZ57131.1 hypothetical protein APUTEX25_002363 [Auxenochlorella protothecoides]
OG0000573	KAF8062784.1 hypothetical protein HT031_004114 [Scenedesmus sp. PABB004]	RMZ56532.1 hypothetical protein APUTEX25_001379 [Auxenochlorella protothecoides]
OG0000573	KAF8062671.1 hypothetical protein HT031_004000 [Scenedesmus sp. PABB004]	RMZ57188.1 hypothetical protein APUTEX25_004022 [Auxenochlorella protothecoides]
OG0000574	KAF8058881.1 mog [Scenedesmus sp. PABB004]	RMZ56844.1 hypothetical protein APUTEX25_002933_ partial [Auxenochlorella protothecoides]
OG0000575	KAF8061325.1 hypothetical protein HT031_004416 [Scenedesmus sp. PABB004]	RMZ56847.1 hypothetical protein APUTEX25_002936 [Auxenochlorella protothecoides]
OG0000576	KAF8056124.1 zntD [Scenedesmus sp. PABB004]	RMZ56897.1 hypothetical protein APUTEX25_002986 [Auxenochlorella protothecoides]
OG0000577	KAF8062904.1 tlcA [Scenedesmus sp. PABB004]	RMZ56949.1 hypothetical protein APUTEX25_005011 [Auxenochlorella protothecoides]
OG0000578	KAF8069472.1 mpv17 [Scenedesmus sp. PABB004], KAF8061917.1 ANKRD44 [Scenedesmus sp. PABB004], KAF8056391.1 hypothetical protein HT031_006391 [Scenedesmus sp. PABB004]	RMZ56936.1 hypothetical protein APUTEX25_004998 [Auxenochlorella protothecoides]
OG0000580	KAF8059749.1 CSN6 [Scenedesmus sp. PABB004]	RMZ57063.1 hypothetical protein APUTEX25_002295_ partial [Auxenochlorella protothecoides]
OG0000581	KAF8069684.1 grtp1a [Scenedesmus sp. PABB004], KAF8072845.1 Tbc1d2 [Scenedesmus sp. PABB004]	RMZ57082.1 hypothetical protein APUTEX25_002314 [Auxenochlorella protothecoides]
OG0000582	KAF8059712.1 hypothetical protein HT031_005120 [Scenedesmus sp. PABB004]	RMZ57104.1 hypothetical protein APUTEX25_002336 [Auxenochlorella protothecoides]
OG0000583	KAF8068256.1 THEM4 [Scenedesmus sp. PABB004]	RMZ57150.1 hypothetical protein APUTEX25_003984 [Auxenochlorella protothecoides]
OG0000583	KAF8072539.1 AP2 [Scenedesmus sp. PABB004]	RMZ57164.1 hypothetical protein APUTEX25_003998 [Auxenochlorella protothecoides]
OG0000585	KAF8068375.1 BTL3 [Scenedesmus sp. PABB004]	RMZ57249.1 hypothetical protein APUTEX25_004083 [Auxenochlorella protothecoides]
OG0000588	KAF8055116.1 hypothetical protein HT031_006825 [Scenedesmus sp. PABB004]	RMZ57446.1 hypothetical protein APUTEX25_004280 [Auxenochlorella protothecoides]
OG0000588	KAF8065708.1 hypothetical protein HT031_002768 [Scenedesmus sp. PABB004]	RMZ57370.1 hypothetical protein APUTEX25_004204 [Auxenochlorella protothecoides]
OG0000589	KAF8072469.1 Ephx4 [Scenedesmus sp. PABB004]	RMZ57402.1 hypothetical protein APUTEX25_004236 [Auxenochlorella protothecoides]
OG0000590	KAF8055748.1 DWA2 [Scenedesmus sp. PABB004]	RMZ57503.1 hypothetical protein APUTEX25_003746 [Auxenochlorella protothecoides], RMZ57508.1 hypothetical protein APUTEX25_003751 [Auxenochlorella protothecoides]
OG0000609	KAF8059704.1 alpha-Man-Ia [Scenedesmus sp. PABB004], KAF8073227.1 IRL7 [Scenedesmus sp. PABB004], KAF8062957.1 SAPK1 [Scenedesmus sp. PABB004]	RMZ52010.1 hypothetical protein APUTEX25_001204 [Auxenochlorella protothecoides]
OG0000611	KAF8068161.1 EP0 [Scenedesmus sp. PABB004]	RMZ52033.1 hypothetical protein APUTEX25_001227_ partial [Auxenochlorella protothecoides]
OG0000612	KAF8057760.1 BAM3 [Scenedesmus sp. PABB004]	RMZ52073.1 hypothetical protein APUTEX25_001267 [Auxenochlorella protothecoides]
OG0000613	KAF8072759.1 FLA10 [Scenedesmus sp. PABB004]	RMZ52117.1 hypothetical protein APUTEX25_001311 [Auxenochlorella protothecoides]
OG0000614	KAF8065469.1 GONST1 [Scenedesmus sp. PABB004], KAF8061338.1 GONST1 [Scenedesmus sp. PABB004]	RMZ52307.1 hypothetical protein APUTEX25_005060 [Auxenochlorella protothecoides]
OG0000615	KAF8057149.1 VTC4 [Scenedesmus sp. PABB004]	RMZ52859.1 hypothetical protein APUTEX25_000978_ partial [Auxenochlorella protothecoides], RMZ52318.1 hypothetical protein APUTEX25_005071_ partial [Auxenochlorella protothecoides]
OG0000616	KAF8070936.1 hypothetical protein HT031_001017 [Scenedesmus sp. PABB004]	RMZ52321.1 hypothetical protein APUTEX25_005074_ partial [Auxenochlorella protothecoides]
OG0000617	KAF8071024.1 PPH1 [Scenedesmus sp. PABB004]	RMZ52406.1 hypothetical protein APUTEX25_000681 [Auxenochlorella protothecoides]
OG0000619	KAF8065625.1 rhp16 [Scenedesmus sp. PABB004]	RMZ52711.1 hypothetical protein APUTEX25_000830 [Auxenochlorella protothecoides]
OG0000620	KAF8057624.1 trans-acting enoyl reductase [Scenedesmus sp. PABB004]	RMZ52762.1 hypothetical protein APUTEX25_000881 [Auxenochlorella protothecoides]
OG0000622	KAF8072760.1 rpsO [Scenedesmus sp. PABB004]	RMZ52800.1 hypothetical protein APUTEX25_000919_ partial [Auxenochlorella protothecoides]
OG0000623	KAF8056388.1 U2 small nuclear ribonucleoprotein B [Scenedesmus sp. PABB004]	RMZ52819.1 hypothetical protein APUTEX25_000938 [Auxenochlorella protothecoides]
OG0000624	KAF8061133.1 NAA35 [Scenedesmus sp. PABB004]	RMZ52916.1 hypothetical protein APUTEX25_001035 [Auxenochlorella protothecoides]
OG0000625	KAF8066268.1 sphingolipid transporter spinster 2 [Scenedesmus sp. PABB004]	RMZ52945.1 hypothetical protein APUTEX25_001064 [Auxenochlorella protothecoides], RMZ55705.1 hypothetical protein APUTEX25_005746_ partial [Auxenochlorella protothecoides]
OG0000626	KAF8058469.1 SDAD1 [Scenedesmus sp. PABB004]	RMZ53082.1 hypothetical protein APUTEX25_002491_ partial [Auxenochlorella protothecoides]
OG0000627	KAF8072592.1 hypothetical protein HT031_000252 [Scenedesmus sp. PABB004]	RMZ56387.1 hypothetical protein APUTEX25_004744 [Auxenochlorella protothecoides], RMZ53112.1 hypothetical protein APUTEX25_004936_ partial [Auxenochlorella protothecoides]
OG0000628	KAF8066382.1 TMEM45B [Scenedesmus sp. PABB004]	RMZ53162.1 hypothetical protein APUTEX25_005151_ partial [Auxenochlorella protothecoides], RMZ54046.1 hypothetical protein APUTEX25_002623 [Auxenochlorella protothecoides]
OG0000629	KAF8073193.1 GRXC3 [Scenedesmus sp. PABB004]	RMZ56657.1 hypothetical protein APUTEX25_002746 [Auxenochlorella protothecoides]
OG0000630	KAF8063787.1 pnp [Scenedesmus sp. PABB004]	RMZ54257.1 hypothetical protein APUTEX25_000608_ partial [Auxenochlorella protothecoides]
OG0000631	KAF8057673.1 VCL1 [Scenedesmus sp. PABB004]	RMZ53249.1 hypothetical protein APUTEX25_005238 [Auxenochlorella protothecoides]
OG0000632	KAF8056129.1 hypothetical protein HT031_006480 [Scenedesmus sp. PABB004]	RMZ53333.1 hypothetical protein APUTEX25_004821 [Auxenochlorella protothecoides]
OG0000633	KAF8056444.1 hypothetical protein HT031_006301 [Scenedesmus sp. PABB004], KAF8068451.1 maoI [Scenedesmus sp. PABB004]	RMZ53368.1 hypothetical protein APUTEX25_004856 [Auxenochlorella protothecoides]
OG0000635	KAF8054980.1 hypothetical protein HT031_006870 [Scenedesmus sp. PABB004]	RMZ56144.1 hypothetical protein APUTEX25_004568 [Auxenochlorella protothecoides]
OG0000636	KAF8061974.1 apocarotenoid-15_15'-oxygenase [Scenedesmus sp. PABB004]	RMZ53494.1 hypothetical protein APUTEX25_003316 [Auxenochlorella protothecoides]
