Orthogroup	Scenedesmus_PABB004	Micractinium_SAG24180
OG0000270	KAF8072459.1 NRPB1 [Scenedesmus sp. PABB004]	PSC72236.1 DNA-directed RNA polymerase II subunit 1 [Micractinium conductrix]
OG0000271	KAF8055385.1 FGT1 [Scenedesmus sp. PABB004]	PSC70731.1 strawberry notch [Micractinium conductrix]
OG0000271	KAF8058482.1 hypothetical protein HT031_005606 [Scenedesmus sp. PABB004], KAF8058466.1 hypothetical protein HT031_005590 [Scenedesmus sp. PABB004]	PSC70783.1 Sphingomyelin phosphodiesterase 4 [Micractinium conductrix]
OG0000272	KAF8054896.1 PLR1 [Scenedesmus sp. PABB004]	PSC73909.1 pyridoxal chloroplastic [Micractinium conductrix]
OG0000273	KAF8060594.1 algC [Scenedesmus sp. PABB004]	PSC71688.1 RNA-binding Musashi-like protein 1 isoform B [Micractinium conductrix], PSC71689.1 RNA-binding Musashi-like protein 1 isoform A [Micractinium conductrix], PSC73646.1 Heterogeneous nuclear ribonucleo A1-like 2 [Micractinium conductrix], PSC71684.1 phosphoglucomutase [Micractinium conductrix]
OG0000274	KAF8064532.1 hypothetical protein HT031_003332 [Scenedesmus sp. PABB004]	PSC68147.1 agmatine deiminase [Micractinium conductrix]
OG0000274	KAF8069437.1 hypothetical protein HT031_001552 [Scenedesmus sp. PABB004]	PSC71760.1 agmatine deiminase [Micractinium conductrix]
OG0000275	KAF8067113.1 GTF2H2 [Scenedesmus sp. PABB004]	PSC68451.1 general transcription factor IIH subunit 2 [Micractinium conductrix]
OG0000276	KAF8058835.1 TNNI3K [Scenedesmus sp. PABB004], KAF8058327.1 lpxC [Scenedesmus sp. PABB004], KAF8072929.1 Tnni3k [Scenedesmus sp. PABB004]	PSC74719.1 Serine threonine-kinase TNNI3K [Micractinium conductrix]
OG0000277	KAF8060063.1 CSTF64 [Scenedesmus sp. PABB004]	PSC74635.1 hypothetical protein C2E20_2257 [Micractinium conductrix], PSC74746.1 hypothetical protein C2E20_2256 [Micractinium conductrix], PSC68166.1 hypothetical protein C2E20_8225 [Micractinium conductrix]
OG0000278	KAF8071330.1 yciC [Scenedesmus sp. PABB004], KAF8059685.1 hypothetical protein HT031_005093 [Scenedesmus sp. PABB004], KAF8059687.1 yciC [Scenedesmus sp. PABB004], KAF8065844.1 yciC [Scenedesmus sp. PABB004]	PSC76815.1 cobalamin synthesis isoform B [Micractinium conductrix], PSC76814.1 cobalamin synthesis isoform A [Micractinium conductrix], PSC67729.1 putative GTP-binding [Micractinium conductrix]
OG0000280	KAF8062692.1 BGL1A [Scenedesmus sp. PABB004]	PSC72359.1 beta-glucosidase 40 [Micractinium conductrix]
OG0000280	KAF8059426.1 BGLU42 [Scenedesmus sp. PABB004]	PSC73439.1 FAD synthetase chloroplastic-like [Micractinium conductrix]
OG0000284	KAF8055720.1 ZIP5 [Scenedesmus sp. PABB004]	PSC72115.1 Zinc transporter 5 [Micractinium conductrix], PSC74270.1 ZIP Zinc transporter [Micractinium conductrix]
OG0000285	KAF8060513.1 ABCB6 [Scenedesmus sp. PABB004]	PSC68810.1 ABC transporter B family member 1 [Micractinium conductrix], PSC72762.1 ATP binding cassette subfamily B4 isoform 2 [Micractinium conductrix]
OG0000287	KAF8072673.1 2-3-bisphosphoglycerate-independent phosphoglycerate mutase [Scenedesmus sp. PABB004]	PSC70063.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Micractinium conductrix], PSC70092.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Micractinium conductrix]
OG0000288	KAF8071022.1 hypothetical protein HT031_001104 [Scenedesmus sp. PABB004], KAF8073017.1 rpsQ [Scenedesmus sp. PABB004]	PSC70429.1 acetyltransferase_ partial [Micractinium conductrix]
OG0000289	KAF8072590.1 Cbwd1 [Scenedesmus sp. PABB004]	PSC68124.1 DNA repair RAD51-like protein [Micractinium conductrix]
OG0000290	KAF8056455.1 aminopeptidase M1-D [Scenedesmus sp. PABB004]	PSC75184.1 Leucyl-cystinyl aminopeptidase isoform B [Micractinium conductrix], PSC75185.1 Leucyl-cystinyl aminopeptidase isoform A [Micractinium conductrix]
OG0000293	KAF8057632.1 CPK24 [Scenedesmus sp. PABB004]	PSC69548.1 calcium-dependent kinase 17 [Micractinium conductrix], PSC75499.1 hypothetical protein C2E20_0993 [Micractinium conductrix], PSC72943.1 calcium dependent kinase 17 [Micractinium conductrix]
OG0000294	KAF8062641.1 D27 [Scenedesmus sp. PABB004]	PSC73082.1 beta-carotene isomerase chloroplastic-like [Micractinium conductrix]
OG0000295	KAF8067127.1 NLP6 [Scenedesmus sp. PABB004]	PSC68337.1 glycosyl transferase [Micractinium conductrix]
OG0000296	KAF8067242.1 hypothetical protein HT031_002289 [Scenedesmus sp. PABB004]	PSC73667.1 phosphoglucose isomerase [Micractinium conductrix], PSC67631.1 cytosolic phosphoglucose isomerase [Micractinium conductrix], PSC67624.1 cytosolic phosphoglucose isomerase [Micractinium conductrix]
OG0000297	KAF8067233.1 PHT4 [Scenedesmus sp. PABB004]	PSC75288.1 hypothetical protein C2E20_1197 [Micractinium conductrix], PSC76976.1 putative anion transporter chloroplastic [Micractinium conductrix], PSC75780.1 putative anion transporter 2_ chloroplastic [Micractinium conductrix]
OG0000298	KAF8068170.1 RH36 [Scenedesmus sp. PABB004]	PSC72354.1 cytosolic Fe-S cluster assembly factor narfl [Micractinium conductrix], PSC72361.1 rhomboid-like protease [Micractinium conductrix]
OG0000299	KAF8060097.1 CSN5 [Scenedesmus sp. PABB004], KAF8055386.1 WNK3 [Scenedesmus sp. PABB004]	PSC76222.1 COP9 signalosome complex subunit 5b-like [Micractinium conductrix]
OG0000300	KAF8063852.1 ppa1 [Scenedesmus sp. PABB004]	PSC76323.1 inorganic pyrophosphatase [Micractinium conductrix], PSC70246.1 LOW PSII ACCUMULATION chloroplastic [Micractinium conductrix]
OG0000301	KAF8067346.1 pam-b [Scenedesmus sp. PABB004]	PSC71645.1 peptidyl-glycine alpha-amidating monooxygenase [Micractinium conductrix], PSC69592.1 peptidase M3 [Micractinium conductrix]
OG0000302	KAF8061103.1 hypothetical protein HT031_004564 [Scenedesmus sp. PABB004]	PSC71455.1 cell division cycle 48-like protein [Micractinium conductrix]
OG0000303	KAF8070929.1 G6PD5 [Scenedesmus sp. PABB004]	PSC70121.1 glucose-6-phosphate 1-cytoplasmic isoform [Micractinium conductrix]
OG0000303	KAF8072377.1 G6PD2 [Scenedesmus sp. PABB004]	PSC72260.1 Glucose-6-phosphate 1-dehydrogenase chloroplastic [Micractinium conductrix]
OG0000304	KAF8057938.1 DRP3A [Scenedesmus sp. PABB004]	PSC73021.1 dynamin-related 3A-like [Micractinium conductrix]
OG0000305	KAF8065487.1 RNR2B [Scenedesmus sp. PABB004]	PSC67582.1 ribonucleoside-diphosphate reductase small chain [Micractinium conductrix]
OG0000305	KAF8069399.1 Ribonucleoside-diphosphate reductase small chain [Scenedesmus sp. PABB004]	PSC74036.1 Ribonucleoside-diphosphate reductase small chain [Micractinium conductrix]
OG0000307	KAF8057152.1 hypothetical protein HT031_006161 [Scenedesmus sp. PABB004]	PSC70464.1 Methionine gamma-lyase isoform A [Micractinium conductrix], PSC70465.1 Methionine gamma-lyase isoform B [Micractinium conductrix]
OG0000308	KAF8059656.1 LIP2 [Scenedesmus sp. PABB004]	PSC68942.1 proton phosphate symporter [Micractinium conductrix], PSC68539.1 proton phosphate symporter [Micractinium conductrix]
OG0000309	KAF8072675.1 PFE2 [Scenedesmus sp. PABB004]	PSC70014.1 chloroplast precursor [Micractinium conductrix]
OG0000311	KAF8057909.1 yrhG [Scenedesmus sp. PABB004]	PSC67641.1 formate nitrite transporter [Micractinium conductrix]
OG0000312	KAF8061912.1 hypothetical protein HT031_004172 [Scenedesmus sp. PABB004]	PSC74406.1 ARF guanine-nucleotide exchange factor GNOM isoform C [Micractinium conductrix], PSC74405.1 ARF guanine-nucleotide exchange factor GNOM isoform B [Micractinium conductrix], PSC74404.1 ARF guanine-nucleotide exchange factor GNOM isoform A [Micractinium conductrix]
OG0000313	KAF8064623.1 ABCA12 [Scenedesmus sp. PABB004], KAF8060279.1 ABCA8 [Scenedesmus sp. PABB004], KAF8065710.1 ABCA3 [Scenedesmus sp. PABB004]	PSC69915.1 ABC transporter A family member 7 [Micractinium conductrix], PSC73846.1 ABC transporter A family member 7-like [Micractinium conductrix]
OG0000314	KAF8072384.1 POLD2 [Scenedesmus sp. PABB004]	PSC71215.1 DNA polymerase delta small subunit [Micractinium conductrix]
OG0000315	KAF8067212.1 R1 [Scenedesmus sp. PABB004]	PSC71923.1 Eukaryotic translation initiation factor 3 subunit B [Micractinium conductrix], PSC76071.1 alpha-glucan water chloroplastic isoform X2 [Micractinium conductrix]
OG0000316	KAF8065940.1 XRN1 [Scenedesmus sp. PABB004]	PSC76060.1 6-phosphogluconate decarboxylating [Micractinium conductrix]
OG0000317	KAF8063788.1 26S proteasome regulatory subunit 6B [Scenedesmus sp. PABB004]	PSC75793.1 26S protease regulatory subunit 6B-like protein [Micractinium conductrix]
OG0000317	KAF8062645.1 RPT2A [Scenedesmus sp. PABB004]	PSC74626.1 26S proteasome regulatory subunit 4-like protein B [Micractinium conductrix]
OG0000319	KAF8066177.1 SS3 [Scenedesmus sp. PABB004]	PSC72003.1 Soluble starch synthase chloroplastic amyloplastic [Micractinium conductrix]
OG0000320	KAF8068412.1 anon-84Ea [Scenedesmus sp. PABB004]	PSC72014.1 histone deacetylase [Micractinium conductrix], PSC75106.1 riboflavin kinase [Micractinium conductrix]
OG0000321	KAF8059134.1 AAP19-1 [Scenedesmus sp. PABB004]	PSC70435.1 AP-2 complex subunit sigma [Micractinium conductrix], PSC67094.1 zinc knuckle domain-containing [Micractinium conductrix], PSC74498.1 AP-1 complex subunit sigma-1 [Micractinium conductrix]
OG0000324	KAF8061415.1 SAMHD1 [Scenedesmus sp. PABB004]	PSC70072.1 deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like protein [Micractinium conductrix]
OG0000324	KAF8072993.1 Kars1 [Scenedesmus sp. PABB004]	PSC69980.1 lysine-tRNA ligase isoform X2 [Micractinium conductrix]
OG0000325	KAF8059665.1 HAK2 [Scenedesmus sp. PABB004]	PSC72048.1 potassium transporter 12 [Micractinium conductrix], PSC70115.1 potassium transporter 12 isoform B [Micractinium conductrix], PSC70116.1 potassium transporter 12 isoform A [Micractinium conductrix], PSC73584.1 Potassium transporter family [Micractinium conductrix]
OG0000327	KAF8068305.1 celD [Scenedesmus sp. PABB004], KAF8062642.1 VHA-F [Scenedesmus sp. PABB004]	PSC71157.1 Six-hairpin glycosidase [Micractinium conductrix]
OG0000328	KAF8063840.1 GUF1-like protein [Scenedesmus sp. PABB004]	PSC73136.1 Elongation factor 4 [Micractinium conductrix]
OG0000328	KAF8057237.1 GUF1-like protein [Scenedesmus sp. PABB004]	PSC76214.1 translation factor GUF1 mitochondrial isoform X1 isoform B [Micractinium conductrix], PSC76213.1 translation factor GUF1 mitochondrial isoform X1 isoform A [Micractinium conductrix]
OG0000329	KAF8060042.1 solute carrier family 40 member 1 [Scenedesmus sp. PABB004]	PSC72990.1 solute carrier family 40 member 2-like [Micractinium conductrix]
OG0000329	KAF8066230.1 hypothetical protein HT031_002553 [Scenedesmus sp. PABB004]	PSC73012.1 tetratricopeptide repeat 30A isoform X2 [Micractinium conductrix]
OG0000330	KAF8055645.1 CAH2 [Scenedesmus sp. PABB004]	PSC74056.1 carbonate dehydratase [Micractinium conductrix], PSC76157.1 carbonic anhydrase [Micractinium conductrix]
OG0000331	KAF8056865.1 hypothetical protein HT031_006209 [Scenedesmus sp. PABB004]	PSC70819.1 hypothetical protein C2E20_5824 [Micractinium conductrix], PSC72998.1 hypothetical protein C2E20_3646 [Micractinium conductrix]
OG0000340	KAF8059752.1 CLPB1 [Scenedesmus sp. PABB004]	PSC69391.1 ferrochelatase-chloroplastic [Micractinium conductrix], PSC72780.1 chaperone 1 [Micractinium conductrix]
OG0000341	KAF8073051.1 NADK2 [Scenedesmus sp. PABB004]	PSC71351.1 diphthine-ammonia ligase [Micractinium conductrix], PSC71309.1 diphthine-ammonia ligase isoform X1 [Micractinium conductrix], PSC69807.1 ATP-NAD kinase [Micractinium conductrix], PSC76239.1 ATP-NAD kinase [Micractinium conductrix]
OG0000343	KAF8065846.1 SPT5 [Scenedesmus sp. PABB004], KAF8072860.1 CAT1 [Scenedesmus sp. PABB004]	PSC71150.1 transcription elongation factor SPT5-like protein 1 [Micractinium conductrix]
OG0000344	KAF8063008.1 FTSH2 [Scenedesmus sp. PABB004]	PSC67652.1 ATP-dependent zinc metalloprotease FTSH chloroplastic [Micractinium conductrix]
OG0000344	KAF8069387.1 FTSH1 [Scenedesmus sp. PABB004]	PSC69213.1 ATP-dependent zinc metalloprotease chloroplastic [Micractinium conductrix]
OG0000345	KAF8061394.1 DNA polymerase alpha catalytic subunit [Scenedesmus sp. PABB004]	PSC73303.1 DNA polymerase alpha catalytic subunit [Micractinium conductrix]
OG0000346	KAF8066301.1 SAE2 [Scenedesmus sp. PABB004]	PSC70523.1 SUMO-activating enzyme subunit 2 [Micractinium conductrix], PSC68062.1 ATP-dependent DNA helicase isoform B [Micractinium conductrix], PSC68061.1 ATP-dependent DNA helicase isoform A [Micractinium conductrix]
OG0000347	KAF8060356.1 rlmI [Scenedesmus sp. PABB004], KAF8060353.1 Wscd1 [Scenedesmus sp. PABB004]	PSC76149.1 ribosomal RNA large subunit methyltransferase I [Micractinium conductrix]
OG0000349	KAF8067387.1 yhjG [Scenedesmus sp. PABB004]	PSC71708.1 Arabinanase levansucrase invertase [Micractinium conductrix]
OG0000349	KAF8059670.1 CWINV3 [Scenedesmus sp. PABB004], KAF8056761.1 hypothetical protein HT031_006259 [Scenedesmus sp. PABB004], KAF8056752.1 BFRUCT3 [Scenedesmus sp. PABB004]	PSC75140.1 Arabinanase levansucrase invertase [Micractinium conductrix]
OG0000350	KAF8061144.1 SEC8 [Scenedesmus sp. PABB004]	PSC71172.1 Serine threonine-kinase PRP4 isoform A [Micractinium conductrix]
OG0000350	KAF8058407.1 PRPF4B [Scenedesmus sp. PABB004]	PSC71171.1 Serine threonine-kinase PRP4 isoform B [Micractinium conductrix]
OG0000351	KAF8056858.1 Aimp1 [Scenedesmus sp. PABB004]	PSC67857.1 nucleic acid-binding [Micractinium conductrix]
OG0000351	KAF8061153.1 YARS1 [Scenedesmus sp. PABB004]	PSC68333.1 aminoacyl tRNA synthase complex-interacting multifunctional 1 [Micractinium conductrix]
OG0000352	KAF8068195.1 thioredoxin domain-containing protein 9 [Scenedesmus sp. PABB004]	PSC73423.1 choline isoform B [Micractinium conductrix], PSC73422.1 choline isoform A [Micractinium conductrix], PSC69826.1 amine oxidase [Micractinium conductrix]
OG0000353	KAF8058859.1 SNRNP40 [Scenedesmus sp. PABB004]	PSC72149.1 U5 small nuclear ribonucleo 40 kDa [Micractinium conductrix]
OG0000354	KAF8067349.1 glpV [Scenedesmus sp. PABB004]	PSC73324.1 starch phosphorylase [Micractinium conductrix]
OG0000354	KAF8058074.1 glpV [Scenedesmus sp. PABB004]	PSC73274.1 glycosyltransferase family 35 [Micractinium conductrix]
OG0000355	KAF8065560.1 STN8 [Scenedesmus sp. PABB004], KAF8068435.1 PUB1 [Scenedesmus sp. PABB004]	PSC67765.1 putative ubiquitin conjugation factor E4 [Micractinium conductrix]
OG0000356	KAF8073076.1 Ddx47 [Scenedesmus sp. PABB004]	PSC69776.1 DEAD-box ATP-dependent RNA helicase 10 [Micractinium conductrix]
OG0000357	KAF8059975.1 slc38a7 [Scenedesmus sp. PABB004], KAF8055471.1 slc38a7 [Scenedesmus sp. PABB004]	PSC72952.1 AAAP family transporter_ amino acid [Micractinium conductrix], PSC72678.1 AAAP family transporter_ amino acid [Micractinium conductrix], PSC71694.1 AAAP family transporter_ amino acid [Micractinium conductrix]
OG0000359	KAF8058837.1 MFDX1 [Scenedesmus sp. PABB004]	PSC68086.1 chloroplastic isoform X1 isoform A [Micractinium conductrix], PSC68088.1 chloroplastic isoform X1 isoform B [Micractinium conductrix], PSC68087.1 chloroplastic isoform X1 isoform C [Micractinium conductrix], PSC67169.1 chloroplastic isoform X1_ partial [Micractinium conductrix], PSC67131.1 chloroplastic isoform X2_ partial [Micractinium conductrix]
OG0000362	KAF8061170.1 STK38L [Scenedesmus sp. PABB004]	PSC69607.1 serine threonine kinase 19 [Micractinium conductrix]
OG0000363	KAF8065511.1 KCNJ12 [Scenedesmus sp. PABB004]	PSC68160.1 E set domain-containing [Micractinium conductrix], PSC72583.1 E set domain-containing [Micractinium conductrix]
OG0000364	KAF8058898.1 jdp [Scenedesmus sp. PABB004]	PSC71468.1 heat shock [Micractinium conductrix]
OG0000364	KAF8069581.1 DJA6 [Scenedesmus sp. PABB004]	PSC68376.1 dnaJ ERDJ3B [Micractinium conductrix]
OG0000365	KAF8055910.1 ATJ72 [Scenedesmus sp. PABB004], KAF8072961.1 rhy-1 [Scenedesmus sp. PABB004]	PSC68691.1 chaperone dnaJ 72 [Micractinium conductrix], PSC72852.1 nose resistant to fluoxetine 6-like [Micractinium conductrix]
OG0000366	KAF8067133.1 CBP1 [Scenedesmus sp. PABB004]	PSC68291.1 serine carboxypeptidase-like 20 [Micractinium conductrix]
OG0000366	KAF8057860.1 protein phosphatase 2C 26 [Scenedesmus sp. PABB004]	PSC68257.1 putative phosphatase 2C 26 [Micractinium conductrix]
OG0000367	KAF8071102.1 hypothetical protein HT031_001184 [Scenedesmus sp. PABB004]	PSC70059.1 pyruvate carboxylase [Micractinium conductrix], PSC72739.1 hypothetical protein C2E20_4100 [Micractinium conductrix], PSC72271.1 amiloride-sensitive amine oxidase [copper-containing]-like isoform X2 [Micractinium conductrix]
OG0000368	KAF8069592.1 hypothetical protein HT031_001709 [Scenedesmus sp. PABB004]	PSC72272.1 GATA transcription factor 26-like [Micractinium conductrix]
OG0000369	KAF8057748.1 DHAR1 [Scenedesmus sp. PABB004]	PSC68074.1 dehydroascorbate reductase [Micractinium conductrix], PSC75758.1 putative beta-D-xylosidase 7 [Micractinium conductrix]
OG0000370	KAF8065897.1 TRA1 [Scenedesmus sp. PABB004]	PSC74456.1 transformation transcription domain-associated -like [Micractinium conductrix], PSC68760.1 transformation transcription domain-associated [Micractinium conductrix], PSC74747.1 transformation transcription domain-associated [Micractinium conductrix]
OG0000371	KAF8059406.1 SPA2 [Scenedesmus sp. PABB004]	PSC71525.1 E3 ubiquitin-ligase COP1-like isoform X3 [Micractinium conductrix]
OG0000371	KAF8071312.1 SPA1 [Scenedesmus sp. PABB004]	PSC67162.1 two-component response regulator-like APRR3 isoform X1_ partial [Micractinium conductrix], PSC71912.1 SUPPRESSOR OF PHYA-105 1 [Micractinium conductrix]
OG0000372	KAF8057628.1 pescadillo-like protein [Scenedesmus sp. PABB004], KAF8058047.1 GME-2 [Scenedesmus sp. PABB004]	PSC72835.1 GDP-mannose 3_5-epimerase 2 [Micractinium conductrix]
OG0000374	KAF8071212.1 NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 [Scenedesmus sp. PABB004]	PSC71880.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Micractinium conductrix]
OG0000375	KAF8066228.1 NOC1 [Scenedesmus sp. PABB004], KAF8061932.1 davT [Scenedesmus sp. PABB004]	PSC75244.1 CCAAT enhancer-binding zeta [Micractinium conductrix]
OG0000376	KAF8070943.1 RDN1 [Scenedesmus sp. PABB004]	PSC69196.1 hypothetical protein C2E20_7268 [Micractinium conductrix]
OG0000377	KAF8062032.1 hypothetical protein HT031_004292 [Scenedesmus sp. PABB004], KAF8062793.1 hypothetical protein HT031_004123 [Scenedesmus sp. PABB004], KAF8058425.1 hypothetical protein HT031_005549 [Scenedesmus sp. PABB004], KAF8060285.1 CCR4 [Scenedesmus sp. PABB004]	PSC75824.1 molecular chaperone [Micractinium conductrix]
OG0000378	KAF8055110.1 CYP716B1 [Scenedesmus sp. PABB004]	PSC75274.1 cytochrome P450 [Micractinium conductrix]
OG0000379	KAF8057891.1 PRY3 [Scenedesmus sp. PABB004], KAF8072510.1 DNA glycosylase-like protein [Scenedesmus sp. PABB004]	PSC68875.1 hypothetical protein C2E20_7623 [Micractinium conductrix]
OG0000383	KAF8065953.1 PUMP1 [Scenedesmus sp. PABB004]	PSC74244.1 mitochondrial uncoupling 1 isoform C [Micractinium conductrix], PSC74243.1 mitochondrial uncoupling 1 isoform A [Micractinium conductrix], PSC74242.1 mitochondrial uncoupling 1 isoform B [Micractinium conductrix]
OG0000384	KAF8067314.1 Polq [Scenedesmus sp. PABB004]	PSC75541.1 DNA polymerase I [Micractinium conductrix], PSC72337.1 helicase and polymerase-containing TEBICHI_ partial [Micractinium conductrix]
OG0000385	KAF8060055.1 ppa2 [Scenedesmus sp. PABB004], KAF8072952.1 ppa2 [Scenedesmus sp. PABB004]	PSC67500.1 soluble inorganic pyrophosphatase [Micractinium conductrix]
OG0000386	KAF8059162.1 CARNS1 [Scenedesmus sp. PABB004]	PSC71326.1 ATP-grasp domain containing 1 [Micractinium conductrix]
OG0000386	KAF8057917.1 hypothetical protein HT031_005863 [Scenedesmus sp. PABB004]	PSC76206.1 delta-aminolevulinic acid dehydratase [Micractinium conductrix]
OG0000388	KAF8070909.1 CSP41A [Scenedesmus sp. PABB004]	PSC72036.1 Chloroplast stem-loop binding of 41 kDa chloroplastic [Micractinium conductrix]
OG0000388	KAF8060556.1 hypothetical protein HT031_004733 [Scenedesmus sp. PABB004]	PSC70544.1 ult-like transcription factor [Micractinium conductrix]
OG0000389	KAF8071350.1 DExH7 [Scenedesmus sp. PABB004]	PSC68824.1 helicase domain-containing [Micractinium conductrix]
OG0000389	KAF8055672.1 DHX57 [Scenedesmus sp. PABB004]	PSC71380.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]
OG0000390	KAF8072870.1 HSD17B12 [Scenedesmus sp. PABB004], KAF8067246.1 hemW [Scenedesmus sp. PABB004]	PSC69136.1 coproporphyrinogen III oxidase [Micractinium conductrix]
OG0000393	KAF8057126.1 PLIP1 [Scenedesmus sp. PABB004]	PSC69354.1 alpha beta-hydrolase isoform B [Micractinium conductrix], PSC69353.1 alpha beta-hydrolase isoform A [Micractinium conductrix]
OG0000394	KAF8062083.1 APY2 [Scenedesmus sp. PABB004]	PSC69324.1 telomerase Cajal body 1 [Micractinium conductrix], PSC74015.1 apyrase 2-like isoform C [Micractinium conductrix], PSC74014.1 apyrase 2-like isoform B [Micractinium conductrix], PSC74016.1 apyrase 2-like isoform A [Micractinium conductrix]
OG0000395	KAF8055488.1 tmcC [Scenedesmus sp. PABB004], KAF8061342.1 hypothetical protein HT031_004433 [Scenedesmus sp. PABB004], KAF8072512.1 DSK2A [Scenedesmus sp. PABB004]	PSC71757.1 flagellar associated membrane [Micractinium conductrix], PSC76434.1 flagellar associated membrane [Micractinium conductrix]
OG0000396	KAF8073041.1 hypothetical protein HT031_000702 [Scenedesmus sp. PABB004]	PSC69214.1 NADP-dependent glyceraldehyde-3-phosphate dehydrogenase [Micractinium conductrix], PSC67121.1 Glutamyl-tRNA_Gln_ amidotransferase subunit A [Micractinium conductrix], PSC67050.1 Glutamyl-tRNA_Gln_ amidotransferase subunit A_ partial [Micractinium conductrix], PSC67008.1 Glutamyl-tRNA_Gln_ amidotransferase subunit A [Micractinium conductrix]
OG0000398	KAF8056254.1 hypothetical protein HT031_006442 [Scenedesmus sp. PABB004]	PSC76044.1 KDEL motif-containing 1 [Micractinium conductrix], PSC76167.1 KDEL motif-containing 2 [Micractinium conductrix], PSC76645.1 NHL repeat containing [Micractinium conductrix], PSC68200.1 KDEL motif-containing 1 [Micractinium conductrix]
OG0000404	KAF8065909.1 LIP1 [Scenedesmus sp. PABB004]	PSC72214.1 Lipoyl mitochondrial [Micractinium conductrix]
OG0000404	KAF8066207.1 LIP1P [Scenedesmus sp. PABB004]	PSC70854.1 Lipoyl chloroplastic [Micractinium conductrix]
OG0000405	KAF8061987.1 MO1 [Scenedesmus sp. PABB004]	PSC76550.1 class IV [Micractinium conductrix], PSC69099.1 Zeaxanthin chloroplastic [Micractinium conductrix]
OG0000407	KAF8065859.1 Calcium-dependent protein kinase SK5 [Scenedesmus sp. PABB004]	PSC74049.1 Calcium-dependent kinase 29 [Micractinium conductrix]
OG0000407	KAF8073021.1 ARF1 [Scenedesmus sp. PABB004]	PSC73235.1 Pkinase-domain-containing [Micractinium conductrix]
OG0000408	KAF8073007.1 Arginine--tRNA ligase [Scenedesmus sp. PABB004]	PSC68238.1 arginine-tRNA chloroplastic mitochondrial-like isoform X2 [Micractinium conductrix]
OG0000409	KAF8064525.1 PCK1 [Scenedesmus sp. PABB004]	PSC71338.1 phosphoenolpyruvate carboxykinase [ATP]-like [Micractinium conductrix], PSC67553.1 hypothetical protein C2E20_8764 [Micractinium conductrix]
OG0000410	KAF8057239.1 Dagla [Scenedesmus sp. PABB004]	PSC75338.1 Sn1-specific diacylglycerol lipase beta [Micractinium conductrix]
OG0000410	KAF8066220.1 MSI2 [Scenedesmus sp. PABB004]	PSC76092.1 Sn1-specific diacylglycerol lipase beta [Micractinium conductrix]
OG0000411	KAF8064590.1 gins1 [Scenedesmus sp. PABB004]	PSC74062.1 hypothetical protein C2E20_2857 [Micractinium conductrix], PSC74257.1 alpha beta-hydrolase [Micractinium conductrix]
OG0000412	KAF8069671.1 ABCI19 [Scenedesmus sp. PABB004]	PSC75610.1 ABC_ATP-binding_ family transporter_ iron compound [Micractinium conductrix]
OG0000413	KAF8063089.1 Stearoyl-[acyl-carrier-protein] 9-desaturase [Scenedesmus sp. PABB004]	PSC67766.1 plastid acyl-ACP desaturase [Micractinium conductrix], PSC75418.1 stearoyl ACP desaturase 1 isoform B [Micractinium conductrix], PSC75417.1 stearoyl ACP desaturase 1 isoform A [Micractinium conductrix]
OG0000414	KAF8058120.1 XEG113 [Scenedesmus sp. PABB004]	PSC68170.1 glycosyltransferase family 77 [Micractinium conductrix], PSC74619.1 glycosyltransferase family 77 [Micractinium conductrix]
OG0000415	KAF8054903.1 MUS81 [Scenedesmus sp. PABB004], KAF8054904.1 hypothetical protein HT031_006903 [Scenedesmus sp. PABB004]	PSC67525.1 thymocyte nuclear 1 [Micractinium conductrix]
OG0000416	KAF8057130.1 acu-9 [Scenedesmus sp. PABB004]	PSC67336.1 Malate synthase [Micractinium conductrix], PSC74854.1 malate synthase A [Micractinium conductrix]
OG0000417	KAF8068408.1 SPAC6G10.10c [Scenedesmus sp. PABB004]	PSC74414.1 Multiple myeloma tumor-associated 2 [Micractinium conductrix]
OG0000418	KAF8056381.1 FTSH5 [Scenedesmus sp. PABB004]	PSC71547.1 ATP-dependent zinc metalloprotease FTSH mitochondrial [Micractinium conductrix]
OG0000419	KAF8058414.1 PIP5K5 [Scenedesmus sp. PABB004]	PSC76592.1 phosphatidylinositol 4-phosphate 5-kinase 9 [Micractinium conductrix]
OG0000420	KAF8065460.1 AMT1-1 [Scenedesmus sp. PABB004]	PSC70378.1 ammonium transporter isoform B [Micractinium conductrix], PSC70377.1 ammonium transporter isoform A [Micractinium conductrix], PSC68349.1 ammonium transporter [Micractinium conductrix]
OG0000421	KAF8055753.1 PF20 [Scenedesmus sp. PABB004]	PSC71153.1 light-harvesting of photosystem I [Micractinium conductrix]
OG0000421	KAF8059181.1 LHCA5 [Scenedesmus sp. PABB004]	PSC76753.1 light-harvesting of photosystem I [Micractinium conductrix]
OG0000422	KAF8062028.1 SAR2 [Scenedesmus sp. PABB004]	PSC72642.1 sar-type small GTPase [Micractinium conductrix]
