Orthogroup	Scenedesmus_PABB004	Chlorella_Vulgaris2111P
OG0001083	KAF8059193.1 CDK5RAP3-like protein [Scenedesmus sp. PABB004]	KAI3436259.1 hypothetical protein D9Q98_002312 [Chlorella vulgaris]
OG0001085	KAF8072391.1 SOP1 [Scenedesmus sp. PABB004]	KAI3424861.1 hypothetical protein D9Q98_008245 [Chlorella vulgaris], KAI3424860.1 hypothetical protein D9Q98_008244 [Chlorella vulgaris]
OG0001086	KAF8054876.1 MMD1 [Scenedesmus sp. PABB004]	KAI3430774.1 hypothetical protein D9Q98_009186 [Chlorella vulgaris]
OG0001087	KAF8066355.1 RSP14 [Scenedesmus sp. PABB004]	KAI3438810.1 hypothetical protein D9Q98_001227 [Chlorella vulgaris]
OG0001087	KAF8073191.1 hypothetical protein HT031_000852 [Scenedesmus sp. PABB004]	KAI3438811.1 hypothetical protein D9Q98_001228 [Chlorella vulgaris]
OG0001089	KAF8067239.1 SEL1L [Scenedesmus sp. PABB004]	KAI3429526.1 hypothetical protein D9Q98_005614 [Chlorella vulgaris], KAI3429527.1 hypothetical protein D9Q98_005615 [Chlorella vulgaris]
OG0001092	KAF8057127.1 hypothetical protein HT031_006136 [Scenedesmus sp. PABB004]	KAI3435635.1 hypothetical protein D9Q98_001694 [Chlorella vulgaris]
OG0001094	KAF8072914.1 GAL1 [Scenedesmus sp. PABB004], KAF8072885.1 GAL1 [Scenedesmus sp. PABB004]	KAI3438850.1 hypothetical protein D9Q98_001267 [Chlorella vulgaris]
OG0001095	KAF8071286.1 hypothetical protein HT031_001369 [Scenedesmus sp. PABB004], KAF8058433.1 eukaryotic translation initiation factor 5-1 [Scenedesmus sp. PABB004]	KAI3437615.1 hypothetical protein D9Q98_000067 [Chlorella vulgaris]
OG0001096	KAF8067426.1 mnd1 [Scenedesmus sp. PABB004], KAF8067425.1 hypothetical protein HT031_002473 [Scenedesmus sp. PABB004]	KAI3429236.1 hypothetical protein D9Q98_005335 [Chlorella vulgaris], KAI3429264.1 hypothetical protein D9Q98_005361 [Chlorella vulgaris]
OG0001097	KAF8072674.1 CFAP20 [Scenedesmus sp. PABB004], KAF8057721.1 Bug22 [Scenedesmus sp. PABB004]	KAI3425065.1 hypothetical protein D9Q98_008442 [Chlorella vulgaris]
OG0001098	KAF8067259.1 3-oxoacyl-[acyl-carrier-protein] reductase [Scenedesmus sp. PABB004]	KAI3428623.1 hypothetical protein D9Q98_007446 [Chlorella vulgaris]
OG0001099	KAF8063747.1 NRPB3 [Scenedesmus sp. PABB004]	KAI3427149.1 hypothetical protein D9Q98_007086 [Chlorella vulgaris], KAI3427150.1 hypothetical protein D9Q98_007087 [Chlorella vulgaris]
OG0001100	KAF8064603.1 CFAP61 [Scenedesmus sp. PABB004]	KAI3429523.1 hypothetical protein D9Q98_005611 [Chlorella vulgaris], KAI3429522.1 hypothetical protein D9Q98_005611 [Chlorella vulgaris]
OG0001101	KAF8066359.1 EIF3D [Scenedesmus sp. PABB004]	KAI3430397.1 hypothetical protein D9Q98_004992 [Chlorella vulgaris]
OG0001103	KAF8064568.1 TMN7 [Scenedesmus sp. PABB004], KAF8062046.1 TMN7 [Scenedesmus sp. PABB004]	KAI3435778.1 hypothetical protein D9Q98_001836 [Chlorella vulgaris]
OG0001104	KAF8062048.1 ArgJ [Scenedesmus sp. PABB004]	KAI3435752.1 hypothetical protein D9Q98_001810 [Chlorella vulgaris]
OG0001105	KAF8071039.1 Usp2 [Scenedesmus sp. PABB004]	KAI3428790.1 hypothetical protein D9Q98_007609 [Chlorella vulgaris]
OG0001108	KAF8072437.1 ccnb1 [Scenedesmus sp. PABB004]	KAI3438015.1 hypothetical protein D9Q98_000458 [Chlorella vulgaris]
OG0001109	KAF8067312.1 TAF1 [Scenedesmus sp. PABB004]	KAI3432621.1 hypothetical protein D9Q98_004167 [Chlorella vulgaris]
OG0001110	KAF8068293.1 hypothetical protein HT031_001980 [Scenedesmus sp. PABB004]	KAI3435781.1 hypothetical protein D9Q98_001839 [Chlorella vulgaris]
OG0001112	KAF8065447.1 ODA6 [Scenedesmus sp. PABB004]	KAI3437967.1 hypothetical protein D9Q98_000411 [Chlorella vulgaris]
OG0001113	KAF8068265.1 Insoluble matrix shell protein 1 [Scenedesmus sp. PABB004], KAF8068295.1 Insoluble matrix shell protein 1 [Scenedesmus sp. PABB004]	KAI3431273.1 hypothetical protein D9Q98_004334 [Chlorella vulgaris]
OG0001114	KAF8063861.1 tatD [Scenedesmus sp. PABB004]	KAI3429535.1 hypothetical protein D9Q98_005623 [Chlorella vulgaris]
OG0001116	KAF8054905.1 hypothetical protein HT031_006904 [Scenedesmus sp. PABB004]	KAI3426330.1 hypothetical protein D9Q98_008703 [Chlorella vulgaris]
OG0001117	KAF8061421.1 APC8 [Scenedesmus sp. PABB004]	KAI3429609.1 hypothetical protein D9Q98_005695 [Chlorella vulgaris]
OG0001118	KAF8061901.1 P4H6 [Scenedesmus sp. PABB004]	KAI3438036.1 hypothetical protein D9Q98_000479 [Chlorella vulgaris]
OG0001119	KAF8067405.1 hypothetical protein HT031_002453 [Scenedesmus sp. PABB004], KAF8061967.1 NUG2 [Scenedesmus sp. PABB004]	KAI3438235.1 hypothetical protein D9Q98_000672 [Chlorella vulgaris]
OG0001120	KAF8071210.1 NRPB11 [Scenedesmus sp. PABB004]	KAI3432892.1 hypothetical protein D9Q98_010474 [Chlorella vulgaris]
OG0001122	KAF8071278.1 UPF2 [Scenedesmus sp. PABB004]	KAI3438041.1 hypothetical protein D9Q98_000484 [Chlorella vulgaris]
OG0001123	KAF8067237.1 CDC5 [Scenedesmus sp. PABB004]	KAI3429454.1 hypothetical protein D9Q98_005547 [Chlorella vulgaris]
OG0001124	KAF8057734.1 pcl1 [Scenedesmus sp. PABB004]	KAI3429450.1 hypothetical protein D9Q98_005543 [Chlorella vulgaris]
OG0001125	KAF8056351.1 IDH1 [Scenedesmus sp. PABB004], KAF8056446.1 IDH6 [Scenedesmus sp. PABB004]	KAI3434815.1 hypothetical protein D9Q98_002872 [Chlorella vulgaris]
OG0001127	KAF8073224.1 GapC [Scenedesmus sp. PABB004]	KAI3425155.1 hypothetical protein D9Q98_008926 [Chlorella vulgaris], KAI3433716.1 hypothetical protein D9Q98_003524 [Chlorella vulgaris]
OG0001128	KAF8062010.1 TMBIM6 [Scenedesmus sp. PABB004]	KAI3425031.1 hypothetical protein D9Q98_008409 [Chlorella vulgaris], KAI3425037.1 hypothetical protein D9Q98_008415 [Chlorella vulgaris]
OG0001129	KAF8056130.1 hypothetical protein HT031_006481 [Scenedesmus sp. PABB004]	KAI3431783.1 hypothetical protein D9Q98_010537 [Chlorella vulgaris], KAI3431782.1 hypothetical protein D9Q98_010537 [Chlorella vulgaris], KAI3431762.1 hypothetical protein D9Q98_004804 [Chlorella vulgaris]
OG0001130	KAF8062762.1 LSM5 [Scenedesmus sp. PABB004]	KAI3431746.1 hypothetical protein D9Q98_004788 [Chlorella vulgaris]
OG0001131	KAF8071382.1 SRP68 [Scenedesmus sp. PABB004]	KAI3436731.1 hypothetical protein D9Q98_006146 [Chlorella vulgaris]
OG0001133	KAF8058941.1 tuf [Scenedesmus sp. PABB004]	KAI3436543.1 hypothetical protein D9Q98_005959 [Chlorella vulgaris], KAI3423607.1 hypothetical protein D9Q98_010841 _chloroplast_ [Chlorella vulgaris]
OG0001134	KAF8067210.1 CAND1 [Scenedesmus sp. PABB004]	KAI3438734.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris], KAI3438733.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris]
OG0001135	KAF8066425.1 XBOS36 [Scenedesmus sp. PABB004], KAF8061113.1 hypothetical protein HT031_004574 [Scenedesmus sp. PABB004], KAF8060095.1 RAD51B [Scenedesmus sp. PABB004], KAF8068152.1 hypothetical protein HT031_001838 [Scenedesmus sp. PABB004]	KAI3430763.1 hypothetical protein D9Q98_009175 [Chlorella vulgaris]
OG0001138	KAF8069670.1 histone H3 [Scenedesmus sp. PABB004]	KAI3426974.1 hypothetical protein D9Q98_006918 [Chlorella vulgaris]
OG0001139	KAF8072722.1 mannose-1-phosphate guanylyltransferase [Scenedesmus sp. PABB004]	KAI3429419.1 hypothetical protein D9Q98_005514 [Chlorella vulgaris]
OG0001140	KAF8058876.1 shkD [Scenedesmus sp. PABB004]	KAI3436201.1 hypothetical protein D9Q98_002255 [Chlorella vulgaris]
OG0001142	KAF8066353.1 ISS1 [Scenedesmus sp. PABB004]	KAI3437662.1 hypothetical protein D9Q98_000112 [Chlorella vulgaris]
OG0001143	KAF8073111.1 DEX1 [Scenedesmus sp. PABB004]	KAI3429586.1 hypothetical protein D9Q98_005672 [Chlorella vulgaris]
OG0001144	KAF8073057.1 PXM16 [Scenedesmus sp. PABB004]	KAI3431542.1 hypothetical protein D9Q98_004591 [Chlorella vulgaris]
OG0001145	KAF8073115.1 RFC3 [Scenedesmus sp. PABB004]	KAI3426443.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris], KAI3426442.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris]
OG0001146	KAF8060509.1 hypothetical protein HT031_004685 [Scenedesmus sp. PABB004]	KAI3429611.1 hypothetical protein D9Q98_005697 [Chlorella vulgaris]
OG0001147	KAF8055914.1 hypothetical protein HT031_006553 [Scenedesmus sp. PABB004]	KAI3426224.1 hypothetical protein D9Q98_008600 [Chlorella vulgaris]
OG0001147	KAF8059420.1 SPPL2 [Scenedesmus sp. PABB004]	KAI3426225.1 hypothetical protein D9Q98_008601 [Chlorella vulgaris]
OG0001148	KAF8068423.1 DRC4 [Scenedesmus sp. PABB004]	KAI3426869.1 hypothetical protein D9Q98_006815 [Chlorella vulgaris]
OG0001149	KAF8063672.1 Extracellular serine proteinase [Scenedesmus sp. PABB004], KAF8070919.1 Extracellular serine proteinase [Scenedesmus sp. PABB004], KAF8060579.1 Extracellular serine proteinase [Scenedesmus sp. PABB004]	KAI3425161.1 hypothetical protein D9Q98_008932 [Chlorella vulgaris]
OG0001150	KAF8069619.1 CDC20-2 [Scenedesmus sp. PABB004]	KAI3430400.1 hypothetical protein D9Q98_004995 [Chlorella vulgaris]
OG0001151	KAF8065639.1 hypothetical protein HT031_003240 [Scenedesmus sp. PABB004]	KAI3430694.1 hypothetical protein D9Q98_005283 [Chlorella vulgaris], KAI3425305.1 hypothetical protein D9Q98_009070 [Chlorella vulgaris]
OG0001152	KAF8072364.1 Dhrsx [Scenedesmus sp. PABB004]	KAI3430478.1 hypothetical protein D9Q98_005073 [Chlorella vulgaris]
OG0001153	KAF8060498.1 histidine--tRNA ligase [Scenedesmus sp. PABB004]	KAI3436303.1 hypothetical protein D9Q98_002356 [Chlorella vulgaris]
OG0001156	KAF8073160.1 D2HGDH [Scenedesmus sp. PABB004]	KAI3431689.1 hypothetical protein D9Q98_004735 [Chlorella vulgaris]
OG0001158	KAF8068201.1 SIR1 [Scenedesmus sp. PABB004]	KAI3423845.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris], KAI3423846.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris]
OG0001159	KAF8057771.1 LAP1 [Scenedesmus sp. PABB004]	KAI3433435.1 hypothetical protein D9Q98_003250 [Chlorella vulgaris]
OG0001161	KAF8071349.1 thylakoid lumenal protein [Scenedesmus sp. PABB004]	KAI3437659.1 hypothetical protein D9Q98_000109 [Chlorella vulgaris]
OG0001162	KAF8070876.1 mus-18 [Scenedesmus sp. PABB004]	KAI3435923.1 hypothetical protein D9Q98_001981 [Chlorella vulgaris], KAI3431620.1 hypothetical protein D9Q98_004669 [Chlorella vulgaris]
OG0001165	KAF8068252.1 fdh [Scenedesmus sp. PABB004]	KAI3433570.1 hypothetical protein D9Q98_003381 [Chlorella vulgaris]
OG0001166	KAF8059377.1 hypothetical protein HT031_005182 [Scenedesmus sp. PABB004]	KAI3433574.1 hypothetical protein D9Q98_003385 [Chlorella vulgaris]
OG0001167	KAF8061400.1 pta [Scenedesmus sp. PABB004]	KAI3427945.1 hypothetical protein D9Q98_006335 [Chlorella vulgaris]
OG0001168	KAF8062763.1 hypothetical protein HT031_004093 [Scenedesmus sp. PABB004]	KAI3430254.1 hypothetical protein D9Q98_004850 [Chlorella vulgaris], KAI3430256.1 hypothetical protein D9Q98_004852 [Chlorella vulgaris], KAI3430258.1 hypothetical protein D9Q98_004854 [Chlorella vulgaris]
OG0001169	KAF8062989.1 crop [Scenedesmus sp. PABB004]	KAI3430272.1 hypothetical protein D9Q98_004868 [Chlorella vulgaris], KAI3426039.1 hypothetical protein D9Q98_008007 [Chlorella vulgaris]
OG0001171	KAF8058834.1 Eif2b4 [Scenedesmus sp. PABB004]	KAI3430232.1 hypothetical protein D9Q98_004829 [Chlorella vulgaris]
OG0001173	KAF8063691.1 RH28 [Scenedesmus sp. PABB004]	KAI3424954.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris], KAI3424955.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris]
OG0001174	KAF8066435.1 CAT2 [Scenedesmus sp. PABB004]	KAI3425754.1 hypothetical protein D9Q98_007729 [Chlorella vulgaris]
OG0001175	KAF8057645.1 FUM1 [Scenedesmus sp. PABB004]	KAI3436803.1 hypothetical protein D9Q98_006213 [Chlorella vulgaris]
OG0001176	KAF8064541.1 hypothetical protein HT031_003341 [Scenedesmus sp. PABB004]	KAI3434880.1 hypothetical protein D9Q98_002934 [Chlorella vulgaris]
OG0001177	KAF8068202.1 Ugt3a1 [Scenedesmus sp. PABB004]	KAI3424956.1 hypothetical protein D9Q98_008337 [Chlorella vulgaris]
OG0001180	KAF8071164.1 SOL1 [Scenedesmus sp. PABB004]	KAI3430836.1 hypothetical protein D9Q98_009247 [Chlorella vulgaris]
OG0001182	KAF8065835.1 Nkapl [Scenedesmus sp. PABB004]	KAI3436119.1 hypothetical protein D9Q98_002177 [Chlorella vulgaris], KAI3436120.1 hypothetical protein D9Q98_002178 [Chlorella vulgaris]
OG0001183	KAF8066257.1 CCS1 [Scenedesmus sp. PABB004]	KAI3428303.1 hypothetical protein D9Q98_006682 [Chlorella vulgaris]
OG0001186	KAF8056463.1 RKD3 [Scenedesmus sp. PABB004]	KAI3433313.1 hypothetical protein D9Q98_003131 [Chlorella vulgaris], KAI3433315.1 hypothetical protein D9Q98_003133 [Chlorella vulgaris]
OG0001187	KAF8062757.1 Lip3 [Scenedesmus sp. PABB004]	KAI3435891.1 hypothetical protein D9Q98_001949 [Chlorella vulgaris], KAI3435938.1 hypothetical protein D9Q98_001996 [Chlorella vulgaris]
OG0001188	KAF8061129.1 Apmap [Scenedesmus sp. PABB004]	KAI3438500.1 hypothetical protein D9Q98_000928 [Chlorella vulgaris]
OG0001189	KAF8073182.1 Cndp1 [Scenedesmus sp. PABB004]	KAI3437959.1 hypothetical protein D9Q98_000403 [Chlorella vulgaris]
OG0001190	KAF8065455.1 LPP3 [Scenedesmus sp. PABB004]	KAI3438492.1 hypothetical protein D9Q98_000920 [Chlorella vulgaris]
OG0001191	KAF8056726.1 tbccd1 [Scenedesmus sp. PABB004]	KAI3435495.1 hypothetical protein D9Q98_001561 [Chlorella vulgaris]
OG0001192	KAF8057635.1 hypothetical protein HT031_005984 [Scenedesmus sp. PABB004]	KAI3432218.1 hypothetical protein D9Q98_003780 [Chlorella vulgaris], KAI3432219.1 hypothetical protein D9Q98_003781 [Chlorella vulgaris]
OG0001193	KAF8073176.1 FAH1 [Scenedesmus sp. PABB004]	KAI3426116.1 hypothetical protein D9Q98_008495 [Chlorella vulgaris], KAI3432321.1 hypothetical protein D9Q98_003880 [Chlorella vulgaris]
OG0001194	KAF8055583.1 SDH1 [Scenedesmus sp. PABB004]	KAI3438056.1 hypothetical protein D9Q98_000499 [Chlorella vulgaris]
OG0001195	KAF8072465.1 Ipo9 [Scenedesmus sp. PABB004]	KAI3434732.1 hypothetical protein D9Q98_002793 [Chlorella vulgaris], KAI3434730.1 hypothetical protein D9Q98_002791 [Chlorella vulgaris]
OG0001196	KAF8065548.1 hslU [Scenedesmus sp. PABB004], KAF8072735.1 hslU [Scenedesmus sp. PABB004]	KAI3438396.1 hypothetical protein D9Q98_000828 [Chlorella vulgaris]
OG0001197	KAF8056842.1 speA [Scenedesmus sp. PABB004]	KAI3438411.1 hypothetical protein D9Q98_000842 [Chlorella vulgaris]
OG0001198	KAF8072575.1 poc1a [Scenedesmus sp. PABB004]	KAI3430575.1 hypothetical protein D9Q98_005168 [Chlorella vulgaris]
OG0001199	KAF8068384.1 VSR2 [Scenedesmus sp. PABB004]	KAI3427174.1 hypothetical protein D9Q98_007111 [Chlorella vulgaris], KAI3427246.1 hypothetical protein D9Q98_007180 [Chlorella vulgaris]
OG0001200	KAF8072906.1 ATXR3 [Scenedesmus sp. PABB004]	KAI3436022.1 hypothetical protein D9Q98_002079 [Chlorella vulgaris], KAI3438609.1 hypothetical protein D9Q98_001032 [Chlorella vulgaris]
OG0001201	KAF8073231.1 ALS SURB [Scenedesmus sp. PABB004]	KAI3427431.1 hypothetical protein D9Q98_010346 [Chlorella vulgaris]
OG0001203	KAF8073033.1 Tryptophan--tRNA ligase [Scenedesmus sp. PABB004]	KAI3424193.1 hypothetical protein D9Q98_009549 [Chlorella vulgaris], KAI3424186.1 hypothetical protein D9Q98_009544 [Chlorella vulgaris]
OG0001204	KAF8057878.1 hypothetical protein HT031_005824 [Scenedesmus sp. PABB004]	KAI3430988.1 hypothetical protein D9Q98_009391 [Chlorella vulgaris]
OG0001205	KAF8056000.1 ERD4 [Scenedesmus sp. PABB004]	KAI3425049.1 hypothetical protein D9Q98_008427 [Chlorella vulgaris]
OG0001206	KAF8063854.1 hypothetical protein HT031_003711 [Scenedesmus sp. PABB004]	KAI3430590.1 hypothetical protein D9Q98_005183 [Chlorella vulgaris]
OG0001207	KAF8070858.1 hypothetical protein HT031_000939 [Scenedesmus sp. PABB004]	KAI3436693.1 hypothetical protein D9Q98_006108 [Chlorella vulgaris], KAI3436691.1 hypothetical protein D9Q98_006106 [Chlorella vulgaris]
OG0001208	KAF8065656.1 KIN4A [Scenedesmus sp. PABB004]	KAI3428069.1 hypothetical protein D9Q98_006453 [Chlorella vulgaris]
OG0001210	KAF8063009.1 Kdm4B [Scenedesmus sp. PABB004]	KAI3438771.1 hypothetical protein D9Q98_001189 [Chlorella vulgaris]
OG0001211	KAF8059698.1 csn7 [Scenedesmus sp. PABB004]	KAI3433553.1 hypothetical protein D9Q98_003364 [Chlorella vulgaris], KAI3438388.1 hypothetical protein D9Q98_000820 [Chlorella vulgaris]
OG0001212	KAF8055819.1 hypothetical protein HT031_006594 [Scenedesmus sp. PABB004]	KAI3427115.1 hypothetical protein D9Q98_007052 [Chlorella vulgaris]
OG0001213	KAF8067298.1 CYCB2-1 [Scenedesmus sp. PABB004]	KAI3428073.1 hypothetical protein D9Q98_006457 [Chlorella vulgaris]
OG0001214	KAF8063761.1 KIN5A [Scenedesmus sp. PABB004]	KAI3435881.1 hypothetical protein D9Q98_001939 [Chlorella vulgaris], KAI3427166.1 hypothetical protein D9Q98_007103 [Chlorella vulgaris]
OG0001215	KAF8060009.1 UBP12 [Scenedesmus sp. PABB004]	KAI3432848.1 hypothetical protein D9Q98_010432 [Chlorella vulgaris], KAI3432849.1 hypothetical protein D9Q98_010432 [Chlorella vulgaris]
OG0001216	KAF8062701.1 SPAC3H8.02 [Scenedesmus sp. PABB004]	KAI3432274.1 hypothetical protein D9Q98_003834 [Chlorella vulgaris]
OG0001217	KAF8062897.1 SKD1 [Scenedesmus sp. PABB004]	KAI3424892.1 hypothetical protein D9Q98_008276 [Chlorella vulgaris], KAI3436143.1 hypothetical protein D9Q98_002200 [Chlorella vulgaris]
OG0001219	KAF8073106.1 KIN13B [Scenedesmus sp. PABB004]	KAI3434568.1 hypothetical protein D9Q98_002640 [Chlorella vulgaris], KAI3434487.1 hypothetical protein D9Q98_002563 [Chlorella vulgaris], KAI3434569.1 hypothetical protein D9Q98_002641 [Chlorella vulgaris]
OG0001220	KAF8071109.1 ALB3.2 [Scenedesmus sp. PABB004]	KAI3423012.1 hypothetical protein D9Q98_010855_ partial _mitochondrion_ [Chlorella vulgaris]
OG0001221	KAF8067134.1 SYP32 [Scenedesmus sp. PABB004]	KAI3436879.1 hypothetical protein D9Q98_006287 [Chlorella vulgaris], KAI3436878.1 hypothetical protein D9Q98_006286 [Chlorella vulgaris]
OG0001223	KAF8062096.1 Cwc22 [Scenedesmus sp. PABB004]	KAI3425740.1 hypothetical protein D9Q98_007716 [Chlorella vulgaris]
OG0001224	KAF8068147.1 PNG1 [Scenedesmus sp. PABB004], KAF8055814.1 PNG1 [Scenedesmus sp. PABB004], KAF8054830.1 PNG1 [Scenedesmus sp. PABB004], KAF8057782.1 PNG1 [Scenedesmus sp. PABB004]	KAI3427233.1 hypothetical protein D9Q98_007168 [Chlorella vulgaris]
OG0001227	KAF8071289.1 uhpC [Scenedesmus sp. PABB004]	KAI3429719.1 hypothetical protein D9Q98_010035 [Chlorella vulgaris]
OG0001229	KAF8059136.1 LWD1 [Scenedesmus sp. PABB004]	KAI3425781.1 hypothetical protein D9Q98_007756 [Chlorella vulgaris], KAI3425779.1 hypothetical protein D9Q98_007754 [Chlorella vulgaris]
OG0001231	KAF8060276.1 YPTC5 [Scenedesmus sp. PABB004]	KAI3428669.1 hypothetical protein D9Q98_007492 [Chlorella vulgaris]
OG0001232	KAF8068197.1 CSY3 [Scenedesmus sp. PABB004]	KAI3438889.1 hypothetical protein D9Q98_001304 [Chlorella vulgaris], KAI3438439.1 hypothetical protein D9Q98_000870 [Chlorella vulgaris]
OG0001233	KAF8069410.1 TMN11 [Scenedesmus sp. PABB004]	KAI3428673.1 hypothetical protein D9Q98_007496 [Chlorella vulgaris]
OG0001234	KAF8057651.1 hypothetical protein HT031_006000 [Scenedesmus sp. PABB004]	KAI3425834.1 hypothetical protein D9Q98_007809 [Chlorella vulgaris], KAI3425835.1 hypothetical protein D9Q98_007809 [Chlorella vulgaris]
OG0001235	KAF8057725.1 hypothetical protein HT031_005909 [Scenedesmus sp. PABB004]	KAI3433679.1 hypothetical protein D9Q98_003488 [Chlorella vulgaris], KAI3433675.1 hypothetical protein D9Q98_003484 [Chlorella vulgaris]
OG0001236	KAF8065590.1 hypothetical protein HT031_003191 [Scenedesmus sp. PABB004]	KAI3434485.1 hypothetical protein D9Q98_002561 [Chlorella vulgaris]
OG0001237	KAF8058847.1 CPK10 [Scenedesmus sp. PABB004]	KAI3428064.1 hypothetical protein D9Q98_006448 [Chlorella vulgaris]
OG0001238	KAF8055125.1 ERDJ2A [Scenedesmus sp. PABB004]	KAI3432830.1 hypothetical protein D9Q98_010414 [Chlorella vulgaris]
OG0001240	KAF8064529.1 egl-4 [Scenedesmus sp. PABB004]	KAI3430680.1 hypothetical protein D9Q98_005269 [Chlorella vulgaris], KAI3430681.1 hypothetical protein D9Q98_005270 [Chlorella vulgaris]
OG0001241	KAF8073125.1 hypothetical protein HT031_000786 [Scenedesmus sp. PABB004]	KAI3436720.1 hypothetical protein D9Q98_006135 [Chlorella vulgaris], KAI3423290.1 hypothetical protein D9Q98_010720 [Chlorella vulgaris]
OG0001242	KAF8072790.1 SBT6.1 [Scenedesmus sp. PABB004]	KAI3433796.1 hypothetical protein D9Q98_003601 [Chlorella vulgaris], KAI3433797.1 hypothetical protein D9Q98_003601 [Chlorella vulgaris]
OG0001243	KAF8061307.1 hypothetical protein HT031_004398 [Scenedesmus sp. PABB004]	KAI3433788.1 hypothetical protein D9Q98_003593 [Chlorella vulgaris]
OG0001244	KAF8067170.1 hypothetical protein HT031_002217 [Scenedesmus sp. PABB004]	KAI3433923.1 hypothetical protein D9Q98_003725 [Chlorella vulgaris]
OG0001245	KAF8071241.1 Kcnt2 [Scenedesmus sp. PABB004]	KAI3426389.1 hypothetical protein D9Q98_008760 [Chlorella vulgaris]
OG0001246	KAF8056743.1 glutamate--tRNA ligase [Scenedesmus sp. PABB004]	KAI3424876.1 hypothetical protein D9Q98_008260 [Chlorella vulgaris]
OG0001247	KAF8071240.1 sulfite exporter TauE/SafE family protein 5 [Scenedesmus sp. PABB004], KAF8068213.1 sulfite exporter TauE/SafE family protein 2 [Scenedesmus sp. PABB004]	KAI3426236.1 hypothetical protein D9Q98_008612 [Chlorella vulgaris]
OG0001248	KAF8072982.1 UPL3 [Scenedesmus sp. PABB004]	KAI3426037.1 hypothetical protein D9Q98_008005 [Chlorella vulgaris]
OG0001249	KAF8055390.1 hypothetical protein HT031_006757 [Scenedesmus sp. PABB004]	KAI3438514.1 hypothetical protein D9Q98_000942 [Chlorella vulgaris]
OG0001251	KAF8069457.1 CCR1 [Scenedesmus sp. PABB004]	KAI3423878.1 hypothetical protein D9Q98_009712 [Chlorella vulgaris], KAI3423879.1 hypothetical protein D9Q98_009713 [Chlorella vulgaris]
OG0001252	KAF8057281.1 SP1 [Scenedesmus sp. PABB004]	KAI3434455.1 hypothetical protein D9Q98_002532 [Chlorella vulgaris], KAI3430581.1 hypothetical protein D9Q98_005174 [Chlorella vulgaris]
OG0001253	KAF8061895.1 NAP1 [Scenedesmus sp. PABB004], KAF8057726.1 NAP1 [Scenedesmus sp. PABB004]	KAI3425788.1 hypothetical protein D9Q98_007763 [Chlorella vulgaris]
OG0001255	KAF8055114.1 APUM1 [Scenedesmus sp. PABB004]	KAI3424416.1 hypothetical protein D9Q98_009968 [Chlorella vulgaris], KAI3424417.1 hypothetical protein D9Q98_009969 [Chlorella vulgaris]
OG0001257	KAF8066201.1 FOLB1 [Scenedesmus sp. PABB004]	KAI3436774.1 hypothetical protein D9Q98_006186 [Chlorella vulgaris], KAI3436785.1 hypothetical protein D9Q98_006196 [Chlorella vulgaris]
OG0001260	KAF8068226.1 hypothetical protein HT031_001912 [Scenedesmus sp. PABB004]	KAI3423019.1 hypothetical protein D9Q98_010704 [Chlorella vulgaris], KAI3438958.1 hypothetical protein D9Q98_001372 [Chlorella vulgaris], KAI3423020.1 hypothetical protein D9Q98_010704 [Chlorella vulgaris]
OG0001262	KAF8072844.1 methyltransferase [Scenedesmus sp. PABB004]	KAI3430387.1 hypothetical protein D9Q98_004982 [Chlorella vulgaris], KAI3430395.1 hypothetical protein D9Q98_004990 [Chlorella vulgaris], KAI3430392.1 hypothetical protein D9Q98_004987 [Chlorella vulgaris]
OG0001263	KAF8061401.1 hypothetical protein HT031_004492 [Scenedesmus sp. PABB004], KAF8072463.1 olpB [Scenedesmus sp. PABB004]	KAI3437961.1 hypothetical protein D9Q98_000405 [Chlorella vulgaris]
OG0001264	KAF8057775.1 tropinone reductase [Scenedesmus sp. PABB004], KAF8057855.1 tropinone reductase-like protein [Scenedesmus sp. PABB004]	KAI3438099.1 hypothetical protein D9Q98_000541 [Chlorella vulgaris]
OG0001266	KAF8072728.1 Abca17 [Scenedesmus sp. PABB004]	KAI3425008.1 hypothetical protein D9Q98_008390 [Chlorella vulgaris]
OG0001267	KAF8062806.1 hypothetical protein HT031_004136 [Scenedesmus sp. PABB004]	KAI3438540.1 hypothetical protein D9Q98_000968 [Chlorella vulgaris], KAI3438539.1 hypothetical protein D9Q98_000967 [Chlorella vulgaris]
OG0001268	KAF8062638.1 ssr1 [Scenedesmus sp. PABB004]	KAI3438374.1 hypothetical protein D9Q98_000806 [Chlorella vulgaris], KAI3438373.1 hypothetical protein D9Q98_000805 [Chlorella vulgaris]
OG0001269	KAF8064673.1 hypothetical protein HT031_003475 [Scenedesmus sp. PABB004]	KAI3428277.1 hypothetical protein D9Q98_006656 [Chlorella vulgaris]
