Orthogroup	Chlorella_VariabilisNC64A	Coccomyxa_SubellipsoideaC169
OG0000351	XP_005846183.1 hypothetical protein CHLNCDRAFT_25329_ partial [Chlorella variabilis]	EIE26032.1 nucleic acid-binding protein [Coccomyxa subellipsoidea C-169]
OG0000351	XP_005846328.1 hypothetical protein CHLNCDRAFT_56223 [Chlorella variabilis]	EIE25722.1 nucleic acid-binding protein [Coccomyxa subellipsoidea C-169]
OG0000352	XP_005845791.1 hypothetical protein CHLNCDRAFT_136500 [Chlorella variabilis]	EIE20824.1 choline monooxygenase_ partial [Coccomyxa subellipsoidea C-169], EIE19726.1 choline monooxygenase [Coccomyxa subellipsoidea C-169]
OG0000353	XP_005846842.1 hypothetical protein CHLNCDRAFT_35689 [Chlorella variabilis], XP_005842605.1 hypothetical protein CHLNCDRAFT_16011_ partial [Chlorella variabilis]	EIE24861.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000354	XP_005842621.1 hypothetical protein CHLNCDRAFT_141574_ partial [Chlorella variabilis]	EIE26554.1 starch phosphorylase [Coccomyxa subellipsoidea C-169]
OG0000354	XP_005844455.1 hypothetical protein CHLNCDRAFT_58959 [Chlorella variabilis]	EIE26692.1 glycosyl transferase [Coccomyxa subellipsoidea C-169]
OG0000355	XP_005843184.1 hypothetical protein CHLNCDRAFT_141464 [Chlorella variabilis]	EIE21193.1 hypothetical protein COCSUDRAFT_57105 [Coccomyxa subellipsoidea C-169]
OG0000356	XP_005850419.1 hypothetical protein CHLNCDRAFT_142335 [Chlorella variabilis]	EIE25544.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000356	XP_005850962.1 hypothetical protein CHLNCDRAFT_48551 [Chlorella variabilis]	EIE19868.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000357	XP_005847947.1 hypothetical protein CHLNCDRAFT_145403 [Chlorella variabilis], XP_005850718.1 hypothetical protein CHLNCDRAFT_50436 [Chlorella variabilis], XP_005844729.1 hypothetical protein CHLNCDRAFT_138717 [Chlorella variabilis]	EIE22920.1 hypothetical protein COCSUDRAFT_47742 [Coccomyxa subellipsoidea C-169]
OG0000358	XP_005848456.1 hypothetical protein CHLNCDRAFT_144841 [Chlorella variabilis]	EIE22292.1 ribonuclease III [Coccomyxa subellipsoidea C-169]
OG0000358	XP_005851019.1 hypothetical protein CHLNCDRAFT_140869 [Chlorella variabilis]	EIE19876.1 ribonuclease III [Coccomyxa subellipsoidea C-169]
OG0000359	XP_005844523.1 hypothetical protein CHLNCDRAFT_138919 [Chlorella variabilis]	EIE18980.1 hypothetical protein COCSUDRAFT_45104 [Coccomyxa subellipsoidea C-169]
OG0000360	XP_005848787.1 hypothetical protein CHLNCDRAFT_16992_ partial [Chlorella variabilis]	EIE19536.1 TPT-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000361	XP_005849785.1 expressed protein [Chlorella variabilis]	EIE20553.1 hypothetical protein COCSUDRAFT_67415 [Coccomyxa subellipsoidea C-169]
OG0000362	XP_005846340.1 hypothetical protein CHLNCDRAFT_135759 [Chlorella variabilis]	EIE21693.1 serine/threonine protein kinase 19 [Coccomyxa subellipsoidea C-169]
OG0000362	XP_005847152.1 hypothetical protein CHLNCDRAFT_58089 [Chlorella variabilis]	EIE18303.1 serine/threonine protein kinase 15_ partial [Coccomyxa subellipsoidea C-169]
OG0000363	XP_005852061.1 hypothetical protein CHLNCDRAFT_133057 [Chlorella variabilis], XP_005850270.1 hypothetical protein CHLNCDRAFT_57031 [Chlorella variabilis]	EIE26204.1 E set domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22171.1 E set domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000364	XP_005850940.1 hypothetical protein CHLNCDRAFT_19791_ partial [Chlorella variabilis]	EIE26510.1 DnaJ protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000364	XP_005845878.1 hypothetical protein CHLNCDRAFT_15844_ partial [Chlorella variabilis], XP_005846493.1 hypothetical protein CHLNCDRAFT_53215 [Chlorella variabilis]	EIE22931.1 hypothetical protein COCSUDRAFT_83703 [Coccomyxa subellipsoidea C-169]
OG0000365	XP_005846753.1 hypothetical protein CHLNCDRAFT_52968 [Chlorella variabilis], XP_005850570.1 hypothetical protein CHLNCDRAFT_50241 [Chlorella variabilis], XP_005848779.1 hypothetical protein CHLNCDRAFT_144549 [Chlorella variabilis]	EIE19270.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21932.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE18239.1 hypothetical protein COCSUDRAFT_45501 [Coccomyxa subellipsoidea C-169], EIE26349.1 hypothetical protein COCSUDRAFT_58886 [Coccomyxa subellipsoidea C-169], EIE26186.1 hypothetical protein COCSUDRAFT_65023 [Coccomyxa subellipsoidea C-169], EIE19502.1 hypothetical protein COCSUDRAFT_67923 [Coccomyxa subellipsoidea C-169], EIE25843.1 hypothetical protein COCSUDRAFT_60853 [Coccomyxa subellipsoidea C-169]
OG0000366	XP_005851231.1 hypothetical protein CHLNCDRAFT_33865 [Chlorella variabilis]	EIE22088.1 peptidase S10_ serine carboxypeptidase [Coccomyxa subellipsoidea C-169]
OG0000366	XP_005851227.1 hypothetical protein CHLNCDRAFT_137936 [Chlorella variabilis]	EIE23503.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]
OG0000367	XP_005844530.1 hypothetical protein CHLNCDRAFT_138936 [Chlorella variabilis]	EIE18162.1 pyruvate carboxylase [Coccomyxa subellipsoidea C-169]
OG0000367	XP_005850563.1 hypothetical protein CHLNCDRAFT_140464 [Chlorella variabilis]	EIE21066.1 hypothetical protein COCSUDRAFT_48258 [Coccomyxa subellipsoidea C-169]
OG0000368	XP_005847830.1 expressed protein [Chlorella variabilis]	EIE21994.1 hypothetical protein COCSUDRAFT_53925 [Coccomyxa subellipsoidea C-169]
OG0000369	XP_005843180.1 hypothetical protein CHLNCDRAFT_141455 [Chlorella variabilis], XP_005843181.1 hypothetical protein CHLNCDRAFT_141456 [Chlorella variabilis]	EIE22660.1 hypothetical protein COCSUDRAFT_63802 [Coccomyxa subellipsoidea C-169], EIE20690.1 glutathione S-transferase-like protein [Coccomyxa subellipsoidea C-169], EIE22659.1 hypothetical protein COCSUDRAFT_63801 [Coccomyxa subellipsoidea C-169]
OG0000369	XP_005849684.1 hypothetical protein CHLNCDRAFT_143262 [Chlorella variabilis]	EIE19485.1 dehydroascorbate reductase [Coccomyxa subellipsoidea C-169], EIE18632.1 DEHYDROASCORBATE reductase [Coccomyxa subellipsoidea C-169]
OG0000370	XP_005843889.1 hypothetical protein CHLNCDRAFT_59118_ partial [Chlorella variabilis]	EIE23491.1 hypothetical protein COCSUDRAFT_65942 [Coccomyxa subellipsoidea C-169]
OG0000371	XP_005850581.1 hypothetical protein CHLNCDRAFT_6949_ partial [Chlorella variabilis]	EIE26522.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000371	XP_005849481.1 hypothetical protein CHLNCDRAFT_142774 [Chlorella variabilis]	EIE20368.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000372	XP_005850810.1 hypothetical protein CHLNCDRAFT_140350 [Chlorella variabilis]	EIE26738.1 sugar nucleotide epimerase [Coccomyxa subellipsoidea C-169]
OG0000373	XP_005850589.1 hypothetical protein CHLNCDRAFT_140514 [Chlorella variabilis]	EIE19629.1 hypothetical protein COCSUDRAFT_19247_ partial [Coccomyxa subellipsoidea C-169]
OG0000373	XP_005845699.1 hypothetical protein CHLNCDRAFT_136822 [Chlorella variabilis]	EIE19148.1 hypothetical protein COCSUDRAFT_59631 [Coccomyxa subellipsoidea C-169], EIE20488.1 hypothetical protein COCSUDRAFT_43923 [Coccomyxa subellipsoidea C-169]
OG0000374	XP_005849751.1 hypothetical protein CHLNCDRAFT_34609 [Chlorella variabilis]	EIE21055.1 shikimate kinase_ partial [Coccomyxa subellipsoidea C-169], EIE20400.1 SKI-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000374	XP_005849750.1 hypothetical protein CHLNCDRAFT_21051_ partial [Chlorella variabilis]	EIE20556.1 NADH_ubiquinone oxidoreductase 76 kDa subunit_ partial [Coccomyxa subellipsoidea C-169]
OG0000375	XP_005846709.1 hypothetical protein CHLNCDRAFT_8428_ partial [Chlorella variabilis]	EIE24853.1 4-aminobutyrate aminotransferase [Coccomyxa subellipsoidea C-169]
OG0000375	XP_005846575.1 hypothetical protein CHLNCDRAFT_52919 [Chlorella variabilis]	EIE24712.1 hypothetical protein COCSUDRAFT_14147 [Coccomyxa subellipsoidea C-169]
OG0000376	XP_005842701.1 hypothetical protein CHLNCDRAFT_136271_ partial [Chlorella variabilis]	EIE23811.1 hypothetical protein COCSUDRAFT_47447 [Coccomyxa subellipsoidea C-169]
OG0000376	XP_005848407.1 hypothetical protein CHLNCDRAFT_22296_ partial [Chlorella variabilis]	EIE20908.1 hypothetical protein COCSUDRAFT_18099_ partial [Coccomyxa subellipsoidea C-169]
OG0000377	XP_005851388.1 hypothetical protein CHLNCDRAFT_137626 [Chlorella variabilis]	EIE20788.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000378	XP_005848878.1 hypothetical protein CHLNCDRAFT_144260 [Chlorella variabilis], XP_005848877.1 hypothetical protein CHLNCDRAFT_144259 [Chlorella variabilis], XP_005847697.1 hypothetical protein CHLNCDRAFT_134129 [Chlorella variabilis], XP_005847695.1 hypothetical protein CHLNCDRAFT_57899 [Chlorella variabilis], XP_005848879.1 hypothetical protein CHLNCDRAFT_144261 [Chlorella variabilis]	EIE23940.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19807.1 cytochrome P450_ partial [Coccomyxa subellipsoidea C-169]
OG0000379	XP_005851202.1 expressed protein [Chlorella variabilis]	EIE27548.1 hypothetical protein COCSUDRAFT_64284 [Coccomyxa subellipsoidea C-169]
OG0000379	XP_005851201.1 hypothetical protein CHLNCDRAFT_137883 [Chlorella variabilis]	EIE21984.1 hypothetical protein COCSUDRAFT_56427 [Coccomyxa subellipsoidea C-169]
OG0000379	XP_005848801.1 hypothetical protein CHLNCDRAFT_11543_ partial [Chlorella variabilis]	EIE21580.1 DNA glycosylase_ partial [Coccomyxa subellipsoidea C-169]
OG0000381	XP_005846194.1 hypothetical protein CHLNCDRAFT_136216 [Chlorella variabilis]	EIE27088.1 hypothetical protein COCSUDRAFT_52073 [Coccomyxa subellipsoidea C-169]
OG0000381	XP_005846195.1 hypothetical protein CHLNCDRAFT_136217 [Chlorella variabilis]	EIE23498.1 hypothetical protein COCSUDRAFT_63036 [Coccomyxa subellipsoidea C-169]
OG0000382	XP_005852238.1 hypothetical protein CHLNCDRAFT_33654 [Chlorella variabilis]	EIE18933.1 hypothetical protein COCSUDRAFT_20175_ partial [Coccomyxa subellipsoidea C-169], EIE24199.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000382	XP_005847206.1 hypothetical protein CHLNCDRAFT_24374 [Chlorella variabilis]	EIE20872.1 putative mannosyl-oligosaccharide 1_2-alpha-mannosidase [Coccomyxa subellipsoidea C-169]
OG0000383	XP_005851508.1 hypothetical protein CHLNCDRAFT_48478 [Chlorella variabilis]	EIE24663.1 uncoupling protein [Coccomyxa subellipsoidea C-169]
OG0000384	XP_005847320.1 hypothetical protein CHLNCDRAFT_52598 [Chlorella variabilis]	EIE23289.1 hypothetical protein COCSUDRAFT_42188 [Coccomyxa subellipsoidea C-169]
OG0000385	XP_005843156.1 hypothetical protein CHLNCDRAFT_141564 [Chlorella variabilis]	EIE19213.1 hypothetical protein COCSUDRAFT_68016 [Coccomyxa subellipsoidea C-169]
OG0000385	XP_005843969.1 hypothetical protein CHLNCDRAFT_32962 [Chlorella variabilis]	EIE19105.1 soluble inorganic pyrophosphatase 2 [Coccomyxa subellipsoidea C-169]
OG0000386	XP_005848278.1 hypothetical protein CHLNCDRAFT_144890 [Chlorella variabilis], XP_005851161.1 hypothetical protein CHLNCDRAFT_137776 [Chlorella variabilis]	EIE21895.1 glutathione synthetase ATP-binding domain-like protein [Coccomyxa subellipsoidea C-169]
OG0000386	XP_005845470.1 hypothetical protein CHLNCDRAFT_137125 [Chlorella variabilis]	EIE19442.1 ALAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000387	XP_005846658.1 hypothetical protein CHLNCDRAFT_135352_ partial [Chlorella variabilis]	EIE22722.1 hypothetical protein COCSUDRAFT_63858 [Coccomyxa subellipsoidea C-169]
OG0000388	XP_005844539.1 hypothetical protein CHLNCDRAFT_138964 [Chlorella variabilis]	EIE25342.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000388	XP_005843549.1 hypothetical protein CHLNCDRAFT_55078 [Chlorella variabilis]	EIE22461.1 hypothetical protein COCSUDRAFT_56144 [Coccomyxa subellipsoidea C-169], EIE22025.1 hypothetical protein COCSUDRAFT_48031 [Coccomyxa subellipsoidea C-169]
OG0000389	XP_005851473.1 hypothetical protein CHLNCDRAFT_137841 [Chlorella variabilis]	EIE19086.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000389	XP_005844949.1 hypothetical protein CHLNCDRAFT_138311 [Chlorella variabilis]	EIE23802.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000390	XP_005844467.1 hypothetical protein CHLNCDRAFT_138794 [Chlorella variabilis]	EIE24820.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000390	XP_005844468.1 hypothetical protein CHLNCDRAFT_138795 [Chlorella variabilis]	EIE24812.1 radical SAM enzyme [Coccomyxa subellipsoidea C-169]
OG0000391	XP_005851386.1 hypothetical protein CHLNCDRAFT_137622 [Chlorella variabilis]	EIE26155.1 hypothetical protein COCSUDRAFT_40298 [Coccomyxa subellipsoidea C-169]
OG0000392	XP_005851585.1 hypothetical protein CHLNCDRAFT_48490 [Chlorella variabilis]	EIE24338.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000393	XP_005851853.1 hypothetical protein CHLNCDRAFT_133374 [Chlorella variabilis]	EIE22951.1 hypothetical protein COCSUDRAFT_41963 [Coccomyxa subellipsoidea C-169]
OG0000394	XP_005852179.1 hypothetical protein CHLNCDRAFT_133375 [Chlorella variabilis]	EIE24132.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000396	XP_005842757.1 hypothetical protein CHLNCDRAFT_37743_ partial [Chlorella variabilis], XP_005849041.1 hypothetical protein CHLNCDRAFT_143478 [Chlorella variabilis]	EIE25996.1 NADP-dependent glyceraldehyde-3-phosphate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000396	XP_005844416.1 hypothetical protein CHLNCDRAFT_26961_ partial [Chlorella variabilis]	EIE24984.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000398	XP_005844213.1 hypothetical protein CHLNCDRAFT_139417 [Chlorella variabilis], XP_005843546.1 hypothetical protein CHLNCDRAFT_33034 [Chlorella variabilis]	EIE21194.1 hypothetical protein COCSUDRAFT_43516 [Coccomyxa subellipsoidea C-169]
OG0000404	XP_005847137.1 hypothetical protein CHLNCDRAFT_24051 [Chlorella variabilis]	EIE27358.1 lipoic acid synthetase [Coccomyxa subellipsoidea C-169]
OG0000404	XP_005848552.1 hypothetical protein CHLNCDRAFT_10627_ partial [Chlorella variabilis]	EIE19748.1 Lipoyl synthase [Coccomyxa subellipsoidea C-169]
OG0000405	XP_005849429.1 hypothetical protein CHLNCDRAFT_143971 [Chlorella variabilis]	EIE23272.1 FAD/NAD_P_-binding domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE21026.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000406	XP_005846894.1 hypothetical protein CHLNCDRAFT_52747 [Chlorella variabilis]	EIE18935.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000407	XP_005842866.1 hypothetical protein CHLNCDRAFT_59450 [Chlorella variabilis]	EIE19237.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000407	XP_005844175.1 hypothetical protein CHLNCDRAFT_32668 [Chlorella variabilis]	EIE26382.1 Pkinase-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000408	XP_005845028.1 hypothetical protein CHLNCDRAFT_137251 [Chlorella variabilis]	EIE22001.1 SE-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000409	XP_005843995.1 hypothetical protein CHLNCDRAFT_139487 [Chlorella variabilis], XP_005844689.1 hypothetical protein CHLNCDRAFT_49080 [Chlorella variabilis], XP_005851829.1 hypothetical protein CHLNCDRAFT_56532 [Chlorella variabilis]	EIE24776.1 hypothetical protein COCSUDRAFT_53066 [Coccomyxa subellipsoidea C-169]
OG0000410	XP_005842660.1 hypothetical protein CHLNCDRAFT_138759_ partial [Chlorella variabilis]	EIE26771.1 hypothetical protein COCSUDRAFT_64651 [Coccomyxa subellipsoidea C-169], EIE20484.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000411	XP_005851894.1 hypothetical protein CHLNCDRAFT_56579 [Chlorella variabilis]	EIE24345.1 GINS complex_ Psf1 component_ partial [Coccomyxa subellipsoidea C-169]
OG0000411	XP_005852225.1 expressed protein_ partial [Chlorella variabilis]	EIE20387.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE26967.1 hypothetical protein COCSUDRAFT_39910 [Coccomyxa subellipsoidea C-169]
OG0000412	XP_005843796.1 hypothetical protein CHLNCDRAFT_139944 [Chlorella variabilis]	EIE19293.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000413	XP_005848353.1 hypothetical protein CHLNCDRAFT_35190 [Chlorella variabilis], XP_005849748.1 hypothetical protein CHLNCDRAFT_48629 [Chlorella variabilis]	EIE22226.1 plastid acyl-ACP desaturase [Coccomyxa subellipsoidea C-169]
OG0000414	XP_005852062.1 hypothetical protein CHLNCDRAFT_133059 [Chlorella variabilis]	EIE21596.1 hypothetical protein COCSUDRAFT_17381_ partial [Coccomyxa subellipsoidea C-169]
OG0000415	XP_005843073.1 hypothetical protein CHLNCDRAFT_28531 [Chlorella variabilis]	EIE19949.1 DUF55-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000415	XP_005848408.1 hypothetical protein CHLNCDRAFT_144716 [Chlorella variabilis], XP_005846782.1 hypothetical protein CHLNCDRAFT_135296 [Chlorella variabilis]	EIE22509.1 hypothetical protein COCSUDRAFT_83466 [Coccomyxa subellipsoidea C-169]
OG0000416	XP_005851977.1 hypothetical protein CHLNCDRAFT_49305 [Chlorella variabilis], XP_005852109.1 hypothetical protein CHLNCDRAFT_133175 [Chlorella variabilis]	EIE21264.1 malate synthase [Coccomyxa subellipsoidea C-169]
OG0000418	XP_005849660.1 hypothetical protein CHLNCDRAFT_34770 [Chlorella variabilis]	EIE22910.1 ATP-dependent metallopeptidase Hfl [Coccomyxa subellipsoidea C-169]
OG0000418	XP_005850396.1 hypothetical protein CHLNCDRAFT_142278 [Chlorella variabilis]	EIE25196.1 ATP-dependent metallopeptidase Hfl [Coccomyxa subellipsoidea C-169]
OG0000419	XP_005842770.1 hypothetical protein CHLNCDRAFT_28877_ partial [Chlorella variabilis]	EIE18181.1 PIP5K-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000419	XP_005848192.1 hypothetical protein CHLNCDRAFT_145618 [Chlorella variabilis]	EIE18182.1 PIP5K-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000420	XP_005852239.1 hypothetical protein CHLNCDRAFT_56592 [Chlorella variabilis], XP_005846324.1 hypothetical protein CHLNCDRAFT_36096 [Chlorella variabilis]	EIE27603.1 Rh-like protein/ammonium transporter [Coccomyxa subellipsoidea C-169], EIE23179.1 ammonium transporter [Coccomyxa subellipsoidea C-169]
OG0000421	XP_005846968.1 hypothetical protein CHLNCDRAFT_134943 [Chlorella variabilis]	EIE20513.1 light-harvesting complex I protein [Coccomyxa subellipsoidea C-169]
OG0000421	XP_005849804.1 hypothetical protein CHLNCDRAFT_59626 [Chlorella variabilis]	EIE20515.1 light harvesting complex a protein [Coccomyxa subellipsoidea C-169]
OG0000422	XP_005850935.1 hypothetical protein CHLNCDRAFT_59583 [Chlorella variabilis]	EIE26573.1 sar-type small GTPase [Coccomyxa subellipsoidea C-169]
OG0000422	XP_005850936.1 hypothetical protein CHLNCDRAFT_20118 [Chlorella variabilis]	EIE26572.1 urate oxidase II [Coccomyxa subellipsoidea C-169]
OG0000423	XP_005845688.1 hypothetical protein CHLNCDRAFT_56262 [Chlorella variabilis]	EIE19964.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000423	XP_005845046.1 hypothetical protein CHLNCDRAFT_32311_ partial [Chlorella variabilis]	EIE22720.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000426	XP_005846273.1 hypothetical protein CHLNCDRAFT_135599 [Chlorella variabilis]	EIE26688.1 heavy metal P-type ATPase [Coccomyxa subellipsoidea C-169]
OG0000426	XP_005852165.1 hypothetical protein CHLNCDRAFT_49546 [Chlorella variabilis]	EIE22528.1 copper-translocating P-t [Coccomyxa subellipsoidea C-169]
OG0000427	XP_005849708.1 hypothetical protein CHLNCDRAFT_20797 [Chlorella variabilis]	EIE19446.1 sarcosine oxidase_ partial [Coccomyxa subellipsoidea C-169]
OG0000427	XP_005849967.1 hypothetical protein CHLNCDRAFT_143333 [Chlorella variabilis]	EIE24606.1 protein-tyrosine phosphatase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000428	XP_005849867.1 hypothetical protein CHLNCDRAFT_143079 [Chlorella variabilis]	EIE23367.1 hypothetical protein COCSUDRAFT_62905 [Coccomyxa subellipsoidea C-169]
OG0000428	XP_005844945.1 hypothetical protein CHLNCDRAFT_138295 [Chlorella variabilis], XP_005852111.1 expressed protein [Chlorella variabilis], XP_005844946.1 hypothetical protein CHLNCDRAFT_138296 [Chlorella variabilis]	EIE25877.1 hypothetical protein COCSUDRAFT_40121 [Coccomyxa subellipsoidea C-169]
OG0000429	XP_005846382.1 hypothetical protein CHLNCDRAFT_58327 [Chlorella variabilis]	EIE26860.1 putative lipoamide dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000429	XP_005846556.1 hypothetical protein CHLNCDRAFT_56232 [Chlorella variabilis]	EIE26836.1 hypothetical protein COCSUDRAFT_27259 [Coccomyxa subellipsoidea C-169]
OG0000430	XP_005844653.1 hypothetical protein CHLNCDRAFT_138525 [Chlorella variabilis]	EIE27148.1 hypothetical protein COCSUDRAFT_55172 [Coccomyxa subellipsoidea C-169]
OG0000431	XP_005847566.1 hypothetical protein CHLNCDRAFT_133810 [Chlorella variabilis]	EIE19127.1 urea carboxylase [Coccomyxa subellipsoidea C-169]
OG0000431	XP_005849442.1 hypothetical protein CHLNCDRAFT_142698 [Chlorella variabilis]	EIE22917.1 hypothetical protein COCSUDRAFT_64037 [Coccomyxa subellipsoidea C-169]
OG0000432	XP_005849879.1 hypothetical protein CHLNCDRAFT_20786 [Chlorella variabilis]	EIE24610.1 hypothetical protein COCSUDRAFT_40961 [Coccomyxa subellipsoidea C-169]
OG0000433	XP_005843672.1 hypothetical protein CHLNCDRAFT_27784 [Chlorella variabilis], XP_005846209.1 hypothetical protein CHLNCDRAFT_25301_ partial [Chlorella variabilis]	EIE19211.1 UPF0016-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000433	XP_005845932.1 hypothetical protein CHLNCDRAFT_13086_ partial [Chlorella variabilis]	EIE20305.1 LexA/Signal peptidase_ partial [Coccomyxa subellipsoidea C-169]
OG0000434	XP_005851347.1 hypothetical protein CHLNCDRAFT_50121 [Chlorella variabilis], XP_005851346.1 hypothetical protein CHLNCDRAFT_138237 [Chlorella variabilis]	EIE21884.1 class I glutamine amidotransferase-like protein [Coccomyxa subellipsoidea C-169], EIE23769.1 class I glutamine amidotransferase-like protein [Coccomyxa subellipsoidea C-169], EIE26307.1 class I glutamine amidotransferase-like protein [Coccomyxa subellipsoidea C-169], EIE26245.1 ThiJ/PfpI domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000435	XP_005850041.1 hypothetical protein CHLNCDRAFT_142036 [Chlorella variabilis]	EIE25244.1 hypothetical protein COCSUDRAFT_40551 [Coccomyxa subellipsoidea C-169]
OG0000436	XP_005852211.1 hypothetical protein CHLNCDRAFT_133452 [Chlorella variabilis], XP_005849637.1 hypothetical protein CHLNCDRAFT_21385_ partial [Chlorella variabilis]	EIE20308.1 regulator of ribonuclease activity [Coccomyxa subellipsoidea C-169], EIE20306.1 regulator of ribonuclease activity [Coccomyxa subellipsoidea C-169]
OG0000437	XP_005847630.1 hypothetical protein CHLNCDRAFT_52345 [Chlorella variabilis]	EIE20885.1 hypothetical protein COCSUDRAFT_48449 [Coccomyxa subellipsoidea C-169]
OG0000438	XP_005847358.1 expressed protein [Chlorella variabilis], XP_005846202.1 hypothetical protein CHLNCDRAFT_136236 [Chlorella variabilis]	EIE25540.1 hypothetical protein COCSUDRAFT_13377 [Coccomyxa subellipsoidea C-169], EIE24703.1 hypothetical protein COCSUDRAFT_14419 [Coccomyxa subellipsoidea C-169], EIE18048.1 hypothetical protein COCSUDRAFT_21038_ partial [Coccomyxa subellipsoidea C-169], EIE18080.1 hypothetical protein COCSUDRAFT_31853 [Coccomyxa subellipsoidea C-169], EIE18099.1 hypothetical protein COCSUDRAFT_34638 [Coccomyxa subellipsoidea C-169]
OG0000439	XP_005848438.1 hypothetical protein CHLNCDRAFT_144797 [Chlorella variabilis], XP_005849159.1 hypothetical protein CHLNCDRAFT_143799 [Chlorella variabilis], XP_005844123.1 hypothetical protein CHLNCDRAFT_139592 [Chlorella variabilis]	EIE24619.1 hypothetical protein COCSUDRAFT_14028 [Coccomyxa subellipsoidea C-169]
OG0000440	XP_005842947.1 hypothetical protein CHLNCDRAFT_28672_ partial [Chlorella variabilis]	EIE24580.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000441	XP_005847391.1 hypothetical protein CHLNCDRAFT_52469 [Chlorella variabilis], XP_005846339.1 hypothetical protein CHLNCDRAFT_25065_ partial [Chlorella variabilis]	EIE22909.1 putative glutamate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000442	XP_005852072.1 hypothetical protein CHLNCDRAFT_6734_ partial [Chlorella variabilis]	EIE24515.1 hypothetical protein COCSUDRAFT_14487 [Coccomyxa subellipsoidea C-169]
OG0000442	XP_005851974.1 hypothetical protein CHLNCDRAFT_6787_ partial [Chlorella variabilis]	EIE27061.1 hypothetical protein COCSUDRAFT_34675 [Coccomyxa subellipsoidea C-169], EIE20329.1 hypothetical protein COCSUDRAFT_30877 [Coccomyxa subellipsoidea C-169]
OG0000443	XP_005844006.1 hypothetical protein CHLNCDRAFT_27314 [Chlorella variabilis], XP_005844009.1 hypothetical protein CHLNCDRAFT_54762 [Chlorella variabilis], XP_005844004.1 hypothetical protein CHLNCDRAFT_139527 [Chlorella variabilis]	EIE23707.1 chorismate mutase [Coccomyxa subellipsoidea C-169]
