Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Sorokiniana1602
OG0000397	XP_005846166.1 hypothetical protein CHLNCDRAFT_58394 [Chlorella variabilis]	PRW39083.1 extracellular endoglucanase precursor [Chlorella sorokiniana], PRW39190.1 non-catalytic module family expn [Chlorella sorokiniana]
OG0000398	XP_005844515.1 hypothetical protein CHLNCDRAFT_138890 [Chlorella variabilis], XP_005851843.1 hypothetical protein CHLNCDRAFT_133347 [Chlorella variabilis]	PRW61189.1 KDEL motif-containing 2 Flags_Precursor [Chlorella sorokiniana]
OG0000398	XP_005844213.1 hypothetical protein CHLNCDRAFT_139417 [Chlorella variabilis]	PRW57939.1 KDEL motif-containing 1 [Chlorella sorokiniana]
OG0000404	XP_005847137.1 hypothetical protein CHLNCDRAFT_24051 [Chlorella variabilis]	PRW57176.1 Lipoyl mitochondrial [Chlorella sorokiniana]
OG0000404	XP_005848552.1 hypothetical protein CHLNCDRAFT_10627_ partial [Chlorella variabilis]	PRW45248.1 Lipoyl chloroplastic [Chlorella sorokiniana]
OG0000405	XP_005845359.1 hypothetical protein CHLNCDRAFT_137177 [Chlorella variabilis]	PRW59887.1 class IV [Chlorella sorokiniana]
OG0000405	XP_005849429.1 hypothetical protein CHLNCDRAFT_143971 [Chlorella variabilis]	PRW58015.1 zeaxanthin chloroplastic-like [Chlorella sorokiniana]
OG0000406	XP_005846894.1 hypothetical protein CHLNCDRAFT_52747 [Chlorella variabilis]	PRW57362.1 Hypoxia-inducible factor 1-alpha inhibitor [Chlorella sorokiniana]
OG0000407	XP_005842866.1 hypothetical protein CHLNCDRAFT_59450 [Chlorella variabilis]	PRW61311.1 Calcium-dependent kinase 29 [Chlorella sorokiniana]
OG0000407	XP_005844175.1 hypothetical protein CHLNCDRAFT_32668 [Chlorella variabilis]	PRW61373.1 Pkinase-domain-containing [Chlorella sorokiniana]
OG0000408	XP_005845135.1 hypothetical protein CHLNCDRAFT_26194 [Chlorella variabilis], XP_005845028.1 hypothetical protein CHLNCDRAFT_137251 [Chlorella variabilis]	PRW45481.1 arginine--tRNA chloroplastic mitochondrial-like isoform X2 isoform B [Chlorella sorokiniana], PRW45480.1 arginine--tRNA chloroplastic mitochondrial-like isoform X2 isoform A [Chlorella sorokiniana]
OG0000409	XP_005843995.1 hypothetical protein CHLNCDRAFT_139487 [Chlorella variabilis]	PRW32994.1 phosphoenolpyruvate carboxykinase [ATP]-like [Chlorella sorokiniana]
OG0000409	XP_005844689.1 hypothetical protein CHLNCDRAFT_49080 [Chlorella variabilis]	PRW05911.1 phosphoenolpyruvate carboxykinase [Chlorella sorokiniana]
OG0000409	XP_005851829.1 hypothetical protein CHLNCDRAFT_56532 [Chlorella variabilis]	PRW60345.1 phosphoenolpyruvate carboxykinase [Chlorella sorokiniana]
OG0000410	XP_005849499.1 hypothetical protein CHLNCDRAFT_142819 [Chlorella variabilis]	PRW59062.1 Sn1-specific diacylglycerol lipase beta [Chlorella sorokiniana]
OG0000410	XP_005842660.1 hypothetical protein CHLNCDRAFT_138759_ partial [Chlorella variabilis]	PRW59197.1 Sn1-specific diacylglycerol lipase beta isoform A [Chlorella sorokiniana], PRW59196.1 Sn1-specific diacylglycerol lipase beta isoform B [Chlorella sorokiniana]
OG0000411	XP_005851894.1 hypothetical protein CHLNCDRAFT_56579 [Chlorella variabilis]	PRW60599.1 DNA replication complex GINS PSF1 isoform X1 [Chlorella sorokiniana], PRW60389.1 hypothetical protein C2E21_1164 [Chlorella sorokiniana]
OG0000411	XP_005852225.1 expressed protein_ partial [Chlorella variabilis]	PRW60301.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW60300.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]
OG0000412	XP_005843796.1 hypothetical protein CHLNCDRAFT_139944 [Chlorella variabilis]	PRW58841.1 ABC transporter I family member 19-like [Chlorella sorokiniana]
OG0000412	XP_005844481.1 hypothetical protein CHLNCDRAFT_26750_ partial [Chlorella variabilis]	PRW20596.1 ABC transporter I family member 20 [Chlorella sorokiniana]
OG0000413	XP_005848353.1 hypothetical protein CHLNCDRAFT_35190 [Chlorella variabilis]	PRW44938.1 plastid acyl-ACP desaturase [Chlorella sorokiniana]
OG0000413	XP_005849748.1 hypothetical protein CHLNCDRAFT_48629 [Chlorella variabilis]	PRW59282.1 Acyl-[acyl-carrier] desaturase chloroplastic [Chlorella sorokiniana]
OG0000414	XP_005843950.1 hypothetical protein CHLNCDRAFT_37217 [Chlorella variabilis]	PRW20665.1 glycosyltransferase family 77 [Chlorella sorokiniana]
OG0000415	XP_005843073.1 hypothetical protein CHLNCDRAFT_28531 [Chlorella variabilis]	PRW44949.1 thymocyte nuclear 1 [Chlorella sorokiniana]
OG0000415	XP_005848408.1 hypothetical protein CHLNCDRAFT_144716 [Chlorella variabilis], XP_005846782.1 hypothetical protein CHLNCDRAFT_135296 [Chlorella variabilis]	PRW33317.1 crossover junction endonuclease MUS81-like [Chlorella sorokiniana]
OG0000416	XP_005851977.1 hypothetical protein CHLNCDRAFT_49305 [Chlorella variabilis]	PRW60560.1 malate synthase A isoform B [Chlorella sorokiniana], PRW60559.1 malate synthase A isoform A [Chlorella sorokiniana]
OG0000416	XP_005852109.1 hypothetical protein CHLNCDRAFT_133175 [Chlorella variabilis]	PRW60196.1 Malate synthase [Chlorella sorokiniana]
OG0000418	XP_005849660.1 hypothetical protein CHLNCDRAFT_34770 [Chlorella variabilis]	PRW58928.1 Cell division protease ftsH isoform 1 [Chlorella sorokiniana]
OG0000418	XP_005850396.1 hypothetical protein CHLNCDRAFT_142278 [Chlorella variabilis]	PRW56441.1 hypothetical protein C2E21_4760 [Chlorella sorokiniana]
OG0000419	XP_005842770.1 hypothetical protein CHLNCDRAFT_28877_ partial [Chlorella variabilis]	PRW20831.1 Phosphatidylinositol 4-phosphate 5-kinase 2 isoform B [Chlorella sorokiniana], PRW20830.1 Phosphatidylinositol 4-phosphate 5-kinase 2 isoform A [Chlorella sorokiniana]
OG0000419	XP_005848192.1 hypothetical protein CHLNCDRAFT_145618 [Chlorella variabilis]	PRW20798.1 phosphatidylinositol 4-phosphate 5-kinase 9-like [Chlorella sorokiniana]
OG0000420	XP_005846324.1 hypothetical protein CHLNCDRAFT_36096 [Chlorella variabilis]	PRW59700.1 ammonium transporter [Chlorella sorokiniana]
OG0000421	XP_005846968.1 hypothetical protein CHLNCDRAFT_134943 [Chlorella variabilis]	PRW56910.1 light-harvesting of photosystem I [Chlorella sorokiniana]
OG0000421	XP_005849804.1 hypothetical protein CHLNCDRAFT_59626 [Chlorella variabilis]	PRW59323.1 light-harvesting of photosystem I [Chlorella sorokiniana]
OG0000422	XP_005850935.1 hypothetical protein CHLNCDRAFT_59583 [Chlorella variabilis]	PRW56257.1 GTP-binding SAR1A-like [Chlorella sorokiniana]
OG0000422	XP_005850936.1 hypothetical protein CHLNCDRAFT_20118 [Chlorella variabilis]	PRW56232.1 urate oxidase [Chlorella sorokiniana]
OG0000423	XP_005845688.1 hypothetical protein CHLNCDRAFT_56262 [Chlorella variabilis]	PRW61018.1 cyclin-dependent kinase G-2-like isoform X1 [Chlorella sorokiniana]
OG0000424	XP_005849447.1 hypothetical protein CHLNCDRAFT_57178 [Chlorella variabilis]	PRW57231.1 Membrane transporter [Chlorella sorokiniana]
OG0000424	XP_005844462.1 hypothetical protein CHLNCDRAFT_138776 [Chlorella variabilis]	PRW33056.1 F-box [Chlorella sorokiniana]
OG0000425	XP_005849777.1 hypothetical protein CHLNCDRAFT_57211 [Chlorella variabilis]	PRW59133.1 ABC transporter A family member 2 [Chlorella sorokiniana]
OG0000425	XP_005846724.1 hypothetical protein CHLNCDRAFT_135156 [Chlorella variabilis]	PRW58771.1 ABC transporter A family member 2 [Chlorella sorokiniana]
OG0000426	XP_005846273.1 hypothetical protein CHLNCDRAFT_135599 [Chlorella variabilis]	PRW60881.1 heavy metal P-type ATPase [Chlorella sorokiniana]
OG0000426	XP_005852165.1 hypothetical protein CHLNCDRAFT_49546 [Chlorella variabilis]	PRW60667.1 heavy metal P-type ATPase [Chlorella sorokiniana]
OG0000427	XP_005849708.1 hypothetical protein CHLNCDRAFT_20797 [Chlorella variabilis], XP_005849967.1 hypothetical protein CHLNCDRAFT_143333 [Chlorella variabilis]	PRW58765.1 N-methyltryptophan oxidase isoform C [Chlorella sorokiniana], PRW58766.1 N-methyltryptophan oxidase isoform B [Chlorella sorokiniana], PRW58764.1 N-methyltryptophan oxidase isoform A [Chlorella sorokiniana]
OG0000428	XP_005844945.1 hypothetical protein CHLNCDRAFT_138295 [Chlorella variabilis], XP_005852111.1 expressed protein [Chlorella variabilis], XP_005844946.1 hypothetical protein CHLNCDRAFT_138296 [Chlorella variabilis]	PRW33232.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana], PRW33231.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana]
OG0000429	XP_005846382.1 hypothetical protein CHLNCDRAFT_58327 [Chlorella variabilis]	PRW59667.1 Dihydrolipoyl dehydrogenase [Chlorella sorokiniana]
OG0000429	XP_005846556.1 hypothetical protein CHLNCDRAFT_56232 [Chlorella variabilis]	PRW18293.1 putative bifunctional methylthioribulose-1-phosphate dehydratase enolase-phosphatase E1 [Chlorella sorokiniana]
OG0000430	XP_005844653.1 hypothetical protein CHLNCDRAFT_138525 [Chlorella variabilis]	PRW21028.1 Transcription initiation factor TFIID subunit 2 [Chlorella sorokiniana]
OG0000431	XP_005847566.1 hypothetical protein CHLNCDRAFT_133810 [Chlorella variabilis]	PRW20738.1 urea carboxylase [Chlorella sorokiniana]
OG0000431	XP_005849442.1 hypothetical protein CHLNCDRAFT_142698 [Chlorella variabilis]	PRW57134.1 Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Chlorella sorokiniana]
OG0000432	XP_005849879.1 hypothetical protein CHLNCDRAFT_20786 [Chlorella variabilis]	PRW59213.1 RETICULATA-RELATED chloroplastic-like [Chlorella sorokiniana]
OG0000433	XP_005846209.1 hypothetical protein CHLNCDRAFT_25301_ partial [Chlorella variabilis]	PRW59472.1 formate nitrite transporter [Chlorella sorokiniana]
OG0000433	XP_005845932.1 hypothetical protein CHLNCDRAFT_13086_ partial [Chlorella variabilis]	PRW33617.1 Chloroplast processing peptidase [Chlorella sorokiniana]
OG0000434	XP_005851347.1 hypothetical protein CHLNCDRAFT_50121 [Chlorella variabilis]	PRW44424.1 2-deoxy-D-gluconate 3-dehydrogenase [Chlorella sorokiniana], PRW44575.1 2-deoxy-D-gluconate 3-dehydrogenase [Chlorella sorokiniana], PRW58408.1 glutamine amidotransferase [Chlorella sorokiniana]
OG0000435	XP_005850295.1 hypothetical protein CHLNCDRAFT_142040 [Chlorella variabilis]	PRW56748.1 hypothetical protein C2E21_4500 [Chlorella sorokiniana], PRW56749.1 hypothetical protein C2E21_4500 [Chlorella sorokiniana]
OG0000435	XP_005850041.1 hypothetical protein CHLNCDRAFT_142036 [Chlorella variabilis]	PRW56813.1 Calcium sensing chloroplastic [Chlorella sorokiniana]
OG0000437	XP_005847797.1 hypothetical protein CHLNCDRAFT_133971 [Chlorella variabilis]	PRW57955.1 haloacid dehalogenase-like hydrolase domain-containing isoform B [Chlorella sorokiniana]
OG0000437	XP_005847634.1 hypothetical protein CHLNCDRAFT_23377_ partial [Chlorella variabilis]	PRW57954.1 haloacid dehalogenase-like hydrolase domain-containing isoform A [Chlorella sorokiniana]
OG0000437	XP_005847630.1 hypothetical protein CHLNCDRAFT_52345 [Chlorella variabilis]	PRW57810.1 E3 SUMO- ligase SIZ1 [Chlorella sorokiniana]
OG0000438	XP_005846202.1 hypothetical protein CHLNCDRAFT_136236 [Chlorella variabilis]	PRW39275.1 hypothetical protein C2E21_6987 [Chlorella sorokiniana]
OG0000439	XP_005848438.1 hypothetical protein CHLNCDRAFT_144797 [Chlorella variabilis]	PRW45064.1 hypothetical protein C2E21_6425 [Chlorella sorokiniana]
OG0000439	XP_005849159.1 hypothetical protein CHLNCDRAFT_143799 [Chlorella variabilis]	PRW61248.1 hypothetical protein C2E21_0100 [Chlorella sorokiniana]
OG0000439	XP_005844123.1 hypothetical protein CHLNCDRAFT_139592 [Chlorella variabilis]	PRW20262.1 hypothetical protein C2E21_9193 [Chlorella sorokiniana]
OG0000440	XP_005842947.1 hypothetical protein CHLNCDRAFT_28672_ partial [Chlorella variabilis]	PRW20253.1 Serine threonine- kinase fray2 [Chlorella sorokiniana]
OG0000441	XP_005847391.1 hypothetical protein CHLNCDRAFT_52469 [Chlorella variabilis]	PRW33627.1 glutamate dehydrogenase [Chlorella sorokiniana]
OG0000441	XP_005846339.1 hypothetical protein CHLNCDRAFT_25065_ partial [Chlorella variabilis]	PRW60088.1 glutamate dehydrogenase [Chlorella sorokiniana], PRW20368.1 glutamate dehydrogenase [Chlorella sorokiniana]
OG0000442	XP_005852072.1 hypothetical protein CHLNCDRAFT_6734_ partial [Chlorella variabilis]	PRW60501.1 Granule-bound starch synthase chloroplastic amyloplastic [Chlorella sorokiniana]
OG0000442	XP_005851974.1 hypothetical protein CHLNCDRAFT_6787_ partial [Chlorella variabilis]	PRW50871.1 Granule-bound starch synthase chloroplastic amyloplastic [Chlorella sorokiniana]
OG0000443	XP_005844006.1 hypothetical protein CHLNCDRAFT_27314 [Chlorella variabilis]	PRW32941.1 chorismate mutase [Chlorella sorokiniana]
OG0000443	XP_005844009.1 hypothetical protein CHLNCDRAFT_54762 [Chlorella variabilis]	PRW20213.1 glycosyltransferase family 64 C5-like [Chlorella sorokiniana]
OG0000443	XP_005844004.1 hypothetical protein CHLNCDRAFT_139527 [Chlorella variabilis]	PRW57205.1 glycosyltransferase family 64 C5 [Chlorella sorokiniana]
OG0000444	XP_005843414.1 hypothetical protein CHLNCDRAFT_17655_ partial [Chlorella variabilis]	PRW39300.1 Aquaporin-1 [Chlorella sorokiniana]
OG0000444	XP_005848151.1 hypothetical protein CHLNCDRAFT_145499 [Chlorella variabilis]	PRW20943.1 Aquaporin-1 [Chlorella sorokiniana]
OG0000444	XP_005844514.1 hypothetical protein CHLNCDRAFT_13804_ partial [Chlorella variabilis]	PRW57994.1 aquaporin-1 isoform X1 [Chlorella sorokiniana], PRW56449.1 aquaporin [Chlorella sorokiniana]
OG0000445	XP_005849084.1 hypothetical protein CHLNCDRAFT_143584 [Chlorella variabilis]	PRW61038.1 multidrug resistance-associated 1 isoform X8 [Chlorella sorokiniana], PRW33949.1 ABC transporter isoform A [Chlorella sorokiniana], PRW33948.1 ABC transporter isoform B [Chlorella sorokiniana]
OG0000446	XP_005849694.1 hypothetical protein CHLNCDRAFT_20970_ partial [Chlorella variabilis]	PRW58966.1 DNA excision repair ERCC-8-like isoform A [Chlorella sorokiniana]
OG0000447	XP_005843065.1 hypothetical protein CHLNCDRAFT_141593 [Chlorella variabilis]	PRW32682.1 UPF0661 TPR repeat-containing -like [Chlorella sorokiniana]
OG0000447	XP_005847107.1 hypothetical protein CHLNCDRAFT_58072 [Chlorella variabilis]	PRW57368.1 hypothetical protein C2E21_4003 [Chlorella sorokiniana]
OG0000448	XP_005849268.1 hypothetical protein CHLNCDRAFT_57374 [Chlorella variabilis]	PRW34086.1 phospholipase SGR2-like isoform X1 [Chlorella sorokiniana]
OG0000449	XP_005851351.1 hypothetical protein CHLNCDRAFT_19196 [Chlorella variabilis]	PRW32533.1 DNA excision repair ERCC-1 [Chlorella sorokiniana]
OG0000449	XP_005851646.1 hypothetical protein CHLNCDRAFT_19379_ partial [Chlorella variabilis]	PRW58436.1 anaphase-promoting complex subunit 2 [Chlorella sorokiniana]
OG0000450	XP_005846931.1 hypothetical protein CHLNCDRAFT_23974_ partial [Chlorella variabilis]	PRW57465.1 RETICULATA-RELATED chloroplastic-like [Chlorella sorokiniana]
OG0000450	XP_005852187.1 hypothetical protein CHLNCDRAFT_133394 [Chlorella variabilis]	PRW33619.1 RETICULATA-RELATED chloroplastic-like [Chlorella sorokiniana]
OG0000451	XP_005846956.1 hypothetical protein CHLNCDRAFT_134911 [Chlorella variabilis]	PRW57452.1 histone acetyltransferase KAT6B-like [Chlorella sorokiniana]
OG0000452	XP_005850888.1 hypothetical protein CHLNCDRAFT_56887 [Chlorella variabilis]	PRW56186.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Chlorella sorokiniana]
OG0000453	XP_005849895.1 hypothetical protein CHLNCDRAFT_34758 [Chlorella variabilis], XP_005849896.1 hypothetical protein CHLNCDRAFT_143148 [Chlorella variabilis]	PRW58990.1 carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 [Chlorella sorokiniana]
OG0000454	XP_005849996.1 hypothetical protein CHLNCDRAFT_34303 [Chlorella variabilis]	PRW56642.1 ribose-5-phosphate isomerase [Chlorella sorokiniana]
OG0000454	XP_005849992.1 expressed protein_ partial [Chlorella variabilis]	PRW56416.1 EGF domain-specific O-linked N-acetylglucosamine transferase isoform B [Chlorella sorokiniana], PRW56417.1 EGF domain-specific O-linked N-acetylglucosamine transferase isoform A [Chlorella sorokiniana]
OG0000455	XP_005843906.1 hypothetical protein CHLNCDRAFT_27668_ partial [Chlorella variabilis]	PRW20614.1 magnesium-protoporphyrin IX methyltransferase chloroplast precursor [Chlorella sorokiniana]
OG0000455	XP_005843905.1 hypothetical protein CHLNCDRAFT_59136 [Chlorella variabilis]	PRW20654.1 armadillo repeat-containing 6 [Chlorella sorokiniana]
OG0000456	XP_005848775.1 hypothetical protein CHLNCDRAFT_144542 [Chlorella variabilis]	PRW59201.1 presenilin [Chlorella sorokiniana]
OG0000456	XP_005850309.1 hypothetical protein CHLNCDRAFT_20260_ partial [Chlorella variabilis]	PRW32591.1 Clavaminate synthase [Chlorella sorokiniana]
OG0000456	XP_005850310.1 hypothetical protein CHLNCDRAFT_142071 [Chlorella variabilis]	PRW56073.1 hypothetical protein C2E21_4970 [Chlorella sorokiniana]
OG0000457	XP_005850677.1 hypothetical protein CHLNCDRAFT_34199 [Chlorella variabilis]	PRW56076.1 GATA transcription factor [Chlorella sorokiniana]
OG0000457	XP_005850676.1 hypothetical protein CHLNCDRAFT_48552 [Chlorella variabilis]	PRW56168.1 Pyruvate kinase isozyme chloroplastic isoform B [Chlorella sorokiniana]
OG0000458	XP_005851072.1 hypothetical protein CHLNCDRAFT_48451 [Chlorella variabilis]	PRW58239.1 nucleoside diphosphate kinase chloroplastic isoform A [Chlorella sorokiniana], PRW58240.1 nucleoside diphosphate kinase chloroplastic isoform B [Chlorella sorokiniana]
OG0000458	XP_005849808.1 hypothetical protein CHLNCDRAFT_30376 [Chlorella variabilis]	PRW58976.1 Nucleoside diphosphate kinase 1 [Chlorella sorokiniana]
OG0000459	XP_005850662.1 hypothetical protein CHLNCDRAFT_140690 [Chlorella variabilis]	PRW60052.1 MFS transporter [Chlorella sorokiniana]
OG0000459	XP_005850250.1 hypothetical protein CHLNCDRAFT_141928 [Chlorella variabilis]	PRW39340.1 MFS general substrate transporter [Chlorella sorokiniana]
OG0000459	XP_005850251.1 hypothetical protein CHLNCDRAFT_141930 [Chlorella variabilis]	PRW56821.1 ARM repeat-containing [Chlorella sorokiniana]
OG0000460	XP_005844084.1 hypothetical protein CHLNCDRAFT_139488 [Chlorella variabilis]	PRW33001.1 Proliferating cell nuclear antigen [Chlorella sorokiniana]
OG0000460	XP_005845113.1 hypothetical protein CHLNCDRAFT_59751 [Chlorella variabilis]	PRW45431.1 proliferating cell nuclear antigen [Chlorella sorokiniana]
OG0000461	XP_005847835.1 hypothetical protein CHLNCDRAFT_134063_ partial [Chlorella variabilis]	PRW34011.1 pyruvate kinase [Chlorella sorokiniana]
OG0000462	XP_005843814.1 hypothetical protein CHLNCDRAFT_139869 [Chlorella variabilis]	PRW61090.1 hypothetical protein C2E21_0576 isoform A [Chlorella sorokiniana], PRW61089.1 hypothetical protein C2E21_0576 isoform B [Chlorella sorokiniana]
OG0000463	XP_005842608.1 hypothetical protein CHLNCDRAFT_142567_ partial [Chlorella variabilis]	PRW45599.1 glycoside hydrolase family 9 [Chlorella sorokiniana]
OG0000463	XP_005842606.1 hypothetical protein CHLNCDRAFT_16100_ partial [Chlorella variabilis]	PRW45660.1 serine threonine- kinase 2 19-like isoform B [Chlorella sorokiniana], PRW45661.1 serine threonine- kinase 2 19-like isoform A [Chlorella sorokiniana]
OG0000464	XP_005850223.1 hypothetical protein CHLNCDRAFT_57165 [Chlorella variabilis]	PRW05828.1 nuclear cap-binding subunit 1 isoform A [Chlorella sorokiniana], PRW05829.1 nuclear cap-binding subunit 1 isoform B [Chlorella sorokiniana]
OG0000465	XP_005844263.1 hypothetical protein CHLNCDRAFT_7287_ partial [Chlorella variabilis]	PRW61134.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Chlorella sorokiniana]
OG0000465	XP_005851396.1 hypothetical protein CHLNCDRAFT_137645 [Chlorella variabilis]	PRW58107.1 F-box LRR-repeat 4 [Chlorella sorokiniana]
OG0000466	XP_005843652.1 hypothetical protein CHLNCDRAFT_140010 [Chlorella variabilis]	PRW20335.1 RNase Bm2 [Chlorella sorokiniana]
OG0000466	XP_005846187.1 hypothetical protein CHLNCDRAFT_25350_ partial [Chlorella variabilis]	PRW39224.1 ribonuclease 2-like [Chlorella sorokiniana]
OG0000467	XP_005845953.1 hypothetical protein CHLNCDRAFT_14388_ partial [Chlorella variabilis]	PRW05764.1 thioredoxin chloroplastic [Chlorella sorokiniana]
OG0000468	XP_005846307.1 GTP-binding protein yptV1 [Chlorella variabilis]	PRW60039.1 Rab family GTPase [Chlorella sorokiniana]
OG0000468	XP_005851611.1 hypothetical protein CHLNCDRAFT_33935 [Chlorella variabilis]	PRW58406.1 Rab8 -family small GTPase [Chlorella sorokiniana]
OG0000469	XP_005845145.1 hypothetical protein CHLNCDRAFT_137280 [Chlorella variabilis]	PRW45515.1 PLP-dependent threonine dehydratase [Chlorella sorokiniana]
OG0000469	XP_005846124.1 hypothetical protein CHLNCDRAFT_25383 [Chlorella variabilis]	PRW39107.1 threonine deaminase isoform A [Chlorella sorokiniana], PRW39106.1 threonine deaminase isoform B [Chlorella sorokiniana]
OG0000470	XP_005848387.1 hypothetical protein CHLNCDRAFT_145167 [Chlorella variabilis]	PRW45063.1 multisubstrate pseudouridine synthase 7-like [Chlorella sorokiniana]
OG0000470	XP_005843941.1 hypothetical protein CHLNCDRAFT_32859 [Chlorella variabilis]	PRW20658.1 leucine--tRNA cytoplasmic [Chlorella sorokiniana]
OG0000472	XP_005847716.1 hypothetical protein CHLNCDRAFT_133757 [Chlorella variabilis]	PRW57823.1 ATP-dependent helicase [Chlorella sorokiniana]
OG0000473	XP_005851149.1 expressed protein [Chlorella variabilis]	PRW58546.1 WD repeat-containing 26-like isoform B [Chlorella sorokiniana]
OG0000473	XP_005851148.1 hypothetical protein CHLNCDRAFT_7805_ partial [Chlorella variabilis]	PRW58545.1 WD repeat-containing 26-like isoform A [Chlorella sorokiniana]
OG0000473	XP_005846862.1 hypothetical protein CHLNCDRAFT_35720 [Chlorella variabilis]	PRW57454.1 WD repeat-containing 26-like [Chlorella sorokiniana]
OG0000474	XP_005845199.1 hypothetical protein CHLNCDRAFT_137425 [Chlorella variabilis]	PRW45659.1 Chaperone dnaJ 10 [Chlorella sorokiniana]
OG0000475	XP_005845157.1 hypothetical protein CHLNCDRAFT_137318 [Chlorella variabilis]	PRW45561.1 Peptidyl-prolyl cis-trans isomerase D [Chlorella sorokiniana]
OG0000475	XP_005845054.1 hypothetical protein CHLNCDRAFT_36630 [Chlorella variabilis]	PRW45577.1 Actin-depolymerizing factor 6 [Chlorella sorokiniana]
OG0000475	XP_005845056.1 hypothetical protein CHLNCDRAFT_54025 [Chlorella variabilis]	PRW45565.1 hypothetical protein C2E21_6038 [Chlorella sorokiniana]
OG0000476	XP_005846650.1 hypothetical protein CHLNCDRAFT_135335 [Chlorella variabilis]	PRW45423.1 Carbohydrate-Binding Module Family 45 [Chlorella sorokiniana]
OG0000477	XP_005851414.1 hypothetical protein CHLNCDRAFT_137680 [Chlorella variabilis]	PRW58282.1 saccharopine dehydrogenase [Chlorella sorokiniana]
OG0000477	XP_005845780.1 hypothetical protein CHLNCDRAFT_32043 [Chlorella variabilis]	PRW33541.1 GTP-binding hflX isoform A [Chlorella sorokiniana], PRW33542.1 GTP-binding hflX isoform B [Chlorella sorokiniana]
OG0000478	XP_005843559.1 hypothetical protein CHLNCDRAFT_140192 [Chlorella variabilis]	PRW60888.1 transducin beta 3 isoform B [Chlorella sorokiniana]
OG0000478	XP_005843278.1 hypothetical protein CHLNCDRAFT_33215 [Chlorella variabilis]	PRW60889.1 transducin beta 3 isoform A [Chlorella sorokiniana]
OG0000479	XP_005845224.1 hypothetical protein CHLNCDRAFT_59750 [Chlorella variabilis]	PRW45617.1 ER membrane complex subunit 7-like protein [Chlorella sorokiniana]
OG0000479	XP_005845223.1 hypothetical protein CHLNCDRAFT_137476 [Chlorella variabilis]	PRW45519.1 sister chromatid cohesion DCC1 [Chlorella sorokiniana]
OG0000480	XP_005845327.1 hypothetical protein CHLNCDRAFT_25946_ partial [Chlorella variabilis], XP_005843606.1 hypothetical protein CHLNCDRAFT_48352 [Chlorella variabilis]	PRW61590.1 Peptide chain release factor 1 [Chlorella sorokiniana]
OG0000481	XP_005849886.1 hypothetical protein CHLNCDRAFT_143129 [Chlorella variabilis]	PRW44952.1 SGNH hydrolase [Chlorella sorokiniana]
OG0000481	XP_005848869.1 hypothetical protein CHLNCDRAFT_144244 [Chlorella variabilis], XP_005846708.1 hypothetical protein CHLNCDRAFT_135094 [Chlorella variabilis], XP_005848532.1 hypothetical protein CHLNCDRAFT_59657 [Chlorella variabilis]	PRW60248.1 SGNH hydrolase [Chlorella sorokiniana]
OG0000482	XP_005846795.1 hypothetical protein CHLNCDRAFT_135324 [Chlorella variabilis]	PRW45454.1 Acyl-coenzyme A oxidase peroxisomal [Chlorella sorokiniana]
OG0000482	XP_005846794.1 hypothetical protein CHLNCDRAFT_15571_ partial [Chlorella variabilis]	PRW45581.1 pre-mRNA-splicing factor 18-like isoform A [Chlorella sorokiniana], PRW45582.1 pre-mRNA-splicing factor 18-like isoform B [Chlorella sorokiniana]
OG0000483	XP_005846913.1 hypothetical protein CHLNCDRAFT_31463 [Chlorella variabilis]	PRW56995.1 elongation factor 3 [Chlorella sorokiniana], PRW57323.1 elongation factor 3 [Chlorella sorokiniana]
OG0000484	XP_005845129.1 expressed protein [Chlorella variabilis], XP_005845130.1 expressed protein [Chlorella variabilis], XP_005845131.1 hypothetical protein CHLNCDRAFT_137245 [Chlorella variabilis]	PRW33653.1 pollen-specific leucine-rich repeat extensin 1 isoform X1 [Chlorella sorokiniana]
OG0000484	XP_005845719.1 hypothetical protein CHLNCDRAFT_136287 [Chlorella variabilis]	PRW60576.1 TGF-beta-activated kinase 1 and MAP3K7-binding 3-like [Chlorella sorokiniana], PRW60610.1 hypothetical protein C2E21_1227 [Chlorella sorokiniana]
OG0000485	XP_005846238.1 hypothetical protein CHLNCDRAFT_135522 [Chlorella variabilis], XP_005849170.1 hypothetical protein CHLNCDRAFT_143821 [Chlorella variabilis], XP_005843805.1 hypothetical protein CHLNCDRAFT_139833 [Chlorella variabilis]	PRW61447.1 hard-surface induced 5 [Chlorella sorokiniana]
OG0000486	XP_005850019.1 hypothetical protein CHLNCDRAFT_141982 [Chlorella variabilis], XP_005850948.1 hypothetical protein CHLNCDRAFT_140700 [Chlorella variabilis]	PRW50866.1 glycoside hydrolase family 20 isoform B [Chlorella sorokiniana], PRW50867.1 glycoside hydrolase family 20 isoform A [Chlorella sorokiniana]
