Orthogroup	Chlorella_VariabilisNC64A	Micractinium_SAG24180
OG0000075	XP_005848989.1 expressed protein [Chlorella variabilis]	PSC70015.1 tudor domain-containing 1 [Micractinium conductrix]
OG0000075	XP_005845536.1 hypothetical protein CHLNCDRAFT_53708 [Chlorella variabilis]	PSC73066.1 ankyrin [Micractinium conductrix], PSC72948.1 ankyrin [Micractinium conductrix]
OG0000076	XP_005843653.1 hypothetical protein CHLNCDRAFT_140013 [Chlorella variabilis]	PSC74403.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Micractinium conductrix]
OG0000076	XP_005843345.1 hypothetical protein CHLNCDRAFT_141263 [Chlorella variabilis]	PSC73168.1 hypothetical protein C2E20_3736 [Micractinium conductrix]
OG0000076	XP_005846046.1 hypothetical protein CHLNCDRAFT_136187 [Chlorella variabilis]	PSC70830.1 acyl-sterol O-acyltransferase 1-like [Micractinium conductrix]
OG0000078	XP_005848034.1 hypothetical protein CHLNCDRAFT_145205 [Chlorella variabilis]	PSC70696.1 phosphofructokinase family [Micractinium conductrix]
OG0000078	XP_005850730.1 hypothetical protein CHLNCDRAFT_29926 [Chlorella variabilis]	PSC69047.1 phosphofructokinase family [Micractinium conductrix]
OG0000079	XP_005850065.1 heat shock protein 70 [Chlorella variabilis], XP_005843891.1 heat shock protein 70 [Chlorella variabilis]	PSC74693.1 heat shock 70 [Micractinium conductrix]
OG0000079	XP_005845752.1 hypothetical protein CHLNCDRAFT_48993 [Chlorella variabilis]	PSC70405.1 heat shock 70 kDa isoform A [Micractinium conductrix], PSC70406.1 heat shock 70 kDa isoform B [Micractinium conductrix]
OG0000079	XP_005842772.1 hypothetical protein CHLNCDRAFT_144025_ partial [Chlorella variabilis]	PSC75643.1 luminal-binding 5 [Micractinium conductrix]
OG0000080	XP_005848657.1 hypothetical protein CHLNCDRAFT_57487 [Chlorella variabilis]	PSC75434.1 sulfotransferase [Micractinium conductrix], PSC75294.1 hypothetical protein C2E20_1071 [Micractinium conductrix]
OG0000080	XP_005850149.1 hypothetical protein CHLNCDRAFT_142283 [Chlorella variabilis]	PSC68100.1 deacetylase sulfotransferase [Micractinium conductrix]
OG0000081	XP_005850357.1 hypothetical protein CHLNCDRAFT_20234_ partial [Chlorella variabilis]	PSC68872.1 BASS family transporter_ sodium ion bile [Micractinium conductrix]
OG0000081	XP_005849962.1 hypothetical protein CHLNCDRAFT_143322 [Chlorella variabilis]	PSC76757.1 BASS family transporter_ sodium ion bile [Micractinium conductrix]
OG0000081	XP_005851503.1 hypothetical protein CHLNCDRAFT_49947 [Chlorella variabilis]	PSC73541.1 sodium Bile acid symporter family [Micractinium conductrix]
OG0000082	XP_005849160.1 hypothetical protein CHLNCDRAFT_11072_ partial [Chlorella variabilis]	PSC73133.1 kinase-like [Micractinium conductrix]
OG0000082	XP_005843186.1 hypothetical protein CHLNCDRAFT_28390_ partial [Chlorella variabilis]	PSC75756.1 kinase-like [Micractinium conductrix]
OG0000082	XP_005848698.1 hypothetical protein CHLNCDRAFT_11527_ partial [Chlorella variabilis]	PSC77050.1 kinase-like [Micractinium conductrix]
OG0000083	XP_005851028.1 hypothetical protein CHLNCDRAFT_19903 [Chlorella variabilis]	PSC69009.1 puromycin-sensitive aminopeptidase isoform X1 [Micractinium conductrix]
OG0000083	XP_005851024.1 hypothetical protein CHLNCDRAFT_140883 [Chlorella variabilis]	PSC69042.1 fanconi anemia group e [Micractinium conductrix]
OG0000084	XP_005848464.1 hypothetical protein CHLNCDRAFT_10178_ partial [Chlorella variabilis]	PSC70307.1 cysteine synthase [Micractinium conductrix]
OG0000084	XP_005847962.1 hypothetical protein CHLNCDRAFT_145435 [Chlorella variabilis]	PSC69513.1 cysteine synthase [Micractinium conductrix]
OG0000084	XP_005843968.1 hypothetical protein CHLNCDRAFT_27694 [Chlorella variabilis]	PSC69447.1 cysteine synthase [Micractinium conductrix]
OG0000084	XP_005850314.1 hypothetical protein CHLNCDRAFT_57054 [Chlorella variabilis]	PSC72523.1 cysteine synthase A [Micractinium conductrix]
OG0000085	XP_005843952.1 expressed protein [Chlorella variabilis]	PSC74374.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 [Micractinium conductrix], PSC74894.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3-like [Micractinium conductrix], PSC67035.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC69051.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC67335.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC67165.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC76837.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC72148.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC68864.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC70759.1 hypothetical protein C2E20_5837 [Micractinium conductrix], PSC68264.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC72179.1 NLR family member X1 isoform X1 [Micractinium conductrix], PSC67265.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC67479.1 xylose [Micractinium conductrix], PSC67767.1 isochorismate synthase [Micractinium conductrix], PSC76296.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC69708.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC68954.1 hypothetical protein C2E20_7492 [Micractinium conductrix], PSC71430.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC76086.1 serine threonine [Micractinium conductrix], PSC68887.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC71951.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC76423.1 Tcr1 transposon ORF2 [Micractinium conductrix], PSC68475.1 Tcr1 transposon ORF2 [Micractinium conductrix]
OG0000087	XP_005847969.1 hypothetical protein CHLNCDRAFT_145456 [Chlorella variabilis]	PSC69542.1 peroxisomal membrane MPV17 PMP22 isoform 2 [Micractinium conductrix]
OG0000087	XP_005843145.1 hypothetical protein CHLNCDRAFT_141550 [Chlorella variabilis]	PSC74706.1 major facilitator superfamily isoform A [Micractinium conductrix]
OG0000088	XP_005849325.1 hypothetical protein CHLNCDRAFT_143690 [Chlorella variabilis]	PSC73194.1 Pyruvate kinase [Micractinium conductrix]
OG0000088	XP_005849112.1 hypothetical protein CHLNCDRAFT_34881 [Chlorella variabilis]	PSC76198.1 pyruvate kinase [Micractinium conductrix]
OG0000089	XP_005845365.1 expressed protein [Chlorella variabilis]	PSC71117.1 hypothetical protein C2E20_5601 [Micractinium conductrix]
OG0000089	XP_005846631.1 expressed protein [Chlorella variabilis]	PSC69404.1 hypothetical protein C2E20_7081 [Micractinium conductrix]
OG0000090	XP_005847380.1 hypothetical protein CHLNCDRAFT_35524 [Chlorella variabilis]	PSC75874.1 serine acetyltransferase [Micractinium conductrix]
OG0000090	XP_005844216.1 hypothetical protein CHLNCDRAFT_27053_ partial [Chlorella variabilis]	PSC73471.1 serine acetyltransferase 2 [Micractinium conductrix]
OG0000090	XP_005844298.1 hypothetical protein CHLNCDRAFT_37067 [Chlorella variabilis]	PSC73382.1 S-adenosyl-L-methionine-dependent methyltransferase [Micractinium conductrix]
OG0000091	XP_005852059.1 protein phosphatase 2A catalytic subunit [Chlorella variabilis]	PSC68154.1 serine threonine-phosphatase 2A catalytic subunit beta isoform [Micractinium conductrix]
OG0000091	XP_005843955.1 phosphoprotein phosphatase [Chlorella variabilis]	PSC68812.1 phytochrome-associated serine threonine-phosphatase 3-like [Micractinium conductrix], PSC74604.1 serine threonine phosphatase 2A [Micractinium conductrix]
OG0000092	XP_005844846.1 hypothetical protein CHLNCDRAFT_138321 [Chlorella variabilis]	PSC71324.1 Uric acid-xanthine permease [Micractinium conductrix]
OG0000092	XP_005848091.1 hypothetical protein CHLNCDRAFT_145360 [Chlorella variabilis]	PSC73164.1 Uric acid-xanthine permease [Micractinium conductrix]
OG0000092	XP_005851774.1 expressed protein [Chlorella variabilis]	PSC68687.1 Uric acid-xanthine permease isoform A [Micractinium conductrix], PSC68688.1 Uric acid-xanthine permease isoform B [Micractinium conductrix]
OG0000093	XP_005849431.1 hypothetical protein CHLNCDRAFT_143978 [Chlorella variabilis]	PSC69102.1 ubiquitin carboxyl-terminal hydrolase-related [Micractinium conductrix]
OG0000093	XP_005849226.1 hypothetical protein CHLNCDRAFT_21653_ partial [Chlorella variabilis]	PSC69177.1 Inactive ubiquitin carboxyl-terminal hydrolase 54 [Micractinium conductrix]
OG0000093	XP_005849436.1 hypothetical protein CHLNCDRAFT_21625 [Chlorella variabilis]	PSC69089.1 ubiquitin carboxyl-terminal hydrolase-related [Micractinium conductrix], PSC69183.1 Inactive ubiquitin carboxyl-terminal hydrolase 54 [Micractinium conductrix], PSC69181.1 ubiquitin carboxyl-terminal hydrolase [Micractinium conductrix], PSC69129.1 hypothetical protein C2E20_7288 [Micractinium conductrix]
OG0000095	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis]	PSC73930.1 U3 small nucleolar RNA-associated 25 [Micractinium conductrix]
OG0000095	XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis]	PSC75641.1 carotene isomerase [Micractinium conductrix]
OG0000095	XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]	PSC69857.1 carotene isomerase [Micractinium conductrix]
OG0000096	XP_005846494.1 hypothetical protein CHLNCDRAFT_25066 [Chlorella variabilis]	PSC68384.1 ATP-binding cassette sub-family B member mitochondrial [Micractinium conductrix]
OG0000096	XP_005844767.1 hypothetical protein CHLNCDRAFT_138610 [Chlorella variabilis]	PSC71845.1 serine threonine kinase [Micractinium conductrix]
OG0000096	XP_005844768.1 hypothetical protein CHLNCDRAFT_58798 [Chlorella variabilis]	PSC71777.1 ATP-binding cassette sub-family B member mitochondrial [Micractinium conductrix]
OG0000097	XP_005845438.1 hypothetical protein CHLNCDRAFT_137062 [Chlorella variabilis]	PSC76362.1 DUF3456 domain [Micractinium conductrix]
OG0000097	XP_005845437.1 hypothetical protein CHLNCDRAFT_137061 [Chlorella variabilis]	PSC76262.1 DUF3456 domain [Micractinium conductrix]
OG0000098	XP_005843566.1 hypothetical protein CHLNCDRAFT_59812 [Chlorella variabilis]	PSC70533.1 malate mitochondrial isoform B [Micractinium conductrix], PSC70532.1 malate mitochondrial isoform A [Micractinium conductrix]
OG0000098	XP_005850482.1 hypothetical protein CHLNCDRAFT_59566 [Chlorella variabilis]	PSC72606.1 Malate glyoxysomal [Micractinium conductrix]
OG0000099	XP_005850238.1 hypothetical protein CHLNCDRAFT_141891 [Chlorella variabilis]	PSC72455.1 Endoglucanase A [Micractinium conductrix]
OG0000099	XP_005849981.1 hypothetical protein CHLNCDRAFT_8109_ partial [Chlorella variabilis]	PSC67746.1 endo-beta-1_4-glucanase 1 [Micractinium conductrix]
OG0000099	XP_005846452.1 hypothetical protein CHLNCDRAFT_135608 [Chlorella variabilis]	PSC71291.1 helicase-like transcription factor [Micractinium conductrix]
OG0000100	XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis]	PSC74001.1 chaperonin 60A [Micractinium conductrix]
OG0000100	XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]	PSC70609.1 chaperonin 60B2 [Micractinium conductrix]
OG0000101	XP_005844402.1 hypothetical protein CHLNCDRAFT_32555 [Chlorella variabilis]	PSC73384.1 ATP-dependent Clp protease ATP-binding subunit clpA-like protein chloroplastic-like [Micractinium conductrix]
OG0000101	XP_005845497.1 hypothetical protein CHLNCDRAFT_6558_ partial [Chlorella variabilis]	PSC76879.1 Alpha-galactosidase [Micractinium conductrix]
OG0000101	XP_005846914.1 hypothetical protein CHLNCDRAFT_58067 [Chlorella variabilis]	PSC72295.1 ATP-dependent Clp protease ATP-binding subunit [Micractinium conductrix]
OG0000102	XP_005850093.1 hypothetical protein CHLNCDRAFT_142154 [Chlorella variabilis]	PSC70556.1 ferredoxin-dependent glutamate synthase [Micractinium conductrix]
OG0000102	XP_005851884.1 hypothetical protein CHLNCDRAFT_33619 [Chlorella variabilis]	PSC68918.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Micractinium conductrix]
OG0000103	XP_005850895.1 hypothetical protein CHLNCDRAFT_140572 [Chlorella variabilis]	PSC73870.1 fruiting body Sc7 [Micractinium conductrix]
OG0000103	XP_005846568.1 hypothetical protein CHLNCDRAFT_135097 [Chlorella variabilis]	PSC71503.1 PR-1 [Micractinium conductrix]
OG0000104	XP_005851204.1 hypothetical protein CHLNCDRAFT_137888 [Chlorella variabilis]	PSC68898.1 Calvin cycle CP12_ partial [Micractinium conductrix], PSC74899.1 Far upstream element-binding 2 [Micractinium conductrix], PSC67054.1 Calvin cycle CP12 [Micractinium conductrix]
OG0000104	XP_005851210.1 hypothetical protein CHLNCDRAFT_137899 [Chlorella variabilis]	PSC75067.1 hypothetical protein C2E20_1711 [Micractinium conductrix]
OG0000104	XP_005851495.1 hypothetical protein CHLNCDRAFT_137881 [Chlorella variabilis]	PSC68833.1 hypothetical protein C2E20_7622 [Micractinium conductrix]
OG0000105	XP_005843523.1 hypothetical protein CHLNCDRAFT_59252 [Chlorella variabilis], XP_005842773.1 hypothetical protein CHLNCDRAFT_144018_ partial [Chlorella variabilis]	PSC73956.1 flagellar outer dynein arm heavy chain gamma [Micractinium conductrix]
OG0000105	XP_005850389.1 hypothetical protein CHLNCDRAFT_20468 [Chlorella variabilis]	PSC71616.1 flagellar inner arm dynein 1 heavy chain alpha [Micractinium conductrix]
OG0000106	XP_005846592.1 hypothetical protein CHLNCDRAFT_9386_ partial [Chlorella variabilis]	PSC67689.1 galactose mutarotase [Micractinium conductrix]
OG0000106	XP_005851990.1 hypothetical protein CHLNCDRAFT_18492 [Chlorella variabilis]	PSC75034.1 Squalene synthase [Micractinium conductrix]
OG0000107	XP_005849181.1 hypothetical protein CHLNCDRAFT_143844 [Chlorella variabilis]	PSC73138.1 hypothetical protein C2E20_3704 [Micractinium conductrix]
OG0000107	XP_005849412.1 hypothetical protein CHLNCDRAFT_143926 [Chlorella variabilis]	PSC76488.1 MATH domain and coiled-coil domain-containing protein [Micractinium conductrix]
OG0000108	XP_005849058.1 expressed protein [Chlorella variabilis]	PSC76689.1 hypothetical protein C2E20_0915 [Micractinium conductrix]
OG0000108	XP_005847858.1 hypothetical protein CHLNCDRAFT_134110 [Chlorella variabilis]	PSC70148.1 histone H5 isoform X1 [Micractinium conductrix]
OG0000111	XP_005848325.1 hypothetical protein CHLNCDRAFT_35166 [Chlorella variabilis], XP_005842817.1 hypothetical protein CHLNCDRAFT_28788_ partial [Chlorella variabilis], XP_005842829.1 hypothetical protein CHLNCDRAFT_142575 [Chlorella variabilis], XP_005848326.1 hypothetical protein CHLNCDRAFT_35167 [Chlorella variabilis]	PSC74536.1 Cell surface [Micractinium conductrix]
OG0000111	XP_005842830.1 hypothetical protein CHLNCDRAFT_142576 [Chlorella variabilis]	PSC71031.1 Cell surface [Micractinium conductrix]
OG0000112	XP_005850039.1 hypothetical protein CHLNCDRAFT_142031 [Chlorella variabilis]	PSC72570.1 Prolyl 4-hydroxylase subunit alpha-1 isoform B [Micractinium conductrix], PSC72571.1 Prolyl 4-hydroxylase subunit alpha-1 isoform A [Micractinium conductrix]
OG0000112	XP_005850721.1 hypothetical protein CHLNCDRAFT_19485 [Chlorella variabilis]	PSC72823.1 Prolyl 4-hydroxylase subunit alpha-1 [Micractinium conductrix]
OG0000112	XP_005851081.1 hypothetical protein CHLNCDRAFT_137600 [Chlorella variabilis]	PSC75137.1 putative prolyl 4-hydroxylase 4 isoform B [Micractinium conductrix], PSC75136.1 putative prolyl 4-hydroxylase 4 isoform A [Micractinium conductrix]
OG0000112	XP_005843342.1 hypothetical protein CHLNCDRAFT_28187 [Chlorella variabilis]	PSC72973.1 putative prolyl 4-hydroxylase 6 [Micractinium conductrix]
OG0000113	XP_005846706.1 hypothetical protein CHLNCDRAFT_58128 [Chlorella variabilis]	PSC75625.1 transmembrane amino acid transporter [Micractinium conductrix]
OG0000114	XP_005846553.1 hypothetical protein CHLNCDRAFT_31874 [Chlorella variabilis]	PSC71405.1 zinc phosphodiesterase ELAC 2-like [Micractinium conductrix]
OG0000114	XP_005848569.1 expressed protein [Chlorella variabilis], XP_005848568.1 hypothetical protein CHLNCDRAFT_145133 [Chlorella variabilis]	PSC68055.1 Zinc phosphodiesterase ELAC 2 isoform B [Micractinium conductrix], PSC68054.1 Zinc phosphodiesterase ELAC 2 isoform A [Micractinium conductrix]
OG0000114	XP_005846552.1 hypothetical protein CHLNCDRAFT_135876 [Chlorella variabilis]	PSC71237.1 5_10-methylenetetrahydrofolate reductase [Micractinium conductrix]
OG0000115	XP_005847525.1 hypothetical protein CHLNCDRAFT_23482 [Chlorella variabilis]	PSC69941.1 histone deacetylase [Micractinium conductrix]
OG0000115	XP_005848164.1 hypothetical protein CHLNCDRAFT_145535 [Chlorella variabilis]	PSC76205.1 histone deacetylase 9 isoform X1 [Micractinium conductrix]
OG0000115	XP_005847495.1 hypothetical protein CHLNCDRAFT_8472_ partial [Chlorella variabilis]	PSC69949.1 histone deacetylase Rpd3 [Micractinium conductrix]
OG0000116	XP_005847886.1 hypothetical protein CHLNCDRAFT_145238 [Chlorella variabilis]	PSC70743.1 chloroplast precursor [Micractinium conductrix]
OG0000116	XP_005844499.1 hypothetical protein CHLNCDRAFT_138861 [Chlorella variabilis]	PSC70124.1 chloroplast precursor [Micractinium conductrix]
OG0000117	XP_005849516.1 hypothetical protein CHLNCDRAFT_142854 [Chlorella variabilis], XP_005844076.1 hypothetical protein CHLNCDRAFT_139471 [Chlorella variabilis], XP_005842741.1 hypothetical protein CHLNCDRAFT_145185_ partial [Chlorella variabilis]	PSC76960.1 _1-3_-beta-glucanase [Micractinium conductrix]
OG0000117	XP_005851807.1 hypothetical protein CHLNCDRAFT_133261 [Chlorella variabilis]	PSC74883.1 _1-3_-beta-glucanase [Micractinium conductrix]
OG0000118	XP_005845718.1 hypothetical protein CHLNCDRAFT_8997_ partial [Chlorella variabilis]	PSC75032.1 MORN repeat-containing 1 [Micractinium conductrix]
OG0000118	XP_005845723.1 hypothetical protein CHLNCDRAFT_58420 [Chlorella variabilis]	PSC74938.1 Exosome complex component RRP42 isoform C [Micractinium conductrix], PSC74937.1 Exosome complex component RRP42 isoform A [Micractinium conductrix], PSC74936.1 Exosome complex component RRP42 isoform B [Micractinium conductrix]
OG0000119	XP_005852221.1 hypothetical protein CHLNCDRAFT_33628 [Chlorella variabilis]	PSC68964.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase [Micractinium conductrix]
OG0000119	XP_005851088.1 hypothetical protein CHLNCDRAFT_137613 [Chlorella variabilis]	PSC75817.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase [Micractinium conductrix]
OG0000120	XP_005844383.1 hypothetical protein CHLNCDRAFT_26946_ partial [Chlorella variabilis]	PSC72357.1 translocase subunit chloroplastic [Micractinium conductrix]
OG0000121	XP_005851076.1 hypothetical protein CHLNCDRAFT_137589 [Chlorella variabilis], XP_005851075.1 hypothetical protein CHLNCDRAFT_137587 [Chlorella variabilis]	PSC75292.1 Pheophorbide a oxygenase [Micractinium conductrix]
OG0000124	XP_005848444.1 hypothetical protein CHLNCDRAFT_51784 [Chlorella variabilis]	PSC70447.1 dnaJ-like protein subfamily B member 1-like [Micractinium conductrix]
OG0000124	XP_005851664.1 hypothetical protein CHLNCDRAFT_18104 [Chlorella variabilis]	PSC73411.1 dnaJ-like protein subfamily B member 1 isoform A [Micractinium conductrix], PSC73412.1 dnaJ-like protein subfamily B member 1 isoform B [Micractinium conductrix]
OG0000126	XP_005850873.1 hypothetical protein CHLNCDRAFT_140516 [Chlorella variabilis]	PSC71573.1 pollen-specific SF21-like [Micractinium conductrix]
OG0000126	XP_005843576.1 hypothetical protein CHLNCDRAFT_33086 [Chlorella variabilis]	PSC74099.1 sulfolipid synthase [Micractinium conductrix]
OG0000127	XP_005849121.1 hypothetical protein CHLNCDRAFT_21429_ partial [Chlorella variabilis]	PSC73077.1 alpha beta-hydrolase [Micractinium conductrix]
OG0000127	XP_005852045.1 hypothetical protein CHLNCDRAFT_133017 [Chlorella variabilis]	PSC68464.1 GPI inositol-deacylase PGAP1-like isoform A [Micractinium conductrix], PSC68465.1 GPI inositol-deacylase PGAP1-like isoform B [Micractinium conductrix], PSC68432.1 GPI inositol-deacylase PGAP1-like [Micractinium conductrix]
OG0000128	XP_005847323.1 hypothetical protein CHLNCDRAFT_56178 [Chlorella variabilis]	PSC69883.1 obg-like ATPase 1 [Micractinium conductrix]
OG0000128	XP_005849098.1 hypothetical protein CHLNCDRAFT_143632 [Chlorella variabilis]	PSC76415.1 cysteine protease atg4b [Micractinium conductrix]
OG0000128	XP_005849583.1 hypothetical protein CHLNCDRAFT_143004 [Chlorella variabilis]	PSC75412.1 ribonuclease [Micractinium conductrix]
OG0000129	XP_005843674.1 hypothetical protein CHLNCDRAFT_140061 [Chlorella variabilis], XP_005842827.1 hypothetical protein CHLNCDRAFT_142571 [Chlorella variabilis]	PSC74384.1 P-loop containing nucleoside triphosphate hydrolase isoform A [Micractinium conductrix], PSC74385.1 P-loop containing nucleoside triphosphate hydrolase isoform B [Micractinium conductrix]
OG0000130	XP_005851872.1 hypothetical protein CHLNCDRAFT_56559 [Chlorella variabilis]	PSC68632.1 Protease Do-like 9 [Micractinium conductrix]
OG0000130	XP_005850048.1 hypothetical protein CHLNCDRAFT_34342 [Chlorella variabilis]	PSC72431.1 Protease Do-like 9 isoform A [Micractinium conductrix], PSC72432.1 Protease Do-like 9 isoform B [Micractinium conductrix]
OG0000131	XP_005847891.1 hypothetical protein CHLNCDRAFT_52004 [Chlorella variabilis]	PSC70780.1 zygote specific ZYS1 isoform A [Micractinium conductrix], PSC70781.1 zygote specific ZYS1 isoform B [Micractinium conductrix]
OG0000131	XP_005847892.1 hypothetical protein CHLNCDRAFT_57709 [Chlorella variabilis]	PSC70702.1 Bromodomain adjacent to zinc finger domain 2A [Micractinium conductrix]
OG0000132	XP_005843362.1 expressed protein [Chlorella variabilis]	PSC77023.1 Stigma-specific Stig1 [Micractinium conductrix]
OG0000132	XP_005845594.1 hypothetical protein CHLNCDRAFT_58548 [Chlorella variabilis]	PSC74037.1 hypothetical protein C2E20_2624 [Micractinium conductrix]
OG0000132	XP_005847908.1 hypothetical protein CHLNCDRAFT_145296 [Chlorella variabilis]	PSC70804.1 Zinc finger CCCH domain-containing [Micractinium conductrix]
OG0000133	XP_005844022.1 hypothetical protein CHLNCDRAFT_139566 [Chlorella variabilis]	PSC67309.1 putative aarF domain-containing kinase chloroplastic [Micractinium conductrix]
OG0000133	XP_005842662.1 expressed protein_ partial [Chlorella variabilis]	PSC76669.1 ABC-1-like kinase [Micractinium conductrix]
OG0000134	XP_005845639.1 hypothetical protein CHLNCDRAFT_136649 [Chlorella variabilis]	PSC73977.1 synaptotagmin-2-like isoform X1 [Micractinium conductrix]
OG0000135	XP_005845860.1 hypothetical protein CHLNCDRAFT_36318 [Chlorella variabilis]	PSC67310.1 spastin [Micractinium conductrix]
OG0000135	XP_005849917.1 hypothetical protein CHLNCDRAFT_56085 [Chlorella variabilis]	PSC76075.1 fidgetin 1 [Micractinium conductrix]
OG0000136	XP_005850418.1 hypothetical protein CHLNCDRAFT_142334_ partial [Chlorella variabilis]	PSC69729.1 amino-acid permease BAT1-like protein isoform X2 [Micractinium conductrix], PSC69717.1 amino-acid permease [Micractinium conductrix]
OG0000137	XP_005852253.1 hypothetical protein CHLNCDRAFT_33679 [Chlorella variabilis]	PSC74076.1 E3 ubiquitin-ligase RNF185 isoform X1 [Micractinium conductrix]
OG0000137	XP_005844633.1 hypothetical protein CHLNCDRAFT_138947 [Chlorella variabilis], XP_005844638.1 hypothetical protein CHLNCDRAFT_138957 [Chlorella variabilis]	PSC70297.1 bifunctional apoptosis regulator [Micractinium conductrix]
OG0000138	XP_005843782.1 hypothetical protein CHLNCDRAFT_139912 [Chlorella variabilis]	PSC67884.1 trypsin alpha-4 [Micractinium conductrix]
OG0000138	XP_005843783.1 hypothetical protein CHLNCDRAFT_139913 [Chlorella variabilis]	PSC75690.1 transmembrane protease serine 6 [Micractinium conductrix]
OG0000138	XP_005845807.1 hypothetical protein CHLNCDRAFT_53640 [Chlorella variabilis], XP_005847524.1 hypothetical protein CHLNCDRAFT_58008 [Chlorella variabilis]	PSC73752.1 Kallikrein-11 [Micractinium conductrix]
OG0000138	XP_005845001.1 hypothetical protein CHLNCDRAFT_54226 [Chlorella variabilis], XP_005850640.1 hypothetical protein CHLNCDRAFT_140642 [Chlorella variabilis], XP_005850639.1 hypothetical protein CHLNCDRAFT_140641 [Chlorella variabilis], XP_005845165.1 hypothetical protein CHLNCDRAFT_11918_ partial [Chlorella variabilis]	PSC68222.1 trypsin isoform B [Micractinium conductrix], PSC68221.1 trypsin isoform A [Micractinium conductrix]
OG0000139	XP_005846009.1 hypothetical protein CHLNCDRAFT_136093 [Chlorella variabilis]	PSC69288.1 ubiquitin carboxyl-terminal hydrolase 18 [Micractinium conductrix], PSC75730.1 ubiquitin carboxyl-terminal hydrolase 18-like [Micractinium conductrix]
OG0000141	XP_005849161.1 hypothetical protein CHLNCDRAFT_143802 [Chlorella variabilis], XP_005849162.1 hypothetical protein CHLNCDRAFT_143803 [Chlorella variabilis]	PSC73189.1 barwin-like endoglucanase [Micractinium conductrix]
OG0000141	XP_005846210.1 hypothetical protein CHLNCDRAFT_136257 [Chlorella variabilis]	PSC67662.1 barwin-like endoglucanase [Micractinium conductrix]
OG0000142	XP_005847221.1 hypothetical protein CHLNCDRAFT_23683_ partial [Chlorella variabilis]	PSC75719.1 pathogenesis-related genes transcriptional activator [Micractinium conductrix]
OG0000143	XP_005852297.1 hypothetical protein CHLNCDRAFT_15847_ partial [Chlorella variabilis]	PSC71931.1 putative purple acid phosphatase 20 [Micractinium conductrix]
OG0000143	XP_005845616.1 hypothetical protein CHLNCDRAFT_58566 [Chlorella variabilis]	PSC73849.1 purple acid phosphatase 15-like [Micractinium conductrix]
OG0000143	XP_005851825.1 hypothetical protein CHLNCDRAFT_133298 [Chlorella variabilis], XP_005848257.1 hypothetical protein CHLNCDRAFT_144837 [Chlorella variabilis]	PSC76955.1 purple acid phosphatase 15 isoform X2 [Micractinium conductrix]
OG0000144	XP_005843729.1 hypothetical protein CHLNCDRAFT_59189 [Chlorella variabilis]	PSC74663.1 Ethylene-responsive transcription factor RAP2-3 [Micractinium conductrix]
OG0000144	XP_005848803.1 hypothetical protein CHLNCDRAFT_17998_ partial [Chlorella variabilis]	PSC73860.1 ethylene-responsive transcription factor ESR2-like [Micractinium conductrix]
OG0000145	XP_005844815.1 hypothetical protein CHLNCDRAFT_54374 [Chlorella variabilis], XP_005847512.1 hypothetical protein CHLNCDRAFT_52636 [Chlorella variabilis], XP_005844692.1 hypothetical protein CHLNCDRAFT_58799 [Chlorella variabilis], XP_005846770.1 hypothetical protein CHLNCDRAFT_135268 [Chlorella variabilis]	PSC70002.1 hypothetical protein C2E20_6489 [Micractinium conductrix], PSC69373.1 hypothetical protein C2E20_7087 [Micractinium conductrix]
OG0000146	XP_005848690.1 hypothetical protein CHLNCDRAFT_22093 [Chlorella variabilis]	PSC75938.1 acetyl-synthetase [Micractinium conductrix]
OG0000146	XP_005852102.1 hypothetical protein CHLNCDRAFT_29209 [Chlorella variabilis]	PSC74925.1 long chain acyl-synthetase 4-like [Micractinium conductrix]
OG0000146	XP_005850942.1 hypothetical protein CHLNCDRAFT_29855 [Chlorella variabilis]	PSC70142.1 Long chain acyl-synthetase 4 [Micractinium conductrix]
