Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P
OG0000062	XP_005848218.1 hypothetical protein CHLNCDRAFT_51740 [Chlorella variabilis]	KAI3426143.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris], KAI3426142.1 hypothetical protein D9Q98_008521 [Chlorella vulgaris]
OG0000062	XP_005848205.1 hypothetical protein CHLNCDRAFT_144696 [Chlorella variabilis]	KAI3426120.1 hypothetical protein D9Q98_008499 [Chlorella vulgaris]
OG0000063	XP_005842615.1 hypothetical protein CHLNCDRAFT_29058 [Chlorella variabilis], XP_005843458.1 hypothetical protein CHLNCDRAFT_59259 [Chlorella variabilis], XP_005850528.1 expressed protein [Chlorella variabilis], XP_005845519.1 hypothetical protein CHLNCDRAFT_136616 [Chlorella variabilis], XP_005843447.1 hypothetical protein CHLNCDRAFT_55168 [Chlorella variabilis], XP_005842754.1 hypothetical protein CHLNCDRAFT_144639 [Chlorella variabilis], XP_005851042.1 hypothetical protein CHLNCDRAFT_50487 [Chlorella variabilis], XP_005847720.1 hypothetical protein CHLNCDRAFT_52245 [Chlorella variabilis], XP_005844673.1 expressed protein [Chlorella variabilis], XP_005846096.1 hypothetical protein CHLNCDRAFT_135985 [Chlorella variabilis], XP_005852046.1 hypothetical protein CHLNCDRAFT_133020 [Chlorella variabilis], XP_005846333.1 hypothetical protein CHLNCDRAFT_135745 [Chlorella variabilis], XP_005850440.1 hypothetical protein CHLNCDRAFT_142380 [Chlorella variabilis], XP_005848398.1 hypothetical protein CHLNCDRAFT_144688 [Chlorella variabilis], XP_005842981.1 hypothetical protein CHLNCDRAFT_141678 [Chlorella variabilis], XP_005842673.1 hypothetical protein CHLNCDRAFT_137232 [Chlorella variabilis], XP_005849107.1 hypothetical protein CHLNCDRAFT_143663_ partial [Chlorella variabilis], XP_005843452.1 hypothetical protein CHLNCDRAFT_141072 [Chlorella variabilis], XP_005843419.1 hypothetical protein CHLNCDRAFT_141059 [Chlorella variabilis], XP_005849189.1 hypothetical protein CHLNCDRAFT_143868 [Chlorella variabilis], XP_005844546.1 hypothetical protein CHLNCDRAFT_138984 [Chlorella variabilis]	KAI3434646.1 hypothetical protein D9Q98_002711 [Chlorella vulgaris]
OG0000063	XP_005849016.1 hypothetical protein CHLNCDRAFT_144604 [Chlorella variabilis]	KAI3426836.1 hypothetical protein D9Q98_006783 [Chlorella vulgaris]
OG0000064	XP_005844534.1 hypothetical protein CHLNCDRAFT_58881 [Chlorella variabilis]	KAI3430251.1 hypothetical protein D9Q98_004847 [Chlorella vulgaris]
OG0000064	XP_005843899.1 hypothetical protein CHLNCDRAFT_32941 [Chlorella variabilis]	KAI3434468.1 hypothetical protein D9Q98_002545 [Chlorella vulgaris]
OG0000064	XP_005844634.1 hypothetical protein CHLNCDRAFT_138949 [Chlorella variabilis]	KAI3430253.1 hypothetical protein D9Q98_004849 [Chlorella vulgaris]
OG0000065	XP_005848887.1 hypothetical protein CHLNCDRAFT_144274 [Chlorella variabilis], XP_005848680.1 hypothetical protein CHLNCDRAFT_144272 [Chlorella variabilis], XP_005845896.1 hypothetical protein CHLNCDRAFT_53601 [Chlorella variabilis]	KAI3425227.1 hypothetical protein D9Q98_008995 [Chlorella vulgaris], KAI3425222.1 hypothetical protein D9Q98_008990 [Chlorella vulgaris]
OG0000065	XP_005846686.1 hypothetical protein CHLNCDRAFT_135415 [Chlorella variabilis]	KAI3424962.1 hypothetical protein D9Q98_008343 [Chlorella vulgaris]
OG0000066	XP_005847234.1 hypothetical protein CHLNCDRAFT_134195 [Chlorella variabilis]	KAI3428732.1 hypothetical protein D9Q98_007556 [Chlorella vulgaris]
OG0000066	XP_005848039.1 hypothetical protein CHLNCDRAFT_145219 [Chlorella variabilis]	KAI3437905.1 hypothetical protein D9Q98_000350 [Chlorella vulgaris]
OG0000069	XP_005848732.1 hypothetical protein CHLNCDRAFT_57527 [Chlorella variabilis]	KAI3426981.1 hypothetical protein D9Q98_006925 [Chlorella vulgaris]
OG0000069	XP_005843734.1 hypothetical protein CHLNCDRAFT_140066 [Chlorella variabilis]	KAI3424311.1 hypothetical protein D9Q98_009864 [Chlorella vulgaris]
OG0000069	XP_005851069.1 hypothetical protein CHLNCDRAFT_19360_ partial [Chlorella variabilis]	KAI3433912.1 hypothetical protein D9Q98_003714 [Chlorella vulgaris]
OG0000070	XP_005848820.1 hypothetical protein CHLNCDRAFT_51485 [Chlorella variabilis]	KAI3427231.1 hypothetical protein D9Q98_007166 [Chlorella vulgaris]
OG0000070	XP_005847923.1 hypothetical protein CHLNCDRAFT_145338 [Chlorella variabilis]	KAI3437808.1 hypothetical protein D9Q98_000255 [Chlorella vulgaris]
OG0000070	XP_005848597.1 hypothetical protein CHLNCDRAFT_144089 [Chlorella variabilis], XP_005848599.1 expressed protein [Chlorella variabilis], XP_005848598.1 expressed protein [Chlorella variabilis]	KAI3427256.1 hypothetical protein D9Q98_007190 [Chlorella vulgaris]
OG0000070	XP_005848019.1 hypothetical protein CHLNCDRAFT_52200 [Chlorella variabilis]	KAI3437586.1 hypothetical protein D9Q98_000039 [Chlorella vulgaris]
OG0000071	XP_005843149.1 hypothetical protein CHLNCDRAFT_33257 [Chlorella variabilis]	KAI3424455.1 hypothetical protein D9Q98_010007 [Chlorella vulgaris]
OG0000071	XP_005843148.1 hypothetical protein CHLNCDRAFT_141552 [Chlorella variabilis]	KAI3424454.1 hypothetical protein D9Q98_010006 [Chlorella vulgaris]
OG0000071	XP_005843147.1 hypothetical protein CHLNCDRAFT_37582_ partial [Chlorella variabilis]	KAI3424094.1 hypothetical protein D9Q98_009456 [Chlorella vulgaris]
OG0000071	XP_005845612.1 hypothetical protein CHLNCDRAFT_136852 [Chlorella variabilis]	KAI3424232.1 hypothetical protein D9Q98_009588 [Chlorella vulgaris]
OG0000071	XP_005845710.1 hypothetical protein CHLNCDRAFT_32147 [Chlorella variabilis]	KAI3424231.1 hypothetical protein D9Q98_009587 [Chlorella vulgaris]
OG0000071	XP_005845648.1 hypothetical protein CHLNCDRAFT_136678 [Chlorella variabilis]	KAI3424158.1 hypothetical protein D9Q98_009517 [Chlorella vulgaris]
OG0000072	XP_005844074.1 hypothetical protein CHLNCDRAFT_139468 [Chlorella variabilis]	KAI3430561.1 hypothetical protein D9Q98_005154 [Chlorella vulgaris]
OG0000072	XP_005843640.1 hypothetical protein CHLNCDRAFT_54976 [Chlorella variabilis], XP_005849024.1 hypothetical protein CHLNCDRAFT_143440 [Chlorella variabilis], XP_005849027.1 hypothetical protein CHLNCDRAFT_143443 [Chlorella variabilis], XP_005849026.1 hypothetical protein CHLNCDRAFT_143442 [Chlorella variabilis]	KAI3435017.1 hypothetical protein D9Q98_003069 [Chlorella vulgaris]
OG0000072	XP_005851221.1 hypothetical protein CHLNCDRAFT_49959 [Chlorella variabilis]	KAI3433579.1 hypothetical protein D9Q98_003390 [Chlorella vulgaris]
OG0000072	XP_005851219.1 hypothetical protein CHLNCDRAFT_49957 [Chlorella variabilis], XP_005851220.1 hypothetical protein CHLNCDRAFT_137918 [Chlorella variabilis]	KAI3433580.1 hypothetical protein D9Q98_003391 [Chlorella vulgaris]
OG0000073	XP_005851991.1 hypothetical protein CHLNCDRAFT_132900 [Chlorella variabilis], XP_005850391.1 hypothetical protein CHLNCDRAFT_142269 [Chlorella variabilis]	KAI3428260.1 hypothetical protein D9Q98_006639 [Chlorella vulgaris], KAI3428261.1 hypothetical protein D9Q98_006640 [Chlorella vulgaris]
OG0000073	XP_005846834.1 hypothetical protein CHLNCDRAFT_53084 [Chlorella variabilis]	KAI3424943.1 hypothetical protein D9Q98_008325 [Chlorella vulgaris]
OG0000074	XP_005845679.1 hypothetical protein CHLNCDRAFT_136763 [Chlorella variabilis], XP_005845678.1 hypothetical protein CHLNCDRAFT_136762 [Chlorella variabilis]	KAI3424079.1 hypothetical protein D9Q98_009442 [Chlorella vulgaris]
OG0000075	XP_005845788.1 hypothetical protein CHLNCDRAFT_53614 [Chlorella variabilis], XP_005843090.1 hypothetical protein CHLNCDRAFT_55450 [Chlorella variabilis], XP_005848747.1 hypothetical protein CHLNCDRAFT_144450 [Chlorella variabilis], XP_005843135.1 hypothetical protein CHLNCDRAFT_59345 [Chlorella variabilis], XP_005843125.1 hypothetical protein CHLNCDRAFT_59342 [Chlorella variabilis], XP_005843642.1 hypothetical protein CHLNCDRAFT_139983 [Chlorella variabilis], XP_005843708.1 hypothetical protein CHLNCDRAFT_54991 [Chlorella variabilis], XP_005848989.1 expressed protein [Chlorella variabilis]	KAI3437937.1 hypothetical protein D9Q98_000381 [Chlorella vulgaris]
OG0000076	XP_005843653.1 hypothetical protein CHLNCDRAFT_140013 [Chlorella variabilis]	KAI3424362.1 hypothetical protein D9Q98_009915 [Chlorella vulgaris]
OG0000076	XP_005843345.1 hypothetical protein CHLNCDRAFT_141263 [Chlorella variabilis]	KAI3430457.1 hypothetical protein D9Q98_005052 [Chlorella vulgaris]
OG0000076	XP_005849314.1 hypothetical protein CHLNCDRAFT_143653 [Chlorella variabilis]	KAI3434845.1 hypothetical protein D9Q98_002899 [Chlorella vulgaris]
OG0000076	XP_005849312.1 hypothetical protein CHLNCDRAFT_143650 [Chlorella variabilis], XP_005849313.1 hypothetical protein CHLNCDRAFT_143651 [Chlorella variabilis]	KAI3434846.1 hypothetical protein D9Q98_002900 [Chlorella vulgaris]
OG0000076	XP_005846046.1 hypothetical protein CHLNCDRAFT_136187 [Chlorella variabilis]	KAI3431471.1 hypothetical protein D9Q98_004523 [Chlorella vulgaris]
OG0000078	XP_005848034.1 hypothetical protein CHLNCDRAFT_145205 [Chlorella variabilis]	KAI3437917.1 hypothetical protein D9Q98_000362 [Chlorella vulgaris]
OG0000078	XP_005850730.1 hypothetical protein CHLNCDRAFT_29926 [Chlorella variabilis]	KAI3436493.1 hypothetical protein D9Q98_005910 [Chlorella vulgaris]
OG0000078	XP_005851279.1 hypothetical protein CHLNCDRAFT_29590 [Chlorella variabilis]	KAI3433465.1 hypothetical protein D9Q98_003278 [Chlorella vulgaris]
OG0000079	XP_005850065.1 heat shock protein 70 [Chlorella variabilis]	KAI3428104.1 hypothetical protein D9Q98_006487 [Chlorella vulgaris]
OG0000079	XP_005843891.1 heat shock protein 70 [Chlorella variabilis]	KAI3434525.1 hypothetical protein D9Q98_002598 [Chlorella vulgaris]
OG0000079	XP_005845752.1 hypothetical protein CHLNCDRAFT_48993 [Chlorella variabilis]	KAI3426260.1 hypothetical protein D9Q98_008635 [Chlorella vulgaris]
OG0000079	XP_005842772.1 hypothetical protein CHLNCDRAFT_144025_ partial [Chlorella variabilis]	KAI3433911.1 hypothetical protein D9Q98_003713 [Chlorella vulgaris]
OG0000080	XP_005848657.1 hypothetical protein CHLNCDRAFT_57487 [Chlorella variabilis]	KAI3427152.1 hypothetical protein D9Q98_007089 [Chlorella vulgaris]
OG0000080	XP_005843258.1 hypothetical protein CHLNCDRAFT_141380 [Chlorella variabilis]	KAI3427443.1 hypothetical protein D9Q98_010358 [Chlorella vulgaris], KAI3431786.1 hypothetical protein D9Q98_010539 [Chlorella vulgaris]
OG0000080	XP_005850150.1 hypothetical protein CHLNCDRAFT_142285 [Chlorella variabilis]	KAI3428273.1 hypothetical protein D9Q98_006652 [Chlorella vulgaris]
OG0000081	XP_005849962.1 hypothetical protein CHLNCDRAFT_143322 [Chlorella variabilis]	KAI3438931.1 hypothetical protein D9Q98_001345 [Chlorella vulgaris]
OG0000081	XP_005851503.1 hypothetical protein CHLNCDRAFT_49947 [Chlorella variabilis]	KAI3433601.1 hypothetical protein D9Q98_003411 [Chlorella vulgaris]
OG0000082	XP_005849160.1 hypothetical protein CHLNCDRAFT_11072_ partial [Chlorella variabilis]	KAI3434745.1 hypothetical protein D9Q98_002805 [Chlorella vulgaris]
OG0000082	XP_005848697.1 hypothetical protein CHLNCDRAFT_144329 [Chlorella variabilis]	KAI3427061.1 hypothetical protein D9Q98_007001 [Chlorella vulgaris]
OG0000083	XP_005851028.1 hypothetical protein CHLNCDRAFT_19903 [Chlorella variabilis]	KAI3436451.1 hypothetical protein D9Q98_005868 [Chlorella vulgaris]
OG0000083	XP_005851024.1 hypothetical protein CHLNCDRAFT_140883 [Chlorella variabilis]	KAI3436463.1 hypothetical protein D9Q98_005880 [Chlorella vulgaris]
OG0000083	XP_005851027.1 hypothetical protein CHLNCDRAFT_17236_ partial [Chlorella variabilis]	KAI3436454.1 hypothetical protein D9Q98_005871 [Chlorella vulgaris], KAI3436457.1 hypothetical protein D9Q98_005874 [Chlorella vulgaris], KAI3436452.1 hypothetical protein D9Q98_005869 [Chlorella vulgaris]
OG0000084	XP_005848464.1 hypothetical protein CHLNCDRAFT_10178_ partial [Chlorella variabilis]	KAI3426243.1 hypothetical protein D9Q98_008619 [Chlorella vulgaris]
OG0000084	XP_005847962.1 hypothetical protein CHLNCDRAFT_145435 [Chlorella variabilis]	KAI3437731.1 hypothetical protein D9Q98_000179 [Chlorella vulgaris]
OG0000084	XP_005850314.1 hypothetical protein CHLNCDRAFT_57054 [Chlorella variabilis]	KAI3428091.1 hypothetical protein D9Q98_006474 [Chlorella vulgaris]
OG0000085	XP_005843952.1 expressed protein [Chlorella variabilis]	KAI3425327.1 hypothetical protein D9Q98_009091 [Chlorella vulgaris]
OG0000087	XP_005847969.1 hypothetical protein CHLNCDRAFT_145456 [Chlorella variabilis]	KAI3437713.1 hypothetical protein D9Q98_000161 [Chlorella vulgaris]
OG0000087	XP_005843145.1 hypothetical protein CHLNCDRAFT_141550 [Chlorella variabilis]	KAI3424452.1 hypothetical protein D9Q98_010004 [Chlorella vulgaris]
OG0000087	XP_005843120.1 hypothetical protein CHLNCDRAFT_141568 [Chlorella variabilis]	KAI3424474.1 hypothetical protein D9Q98_010024 [Chlorella vulgaris]
OG0000088	XP_005849324.1 hypothetical protein CHLNCDRAFT_143689 [Chlorella variabilis]	KAI3434822.1 hypothetical protein D9Q98_002878 [Chlorella vulgaris], KAI3434821.1 hypothetical protein D9Q98_002878 [Chlorella vulgaris]
OG0000088	XP_005849112.1 hypothetical protein CHLNCDRAFT_34881 [Chlorella variabilis]	KAI3434834.1 hypothetical protein D9Q98_002889 [Chlorella vulgaris]
OG0000089	XP_005845365.1 expressed protein [Chlorella variabilis]	KAI3436057.1 hypothetical protein D9Q98_002116 [Chlorella vulgaris]
OG0000089	XP_005850244.1 hypothetical protein CHLNCDRAFT_50533 [Chlorella variabilis]	KAI3427956.1 hypothetical protein D9Q98_006346 [Chlorella vulgaris]
OG0000089	XP_005851063.1 hypothetical protein CHLNCDRAFT_137556 [Chlorella variabilis]	KAI3433897.1 hypothetical protein D9Q98_003699 [Chlorella vulgaris]
OG0000089	XP_005846631.1 expressed protein [Chlorella variabilis]	KAI3425074.1 hypothetical protein D9Q98_008452 [Chlorella vulgaris]
OG0000090	XP_005847380.1 hypothetical protein CHLNCDRAFT_35524 [Chlorella variabilis]	KAI3428724.1 hypothetical protein D9Q98_007548 [Chlorella vulgaris]
OG0000090	XP_005844216.1 hypothetical protein CHLNCDRAFT_27053_ partial [Chlorella variabilis]	KAI3432387.1 hypothetical protein D9Q98_003943 [Chlorella vulgaris]
OG0000090	XP_005844298.1 hypothetical protein CHLNCDRAFT_37067 [Chlorella variabilis]	KAI3432388.1 hypothetical protein D9Q98_003944 [Chlorella vulgaris]
OG0000091	XP_005852059.1 protein phosphatase 2A catalytic subunit [Chlorella variabilis]	KAI3429373.1 hypothetical protein D9Q98_005468 [Chlorella vulgaris]
OG0000091	XP_005843716.1 protein phosphatase X [Chlorella variabilis]	KAI3424357.1 hypothetical protein D9Q98_009910 [Chlorella vulgaris]
OG0000091	XP_005843955.1 phosphoprotein phosphatase [Chlorella variabilis]	KAI3434562.1 hypothetical protein D9Q98_002635 [Chlorella vulgaris]
OG0000092	XP_005844846.1 hypothetical protein CHLNCDRAFT_138321 [Chlorella variabilis]	KAI3431715.1 hypothetical protein D9Q98_004759 [Chlorella vulgaris]
OG0000092	XP_005848091.1 hypothetical protein CHLNCDRAFT_145360 [Chlorella variabilis]	KAI3437791.1 hypothetical protein D9Q98_000238 [Chlorella vulgaris]
OG0000092	XP_005851774.1 expressed protein [Chlorella variabilis]	KAI3429492.1 hypothetical protein D9Q98_005581 [Chlorella vulgaris]
OG0000093	XP_005849431.1 hypothetical protein CHLNCDRAFT_143978 [Chlorella variabilis], XP_005849851.1 hypothetical protein CHLNCDRAFT_143024 [Chlorella variabilis], XP_005849226.1 hypothetical protein CHLNCDRAFT_21653_ partial [Chlorella variabilis], XP_005849436.1 hypothetical protein CHLNCDRAFT_21625 [Chlorella variabilis]	KAI3434593.1 hypothetical protein D9Q98_002662 [Chlorella vulgaris]
OG0000093	XP_005851100.1 hypothetical protein CHLNCDRAFT_137643 [Chlorella variabilis]	KAI3433844.1 hypothetical protein D9Q98_003647 [Chlorella vulgaris]
OG0000095	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis]	KAI3438528.1 hypothetical protein D9Q98_000956 [Chlorella vulgaris]
OG0000095	XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis]	KAI3428704.1 hypothetical protein D9Q98_007528 [Chlorella vulgaris]
OG0000095	XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]	KAI3428469.1 hypothetical protein D9Q98_007294 [Chlorella vulgaris]
OG0000096	XP_005846494.1 hypothetical protein CHLNCDRAFT_25066 [Chlorella variabilis]	KAI3435788.1 hypothetical protein D9Q98_001846 [Chlorella vulgaris]
OG0000096	XP_005844767.1 hypothetical protein CHLNCDRAFT_138610 [Chlorella variabilis]	KAI3430797.1 hypothetical protein D9Q98_009209 [Chlorella vulgaris]
OG0000096	XP_005844768.1 hypothetical protein CHLNCDRAFT_58798 [Chlorella variabilis]	KAI3430799.1 hypothetical protein D9Q98_009211 [Chlorella vulgaris]
OG0000097	XP_005845438.1 hypothetical protein CHLNCDRAFT_137062 [Chlorella variabilis], XP_005845437.1 hypothetical protein CHLNCDRAFT_137061 [Chlorella variabilis]	KAI3436175.1 hypothetical protein D9Q98_002230 [Chlorella vulgaris]
OG0000097	XP_005847273.1 hypothetical protein CHLNCDRAFT_59680 [Chlorella variabilis]	KAI3428646.1 hypothetical protein D9Q98_007469 [Chlorella vulgaris]
OG0000097	XP_005845312.1 hypothetical protein CHLNCDRAFT_137065 [Chlorella variabilis]	KAI3436172.1 hypothetical protein D9Q98_002228 [Chlorella vulgaris], KAI3436173.1 hypothetical protein D9Q98_002228 [Chlorella vulgaris]
OG0000098	XP_005843566.1 hypothetical protein CHLNCDRAFT_59812 [Chlorella variabilis]	KAI3432628.1 hypothetical protein D9Q98_004174 [Chlorella vulgaris]
OG0000098	XP_005852212.1 hypothetical protein CHLNCDRAFT_18230 [Chlorella variabilis]	KAI3429685.1 hypothetical protein D9Q98_005770 [Chlorella vulgaris]
OG0000098	XP_005850482.1 hypothetical protein CHLNCDRAFT_59566 [Chlorella variabilis]	KAI3435570.1 hypothetical protein D9Q98_001635 [Chlorella vulgaris]
OG0000099	XP_005847543.1 hypothetical protein CHLNCDRAFT_133737 [Chlorella variabilis]	KAI3425705.1 hypothetical protein D9Q98_007681 [Chlorella vulgaris]
OG0000099	XP_005849981.1 hypothetical protein CHLNCDRAFT_8109_ partial [Chlorella variabilis]	KAI3427940.1 hypothetical protein D9Q98_006330 [Chlorella vulgaris]
OG0000099	XP_005846452.1 hypothetical protein CHLNCDRAFT_135608 [Chlorella variabilis]	KAI3435873.1 hypothetical protein D9Q98_001931 [Chlorella vulgaris]
OG0000100	XP_005843553.1 hypothetical protein CHLNCDRAFT_140184 [Chlorella variabilis]	KAI3432619.1 hypothetical protein D9Q98_004165 [Chlorella vulgaris]
OG0000100	XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis]	KAI3432569.1 hypothetical protein D9Q98_004118 [Chlorella vulgaris]
OG0000100	XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]	KAI3432618.1 hypothetical protein D9Q98_004164 [Chlorella vulgaris]
OG0000101	XP_005844402.1 hypothetical protein CHLNCDRAFT_32555 [Chlorella variabilis]	KAI3432837.1 hypothetical protein D9Q98_010421 [Chlorella vulgaris]
OG0000101	XP_005845497.1 hypothetical protein CHLNCDRAFT_6558_ partial [Chlorella variabilis]	KAI3436066.1 hypothetical protein D9Q98_002124 [Chlorella vulgaris]
OG0000101	XP_005846914.1 hypothetical protein CHLNCDRAFT_58067 [Chlorella variabilis]	KAI3438148.1 hypothetical protein D9Q98_000589 [Chlorella vulgaris]
OG0000102	XP_005850093.1 hypothetical protein CHLNCDRAFT_142154 [Chlorella variabilis]	KAI3428153.1 hypothetical protein D9Q98_006537 [Chlorella vulgaris]
OG0000102	XP_005851884.1 hypothetical protein CHLNCDRAFT_33619 [Chlorella variabilis]	KAI3429699.1 hypothetical protein D9Q98_005784 [Chlorella vulgaris]
OG0000103	XP_005850895.1 hypothetical protein CHLNCDRAFT_140572 [Chlorella variabilis]	KAI3436738.1 hypothetical protein D9Q98_006153 [Chlorella vulgaris]
OG0000103	XP_005851744.1 hypothetical protein CHLNCDRAFT_133112 [Chlorella variabilis]	KAI3429436.1 hypothetical protein D9Q98_005530 [Chlorella vulgaris]
OG0000103	XP_005846568.1 hypothetical protein CHLNCDRAFT_135097 [Chlorella variabilis]	KAI3426054.1 hypothetical protein D9Q98_008022 [Chlorella vulgaris]
OG0000103	XP_005844902.1 hypothetical protein CHLNCDRAFT_26372_ partial [Chlorella variabilis]	KAI3431593.1 hypothetical protein D9Q98_004643 [Chlorella vulgaris]
OG0000104	XP_005851204.1 hypothetical protein CHLNCDRAFT_137888 [Chlorella variabilis]	KAI3433611.1 hypothetical protein D9Q98_003420 [Chlorella vulgaris]
OG0000104	XP_005851496.1 expressed protein [Chlorella variabilis]	KAI3433617.1 hypothetical protein D9Q98_003426 [Chlorella vulgaris]
OG0000104	XP_005851210.1 hypothetical protein CHLNCDRAFT_137899 [Chlorella variabilis]	KAI3433600.1 hypothetical protein D9Q98_003410 [Chlorella vulgaris]
OG0000104	XP_005851495.1 hypothetical protein CHLNCDRAFT_137881 [Chlorella variabilis]	KAI3433618.1 hypothetical protein D9Q98_003427 [Chlorella vulgaris]
OG0000104	XP_005851203.1 hypothetical protein CHLNCDRAFT_137886 [Chlorella variabilis]	KAI3433613.1 hypothetical protein D9Q98_003422 [Chlorella vulgaris]
OG0000105	XP_005843523.1 hypothetical protein CHLNCDRAFT_59252 [Chlorella variabilis], XP_005842773.1 hypothetical protein CHLNCDRAFT_144018_ partial [Chlorella variabilis]	KAI3432720.1 hypothetical protein D9Q98_004263 [Chlorella vulgaris], KAI3432721.1 hypothetical protein D9Q98_004263 [Chlorella vulgaris]
OG0000105	XP_005850389.1 hypothetical protein CHLNCDRAFT_20468 [Chlorella variabilis]	KAI3428256.1 hypothetical protein D9Q98_006635 [Chlorella vulgaris]
OG0000105	XP_005842774.1 hypothetical protein CHLNCDRAFT_144019 [Chlorella variabilis]	KAI3432725.1 hypothetical protein D9Q98_004267 [Chlorella vulgaris]
OG0000106	XP_005852306.1 hypothetical protein CHLNCDRAFT_55668 [Chlorella variabilis], XP_005846592.1 hypothetical protein CHLNCDRAFT_9386_ partial [Chlorella variabilis], XP_005845071.1 hypothetical protein CHLNCDRAFT_58686 [Chlorella variabilis]	KAI3429252.1 hypothetical protein D9Q98_005349 [Chlorella vulgaris]
OG0000106	XP_005851990.1 hypothetical protein CHLNCDRAFT_18492 [Chlorella variabilis]	KAI3429253.1 hypothetical protein D9Q98_005350 [Chlorella vulgaris]
OG0000107	XP_005849180.1 hypothetical protein CHLNCDRAFT_143843 [Chlorella variabilis]	KAI3434710.1 hypothetical protein D9Q98_002771 [Chlorella vulgaris]
OG0000107	XP_005849181.1 hypothetical protein CHLNCDRAFT_143844 [Chlorella variabilis]	KAI3434709.1 hypothetical protein D9Q98_002770 [Chlorella vulgaris]
OG0000108	XP_005849058.1 expressed protein [Chlorella variabilis]	KAI3424209.1 hypothetical protein D9Q98_009565 [Chlorella vulgaris]
OG0000108	XP_005847858.1 hypothetical protein CHLNCDRAFT_134110 [Chlorella variabilis]	KAI3426015.1 hypothetical protein D9Q98_007983 [Chlorella vulgaris]
OG0000109	XP_005843339.1 hypothetical protein CHLNCDRAFT_141253 [Chlorella variabilis]	KAI3430466.1 hypothetical protein D9Q98_005061 [Chlorella vulgaris]
OG0000111	XP_005842829.1 hypothetical protein CHLNCDRAFT_142575 [Chlorella variabilis]	KAI3436013.1 hypothetical protein D9Q98_002070 [Chlorella vulgaris], KAI3436010.1 hypothetical protein D9Q98_002067 [Chlorella vulgaris]
OG0000111	XP_005848326.1 hypothetical protein CHLNCDRAFT_35167 [Chlorella variabilis]	KAI3426367.1 hypothetical protein D9Q98_008739 [Chlorella vulgaris]
OG0000111	XP_005842830.1 hypothetical protein CHLNCDRAFT_142576 [Chlorella variabilis]	KAI3436012.1 hypothetical protein D9Q98_002069 [Chlorella vulgaris]
OG0000112	XP_005850039.1 hypothetical protein CHLNCDRAFT_142031 [Chlorella variabilis]	KAI3428055.1 hypothetical protein D9Q98_006440 [Chlorella vulgaris]
OG0000112	XP_005850721.1 hypothetical protein CHLNCDRAFT_19485 [Chlorella variabilis]	KAI3436521.1 hypothetical protein D9Q98_005938 [Chlorella vulgaris]
OG0000112	XP_005851081.1 hypothetical protein CHLNCDRAFT_137600 [Chlorella variabilis]	KAI3433947.1 hypothetical protein D9Q98_003749 [Chlorella vulgaris]
OG0000112	XP_005843342.1 hypothetical protein CHLNCDRAFT_28187 [Chlorella variabilis]	KAI3430462.1 hypothetical protein D9Q98_005057 [Chlorella vulgaris]
OG0000113	XP_005846706.1 hypothetical protein CHLNCDRAFT_58128 [Chlorella variabilis]	KAI3423900.1 hypothetical protein D9Q98_009734 [Chlorella vulgaris]
OG0000114	XP_005846553.1 hypothetical protein CHLNCDRAFT_31874 [Chlorella variabilis]	KAI3435626.1 hypothetical protein D9Q98_001686 [Chlorella vulgaris]
OG0000114	XP_005848569.1 expressed protein [Chlorella variabilis], XP_005848568.1 hypothetical protein CHLNCDRAFT_145133 [Chlorella variabilis]	KAI3426475.1 hypothetical protein D9Q98_008841 [Chlorella vulgaris]
OG0000114	XP_005846552.1 hypothetical protein CHLNCDRAFT_135876 [Chlorella variabilis]	KAI3435627.1 hypothetical protein D9Q98_001687 [Chlorella vulgaris]
OG0000115	XP_005847525.1 hypothetical protein CHLNCDRAFT_23482 [Chlorella variabilis]	KAI3428425.1 hypothetical protein D9Q98_007252 [Chlorella vulgaris]
OG0000115	XP_005848164.1 hypothetical protein CHLNCDRAFT_145535 [Chlorella variabilis]	KAI3437633.1 hypothetical protein D9Q98_000085 [Chlorella vulgaris]
OG0000115	XP_005847495.1 hypothetical protein CHLNCDRAFT_8472_ partial [Chlorella variabilis]	KAI3428482.1 hypothetical protein D9Q98_007307 [Chlorella vulgaris]
OG0000116	XP_005847886.1 hypothetical protein CHLNCDRAFT_145238 [Chlorella variabilis]	KAI3437889.1 hypothetical protein D9Q98_000334 [Chlorella vulgaris]
OG0000116	XP_005844499.1 hypothetical protein CHLNCDRAFT_138861 [Chlorella variabilis]	KAI3430347.1 hypothetical protein D9Q98_004942 [Chlorella vulgaris]
OG0000117	XP_005848054.1 hypothetical protein CHLNCDRAFT_145257 [Chlorella variabilis]	KAI3437871.1 hypothetical protein D9Q98_000317 [Chlorella vulgaris]
OG0000117	XP_005849516.1 hypothetical protein CHLNCDRAFT_142854 [Chlorella variabilis]	KAI3438532.1 hypothetical protein D9Q98_000960 [Chlorella vulgaris]
