Orthogroup	Chlorella_Sorokiniana1602	Scenedesmus_PABB004
OG0000411	PRW60599.1 DNA replication complex GINS PSF1 isoform X1 [Chlorella sorokiniana], PRW60389.1 hypothetical protein C2E21_1164 [Chlorella sorokiniana], PRW60301.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW60300.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]	KAF8064590.1 gins1 [Scenedesmus sp. PABB004]
OG0000412	PRW58841.1 ABC transporter I family member 19-like [Chlorella sorokiniana]	KAF8069671.1 ABCI19 [Scenedesmus sp. PABB004]
OG0000412	PRW20596.1 ABC transporter I family member 20 [Chlorella sorokiniana]	KAF8072767.1 ABCI20 [Scenedesmus sp. PABB004]
OG0000413	PRW44938.1 plastid acyl-ACP desaturase [Chlorella sorokiniana], PRW59282.1 Acyl-[acyl-carrier] desaturase chloroplastic [Chlorella sorokiniana]	KAF8063089.1 Stearoyl-[acyl-carrier-protein] 9-desaturase [Scenedesmus sp. PABB004]
OG0000414	PRW20665.1 glycosyltransferase family 77 [Chlorella sorokiniana]	KAF8058120.1 XEG113 [Scenedesmus sp. PABB004]
OG0000415	PRW44949.1 thymocyte nuclear 1 [Chlorella sorokiniana]	KAF8054900.1 Thyn1 [Scenedesmus sp. PABB004]
OG0000415	PRW33317.1 crossover junction endonuclease MUS81-like [Chlorella sorokiniana]	KAF8054903.1 MUS81 [Scenedesmus sp. PABB004], KAF8054904.1 hypothetical protein HT031_006903 [Scenedesmus sp. PABB004]
OG0000416	PRW60560.1 malate synthase A isoform B [Chlorella sorokiniana], PRW60559.1 malate synthase A isoform A [Chlorella sorokiniana], PRW60196.1 Malate synthase [Chlorella sorokiniana]	KAF8057130.1 acu-9 [Scenedesmus sp. PABB004]
OG0000417	PRW05894.1 putative retrotransposon protein [Chlorella sorokiniana], PRW56319.1 putative retrotransposon protein [Chlorella sorokiniana], PRW33979.1 putative retrotransposon protein [Chlorella sorokiniana], PRW20263.1 putative retrotransposon protein [Chlorella sorokiniana], PRW58283.1 hypothetical protein C2E21_3113 [Chlorella sorokiniana], PRW34022.1 hypothetical protein C2E21_7249 [Chlorella sorokiniana], PRW32529.1 hypothetical protein C2E21_8305 [Chlorella sorokiniana], PRW20742.1 multiple myeloma tumor-associated 2-like protein [Chlorella sorokiniana]	KAF8068408.1 SPAC6G10.10c [Scenedesmus sp. PABB004]
OG0000418	PRW58928.1 Cell division protease ftsH isoform 1 [Chlorella sorokiniana]	KAF8060086.1 FTSH11 [Scenedesmus sp. PABB004]
OG0000418	PRW56441.1 hypothetical protein C2E21_4760 [Chlorella sorokiniana]	KAF8056381.1 FTSH5 [Scenedesmus sp. PABB004]
OG0000419	PRW20798.1 phosphatidylinositol 4-phosphate 5-kinase 9-like [Chlorella sorokiniana]	KAF8058414.1 PIP5K5 [Scenedesmus sp. PABB004]
OG0000420	PRW45098.1 ammonium transporter [Chlorella sorokiniana], PRW59700.1 ammonium transporter [Chlorella sorokiniana]	KAF8065460.1 AMT1-1 [Scenedesmus sp. PABB004]
OG0000421	PRW56910.1 light-harvesting of photosystem I [Chlorella sorokiniana]	KAF8055753.1 PF20 [Scenedesmus sp. PABB004]
OG0000421	PRW59323.1 light-harvesting of photosystem I [Chlorella sorokiniana]	KAF8059181.1 LHCA5 [Scenedesmus sp. PABB004]
OG0000422	PRW56257.1 GTP-binding SAR1A-like [Chlorella sorokiniana]	KAF8062028.1 SAR2 [Scenedesmus sp. PABB004]
OG0000422	PRW56232.1 urate oxidase [Chlorella sorokiniana]	KAF8064689.1 uricase [Scenedesmus sp. PABB004]
OG0000423	PRW61018.1 cyclin-dependent kinase G-2-like isoform X1 [Chlorella sorokiniana]	KAF8068370.1 CDKG-2 [Scenedesmus sp. PABB004]
OG0000424	PRW33056.1 F-box [Chlorella sorokiniana]	KAF8064677.1 hypothetical protein HT031_003479 [Scenedesmus sp. PABB004]
OG0000425	PRW59133.1 ABC transporter A family member 2 [Chlorella sorokiniana], PRW58771.1 ABC transporter A family member 2 [Chlorella sorokiniana]	KAF8059445.1 ABCA9 [Scenedesmus sp. PABB004], KAF8060280.1 ABCA2 [Scenedesmus sp. PABB004], KAF8065711.1 ABCA2 [Scenedesmus sp. PABB004]
OG0000426	PRW57782.1 Copper-transporting ATPase 1 [Chlorella sorokiniana], PRW60881.1 heavy metal P-type ATPase [Chlorella sorokiniana], PRW60667.1 heavy metal P-type ATPase [Chlorella sorokiniana]	KAF8058128.1 VAC14 [Scenedesmus sp. PABB004]
OG0000427	PRW58765.1 N-methyltryptophan oxidase isoform C [Chlorella sorokiniana], PRW58766.1 N-methyltryptophan oxidase isoform B [Chlorella sorokiniana], PRW58764.1 N-methyltryptophan oxidase isoform A [Chlorella sorokiniana]	KAF8065503.1 soxA [Scenedesmus sp. PABB004], KAF8055283.1 PAS2 [Scenedesmus sp. PABB004]
OG0000428	PRW33232.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana], PRW33231.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana]	KAF8072600.1 hypothetical protein HT031_000260 [Scenedesmus sp. PABB004], KAF8060099.1 trx [Scenedesmus sp. PABB004]
OG0000429	PRW59667.1 Dihydrolipoyl dehydrogenase [Chlorella sorokiniana], PRW18293.1 putative bifunctional methylthioribulose-1-phosphate dehydratase enolase-phosphatase E1 [Chlorella sorokiniana]	KAF8058093.1 LPD2 [Scenedesmus sp. PABB004]
OG0000430	PRW21028.1 Transcription initiation factor TFIID subunit 2 [Chlorella sorokiniana]	KAF8066322.1 hypothetical protein HT031_002645 [Scenedesmus sp. PABB004], KAF8066314.1 TAF2 [Scenedesmus sp. PABB004]
OG0000430	PRW20971.1 phosphopantothenate--cysteine ligase 2-like isoform X1 [Chlorella sorokiniana]	KAF8065879.1 phosphopantothenate--cysteine ligase 1 [Scenedesmus sp. PABB004]
OG0000431	PRW20738.1 urea carboxylase [Chlorella sorokiniana]	KAF8058066.1 DUR1 [Scenedesmus sp. PABB004]
OG0000432	PRW59213.1 RETICULATA-RELATED chloroplastic-like [Chlorella sorokiniana]	KAF8065551.1 RER5 [Scenedesmus sp. PABB004]
OG0000432	PRW59180.1 Transducin WD40 repeat-like superfamily [Chlorella sorokiniana]	KAF8056216.1 hypothetical protein HT031_006404 [Scenedesmus sp. PABB004]
OG0000433	PRW59472.1 formate nitrite transporter [Chlorella sorokiniana], PRW33617.1 Chloroplast processing peptidase [Chlorella sorokiniana]	KAF8072763.1 PLSP1 [Scenedesmus sp. PABB004]
OG0000434	PRW44424.1 2-deoxy-D-gluconate 3-dehydrogenase [Chlorella sorokiniana], PRW44575.1 2-deoxy-D-gluconate 3-dehydrogenase [Chlorella sorokiniana], PRW58408.1 glutamine amidotransferase [Chlorella sorokiniana]	KAF8058080.1 HSP31 [Scenedesmus sp. PABB004]
OG0000435	PRW56813.1 Calcium sensing chloroplastic [Chlorella sorokiniana]	KAF8068332.1 Calcium sensing receptor [Scenedesmus sp. PABB004]
OG0000436	PRW60381.1 regulator of ribonuclease activity A [Chlorella sorokiniana]	KAF8055826.1 4-hydroxy-4-methyl-2-oxoglutarate aldolase [Scenedesmus sp. PABB004]
OG0000439	PRW45064.1 hypothetical protein C2E21_6425 [Chlorella sorokiniana], PRW61248.1 hypothetical protein C2E21_0100 [Chlorella sorokiniana], PRW20262.1 hypothetical protein C2E21_9193 [Chlorella sorokiniana]	KAF8072854.1 HPAT1 [Scenedesmus sp. PABB004]
OG0000440	PRW20253.1 Serine threonine- kinase fray2 [Chlorella sorokiniana]	KAF8057272.1 OXSR1 [Scenedesmus sp. PABB004], KAF8056256.1 fray2 [Scenedesmus sp. PABB004]
OG0000441	PRW33605.1 NADP-specific glutamate dehydrogenase [Chlorella sorokiniana], PRW33627.1 glutamate dehydrogenase [Chlorella sorokiniana], PRW60088.1 glutamate dehydrogenase [Chlorella sorokiniana], PRW20368.1 glutamate dehydrogenase [Chlorella sorokiniana]	KAF8059195.1 NADP-specific glutamate dehydrogenase [Scenedesmus sp. PABB004]
OG0000442	PRW60501.1 Granule-bound starch synthase chloroplastic amyloplastic [Chlorella sorokiniana]	KAF8072972.1 SS2 [Scenedesmus sp. PABB004]
OG0000442	PRW50871.1 Granule-bound starch synthase chloroplastic amyloplastic [Chlorella sorokiniana]	KAF8061313.1 SS1 [Scenedesmus sp. PABB004]
OG0000443	PRW32941.1 chorismate mutase [Chlorella sorokiniana], PRW20213.1 glycosyltransferase family 64 C5-like [Chlorella sorokiniana], PRW57205.1 glycosyltransferase family 64 C5 [Chlorella sorokiniana]	KAF8062653.1 CM1 [Scenedesmus sp. PABB004], KAF8062651.1 CM1 [Scenedesmus sp. PABB004]
OG0000445	PRW61038.1 multidrug resistance-associated 1 isoform X8 [Chlorella sorokiniana], PRW33949.1 ABC transporter isoform A [Chlorella sorokiniana], PRW33948.1 ABC transporter isoform B [Chlorella sorokiniana]	KAF8057290.1 Abcc2 [Scenedesmus sp. PABB004]
OG0000445	PRW56046.1 multidrug resistance-associated 1 isoform X1 [Chlorella sorokiniana]	KAF8071181.1 abcC12 [Scenedesmus sp. PABB004]
OG0000446	PRW58966.1 DNA excision repair ERCC-8-like isoform A [Chlorella sorokiniana]	KAF8058843.1 ATCSA-1 [Scenedesmus sp. PABB004]
OG0000447	PRW57368.1 hypothetical protein C2E21_4003 [Chlorella sorokiniana]	KAF8071059.1 SPBC16D10.01c [Scenedesmus sp. PABB004]
OG0000449	PRW32533.1 DNA excision repair ERCC-1 [Chlorella sorokiniana]	KAF8064639.1 ERCC1 [Scenedesmus sp. PABB004]
OG0000451	PRW57250.1 serine threonine- phosphatase 5 [Chlorella sorokiniana]	KAF8059431.1 TTC1 [Scenedesmus sp. PABB004]
OG0000452	PRW56186.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Chlorella sorokiniana]	KAF8058880.1 VPS32.1 [Scenedesmus sp. PABB004]
OG0000453	PRW58990.1 carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 [Chlorella sorokiniana]	KAF8057716.1 CTDSP1 [Scenedesmus sp. PABB004], KAF8060083.1 sugar phosphate/phosphate translocator [Scenedesmus sp. PABB004]
OG0000454	PRW56642.1 ribose-5-phosphate isomerase [Chlorella sorokiniana], PRW56416.1 EGF domain-specific O-linked N-acetylglucosamine transferase isoform B [Chlorella sorokiniana], PRW56417.1 EGF domain-specific O-linked N-acetylglucosamine transferase isoform A [Chlorella sorokiniana]	KAF8067196.1 RPI3 [Scenedesmus sp. PABB004]
OG0000455	PRW20614.1 magnesium-protoporphyrin IX methyltransferase chloroplast precursor [Chlorella sorokiniana]	KAF8069398.1 hypothetical protein HT031_001513 [Scenedesmus sp. PABB004]
OG0000455	PRW20654.1 armadillo repeat-containing 6 [Chlorella sorokiniana]	KAF8072541.1 ARMC6 [Scenedesmus sp. PABB004]
OG0000456	PRW59201.1 presenilin [Chlorella sorokiniana], PRW32591.1 Clavaminate synthase [Chlorella sorokiniana], PRW56073.1 hypothetical protein C2E21_4970 [Chlorella sorokiniana]	KAF8056836.1 Psn [Scenedesmus sp. PABB004]
OG0000457	PRW56076.1 GATA transcription factor [Chlorella sorokiniana]	KAF8058430.1 Pyruvate kinase isozyme A [Scenedesmus sp. PABB004]
OG0000457	PRW56168.1 Pyruvate kinase isozyme chloroplastic isoform B [Chlorella sorokiniana]	KAF8061067.1 dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 2 [Scenedesmus sp. PABB004]
OG0000458	PRW58976.1 Nucleoside diphosphate kinase 1 [Chlorella sorokiniana]	KAF8058308.1 NDPK1 [Scenedesmus sp. PABB004]
OG0000460	PRW33001.1 Proliferating cell nuclear antigen [Chlorella sorokiniana], PRW45431.1 proliferating cell nuclear antigen [Chlorella sorokiniana]	KAF8062932.1 Proliferating cell nuclear antigen [Scenedesmus sp. PABB004]
OG0000461	PRW34011.1 pyruvate kinase [Chlorella sorokiniana]	KAF8071061.1 Pyruvate kinase [Scenedesmus sp. PABB004]
OG0000463	PRW45599.1 glycoside hydrolase family 9 [Chlorella sorokiniana], PRW45660.1 serine threonine- kinase 2 19-like isoform B [Chlorella sorokiniana], PRW45661.1 serine threonine- kinase 2 19-like isoform A [Chlorella sorokiniana]	KAF8056117.1 ATPK2 [Scenedesmus sp. PABB004]
OG0000464	PRW05828.1 nuclear cap-binding subunit 1 isoform A [Chlorella sorokiniana], PRW05829.1 nuclear cap-binding subunit 1 isoform B [Chlorella sorokiniana]	KAF8071162.1 APE2 [Scenedesmus sp. PABB004]
OG0000465	PRW61134.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Chlorella sorokiniana], PRW58184.1 putative amino-acid acetyltransferase chloroplastic isoform X1 [Chlorella sorokiniana], PRW58107.1 F-box LRR-repeat 4 [Chlorella sorokiniana]	KAF8060080.1 NAGS2 [Scenedesmus sp. PABB004]
OG0000466	PRW20335.1 RNase Bm2 [Chlorella sorokiniana], PRW39224.1 ribonuclease 2-like [Chlorella sorokiniana]	KAF8072919.1 hypothetical protein HT031_000579 [Scenedesmus sp. PABB004]
OG0000467	PRW05764.1 thioredoxin chloroplastic [Chlorella sorokiniana]	KAF8072916.1 TRX-X [Scenedesmus sp. PABB004]
OG0000468	PRW60039.1 Rab family GTPase [Chlorella sorokiniana], PRW58406.1 Rab8 -family small GTPase [Chlorella sorokiniana]	KAF8059453.1 RAB1BV [Scenedesmus sp. PABB004]
OG0000469	PRW45515.1 PLP-dependent threonine dehydratase [Chlorella sorokiniana], PRW39107.1 threonine deaminase isoform A [Chlorella sorokiniana], PRW39106.1 threonine deaminase isoform B [Chlorella sorokiniana]	KAF8072663.1 TD1 [Scenedesmus sp. PABB004]
OG0000470	PRW45063.1 multisubstrate pseudouridine synthase 7-like [Chlorella sorokiniana], PRW20658.1 leucine--tRNA cytoplasmic [Chlorella sorokiniana]	KAF8060524.1 leucine--tRNA ligase [Scenedesmus sp. PABB004]
OG0000471	PRW57595.1 histone chaperone asf1 [Chlorella sorokiniana]	KAF8072620.1 ASF1B [Scenedesmus sp. PABB004]
OG0000472	PRW58056.1 mTERF domain-containing mitochondrial isoform A [Chlorella sorokiniana], PRW58055.1 mTERF domain-containing mitochondrial isoform B [Chlorella sorokiniana], PRW57823.1 ATP-dependent helicase [Chlorella sorokiniana]	KAF8072690.1 MAA3 [Scenedesmus sp. PABB004]
OG0000473	PRW58546.1 WD repeat-containing 26-like isoform B [Chlorella sorokiniana], PRW58545.1 WD repeat-containing 26-like isoform A [Chlorella sorokiniana], PRW57454.1 WD repeat-containing 26-like [Chlorella sorokiniana]	KAF8072567.1 WDR26 [Scenedesmus sp. PABB004]
OG0000474	PRW45659.1 Chaperone dnaJ 10 [Chlorella sorokiniana], PRW45693.1 Structure-specific endonuclease subunit SLX1 [Chlorella sorokiniana]	KAF8068169.1 Ethe1 [Scenedesmus sp. PABB004]
OG0000475	PRW45561.1 Peptidyl-prolyl cis-trans isomerase D [Chlorella sorokiniana]	KAF8072652.1 cyp6 [Scenedesmus sp. PABB004]
OG0000476	PRW45423.1 Carbohydrate-Binding Module Family 45 [Chlorella sorokiniana]	KAF8071284.1 R1 [Scenedesmus sp. PABB004], KAF8059679.1 R1 [Scenedesmus sp. PABB004]
OG0000477	PRW58282.1 saccharopine dehydrogenase [Chlorella sorokiniana], PRW33541.1 GTP-binding hflX isoform A [Chlorella sorokiniana], PRW33542.1 GTP-binding hflX isoform B [Chlorella sorokiniana]	KAF8063066.1 hflX [Scenedesmus sp. PABB004]
OG0000478	PRW60888.1 transducin beta 3 isoform B [Chlorella sorokiniana]	KAF8072540.1 TBL3 [Scenedesmus sp. PABB004]
OG0000478	PRW60889.1 transducin beta 3 isoform A [Chlorella sorokiniana]	KAF8068432.1 APR3 [Scenedesmus sp. PABB004]
OG0000479	PRW45617.1 ER membrane complex subunit 7-like protein [Chlorella sorokiniana]	KAF8072726.1 ER membrane protein complex subunit 7 [Scenedesmus sp. PABB004]
OG0000479	PRW45519.1 sister chromatid cohesion DCC1 [Chlorella sorokiniana]	KAF8068237.1 dscc1 [Scenedesmus sp. PABB004]
OG0000480	PRW61590.1 Peptide chain release factor 1 [Chlorella sorokiniana]	KAF8063808.1 prfA [Scenedesmus sp. PABB004], KAF8072695.1 RPL3 [Scenedesmus sp. PABB004]
OG0000483	PRW56995.1 elongation factor 3 [Chlorella sorokiniana], PRW57323.1 elongation factor 3 [Chlorella sorokiniana]	KAF8055983.1 tef3 [Scenedesmus sp. PABB004]
OG0000483	PRW20411.1 elongation factor EF-3 isoform B [Chlorella sorokiniana], PRW20412.1 elongation factor EF-3 isoform A [Chlorella sorokiniana]	KAF8058137.1 tef3 [Scenedesmus sp. PABB004]
OG0000485	PRW61447.1 hard-surface induced 5 [Chlorella sorokiniana], PRW61107.1 L-olivosyl-oleandolide 3-O-methyltransferase isoform B [Chlorella sorokiniana], PRW61108.1 L-olivosyl-oleandolide 3-O-methyltransferase isoform A [Chlorella sorokiniana], PRW61552.1 L-olivosyl-oleandolide 3-O-methyltransferase [Chlorella sorokiniana], PRW61276.1 cephalosporin hydroxylase [Chlorella sorokiniana]	KAF8059102.1 djlA [Scenedesmus sp. PABB004]
OG0000486	PRW50866.1 glycoside hydrolase family 20 isoform B [Chlorella sorokiniana], PRW50867.1 glycoside hydrolase family 20 isoform A [Chlorella sorokiniana], PRW33107.1 beta-hexosaminidase subunit beta isoform X1 [Chlorella sorokiniana]	KAF8065948.1 nahA [Scenedesmus sp. PABB004]
OG0000488	PRW59796.1 cytochrome P450 [Chlorella sorokiniana], PRW58538.1 cytochrome P450 [Chlorella sorokiniana]	KAF8072963.1 CYP3A24 [Scenedesmus sp. PABB004]
OG0000489	PRW60649.1 alpha-amylase [Chlorella sorokiniana]	KAF8055834.1 SPAC27E2.01 [Scenedesmus sp. PABB004]
OG0000489	PRW32903.1 alpha-1_3-glucan synthase Mok11 [Chlorella sorokiniana]	KAF8067137.1 mok12 [Scenedesmus sp. PABB004]
OG0000490	PRW60468.1 ligand-gated ion channel [Chlorella sorokiniana], PRW57913.1 ligand-gated ion channel [Chlorella sorokiniana], PRW32538.1 ligand-gated ion channel [Chlorella sorokiniana]	KAF8055655.1 hypothetical protein HT031_006677 [Scenedesmus sp. PABB004], KAF8059117.1 hypothetical protein HT031_005289 [Scenedesmus sp. PABB004]
OG0000492	PRW56298.1 Hemerythrin HHE cation binding domain [Chlorella sorokiniana], PRW44452.1 hemerythrin [Chlorella sorokiniana], PRW44498.1 hemerythrin hhe cation binding subfamily [Chlorella sorokiniana], PRW60295.1 hemerythrin isoform A [Chlorella sorokiniana], PRW60296.1 hemerythrin isoform B [Chlorella sorokiniana]	KAF8068430.1 hypothetical protein HT031_002119 [Scenedesmus sp. PABB004], KAF8069521.1 hemerythrin-like protein [Scenedesmus sp. PABB004]
OG0000493	PRW56655.1 ankyrin repeat [Chlorella sorokiniana]	KAF8071214.1 OCT4 [Scenedesmus sp. PABB004]
OG0000498	PRW33822.1 GDT1 chloroplastic isoform X3 [Chlorella sorokiniana]	KAF8060328.1 PAM71 [Scenedesmus sp. PABB004]
OG0000498	PRW20776.1 GDT1 chloroplastic [Chlorella sorokiniana]	KAF8055118.1 GDT1-like protein [Scenedesmus sp. PABB004]
OG0000499	PRW05873.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Chlorella sorokiniana]	KAF8073089.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073039.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073040.1 Twinkle-like protein [Scenedesmus sp. PABB004]
OG0000500	PRW33546.1 aluminum resistance family [Chlorella sorokiniana]	KAF8066226.1 ynbB [Scenedesmus sp. PABB004]
OG0000501	PRW57544.1 putative S-acyltransferase 7 [Chlorella sorokiniana]	KAF8060562.1 PAT04 [Scenedesmus sp. PABB004]
OG0000503	PRW56891.1 P-loop containing nucleoside triphosphate hydrolase [Chlorella sorokiniana]	KAF8069503.1 ycf45 [Scenedesmus sp. PABB004]
OG0000503	PRW32556.1 single-stranded DNA-binding [Chlorella sorokiniana]	KAF8054898.1 ycf45 [Scenedesmus sp. PABB004]
OG0000506	PRW59317.1 DDT domain-containing protein [Chlorella sorokiniana]	KAF8056773.1 hypothetical protein HT031_006271 [Scenedesmus sp. PABB004], KAF8056775.1 hypothetical protein HT031_006273 [Scenedesmus sp. PABB004]
OG0000510	PRW44253.1 3-phosphoshikimate 1-carboxyvinyltransferase isoform C [Chlorella sorokiniana], PRW44255.1 3-phosphoshikimate 1-carboxyvinyltransferase isoform B [Chlorella sorokiniana], PRW44254.1 3-phosphoshikimate 1-carboxyvinyltransferase isoform A [Chlorella sorokiniana]	KAF8064502.1 3-phosphoshikimate 1-carboxyvinyltransferase [Scenedesmus sp. PABB004]
OG0000511	PRW58543.1 alpha beta hydrolase family [Chlorella sorokiniana]	KAF8072899.1 hypothetical protein HT031_000559 [Scenedesmus sp. PABB004]
OG0000511	PRW58655.1 thiol-disulfide oxidoreductase [Chlorella sorokiniana]	KAF8072696.1 hypothetical protein HT031_000356 [Scenedesmus sp. PABB004]
OG0000512	PRW21065.1 glutamate--cysteine chloroplastic isoform B [Chlorella sorokiniana], PRW21064.1 glutamate--cysteine chloroplastic isoform A [Chlorella sorokiniana]	KAF8066224.1 GSH1-1 [Scenedesmus sp. PABB004], KAF8057135.1 RH3A [Scenedesmus sp. PABB004]
OG0000514	PRW20788.1 Mg2+ transporter [Chlorella sorokiniana]	KAF8068273.1 MRS2-7 [Scenedesmus sp. PABB004]
OG0000515	PRW20777.1 Gamma-interferon-inducible lysosomal thiol reductase [Chlorella sorokiniana], PRW60442.1 40S ribosomal S2-4 [Chlorella sorokiniana], PRW57316.1 gamma-interferon-inducible lysosomal thiol reductase-like [Chlorella sorokiniana]	KAF8063862.1 hypothetical protein HT031_003719 [Scenedesmus sp. PABB004]
OG0000516	PRW57260.1 Methionine-tRNA [Chlorella sorokiniana]	KAF8067162.1 hypothetical protein HT031_002209 [Scenedesmus sp. PABB004]
OG0000517	PRW57028.1 hypothetical protein C2E21_4128 [Chlorella sorokiniana], PRW57029.1 hypothetical protein C2E21_4128 [Chlorella sorokiniana]	KAF8072623.1 hypothetical protein HT031_000283 [Scenedesmus sp. PABB004]
OG0000519	PRW57514.1 putative UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC [Chlorella sorokiniana]	KAF8058410.1 hypothetical protein HT031_005534 [Scenedesmus sp. PABB004]
OG0000520	PRW60705.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Chlorella sorokiniana], PRW60289.1 ubiquitin-40S ribosomal S27a [Chlorella sorokiniana]	KAF8058944.1 SRD5A1 [Scenedesmus sp. PABB004]
OG0000521	PRW61285.1 Sorting and assembly machinery component 50 [Chlorella sorokiniana]	KAF8060317.1 protein phosphatase 2C 69 [Scenedesmus sp. PABB004]
OG0000522	PRW61303.1 succinate dehydrogenase subunit b560 [Chlorella sorokiniana]	KAF8060045.1 DnAJ-like protein [Scenedesmus sp. PABB004], KAF8067356.1 sdhC [Scenedesmus sp. PABB004]
OG0000524	PRW57962.1 glycosyl transferase [Chlorella sorokiniana], PRW57725.1 glycosyltransferase family 8 [Chlorella sorokiniana]	KAF8065585.1 hypothetical protein HT031_003186 [Scenedesmus sp. PABB004]
OG0000525	PRW58002.1 alanine--tRNA ligase isoform A [Chlorella sorokiniana], PRW58001.1 alanine--tRNA ligase isoform B [Chlorella sorokiniana], PRW58831.1 hypothetical protein C2E21_2495 [Chlorella sorokiniana]	KAF8056468.1 hypothetical protein HT031_006325 [Scenedesmus sp. PABB004]
OG0000526	PRW60920.1 BSD domain-containing 1 [Chlorella sorokiniana]	KAF8058920.1 BSDC1 [Scenedesmus sp. PABB004]
OG0000527	PRW57019.1 U2 snRNP-associated SURP motif-containing -like isoform X1 [Chlorella sorokiniana]	KAF8062719.1 RRC1 [Scenedesmus sp. PABB004]
OG0000527	PRW57027.1 CDC27 family isoform 1 [Chlorella sorokiniana]	KAF8062637.1 CDC27B [Scenedesmus sp. PABB004]
OG0000528	PRW60765.1 random slug 5-like [Chlorella sorokiniana]	KAF8064679.1 pitC [Scenedesmus sp. PABB004]
OG0000529	PRW21117.1 Glyoxylate hydroxypyruvate reductase A isoform B [Chlorella sorokiniana], PRW21118.1 Glyoxylate hydroxypyruvate reductase A isoform A [Chlorella sorokiniana], PRW58584.1 glucuronokinase 1 isoform C [Chlorella sorokiniana], PRW60844.1 Glyoxylate hydroxypyruvate reductase A [Chlorella sorokiniana]	KAF8056146.1 ghrA [Scenedesmus sp. PABB004]
OG0000530	PRW32554.1 SNF1-related kinase catalytic subunit alpha KIN10-like [Chlorella sorokiniana]	KAF8069704.1 KIN10 [Scenedesmus sp. PABB004]
OG0000530	PRW44951.1 SNF1-related kinase catalytic subunit alpha KIN10 [Chlorella sorokiniana]	KAF8063775.1 KIN10 [Scenedesmus sp. PABB004]
OG0000531	PRW45104.1 inactive purple acid phosphatase 2 [Chlorella sorokiniana]	KAF8069374.1 PAP27 [Scenedesmus sp. PABB004], KAF8062967.1 hypothetical protein HT031_003806 [Scenedesmus sp. PABB004]
OG0000535	PRW60177.1 kinesinlike KIF6 [Chlorella sorokiniana], PRW60045.1 6-phosphogluconolactonase 1 [Chlorella sorokiniana]	KAF8072934.1 KIF6 [Scenedesmus sp. PABB004]
OG0000537	PRW33725.1 low-CO2-inducible chloroplast envelope [Chlorella sorokiniana]	KAF8072617.1 hypothetical protein HT031_000277 [Scenedesmus sp. PABB004], KAF8072984.1 SPAC4G9.20c [Scenedesmus sp. PABB004], KAF8059733.1 Slc25a29 [Scenedesmus sp. PABB004], KAF8059734.1 SPAC4G9.20c [Scenedesmus sp. PABB004]
OG0000538	PRW20296.1 DNA mismatch repair MSH6 isoform A [Chlorella sorokiniana], PRW20297.1 DNA mismatch repair MSH6 isoform B [Chlorella sorokiniana]	KAF8072792.1 MSH6 [Scenedesmus sp. PABB004]
OG0000540	PRW44419.1 DNA-directed DNA RNA polymerase mu isoform B [Chlorella sorokiniana], PRW44418.1 DNA-directed DNA RNA polymerase mu isoform A [Chlorella sorokiniana], PRW44417.1 DNA-directed DNA RNA polymerase mu isoform C [Chlorella sorokiniana], PRW44242.1 DNA polymerase lambda [Chlorella sorokiniana]	KAF8060023.1 hypothetical protein HT031_004961 [Scenedesmus sp. PABB004]
OG0000541	PRW18355.1 superoxide dismutase [Fe] [Chlorella sorokiniana], PRW58106.1 superoxide dismutase [Fe] [Chlorella sorokiniana]	KAF8072345.1 hypothetical protein HT031_000004 [Scenedesmus sp. PABB004], KAF8054759.1 hypothetical protein HT031_006941 [Scenedesmus sp. PABB004], KAF8070899.1 hypothetical protein HT031_000980 [Scenedesmus sp. PABB004]
OG0000542	PRW20928.1 mitochondrial substrate carrier family P-like [Chlorella sorokiniana]	KAF8059184.1 COAC2 [Scenedesmus sp. PABB004]
OG0000543	PRW60617.1 D-lactate dehydrogenase [Chlorella sorokiniana]	KAF8072967.1 Aurka [Scenedesmus sp. PABB004]
OG0000543	PRW60322.1 downstream neighbor of Son isoform X1 [Chlorella sorokiniana]	KAF8064678.1 CPK18 [Scenedesmus sp. PABB004]
OG0000544	PRW56262.1 Sedoheptulose-1_7- chloroplastic [Chlorella sorokiniana]	KAF8067269.1 hypothetical protein HT031_002316 [Scenedesmus sp. PABB004]
OG0000545	PRW58382.1 serine--tRNA mitochondrial isoform X1 [Chlorella sorokiniana]	KAF8072598.1 Aspartate aminotransferase P2 [Scenedesmus sp. PABB004], KAF8055987.1 OVA7 [Scenedesmus sp. PABB004]
