Orthogroup	Chlorella_Sorokiniana1602	Micractinium_SAG24180
OG0000752	PRW61508.1 Histidinol-phosphate aminotransferase chloroplastic [Chlorella sorokiniana]	PSC74017.1 histidinol-phosphate aminotransferase [Micractinium conductrix], PSC74274.1 vacuolar sorting-associated chloroplastic [Micractinium conductrix]
OG0000753	PRW59385.1 Succinyl- ligase [ADP-forming] subunit mitochondrial isoform B [Chlorella sorokiniana], PRW59384.1 Succinyl- ligase [ADP-forming] subunit mitochondrial isoform A [Chlorella sorokiniana]	PSC67908.1 Succinyl-ligase [ADP-forming] subunit mitochondrial [Micractinium conductrix]
OG0000754	PRW56337.1 aspartate mitochondrial [Chlorella sorokiniana]	PSC69059.1 aspartate aminotransferase isoform B [Micractinium conductrix], PSC69060.1 aspartate aminotransferase isoform A [Micractinium conductrix]
OG0000754	PRW59270.1 aspartate aminotransferase [Chlorella sorokiniana]	PSC72490.1 aspartate cytoplasmic [Micractinium conductrix]
OG0000755	PRW56757.1 ethylene-responsive transcription factor WRI1-like [Chlorella sorokiniana], PRW56581.1 hypothetical protein C2E21_4769 [Chlorella sorokiniana]	PSC68122.1 hypothetical protein C2E20_8258 [Micractinium conductrix], PSC68110.1 hypothetical protein C2E20_8257 [Micractinium conductrix]
OG0000756	PRW58054.1 ATP-dependent DNA helicase PIF1 [Chlorella sorokiniana]	PSC73053.1 ATP-dependent DNA helicase PIF1 [Micractinium conductrix]
OG0000756	PRW56986.1 DNA helicase ATP-dependent [Chlorella sorokiniana]	PSC73766.1 DNA helicase ATP-dependent [Micractinium conductrix]
OG0000757	PRW05750.1 phospholipid-translocating ATPase_ partial [Chlorella sorokiniana], PRW05852.1 phospholipid-translocating P-type ATPase [Chlorella sorokiniana]	PSC69805.1 phospholipid-translocating P-type ATPase [Micractinium conductrix]
OG0000759	PRW33935.1 nuclear mitotic apparatus 1 isoform X2 [Chlorella sorokiniana]	PSC76391.1 myosin-9-like isoform X1 [Micractinium conductrix]
OG0000760	PRW58126.1 EF hand [Chlorella sorokiniana]	PSC76505.1 EF hand [Micractinium conductrix]
OG0000760	PRW57325.1 EF hand [Chlorella sorokiniana]	PSC72189.1 EF hand [Micractinium conductrix]
OG0000761	PRW58208.1 generative cell specific-1 [Chlorella sorokiniana]	PSC75389.1 generative cell specific-1 [Micractinium conductrix]
OG0000761	PRW56094.1 phosphatidylinositol N-acetylglucosaminyltransferase gpi3 subunit-like isoform X5 [Chlorella sorokiniana]	PSC71664.1 phosphatidylinositol N-acetylglucosaminyltransferase gpi3 subunit isoform X3 [Micractinium conductrix]
OG0000762	PRW58585.1 glucuronokinase 1 isoform A [Chlorella sorokiniana], PRW58586.1 glucuronokinase 1 isoform B [Chlorella sorokiniana]	PSC68869.1 glucuronokinase 1-like [Micractinium conductrix], PSC76968.1 MFS general substrate transporter [Micractinium conductrix]
OG0000763	PRW20689.1 Ubiquitin-activating enzyme E1 2 isoform A [Chlorella sorokiniana], PRW20688.1 Ubiquitin-activating enzyme E1 2 isoform B [Chlorella sorokiniana]	PSC67218.1 Ubiquitin-activating enzyme E1 2 [Micractinium conductrix]
OG0000764	PRW45549.1 hypothetical protein C2E21_6053 [Chlorella sorokiniana]	PSC68197.1 gamma-tocopherol methyltransferase isoform A [Micractinium conductrix], PSC68196.1 gamma-tocopherol methyltransferase isoform B [Micractinium conductrix]
OG0000765	PRW20358.1 GTP diphosphokinase chloroplastic isoform X1 isoform A [Chlorella sorokiniana], PRW20357.1 GTP diphosphokinase chloroplastic isoform X1 isoform B [Chlorella sorokiniana]	PSC74447.1 Guanosine-3_ 5 -bis_diphosphate_ 3 -pyrophosphohydrolase [Micractinium conductrix]
OG0000766	PRW45373.1 Long-chain-alcohol oxidase FAO1 [Chlorella sorokiniana]	PSC68186.1 Long-chain-alcohol oxidase FAO1 isoform A [Micractinium conductrix], PSC68185.1 Long-chain-alcohol oxidase FAO1 isoform B [Micractinium conductrix]
OG0000767	PRW18400.1 vacuolar transport chaperone [Chlorella sorokiniana]	PSC73539.1 protection of telomeres 1 [Micractinium conductrix]
OG0000768	PRW60914.1 Alternative oxidase [Chlorella sorokiniana]	PSC73394.1 alternative oxidase [Micractinium conductrix]
OG0000768	PRW61073.1 Alternative oxidase [Chlorella sorokiniana]	PSC70539.1 alternative oxidase [Micractinium conductrix]
OG0000769	PRW61273.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PSC73251.1 RETICULATA-RELATED chloroplastic-like isoform X1 [Micractinium conductrix]
OG0000770	PRW32573.1 glucose-6-phosphate 1-epimerase [Chlorella sorokiniana]	PSC73084.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix]
OG0000770	PRW60993.1 glucose-6-phosphate 1-epimerase [Chlorella sorokiniana]	PSC73327.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix]
OG0000771	PRW50753.1 NEFA-interacting nuclear NIP30_N-terminal [Chlorella sorokiniana]	PSC75898.1 hypothetical protein C2E20_1152 isoform X2 [Micractinium conductrix]
OG0000771	PRW50859.1 growth arrest-specific 8 [Chlorella sorokiniana]	PSC75470.1 growth arrest-specific 8 [Micractinium conductrix]
OG0000772	PRW44925.1 formate acetyltransferase [Chlorella sorokiniana]	PSC70466.1 formate acetyltransferase [Micractinium conductrix], PSC70431.1 transcription initiation factor IIF subunit alpha isoform X2 isoform A [Micractinium conductrix], PSC70430.1 transcription initiation factor IIF subunit alpha isoform X2 isoform B [Micractinium conductrix]
OG0000773	PRW50879.1 iron-sulfur cluster assembly isoform B [Chlorella sorokiniana], PRW50878.1 iron-sulfur cluster assembly isoform A [Chlorella sorokiniana]	PSC69732.1 putative phosphatase 2C 55 isoform A [Micractinium conductrix], PSC69731.1 putative phosphatase 2C 55 isoform B [Micractinium conductrix]
OG0000774	PRW51009.1 Meiotically up-regulated 66 [Chlorella sorokiniana]	PSC69772.1 Meiotically up-regulated 66 [Micractinium conductrix]
OG0000775	PRW51115.1 histone-lysine N-methyltransferase [Chlorella sorokiniana]	PSC75269.1 Histone-lysine N-methyltransferase_ H3 lysine-4 specific isoform A [Micractinium conductrix], PSC75270.1 Histone-lysine N-methyltransferase_ H3 lysine-4 specific isoform B [Micractinium conductrix]
OG0000776	PRW32944.1 uric acid degradation bifunctional TTL isoform X1 [Chlorella sorokiniana]	PSC67168.1 OHCU decarboxylase [Micractinium conductrix]
OG0000776	PRW32890.1 Hydroxyisourate hydrolase [Chlorella sorokiniana]	PSC67174.1 5-hydroxyisourate isoform B [Micractinium conductrix], PSC67173.1 5-hydroxyisourate isoform A [Micractinium conductrix]
OG0000777	PRW20269.1 glyoxylase family [Chlorella sorokiniana]	PSC70747.1 glyoxylase family [Micractinium conductrix], PSC70687.1 hypothetical protein C2E20_5796 [Micractinium conductrix]
OG0000778	PRW60186.1 pentatricopeptide repeat-containing [Chlorella sorokiniana]	PSC68405.1 SET domain-containing [Micractinium conductrix]
OG0000779	PRW51001.1 ribonuclease Rne Rng family [Chlorella sorokiniana]	PSC75598.1 hypothetical protein C2E20_1272 [Micractinium conductrix]
OG0000779	PRW51071.1 general transcription factor IIE subunit 1-like [Chlorella sorokiniana]	PSC75801.1 general transcription factor IIE subunit 1 [Micractinium conductrix]
OG0000780	PRW33691.1 CBS domain [Chlorella sorokiniana]	PSC67382.1 E3 ubiquitin-ligase [Micractinium conductrix]
OG0000780	PRW33094.1 uroporphyrinogen-III C-methyltransferase [Chlorella sorokiniana]	PSC69260.1 uroporphyrinogen-III C-methyltransferase [Micractinium conductrix]
OG0000781	PRW33331.1 Metallo-dependent phosphatase [Chlorella sorokiniana]	PSC69232.1 Bis_5 -nucleosyl_-symmetrical [Micractinium conductrix]
OG0000782	PRW58173.1 phosphatidic acid phosphatase-related [Chlorella sorokiniana]	PSC75842.1 hypothetical protein C2E20_1662 [Micractinium conductrix]
OG0000782	PRW18362.1 vanadium-dependent haloperoxidase [Chlorella sorokiniana]	PSC72832.1 vanadium-dependent haloperoxidase [Micractinium conductrix]
OG0000783	PRW58289.1 Hydroxymethylglutaryl- mitochondrial [Chlorella sorokiniana]	PSC73868.1 Hydroxymethylglutaryl-mitochondrial isoform A [Micractinium conductrix], PSC73867.1 Hydroxymethylglutaryl-mitochondrial isoform B [Micractinium conductrix]
OG0000784	PRW33931.1 putative dolichol-phosphate mannosyltransferase [Chlorella sorokiniana], PRW33829.1 putative tetraacyldisaccharide 4 - mitochondrial isoform X1 [Chlorella sorokiniana]	PSC77006.1 dolichol-phosphate mannosyltransferase subunit 1 [Micractinium conductrix]
OG0000785	PRW56799.1 triphosphate tunel metalloenzyme 3-like [Chlorella sorokiniana]	PSC72412.1 triphosphate tunel metalloenzyme 3-like [Micractinium conductrix]
OG0000786	PRW59711.1 hypothetical protein C2E21_1337 [Chlorella sorokiniana]	PSC69594.1 ribulosamine 3-chloroplastic [Micractinium conductrix]
OG0000787	PRW45377.1 isovaleryl- mitochondrial [Chlorella sorokiniana], PRW44904.1 isovaleryl- mitochondrial [Chlorella sorokiniana], PRW45332.1 indole-3-glycerol phosphate synthase [Chlorella sorokiniana]	PSC68944.1 Isovaleryl-dehydrogenase [Micractinium conductrix]
OG0000788	PRW20359.1 centrin [Chlorella sorokiniana]	PSC74525.1 centrin [Micractinium conductrix]
OG0000789	PRW33905.1 ROOT INITIATION DEFECTIVE 3 [Chlorella sorokiniana]	PSC76556.1 ROOT INITIATION DEFECTIVE 3 [Micractinium conductrix]
OG0000791	PRW59054.1 serine threonine phosphatase [Chlorella sorokiniana]	PSC75687.1 serine threonine phosphatase [Micractinium conductrix]
OG0000791	PRW59402.1 integrin-linked kinase-associated serine threonine phosphatase 2C [Chlorella sorokiniana]	PSC67886.1 phosphatase 2C 24 [Micractinium conductrix]
OG0000792	PRW59515.1 inositol oxygenase 1-like isoform X1 [Chlorella sorokiniana]	PSC77025.1 F-box LRR-repeat 20 [Micractinium conductrix]
OG0000793	PRW56567.1 ROOT HAIR DEFECTIVE 3 [Chlorella sorokiniana]	PSC68109.1 ROOT HAIR DEFECTIVE 3 [Micractinium conductrix]
OG0000794	PRW58359.1 diaminohydroxyphosphoribosylaminopyrimidine deaminase [Chlorella sorokiniana]	PSC68689.1 diaminohydroxyphosphoribosylaminopyrimidine deaminase [Micractinium conductrix]
OG0000795	PRW32657.1 peptidase [Chlorella sorokiniana]	PSC76207.1 dipeptidyl aminopeptidase acylaminoacyl peptidase [Micractinium conductrix]
OG0000797	PRW58789.1 nuclear pore complex NUP98A isoform X1 isoform B [Chlorella sorokiniana], PRW58788.1 nuclear pore complex NUP98A isoform X1 isoform A [Chlorella sorokiniana], PRW58790.1 nuclear pore complex NUP98A isoform X1 isoform C [Chlorella sorokiniana]	PSC76895.1 nuclear pore complex NUP98A isoform C [Micractinium conductrix], PSC76894.1 nuclear pore complex NUP98A isoform A [Micractinium conductrix], PSC76893.1 nuclear pore complex NUP98A isoform B [Micractinium conductrix]
OG0000798	PRW45094.1 dCMP deaminase [Chlorella sorokiniana]	PSC76527.1 dCMP deaminase [Micractinium conductrix]
OG0000799	PRW44603.1 mitochondrial nuclease [Chlorella sorokiniana]	PSC75639.1 Mitochondrial nuclease [Micractinium conductrix]
OG0000800	PRW59131.1 NADPH-dependent thioredoxin reductase A [Chlorella sorokiniana]	PSC76406.1 NADPH-dependent thioredoxin reductase A [Micractinium conductrix]
OG0000800	PRW56725.1 NADPH dependent thioredoxin reductase [Chlorella sorokiniana]	PSC72451.1 thioredoxin reductase [Micractinium conductrix]
OG0000801	PRW56846.1 30S ribosomal S5 [Chlorella sorokiniana]	PSC72494.1 30S ribosomal S5 [Micractinium conductrix]
OG0000802	PRW32847.1 60S ribosomal L19-2 isoform B [Chlorella sorokiniana], PRW32846.1 60S ribosomal L19-2 isoform A [Chlorella sorokiniana]	PSC76813.1 60S ribosomal L19-2 [Micractinium conductrix]
OG0000803	PRW60646.1 solute carrier family 35 member F1-like [Chlorella sorokiniana]	PSC69334.1 solute carrier family 35 member F1-like [Micractinium conductrix]
OG0000804	PRW57497.1 NADH-cytochrome b5 reductase [Chlorella sorokiniana]	PSC72155.1 NADH-cytochrome b5 reductase [Micractinium conductrix]
OG0000804	PRW05938.1 NADH--cytochrome b5 reductase 1 [Chlorella sorokiniana]	PSC68419.1 NADH-cytochrome b5 reductase 1 [Micractinium conductrix]
OG0000805	PRW32935.1 SIN3 component of histone deacetylase complex isoform A [Chlorella sorokiniana], PRW32937.1 SIN3 component of histone deacetylase complex isoform B [Chlorella sorokiniana], PRW32936.1 SIN3 component of histone deacetylase complex isoform C [Chlorella sorokiniana]	PSC76597.1 Paired amphipathic helix isoform C [Micractinium conductrix], PSC76596.1 Paired amphipathic helix isoform A [Micractinium conductrix], PSC76598.1 Paired amphipathic helix isoform B [Micractinium conductrix]
OG0000806	PRW44269.1 Mitochondrial pyruvate carrier 2 [Chlorella sorokiniana]	PSC70850.1 mitochondrial pyruvate carrier 4 [Micractinium conductrix]
OG0000806	PRW44421.1 glycerophosphodiester phosphodiesterase [Chlorella sorokiniana]	PSC70906.1 glycerophosphodiester phosphodiesterase [Micractinium conductrix]
OG0000807	PRW61083.1 calcium-dependent kinase 1-like [Chlorella sorokiniana]	PSC73283.1 Plasma membrane iron permease [Micractinium conductrix]
OG0000808	PRW61288.1 RNA-binding Nova-2-like isoform X1 isoform B [Chlorella sorokiniana], PRW61287.1 RNA-binding Nova-2-like isoform X1 isoform A [Chlorella sorokiniana]	PSC70603.1 RNA-binding Nova-1 [Micractinium conductrix]
OG0000809	PRW59811.1 R3H domain-containing 4 isoform X2 [Chlorella sorokiniana]	PSC69651.1 R3H domain-containing 4 isoform X2 [Micractinium conductrix]
OG0000810	PRW56573.1 mannan endo-1_4-beta-mannosidase 2-like [Chlorella sorokiniana]	PSC71493.1 mannan endo-1_4-beta-mannosidase [Micractinium conductrix]
OG0000811	PRW45485.1 ABC transporter G family member 22 [Chlorella sorokiniana]	PSC68609.1 ABC transporter G family member 22-like [Micractinium conductrix]
OG0000812	PRW58960.1 calcium-translocating P-type PMCA-type [Chlorella sorokiniana]	PSC76270.1 Calcium-transporting ATPase PAT1 [Micractinium conductrix]
OG0000813	PRW20266.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW20267.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]	PSC70736.1 Phospholipase A_1_ chloroplastic [Micractinium conductrix]
OG0000813	PRW57015.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana], PRW57016.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]	PSC72147.1 Phospholipase A_1_ chloroplastic [Micractinium conductrix]
OG0000815	PRW57002.1 3-ketoacyl- thiolase peroxisomal [Chlorella sorokiniana]	PSC73425.1 3-ketoacyl-thiolase peroxisomal [Micractinium conductrix]
OG0000815	PRW59580.1 3-ketoacyl- thiolase peroxisomal [Chlorella sorokiniana]	PSC76644.1 3-ketoacyl-thiolase peroxisomal [Micractinium conductrix]
OG0000816	PRW56772.1 hypothetical protein C2E21_4640 [Chlorella sorokiniana]	PSC70613.1 THUMP domain [Micractinium conductrix]
OG0000816	PRW56831.1 cell division [Chlorella sorokiniana]	PSC74803.1 hypothetical protein C2E20_2103 [Micractinium conductrix]
OG0000817	PRW45494.1 family transporter_ chloride ion channel [Chlorella sorokiniana]	PSC71767.1 family transporter_ chloride ion channel [Micractinium conductrix]
OG0000817	PRW57241.1 acetyl- hydrolase [Chlorella sorokiniana]	PSC71122.1 H_+_ Cl_-_ exchange transporter 7 [Micractinium conductrix]
OG0000818	PRW33924.1 mitochondrial carrier isoform B [Chlorella sorokiniana], PRW33923.1 mitochondrial carrier isoform A [Chlorella sorokiniana]	PSC67426.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform B [Micractinium conductrix], PSC76352.1 mitochondrial carrier isoform A [Micractinium conductrix], PSC76353.1 mitochondrial carrier isoform B [Micractinium conductrix], PSC67425.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform A [Micractinium conductrix]
OG0000819	PRW56691.1 Tbc2 translation chloroplastic [Chlorella sorokiniana]	PSC69747.1 Tbc2 translation chloroplastic [Micractinium conductrix]
OG0000820	PRW57618.1 gamma carbonic anhydrase mitochondrial [Chlorella sorokiniana]	PSC73935.1 gamma carbonic anhydrase mitochondrial [Micractinium conductrix]
OG0000821	PRW18338.1 30S ribosomal chloroplastic-like [Chlorella sorokiniana], PRW61068.1 hypothetical protein C2E21_0255 [Chlorella sorokiniana]	PSC73298.1 30S ribosomal S17 [Micractinium conductrix]
OG0000822	PRW51025.1 Plastidial lipoyltransferase 2 [Chlorella sorokiniana]	PSC75742.1 plastidial lipoyltransferase 2 [Micractinium conductrix]
OG0000822	PRW44247.1 Octanoyltransferase [Chlorella sorokiniana]	PSC75351.1 octanoyltransferase [Micractinium conductrix]
OG0000823	PRW44293.1 N-alpha-acetyltransferase daf-31 [Chlorella sorokiniana]	PSC75296.1 elongator complex 5 [Micractinium conductrix], PSC75502.1 N-alpha-acetyltransferase 11-like [Micractinium conductrix]
OG0000824	PRW58031.1 DNA-directed RNA polymerase I complex large subunit Nuc1 isoform B [Chlorella sorokiniana], PRW58030.1 DNA-directed RNA polymerase I complex large subunit Nuc1 isoform A [Chlorella sorokiniana]	PSC74762.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Micractinium conductrix]
OG0000826	PRW56338.1 60S ribosomal L37a [Chlorella sorokiniana]	PSC71657.1 60S ribosomal L37a [Micractinium conductrix]
OG0000827	PRW44622.1 acetohydroxy acid isomeroreductase isoform A [Chlorella sorokiniana], PRW44623.1 acetohydroxy acid isomeroreductase isoform B [Chlorella sorokiniana]	PSC69959.1 acetohydroxy acid isomeroreductase isoform B [Micractinium conductrix], PSC69958.1 acetohydroxy acid isomeroreductase isoform C [Micractinium conductrix], PSC69960.1 acetohydroxy acid isomeroreductase isoform A [Micractinium conductrix]
OG0000828	PRW61279.1 required for cyt b6 assembly [Chlorella sorokiniana], PRW61400.1 Ribosomal L21 [Chlorella sorokiniana]	PSC70636.1 50S ribosomal mitochondrial-like [Micractinium conductrix]
OG0000829	PRW20215.1 hypothetical protein C2E21_9220 [Chlorella sorokiniana]	PSC71241.1 hypothetical protein C2E20_5260 [Micractinium conductrix]
OG0000830	PRW45730.1 SRSF kinase 1 [Chlorella sorokiniana]	PSC68985.1 SRSF kinase 1 [Micractinium conductrix]
OG0000831	PRW60820.1 methyltransferase NSUN6 isoform X1 [Chlorella sorokiniana]	PSC74923.1 methyltransferase NSUN6 [Micractinium conductrix], PSC75009.1 von Willebrand factor type EGF andpentraxin domain-containing 1 Flags_ Precursor [Micractinium conductrix], PSC75108.1 hypothetical protein C2E20_1860 [Micractinium conductrix], PSC75222.1 serine threonine [Micractinium conductrix], PSC75144.1 serine threonine [Micractinium conductrix], PSC75107.1 serine threonine [Micractinium conductrix], PSC74950.1 von Willebrand factor type EGF andpentraxin domain-containing 1 Flags_ Precursor [Micractinium conductrix]
OG0000832	PRW57539.1 NADP malic enzyme [Chlorella sorokiniana]	PSC71198.1 NADP malic enzyme [Micractinium conductrix]
OG0000832	PRW33894.1 NADP-dependent malate dehydrogenase [Chlorella sorokiniana]	PSC69433.1 NADP-dependent malate dehydrogenase [Micractinium conductrix]
OG0000833	PRW56201.1 uclacyanin 3 [Chlorella sorokiniana], PRW57933.1 uclacyanin 3 [Chlorella sorokiniana]	PSC67893.1 mavicyanin-like [Micractinium conductrix]
OG0000834	PRW59800.1 mannose-P-dolichol utilization defect 1-like protein 2 [Chlorella sorokiniana], PRW59976.1 transmembrane of CMA family [Chlorella sorokiniana]	PSC68347.1 mannose-P-dolichol utilization defect 1-like protein 2 [Micractinium conductrix]
OG0000835	PRW44556.1 Protease Do-like chloroplastic [Chlorella sorokiniana]	PSC75530.1 Protease Do-like chloroplastic [Micractinium conductrix]
OG0000837	PRW45371.1 anaphase-promoting complex subunit 1 isoform X1 [Chlorella sorokiniana]	PSC69419.1 anaphase-promoting complex subunit 1 isoform X2 isoform C [Micractinium conductrix], PSC69420.1 anaphase-promoting complex subunit 1 isoform X2 isoform B [Micractinium conductrix], PSC69418.1 anaphase-promoting complex subunit 1 isoform X2 isoform D [Micractinium conductrix], PSC69417.1 anaphase-promoting complex subunit 1 isoform X2 isoform A [Micractinium conductrix]
OG0000838	PRW61363.1 domain-containing 2 [Chlorella sorokiniana]	PSC70531.1 nudC domain-containing 2 [Micractinium conductrix]
OG0000839	PRW58672.1 maltose O-acetyltransferase [Chlorella sorokiniana]	PSC67235.1 maltose O-acetyltransferase [Micractinium conductrix]
OG0000839	PRW58596.1 Translocation sec62 [Chlorella sorokiniana]	PSC67244.1 translocation -related [Micractinium conductrix]
OG0000840	PRW58409.1 RRP15 isoform X2 [Chlorella sorokiniana]	PSC75816.1 RRP15 [Micractinium conductrix]
OG0000840	PRW57081.1 resistance to phytophthora [Chlorella sorokiniana]	PSC68220.1 hypothetical protein C2E20_8166 [Micractinium conductrix]
OG0000841	PRW45724.1 histone deacetylase 15 isoform X2 [Chlorella sorokiniana]	PSC68929.1 histone deacetylase 15 isoform X1 [Micractinium conductrix]
OG0000842	PRW58174.1 THO complex subunit 5 [Chlorella sorokiniana]	PSC68643.1 thioredoxin peroxidase [Micractinium conductrix]
OG0000843	PRW61216.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana], PRW56582.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana]	PSC70591.1 GDP-L-fucose synthase 2 [Micractinium conductrix]
OG0000844	PRW59868.1 ENTH-domain-containing [Chlorella sorokiniana]	PSC74585.1 hypothetical protein C2E20_2371 [Micractinium conductrix]
OG0000844	PRW45169.1 ENTH domain-containing [Chlorella sorokiniana]	PSC70402.1 Clathrin interactor EPSIN 3 isoform B [Micractinium conductrix], PSC70401.1 Clathrin interactor EPSIN 3 isoform C [Micractinium conductrix], PSC70403.1 Clathrin interactor EPSIN 3 isoform A [Micractinium conductrix]
OG0000845	PRW58697.1 regulator of CO2-responsive genes [Chlorella sorokiniana]	PSC75702.1 regulator of CO2-responsive genes isoform B [Micractinium conductrix], PSC75703.1 regulator of CO2-responsive genes isoform A [Micractinium conductrix]
OG0000846	PRW50951.1 p25-alpha family [Chlorella sorokiniana]	PSC76607.1 p25-alpha family [Micractinium conductrix]
OG0000846	PRW39367.1 senescence-associated nodulin [Chlorella sorokiniana]	PSC71858.1 flagellar associated [Micractinium conductrix]
OG0000848	PRW56960.1 ferredoxin [Chlorella sorokiniana]	PSC71155.1 ferredoxin [Micractinium conductrix]
OG0000848	PRW60233.1 ferredoxin [Chlorella sorokiniana], PRW60372.1 Fe-only [Chlorella sorokiniana]	PSC74930.1 NADH_ubiquinone oxidoreductase [Micractinium conductrix]
OG0000849	PRW51083.1 Vesicle transport SFT2B [Chlorella sorokiniana]	PSC75903.1 Vesicle transport SFT2B [Micractinium conductrix]
OG0000849	PRW32633.1 Peptidyl-tRNA hydrolase family [Chlorella sorokiniana]	PSC76907.1 Peptidyl-tRNA hydrolase family [Micractinium conductrix]
OG0000850	PRW57326.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 [Chlorella sorokiniana]	PSC71061.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform A [Micractinium conductrix], PSC71060.1 P-loop containing nucleoside triphosphate hydrolases superfamily isoform 1 isoform B [Micractinium conductrix]
OG0000851	PRW61232.1 glycosyl hydrolase [Chlorella sorokiniana]	PSC74838.1 glycosyl hydrolase [Micractinium conductrix]
OG0000851	PRW61119.1 glycosyl hydrolase [Chlorella sorokiniana]	PSC76253.1 glycosyl hydrolase [Micractinium conductrix]
OG0000852	PRW59684.1 Fibronectin type-III domain-containing 3a [Chlorella sorokiniana]	PSC72863.1 Fibronectin type-III domain-containing 3a [Micractinium conductrix]
OG0000852	PRW59679.1 cleavage stimulating factor 64-like [Chlorella sorokiniana]	PSC72860.1 inactive purple acid phosphatase 27 [Micractinium conductrix]
OG0000853	PRW60142.1 phragmoplast orienting kinesin 2 [Chlorella sorokiniana]	PSC68399.1 phragmoplast orienting kinesin 2 isoform A [Micractinium conductrix], PSC68398.1 phragmoplast orienting kinesin 2 isoform B [Micractinium conductrix]
OG0000853	PRW34071.1 phragmoplast orienting kinesin 2 [Chlorella sorokiniana]	PSC76795.1 phragmoplast orienting kinesin 2 [Micractinium conductrix]
OG0000854	PRW59789.1 disulfide-isomerase like 2-2 [Chlorella sorokiniana]	PSC76497.1 disulfide-isomerase like 2-2 [Micractinium conductrix]
OG0000855	PRW56029.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20866.1 UPF0187 chloroplastic [Chlorella sorokiniana]	PSC75297.1 UPF0187_ chloroplastic [Micractinium conductrix]
OG0000855	PRW45440.1 UPF0187 chloroplastic [Chlorella sorokiniana]	PSC73554.1 UPF0187 chloroplastic [Micractinium conductrix]
OG0000856	PRW61536.1 putative tRNA N6-adenosine threonylcarbamoyltransferase [Chlorella sorokiniana]	PSC73388.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform A [Micractinium conductrix]
OG0000856	PRW61227.1 coiled-coil domain-containing 124 [Chlorella sorokiniana]	PSC73389.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform B [Micractinium conductrix]
OG0000857	PRW20397.1 boron transporter 1-like isoform X1 [Chlorella sorokiniana]	PSC72356.1 putative boron transporter 2 [Micractinium conductrix]
OG0000859	PRW20340.1 GDSL-like lipase acylhydrolase domain containing [Chlorella sorokiniana]	PSC74692.1 hypothetical protein C2E20_2453 [Micractinium conductrix], PSC74397.1 hypothetical protein C2E20_2450 [Micractinium conductrix]
OG0000859	PRW59318.1 1-alkyl-2-acetylglycerophosphocholine esterase [Chlorella sorokiniana], PRW60156.1 Platelet-activating factor isoform gamma subunit [Chlorella sorokiniana]	PSC69995.1 hypothetical protein C2E20_6428 [Micractinium conductrix]
OG0000860	PRW20580.1 hypothetical protein C2E21_8960 [Chlorella sorokiniana]	PSC67991.1 S-adenosyl-L-methionine-dependent methyltransferase [Micractinium conductrix]
OG0000860	PRW20511.1 acetyltransferase [Chlorella sorokiniana]	PSC67978.1 lysine methyltransferase METTL21B [Micractinium conductrix]
OG0000861	PRW20519.1 DNase I [Chlorella sorokiniana], PRW60994.1 Sulfotransferase family [Chlorella sorokiniana], PRW57183.1 hypothetical protein C2E21_3873 [Chlorella sorokiniana]	PSC70644.1 Sulfotransferase family [Micractinium conductrix]
OG0000862	PRW20783.1 lytic transglycosylase [Chlorella sorokiniana]	PSC76019.1 cell wall hydrolase [Micractinium conductrix]
OG0000862	PRW61172.1 lytic transglycosylase [Chlorella sorokiniana]	PSC74647.1 lytic transglycosylase [Micractinium conductrix]
OG0000862	PRW45360.1 peptidoglycan-binding [Chlorella sorokiniana], PRW45585.1 peptidoglycan-binding [Chlorella sorokiniana]	PSC74411.1 peptidoglycan-binding [Micractinium conductrix]
OG0000863	PRW39308.1 REJ domain [Chlorella sorokiniana], PRW21119.1 Insulin-like growth factor binding N-terminal [Chlorella sorokiniana]	PSC69914.1 FU domain containing [Micractinium conductrix], PSC69906.1 putative serine threonine-kinase isoform X1 [Micractinium conductrix], PSC69901.1 putative serine threonine-kinase isoform X1 isoform A [Micractinium conductrix], PSC69900.1 putative serine threonine-kinase isoform X1 isoform B [Micractinium conductrix]
OG0000863	PRW57967.1 surface antigen [Chlorella sorokiniana]	PSC76902.1 REJ domain [Micractinium conductrix]
OG0000864	PRW57956.1 hypothetical protein C2E21_3584 [Chlorella sorokiniana], PRW21122.1 SAM-dependent methyltransferase [Chlorella sorokiniana]	PSC74727.1 SAM-dependent methyltransferase [Micractinium conductrix]
OG0000864	PRW60023.1 SAM-dependent methyltransferase [Chlorella sorokiniana]	PSC69007.1 SAM-dependent methyltransferase [Micractinium conductrix]
