Orthogroup	Chlorella_Sorokiniana1602	Chlorella_A99
OG0000234	PRW60850.1 eukaryotic initiation factor 4A-3 [Chlorella sorokiniana]	PCFQ01000013.1 g3308 [Chlorella sp. A99]
OG0000235	PRW56049.1 bifunctional acetaldehyde- alcohol dehydrogenase [Chlorella sorokiniana], PRW60149.1 bifunctional acetaldehyde- alcohol dehydrogenase isoform A [Chlorella sorokiniana], PRW60150.1 bifunctional acetaldehyde- alcohol dehydrogenase isoform B [Chlorella sorokiniana]	PCFQ01000078.1 g2174 [Chlorella sp. A99], PCFQ01000078.1 g2173 [Chlorella sp. A99]
OG0000235	PRW59702.1 hypothetical protein C2E21_1819 [Chlorella sorokiniana]	PCFQ01000058.1 g13 [Chlorella sp. A99]
OG0000235	PRW58160.1 coatomer subunit alpha-1 [Chlorella sorokiniana]	PCFQ01000058.1 g12 [Chlorella sp. A99]
OG0000236	PRW60642.1 alanine aminotransferase 2 [Chlorella sorokiniana]	PCFQ01000003.1 g1064 [Chlorella sp. A99], PCFQ01000018.1 g444 [Chlorella sp. A99]
OG0000237	PRW39120.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW39118.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW33060.1 hypothetical protein C2E21_7981 [Chlorella sorokiniana], PRW59309.1 serine threonine [Chlorella sorokiniana]	PCFQ01000079.1 g1482 [Chlorella sp. A99]
OG0000240	PRW56610.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]	PCFQ01000020.1 g930 [Chlorella sp. A99]
OG0000240	PRW05836.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]	PCFQ01000008.1 g1135 [Chlorella sp. A99]
OG0000241	PRW32542.1 B-cell receptor-associated 31 [Chlorella sorokiniana]	PCFQ01000058.1 g56 [Chlorella sp. A99]
OG0000242	PRW21103.1 Phospholipase B-like 1 isoform B [Chlorella sorokiniana], PRW21102.1 Phospholipase B-like 1 isoform A [Chlorella sorokiniana]	PCFQ01000082.1 g603 [Chlorella sp. A99]
OG0000243	PRW61565.1 cobalamin-dependent methionine synthase [Chlorella sorokiniana]	PCFQ01000079.1 g1256 [Chlorella sp. A99]
OG0000243	PRW44368.1 KRI1-like protein [Chlorella sorokiniana]	PCFQ01000011.1 g2774 [Chlorella sp. A99]
OG0000246	PRW58726.1 cold-regulated 1 [Chlorella sorokiniana], PRW59088.1 cold-regulated 1 [Chlorella sorokiniana], PRW33569.1 cold-regulated 1 [Chlorella sorokiniana]	PCFQ01000037.1 g2373 [Chlorella sp. A99]
OG0000247	PRW44307.1 2-cys peroxiredoxin [Chlorella sorokiniana]	PCFQ01000037.1 g2474 [Chlorella sp. A99]
OG0000250	PRW45536.1 light-harvesting of photosystem I [Chlorella sorokiniana]	PCFQ01000001.1 g965 [Chlorella sp. A99]
OG0000250	PRW45697.1 light-harvesting of photosystem I [Chlorella sorokiniana]	PCFQ01000001.1 g964 [Chlorella sp. A99]
OG0000251	PRW59954.1 Aldo keto reductase [Chlorella sorokiniana], PRW60123.1 aldo keto reductase [Chlorella sorokiniana], PRW59829.1 aldo keto reductase [Chlorella sorokiniana], PRW59739.1 aldo keto reductase [Chlorella sorokiniana], PRW59960.1 putative aldo-keto reductase 2 [Chlorella sorokiniana]	PCFQ01000078.1 g2116 [Chlorella sp. A99]
OG0000252	PRW50937.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	PCFQ01000005.1 g764 [Chlorella sp. A99]
OG0000252	PRW51008.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	PCFQ01000005.1 g763 [Chlorella sp. A99]
OG0000254	PRW33322.1 50S ribosomal L11 [Chlorella sorokiniana]	PCFQ01000003.1 g1024 [Chlorella sp. A99]
OG0000255	PRW56850.1 hypothetical protein C2E21_4857 [Chlorella sorokiniana]	PCFQ01000011.1 g2834 [Chlorella sp. A99]
OG0000255	PRW45470.1 mitochondrial inner membrane protease subunit 1-like [Chlorella sorokiniana]	PCFQ01000079.1 g1346 [Chlorella sp. A99]
OG0000259	PRW56745.1 putative WD repeat-containing [Chlorella sorokiniana]	PCFQ01000077.1 g1744 [Chlorella sp. A99]
OG0000260	PRW57528.1 homogentisate chloroplastic [Chlorella sorokiniana]	PCFQ01000007.1 g1216 [Chlorella sp. A99]
OG0000261	PRW21007.1 voltage-gated ion channel superfamily [Chlorella sorokiniana]	PCFQ01000079.1 g1419 [Chlorella sp. A99]
OG0000262	PRW57187.1 formate--tetrahydrofolate ligase [Chlorella sorokiniana]	PCFQ01000009.1 g1669 [Chlorella sp. A99]
OG0000263	PRW57978.1 flagellar associated [Chlorella sorokiniana]	PCFQ01000004.1 g2579 [Chlorella sp. A99]
OG0000263	PRW56460.1 flagellar associated [Chlorella sorokiniana]	PCFQ01000008.1 g1178 [Chlorella sp. A99]
OG0000264	PRW33030.1 LOV domain-containing [Chlorella sorokiniana]	PCFQ01000079.1 g1441 [Chlorella sp. A99]
OG0000266	PRW51108.1 ERAD-associated E3 ubiquitin- ligase HRD1B-like [Chlorella sorokiniana], PRW50794.1 Dual-specificity RNA methyltransferase [Chlorella sorokiniana]	PCFQ01000005.1 g839 [Chlorella sp. A99]
OG0000267	PRW58300.1 raffinose synthase [Chlorella sorokiniana]	PCFQ01000058.1 g169 [Chlorella sp. A99]
OG0000267	PRW56188.1 raffinose synthase [Chlorella sorokiniana], PRW33710.1 raffinose synthase isoform B [Chlorella sorokiniana], PRW33709.1 raffinose synthase isoform A [Chlorella sorokiniana]	PCFQ01000011.1 g2856 [Chlorella sp. A99]
OG0000268	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana]	PCFQ01000010.1 g340 [Chlorella sp. A99]
OG0000269	PRW56783.1 Secretory carrier-associated membrane 1 [Chlorella sorokiniana], PRW56439.1 floral homeotic [Chlorella sorokiniana]	PCFQ01000008.1 g1105 [Chlorella sp. A99]
OG0000270	PRW58100.1 DNA-directed RNA polymerase III largest subunit [Chlorella sorokiniana]	PCFQ01000058.1 g198 [Chlorella sp. A99]
OG0000270	PRW57000.1 DNA-directed RNA polymerase II subunit 1 [Chlorella sorokiniana]	PCFQ01000009.1 g1707 [Chlorella sp. A99]
OG0000271	PRW59490.1 strawberry notch isoform X2 [Chlorella sorokiniana], PRW57209.1 strawberry notch [Chlorella sorokiniana]	PCFQ01000007.1 g1238 [Chlorella sp. A99]
OG0000273	PRW20212.1 phosphoglucomutase [Chlorella sorokiniana], PRW58905.1 Heterogeneous nuclear ribonucleo A1-like 2 [Chlorella sorokiniana]	PCFQ01000079.1 g1421 [Chlorella sp. A99]
OG0000274	PRW60837.1 agmatine deiminase [Chlorella sorokiniana]	PCFQ01000013.1 g3357 [Chlorella sp. A99]
OG0000275	PRW60594.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	PCFQ01000013.1 g3333 [Chlorella sp. A99]
OG0000276	PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]	PCFQ01000006.1 g3220 [Chlorella sp. A99]
OG0000285	PRW59338.1 ATP-binding cassette transporter [Chlorella sorokiniana]	PCFQ01000081.1 g1578 [Chlorella sp. A99], PCFQ01000001.1 g986 [Chlorella sp. A99], PCFQ01000001.1 g984 [Chlorella sp. A99], PCFQ01000037.1 g2435 [Chlorella sp. A99]
OG0000285	PRW55972.1 ABC transporter B family member 11-like [Chlorella sorokiniana], PRW56013.1 ABC transporter B family member 4-like [Chlorella sorokiniana]	PCFQ01000011.1 g2893 [Chlorella sp. A99], PCFQ01000011.1 g2826 [Chlorella sp. A99]
OG0000287	PRW33685.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform C [Chlorella sorokiniana], PRW33686.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform B [Chlorella sorokiniana], PRW33683.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform A [Chlorella sorokiniana]	PCFQ01000012.1 g1838 [Chlorella sp. A99]
OG0000287	PRW33751.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Chlorella sorokiniana]	PCFQ01000012.1 g1834 [Chlorella sp. A99]
OG0000288	PRW45181.1 hypothetical protein C2E21_6228 [Chlorella sorokiniana]	PCFQ01000020.1 g899 [Chlorella sp. A99]
OG0000288	PRW39302.1 Palmitoyl-monogalactosyldiacylglycerol delta-7 chloroplastic [Chlorella sorokiniana]	PCFQ01000082.1 g597 [Chlorella sp. A99]
OG0000289	PRW56940.1 meiotic recombination DMC1-like protein [Chlorella sorokiniana], PRW56723.1 DNA repair RAD51-like protein [Chlorella sorokiniana]	PCFQ01000011.1 g2795 [Chlorella sp. A99]
OG0000291	PRW18387.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana], PRW57336.1 MFT2 - Corn MFT [Chlorella sorokiniana]	PCFQ01000020.1 g913 [Chlorella sp. A99]
OG0000292	PRW51030.1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [Chlorella sorokiniana]	PCFQ01000078.1 g2171 [Chlorella sp. A99]
OG0000293	PRW57858.1 calcium-dependent kinase 29-like [Chlorella sorokiniana]	PCFQ01000078.1 g2170 [Chlorella sp. A99]
OG0000294	PRW57672.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]	PCFQ01000015.1 g2952 [Chlorella sp. A99]
OG0000296	PRW58468.1 glucose-6-phosphate cytosolic [Chlorella sorokiniana]	PCFQ01000058.1 g194 [Chlorella sp. A99]
OG0000296	PRW05793.1 cytosolic phosphoglucose isomerase isoform C [Chlorella sorokiniana], PRW05792.1 cytosolic phosphoglucose isomerase isoform A [Chlorella sorokiniana], PRW05794.1 cytosolic phosphoglucose isomerase isoform B [Chlorella sorokiniana]	PCFQ01000010.1 g290 [Chlorella sp. A99]
OG0000297	PRW58863.1 putative anion transporter chloroplastic [Chlorella sorokiniana], PRW58838.1 putative anion transporter chloroplastic [Chlorella sorokiniana]	PCFQ01000004.1 g2670 [Chlorella sp. A99]
OG0000299	PRW58194.1 COP9 signalosome complex subunit 5b-like [Chlorella sorokiniana]	PCFQ01000058.1 g145 [Chlorella sp. A99]
OG0000300	PRW33953.1 inorganic pyrophosphatase isoform A [Chlorella sorokiniana], PRW33952.1 inorganic pyrophosphatase isoform B [Chlorella sorokiniana], PRW20574.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]	PCFQ01000015.1 g2975 [Chlorella sp. A99]
OG0000301	PRW56106.1 peptidylglycine alpha-amidating monooxygenase [Chlorella sorokiniana]	PCFQ01000006.1 g3119 [Chlorella sp. A99]
OG0000302	PRW20261.1 Spermatogenesis-associated [Chlorella sorokiniana]	PCFQ01000079.1 g1392 [Chlorella sp. A99]
OG0000302	PRW56325.1 cell division cycle 48-like protein [Chlorella sorokiniana]	PCFQ01000011.1 g2902 [Chlorella sp. A99]
OG0000303	PRW33517.1 glucose-6-phosphate 1- cytoplasmic isoform [Chlorella sorokiniana]	PCFQ01000073.1 g1969 [Chlorella sp. A99]
OG0000303	PRW57282.1 glucose-6-phosphate 1- chloroplastic-like [Chlorella sorokiniana]	PCFQ01000005.1 g828 [Chlorella sp. A99]
OG0000304	PRW60098.1 dynamin-related 3B-like isoform B [Chlorella sorokiniana], PRW60097.1 dynamin-related 3B-like isoform A [Chlorella sorokiniana]	PCFQ01000078.1 g2208 [Chlorella sp. A99]
OG0000305	PRW39307.1 ribonucleoside-diphosphate reductase small chain [Chlorella sorokiniana]	PCFQ01000053.1 g2547 [Chlorella sp. A99]
OG0000305	PRW58060.1 ribonucleoside-diphosphate reductase small chain isoform A [Chlorella sorokiniana]	PCFQ01000019.1 g1793 [Chlorella sp. A99]
OG0000306	PRW45108.1 serine carboxypeptidase-like 25 [Chlorella sorokiniana], PRW58099.1 kinase-like superfamily [Chlorella sorokiniana], PRW44896.1 kinase-like superfamily [Chlorella sorokiniana]	PCFQ01000019.1 g1805 [Chlorella sp. A99]
OG0000307	PRW58599.1 cystathionine gamma-synthase [Chlorella sorokiniana], PRW44988.1 Vacuolar sorting-associated [Chlorella sorokiniana], PRW45000.1 methionine gamma-lyase [Chlorella sorokiniana]	PCFQ01000079.1 g1493 [Chlorella sp. A99]
OG0000308	PRW56492.1 proton phosphate symporter [Chlorella sorokiniana]	PCFQ01000006.1 g3114 [Chlorella sp. A99]
OG0000310	PRW39161.1 20 kDa chloroplastic-like [Chlorella sorokiniana], PRW39229.1 solute carrier family 40 member chloroplastic [Chlorella sorokiniana]	PCFQ01000053.1 g2545 [Chlorella sp. A99]
OG0000310	PRW44534.1 20 kDa chloroplastic [Chlorella sorokiniana]	PCFQ01000079.1 g1300 [Chlorella sp. A99]
OG0000311	PRW56687.1 nitrite transporter NAR1 [Chlorella sorokiniana]	PCFQ01000008.1 g1138 [Chlorella sp. A99]
OG0000311	PRW57490.1 nitrite transporter NAR1 [Chlorella sorokiniana]	PCFQ01000037.1 g2350 [Chlorella sp. A99]
OG0000312	PRW57821.1 ARF guanine-nucleotide exchange factor GNOM-like [Chlorella sorokiniana]	PCFQ01000082.1 g530 [Chlorella sp. A99]
OG0000313	PRW44292.1 ABC transporter A family member 7-like isoform A [Chlorella sorokiniana]	PCFQ01000005.1 g790 [Chlorella sp. A99]
OG0000313	PRW58817.1 ABC transporter A family member 7-like [Chlorella sorokiniana]	PCFQ01000037.1 g2418 [Chlorella sp. A99]
OG0000314	PRW57144.1 DNA polymerase delta small subunit [Chlorella sorokiniana], PRW57089.1 meiotic recombination [Chlorella sorokiniana]	PCFQ01000081.1 g1538 [Chlorella sp. A99]
OG0000315	PRW33076.1 alpha-glucan water chloroplastic [Chlorella sorokiniana]	PCFQ01000079.1 g1446 [Chlorella sp. A99]
OG0000316	PRW59363.1 6-phosphogluconate decarboxylating [Chlorella sorokiniana]	PCFQ01000004.1 g2607 [Chlorella sp. A99]
OG0000316	PRW59001.1 5 -3 exoribonuclease 1 [Chlorella sorokiniana]	PCFQ01000004.1 g2667 [Chlorella sp. A99]
OG0000317	PRW50984.1 26S protease regulatory subunit 6B-like protein [Chlorella sorokiniana]	PCFQ01000079.1 g1381 [Chlorella sp. A99]
OG0000317	PRW57564.1 26S proteasome regulatory subunit 4-like protein B [Chlorella sorokiniana]	PCFQ01000082.1 g500 [Chlorella sp. A99]
OG0000318	PRW20481.1 Nex18 symbiotically induced [Chlorella sorokiniana]	PCFQ01000006.1 g3260 [Chlorella sp. A99], PCFQ01000002.1 g718 [Chlorella sp. A99], PCFQ01000002.1 g715 [Chlorella sp. A99]
OG0000319	PRW39290.1 Soluble starch synthase chloroplastic amyloplastic isoform A [Chlorella sorokiniana], PRW39289.1 Soluble starch synthase chloroplastic amyloplastic isoform B [Chlorella sorokiniana], PRW44481.1 glycosyltransferase family 5 [Chlorella sorokiniana]	PCFQ01000037.1 g2543 [Chlorella sp. A99]
OG0000320	PRW39347.1 histone deacetylase isoform A [Chlorella sorokiniana], PRW39346.1 histone deacetylase isoform B [Chlorella sorokiniana], PRW60354.1 riboflavin kinase isoform B [Chlorella sorokiniana], PRW60355.1 riboflavin kinase isoform A [Chlorella sorokiniana]	PCFQ01000010.1 g347 [Chlorella sp. A99]
OG0000321	PRW58003.1 AP-1 complex subunit sigma-1 [Chlorella sorokiniana]	PCFQ01000082.1 g526 [Chlorella sp. A99]
OG0000323	PRW55919.1 hypothetical protein C2E21_5144 [Chlorella sorokiniana], PRW50804.1 short-chain dehydrogenase reductase SDR [Chlorella sorokiniana]	PCFQ01000011.1 g2892 [Chlorella sp. A99]
OG0000324	PRW20465.1 lysine--tRNA ligase isoform X2 isoform B [Chlorella sorokiniana]	PCFQ01000002.1 g701 [Chlorella sp. A99]
OG0000324	PRW20466.1 lysine--tRNA ligase isoform X2 isoform A [Chlorella sorokiniana]	PCFQ01000002.1 g706 [Chlorella sp. A99]
OG0000325	PRW58025.1 Potassium transporter family isoform B [Chlorella sorokiniana], PRW58026.1 Potassium transporter family isoform C [Chlorella sorokiniana], PRW58027.1 Potassium transporter family isoform A [Chlorella sorokiniana]	PCFQ01000018.1 g431 [Chlorella sp. A99], PCFQ01000009.1 g1689 [Chlorella sp. A99]
OG0000326	PRW59499.1 hypothetical protein C2E21_1646 [Chlorella sorokiniana]	PCFQ01000006.1 g3199 [Chlorella sp. A99]
OG0000327	PRW56955.1 Six-hairpin glycosidase [Chlorella sorokiniana]	PCFQ01000081.1 g1550 [Chlorella sp. A99]
OG0000331	PRW51078.1 mitochondrial fission process 1 [Chlorella sorokiniana]	PCFQ01000079.1 g1374 [Chlorella sp. A99]
OG0000332	PRW57907.1 glycosyl transferase [Chlorella sorokiniana], PRW60906.1 glycosyl transferase [Chlorella sorokiniana]	PCFQ01000006.1 g3109 [Chlorella sp. A99]
OG0000333	PRW50936.1 Carotene biosynthesis-related CBR [Chlorella sorokiniana]	PCFQ01000013.1 g3277 [Chlorella sp. A99]
OG0000340	PRW56139.1 chaperone 1 [Chlorella sorokiniana]	PCFQ01000011.1 g2832 [Chlorella sp. A99]
OG0000341	PRW57924.1 ATP-NAD kinase isoform B [Chlorella sorokiniana], PRW57923.1 ATP-NAD kinase isoform A [Chlorella sorokiniana]	PCFQ01000015.1 g3012 [Chlorella sp. A99]
OG0000344	PRW39337.1 ATP-dependent zinc metalloprotease FTSH chloroplastic [Chlorella sorokiniana]	PCFQ01000010.1 g382 [Chlorella sp. A99]
OG0000344	PRW33093.1 membrane AAA-metalloprotease [Chlorella sorokiniana]	PCFQ01000003.1 g1029 [Chlorella sp. A99]
OG0000345	PRW61164.1 DNA-directed RNA polymerase II subunit RPB2 isoform A [Chlorella sorokiniana], PRW61165.1 DNA-directed RNA polymerase II subunit RPB2 isoform B [Chlorella sorokiniana], PRW60975.1 DNA polymerase alpha catalytic subunit [Chlorella sorokiniana]	PCFQ01000079.1 g1263 [Chlorella sp. A99]
OG0000346	PRW61037.1 SUMO-activating enzyme subunit 2 [Chlorella sorokiniana]	PCFQ01000058.1 g214 [Chlorella sp. A99]
OG0000346	PRW05923.1 ATP-dependent DNA helicase Q-like 3 [Chlorella sorokiniana]	PCFQ01000079.1 g1379 [Chlorella sp. A99]
OG0000348	PRW57238.1 translocase of chloroplast chloroplastic-like [Chlorella sorokiniana]	PCFQ01000081.1 g1659 [Chlorella sp. A99]
OG0000348	PRW57507.1 Ankyrin repeat domain-containing 2 [Chlorella sorokiniana]	PCFQ01000081.1 g1626 [Chlorella sp. A99]
OG0000350	PRW57191.1 serine threonine- kinase prpf4B-like [Chlorella sorokiniana]	PCFQ01000009.1 g1696 [Chlorella sp. A99]
OG0000351	PRW39127.1 methionyl-tRNA synthetase [Chlorella sorokiniana]	PCFQ01000010.1 g298 [Chlorella sp. A99]
OG0000353	PRW56898.1 U5 small nuclear ribonucleo 40 kDa [Chlorella sorokiniana]	PCFQ01000009.1 g1678 [Chlorella sp. A99]
OG0000354	PRW61146.1 starch phosphorylase [Chlorella sorokiniana]	PCFQ01000079.1 g1254 [Chlorella sp. A99]
OG0000354	PRW61019.1 Alpha-glucan phosphorylase cytosolic [Chlorella sorokiniana]	PCFQ01000010.1 g334 [Chlorella sp. A99]
OG0000355	PRW05929.1 Serine threonine- kinase chloroplastic [Chlorella sorokiniana], PRW05883.1 putative ubiquitin conjugation factor E4 [Chlorella sorokiniana]	PCFQ01000079.1 g1376 [Chlorella sp. A99]
OG0000356	PRW56671.1 DEAD-box ATP-dependent RNA helicase 10 [Chlorella sorokiniana]	PCFQ01000011.1 g2804 [Chlorella sp. A99]
OG0000356	PRW56033.1 RNA helicase [Chlorella sorokiniana]	PCFQ01000011.1 g2866 [Chlorella sp. A99]
OG0000357	PRW56012.1 AAAP family transporter_ amino acid [Chlorella sorokiniana], PRW21130.1 glycerol dehydrogenase [Chlorella sorokiniana]	PCFQ01000079.1 g1460 [Chlorella sp. A99]
OG0000359	PRW20538.1 hypothetical protein C2E21_8941 [Chlorella sorokiniana]	PCFQ01000002.1 g727 [Chlorella sp. A99]
OG0000360	PRW50836.1 UDP-galactose transporter 2-like [Chlorella sorokiniana], PRW60898.1 UDP-galactose transporter 2 [Chlorella sorokiniana]	PCFQ01000005.1 g759 [Chlorella sp. A99], PCFQ01000005.1 g850 [Chlorella sp. A99]
OG0000361	PRW58886.1 beta-1_3-galactosyltransferase 2-like [Chlorella sorokiniana]	PCFQ01000037.1 g2401 [Chlorella sp. A99]
OG0000362	PRW59736.1 serine threonine- kinase tricorner-like [Chlorella sorokiniana], PRW57390.1 serine threonine kinase [Chlorella sorokiniana]	PCFQ01000081.1 g1541 [Chlorella sp. A99]
OG0000363	PRW60280.1 E set domain-containing isoform B [Chlorella sorokiniana], PRW60281.1 E set domain-containing isoform A [Chlorella sorokiniana]	PCFQ01000006.1 g3217 [Chlorella sp. A99]
OG0000363	PRW56843.1 G -activated inward rectifier potassium channel 2 [Chlorella sorokiniana]	PCFQ01000079.1 g1434 [Chlorella sp. A99]
OG0000364	PRW55997.1 heat shock [Chlorella sorokiniana]	PCFQ01000011.1 g2886 [Chlorella sp. A99]
OG0000366	PRW58356.1 serine carboxypeptidase-like 21 [Chlorella sorokiniana]	PCFQ01000058.1 g120 [Chlorella sp. A99]
OG0000367	PRW20525.1 pyruvate carboxylase isoform A [Chlorella sorokiniana], PRW20526.1 pyruvate carboxylase isoform B [Chlorella sorokiniana]	PCFQ01000014.1 g1885 [Chlorella sp. A99]
OG0000369	PRW05946.1 dehydroascorbate reductase [Chlorella sorokiniana]	PCFQ01000079.1 g1377 [Chlorella sp. A99]
OG0000370	PRW20721.1 phosphotransferase inositol or phosphatidylinositol kinase [Chlorella sorokiniana]	PCFQ01000018.1 g468 [Chlorella sp. A99], PCFQ01000018.1 g467 [Chlorella sp. A99]
OG0000370	PRW20624.1 Transcription-associated 1 [Chlorella sorokiniana]	PCFQ01000018.1 g469 [Chlorella sp. A99]
OG0000371	PRW56161.1 E3 ubiquitin- ligase COP1-like isoform X1 [Chlorella sorokiniana]	PCFQ01000006.1 g3103 [Chlorella sp. A99]
OG0000372	PRW18290.1 GDP-mannose 3_5-epimerase 2 [Chlorella sorokiniana]	PCFQ01000006.1 g3160 [Chlorella sp. A99]
OG0000374	PRW59214.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Chlorella sorokiniana]	PCFQ01000037.1 g2375 [Chlorella sp. A99]
OG0000375	PRW32534.1 4-aminobutyrate aminotransferase [Chlorella sorokiniana]	PCFQ01000058.1 g203 [Chlorella sp. A99]
OG0000375	PRW32482.1 CCAAT enhancer-binding zeta [Chlorella sorokiniana]	PCFQ01000046.1 g1848 [Chlorella sp. A99]
OG0000376	PRW44917.1 hypothetical protein C2E21_6489 [Chlorella sorokiniana]	PCFQ01000019.1 g1819 [Chlorella sp. A99]
OG0000377	PRW58587.1 Beta-mannosidase isoform A [Chlorella sorokiniana], PRW58588.1 Beta-mannosidase isoform B [Chlorella sorokiniana]	PCFQ01000058.1 g62 [Chlorella sp. A99]
OG0000379	PRW58639.1 hypothetical protein C2E21_2984 [Chlorella sorokiniana]	PCFQ01000058.1 g97 [Chlorella sp. A99]
OG0000380	PRW32494.1 leucine-rich repeat-containing [Chlorella sorokiniana], PRW32856.1 Amino acid permease 2 isoform B [Chlorella sorokiniana], PRW32855.1 Amino acid permease 2 isoform A [Chlorella sorokiniana], PRW60633.1 Amino acid permease 2 [Chlorella sorokiniana], PRW60763.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58370.1 Amino acid permease 2 [Chlorella sorokiniana]	PCFQ01000082.1 g626 [Chlorella sp. A99]
OG0000382	PRW60814.1 Mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1 [Chlorella sorokiniana]	PCFQ01000018.1 g416 [Chlorella sp. A99]
OG0000382	PRW56395.1 mannosyl-oligosaccharide 1_2-alpha-mannosidase [Chlorella sorokiniana], PRW57135.1 mannosyl-oligosaccharide 1_2-alpha-mannosidase MNS1 [Chlorella sorokiniana]	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]
OG0000383	PRW58416.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana]	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99]
OG0000383	PRW60786.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana]	PCFQ01000013.1 g3369 [Chlorella sp. A99]
OG0000384	PRW44411.1 helicase and polymerase-containing TEBICHI isoform X1 [Chlorella sorokiniana]	PCFQ01000037.1 g2504 [Chlorella sp. A99]
OG0000385	PRW61138.1 soluble inorganic pyrophosphatase isoform B [Chlorella sorokiniana], PRW61137.1 soluble inorganic pyrophosphatase isoform A [Chlorella sorokiniana]	PCFQ01000082.1 g577 [Chlorella sp. A99]
OG0000386	PRW58167.1 Carnosine synthase 1 [Chlorella sorokiniana]	PCFQ01000058.1 g93 [Chlorella sp. A99]
OG0000387	PRW45524.1 Something about silencing 10 [Chlorella sorokiniana]	PCFQ01000073.1 g1966 [Chlorella sp. A99]
OG0000388	PRW61578.1 Chloroplast stem-loop binding of 41 kDa chloroplastic [Chlorella sorokiniana]	PCFQ01000081.1 g1574 [Chlorella sp. A99]
OG0000389	PRW33164.1 P-loop containing nucleoside triphosphate hydrolase isoform A [Chlorella sorokiniana], PRW33165.1 P-loop containing nucleoside triphosphate hydrolase isoform B [Chlorella sorokiniana]	PCFQ01000010.1 g314 [Chlorella sp. A99]
OG0000390	PRW33035.1 Testosterone 17-beta-dehydrogenase 3 [Chlorella sorokiniana]	PCFQ01000002.1 g658 [Chlorella sp. A99]
OG0000391	PRW58578.1 imidazoleglycerol-phosphate dehydratase [Chlorella sorokiniana], PRW58275.1 hsp70-Hsp90 organizing 2 [Chlorella sorokiniana]	PCFQ01000058.1 g61 [Chlorella sp. A99]
OG0000392	PRW60832.1 chitinase [Chlorella sorokiniana], PRW20723.1 class VII chitinase [Chlorella sorokiniana]	PCFQ01000013.1 g3329 [Chlorella sp. A99]
OG0000393	PRW60828.1 alpha beta-hydrolase [Chlorella sorokiniana]	PCFQ01000018.1 g465 [Chlorella sp. A99]
OG0000393	PRW44294.1 cytochrome b561 and DOMON domain-containing protein [Chlorella sorokiniana], PRW57965.1 cytochrome b561 and DOMON domain-containing protein [Chlorella sorokiniana], PRW60222.1 Ferric-chelate reductase 1 [Chlorella sorokiniana]	PCFQ01000010.1 g294 [Chlorella sp. A99]
OG0000394	PRW44502.1 GDA1 CD39 nucleoside phosphatase family [Chlorella sorokiniana], PRW60811.1 apyrase 2-like [Chlorella sorokiniana]	PCFQ01000018.1 g451 [Chlorella sp. A99]
OG0000395	PRW21106.1 flagellar associated membrane [Chlorella sorokiniana]	PCFQ01000020.1 g941 [Chlorella sp. A99]
OG0000395	PRW33063.1 flagellar associated membrane [Chlorella sorokiniana]	PCFQ01000079.1 g1418 [Chlorella sp. A99]
OG0000396	PRW61488.1 phosphatidylinositol phosphatidylcholine transfer SFH12-like isoform X2 isoform B [Chlorella sorokiniana], PRW61489.1 phosphatidylinositol phosphatidylcholine transfer SFH12-like isoform X2 isoform A [Chlorella sorokiniana]	PCFQ01000079.1 g1382 [Chlorella sp. A99]
OG0000397	PRW39083.1 extracellular endoglucanase precursor [Chlorella sorokiniana], PRW39190.1 non-catalytic module family expn [Chlorella sorokiniana]	PCFQ01000014.1 g1886 [Chlorella sp. A99], PCFQ01000013.1 g3276 [Chlorella sp. A99]
OG0000405	PRW59887.1 class IV [Chlorella sorokiniana]	PCFQ01000078.1 g2144 [Chlorella sp. A99]
