Orthogroup	Chlorella_Sorokiniana1602	Coccomyxa_SubellipsoideaC169
OG0000197	PRW20754.1 urea-proton symporter DUR3-like [Chlorella sorokiniana]	EIE20547.1 urea active transporter-like protein [Coccomyxa subellipsoidea C-169], EIE23218.1 urea active transporter [Coccomyxa subellipsoidea C-169]
OG0000197	PRW33234.1 TELO2-interacting 1-like protein [Chlorella sorokiniana]	EIE19667.1 hypothetical protein COCSUDRAFT_58410 [Coccomyxa subellipsoidea C-169], EIE25908.1 hypothetical protein COCSUDRAFT_40142 [Coccomyxa subellipsoidea C-169]
OG0000197	PRW20663.1 urea-proton symporter DUR3-like [Chlorella sorokiniana]	EIE18046.1 hypothetical protein COCSUDRAFT_45675 [Coccomyxa subellipsoidea C-169]
OG0000198	PRW57088.1 beach domain-containing [Chlorella sorokiniana]	EIE27443.1 beach-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000198	PRW57386.1 FAN isoform X1 [Chlorella sorokiniana]	EIE27335.1 hypothetical protein COCSUDRAFT_5003_ partial [Coccomyxa subellipsoidea C-169]
OG0000199	PRW33008.1 Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 [Chlorella sorokiniana]	EIE18486.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000199	PRW58470.1 Clavaminate synthase [Chlorella sorokiniana]	EIE24814.1 Clavaminate synthase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000200	PRW58554.1 Tubulin alpha chain [Chlorella sorokiniana]	EIE26916.1 tubulin alpha chain [Coccomyxa subellipsoidea C-169], EIE18529.1 tubulin alpha chain [Coccomyxa subellipsoidea C-169]
OG0000200	PRW61116.1 Tubulin beta chain [Chlorella sorokiniana], PRW39078.1 tubulin beta chain [Chlorella sorokiniana]	EIE26422.1 beta tubulin [Coccomyxa subellipsoidea C-169], EIE24074.1 beta tubulin [Coccomyxa subellipsoidea C-169]
OG0000201	PRW56130.1 U5 small nuclear ribonucleo 200 kDa helicase-like [Chlorella sorokiniana]	EIE24694.1 RNA helicase_ activating signal cointegrator 1 [Coccomyxa subellipsoidea C-169]
OG0000201	PRW32955.1 activating signal cointegrator 1 complex subunit 3 isoform A [Chlorella sorokiniana], PRW32956.1 activating signal cointegrator 1 complex subunit 3 isoform B [Chlorella sorokiniana], PRW32957.1 activating signal cointegrator 1 complex subunit 3 isoform C [Chlorella sorokiniana], PRW33009.1 leucine-rich alpha-2-glyco -like [Chlorella sorokiniana]	EIE24813.1 Sec63-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000202	PRW33989.1 glutathione peroxidase [Chlorella sorokiniana]	EIE20691.1 glutathione peroxidase [Coccomyxa subellipsoidea C-169]
OG0000202	PRW44568.1 glutathione peroxidase [Chlorella sorokiniana], PRW60772.1 glutathione peroxidase [Chlorella sorokiniana]	EIE25233.1 glutathione peroxidase [Coccomyxa subellipsoidea C-169]
OG0000203	PRW58806.1 glycoside hydrolase [Chlorella sorokiniana], PRW58744.1 ASYNAPTIC 3 [Chlorella sorokiniana]	EIE27597.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000204	PRW58544.1 hypothetical protein C2E21_2891 [Chlorella sorokiniana]	EIE24563.1 hypothetical protein COCSUDRAFT_52996 [Coccomyxa subellipsoidea C-169]
OG0000206	PRW59080.1 heme-binding 2-like [Chlorella sorokiniana]	EIE21581.1 SOUL-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE20995.1 SOUL-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22365.1 SOUL heme-binding protein [Coccomyxa subellipsoidea C-169]
OG0000207	PRW56807.1 Exosome complex component CSL4 isoform B [Chlorella sorokiniana], PRW56806.1 Exosome complex component CSL4 isoform A [Chlorella sorokiniana]	EIE25237.1 hypothetical protein COCSUDRAFT_52805 [Coccomyxa subellipsoidea C-169]
OG0000209	PRW33706.1 low-CO2 inducible [Chlorella sorokiniana], PRW33647.1 low-CO2 inducible [Chlorella sorokiniana], PRW33563.1 low-CO2 inducible [Chlorella sorokiniana], PRW33318.1 low-CO2 inducible [Chlorella sorokiniana], PRW45249.1 low-CO2 inducible [Chlorella sorokiniana]	EIE22504.1 hypothetical protein COCSUDRAFT_16853 [Coccomyxa subellipsoidea C-169]
OG0000210	PRW58739.1 DNA polymerase eta isoform C [Chlorella sorokiniana], PRW58740.1 DNA polymerase eta isoform B [Chlorella sorokiniana], PRW58738.1 DNA polymerase eta isoform A [Chlorella sorokiniana]	EIE19275.1 DNA/RNA polymerase_ partial [Coccomyxa subellipsoidea C-169]
OG0000211	PRW56213.1 Translocon-associated subunit beta [Chlorella sorokiniana]	EIE23186.1 hypothetical protein COCSUDRAFT_66208 [Coccomyxa subellipsoidea C-169]
OG0000211	PRW55912.1 hypothetical protein C2E21_5247 [Chlorella sorokiniana], PRW55913.1 hypothetical protein C2E21_5247 [Chlorella sorokiniana]	EIE27756.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169], EIE27761.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000214	PRW58149.1 Phospholipase A_1_ chloroplastic [Chlorella sorokiniana]	EIE21258.1 hypothetical protein COCSUDRAFT_57160 [Coccomyxa subellipsoidea C-169]
OG0000214	PRW50923.1 alpha beta-hydrolase [Chlorella sorokiniana]	EIE18442.1 hypothetical protein COCSUDRAFT_68209 [Coccomyxa subellipsoidea C-169], EIE24300.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000215	PRW32925.1 farnesyltransferase geranylgeranyltransferase type-1 subunit alpha [Chlorella sorokiniana], PRW59428.1 serine threonine [Chlorella sorokiniana], PRW59245.1 von Willebrand factor type EGF andpentraxin domain-containing 1 Flags_ Precursor [Chlorella sorokiniana], PRW59345.1 serine threonine [Chlorella sorokiniana]	EIE22411.1 protein prenylyltransferase [Coccomyxa subellipsoidea C-169]
OG0000218	PRW59398.1 methyltransferase At1g22800 [Chlorella sorokiniana]	EIE20584.1 hypothetical protein COCSUDRAFT_18638_ partial [Coccomyxa subellipsoidea C-169]
OG0000218	PRW57960.1 C4-dicarboxylate transporter malic acid transport [Chlorella sorokiniana]	EIE22994.1 C4-dicarboxylate transporter/malic acid transport protein [Coccomyxa subellipsoidea C-169]
OG0000219	PRW59161.1 septin GTPase [Chlorella sorokiniana]	EIE27704.1 hypothetical protein COCSUDRAFT_64342 [Coccomyxa subellipsoidea C-169], EIE24975.1 hypothetical protein COCSUDRAFT_83668 [Coccomyxa subellipsoidea C-169]
OG0000220	PRW20488.1 peptidyl-prolyl cis-trans isomerase FKBP53 [Chlorella sorokiniana]	EIE23522.1 peptidyl-prolyl cis-trans isomerase_ partial [Coccomyxa subellipsoidea C-169]
OG0000220	PRW33158.1 peptidylprolyl isomerase [Chlorella sorokiniana]	EIE25835.1 FKBP-type peptidyl-prolyl cis-trans isomerase [Coccomyxa subellipsoidea C-169]
OG0000220	PRW50961.1 FK506-binding 2 isoform X1 [Chlorella sorokiniana]	EIE19661.1 hypothetical protein COCSUDRAFT_25703 [Coccomyxa subellipsoidea C-169]
OG0000221	PRW51013.1 12-oxophytodienoate reductase 11 isoform A [Chlorella sorokiniana], PRW51011.1 12-oxophytodienoate reductase 11 isoform C [Chlorella sorokiniana], PRW56194.1 12-oxophytodienoate reductase 1 [Chlorella sorokiniana], PRW44569.1 12-oxophytodienoic acid reductase [Chlorella sorokiniana], PRW59802.1 alkene reductase [Chlorella sorokiniana]	EIE21116.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169], EIE20632.1 putative 12-oxophytodienoic acid reductase [Coccomyxa subellipsoidea C-169]
OG0000222	PRW33959.1 naphthoate synthase [Chlorella sorokiniana]	EIE20709.1 naphthoate synthase [Coccomyxa subellipsoidea C-169], EIE22791.1 putative GDP-L-fucose synthetase [Coccomyxa subellipsoidea C-169]
OG0000223	PRW45641.1 glutathione reductase [Chlorella sorokiniana]	EIE22798.1 glutathione reductase [Coccomyxa subellipsoidea C-169]
OG0000223	PRW50778.1 glutathione chloroplastic [Chlorella sorokiniana]	EIE18555.1 glutathione reductase [Coccomyxa subellipsoidea C-169]
OG0000224	PRW33551.1 calcium-dependent kinase [Chlorella sorokiniana]	EIE26608.1 calcium-dependent protein kinase [Coccomyxa subellipsoidea C-169]
OG0000225	PRW61541.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform A [Chlorella sorokiniana], PRW61200.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 [Chlorella sorokiniana]	EIE25165.1 isomerising glucosamine-fructose-6-phosphate aminotransferase [Coccomyxa subellipsoidea C-169]
OG0000225	PRW58946.1 E3 UFM1- ligase 1-like protein [Chlorella sorokiniana]	EIE20193.1 hypothetical protein COCSUDRAFT_67525 [Coccomyxa subellipsoidea C-169]
OG0000226	PRW57217.1 RNA polymerase II C-terminal domain phosphatase-like 4 [Chlorella sorokiniana]	EIE24688.1 carboxyl-terminal phosphatase-like 4 [Coccomyxa subellipsoidea C-169]
OG0000226	PRW58514.1 phosphatase 2C 6 [Chlorella sorokiniana], PRW58680.1 phosphatase [Chlorella sorokiniana], PRW58215.1 RNA polymerase II C-terminal domain phosphatase-like 3 [Chlorella sorokiniana]	EIE20582.1 hypothetical protein COCSUDRAFT_57726 [Coccomyxa subellipsoidea C-169]
OG0000227	PRW58139.1 phosphoglycerate kinase isoform A [Chlorella sorokiniana], PRW58140.1 phosphoglycerate kinase isoform B [Chlorella sorokiniana]	EIE21925.1 phosphoglycerate kinase precursor [Coccomyxa subellipsoidea C-169]
OG0000227	PRW58440.1 phosphoglycerate kinase [Chlorella sorokiniana]	EIE26912.1 phosphoglycerate kinase [Coccomyxa subellipsoidea C-169], EIE23485.1 phosphoglycerate kinase [Coccomyxa subellipsoidea C-169]
OG0000229	PRW51159.1 hypothetical protein C2E21_5658 isoform B [Chlorella sorokiniana], PRW51160.1 hypothetical protein C2E21_5658 isoform A [Chlorella sorokiniana]	EIE19577.1 acyl-CoA-binding protein [Coccomyxa subellipsoidea C-169]
OG0000229	PRW45455.1 acyl- binding [Chlorella sorokiniana]	EIE20069.1 ACBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000230	PRW61186.1 glycerol-3-phosphate acyltransferase [Chlorella sorokiniana], PRW61208.1 hypothetical protein C2E21_0080 [Chlorella sorokiniana]	EIE26218.1 hypothetical protein COCSUDRAFT_61201 [Coccomyxa subellipsoidea C-169]
OG0000230	PRW61103.1 peroxisome biogenesis 22-like [Chlorella sorokiniana]	EIE22997.1 hypothetical protein COCSUDRAFT_63386 [Coccomyxa subellipsoidea C-169]
OG0000231	PRW58444.1 hypothetical protein C2E21_3136 [Chlorella sorokiniana], PRW20241.1 coiled-coil Y [Chlorella sorokiniana], PRW58098.1 Ankyrin repeat-containing YAR1 [Chlorella sorokiniana], PRW45049.1 jmjC domain-containing 4 [Chlorella sorokiniana]	EIE20714.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000232	PRW57652.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform B [Chlorella sorokiniana], PRW57651.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform A [Chlorella sorokiniana]	EIE18415.1 3-ketoacyl-ACP-synthase [Coccomyxa subellipsoidea C-169]
OG0000232	PRW20627.1 3-oxoacyl-synthase I [Chlorella sorokiniana]	EIE18917.1 3-oxoacyl-synth [Coccomyxa subellipsoidea C-169]
OG0000233	PRW59852.1 NADPH-cytochrome P450 reductase [Chlorella sorokiniana]	EIE21154.1 NADPH-cytochrome P450 reductase [Coccomyxa subellipsoidea C-169]
OG0000233	PRW61251.1 polyadenylate binding [Chlorella sorokiniana], PRW61133.1 polyadenylate-binding 4 [Chlorella sorokiniana]	EIE25350.1 polyadenylate binding protein [Coccomyxa subellipsoidea C-169]
OG0000234	PRW45618.1 eukaryotic initiation factor 4A-1-like isoform B [Chlorella sorokiniana], PRW45619.1 eukaryotic initiation factor 4A-1-like isoform A [Chlorella sorokiniana]	EIE20278.1 eukaryotic initiation factor 4A-11_ partial [Coccomyxa subellipsoidea C-169], EIE20276.1 eukaryotic initiation factor 4A-like protein [Coccomyxa subellipsoidea C-169]
OG0000234	PRW60850.1 eukaryotic initiation factor 4A-3 [Chlorella sorokiniana]	EIE24476.1 RNA helicase 2 [Coccomyxa subellipsoidea C-169]
OG0000235	PRW58160.1 coatomer subunit alpha-1 [Chlorella sorokiniana]	EIE27175.1 Coatomer_ alpha subunit [Coccomyxa subellipsoidea C-169]
OG0000236	PRW60642.1 alanine aminotransferase 2 [Chlorella sorokiniana]	EIE24182.1 alanine aminotransferase 2 [Coccomyxa subellipsoidea C-169]
OG0000236	PRW44404.1 alanine aminotransferase isoform A [Chlorella sorokiniana], PRW44403.1 alanine aminotransferase isoform B [Chlorella sorokiniana]	EIE27396.1 alanine aminotransferase [Coccomyxa subellipsoidea C-169]
OG0000237	PRW39120.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW39118.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW33060.1 hypothetical protein C2E21_7981 [Chlorella sorokiniana], PRW59309.1 serine threonine [Chlorella sorokiniana]	EIE24781.1 hypothetical protein COCSUDRAFT_46939 [Coccomyxa subellipsoidea C-169]
OG0000240	PRW56610.1 Adenine guanine permease AZG1 [Chlorella sorokiniana], PRW05836.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]	EIE24456.1 hypothetical protein COCSUDRAFT_14437_ partial [Coccomyxa subellipsoidea C-169], EIE24457.1 hypothetical protein COCSUDRAFT_28179 [Coccomyxa subellipsoidea C-169], EIE21042.1 hypothetical protein COCSUDRAFT_30231 [Coccomyxa subellipsoidea C-169]
OG0000241	PRW32542.1 B-cell receptor-associated 31 [Chlorella sorokiniana]	EIE25784.1 hypothetical protein COCSUDRAFT_40055 [Coccomyxa subellipsoidea C-169]
OG0000241	PRW33732.1 Arsenite methyltransferase [Chlorella sorokiniana]	EIE27288.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000243	PRW44368.1 KRI1-like protein [Chlorella sorokiniana]	EIE25304.1 hypothetical protein COCSUDRAFT_61527 [Coccomyxa subellipsoidea C-169]
OG0000244	PRW56731.1 zinc finger CONSTANS-LIKE 5 [Chlorella sorokiniana]	EIE27803.1 CCT-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000244	PRW45554.1 Collagen adhesion [Chlorella sorokiniana]	EIE26261.1 CCT-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27755.1 hypothetical protein COCSUDRAFT_64367 [Coccomyxa subellipsoidea C-169], EIE21493.1 hypothetical protein COCSUDRAFT_48136 [Coccomyxa subellipsoidea C-169], EIE27542.1 hypothetical protein COCSUDRAFT_55541 [Coccomyxa subellipsoidea C-169]
OG0000245	PRW61406.1 FAD-dependent oxidoreductase [Chlorella sorokiniana]	EIE26315.1 hypothetical protein COCSUDRAFT_11899 [Coccomyxa subellipsoidea C-169]
OG0000245	PRW45456.1 mRNA export shuttling [Chlorella sorokiniana]	EIE22497.1 hypothetical protein COCSUDRAFT_16852_ partial [Coccomyxa subellipsoidea C-169]
OG0000246	PRW58726.1 cold-regulated 1 [Chlorella sorokiniana], PRW59088.1 cold-regulated 1 [Chlorella sorokiniana], PRW33569.1 cold-regulated 1 [Chlorella sorokiniana]	EIE18709.1 hypothetical protein COCSUDRAFT_45184 [Coccomyxa subellipsoidea C-169], EIE20362.1 hypothetical protein COCSUDRAFT_67331 [Coccomyxa subellipsoidea C-169]
OG0000247	PRW58730.1 2-cys peroxiredoxin BAS1 [Chlorella sorokiniana]	EIE19877.1 hypothetical protein COCSUDRAFT_48717 [Coccomyxa subellipsoidea C-169]
OG0000248	PRW55937.1 DAZ-associated 1 [Chlorella sorokiniana]	EIE27578.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000248	PRW56224.1 Dual specificity kinase shkE [Chlorella sorokiniana]	EIE19626.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000250	PRW45536.1 light-harvesting of photosystem I [Chlorella sorokiniana], PRW45490.1 electron transfer flavo -ubiquinone oxidoreductase [Chlorella sorokiniana]	EIE20191.1 light harvesting complex a protein [Coccomyxa subellipsoidea C-169]
OG0000250	PRW45697.1 light-harvesting of photosystem I [Chlorella sorokiniana]	EIE21803.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE19045.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE20195.1 chlorophyll a/b-binding protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000251	PRW59954.1 Aldo keto reductase [Chlorella sorokiniana], PRW60123.1 aldo keto reductase [Chlorella sorokiniana], PRW59829.1 aldo keto reductase [Chlorella sorokiniana], PRW59739.1 aldo keto reductase [Chlorella sorokiniana], PRW59960.1 putative aldo-keto reductase 2 [Chlorella sorokiniana]	EIE19339.1 aldo/keto reductase [Coccomyxa subellipsoidea C-169]
OG0000252	PRW50937.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	EIE25907.1 translation elongation factor [Coccomyxa subellipsoidea C-169]
OG0000252	PRW51008.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	EIE23438.1 SRP54-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000253	PRW33890.1 mechanosensitive ion channel [Chlorella sorokiniana], PRW56732.1 mechanosensitive ion channel [Chlorella sorokiniana]	EIE25208.1 hypothetical protein COCSUDRAFT_61447 [Coccomyxa subellipsoidea C-169], EIE20508.1 hypothetical protein COCSUDRAFT_57655 [Coccomyxa subellipsoidea C-169]
OG0000254	PRW44505.1 mitochondrial ribosomal L11 [Chlorella sorokiniana]	EIE25332.1 mitochondrial ribosomal protein L11 [Coccomyxa subellipsoidea C-169]
OG0000254	PRW33322.1 50S ribosomal L11 [Chlorella sorokiniana]	EIE18523.1 LSU ribosomal protein L11P [Coccomyxa subellipsoidea C-169]
OG0000255	PRW56852.1 Mitochondrial inner membrane protease subunit 2 [Chlorella sorokiniana]	EIE25229.1 LexA/Signal peptidase [Coccomyxa subellipsoidea C-169]
OG0000255	PRW45470.1 mitochondrial inner membrane protease subunit 1-like [Chlorella sorokiniana]	EIE20285.1 LexA/Signal peptidase [Coccomyxa subellipsoidea C-169]
OG0000256	PRW57760.1 DEAD DEAH box [Chlorella sorokiniana], PRW60806.1 putative phosphoinositide phosphatase SAC9 isoform X1 [Chlorella sorokiniana]	EIE24079.1 hypothetical protein COCSUDRAFT_41388 [Coccomyxa subellipsoidea C-169]
OG0000257	PRW39062.1 hypothetical protein C2E21_7102 [Chlorella sorokiniana], PRW39236.1 hypothetical protein C2E21_7108 [Chlorella sorokiniana], PRW45335.1 hypothetical protein C2E21_5855 [Chlorella sorokiniana]	EIE24056.1 hypothetical protein COCSUDRAFT_41371 [Coccomyxa subellipsoidea C-169]
OG0000258	PRW05904.1 Cell division control 6 [Chlorella sorokiniana]	EIE18599.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000259	PRW56745.1 putative WD repeat-containing [Chlorella sorokiniana]	EIE25396.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000259	PRW56762.1 WD repeat-containing 89-like protein [Chlorella sorokiniana]	EIE22062.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000260	PRW34029.1 homogentisate phytyltransferase chloroplastic isoform B [Chlorella sorokiniana], PRW34028.1 homogentisate phytyltransferase chloroplastic isoform A [Chlorella sorokiniana]	EIE19496.1 hypothetical protein COCSUDRAFT_31305 [Coccomyxa subellipsoidea C-169]
OG0000260	PRW57528.1 homogentisate chloroplastic [Chlorella sorokiniana]	EIE23306.1 homogentisate solanesyltransferase [Coccomyxa subellipsoidea C-169]
OG0000262	PRW57187.1 formate--tetrahydrofolate ligase [Chlorella sorokiniana]	EIE27503.1 formate-tetrahydrofolate ligase [Coccomyxa subellipsoidea C-169], EIE27386.1 COG4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000264	PRW33030.1 LOV domain-containing [Chlorella sorokiniana]	EIE23761.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000264	PRW56520.1 LOV domain-containing [Chlorella sorokiniana]	EIE23763.1 putative blue light receptor [Coccomyxa subellipsoidea C-169]
OG0000265	PRW58877.1 P-ATPase family transporter_ copper ion heavy metal transporting P-type ATPase [Chlorella sorokiniana]	EIE20946.1 heavy metal translocatin [Coccomyxa subellipsoidea C-169]
OG0000265	PRW05833.1 copper-transporting ATPase chloroplastic [Chlorella sorokiniana]	EIE25451.1 heavy metal translocatin [Coccomyxa subellipsoidea C-169]
OG0000266	PRW51108.1 ERAD-associated E3 ubiquitin- ligase HRD1B-like [Chlorella sorokiniana]	EIE18516.1 hypothetical protein COCSUDRAFT_20585 [Coccomyxa subellipsoidea C-169]
OG0000266	PRW50794.1 Dual-specificity RNA methyltransferase [Chlorella sorokiniana]	EIE18564.1 hypothetical protein COCSUDRAFT_60231 [Coccomyxa subellipsoidea C-169]
OG0000267	PRW58300.1 raffinose synthase [Chlorella sorokiniana]	EIE27114.1 raffinose synthase [Coccomyxa subellipsoidea C-169]
OG0000267	PRW56188.1 raffinose synthase [Chlorella sorokiniana], PRW33710.1 raffinose synthase isoform B [Chlorella sorokiniana], PRW33709.1 raffinose synthase isoform A [Chlorella sorokiniana]	EIE19420.1 raffinose synthase [Coccomyxa subellipsoidea C-169]
OG0000268	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana]	EIE25973.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000268	PRW58969.1 kinase and PP2C-like domain-containing [Chlorella sorokiniana]	EIE19353.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]
OG0000269	PRW56439.1 floral homeotic [Chlorella sorokiniana]	EIE25477.1 hypothetical protein COCSUDRAFT_61690 [Coccomyxa subellipsoidea C-169]
OG0000270	PRW58100.1 DNA-directed RNA polymerase III largest subunit [Chlorella sorokiniana]	EIE19808.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Coccomyxa subellipsoidea C-169]
OG0000270	PRW57000.1 DNA-directed RNA polymerase II subunit 1 [Chlorella sorokiniana]	EIE27228.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Coccomyxa subellipsoidea C-169]
OG0000271	PRW59490.1 strawberry notch isoform X2 [Chlorella sorokiniana], PRW57209.1 strawberry notch [Chlorella sorokiniana]	EIE27738.1 hypothetical protein COCSUDRAFT_39323 [Coccomyxa subellipsoidea C-169]
OG0000272	PRW57658.1 pyridoxal chloroplastic [Chlorella sorokiniana]	EIE24793.1 Aldo/keto reductase [Coccomyxa subellipsoidea C-169]
OG0000272	PRW59845.1 2_5-didehydrogluconate reductase [Chlorella sorokiniana]	EIE23381.1 oxidoreductase [Coccomyxa subellipsoidea C-169]
OG0000273	PRW20212.1 phosphoglucomutase [Chlorella sorokiniana], PRW58905.1 Heterogeneous nuclear ribonucleo A1-like 2 [Chlorella sorokiniana]	EIE25423.1 hypothetical protein COCSUDRAFT_61641 [Coccomyxa subellipsoidea C-169], EIE18412.1 hypothetical protein COCSUDRAFT_68330 [Coccomyxa subellipsoidea C-169]
OG0000274	PRW60837.1 agmatine deiminase [Chlorella sorokiniana]	EIE24482.1 agmatine deiminase [Coccomyxa subellipsoidea C-169]
OG0000274	PRW20767.1 agmatine deiminase [Chlorella sorokiniana]	EIE18953.1 hypothetical protein COCSUDRAFT_31523 [Coccomyxa subellipsoidea C-169], EIE25567.1 hypothetical protein COCSUDRAFT_22766 [Coccomyxa subellipsoidea C-169]
OG0000275	PRW60594.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	EIE25537.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000275	PRW60395.1 General transcription factor IIH subunit 2 [Chlorella sorokiniana]	EIE24534.1 transcription factor TFIIH_ 44 kDa subunit_ partial [Coccomyxa subellipsoidea C-169]
OG0000276	PRW20734.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Chlorella sorokiniana]	EIE22684.1 UDP-3-O-acyl N-acetylglucosamine deacetylase_ partial [Coccomyxa subellipsoidea C-169]
OG0000276	PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]	EIE20067.1 ankyrin [Coccomyxa subellipsoidea C-169]
OG0000277	PRW60063.1 hypothetical protein C2E21_1860 [Chlorella sorokiniana]	EIE26416.1 hypothetical protein COCSUDRAFT_39519 [Coccomyxa subellipsoidea C-169], EIE26417.1 hypothetical protein COCSUDRAFT_39520 [Coccomyxa subellipsoidea C-169], EIE26950.1 hypothetical protein COCSUDRAFT_59445 [Coccomyxa subellipsoidea C-169], EIE18670.1 hypothetical protein COCSUDRAFT_45154 [Coccomyxa subellipsoidea C-169]
OG0000278	PRW20325.1 cobalamin synthesis [Chlorella sorokiniana]	EIE18308.1 cobalamin synthesis protein P47K_ partial [Coccomyxa subellipsoidea C-169], EIE20842.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000278	PRW34073.1 cobalamin synthesis P47K [Chlorella sorokiniana]	EIE22547.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000279	PRW45475.1 DNA-binding bromodomain-containing [Chlorella sorokiniana]	EIE25214.1 hypothetical protein COCSUDRAFT_61452 [Coccomyxa subellipsoidea C-169]
OG0000283	PRW33864.1 short-chain dehydrogenase reductase [Chlorella sorokiniana]	EIE21716.1 hypothetical protein COCSUDRAFT_83504 [Coccomyxa subellipsoidea C-169]
OG0000284	PRW57163.1 transmembrane E3 ubiquitin- ligase 1-like [Chlorella sorokiniana], PRW20517.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform A [Chlorella sorokiniana], PRW20516.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform C [Chlorella sorokiniana], PRW61338.1 ZIP Zinc transporter [Chlorella sorokiniana]	EIE23671.1 ZIP zinc/iron transport family [Coccomyxa subellipsoidea C-169], EIE25748.1 Zinc/iron permease [Coccomyxa subellipsoidea C-169]
OG0000285	PRW59338.1 ATP-binding cassette transporter [Chlorella sorokiniana], PRW55972.1 ABC transporter B family member 11-like [Chlorella sorokiniana], PRW56013.1 ABC transporter B family member 4-like [Chlorella sorokiniana]	EIE26675.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169]
OG0000286	PRW51150.1 Drug Metabolite transporter superfamily [Chlorella sorokiniana]	EIE27659.1 hypothetical protein COCSUDRAFT_39263 [Coccomyxa subellipsoidea C-169]
OG0000287	PRW33685.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform C [Chlorella sorokiniana], PRW33686.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform B [Chlorella sorokiniana], PRW33683.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform A [Chlorella sorokiniana]	EIE26061.1 cofactor-independent phosphoglycerate mutase [Coccomyxa subellipsoidea C-169]
OG0000287	PRW33751.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Chlorella sorokiniana]	EIE22259.1 cofactor-independent phosphoglycerate mutase [Coccomyxa subellipsoidea C-169]
