Orthogroup	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A
OG0000268	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana]	XP_005846000.1 hypothetical protein CHLNCDRAFT_31922 [Chlorella variabilis]
OG0000268	PRW58969.1 kinase and PP2C-like domain-containing [Chlorella sorokiniana]	XP_005843444.1 hypothetical protein CHLNCDRAFT_141147 [Chlorella variabilis]
OG0000269	PRW56783.1 Secretory carrier-associated membrane 1 [Chlorella sorokiniana]	XP_005850324.1 hypothetical protein CHLNCDRAFT_142100 [Chlorella variabilis]
OG0000269	PRW56439.1 floral homeotic [Chlorella sorokiniana]	XP_005850323.1 hypothetical protein CHLNCDRAFT_142099 [Chlorella variabilis]
OG0000270	PRW58100.1 DNA-directed RNA polymerase III largest subunit [Chlorella sorokiniana]	XP_005851265.1 hypothetical protein CHLNCDRAFT_138029_ partial [Chlorella variabilis]
OG0000270	PRW57000.1 DNA-directed RNA polymerase II subunit 1 [Chlorella sorokiniana]	XP_005842581.1 hypothetical protein CHLNCDRAFT_55882_ partial [Chlorella variabilis], XP_005842642.1 hypothetical protein CHLNCDRAFT_55803_ partial [Chlorella variabilis], XP_005847122.1 hypothetical protein CHLNCDRAFT_134851 [Chlorella variabilis]
OG0000271	PRW59490.1 strawberry notch isoform X2 [Chlorella sorokiniana]	XP_005844224.1 hypothetical protein CHLNCDRAFT_32609 [Chlorella variabilis]
OG0000271	PRW57209.1 strawberry notch [Chlorella sorokiniana]	XP_005847874.1 hypothetical protein CHLNCDRAFT_51983 [Chlorella variabilis]
OG0000272	PRW57658.1 pyridoxal chloroplastic [Chlorella sorokiniana]	XP_005847721.1 hypothetical protein CHLNCDRAFT_23295 [Chlorella variabilis]
OG0000272	PRW59845.1 2_5-didehydrogluconate reductase [Chlorella sorokiniana]	XP_005846474.1 hypothetical protein CHLNCDRAFT_135662 [Chlorella variabilis]
OG0000273	PRW58905.1 Heterogeneous nuclear ribonucleo A1-like 2 [Chlorella sorokiniana]	XP_005849530.1 hypothetical protein CHLNCDRAFT_57225 [Chlorella variabilis]
OG0000274	PRW60837.1 agmatine deiminase [Chlorella sorokiniana]	XP_005851725.1 hypothetical protein CHLNCDRAFT_133066 [Chlorella variabilis]
OG0000274	PRW20767.1 agmatine deiminase [Chlorella sorokiniana]	XP_005843425.1 hypothetical protein CHLNCDRAFT_28109 [Chlorella variabilis]
OG0000275	PRW60594.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	XP_005852039.1 hypothetical protein CHLNCDRAFT_133008 [Chlorella variabilis]
OG0000275	PRW60657.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	XP_005851704.1 hypothetical protein CHLNCDRAFT_133011 [Chlorella variabilis]
OG0000276	PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]	XP_005843916.1 hypothetical protein CHLNCDRAFT_139804 [Chlorella variabilis]
OG0000278	PRW20325.1 cobalamin synthesis [Chlorella sorokiniana]	XP_005849236.1 hypothetical protein CHLNCDRAFT_21466 [Chlorella variabilis]
OG0000278	PRW34073.1 cobalamin synthesis P47K [Chlorella sorokiniana]	XP_005844248.1 hypothetical protein CHLNCDRAFT_58985 [Chlorella variabilis]
OG0000279	PRW45475.1 DNA-binding bromodomain-containing [Chlorella sorokiniana]	XP_005845032.1 hypothetical protein CHLNCDRAFT_53989 [Chlorella variabilis]
OG0000283	PRW33864.1 short-chain dehydrogenase reductase [Chlorella sorokiniana]	XP_005849049.1 hypothetical protein CHLNCDRAFT_51217 [Chlorella variabilis]
OG0000284	PRW57163.1 transmembrane E3 ubiquitin- ligase 1-like [Chlorella sorokiniana]	XP_005846850.1 hypothetical protein CHLNCDRAFT_58029 [Chlorella variabilis]
OG0000284	PRW20517.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform A [Chlorella sorokiniana], PRW20516.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform C [Chlorella sorokiniana]	XP_005844148.1 hypothetical protein CHLNCDRAFT_54633 [Chlorella variabilis]
OG0000284	PRW61338.1 ZIP Zinc transporter [Chlorella sorokiniana]	XP_005843039.1 hypothetical protein CHLNCDRAFT_141589 [Chlorella variabilis]
OG0000285	PRW59338.1 ATP-binding cassette transporter [Chlorella sorokiniana]	XP_005849899.1 hypothetical protein CHLNCDRAFT_51094 [Chlorella variabilis]
OG0000285	PRW55972.1 ABC transporter B family member 11-like [Chlorella sorokiniana], PRW56013.1 ABC transporter B family member 4-like [Chlorella sorokiniana]	XP_005850708.1 hypothetical protein CHLNCDRAFT_34209 [Chlorella variabilis]
OG0000286	PRW51150.1 Drug Metabolite transporter superfamily [Chlorella sorokiniana]	XP_005848928.1 hypothetical protein CHLNCDRAFT_144379 [Chlorella variabilis], XP_005848927.1 hypothetical protein CHLNCDRAFT_144378 [Chlorella variabilis]
OG0000287	PRW33685.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform C [Chlorella sorokiniana], PRW33686.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform B [Chlorella sorokiniana], PRW33683.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform A [Chlorella sorokiniana]	XP_005845787.1 hypothetical protein CHLNCDRAFT_36362 [Chlorella variabilis]
OG0000287	PRW33751.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Chlorella sorokiniana]	XP_005845898.1 hypothetical protein CHLNCDRAFT_36359 [Chlorella variabilis]
OG0000288	PRW45181.1 hypothetical protein C2E21_6228 [Chlorella sorokiniana]	XP_005848338.1 hypothetical protein CHLNCDRAFT_51905 [Chlorella variabilis]
OG0000288	PRW39302.1 Palmitoyl-monogalactosyldiacylglycerol delta-7 chloroplastic [Chlorella sorokiniana]	XP_005844893.1 hypothetical protein CHLNCDRAFT_138435 [Chlorella variabilis]
OG0000289	PRW56940.1 meiotic recombination DMC1-like protein [Chlorella sorokiniana]	XP_005848077.1 hypothetical protein CHLNCDRAFT_145319 [Chlorella variabilis]
OG0000290	PRW60861.1 Leucyl-cystinyl aminopeptidase [Chlorella sorokiniana]	XP_005851745.1 hypothetical protein CHLNCDRAFT_56489 [Chlorella variabilis]
OG0000290	PRW60384.1 WD repeat-containing 55-like protein [Chlorella sorokiniana]	XP_005847707.1 hypothetical protein CHLNCDRAFT_52224 [Chlorella variabilis]
OG0000291	PRW45597.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana]	XP_005846628.1 hypothetical protein CHLNCDRAFT_13754_ partial [Chlorella variabilis]
OG0000291	PRW18387.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana]	XP_005850496.1 hypothetical protein CHLNCDRAFT_13809_ partial [Chlorella variabilis]
OG0000292	PRW51030.1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [Chlorella sorokiniana]	XP_005848627.1 hypothetical protein CHLNCDRAFT_144148 [Chlorella variabilis]
OG0000293	PRW20925.1 calcium-dependent kinase 26-like [Chlorella sorokiniana]	XP_005847963.1 hypothetical protein CHLNCDRAFT_35323 [Chlorella variabilis]
OG0000293	PRW57740.1 keratin-associated 5-1-like [Chlorella sorokiniana], PRW57981.1 Calcium-dependent kinase [Chlorella sorokiniana]	XP_005849129.1 hypothetical protein CHLNCDRAFT_143714 [Chlorella variabilis]
OG0000294	PRW57672.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]	XP_005849128.1 hypothetical protein CHLNCDRAFT_57404 [Chlorella variabilis]
OG0000294	PRW60323.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]	XP_005852063.1 hypothetical protein CHLNCDRAFT_133062 [Chlorella variabilis]
OG0000294	PRW44471.1 Peptide-N4-N-acetyl-beta-D-glucosaminylaspar agine amidase F precursor [Chlorella sorokiniana]	XP_005847526.1 hypothetical protein CHLNCDRAFT_134573 [Chlorella variabilis]
OG0000295	PRW45233.1 NLP1-like isoform X1 [Chlorella sorokiniana]	XP_005848292.1 hypothetical protein CHLNCDRAFT_144920 [Chlorella variabilis], XP_005848293.1 hypothetical protein CHLNCDRAFT_144921 [Chlorella variabilis]
OG0000295	PRW20349.1 pescadillo [Chlorella sorokiniana]	XP_005844656.1 hypothetical protein CHLNCDRAFT_138533 [Chlorella variabilis], XP_005844657.1 expressed protein [Chlorella variabilis]
OG0000296	PRW58468.1 glucose-6-phosphate cytosolic [Chlorella sorokiniana]	XP_005851258.1 hypothetical protein CHLNCDRAFT_138008 [Chlorella variabilis]
OG0000296	PRW05793.1 cytosolic phosphoglucose isomerase isoform C [Chlorella sorokiniana], PRW05792.1 cytosolic phosphoglucose isomerase isoform A [Chlorella sorokiniana], PRW05794.1 cytosolic phosphoglucose isomerase isoform B [Chlorella sorokiniana]	XP_005845944.1 hypothetical protein CHLNCDRAFT_135927 [Chlorella variabilis]
OG0000297	PRW58838.1 putative anion transporter chloroplastic [Chlorella sorokiniana]	XP_005849963.1 hypothetical protein CHLNCDRAFT_143323 [Chlorella variabilis]
OG0000298	PRW59169.1 cytosolic Fe-S cluster assembly factor narfl [Chlorella sorokiniana]	XP_005843810.1 hypothetical protein CHLNCDRAFT_139858 [Chlorella variabilis], XP_005843812.1 hypothetical protein CHLNCDRAFT_54915 [Chlorella variabilis], XP_005843811.1 hypothetical protein CHLNCDRAFT_139859 [Chlorella variabilis]
OG0000299	PRW58194.1 COP9 signalosome complex subunit 5b-like [Chlorella sorokiniana]	XP_005851620.1 hypothetical protein CHLNCDRAFT_19207 [Chlorella variabilis], XP_005851619.1 hypothetical protein CHLNCDRAFT_18854_ partial [Chlorella variabilis]
OG0000300	PRW33953.1 inorganic pyrophosphatase isoform A [Chlorella sorokiniana], PRW33952.1 inorganic pyrophosphatase isoform B [Chlorella sorokiniana]	XP_005849278.1 hypothetical protein CHLNCDRAFT_56094 [Chlorella variabilis]
OG0000300	PRW20574.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]	XP_005844637.1 hypothetical protein CHLNCDRAFT_58882 [Chlorella variabilis]
OG0000301	PRW56106.1 peptidylglycine alpha-amidating monooxygenase [Chlorella sorokiniana]	XP_005850633.1 hypothetical protein CHLNCDRAFT_34137 [Chlorella variabilis]
OG0000301	PRW59617.1 peptidase M3 [Chlorella sorokiniana]	XP_005846374.1 hypothetical protein CHLNCDRAFT_135840 [Chlorella variabilis]
OG0000302	PRW20261.1 Spermatogenesis-associated [Chlorella sorokiniana]	XP_005842935.1 hypothetical protein CHLNCDRAFT_6977_ partial [Chlorella variabilis]
OG0000302	PRW56325.1 cell division cycle 48-like protein [Chlorella sorokiniana]	XP_005850901.1 hypothetical protein CHLNCDRAFT_140589 [Chlorella variabilis]
OG0000303	PRW33517.1 glucose-6-phosphate 1- cytoplasmic isoform [Chlorella sorokiniana]	XP_005845930.1 hypothetical protein CHLNCDRAFT_36395 [Chlorella variabilis]
OG0000303	PRW57282.1 glucose-6-phosphate 1- chloroplastic-like [Chlorella sorokiniana]	XP_005846848.1 hypothetical protein CHLNCDRAFT_134643 [Chlorella variabilis]
OG0000304	PRW60098.1 dynamin-related 3B-like isoform B [Chlorella sorokiniana], PRW60097.1 dynamin-related 3B-like isoform A [Chlorella sorokiniana]	XP_005845253.1 hypothetical protein CHLNCDRAFT_136923 [Chlorella variabilis]
OG0000305	PRW39307.1 ribonucleoside-diphosphate reductase small chain [Chlorella sorokiniana]	XP_005844889.1 hypothetical protein CHLNCDRAFT_10712_ partial [Chlorella variabilis]
OG0000305	PRW58060.1 ribonucleoside-diphosphate reductase small chain isoform A [Chlorella sorokiniana]	XP_005850889.1 hypothetical protein CHLNCDRAFT_34102 [Chlorella variabilis]
OG0000306	PRW45108.1 serine carboxypeptidase-like 25 [Chlorella sorokiniana]	XP_005848225.1 expressed protein [Chlorella variabilis]
OG0000306	PRW58099.1 kinase-like superfamily [Chlorella sorokiniana]	XP_005848224.1 hypothetical protein CHLNCDRAFT_144739 [Chlorella variabilis]
OG0000306	PRW44896.1 kinase-like superfamily [Chlorella sorokiniana]	XP_005848222.1 expressed protein [Chlorella variabilis]
OG0000307	PRW44988.1 Vacuolar sorting-associated [Chlorella sorokiniana]	XP_005848304.1 hypothetical protein CHLNCDRAFT_144950 [Chlorella variabilis]
OG0000307	PRW45000.1 methionine gamma-lyase [Chlorella sorokiniana]	XP_005848305.1 hypothetical protein CHLNCDRAFT_35132 [Chlorella variabilis]
OG0000308	PRW59417.1 proton phosphate symporter [Chlorella sorokiniana]	XP_005843759.1 hypothetical protein CHLNCDRAFT_59145 [Chlorella variabilis]
OG0000308	PRW20802.1 proton phosphate symporter [Chlorella sorokiniana]	XP_005843809.1 hypothetical protein CHLNCDRAFT_59146 [Chlorella variabilis]
OG0000309	PRW51074.1 ferritin- chloroplastic [Chlorella sorokiniana]	XP_005848993.1 hypothetical protein CHLNCDRAFT_144557 [Chlorella variabilis], XP_005848451.1 hypothetical protein CHLNCDRAFT_144828 [Chlorella variabilis]
OG0000310	PRW39229.1 solute carrier family 40 member chloroplastic [Chlorella sorokiniana]	XP_005844909.1 hypothetical protein CHLNCDRAFT_138468 [Chlorella variabilis]
OG0000310	PRW44534.1 20 kDa chloroplastic [Chlorella sorokiniana]	XP_005847264.1 hypothetical protein CHLNCDRAFT_59679 [Chlorella variabilis]
OG0000311	PRW56687.1 nitrite transporter NAR1 [Chlorella sorokiniana]	XP_005850365.1 hypothetical protein CHLNCDRAFT_34412 [Chlorella variabilis]
OG0000312	PRW57821.1 ARF guanine-nucleotide exchange factor GNOM-like [Chlorella sorokiniana]	XP_005847619.1 hypothetical protein CHLNCDRAFT_133932 [Chlorella variabilis]
OG0000312	PRW57749.1 calcium uptake mitochondrial-like [Chlorella sorokiniana]	XP_005847618.1 hypothetical protein CHLNCDRAFT_133931 [Chlorella variabilis]
OG0000313	PRW44292.1 ABC transporter A family member 7-like isoform A [Chlorella sorokiniana]	XP_005847503.1 hypothetical protein CHLNCDRAFT_23609_ partial [Chlorella variabilis]
OG0000313	PRW58817.1 ABC transporter A family member 7-like [Chlorella sorokiniana]	XP_005849509.1 hypothetical protein CHLNCDRAFT_30336 [Chlorella variabilis], XP_005842625.1 hypothetical protein CHLNCDRAFT_141395_ partial [Chlorella variabilis]
OG0000314	PRW57144.1 DNA polymerase delta small subunit [Chlorella sorokiniana]	XP_005847151.1 hypothetical protein CHLNCDRAFT_35821 [Chlorella variabilis]
OG0000314	PRW57089.1 meiotic recombination [Chlorella sorokiniana]	XP_005847150.1 hypothetical protein CHLNCDRAFT_134907 [Chlorella variabilis]
OG0000315	PRW39159.1 Eukaryotic translation initiation factor 3 subunit B [Chlorella sorokiniana]	XP_005852304.1 hypothetical protein CHLNCDRAFT_59481 [Chlorella variabilis], XP_005846168.1 hypothetical protein CHLNCDRAFT_136163 [Chlorella variabilis]
OG0000315	PRW33076.1 alpha-glucan water chloroplastic [Chlorella sorokiniana]	XP_005843373.1 hypothetical protein CHLNCDRAFT_37464 [Chlorella variabilis]
OG0000316	PRW59363.1 6-phosphogluconate decarboxylating [Chlorella sorokiniana]	XP_005849873.1 hypothetical protein CHLNCDRAFT_21181_ partial [Chlorella variabilis]
OG0000316	PRW59001.1 5 -3 exoribonuclease 1 [Chlorella sorokiniana]	XP_005842593.1 hypothetical protein CHLNCDRAFT_55867_ partial [Chlorella variabilis], XP_005849872.1 hypothetical protein CHLNCDRAFT_143098_ partial [Chlorella variabilis]
OG0000317	PRW50984.1 26S protease regulatory subunit 6B-like protein [Chlorella sorokiniana]	XP_005848629.1 hypothetical protein CHLNCDRAFT_30648 [Chlorella variabilis]
OG0000317	PRW57564.1 26S proteasome regulatory subunit 4-like protein B [Chlorella sorokiniana]	XP_005847625.1 26S proteasome AAA-ATPase subunit RPT2a [Chlorella variabilis]
OG0000318	PRW20481.1 Nex18 symbiotically induced [Chlorella sorokiniana]	XP_005844510.1 hypothetical protein CHLNCDRAFT_138882 [Chlorella variabilis], XP_005844599.1 hypothetical protein CHLNCDRAFT_138875 [Chlorella variabilis]
OG0000319	PRW44481.1 glycosyltransferase family 5 [Chlorella sorokiniana]	XP_005847361.1 hypothetical protein CHLNCDRAFT_134595 [Chlorella variabilis]
OG0000320	PRW39347.1 histone deacetylase isoform A [Chlorella sorokiniana], PRW39346.1 histone deacetylase isoform B [Chlorella sorokiniana]	XP_005846023.1 hypothetical protein CHLNCDRAFT_136135 [Chlorella variabilis]
OG0000320	PRW60354.1 riboflavin kinase isoform B [Chlorella sorokiniana], PRW60355.1 riboflavin kinase isoform A [Chlorella sorokiniana]	XP_005852051.1 hypothetical protein CHLNCDRAFT_14012_ partial [Chlorella variabilis]
OG0000321	PRW44838.1 AP-2 complex subunit sigma [Chlorella sorokiniana]	XP_005848515.1 hypothetical protein CHLNCDRAFT_145001 [Chlorella variabilis]
OG0000321	PRW58003.1 AP-1 complex subunit sigma-1 [Chlorella sorokiniana]	XP_005847616.1 hypothetical protein CHLNCDRAFT_59671 [Chlorella variabilis]
OG0000322	PRW57687.1 SH3 domain-containing [Chlorella sorokiniana]	XP_005847772.1 hypothetical protein CHLNCDRAFT_133895 [Chlorella variabilis]
OG0000322	PRW60532.1 hypothetical protein C2E21_1173 [Chlorella sorokiniana]	XP_005842985.1 hypothetical protein CHLNCDRAFT_59380 [Chlorella variabilis], XP_005850170.1 hypothetical protein CHLNCDRAFT_142340 [Chlorella variabilis], XP_005852258.1 hypothetical protein CHLNCDRAFT_133606 [Chlorella variabilis]
OG0000323	PRW55919.1 hypothetical protein C2E21_5144 [Chlorella sorokiniana]	XP_005850693.1 hypothetical protein CHLNCDRAFT_140767 [Chlorella variabilis]
OG0000323	PRW50804.1 short-chain dehydrogenase reductase SDR [Chlorella sorokiniana]	XP_005848865.1 hypothetical protein CHLNCDRAFT_144233 [Chlorella variabilis]
OG0000324	PRW20465.1 lysine--tRNA ligase isoform X2 isoform B [Chlorella sorokiniana]	XP_005844582.1 hypothetical protein CHLNCDRAFT_26697_ partial [Chlorella variabilis]
OG0000324	PRW20466.1 lysine--tRNA ligase isoform X2 isoform A [Chlorella sorokiniana]	XP_005844581.1 hypothetical protein CHLNCDRAFT_138835 [Chlorella variabilis]
OG0000325	PRW58025.1 Potassium transporter family isoform B [Chlorella sorokiniana], PRW58026.1 Potassium transporter family isoform C [Chlorella sorokiniana], PRW58027.1 Potassium transporter family isoform A [Chlorella sorokiniana]	XP_005843519.1 hypothetical protein CHLNCDRAFT_55134 [Chlorella variabilis]
OG0000326	PRW59499.1 hypothetical protein C2E21_1646 [Chlorella sorokiniana]	XP_005846407.1 hypothetical protein CHLNCDRAFT_58222 [Chlorella variabilis], XP_005846805.1 hypothetical protein CHLNCDRAFT_135359 [Chlorella variabilis], XP_005846663.1 hypothetical protein CHLNCDRAFT_135360 [Chlorella variabilis], XP_005851056.1 hypothetical protein CHLNCDRAFT_50501 [Chlorella variabilis], XP_005851835.1 hypothetical protein CHLNCDRAFT_133328 [Chlorella variabilis], XP_005847773.1 hypothetical protein CHLNCDRAFT_133896 [Chlorella variabilis], XP_005851649.1 hypothetical protein CHLNCDRAFT_138228 [Chlorella variabilis], XP_005845169.1 hypothetical protein CHLNCDRAFT_137356 [Chlorella variabilis], XP_005843545.1 hypothetical protein CHLNCDRAFT_140162 [Chlorella variabilis]
OG0000327	PRW56955.1 Six-hairpin glycosidase [Chlorella sorokiniana]	XP_005847159.1 hypothetical protein CHLNCDRAFT_24142_ partial [Chlorella variabilis]
OG0000328	PRW33873.1 translation factor GUF1 mitochondrial isoform X1 [Chlorella sorokiniana]	XP_005849054.1 hypothetical protein CHLNCDRAFT_17930_ partial [Chlorella variabilis]
OG0000329	PRW32972.1 TPR repeat-containing isoform A [Chlorella sorokiniana], PRW32971.1 TPR repeat-containing isoform B [Chlorella sorokiniana]	XP_005850303.1 hypothetical protein CHLNCDRAFT_7151_ partial [Chlorella variabilis]
OG0000329	PRW56599.1 hypothetical protein C2E21_4501 [Chlorella sorokiniana]	XP_005850044.1 hypothetical protein CHLNCDRAFT_57047 [Chlorella variabilis]
OG0000330	PRW60192.1 carbonic anhydrase [Chlorella sorokiniana]	XP_005851926.1 hypothetical protein CHLNCDRAFT_59546 [Chlorella variabilis], XP_005851928.1 hypothetical protein CHLNCDRAFT_59547 [Chlorella variabilis], XP_005850965.1 hypothetical protein CHLNCDRAFT_19445_ partial [Chlorella variabilis]
OG0000331	PRW20191.1 hypothetical protein C2E21_9173 [Chlorella sorokiniana]	XP_005844135.1 hypothetical protein CHLNCDRAFT_139638 [Chlorella variabilis]
OG0000331	PRW58256.1 cellulose binding elicitor [Chlorella sorokiniana], PRW51078.1 mitochondrial fission process 1 [Chlorella sorokiniana], PRW57863.1 DEAD DEAH box helicase [Chlorella sorokiniana]	XP_005849137.1 hypothetical protein CHLNCDRAFT_51331 [Chlorella variabilis]
OG0000332	PRW57235.1 hypothetical protein C2E21_3942 [Chlorella sorokiniana], PRW61289.1 Capsular polysaccharide synthesis [Chlorella sorokiniana]	XP_005848345.1 hypothetical protein CHLNCDRAFT_145050 [Chlorella variabilis]
OG0000332	PRW57907.1 glycosyl transferase [Chlorella sorokiniana], PRW60906.1 glycosyl transferase [Chlorella sorokiniana]	XP_005851236.1 hypothetical protein CHLNCDRAFT_137953 [Chlorella variabilis]
OG0000333	PRW50936.1 Carotene biosynthesis-related CBR [Chlorella sorokiniana]	XP_005848720.1 hypothetical protein CHLNCDRAFT_21915_ partial [Chlorella variabilis]
OG0000333	PRW60462.1 early light-inducible [Chlorella sorokiniana]	XP_005851999.1 hypothetical protein CHLNCDRAFT_13796_ partial [Chlorella variabilis]
OG0000333	PRW20936.1 Oxidoreductase HTATIP2 [Chlorella sorokiniana]	XP_005847952.1 hypothetical protein CHLNCDRAFT_145411 [Chlorella variabilis]
OG0000334	PRW45638.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]	XP_005852287.1 hypothetical protein CHLNCDRAFT_56636 [Chlorella variabilis], XP_005850561.1 hypothetical protein CHLNCDRAFT_56862 [Chlorella variabilis]
OG0000334	PRW59527.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	XP_005847753.1 hypothetical protein CHLNCDRAFT_133852 [Chlorella variabilis]
OG0000334	PRW58153.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57045.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]	XP_005850273.1 hypothetical protein CHLNCDRAFT_57033 [Chlorella variabilis]
OG0000334	PRW57245.1 peptidylprolyl isomerase D _cyclophilin D_ [Chlorella sorokiniana]	XP_005847071.1 expressed protein [Chlorella variabilis], XP_005843588.1 hypothetical protein CHLNCDRAFT_140122 [Chlorella variabilis]
OG0000336	PRW58592.1 LRR repeats and ubiquitin-like domain-containing protein [Chlorella sorokiniana]	XP_005851089.1 hypothetical protein CHLNCDRAFT_137615 [Chlorella variabilis]
OG0000336	PRW39365.1 pyridine nucleotide-disulfide oxidoreductase [Chlorella sorokiniana]	XP_005848115.1 hypothetical protein CHLNCDRAFT_145417 [Chlorella variabilis], XP_005844230.1 hypothetical protein CHLNCDRAFT_139248 [Chlorella variabilis], XP_005852096.1 hypothetical protein CHLNCDRAFT_49458 [Chlorella variabilis], XP_005846016.1 hypothetical protein CHLNCDRAFT_136116 [Chlorella variabilis]
OG0000337	PRW59456.1 hypothetical protein C2E21_1976 [Chlorella sorokiniana], PRW59590.1 26S proteasome complex ubiquitin subunit Rpn13 [Chlorella sorokiniana]	XP_005844489.1 hypothetical protein CHLNCDRAFT_138839 [Chlorella variabilis]
OG0000340	PRW45647.1 ferrochelatase- chloroplastic [Chlorella sorokiniana]	XP_005846623.1 hypothetical protein CHLNCDRAFT_24443_ partial [Chlorella variabilis]
OG0000340	PRW56139.1 chaperone 1 [Chlorella sorokiniana]	XP_005850990.1 hypothetical protein CHLNCDRAFT_56016 [Chlorella variabilis]
OG0000341	PRW59519.1 diphthine--ammonia ligase isoform X1 [Chlorella sorokiniana]	XP_005846222.1 hypothetical protein CHLNCDRAFT_35997_ partial [Chlorella variabilis]
OG0000341	PRW57924.1 ATP-NAD kinase isoform B [Chlorella sorokiniana], PRW57923.1 ATP-NAD kinase isoform A [Chlorella sorokiniana]	XP_005849110.1 hypothetical protein CHLNCDRAFT_143672 [Chlorella variabilis]
OG0000342	PRW45685.1 ER membrane complex subunit 4 [Chlorella sorokiniana]	XP_005849002.1 hypothetical protein CHLNCDRAFT_144573 [Chlorella variabilis], XP_005845125.1 hypothetical protein CHLNCDRAFT_59753 [Chlorella variabilis]
OG0000343	PRW59844.1 transcription elongation factor SPT5-like protein 1 [Chlorella sorokiniana]	XP_005842816.1 hypothetical protein CHLNCDRAFT_142577 [Chlorella variabilis], XP_005842818.1 hypothetical protein CHLNCDRAFT_7483_ partial [Chlorella variabilis]
OG0000344	PRW39337.1 ATP-dependent zinc metalloprotease FTSH chloroplastic [Chlorella sorokiniana]	XP_005846213.1 hypothetical protein CHLNCDRAFT_25190 [Chlorella variabilis]
OG0000344	PRW33093.1 membrane AAA-metalloprotease [Chlorella sorokiniana]	XP_005843263.1 hypothetical protein CHLNCDRAFT_141387 [Chlorella variabilis]
OG0000345	PRW61164.1 DNA-directed RNA polymerase II subunit RPB2 isoform A [Chlorella sorokiniana], PRW61165.1 DNA-directed RNA polymerase II subunit RPB2 isoform B [Chlorella sorokiniana]	XP_005844289.1 hypothetical protein CHLNCDRAFT_59036 [Chlorella variabilis]
OG0000345	PRW60975.1 DNA polymerase alpha catalytic subunit [Chlorella sorokiniana]	XP_005844384.1 hypothetical protein CHLNCDRAFT_139024 [Chlorella variabilis]
OG0000346	PRW61037.1 SUMO-activating enzyme subunit 2 [Chlorella sorokiniana]	XP_005844208.1 hypothetical protein CHLNCDRAFT_27175 [Chlorella variabilis]
OG0000346	PRW05923.1 ATP-dependent DNA helicase Q-like 3 [Chlorella sorokiniana]	XP_005843206.1 hypothetical protein CHLNCDRAFT_55365 [Chlorella variabilis]
OG0000347	PRW32940.1 ribosomal RNA large subunit methyltransferase I [Chlorella sorokiniana]	XP_005842740.1 hypothetical protein CHLNCDRAFT_59480 [Chlorella variabilis]
OG0000348	PRW57238.1 translocase of chloroplast chloroplastic-like [Chlorella sorokiniana]	XP_005848044.1 hypothetical protein CHLNCDRAFT_17181_ partial [Chlorella variabilis]
OG0000349	PRW21104.1 Arabinanase levansucrase invertase [Chlorella sorokiniana]	XP_005844687.1 hypothetical protein CHLNCDRAFT_58794 [Chlorella variabilis]
OG0000349	PRW33560.1 Arabinanase levansucrase invertase [Chlorella sorokiniana]	XP_005845850.1 hypothetical protein CHLNCDRAFT_136342 [Chlorella variabilis]
OG0000350	PRW57112.1 exocyst complex component SEC8 [Chlorella sorokiniana]	XP_005847197.1 hypothetical protein CHLNCDRAFT_134996 [Chlorella variabilis]
OG0000350	PRW57191.1 serine threonine- kinase prpf4B-like [Chlorella sorokiniana]	XP_005847196.1 hypothetical protein CHLNCDRAFT_31552 [Chlorella variabilis]
OG0000351	PRW39127.1 methionyl-tRNA synthetase [Chlorella sorokiniana]	XP_005846183.1 hypothetical protein CHLNCDRAFT_25329_ partial [Chlorella variabilis]
OG0000351	PRW59794.1 aminoacyl tRNA synthase complex-interacting multifunctional 1 [Chlorella sorokiniana]	XP_005846328.1 hypothetical protein CHLNCDRAFT_56223 [Chlorella variabilis]
OG0000352	PRW58854.1 thioredoxin domain-containing 9-like protein [Chlorella sorokiniana]	XP_005843767.1 hypothetical protein CHLNCDRAFT_54929 [Chlorella variabilis]
